time,Toronto,pts.away,score,pts.home,LA Clippers
8:11.0,L. Scola makes 2-pt shot from 19 ft (assist by C. Joseph),2,41-25,,
8:00.0,,,41-25,,J. Crawford misses 3-pt shot from 25 ft
8:00.0,,,41-25,,Offensive rebound by D. Jordan
7:56.0,,,41-25,,D. Jordan misses 2-pt shot from 1 ft
7:55.0,Defensive rebound by D. DeRozan,,41-25,,
7:43.0,L. Scola misses 2-pt shot from 21 ft,,41-25,,
7:43.0,,,41-25,,Defensive rebound by A. Rivers
7:34.0,,,41-25,,C. Paul misses 2-pt shot from 18 ft
7:33.0,Defensive rebound by C. Joseph,,41-25,,
7:30.0,,,41-25,,Personal foul by P. Pierce (drawn by L. Scola)
7:30.0,,,41-25,,J. Redick enters the game for A. Rivers
7:30.0,D. Carroll enters the game for J. Johnson,,41-25,,
7:12.0,L. Scola makes 2-pt shot from 16 ft (assist by D. DeRozan),2,43-25,,
7:01.0,,,43-25,,Turnover by J. Crawford (bad pass; steal by T. Ross)
6:51.0,Jump ball: D. Carroll vs. C. Paul (D. Jordan gains possession),,,,Jump ball: D. Carroll vs. C. Paul (D. Jordan gains possession)
6:51.0,Turnover by D. Carroll (lost ball; steal by C. Paul),,43-25,,
6:44.0,,,43-25,,Shooting foul by D. Carroll (drawn by P. Pierce)
6:44.0,,,43-26,1,P. Pierce makes free throw 1 of 2
6:44.0,,,43-27,1,P. Pierce makes free throw 2 of 2
6:24.0,,,43-27,,Personal foul by J. Redick (drawn by D. DeRozan)
6:24.0,D. DeRozan makes free throw 1 of 2,1,44-27,,
6:24.0,D. DeRozan makes free throw 2 of 2,1,45-27,,
6:13.0,,,45-27,,J. Crawford misses 3-pt shot from 27 ft
6:12.0,Defensive rebound by C. Joseph,,45-27,,
6:01.0,,,45-27,,Personal foul by C. Paul (drawn by C. Joseph)
6:01.0,,,45-27,,L. Stephenson enters the game for J. Crawford
5:47.0,Turnover by Team (shot clock),,45-27,,
5:47.0,,,45-27,,LA Clippers full timeout
5:47.0,K. Lowry enters the game for C. Joseph,,45-27,,
5:40.0,,,45-27,,Offensive foul by P. Pierce
5:40.0,,,45-27,,Turnover by P. Pierce (offensive foul)
5:24.0,Turnover by D. DeRozan (bad pass; steal by L. Stephenson),,45-27,,
5:24.0,Personal foul by L. Scola (drawn by L. Stephenson),,45-27,,
5:16.0,,,45-27,,C. Paul misses 2-pt shot from 17 ft
5:12.0,Defensive rebound by L. Scola,,45-27,,
5:07.0,D. Carroll makes 3-pt shot from 25 ft (assist by K. Lowry),3,48-27,,
4:47.0,,,48-27,,J. Redick misses 2-pt shot from 2 ft
4:46.0,,,48-27,,Offensive rebound by D. Jordan
4:45.0,,,48-27,,D. Jordan misses 2-pt shot from 2 ft
4:42.0,Defensive rebound by L. Scola,,48-27,,
4:42.0,Shooting foul by L. Stephenson (drawn by D. DeRozan),,48-27,,
4:42.0,D. DeRozan makes free throw 1 of 2,1,49-27,,
4:42.0,D. DeRozan makes free throw 2 of 2,1,50-27,,
4:32.0,Personal block foul by L. Scola (drawn by P. Pierce),,50-27,,
4:32.0,B. Biyombo enters the game for L. Scola,,50-27,,
4:29.0,,,50-27,,Turnover by C. Paul (turnover)
4:07.0,D. DeRozan misses 2-pt shot at rim (block by D. Jordan),,50-27,,
4:06.0,,,50-27,,Defensive rebound by J. Redick
3:59.0,,,50-27,,P. Pierce misses 3-pt shot from 27 ft
3:58.0,Defensive rebound by D. Carroll,,50-27,,
3:50.0,D. Carroll makes 3-pt shot from 25 ft (assist by K. Lowry),3,53-27,,
3:36.0,,,53-29,2,C. Paul makes 2-pt shot from 20 ft
3:21.0,Shooting foul by L. Stephenson (drawn by D. DeRozan),,53-29,,
3:21.0,D. DeRozan makes free throw 1 of 2,1,54-29,,
3:21.0,D. DeRozan makes free throw 2 of 2,1,55-29,,
3:06.0,,,55-29,,Turnover by P. Pierce (lost ball; steal by K. Lowry)
3:03.0,Shooting foul by J. Redick (drawn by D. Carroll),,55-29,,
3:03.0,D. Carroll makes free throw 1 of 2,1,56-29,,
3:03.0,,,56-29,,W. Johnson enters the game for P. Pierce
3:03.0,D. Carroll misses free throw 2 of 2,,56-29,,
3:02.0,,,56-29,,Defensive rebound by D. Jordan
2:52.0,,,56-29,,Turnover by C. Paul (turnover)
2:52.0,Toronto full timeout,,56-29,,
2:40.0,D. DeRozan misses 2-pt shot from 12 ft,,56-29,,
2:39.0,,,56-29,,Defensive rebound by D. Jordan
2:29.0,,,56-31,2,C. Paul makes 2-pt shot from 13 ft
2:06.0,Shooting foul by L. Stephenson (drawn by D. Carroll),,56-31,,
2:06.0,D. Carroll makes free throw 1 of 2,1,57-31,,
2:06.0,D. Carroll makes free throw 2 of 2,1,58-31,,
1:53.0,,,58-31,,C. Paul misses 2-pt shot from 14 ft
1:51.0,Defensive rebound by B. Biyombo,,58-31,,
1:41.0,K. Lowry makes 2-pt shot from 12 ft,2,60-31,,
1:28.0,,,60-34,3,W. Johnson makes 3-pt shot from 22 ft (assist by C. Paul)
1:07.0,D. DeRozan misses 2-pt shot from 5 ft (block by D. Jordan),,60-34,,
1:06.0,Offensive rebound by B. Biyombo,,60-34,,
1:01.0,T. Ross misses 3-pt shot from 26 ft,,60-34,,
1:01.0,,,60-34,,Defensive rebound by D. Jordan
0:57.0,,,60-34,,W. Johnson misses 3-pt shot from 22 ft
0:55.0,Defensive rebound by K. Lowry,,60-34,,
0:49.0,K. Lowry makes 3-pt shot from 26 ft,3,63-34,,
0:36.0,Personal foul by D. DeRozan (drawn by D. Jordan),,63-34,,
0:36.0,,,63-34,,J. Crawford enters the game for L. Stephenson
0:23.0,,,63-34,,Turnover by C. Paul (bad pass; steal by D. Carroll)
0:03.0,D. DeRozan misses 3-pt shot from 24 ft,,63-34,,
0:00.0,Offensive rebound by Team,,63-34,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,L. Scola misses 3-pt shot from 25 ft,,63-34,,
11:41.0,,,63-34,,Defensive rebound by C. Paul
11:29.0,,,63-36,2,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul)
11:16.0,,,63-36,,Personal foul by C. Paul (drawn by K. Lowry)
11:03.0,D. Carroll misses 2-pt shot from 17 ft,,63-36,,
11:02.0,Offensive rebound by D. DeRozan,,63-36,,
10:49.0,K. Lowry misses 3-pt shot from 28 ft,,63-36,,
10:49.0,,,63-36,,Defensive rebound by J. Redick
10:32.0,,,63-36,,D. Jordan misses 2-pt shot from 3 ft
10:28.0,,,63-36,,Offensive rebound by D. Jordan
10:23.0,,,63-36,,P. Pierce misses 3-pt shot from 26 ft
10:22.0,Defensive rebound by D. DeRozan,,63-36,,
10:08.0,D. DeRozan misses 2-pt shot from 3 ft,,63-36,,
10:06.0,,,63-36,,Defensive rebound by B. Griffin
10:01.0,,,63-39,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin)
10:01.0,Toronto full timeout,,63-39,,
9:42.0,D. DeRozan makes 2-pt shot from 19 ft,2,65-39,,
9:33.0,Personal foul by D. Carroll (drawn by J. Redick),,65-39,,
9:27.0,,,65-39,,C. Paul misses 2-pt shot from 11 ft
9:26.0,Defensive rebound by B. Biyombo,,65-39,,
9:07.0,L. Scola misses 2-pt shot from 17 ft,,65-39,,
9:06.0,,,65-39,,Defensive rebound by C. Paul
8:53.0,,,65-39,,Shooting foul by K. Lowry (drawn by J. Redick)
8:53.0,,,65-39,,J. Redick misses free throw 1 of 2
8:53.0,,,65-39,,Offensive rebound by Team
8:53.0,,,65-40,1,J. Redick makes free throw 2 of 2
8:43.0,Turnover by K. Lowry (lost ball),,65-40,,
8:37.0,,,65-40,,C. Paul misses 2-pt shot from 1 ft
8:37.0,,,65-40,,Offensive rebound by B. Griffin
8:30.0,,,65-40,,Shooting foul by K. Lowry (drawn by D. Jordan)
8:30.0,,,65-40,,D. Jordan misses free throw 1 of 2
8:30.0,,,65-40,,Offensive rebound by Team
8:30.0,,,65-41,1,D. Jordan makes free throw 2 of 2
8:23.0,,,65-41,,Personal foul by C. Paul (drawn by K. Lowry)
8:08.0,Turnover by B. Biyombo (traveling),,65-41,,
7:57.0,,,65-41,,J. Redick misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by B. Biyombo,,65-41,,
7:47.0,,,65-41,,Violation by D. Jordan (kicked ball)
7:39.0,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry),2,67-41,,
7:22.0,,,67-41,,Turnover by B. Griffin (bad pass; steal by K. Lowry)
7:13.0,D. Carroll misses 2-pt shot from 7 ft,,67-41,,
7:11.0,,,67-41,,Defensive rebound by C. Paul
7:09.0,Personal take foul by D. DeRozan (drawn by B. Griffin),,67-41,,
7:09.0,,,67-41,,J. Crawford enters the game for P. Pierce
6:56.0,,,67-41,,B. Griffin misses 2-pt shot from 9 ft
6:54.0,Defensive rebound by B. Biyombo,,67-41,,
6:45.0,K. Lowry misses 3-pt shot from 29 ft,,67-41,,
6:44.0,Offensive rebound by B. Biyombo,,67-41,,
6:32.0,D. DeRozan misses 2-pt shot from 19 ft,,67-41,,
6:31.0,,,67-41,,Defensive rebound by J. Redick
6:18.0,,,67-41,,B. Griffin misses 2-pt shot from 21 ft
6:17.0,,,67-41,,Offensive rebound by C. Paul
6:07.0,,,67-43,2,C. Paul makes 2-pt shot from 14 ft
5:40.0,K. Lowry misses 2-pt shot from 15 ft (block by D. Jordan),,67-43,,
5:39.0,,,67-43,,Defensive rebound by D. Jordan
5:34.0,,,67-46,3,C. Paul makes 3-pt shot from 29 ft
5:09.0,L. Scola misses 2-pt shot from 5 ft,,67-46,,
5:08.0,Offensive rebound by L. Scola,,67-46,,
5:04.0,L. Scola misses 2-pt shot from 18 ft,,67-46,,
5:02.0,,,67-46,,Defensive rebound by D. Jordan
4:56.0,,,67-46,,J. Redick misses 3-pt shot from 23 ft
4:55.0,Defensive rebound by B. Biyombo,,67-46,,
4:36.0,B. Biyombo makes 2-pt shot from 3 ft (assist by D. DeRozan),2,69-46,,
4:18.0,,,69-46,,Shooting foul by B. Biyombo (drawn by J. Crawford)
4:18.0,,,69-46,,J. Crawford misses free throw 1 of 2
4:18.0,,,69-46,,Offensive rebound by Team
4:18.0,P. Patterson enters the game for B. Biyombo,,69-46,,
4:18.0,C. Joseph enters the game for D. DeRozan,,69-46,,
4:18.0,,,69-47,1,J. Crawford makes free throw 2 of 2
3:58.0,,,69-47,,Personal foul by J. Crawford (drawn by K. Lowry)
3:58.0,,,69-47,,A. Rivers enters the game for J. Redick
3:42.0,P. Patterson misses 3-pt shot from 24 ft,,69-47,,
3:41.0,Offensive rebound by L. Scola,,69-47,,
3:38.0,L. Scola makes 2-pt shot at rim,2,71-47,,
3:23.0,,,71-47,,C. Paul misses 3-pt shot from 26 ft
3:22.0,,,71-47,,Offensive rebound by B. Griffin
3:16.0,,,71-47,,B. Griffin misses 2-pt shot from 3 ft
3:14.0,Defensive rebound by P. Patterson,,71-47,,
2:52.0,C. Joseph misses 2-pt shot from 16 ft,,71-47,,
2:51.0,Offensive rebound by P. Patterson,,71-47,,
2:48.0,Turnover by P. Patterson (lost ball; steal by B. Griffin),,71-47,,
2:42.0,,,71-47,,J. Crawford misses 3-pt shot from 26 ft
2:39.0,,,71-47,,Offensive rebound by C. Paul
2:30.0,Personal foul by D. Carroll (drawn by C. Paul),,71-47,,
2:30.0,,,71-47,,LA Clippers full timeout
2:30.0,,,71-47,,W. Johnson enters the game for B. Griffin
2:30.0,T. Ross enters the game for K. Lowry,,71-47,,
2:30.0,,,71-48,1,C. Paul makes free throw 1 of 2
2:30.0,,,71-49,1,C. Paul makes free throw 2 of 2
2:22.0,,,71-49,,Personal foul by C. Paul (drawn by C. Joseph)
2:22.0,,,71-49,,J. Smith enters the game for C. Paul
2:09.0,L. Scola misses 2-pt shot from 7 ft,,71-49,,
2:04.0,,,71-49,,Defensive rebound by J. Smith
1:47.0,,,71-49,,A. Rivers misses 3-pt shot from 24 ft
1:47.0,,,71-49,,Offensive rebound by J. Smith
1:47.0,,,71-49,,Turnover by Team (shot clock)
1:35.0,T. Ross misses 2-pt shot from 3 ft (block by D. Jordan),,71-49,,
1:35.0,Offensive rebound by Team,,71-49,,
1:23.0,D. Carroll misses 2-pt shot from 3 ft,,71-49,,
1:18.0,,,71-49,,Defensive rebound by D. Jordan
1:16.0,Personal foul by D. Carroll (drawn by J. Crawford),,71-49,,
1:16.0,,,71-50,1,J. Crawford makes free throw 1 of 2
1:16.0,J. Johnson enters the game for D. Carroll,,71-50,,
1:16.0,,,71-51,1,J. Crawford makes free throw 2 of 2
0:52.0,Jump ball: D. Jordan vs. L. Scola (W. Johnson gains possession),,,,Jump ball: D. Jordan vs. L. Scola (W. Johnson gains possession)
0:52.0,Turnover by L. Scola (lost ball; steal by D. Jordan),,71-51,,
0:51.0,,,71-53,2,W. Johnson makes 2-pt shot at rim (assist by D. Jordan)
0:30.0,T. Ross misses 3-pt shot from 26 ft,,71-53,,
0:29.0,,,71-53,,Defensive rebound by J. Smith
0:26.0,,,71-55,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
0:04.0,Jump ball: D. Jordan vs. T. Ross (C. Joseph gains possession),,,,Jump ball: D. Jordan vs. T. Ross (C. Joseph gains possession)
0:02.0,C. Joseph misses 3-pt shot from 25 ft (block by W. Johnson),,71-55,,
0:02.0,Offensive rebound by Team,,71-55,,
0:02.0,Turnover by Team (shot clock),,71-55,,
0:01.0,,,71-55,,W. Johnson misses 3-pt shot from 31 ft
0:00.0,,,71-55,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,71-57,2,A. Rivers makes 2-pt shot from 2 ft
11:35.0,Shooting foul by J. Smith (drawn by D. DeRozan),,71-57,,
11:35.0,D. DeRozan makes free throw 1 of 2,1,72-57,,
11:35.0,B. Biyombo enters the game for J. Johnson,,72-57,,
11:35.0,D. DeRozan makes free throw 2 of 2,1,73-57,,
11:15.0,,,73-59,2,A. Rivers makes 2-pt shot at rim
10:58.0,D. DeRozan misses 2-pt shot from 7 ft (block by W. Johnson),,73-59,,
10:57.0,,,73-59,,Defensive rebound by D. Jordan
10:43.0,,,73-59,,Shooting foul by T. Ross (drawn by J. Crawford)
10:43.0,,,73-60,1,J. Crawford makes free throw 1 of 3
10:43.0,,,73-61,1,J. Crawford makes free throw 2 of 3
10:43.0,,,73-62,1,J. Crawford makes free throw 3 of 3
10:23.0,C. Joseph misses 2-pt shot from 12 ft,,73-62,,
10:21.0,,,73-62,,Defensive rebound by J. Smith
10:19.0,,,73-62,,Shooting foul by B. Biyombo (drawn by D. Jordan)
10:19.0,,,73-62,,D. Jordan misses free throw 1 of 2
10:19.0,,,73-62,,Offensive rebound by Team
10:19.0,K. Lowry enters the game for T. Ross,,73-62,,
10:19.0,,,73-62,,D. Jordan misses free throw 2 of 2
10:16.0,Defensive rebound by B. Biyombo,,73-62,,
9:55.0,D. DeRozan misses 2-pt shot from 17 ft,,73-62,,
9:55.0,,,73-62,,Defensive rebound by Team
9:55.0,Loose ball foul by C. Joseph (drawn by J. Crawford),,73-62,,
9:55.0,,,73-62,,B. Griffin enters the game for D. Jordan
9:41.0,,,73-62,,J. Smith misses 3-pt shot from 28 ft
9:41.0,Defensive rebound by K. Lowry,,73-62,,
9:35.0,Turnover by K. Lowry (bad pass; steal by J. Smith),,73-62,,
9:27.0,,,73-62,,A. Rivers misses 3-pt shot from 26 ft
9:26.0,,,73-62,,Offensive rebound by A. Rivers
9:21.0,,,73-64,2,A. Rivers makes 2-pt shot from 10 ft
8:58.0,,,73-64,,Personal foul by A. Rivers (drawn by K. Lowry)
8:58.0,Official timeout,,73-64,,
8:58.0,D. Carroll enters the game for P. Patterson,,73-64,,
8:49.0,,,73-64,,Personal foul by W. Johnson (drawn by D. DeRozan)
8:42.0,Turnover by D. DeRozan (bad pass; steal by B. Griffin),,73-64,,
8:37.0,,,73-64,,Turnover by W. Johnson (step out of bounds)
8:14.0,C. Joseph misses 2-pt shot from 15 ft (block by J. Smith),,73-64,,
8:12.0,,,73-64,,Defensive rebound by B. Griffin
8:06.0,,,73-64,,Turnover by B. Griffin (bad pass)
8:06.0,,,73-64,,Loose ball foul by W. Johnson (drawn by K. Lowry)
7:48.0,C. Joseph misses 2-pt shot from 3 ft,,73-64,,
7:47.0,Offensive rebound by C. Joseph,,73-64,,
7:43.0,D. DeRozan misses 3-pt shot from 25 ft,,73-64,,
7:43.0,,,73-64,,Defensive rebound by Team
7:43.0,Loose ball foul by B. Biyombo (drawn by J. Smith),,73-64,,
7:30.0,,,73-67,3,W. Johnson makes 3-pt shot from 25 ft (assist by A. Rivers)
7:09.0,K. Lowry misses 2-pt shot from 13 ft,,73-67,,
7:08.0,Offensive rebound by K. Lowry,,73-67,,
7:05.0,K. Lowry misses 2-pt shot from 6 ft,,73-67,,
7:04.0,,,73-67,,Defensive rebound by B. Griffin
6:58.0,,,73-67,,J. Smith misses 3-pt shot from 27 ft
6:56.0,Defensive rebound by D. Carroll,,73-67,,
6:37.0,D. Carroll misses 2-pt shot from 3 ft,,73-67,,
6:35.0,Offensive rebound by D. Carroll,,73-67,,
6:31.0,D. DeRozan makes 2-pt shot from 2 ft,2,75-67,,
6:31.0,,,75-67,,LA Clippers full timeout
6:31.0,L. Scola enters the game for B. Biyombo,,75-67,,
6:18.0,,,75-67,,A. Rivers misses 3-pt shot from 26 ft
6:18.0,Defensive rebound by C. Joseph,,75-67,,
6:18.0,,,75-67,,Loose ball foul by J. Smith (drawn by C. Joseph)
6:18.0,C. Joseph makes free throw 1 of 2,1,76-67,,
6:18.0,C. Joseph makes free throw 2 of 2,1,77-67,,
6:02.0,,,77-67,,Turnover by A. Rivers (bad pass; steal by D. Carroll)
5:41.0,D. Carroll misses 3-pt shot from 26 ft,,77-67,,
5:40.0,,,77-67,,Defensive rebound by J. Smith
5:36.0,,,77-67,,Offensive foul by B. Griffin
5:36.0,,,77-67,,Turnover by B. Griffin (offensive foul)
5:36.0,,,77-67,,D. Jordan enters the game for J. Smith
5:36.0,,,77-67,,C. Paul enters the game for A. Rivers
5:16.0,L. Scola makes 2-pt shot from 17 ft (assist by K. Lowry),2,79-67,,
5:16.0,,,79-67,,LA Clippers full timeout
5:16.0,,,79-67,,J. Redick enters the game for W. Johnson
5:16.0,B. Biyombo enters the game for C. Joseph,,79-67,,
5:00.0,Violation by K. Lowry (kicked ball),,79-67,,
4:50.0,,,79-69,2,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul)
4:26.0,Turnover by K. Lowry (step out of bounds),,79-69,,
4:12.0,,,79-69,,J. Redick misses 3-pt shot from 24 ft
4:12.0,Defensive rebound by B. Biyombo,,79-69,,
