time,Dallas,pts.away,score,pts.home,Chicago
1:35.0,,,12-18,,Defensive rebound by J. Butler
1:31.0,Personal foul by W. Matthews (drawn by J. Butler),,12-18,,
1:31.0,R. Felton enters the game for D. Powell,,12-18,,
1:31.0,J. Barea enters the game for D. Williams,,12-18,,
1:31.0,D. Nowitzki enters the game for Z. Pachulia,,12-18,,
1:31.0,J. McGee enters the game for D. Harris,,12-18,,
1:21.0,,,12-18,,J. Butler misses 2-pt shot from 16 ft
1:19.0,Defensive rebound by J. Barea,,12-18,,
1:08.0,R. Felton misses 2-pt shot from 5 ft,,12-18,,
1:07.0,,,12-18,,Defensive rebound by J. Noah
1:00.0,,,12-18,,D. McDermott misses 3-pt shot from 24 ft
1:00.0,Defensive rebound by J. McGee,,12-18,,
0:45.0,J. Barea makes 3-pt shot from 24 ft,3,15-18,,
0:33.0,,,15-18,,N. Mirotic misses 3-pt shot from 24 ft
0:31.0,,,15-18,,Offensive rebound by K. Hinrich
0:31.0,Personal foul by J. Barea,,15-18,,
0:31.0,D. Harris enters the game for J. Barea,,15-18,,
0:31.0,C. Parsons enters the game for W. Matthews,,15-18,,
0:31.0,,,15-19,1,K. Hinrich makes free throw 1 of 2
0:31.0,,,15-20,1,K. Hinrich makes free throw 2 of 2
0:10.0,Turnover by C. Parsons (lost ball; steal by J. Butler),,15-20,,
0:07.0,,,15-20,,Shooting foul by D. Harris (drawn by K. Hinrich)
0:07.0,,,15-21,1,K. Hinrich makes free throw 1 of 2
0:07.0,,,15-21,,T. Snell enters the game for D. McDermott
0:07.0,,,15-22,1,K. Hinrich makes free throw 2 of 2
0:01.0,J. McGee makes 2-pt shot from 1 ft (assist by D. Harris),2,17-22,,
0:01.0,Shooting foul by T. Snell (drawn by J. McGee),,17-22,,
0:01.0,J. McGee makes free throw 1 of 1,1,18-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Shooting foul by N. Mirotic (drawn by D. Nowitzki),,18-22,,
11:44.0,D. Nowitzki makes free throw 1 of 2,1,19-22,,
11:44.0,,,19-22,,T. Gibson enters the game for N. Mirotic
11:44.0,D. Nowitzki makes free throw 2 of 2,1,20-22,,
11:29.0,,,20-22,,D. McDermott misses 2-pt shot from 20 ft (block by J. McGee)
11:26.0,,,20-22,,Offensive rebound by D. McDermott
11:20.0,,,20-22,,D. McDermott misses 2-pt shot from 7 ft
11:19.0,Defensive rebound by R. Felton,,20-22,,
11:08.0,J. McGee makes 2-pt shot at rim (assist by J. Barea),2,22-22,,
10:51.0,,,22-22,,J. Noah misses 2-pt shot from 6 ft
10:50.0,Defensive rebound by J. McGee,,22-22,,
10:30.0,R. Felton misses 3-pt shot from 23 ft,,22-22,,
10:28.0,,,22-22,,Defensive rebound by K. Hinrich
10:14.0,,,22-24,2,E. Moore makes 2-pt shot from 22 ft (assist by T. Gibson)
9:55.0,,,22-24,,Def 3 sec tech foul by J. Noah
9:55.0,D. Nowitzki makes technical free throw,1,23-24,,
9:55.0,,,23-24,,D. Rose enters the game for K. Hinrich
9:48.0,,,23-24,,Personal foul by J. Noah (drawn by J. McGee)
9:41.0,J. Barea misses 2-pt shot from 6 ft,,23-24,,
9:41.0,Offensive rebound by J. McGee,,23-24,,
9:41.0,,,23-24,,Personal foul by J. Noah (drawn by J. McGee)
9:41.0,,,23-24,,P. Gasol enters the game for J. Noah
9:26.0,J. Barea misses 2-pt shot from 2 ft,,23-24,,
9:26.0,,,23-24,,Defensive rebound by P. Gasol
9:17.0,Personal foul by J. McGee (drawn by P. Gasol),,23-24,,
9:17.0,,,23-24,,Turnover by P. Gasol (traveling)
9:03.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea),3,26-24,,
8:47.0,,,26-24,,P. Gasol misses 2-pt shot from 18 ft
8:46.0,Defensive rebound by J. McGee,,26-24,,
8:38.0,J. McGee misses 2-pt shot from 1 ft,,26-24,,
8:37.0,,,26-24,,Defensive rebound by E. Moore
8:22.0,,,26-24,,T. Gibson misses 2-pt shot from 4 ft
8:21.0,,,26-24,,Offensive rebound by P. Gasol
8:21.0,,,26-26,2,P. Gasol makes 2-pt shot from 1 ft
8:01.0,R. Felton misses 2-pt shot from 1 ft,,26-26,,
8:00.0,Offensive rebound by J. McGee,,26-26,,
8:00.0,J. McGee misses 2-pt shot from 1 ft,,26-26,,
7:59.0,,,26-26,,Defensive rebound by T. Gibson
7:36.0,,,26-26,,D. Rose misses 2-pt shot from 14 ft
7:35.0,,,26-26,,Offensive rebound by T. Gibson
7:35.0,,,26-28,2,T. Gibson makes 2-pt shot at rim
7:35.0,Dallas full timeout,,26-28,,
7:35.0,Z. Pachulia enters the game for C. Parsons,,26-28,,
7:35.0,D. Williams enters the game for D. Nowitzki,,26-28,,
7:35.0,W. Matthews enters the game for J. Barea,,26-28,,
7:35.0,C. Villanueva enters the game for J. McGee,,26-28,,
7:13.0,C. Villanueva misses 2-pt shot from 18 ft,,26-28,,
7:12.0,,,26-28,,Defensive rebound by T. Gibson
6:59.0,,,26-30,2,E. Moore makes 2-pt shot from 1 ft (assist by P. Gasol)
6:38.0,C. Villanueva misses 2-pt shot from 5 ft,,26-30,,
6:35.0,,,26-30,,Defensive rebound by T. Gibson
6:30.0,,,26-30,,D. McDermott misses 2-pt shot from 1 ft (block by W. Matthews)
6:29.0,Defensive rebound by Z. Pachulia,,26-30,,
6:14.0,W. Matthews makes 2-pt shot at rim (assist by Z. Pachulia),2,28-30,,
6:01.0,,,28-32,2,D. Rose makes 2-pt shot from 1 ft
5:41.0,Z. Pachulia misses 2-pt shot from 12 ft,,28-32,,
5:40.0,,,28-32,,Defensive rebound by T. Gibson
5:32.0,,,28-34,2,D. Rose makes 2-pt shot from 1 ft (assist by P. Gasol)
5:18.0,Z. Pachulia misses 2-pt shot from 6 ft,,28-34,,
5:17.0,,,28-34,,Defensive rebound by P. Gasol
4:54.0,,,28-36,2,P. Gasol makes 2-pt shot from 4 ft
4:54.0,Dallas full timeout,,28-36,,
4:54.0,Dallas full timeout,,28-36,,
4:54.0,,,28-36,,N. Mirotic enters the game for T. Gibson
4:54.0,,,28-36,,J. Butler enters the game for D. McDermott
4:54.0,D. Nowitzki enters the game for R. Felton,,28-36,,
4:54.0,J. Barea enters the game for C. Villanueva,,28-36,,
4:39.0,D. Williams misses 2-pt shot from 20 ft,,28-36,,
4:38.0,,,28-36,,Defensive rebound by E. Moore
4:19.0,Personal foul by Z. Pachulia (drawn by P. Gasol),,28-36,,
4:13.0,,,28-36,,D. Rose misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by D. Nowitzki,,28-36,,
4:01.0,D. Williams misses 2-pt shot from 10 ft,,28-36,,
4:00.0,,,28-36,,Defensive rebound by P. Gasol
3:53.0,,,28-36,,D. Rose misses 2-pt shot from 15 ft
3:52.0,Defensive rebound by W. Matthews,,28-36,,
3:46.0,J. Barea makes 2-pt shot from 18 ft,2,30-36,,
3:24.0,,,30-38,2,E. Moore makes 2-pt shot from 4 ft (assist by J. Butler)
3:05.0,D. Nowitzki misses 3-pt shot from 24 ft,,30-38,,
3:04.0,,,30-38,,Defensive rebound by P. Gasol
2:54.0,,,30-38,,Shooting foul by D. Nowitzki (drawn by N. Mirotic)
2:54.0,,,30-38,,Chicago full timeout
2:54.0,,,30-39,1,N. Mirotic makes free throw 1 of 2
2:54.0,,,30-40,1,N. Mirotic makes free throw 2 of 2
2:41.0,J. Barea makes 2-pt shot from 5 ft,2,32-40,,
2:23.0,,,32-40,,J. Butler misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by J. Barea,,32-40,,
2:09.0,Shooting foul by P. Gasol (drawn by D. Nowitzki),,32-40,,
2:09.0,D. Nowitzki makes free throw 1 of 2,1,33-40,,
2:09.0,D. Nowitzki makes free throw 2 of 2,1,34-40,,
1:53.0,,,34-42,2,D. Rose makes 2-pt shot from 2 ft (assist by P. Gasol)
1:41.0,D. Nowitzki misses 3-pt shot from 24 ft,,34-42,,
1:40.0,,,34-42,,Defensive rebound by J. Butler
1:27.0,,,34-44,2,P. Gasol makes 2-pt shot from 2 ft (assist by N. Mirotic)
1:11.0,Shooting foul by N. Mirotic (drawn by D. Nowitzki),,34-44,,
1:11.0,D. Nowitzki makes free throw 1 of 2,1,35-44,,
1:11.0,,,35-44,,T. Gibson enters the game for N. Mirotic
1:11.0,D. Nowitzki makes free throw 2 of 2,1,36-44,,
0:55.0,,,36-44,,P. Gasol misses 2-pt shot from 1 ft
0:52.0,,,36-44,,Offensive rebound by D. Rose
0:41.0,,,36-44,,P. Gasol misses 2-pt shot from 5 ft
0:40.0,Defensive rebound by D. Nowitzki,,36-44,,
0:29.0,D. Nowitzki misses 2-pt shot from 15 ft,,36-44,,
0:27.0,,,36-44,,Defensive rebound by D. Rose
0:08.0,,,36-44,,Shooting foul by D. Nowitzki (drawn by D. Rose)
0:08.0,,,36-45,1,D. Rose makes free throw 1 of 2
0:08.0,C. Villanueva enters the game for D. Nowitzki,,36-45,,
0:08.0,,,36-45,,T. Snell enters the game for P. Gasol
0:08.0,,,36-46,1,D. Rose makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,W. Matthews misses 3-pt shot from 25 ft,,36-46,,
11:36.0,,,36-46,,Defensive rebound by D. Rose
11:17.0,,,36-46,,T. Gibson misses 2-pt shot from 16 ft
11:15.0,Defensive rebound by W. Matthews,,36-46,,
11:02.0,Offensive charge foul by Z. Pachulia,,36-46,,
11:02.0,Turnover by Z. Pachulia (offensive foul),,36-46,,
10:38.0,,,36-46,,T. Snell misses 3-pt shot from 25 ft
10:36.0,,,36-46,,Offensive rebound by T. Gibson
10:36.0,,,36-46,,T. Gibson misses 2-pt shot from 1 ft (block by W. Matthews)
10:36.0,Defensive rebound by Team,,36-46,,
10:18.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Williams),2,38-46,,
10:01.0,,,38-46,,T. Snell misses 2-pt shot from 1 ft
10:00.0,Defensive rebound by D. Nowitzki,,38-46,,
9:56.0,C. Parsons makes 2-pt shot from 1 ft (assist by D. Williams),2,40-46,,
9:41.0,,,40-48,2,D. Rose makes 2-pt shot from 20 ft (assist by J. Butler)
9:23.0,Z. Pachulia makes 2-pt shot from 16 ft (assist by D. Williams),2,42-48,,
9:06.0,,,42-48,,D. Rose misses 3-pt shot from 25 ft
9:05.0,Defensive rebound by W. Matthews,,42-48,,
8:44.0,Z. Pachulia misses 2-pt shot from 1 ft,,42-48,,
8:43.0,Offensive rebound by D. Nowitzki,,42-48,,
8:43.0,D. Nowitzki makes 2-pt shot from 1 ft,2,44-48,,
8:42.0,,,44-48,,Chicago full timeout
8:24.0,,,44-48,,P. Gasol misses 2-pt shot from 12 ft
8:24.0,Defensive rebound by Team,,44-48,,
8:24.0,,,44-48,,Loose ball foul by T. Gibson (drawn by D. Nowitzki)
8:08.0,W. Matthews makes 2-pt shot from 1 ft (assist by C. Parsons),2,46-48,,
7:42.0,,,46-48,,D. Rose misses 2-pt shot from 22 ft
7:41.0,Defensive rebound by D. Nowitzki,,46-48,,
7:31.0,C. Parsons makes 2-pt shot from 2 ft (assist by D. Williams),2,48-48,,
7:13.0,,,48-48,,P. Gasol misses 2-pt shot from 21 ft
7:12.0,Defensive rebound by W. Matthews,,48-48,,
7:03.0,D. Williams makes 3-pt shot from 25 ft (assist by Z. Pachulia),3,51-48,,
6:49.0,,,51-48,,J. Butler misses 2-pt shot from 11 ft
6:48.0,Defensive rebound by C. Parsons,,51-48,,
6:42.0,Turnover by C. Parsons (bad pass; steal by J. Butler),,51-48,,
6:38.0,,,51-50,2,J. Butler makes 2-pt shot from 1 ft
6:19.0,,,51-50,,Personal foul by T. Snell (drawn by D. Nowitzki)
6:19.0,,,51-50,,D. McDermott enters the game for T. Snell
6:05.0,D. Williams makes 2-pt shot from 16 ft,2,53-50,,
5:41.0,,,53-50,,D. Rose misses 2-pt shot from 7 ft (block by D. Williams)
5:41.0,,,53-50,,Offensive rebound by Team
5:41.0,D. Powell enters the game for D. Nowitzki,,53-50,,
5:36.0,,,53-50,,J. Butler misses 3-pt shot from 24 ft
5:35.0,,,53-50,,Offensive rebound by T. Gibson
5:23.0,,,53-50,,Turnover by D. Rose (lost ball)
5:04.0,Z. Pachulia misses 2-pt shot from 13 ft,,53-50,,
5:03.0,,,53-50,,Defensive rebound by Team
5:03.0,,,53-50,,N. Mirotic enters the game for T. Gibson
4:54.0,,,53-52,2,D. Rose makes 2-pt shot from 1 ft
4:34.0,Turnover by W. Matthews (traveling),,53-52,,
4:34.0,D. Harris enters the game for C. Parsons,,53-52,,
4:34.0,Dallas full timeout,,53-52,,
4:34.0,,,53-52,,A. Brooks enters the game for D. Rose
4:09.0,,,53-54,2,A. Brooks makes 2-pt shot from 10 ft
3:46.0,W. Matthews makes 2-pt shot from 11 ft,2,55-54,,
3:31.0,,,55-56,2,J. Butler makes 2-pt shot from 16 ft
3:08.0,D. Williams misses 2-pt shot from 8 ft,,55-56,,
3:06.0,Offensive rebound by Z. Pachulia,,55-56,,
3:06.0,Turnover by Team (shot clock),,55-56,,
2:57.0,Personal foul by Z. Pachulia (drawn by J. Butler),,55-56,,
2:41.0,,,55-56,,A. Brooks misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by D. Powell,,55-56,,
2:23.0,D. Harris misses 2-pt shot from 19 ft,,55-56,,
2:22.0,,,55-56,,Defensive rebound by N. Mirotic
2:15.0,,,55-56,,N. Mirotic misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by Z. Pachulia,,55-56,,
2:04.0,Z. Pachulia misses 2-pt shot from 14 ft,,55-56,,
2:03.0,,,55-56,,Defensive rebound by J. Butler
1:48.0,,,55-56,,Turnover by P. Gasol (lost ball; steal by Z. Pachulia)
1:43.0,Turnover by D. Harris (lost ball; steal by P. Gasol),,55-56,,
1:39.0,,,55-58,2,P. Gasol makes 2-pt shot at rim (assist by J. Butler)
1:35.0,Dallas full timeout,,55-58,,
1:35.0,J. Barea enters the game for Z. Pachulia,,55-58,,
1:35.0,C. Parsons enters the game for W. Matthews,,55-58,,
1:35.0,J. McGee enters the game for D. Williams,,55-58,,
1:35.0,D. Nowitzki enters the game for D. Powell,,55-58,,
1:35.0,,,55-58,,B. Portis enters the game for P. Gasol
1:23.0,D. Nowitzki makes 2-pt shot from 12 ft,2,57-58,,
1:00.0,,,57-58,,B. Portis misses 2-pt shot from 15 ft
1:00.0,,,57-58,,Offensive rebound by Team
0:58.0,,,57-61,3,B. Portis makes 3-pt shot from 24 ft (assist by A. Brooks)
0:40.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by C. Parsons),2,59-61,,
0:26.0,,,59-61,,A. Brooks misses 2-pt shot from 10 ft
0:24.0,,,59-61,,Offensive rebound by B. Portis
0:07.0,Personal take foul by D. Harris (drawn by J. Butler),,59-61,,
0:07.0,D. Powell enters the game for J. McGee,,59-61,,
0:07.0,W. Matthews enters the game for D. Nowitzki,,59-61,,
0:01.0,,,59-61,,J. Butler misses 2-pt shot from 17 ft
0:00.0,,,59-61,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,59-61,,Turnover by Team (shot clock)
11:24.0,D. Nowitzki misses 2-pt shot from 19 ft,,59-61,,
11:23.0,,,59-61,,Defensive rebound by D. McDermott
11:10.0,Personal foul by D. Harris (drawn by T. Gibson),,59-61,,
10:55.0,,,59-63,2,E. Moore makes 2-pt shot from 11 ft
10:44.0,Shooting foul by E. Moore (drawn by J. Barea),,59-63,,
10:44.0,J. Barea makes free throw 1 of 2,1,60-63,,
10:44.0,J. Barea makes free throw 2 of 2,1,61-63,,
10:18.0,,,61-63,,E. Moore misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by D. Powell,,61-63,,
10:00.0,D. Harris misses 2-pt shot from 7 ft,,61-63,,
9:59.0,Offensive rebound by D. Harris,,61-63,,
9:54.0,D. Harris makes 3-pt shot from 23 ft (assist by J. Barea),3,64-63,,
9:43.0,,,64-63,,A. Brooks misses 2-pt shot at rim
9:43.0,Defensive rebound by Team,,64-63,,
9:33.0,J. Barea misses 3-pt shot from 24 ft,,64-63,,
9:32.0,,,64-63,,Defensive rebound by D. McDermott
9:26.0,,,64-63,,Offensive foul by T. Gibson
9:26.0,,,64-63,,Turnover by T. Gibson (offensive foul)
9:26.0,,,64-63,,D. Rose enters the game for A. Brooks
9:10.0,D. Nowitzki misses 2-pt shot from 18 ft,,64-63,,
9:09.0,,,64-63,,Defensive rebound by D. McDermott
8:52.0,,,64-63,,B. Portis misses 2-pt shot from 6 ft
8:51.0,Defensive rebound by D. Nowitzki,,64-63,,
8:38.0,D. Powell misses 2-pt shot at rim,,64-63,,
8:37.0,,,64-63,,Defensive rebound by E. Moore
8:31.0,,,64-65,2,B. Portis makes 2-pt shot from 2 ft (assist by E. Moore)
8:01.0,J. Barea misses 3-pt shot from 25 ft,,64-65,,
8:00.0,Offensive rebound by D. Powell,,64-65,,
8:00.0,D. Powell misses 2-pt shot from 2 ft,,64-65,,
8:00.0,Offensive rebound by Team,,64-65,,
8:00.0,Dallas full timeout,,64-65,,
7:43.0,C. Parsons makes 2-pt shot from 1 ft (assist by D. Harris),2,66-65,,
7:22.0,,,66-65,,E. Moore misses 3-pt shot from 24 ft
7:22.0,,,66-65,,Offensive rebound by Team
7:22.0,Z. Pachulia enters the game for D. Nowitzki,,66-65,,
7:22.0,D. Williams enters the game for D. Powell,,66-65,,
7:22.0,,,66-65,,J. Butler enters the game for D. McDermott
7:22.0,,,66-65,,P. Gasol enters the game for T. Gibson
7:22.0,W. Matthews enters the game for D. Harris,,66-65,,
7:21.0,,,66-65,,Offensive foul by B. Portis
7:21.0,,,66-65,,Turnover by B. Portis (offensive foul)
7:21.0,,,66-65,,T. Snell enters the game for B. Portis
7:01.0,C. Parsons misses 3-pt shot from 24 ft,,66-65,,
7:00.0,,,66-65,,Defensive rebound by J. Butler
6:50.0,,,66-65,,Turnover by T. Snell (step out of bounds)
6:30.0,W. Matthews misses 3-pt shot from 24 ft,,66-65,,
6:29.0,,,66-65,,Defensive rebound by T. Snell
6:19.0,,,66-67,2,D. Rose makes 2-pt shot from 14 ft
6:07.0,Offensive foul by Z. Pachulia,,66-67,,
6:07.0,Turnover by Z. Pachulia (offensive foul),,66-67,,
5:57.0,,,66-67,,Offensive foul by E. Moore
5:57.0,,,66-67,,Turnover by E. Moore (offensive foul)
5:57.0,,,66-67,,Chicago full timeout
5:35.0,D. Williams makes 2-pt shot from 2 ft,2,68-67,,
5:18.0,,,68-69,2,D. Rose makes 2-pt shot from 2 ft
4:52.0,D. Williams makes 3-pt shot from 24 ft,3,71-69,,
4:34.0,,,71-69,,D. Rose misses 2-pt shot from 2 ft
4:34.0,,,71-69,,Offensive rebound by Team
4:31.0,,,71-69,,T. Snell misses 2-pt shot from 6 ft (block by D. Williams)
4:30.0,Defensive rebound by Z. Pachulia,,71-69,,
4:16.0,C. Parsons makes 2-pt shot from 19 ft (assist by Z. Pachulia),2,73-69,,
3:58.0,,,73-72,3,T. Snell makes 3-pt shot from 25 ft (assist by P. Gasol)
3:52.0,Dallas full timeout,,73-72,,
3:52.0,,,73-72,,T. Gibson enters the game for E. Moore
3:52.0,D. Nowitzki enters the game for J. Barea,,73-72,,
3:37.0,W. Matthews misses 3-pt shot from 25 ft,,73-72,,
3:35.0,,,73-72,,Defensive rebound by T. Snell
3:22.0,,,73-72,,D. Rose misses 2-pt shot from 5 ft (block by D. Nowitzki)
3:20.0,Defensive rebound by Z. Pachulia,,73-72,,
3:01.0,D. Williams makes 3-pt shot from 24 ft (assist by W. Matthews),3,76-72,,
2:38.0,,,76-72,,P. Gasol misses 2-pt shot from 2 ft
2:37.0,,,76-72,,Offensive rebound by T. Gibson
2:37.0,,,76-72,,T. Gibson misses 2-pt shot from 1 ft
2:36.0,Defensive rebound by W. Matthews,,76-72,,
2:16.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by C. Parsons),3,79-72,,
2:15.0,,,79-72,,Chicago full timeout
2:15.0,,,79-72,,E. Moore enters the game for T. Snell
1:58.0,,,79-72,,Shooting foul by Z. Pachulia (drawn by P. Gasol)
1:58.0,,,79-73,1,P. Gasol makes free throw 1 of 2
1:58.0,,,79-74,1,P. Gasol makes free throw 2 of 2
1:39.0,C. Parsons misses 2-pt shot from 3 ft,,79-74,,
1:39.0,,,79-74,,Defensive rebound by Team
1:39.0,Loose ball foul by Z. Pachulia (drawn by P. Gasol),,79-74,,
1:39.0,D. Powell enters the game for Z. Pachulia,,79-74,,
1:39.0,,,79-75,1,P. Gasol makes free throw 1 of 2
1:39.0,,,79-75,,P. Gasol misses free throw 2 of 2
1:37.0,Defensive rebound by D. Nowitzki,,79-75,,
1:23.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by C. Parsons),2,81-75,,
1:15.0,,,81-77,2,P. Gasol makes 2-pt shot from 1 ft (assist by D. Rose)
0:56.0,D. Nowitzki misses 2-pt shot from 16 ft,,81-77,,
0:55.0,,,81-77,,Defensive rebound by J. Butler
0:46.0,,,81-77,,J. Butler misses 2-pt shot from 3 ft
0:46.0,,,81-77,,Offensive rebound by P. Gasol
0:46.0,,,81-77,,Turnover by P. Gasol (step out of bounds)
0:29.0,,,81-77,,Personal foul by J. Butler (drawn by D. Nowitzki)
