time,Detroit,pts.away,score,pts.home,LA Clippers
0:45.0,M. Morris misses 2-pt shot from 14 ft,,26-25,,
0:44.0,,,26-25,,Defensive rebound by W. Johnson
0:36.0,,,26-25,,J. Crawford misses 2-pt shot from 16 ft
0:35.0,Defensive rebound by A. Drummond,,26-25,,
0:22.0,A. Drummond misses 2-pt shot from 6 ft (block by J. Smith),,26-25,,
0:21.0,Offensive rebound by M. Morris,,26-25,,
0:15.0,A. Drummond makes 2-pt shot at rim (assist by M. Morris),2,28-25,,
0:01.0,,,28-25,,Turnover by J. Crawford (bad pass)
0:00.0,S. Johnson misses 3-pt shot from 62 ft (block by J. Crawford),,28-25,,
0:00.0,Offensive rebound by Team,,28-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by S. Johnson (3 sec),,28-25,,
11:35.0,,,28-25,,W. Johnson misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by A. Tolliver,,28-25,,
11:26.0,,,28-25,,L. Stephenson enters the game for J. Crawford
11:14.0,Turnover by S. Blake (bad pass; steal by W. Johnson),,28-25,,
11:06.0,,,28-25,,J. Smith misses 3-pt shot from 24 ft
11:05.0,Defensive rebound by S. Johnson,,28-25,,
10:56.0,A. Tolliver makes 3-pt shot from 23 ft (assist by S. Johnson),3,31-25,,
10:36.0,,,31-27,2,B. Griffin makes 2-pt shot at rim
10:22.0,Shooting foul by W. Johnson (drawn by A. Tolliver),,31-27,,
10:22.0,A. Tolliver makes free throw 1 of 2,1,32-27,,
10:22.0,A. Tolliver makes free throw 2 of 2,1,33-27,,
10:16.0,,,33-27,,Turnover by L. Stephenson (lost ball; steal by S. Johnson)
10:09.0,S. Johnson makes 2-pt shot at rim,2,35-27,,
10:00.0,,,35-27,,Turnover by J. Smith (bad pass; steal by A. Tolliver)
9:49.0,S. Johnson makes 3-pt shot from 24 ft (assist by A. Tolliver),3,38-27,,
9:44.0,,,38-27,,LA Clippers full timeout
9:44.0,,,38-27,,A. Rivers enters the game for L. Stephenson
9:33.0,,,38-27,,Turnover by B. Griffin (traveling)
9:18.0,A. Baynes makes 2-pt shot from 8 ft (assist by S. Blake),2,40-27,,
9:00.0,,,40-27,,Turnover by P. Prigioni (lost ball; steal by S. Blake)
8:52.0,,,40-27,,Violation by B. Griffin (kicked ball)
8:36.0,S. Johnson makes 2-pt shot from 7 ft,2,42-27,,
8:25.0,,,42-27,,P. Prigioni misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by A. Tolliver,,42-27,,
8:16.0,A. Tolliver misses 3-pt shot from 24 ft,,42-27,,
8:16.0,Offensive rebound by A. Baynes,,42-27,,
8:08.0,S. Blake makes 2-pt shot from 1 ft,2,44-27,,
7:42.0,,,44-29,2,J. Smith makes 2-pt shot from 1 ft
7:29.0,Turnover by S. Blake (lost ball; steal by P. Prigioni),,44-29,,
7:22.0,,,44-29,,Turnover by J. Smith (bad pass; steal by M. Morris)
7:08.0,S. Johnson makes 2-pt shot from 13 ft,2,46-29,,
6:51.0,,,46-29,,W. Johnson misses 2-pt shot from 17 ft
6:50.0,Defensive rebound by S. Johnson,,46-29,,
6:44.0,Turnover by A. Baynes (lost ball; steal by W. Johnson),,46-29,,
6:42.0,Personal foul by S. Blake (drawn by P. Prigioni),,46-29,,
6:42.0,,,46-29,,P. Pierce enters the game for W. Johnson
6:42.0,,,46-29,,D. Jordan enters the game for J. Smith
6:42.0,,,46-29,,J. Crawford enters the game for P. Prigioni
6:42.0,K. Caldwell-Pope enters the game for M. Morris,,46-29,,
6:27.0,,,46-31,2,A. Rivers makes 2-pt shot from 6 ft
6:16.0,A. Baynes makes 2-pt shot from 1 ft (assist by S. Blake),2,48-31,,
6:05.0,,,48-33,2,J. Crawford makes 2-pt shot from 18 ft
5:48.0,Turnover by S. Johnson (lost ball; steal by D. Jordan),,48-33,,
5:35.0,,,48-35,2,D. Jordan makes 2-pt shot at rim (assist by P. Pierce)
5:26.0,Detroit full timeout,,48-35,,
5:26.0,E. Ilyasova enters the game for A. Tolliver,,48-35,,
5:26.0,A. Drummond enters the game for S. Blake,,48-35,,
5:26.0,R. Jackson enters the game for A. Baynes,,48-35,,
5:18.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,48-35,,
5:17.0,Offensive rebound by A. Drummond,,48-35,,
4:58.0,A. Drummond makes 2-pt shot from 8 ft,2,50-35,,
4:41.0,Personal foul by S. Johnson (drawn by P. Pierce),,50-35,,
4:41.0,M. Morris enters the game for S. Johnson,,50-35,,
4:33.0,,,50-37,2,J. Crawford makes 2-pt shot at rim
4:11.0,A. Drummond misses 2-pt shot from 9 ft,,50-37,,
4:09.0,,,50-37,,Defensive rebound by J. Crawford
4:07.0,Personal foul by K. Caldwell-Pope (drawn by B. Griffin),,50-37,,
4:03.0,,,50-39,2,B. Griffin makes 2-pt shot from 1 ft (assist by J. Crawford)
3:44.0,K. Caldwell-Pope makes 2-pt shot at rim,2,52-39,,
3:31.0,,,52-39,,J. Crawford misses 2-pt shot from 12 ft
3:30.0,Defensive rebound by A. Drummond,,52-39,,
3:20.0,M. Morris misses 2-pt shot from 1 ft,,52-39,,
3:19.0,Offensive rebound by M. Morris,,52-39,,
3:16.0,M. Morris makes 2-pt shot at rim,2,54-39,,
3:03.0,,,54-41,2,J. Crawford makes 2-pt shot from 13 ft (assist by B. Griffin)
2:48.0,E. Ilyasova misses 2-pt shot from 20 ft,,54-41,,
2:48.0,Offensive rebound by A. Drummond,,54-41,,
2:43.0,R. Jackson misses 3-pt shot from 24 ft,,54-41,,
2:43.0,Offensive rebound by A. Drummond,,54-41,,
2:39.0,A. Drummond makes 2-pt shot from 1 ft,2,56-41,,
2:26.0,,,56-44,3,A. Rivers makes 3-pt shot from 24 ft (assist by J. Crawford)
2:12.0,R. Jackson misses 2-pt shot from 11 ft,,56-44,,
2:11.0,Offensive rebound by R. Jackson,,56-44,,
2:09.0,R. Jackson makes 2-pt shot from 1 ft,2,58-44,,
2:03.0,,,58-47,3,J. Crawford makes 3-pt shot from 24 ft (assist by P. Pierce)
1:48.0,A. Drummond makes 2-pt shot from 8 ft (assist by M. Morris),2,60-47,,
1:36.0,,,60-47,,Shooting foul by K. Caldwell-Pope (drawn by J. Crawford)
1:36.0,Official timeout,,60-47,,
1:36.0,,,60-48,1,J. Crawford makes free throw 1 of 2
1:36.0,S. Johnson enters the game for K. Caldwell-Pope,,60-48,,
1:36.0,A. Tolliver enters the game for E. Ilyasova,,60-48,,
1:36.0,,,60-49,1,J. Crawford makes free throw 2 of 2
1:14.0,S. Johnson misses 2-pt shot from 8 ft,,60-49,,
1:13.0,,,60-49,,Defensive rebound by D. Jordan
1:07.0,Personal foul by M. Morris (drawn by B. Griffin),,60-49,,
1:07.0,,,60-49,,B. Griffin misses free throw 1 of 2
1:07.0,,,60-49,,Offensive rebound by Team
1:07.0,,,60-49,,B. Griffin misses free throw 2 of 2
1:05.0,Defensive rebound by A. Drummond,,60-49,,
0:52.0,M. Morris misses 3-pt shot from 25 ft,,60-49,,
0:52.0,,,60-49,,Defensive rebound by P. Pierce
0:43.0,,,60-49,,J. Crawford misses 2-pt shot from 12 ft
0:43.0,Defensive rebound by A. Tolliver,,60-49,,
0:32.0,A. Drummond misses 2-pt shot from 4 ft (block by B. Griffin),,60-49,,
0:32.0,,,60-49,,Defensive rebound by Team
0:32.0,Loose ball foul by A. Drummond (drawn by B. Griffin),,60-49,,
0:32.0,,,60-50,1,B. Griffin makes free throw 1 of 2
0:32.0,A. Baynes enters the game for A. Drummond,,60-50,,
0:32.0,,,60-50,,L. Mbah a Moute enters the game for J. Crawford
0:32.0,,,60-51,1,B. Griffin makes free throw 2 of 2
0:16.0,Turnover by M. Morris (traveling),,60-51,,
0:16.0,,,60-51,,W. Johnson enters the game for D. Jordan
0:16.0,,,60-51,,J. Crawford enters the game for L. Mbah a Moute
0:01.0,,,60-51,,P. Pierce misses 2-pt shot from 20 ft
0:00.0,,,60-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Shooting foul by J. Crawford (drawn by K. Caldwell-Pope),,60-51,,
11:44.0,K. Caldwell-Pope misses free throw 1 of 2,,60-51,,
11:44.0,Offensive rebound by Team,,60-51,,
11:44.0,K. Caldwell-Pope makes free throw 2 of 2,1,61-51,,
11:34.0,,,61-51,,Turnover by J. Crawford (bad pass; steal by A. Drummond)
11:21.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,63-51,,
11:00.0,,,63-53,2,B. Griffin makes 2-pt shot from 4 ft (assist by J. Crawford)
10:43.0,K. Caldwell-Pope misses 2-pt shot from 10 ft,,63-53,,
10:42.0,,,63-53,,Defensive rebound by D. Jordan
10:20.0,,,63-53,,P. Pierce misses 2-pt shot from 6 ft
10:19.0,Defensive rebound by R. Jackson,,63-53,,
10:13.0,Turnover by R. Jackson (traveling),,63-53,,
9:57.0,,,63-55,2,B. Griffin makes 2-pt shot from 3 ft (assist by P. Pierce)
9:57.0,,,63-55,,Shooting foul by E. Ilyasova (drawn by B. Griffin)
9:57.0,,,63-55,,B. Griffin misses free throw 1 of 1
9:52.0,Defensive rebound by A. Drummond,,63-55,,
9:45.0,K. Caldwell-Pope makes 2-pt shot from 20 ft (assist by A. Drummond),2,65-55,,
9:32.0,,,65-55,,Offensive foul by D. Jordan
9:32.0,,,65-55,,Turnover by D. Jordan (offensive foul)
9:20.0,K. Caldwell-Pope misses 2-pt shot from 2 ft (block by D. Jordan),,65-55,,
9:19.0,,,65-55,,Defensive rebound by D. Jordan
9:12.0,,,65-55,,J. Crawford misses 2-pt shot from 2 ft
9:12.0,Defensive rebound by A. Drummond,,65-55,,
9:01.0,R. Jackson misses 3-pt shot from 25 ft,,65-55,,
9:01.0,Offensive rebound by E. Ilyasova,,65-55,,
8:58.0,E. Ilyasova makes 2-pt shot from 1 ft,2,67-55,,
8:42.0,,,67-55,,B. Griffin misses 2-pt shot from 19 ft
8:41.0,Defensive rebound by A. Drummond,,67-55,,
8:29.0,Shooting foul by A. Rivers (drawn by E. Ilyasova),,67-55,,
8:29.0,E. Ilyasova misses free throw 1 of 2,,67-55,,
8:29.0,Offensive rebound by Team,,67-55,,
8:29.0,E. Ilyasova makes free throw 2 of 2,1,68-55,,
8:18.0,,,68-57,2,J. Crawford makes 2-pt shot from 10 ft (assist by B. Griffin)
8:05.0,Turnover by E. Ilyasova (lost ball),,68-57,,
7:53.0,,,68-57,,A. Rivers misses 3-pt shot from 25 ft
7:52.0,,,68-57,,Offensive rebound by D. Jordan
7:48.0,,,68-57,,D. Jordan misses 2-pt shot at rim (block by A. Drummond)
7:45.0,Defensive rebound by A. Drummond,,68-57,,
7:37.0,E. Ilyasova misses 2-pt shot from 2 ft,,68-57,,
7:37.0,,,68-57,,Defensive rebound by D. Jordan
7:29.0,,,68-57,,J. Crawford misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by E. Ilyasova,,68-57,,
7:03.0,M. Morris makes 2-pt shot from 13 ft (assist by K. Caldwell-Pope),2,70-57,,
6:42.0,,,70-57,,LA Clippers full timeout
6:35.0,,,70-59,2,B. Griffin makes 2-pt shot from 20 ft (assist by A. Rivers)
6:25.0,R. Jackson makes 2-pt shot from 1 ft,2,72-59,,
6:25.0,Shooting foul by P. Pierce (drawn by R. Jackson),,72-59,,
6:25.0,R. Jackson misses free throw 1 of 1,,72-59,,
6:23.0,,,72-59,,Defensive rebound by J. Crawford
6:05.0,,,72-61,2,J. Crawford makes 2-pt shot from 8 ft (assist by B. Griffin)
5:46.0,Turnover by E. Ilyasova (bad pass; steal by B. Griffin),,72-61,,
5:36.0,,,72-61,,Turnover by B. Griffin (lost ball; steal by R. Jackson)
5:34.0,,,72-61,,Personal take foul by J. Crawford (drawn by R. Jackson)
5:34.0,S. Johnson enters the game for M. Morris,,72-61,,
5:17.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,72-61,,
5:17.0,,,72-61,,Defensive rebound by P. Pierce
5:00.0,,,72-64,3,P. Pierce makes 3-pt shot from 27 ft (assist by B. Griffin)
4:34.0,Shooting foul by B. Griffin (drawn by E. Ilyasova),,72-64,,
4:34.0,E. Ilyasova makes free throw 1 of 3,1,73-64,,
4:34.0,E. Ilyasova makes free throw 2 of 3,1,74-64,,
4:34.0,,,74-64,,L. Mbah a Moute enters the game for P. Pierce
4:34.0,E. Ilyasova makes free throw 3 of 3,1,75-64,,
4:24.0,,,75-66,2,B. Griffin makes 2-pt shot at rim
4:23.0,,,75-66,,Personal take foul by L. Mbah a Moute (drawn by A. Drummond)
4:23.0,A. Drummond misses free throw 1 of 2,,75-66,,
4:23.0,Offensive rebound by Team,,75-66,,
4:23.0,A. Drummond makes free throw 2 of 2,1,76-66,,
4:03.0,,,76-69,3,J. Crawford makes 3-pt shot from 24 ft (assist by B. Griffin)
3:39.0,,,76-69,,Personal foul by D. Jordan (drawn by R. Jackson)
3:39.0,R. Jackson makes free throw 1 of 2,1,77-69,,
3:39.0,R. Jackson makes free throw 2 of 2,1,78-69,,
3:30.0,,,78-72,3,J. Crawford makes 3-pt shot from 25 ft
3:25.0,,,78-72,,Personal take foul by L. Mbah a Moute (drawn by A. Drummond)
3:25.0,A. Drummond misses free throw 1 of 2,,78-72,,
3:25.0,Offensive rebound by Team,,78-72,,
3:25.0,M. Morris enters the game for S. Johnson,,78-72,,
3:25.0,A. Drummond misses free throw 2 of 2,,78-72,,
3:24.0,,,78-72,,Defensive rebound by D. Jordan
3:10.0,,,78-72,,B. Griffin misses 2-pt shot from 3 ft (block by E. Ilyasova)
3:10.0,Defensive rebound by Team,,78-72,,
3:10.0,A. Baynes enters the game for A. Drummond,,78-72,,
2:47.0,R. Jackson misses 3-pt shot from 26 ft,,78-72,,
2:45.0,,,78-72,,Defensive rebound by B. Griffin
2:39.0,,,78-72,,J. Crawford misses 3-pt shot from 25 ft
2:39.0,,,78-72,,Offensive rebound by D. Jordan
2:39.0,Loose ball foul by A. Baynes (drawn by D. Jordan),,78-72,,
2:39.0,Detroit full timeout,,78-72,,
2:39.0,,,78-72,,J. Smith enters the game for D. Jordan
2:39.0,A. Tolliver enters the game for E. Ilyasova,,78-72,,
2:39.0,S. Blake enters the game for K. Caldwell-Pope,,78-72,,
2:39.0,S. Johnson enters the game for R. Jackson,,78-72,,
2:28.0,,,78-72,,B. Griffin misses 2-pt shot from 1 ft
2:28.0,,,78-72,,Offensive rebound by A. Rivers
2:28.0,Jump ball: S. Blake vs. A. Rivers,,,,Jump ball: S. Blake vs. A. Rivers
2:28.0,,,78-72,,Turnover by A. Rivers (lost ball; steal by S. Blake)
2:11.0,A. Baynes misses 2-pt shot at rim,,78-72,,
2:11.0,,,78-72,,Defensive rebound by L. Mbah a Moute
2:03.0,,,78-72,,J. Crawford misses 2-pt shot from 13 ft
2:02.0,,,78-72,,Offensive rebound by B. Griffin
1:59.0,,,78-74,2,B. Griffin makes 2-pt shot from 1 ft
1:43.0,A. Baynes misses 2-pt shot from 18 ft,,78-74,,
1:42.0,,,78-74,,Defensive rebound by B. Griffin
1:36.0,Personal foul by S. Johnson (drawn by J. Crawford),,78-74,,
1:25.0,,,78-74,,J. Smith misses 3-pt shot from 25 ft
1:24.0,,,78-74,,Offensive rebound by L. Mbah a Moute
1:16.0,,,78-76,2,B. Griffin makes 2-pt shot from 1 ft
1:16.0,,,78-76,,Shooting foul by A. Tolliver (drawn by B. Griffin)
1:16.0,,,78-77,1,B. Griffin makes free throw 1 of 1
1:08.0,,,78-77,,Personal foul by L. Mbah a Moute (drawn by M. Morris)
1:08.0,M. Morris makes free throw 1 of 2,1,79-77,,
1:08.0,,,79-77,,P. Prigioni enters the game for A. Rivers
1:08.0,,,79-77,,W. Johnson enters the game for B. Griffin
1:08.0,M. Morris makes free throw 2 of 2,1,80-77,,
1:00.0,Personal block foul by S. Johnson (drawn by J. Crawford),,80-77,,
1:00.0,,,80-78,1,J. Crawford makes free throw 1 of 2
1:00.0,K. Caldwell-Pope enters the game for S. Johnson,,80-78,,
1:00.0,,,80-79,1,J. Crawford makes free throw 2 of 2
0:44.0,Turnover by M. Morris (lost ball),,80-79,,
0:34.0,,,80-79,,J. Crawford misses 2-pt shot from 18 ft
0:34.0,Defensive rebound by A. Baynes,,80-79,,
0:22.0,S. Blake misses 3-pt shot from 25 ft,,80-79,,
0:21.0,,,80-79,,Defensive rebound by J. Smith
0:01.0,,,80-81,2,J. Crawford makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,80-81,,J. Crawford misses 3-pt shot from 27 ft
11:35.0,Defensive rebound by A. Tolliver,,80-81,,
11:25.0,,,80-81,,Personal foul by J. Smith (drawn by A. Baynes)
11:25.0,A. Drummond enters the game for A. Baynes,,80-81,,
11:11.0,M. Morris misses 3-pt shot from 24 ft,,80-81,,
11:10.0,,,80-81,,Defensive rebound by W. Johnson
11:02.0,,,80-81,,J. Crawford misses 2-pt shot from 4 ft
11:02.0,Defensive rebound by Team,,80-81,,
10:44.0,,,80-81,,A. Rivers enters the game for J. Crawford
10:44.0,,,80-81,,D. Jordan enters the game for W. Johnson
10:36.0,A. Tolliver misses 3-pt shot from 24 ft,,80-81,,
10:36.0,,,80-81,,Defensive rebound by L. Mbah a Moute
10:28.0,,,80-81,,D. Jordan misses 2-pt shot from 1 ft
10:28.0,Defensive rebound by A. Drummond,,80-81,,
10:16.0,Shooting foul by D. Jordan (drawn by A. Drummond),,80-81,,
10:16.0,A. Drummond misses free throw 1 of 2,,80-81,,
10:16.0,Offensive rebound by Team,,80-81,,
10:16.0,R. Jackson enters the game for S. Blake,,80-81,,
10:16.0,A. Drummond makes free throw 2 of 2,1,81-81,,
10:03.0,,,81-81,,Turnover by A. Rivers (step out of bounds)
9:46.0,Offensive foul by A. Drummond,,81-81,,
9:46.0,Turnover by A. Drummond (offensive foul),,81-81,,
9:46.0,,,81-81,,B. Griffin enters the game for J. Smith
9:34.0,,,81-81,,A. Rivers misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by A. Drummond,,81-81,,
9:21.0,A. Drummond misses 2-pt shot from 2 ft,,81-81,,
9:20.0,,,81-81,,Defensive rebound by D. Jordan
9:11.0,,,81-81,,B. Griffin misses 2-pt shot from 2 ft
9:11.0,,,81-81,,Offensive rebound by B. Griffin
9:11.0,Loose ball foul by M. Morris (drawn by B. Griffin),,81-81,,
9:11.0,,,81-81,,W. Johnson enters the game for P. Prigioni
9:03.0,,,81-81,,L. Mbah a Moute misses 2-pt shot from 19 ft
9:02.0,Defensive rebound by A. Drummond,,81-81,,
8:40.0,A. Drummond misses 2-pt shot from 5 ft,,81-81,,
8:39.0,,,81-81,,Defensive rebound by D. Jordan
8:25.0,,,81-81,,Shooting foul by R. Jackson (drawn by A. Rivers)
8:25.0,Official timeout,,81-81,,
8:25.0,,,81-81,,J. Crawford enters the game for W. Johnson
8:25.0,,,81-81,,P. Pierce enters the game for L. Mbah a Moute
8:25.0,S. Johnson enters the game for M. Morris,,81-81,,
8:25.0,E. Ilyasova enters the game for A. Tolliver,,81-81,,
8:25.0,,,81-82,1,A. Rivers makes free throw 1 of 2
8:25.0,,,81-82,,A. Rivers misses free throw 2 of 2
8:24.0,Defensive rebound by A. Drummond,,81-82,,
8:01.0,S. Johnson misses 3-pt shot from 23 ft,,81-82,,
8:00.0,,,81-82,,Defensive rebound by J. Crawford
7:52.0,,,81-82,,B. Griffin misses 2-pt shot from 2 ft
7:52.0,Defensive rebound by Team,,81-82,,
7:52.0,,,81-82,,Loose ball foul by B. Griffin (drawn by A. Drummond)
7:32.0,E. Ilyasova misses 3-pt shot from 25 ft,,81-82,,
7:32.0,Offensive rebound by S. Johnson,,81-82,,
7:22.0,R. Jackson misses 2-pt shot from 1 ft,,81-82,,
7:22.0,,,81-82,,Defensive rebound by J. Crawford
7:11.0,,,81-82,,J. Crawford misses 2-pt shot from 18 ft
7:10.0,,,81-82,,Offensive rebound by J. Crawford
6:58.0,,,81-82,,B. Griffin misses 2-pt shot from 2 ft
6:57.0,Defensive rebound by S. Johnson,,81-82,,
6:50.0,,,81-82,,Personal foul by B. Griffin (drawn by E. Ilyasova)
6:38.0,Turnover by R. Jackson (step out of bounds),,81-82,,
6:16.0,,,81-84,2,B. Griffin makes 2-pt shot from 18 ft (assist by J. Crawford)
5:56.0,R. Jackson makes 2-pt shot from 3 ft,2,83-84,,
5:39.0,,,83-86,2,B. Griffin makes 2-pt shot from 18 ft (assist by J. Crawford)
5:27.0,,,83-86,,Personal take foul by A. Rivers (drawn by A. Drummond)
5:27.0,,,83-86,,LA Clippers full timeout
5:27.0,M. Morris enters the game for S. Johnson,,83-86,,
5:27.0,A. Drummond makes free throw 1 of 2,1,84-86,,
5:27.0,A. Drummond misses free throw 2 of 2,,84-86,,
5:26.0,,,84-86,,Defensive rebound by D. Jordan
5:09.0,,,84-88,2,J. Crawford makes 2-pt shot from 19 ft (assist by D. Jordan)
4:59.0,,,84-88,,Personal take foul by J. Crawford (drawn by A. Drummond)
4:59.0,A. Drummond misses free throw 1 of 2,,84-88,,
4:59.0,Offensive rebound by Team,,84-88,,
4:59.0,A. Drummond makes free throw 2 of 2,1,85-88,,
4:47.0,,,85-88,,Offensive foul by J. Crawford
4:47.0,,,85-88,,Turnover by J. Crawford (offensive foul)
4:47.0,A. Baynes enters the game for A. Drummond,,85-88,,
4:23.0,K. Caldwell-Pope makes 2-pt shot from 3 ft,2,87-88,,
