time,Sacramento,pts.away,score,pts.home,Orlando
5:59.0,Official timeout,,87-80,,
5:59.0,D. Collison makes technical free throw,1,88-80,,
5:42.0,D. Cousins makes 2-pt shot from 4 ft,2,90-80,,
5:34.0,Personal foul by M. Belinelli (drawn by C. Frye),,90-80,,
5:22.0,,,90-80,,T. Harris misses 3-pt shot from 23 ft
5:20.0,Defensive rebound by O. Casspi,,90-80,,
5:04.0,O. Casspi misses 3-pt shot from 32 ft,,90-80,,
5:01.0,,,90-80,,Defensive rebound by C. Frye
4:52.0,,,90-80,,C. Frye misses 3-pt shot from 28 ft
4:51.0,Defensive rebound by R. Rondo,,90-80,,
4:47.0,Shooting foul by C. Frye (drawn by D. Cousins),,90-80,,
4:47.0,D. Cousins misses free throw 1 of 2,,90-80,,
4:47.0,Offensive rebound by Team,,90-80,,
4:47.0,D. Cousins makes free throw 2 of 2,1,91-80,,
4:34.0,,,91-82,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton)
4:18.0,D. Cousins misses 3-pt shot from 25 ft,,91-82,,
4:17.0,,,91-82,,Defensive rebound by E. Fournier
4:05.0,,,91-84,2,T. Harris makes 2-pt shot at rim (assist by E. Fournier)
3:47.0,D. Collison misses 2-pt shot from 1 ft,,91-84,,
3:46.0,,,91-84,,Defensive rebound by E. Payton
3:41.0,,,91-84,,E. Fournier misses 3-pt shot from 24 ft
3:38.0,,,91-84,,Offensive rebound by A. Gordon
3:33.0,,,91-84,,A. Gordon misses 3-pt shot from 26 ft
3:31.0,Defensive rebound by R. Rondo,,91-84,,
3:25.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,93-84,,
3:23.0,,,93-84,,Orlando full timeout
3:12.0,,,93-84,,Turnover by A. Gordon (lost ball; steal by D. Collison)
3:09.0,Shooting foul by T. Harris (drawn by M. Belinelli),,93-84,,
3:09.0,M. Belinelli makes free throw 1 of 2,1,94-84,,
3:09.0,M. Belinelli makes free throw 2 of 2,1,95-84,,
2:59.0,,,95-84,,E. Payton misses 2-pt shot from 3 ft
2:57.0,Defensive rebound by D. Cousins,,95-84,,
2:45.0,D. Cousins misses 2-pt shot from 1 ft (block by C. Frye),,95-84,,
2:43.0,Offensive rebound by O. Casspi,,95-84,,
2:39.0,,,95-84,,Personal foul by E. Fournier (drawn by D. Cousins)
2:39.0,D. Cousins makes free throw 1 of 2,1,96-84,,
2:39.0,,,96-84,,M. Hezonja enters the game for A. Gordon
2:39.0,D. Cousins makes free throw 2 of 2,1,97-84,,
2:28.0,,,97-86,2,T. Harris makes 2-pt shot from 5 ft (assist by E. Payton)
2:04.0,R. Rondo misses 2-pt shot from 20 ft,,97-86,,
2:03.0,,,97-86,,Defensive rebound by C. Frye
1:59.0,,,97-86,,Turnover by M. Hezonja (step out of bounds)
1:59.0,,,97-86,,S. Napier enters the game for E. Payton
1:37.0,D. Cousins misses 2-pt shot from 19 ft,,97-86,,
1:35.0,Offensive rebound by R. Rondo,,97-86,,
1:35.0,R. Rondo misses 2-pt shot from 1 ft,,97-86,,
1:34.0,Offensive rebound by O. Casspi,,97-86,,
1:32.0,O. Casspi misses 2-pt shot from 2 ft,,97-86,,
1:31.0,,,97-86,,Defensive rebound by E. Fournier
1:22.0,,,97-88,2,T. Harris makes 2-pt shot from 1 ft (assist by S. Napier)
1:00.0,D. Cousins misses 2-pt shot from 1 ft (block by T. Harris),,97-88,,
1:00.0,,,97-88,,Defensive rebound by T. Harris
0:56.0,,,97-91,3,E. Fournier makes 3-pt shot from 24 ft (assist by S. Napier)
0:31.0,D. Collison misses 2-pt shot from 18 ft,,97-91,,
0:29.0,,,97-91,,Defensive rebound by S. Napier
0:23.0,,,97-91,,E. Fournier misses 3-pt shot from 25 ft
0:22.0,Defensive rebound by O. Casspi,,97-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
