time,LA Lakers,pts.away,score,pts.home,Utah
5:12.0,J. Clarkson misses 3-pt shot from 24 ft,,31-51,,
5:11.0,,,31-51,,Defensive rebound by S. Mack
4:59.0,,,31-54,3,R. Hood makes 3-pt shot from 24 ft
4:31.0,J. Clarkson misses 2-pt shot from 2 ft,,31-54,,
4:31.0,,,31-54,,Defensive rebound by R. Gobert
4:27.0,,,31-56,2,S. Mack makes 2-pt shot from 1 ft (assist by R. Gobert)
4:02.0,J. Randle misses 2-pt shot from 1 ft,,31-56,,
4:02.0,Offensive rebound by R. Hibbert,,31-56,,
3:59.0,R. Hibbert makes 2-pt shot from 2 ft,2,33-56,,
3:47.0,,,33-56,,Turnover by S. Mack (lost ball; steal by J. Clarkson)
3:42.0,Turnover by D. Russell (bad pass),,33-56,,
3:42.0,,,33-56,,Utah full timeout
3:42.0,,,33-56,,T. Lyles enters the game for D. Favors
3:42.0,,,33-56,,C. Johnson enters the game for J. Ingles
3:23.0,,,33-59,3,R. Hood makes 3-pt shot from 25 ft (assist by T. Lyles)
2:59.0,D. Russell misses 2-pt shot from 14 ft,,33-59,,
2:58.0,,,33-59,,Defensive rebound by T. Lyles
2:49.0,,,33-62,3,R. Hood makes 3-pt shot from 24 ft
2:36.0,K. Bryant misses 3-pt shot from 29 ft,,33-62,,
2:36.0,,,33-62,,Defensive rebound by Team
2:36.0,LA Lakers full timeout,,33-62,,
2:17.0,,,33-62,,T. Lyles misses 2-pt shot from 14 ft
2:16.0,Defensive rebound by J. Randle,,33-62,,
2:03.0,J. Clarkson misses 2-pt shot from 12 ft (block by R. Gobert),,33-62,,
2:02.0,,,33-62,,Defensive rebound by T. Lyles
2:02.0,,,33-62,,Turnover by T. Lyles (traveling)
1:53.0,,,33-62,,Personal foul by C. Johnson
1:53.0,K. Bryant makes free throw 1 of 2,1,34-62,,
1:53.0,,,34-62,,D. Favors enters the game for T. Lyles
1:53.0,K. Bryant makes free throw 2 of 2,1,35-62,,
1:35.0,,,35-64,2,S. Mack makes 2-pt shot from 19 ft
1:15.0,J. Randle makes 2-pt shot from 20 ft,2,37-64,,
1:03.0,,,37-64,,C. Johnson misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by J. Clarkson,,37-64,,
0:55.0,R. Hibbert misses 2-pt shot from 16 ft,,37-64,,
0:54.0,,,37-64,,Defensive rebound by R. Gobert
0:31.0,,,37-64,,D. Favors misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by D. Russell,,37-64,,
0:24.0,D. Russell misses 2-pt shot from 12 ft,,37-64,,
0:23.0,,,37-64,,Defensive rebound by D. Favors
0:02.0,,,37-64,,C. Johnson misses 3-pt shot from 23 ft
0:01.0,,,37-64,,Offensive rebound by C. Johnson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,J. Randle misses 2-pt shot from 21 ft,,37-64,,
11:40.0,,,37-64,,Defensive rebound by G. Hayward
11:18.0,,,37-64,,D. Favors misses 2-pt shot from 16 ft
11:18.0,Defensive rebound by R. Hibbert,,37-64,,
11:17.0,,,37-64,,Personal foul by R. Gobert
11:08.0,J. Clarkson misses 2-pt shot from 20 ft,,37-64,,
11:07.0,,,37-64,,Defensive rebound by R. Gobert
10:51.0,,,37-64,,G. Hayward misses 3-pt shot from 24 ft
10:50.0,,,37-64,,Offensive rebound by R. Gobert
10:48.0,,,37-66,2,R. Gobert makes 2-pt shot from 2 ft
10:37.0,D. Russell misses 2-pt shot from 7 ft,,37-66,,
10:36.0,,,37-66,,Defensive rebound by R. Gobert
10:16.0,,,37-68,2,D. Favors makes 2-pt shot from 15 ft (assist by G. Hayward)
9:57.0,K. Bryant misses 2-pt shot from 21 ft,,37-68,,
9:56.0,,,37-68,,Defensive rebound by R. Gobert
9:33.0,,,37-68,,S. Mack misses 2-pt shot from 21 ft
9:32.0,,,37-68,,Offensive rebound by G. Hayward
9:30.0,,,37-68,,G. Hayward misses 2-pt shot from 1 ft
9:26.0,Defensive rebound by R. Hibbert,,37-68,,
9:12.0,R. Hibbert makes 2-pt shot from 9 ft,2,39-68,,
9:12.0,Shooting foul by G. Hayward (drawn by R. Hibbert),,39-68,,
9:12.0,R. Hibbert makes free throw 1 of 1,1,40-68,,
9:01.0,,,40-68,,Turnover by S. Mack (lost ball; steal by D. Russell)
8:58.0,Shooting foul by R. Gobert (drawn by J. Clarkson),,40-68,,
8:58.0,J. Clarkson misses free throw 1 of 2,,40-68,,
8:58.0,Offensive rebound by Team,,40-68,,
8:58.0,J. Clarkson makes free throw 2 of 2,1,41-68,,
8:46.0,,,41-68,,G. Hayward misses 2-pt shot from 1 ft
8:46.0,Defensive rebound by R. Hibbert,,41-68,,
8:40.0,J. Clarkson misses 2-pt shot from 5 ft,,41-68,,
8:39.0,,,41-68,,Defensive rebound by D. Favors
8:34.0,Personal foul by R. Hibbert,,41-68,,
8:34.0,L. Williams enters the game for J. Clarkson,,41-68,,
8:27.0,,,41-70,2,R. Gobert makes 2-pt shot from 18 ft (assist by D. Favors)
8:12.0,Shooting foul by D. Favors (drawn by L. Williams),,41-70,,
8:12.0,L. Williams makes free throw 1 of 2,1,42-70,,
8:12.0,L. Williams makes free throw 2 of 2,1,43-70,,
8:05.0,Personal foul by D. Russell,,43-70,,
7:55.0,,,43-70,,G. Hayward misses 2-pt shot from 7 ft
7:54.0,,,43-70,,Offensive rebound by R. Gobert
7:44.0,,,43-72,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
7:28.0,,,43-72,,Def 3 sec tech foul by R. Gobert
7:28.0,K. Bryant makes technical free throw,1,44-72,,
7:23.0,D. Russell misses 2-pt shot from 16 ft,,44-72,,
7:23.0,,,44-72,,Defensive rebound by D. Favors
7:04.0,,,44-74,2,S. Mack makes 2-pt shot from 13 ft
6:49.0,L. Williams makes 3-pt shot from 25 ft (assist by K. Bryant),3,47-74,,
6:32.0,,,47-76,2,G. Hayward makes 2-pt shot at rim (assist by S. Mack)
6:32.0,,,47-76,,Shooting foul by R. Hibbert (drawn by G. Hayward)
6:32.0,,,47-77,1,G. Hayward makes free throw 1 of 1
6:12.0,J. Randle misses 2-pt shot from 9 ft,,47-77,,
6:11.0,,,47-77,,Defensive rebound by R. Gobert
5:57.0,,,47-80,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Gobert)
5:29.0,K. Bryant misses 3-pt shot from 31 ft,,47-80,,
5:29.0,,,47-80,,Defensive rebound by R. Gobert
5:25.0,,,47-82,2,S. Mack makes 2-pt shot from 1 ft (assist by G. Hayward)
5:25.0,LA Lakers full timeout,,47-82,,
5:25.0,,,47-82,,T. Booker enters the game for D. Favors
5:25.0,,,47-82,,J. Ingles enters the game for R. Hood
5:13.0,K. Bryant misses 3-pt shot from 24 ft,,47-82,,
5:12.0,,,47-82,,Defensive rebound by G. Hayward
4:58.0,Personal foul by R. Hibbert,,47-82,,
4:43.0,,,47-85,3,T. Booker makes 3-pt shot from 23 ft (assist by S. Mack)
4:23.0,Shooting foul by G. Hayward (drawn by L. Williams),,47-85,,
4:23.0,L. Williams misses free throw 1 of 3,,47-85,,
4:23.0,Offensive rebound by Team,,47-85,,
4:23.0,L. Williams makes free throw 2 of 3,1,48-85,,
4:23.0,,,48-85,,R. Hood enters the game for G. Hayward
4:23.0,L. Williams makes free throw 3 of 3,1,49-85,,
4:10.0,Personal foul by D. Russell,,49-85,,
4:10.0,,,49-86,1,T. Booker makes free throw 1 of 2
4:10.0,,,49-86,,G. Hayward enters the game for R. Hood
4:10.0,,,49-87,1,T. Booker makes free throw 2 of 2
3:52.0,D. Russell misses 3-pt shot from 22 ft,,49-87,,
3:51.0,,,49-87,,Defensive rebound by R. Gobert
3:34.0,,,49-87,,Turnover by J. Ingles (bad pass)
3:16.0,K. Bryant misses 2-pt shot from 6 ft,,49-87,,
3:15.0,,,49-87,,Defensive rebound by R. Gobert
3:12.0,,,49-89,2,T. Booker makes 2-pt shot at rim (assist by G. Hayward)
2:57.0,Turnover by D. Russell (lost ball; steal by G. Hayward),,49-89,,
2:56.0,Personal foul by D. Russell,,49-89,,
2:56.0,,,49-89,,Utah full timeout
2:56.0,R. Kelly enters the game for K. Bryant,,49-89,,
2:56.0,M. Huertas enters the game for J. Randle,,49-89,,
2:56.0,B. Bass enters the game for R. Hibbert,,49-89,,
2:56.0,M. World Peace enters the game for D. Russell,,49-89,,
2:56.0,,,49-89,,R. Neto enters the game for S. Mack
2:56.0,,,49-90,1,G. Hayward makes free throw 1 of 2
2:56.0,,,49-91,1,G. Hayward makes free throw 2 of 2
2:44.0,L. Williams makes 3-pt shot from 25 ft,3,52-91,,
2:21.0,,,52-91,,Shooting foul by M. World Peace (drawn by T. Booker)
2:21.0,,,52-92,1,T. Booker makes free throw 1 of 2
2:21.0,,,52-92,,T. Booker misses free throw 2 of 2
2:20.0,Defensive rebound by L. Williams,,52-92,,
2:01.0,R. Kelly makes 2-pt shot from 16 ft,2,54-92,,
1:38.0,,,54-92,,T. Booker misses 2-pt shot from 21 ft
1:38.0,Defensive rebound by Team,,54-92,,
1:38.0,,,54-92,,D. Favors enters the game for R. Gobert
1:28.0,L. Williams misses 3-pt shot from 26 ft,,54-92,,
1:28.0,,,54-92,,Defensive rebound by Team
1:12.0,,,54-94,2,D. Favors makes 2-pt shot from 9 ft (assist by J. Ingles)
1:02.0,M. Huertas makes 2-pt shot from 8 ft (assist by M. World Peace),2,56-94,,
0:42.0,,,56-96,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
0:34.0,R. Kelly makes 2-pt shot from 16 ft (assist by M. Huertas),2,58-96,,
0:13.0,,,58-96,,D. Favors misses 2-pt shot from 22 ft
0:13.0,Defensive rebound by R. Kelly,,58-96,,
0:05.0,R. Kelly misses 2-pt shot from 2 ft,,58-96,,
0:04.0,,,58-96,,Defensive rebound by D. Favors
0:00.0,,,58-98,2,G. Hayward makes 2-pt shot from 22 ft (assist by J. Ingles)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,58-100,2,T. Booker makes 2-pt shot from 8 ft
11:24.0,R. Kelly misses 2-pt shot from 17 ft,,58-100,,
11:24.0,,,58-100,,Defensive rebound by T. Lyles
11:15.0,,,58-100,,T. Lyles misses 3-pt shot from 23 ft
11:15.0,Defensive rebound by R. Kelly,,58-100,,
11:05.0,T. Black makes 2-pt shot from 3 ft (assist by M. Huertas),2,60-100,,
10:39.0,,,60-100,,C. Johnson misses 2-pt shot from 21 ft
10:39.0,Defensive rebound by T. Black,,60-100,,
10:29.0,J. Clarkson misses 2-pt shot from 2 ft (block by C. Johnson),,60-100,,
10:29.0,Offensive rebound by Team,,60-100,,
10:29.0,M. World Peace enters the game for K. Bryant,,60-100,,
10:29.0,,,60-100,,J. Ingles enters the game for R. Hood
10:29.0,,,60-100,,Technical foul by C. Johnson
10:29.0,Technical foul by J. Clarkson,,60-100,,
10:25.0,R. Kelly misses 2-pt shot from 1 ft,,60-100,,
10:24.0,Offensive rebound by R. Kelly,,60-100,,
10:24.0,R. Kelly misses 2-pt shot from 1 ft,,60-100,,
10:22.0,,,60-100,,Defensive rebound by R. Neto
10:16.0,,,60-103,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Neto)
9:50.0,J. Clarkson misses 3-pt shot from 24 ft,,60-103,,
9:50.0,,,60-103,,Defensive rebound by Team
9:50.0,,,60-103,,T. Burke enters the game for C. Johnson
9:37.0,,,60-103,,R. Neto misses 2-pt shot at rim
9:36.0,,,60-103,,Offensive rebound by T. Booker
9:36.0,,,60-103,,T. Booker misses 2-pt shot from 2 ft
9:34.0,,,60-103,,Offensive rebound by T. Booker
9:33.0,,,60-105,2,T. Booker makes 2-pt shot from 1 ft
9:07.0,T. Black misses 2-pt shot from 6 ft,,60-105,,
9:06.0,,,60-105,,Defensive rebound by T. Booker
8:51.0,,,60-107,2,T. Booker makes 2-pt shot from 2 ft (assist by T. Burke)
8:51.0,,,60-107,,Shooting foul by R. Kelly (drawn by T. Booker)
8:51.0,,,60-107,,Utah full timeout
8:51.0,,,60-108,1,T. Booker makes free throw 1 of 1
8:42.0,,,60-108,,Def 3 sec tech foul by T. Lyles
8:42.0,M. Huertas makes technical free throw,1,61-108,,
8:34.0,J. Clarkson misses 3-pt shot from 25 ft,,61-108,,
8:34.0,,,61-108,,Defensive rebound by T. Lyles
8:08.0,,,61-110,2,T. Lyles makes 2-pt shot from 17 ft
7:53.0,Turnover by M. Huertas (bad pass),,61-110,,
7:53.0,,,61-110,,J. Withey enters the game for T. Booker
7:53.0,D. Russell enters the game for M. World Peace,,61-110,,
7:38.0,,,61-110,,T. Lyles misses 2-pt shot from 18 ft
7:37.0,Defensive rebound by J. Clarkson,,61-110,,
7:35.0,Turnover by J. Clarkson (bad pass),,61-110,,
7:35.0,R. Sacre enters the game for R. Kelly,,61-110,,
7:17.0,,,61-113,3,T. Lyles makes 3-pt shot from 24 ft
6:48.0,R. Sacre misses 2-pt shot from 3 ft (block by J. Withey),,61-113,,
6:47.0,,,61-113,,Defensive rebound by T. Lyles
6:32.0,,,61-113,,J. Ingles misses 3-pt shot from 23 ft
6:32.0,Defensive rebound by T. Black,,61-113,,
6:23.0,,,61-113,,Personal foul by R. Neto
6:15.0,,,61-113,,Personal foul by T. Lyles
6:02.0,T. Black misses 2-pt shot from 1 ft,,61-113,,
6:01.0,Offensive rebound by R. Sacre,,61-113,,
5:59.0,R. Sacre makes 2-pt shot from 1 ft,2,63-113,,
5:44.0,,,63-113,,T. Burke misses 2-pt shot from 4 ft
5:44.0,Defensive rebound by R. Sacre,,63-113,,
5:29.0,M. Huertas misses 2-pt shot from 7 ft,,63-113,,
5:29.0,Offensive rebound by M. Huertas,,63-113,,
5:29.0,Turnover by M. Huertas (bad pass),,63-113,,
5:29.0,,,63-113,,Utah full timeout
5:29.0,LA Lakers full timeout,,63-113,,
5:11.0,,,63-113,,T. Burke misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by D. Russell,,63-113,,
4:58.0,,,63-113,,Personal foul by T. Lyles
4:58.0,,,63-113,,C. Johnson enters the game for J. Ingles
4:45.0,T. Black misses 2-pt shot from 2 ft,,63-113,,
4:44.0,,,63-113,,Defensive rebound by T. Lyles
4:36.0,,,63-113,,C. Johnson misses 3-pt shot from 23 ft
4:36.0,Defensive rebound by J. Clarkson,,63-113,,
4:22.0,D. Russell makes 2-pt shot from 17 ft,2,65-113,,
4:01.0,,,65-115,2,J. Withey makes 2-pt shot from 14 ft (assist by T. Lyles)
3:44.0,D. Russell misses 2-pt shot from 15 ft,,65-115,,
3:43.0,,,65-115,,Defensive rebound by T. Lyles
3:24.0,,,65-115,,T. Lyles misses 2-pt shot from 14 ft
3:23.0,Defensive rebound by R. Sacre,,65-115,,
3:08.0,Turnover by M. Huertas (lost ball; steal by R. Neto),,65-115,,
2:59.0,,,65-118,3,T. Burke makes 3-pt shot from 23 ft (assist by T. Lyles)
2:42.0,J. Clarkson misses 2-pt shot from 2 ft,,65-118,,
2:42.0,Offensive rebound by T. Black,,65-118,,
2:42.0,Shooting foul by C. Johnson (drawn by T. Black),,65-118,,
2:42.0,T. Black misses free throw 1 of 2,,65-118,,
2:42.0,Offensive rebound by Team,,65-118,,
2:42.0,T. Black makes free throw 2 of 2,1,66-118,,
2:31.0,,,66-118,,T. Burke misses 2-pt shot from 2 ft (block by T. Black)
2:29.0,,,66-118,,Offensive rebound by J. Withey
2:27.0,,,66-118,,J. Withey misses 2-pt shot from 3 ft
2:26.0,Defensive rebound by T. Black,,66-118,,
2:21.0,J. Clarkson makes 3-pt shot from 22 ft (assist by D. Russell),3,69-118,,
1:58.0,,,69-118,,R. Neto misses 3-pt shot from 24 ft
1:56.0,Defensive rebound by T. Black,,69-118,,
1:50.0,,,69-118,,Personal foul by J. Withey
1:50.0,R. Sacre makes free throw 1 of 2,1,70-118,,
1:50.0,R. Sacre makes free throw 2 of 2,1,71-118,,
