time,Detroit,pts.away,score,pts.home,Orlando
7:49.0,,,34-27,,J. Smith misses 2-pt shot from 20 ft
7:49.0,Defensive rebound by A. Tolliver,,34-27,,
7:43.0,Turnover by S. Blake (bad pass),,34-27,,
7:27.0,,,34-30,3,B. Jennings makes 3-pt shot from 24 ft (assist by E. Fournier)
7:12.0,R. Bullock makes 3-pt shot from 22 ft (assist by S. Blake),3,37-30,,
6:52.0,,,37-33,3,A. Nicholson makes 3-pt shot from 25 ft (assist by B. Jennings)
6:43.0,,,37-33,,Personal foul by E. Fournier
6:43.0,,,37-33,,V. Oladipo enters the game for E. Fournier
6:33.0,M. Morris makes 2-pt shot from 14 ft (assist by S. Blake),2,39-33,,
6:19.0,,,39-35,2,B. Jennings makes 2-pt shot from 2 ft
6:01.0,M. Morris makes 2-pt shot from 1 ft (assist by S. Blake),2,41-35,,
5:44.0,,,41-35,,J. Smith misses 2-pt shot from 21 ft
5:43.0,Defensive rebound by A. Baynes,,41-35,,
5:35.0,A. Tolliver misses 3-pt shot from 25 ft (block by J. Smith),,41-35,,
5:34.0,Offensive rebound by A. Tolliver,,41-35,,
5:22.0,R. Bullock misses 3-pt shot from 24 ft,,41-35,,
5:21.0,,,41-35,,Defensive rebound by M. Hezonja
5:15.0,,,41-35,,M. Hezonja misses 2-pt shot from 21 ft
5:14.0,,,41-35,,Offensive rebound by J. Smith
5:06.0,,,41-38,3,A. Nicholson makes 3-pt shot from 24 ft (assist by V. Oladipo)
4:51.0,A. Baynes makes 2-pt shot from 15 ft (assist by R. Bullock),2,43-38,,
4:37.0,,,43-38,,B. Jennings misses 3-pt shot from 24 ft
4:37.0,,,43-38,,Offensive rebound by Team
4:37.0,Loose ball foul by S. Blake,,43-38,,
4:37.0,,,43-38,,Orlando full timeout
4:37.0,T. Harris enters the game for R. Bullock,,43-38,,
4:37.0,A. Drummond enters the game for S. Blake,,43-38,,
4:37.0,R. Jackson enters the game for A. Baynes,,43-38,,
4:37.0,K. Caldwell-Pope enters the game for A. Tolliver,,43-38,,
4:37.0,,,43-38,,A. Gordon enters the game for M. Hezonja
4:37.0,,,43-38,,E. Payton enters the game for B. Jennings
4:26.0,,,43-40,2,E. Payton makes 2-pt shot from 1 ft (assist by J. Smith)
4:26.0,,,43-40,,Shooting foul by R. Jackson (drawn by E. Payton)
4:26.0,,,43-41,1,E. Payton makes free throw 1 of 1
4:11.0,,,43-41,,Personal foul by A. Nicholson
4:01.0,M. Morris misses 3-pt shot from 24 ft,,43-41,,
4:01.0,,,43-41,,Defensive rebound by A. Nicholson
3:45.0,,,43-41,,V. Oladipo misses 2-pt shot from 21 ft
3:44.0,Defensive rebound by T. Harris,,43-41,,
3:40.0,Turnover by A. Drummond (traveling),,43-41,,
3:30.0,,,43-43,2,V. Oladipo makes 2-pt shot from 2 ft (assist by J. Smith)
3:14.0,Shooting foul by J. Smith (drawn by R. Jackson),,43-43,,
3:14.0,R. Jackson misses free throw 1 of 2,,43-43,,
3:14.0,Offensive rebound by Team,,43-43,,
3:14.0,R. Jackson makes free throw 2 of 2,1,44-43,,
2:59.0,,,44-43,,Turnover by E. Payton (lost ball; steal by A. Drummond)
2:52.0,Turnover by R. Jackson (lost ball; steal by E. Payton),,44-43,,
2:50.0,,,44-43,,Shooting foul by T. Harris (drawn by V. Oladipo)
2:50.0,Detroit full timeout,,44-43,,
2:50.0,A. Tolliver enters the game for T. Harris,,44-43,,
2:50.0,,,44-44,1,V. Oladipo makes free throw 1 of 2
2:50.0,,,44-45,1,V. Oladipo makes free throw 2 of 2
2:42.0,,,44-45,,Personal foul by A. Gordon
2:42.0,M. Morris misses free throw 1 of 2,,44-45,,
2:42.0,Offensive rebound by Team,,44-45,,
