time,Detroit,pts.away,score,pts.home,Philadelphia
10:07.0,,,30-34,,Offensive rebound by S. Weems
10:07.0,,,30-34,,Turnover by S. Weems (traveling)
9:57.0,A. Baynes misses 2-pt shot from 8 ft,,30-34,,
9:56.0,,,30-34,,Defensive rebound by S. Weems
9:47.0,,,30-34,,H. Thompson misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by M. Morris,,30-34,,
9:38.0,M. Morris misses 2-pt shot from 16 ft,,30-34,,
9:36.0,Offensive rebound by Team,,30-34,,
9:36.0,,,30-34,,I. Canaan enters the game for K. Marshall
9:28.0,R. Bullock misses 3-pt shot from 22 ft,,30-34,,
9:26.0,Offensive rebound by A. Baynes,,30-34,,
9:24.0,A. Baynes misses 2-pt shot from 13 ft,,30-34,,
9:23.0,Offensive rebound by R. Bullock,,30-34,,
9:23.0,R. Bullock makes 2-pt shot at rim,2,32-34,,
9:15.0,,,32-37,3,I. Canaan makes 3-pt shot from 25 ft (assist by T. McConnell)
8:57.0,S. Johnson misses 2-pt shot from 16 ft,,32-37,,
8:56.0,,,32-37,,Defensive rebound by C. Landry
8:49.0,Personal foul by S. Blake,,32-37,,
8:49.0,Official timeout,,32-37,,
8:31.0,,,32-37,,S. Weems misses 3-pt shot from 25 ft
8:29.0,Defensive rebound by A. Baynes,,32-37,,
8:25.0,,,32-37,,Personal foul by S. Weems
8:25.0,,,32-37,,N. Noel enters the game for C. Landry
8:24.0,Turnover by S. Johnson (lost ball; steal by T. McConnell),,32-37,,
8:21.0,,,32-39,2,T. McConnell makes 2-pt shot at rim
8:05.0,S. Blake misses 3-pt shot from 26 ft,,32-39,,
8:04.0,,,32-39,,Defensive rebound by T. McConnell
7:51.0,,,32-39,,S. Weems misses 2-pt shot from 1 ft
7:49.0,Defensive rebound by A. Baynes,,32-39,,
7:41.0,Turnover by S. Blake (lost ball; steal by I. Canaan),,32-39,,
7:35.0,,,32-42,3,H. Thompson makes 3-pt shot from 26 ft (assist by I. Canaan)
7:24.0,S. Blake misses 2-pt shot from 22 ft,,32-42,,
7:23.0,,,32-42,,Defensive rebound by S. Weems
7:13.0,,,32-42,,T. McConnell misses 2-pt shot from 8 ft
7:11.0,,,32-42,,Offensive rebound by N. Noel
7:10.0,,,32-42,,N. Noel misses 2-pt shot from 7 ft (block by A. Baynes)
7:08.0,Defensive rebound by S. Johnson,,32-42,,
7:04.0,M. Morris makes 2-pt shot from 1 ft (assist by S. Johnson),2,34-42,,
6:43.0,,,34-44,2,S. Weems makes 2-pt shot from 9 ft
6:24.0,S. Blake misses 3-pt shot from 23 ft,,34-44,,
6:22.0,Offensive rebound by A. Baynes,,34-44,,
6:22.0,A. Baynes makes 2-pt shot from 1 ft,2,36-44,,
6:04.0,,,36-46,2,N. Noel makes 2-pt shot at rim (assist by T. McConnell)
5:53.0,Detroit full timeout,,36-46,,
5:53.0,,,36-46,,I. Smith enters the game for T. McConnell
5:53.0,T. Harris enters the game for S. Blake,,36-46,,
5:53.0,K. Caldwell-Pope enters the game for S. Johnson,,36-46,,
5:53.0,R. Jackson enters the game for R. Bullock,,36-46,,
5:36.0,R. Jackson misses 2-pt shot from 14 ft,,36-46,,
5:35.0,,,36-46,,Defensive rebound by H. Thompson
5:16.0,,,36-46,,Turnover by N. Noel (bad pass)
5:08.0,T. Harris misses 2-pt shot from 2 ft,,36-46,,
5:07.0,Offensive rebound by A. Baynes,,36-46,,
5:07.0,A. Baynes misses 2-pt shot from 1 ft,,36-46,,
5:05.0,,,36-46,,Defensive rebound by S. Weems
4:58.0,,,36-46,,H. Thompson misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by R. Jackson,,36-46,,
4:49.0,K. Caldwell-Pope makes 2-pt shot from 13 ft,2,38-46,,
4:23.0,,,38-46,,S. Weems misses 2-pt shot from 6 ft
4:21.0,Defensive rebound by M. Morris,,38-46,,
4:12.0,Shooting foul by S. Weems (drawn by M. Morris),,38-46,,
4:12.0,M. Morris makes free throw 1 of 2,1,39-46,,
4:12.0,A. Drummond enters the game for A. Baynes,,39-46,,
4:12.0,,,39-46,,C. Landry enters the game for S. Weems
4:12.0,M. Morris makes free throw 2 of 2,1,40-46,,
4:02.0,,,40-48,2,I. Smith makes 2-pt shot at rim (assist by N. Noel)
3:41.0,M. Morris misses 2-pt shot from 15 ft,,40-48,,
3:40.0,,,40-48,,Defensive rebound by I. Canaan
3:35.0,Personal foul by T. Harris,,40-48,,
3:35.0,S. Johnson enters the game for T. Harris,,40-48,,
3:35.0,,,40-48,,N. Stauskas enters the game for H. Thompson
3:20.0,,,40-48,,C. Landry misses 2-pt shot from 4 ft
3:19.0,Defensive rebound by A. Drummond,,40-48,,
3:10.0,Shooting foul by N. Noel (drawn by A. Drummond),,40-48,,
3:10.0,A. Drummond makes free throw 1 of 2,1,41-48,,
3:10.0,A. Drummond makes free throw 2 of 2,1,42-48,,
3:01.0,,,42-51,3,I. Canaan makes 3-pt shot from 26 ft (assist by N. Noel)
2:37.0,Shooting foul by C. Landry (drawn by A. Drummond),,42-51,,
2:37.0,,,42-51,,Philadelphia full timeout
2:37.0,A. Drummond misses free throw 1 of 2,,42-51,,
2:37.0,Offensive rebound by Team,,42-51,,
2:37.0,A. Drummond makes free throw 2 of 2,1,43-51,,
2:24.0,,,43-51,,Turnover by I. Canaan (illegal screen)
2:19.0,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,45-51,,
2:05.0,,,45-54,3,C. Landry makes 3-pt shot from 24 ft (assist by N. Stauskas)
1:45.0,M. Morris misses 2-pt shot from 15 ft,,45-54,,
1:44.0,Offensive rebound by Team,,45-54,,
1:33.0,R. Jackson makes 2-pt shot from 11 ft,2,47-54,,
1:16.0,,,47-54,,Turnover by N. Noel (lost ball; steal by K. Caldwell-Pope)
1:12.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,47-54,,
1:09.0,,,47-54,,Defensive rebound by I. Smith
1:04.0,,,47-54,,N. Stauskas misses 3-pt shot from 26 ft
1:03.0,Defensive rebound by A. Drummond,,47-54,,
0:57.0,A. Drummond makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope),2,49-54,,
0:42.0,,,49-54,,Shooting foul by M. Morris (drawn by I. Smith)
0:42.0,,,49-55,1,I. Smith makes free throw 1 of 2
0:42.0,A. Tolliver enters the game for M. Morris,,49-55,,
0:42.0,,,49-55,,E. Brand enters the game for C. Landry
0:42.0,Technical foul by M. Morris,,49-55,,
0:42.0,,,49-56,1,I. Canaan makes technical free throw
0:42.0,,,49-57,1,I. Smith makes free throw 2 of 2
0:34.0,R. Jackson makes 3-pt shot from 25 ft,3,52-57,,
0:28.0,,,52-57,,I. Smith misses 2-pt shot from 4 ft
0:26.0,Defensive rebound by A. Drummond,,52-57,,
0:02.0,R. Jackson misses 2-pt shot from 7 ft,,52-57,,
0:01.0,Offensive rebound by A. Drummond,,52-57,,
0:01.0,A. Drummond misses 2-pt shot at rim,,52-57,,
0:00.0,,,52-57,,Defensive rebound by E. Brand
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,52-59,2,C. Landry makes 2-pt shot from 2 ft (assist by H. Thompson)
11:37.0,K. Caldwell-Pope makes 2-pt shot from 21 ft (assist by M. Morris),2,54-59,,
11:13.0,,,54-59,,C. Landry misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by M. Morris,,54-59,,
11:05.0,T. Harris makes 2-pt shot from 2 ft (assist by R. Jackson),2,56-59,,
10:40.0,,,56-59,,I. Canaan misses 3-pt shot from 24 ft
10:38.0,Defensive rebound by M. Morris,,56-59,,
10:29.0,A. Drummond makes 2-pt shot from 6 ft (assist by M. Morris),2,58-59,,
10:10.0,,,58-61,2,I. Smith makes 2-pt shot from 3 ft
9:52.0,A. Drummond makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope),2,60-61,,
9:37.0,,,60-61,,I. Smith misses 2-pt shot from 3 ft
9:35.0,Defensive rebound by A. Drummond,,60-61,,
9:16.0,Shooting foul by H. Thompson (drawn by R. Jackson),,60-61,,
9:16.0,R. Jackson makes free throw 1 of 2,1,61-61,,
9:16.0,R. Jackson makes free throw 2 of 2,1,62-61,,
9:01.0,,,62-63,2,I. Smith makes 2-pt shot from 6 ft
8:44.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,62-63,,
8:43.0,,,62-63,,Defensive rebound by H. Thompson
8:30.0,,,62-65,2,N. Noel makes 2-pt shot at rim (assist by H. Thompson)
8:14.0,M. Morris makes 2-pt shot from 16 ft (assist by R. Jackson),2,64-65,,
7:48.0,,,64-65,,I. Smith misses 2-pt shot from 2 ft
7:47.0,Defensive rebound by A. Drummond,,64-65,,
7:40.0,T. Harris misses 2-pt shot from 3 ft,,64-65,,
7:38.0,,,64-65,,Defensive rebound by C. Landry
7:28.0,,,64-65,,Shooting foul by R. Jackson (drawn by C. Landry)
7:28.0,,,64-66,1,C. Landry makes free throw 1 of 2
7:28.0,,,64-66,,N. Stauskas enters the game for I. Canaan
7:28.0,,,64-66,,C. Landry misses free throw 2 of 2
7:26.0,,,64-66,,Offensive rebound by H. Thompson
7:24.0,,,64-66,,H. Thompson misses 2-pt shot from 1 ft
7:23.0,Defensive rebound by K. Caldwell-Pope,,64-66,,
7:13.0,A. Drummond misses 2-pt shot from 12 ft,,64-66,,
7:13.0,Offensive rebound by Team,,64-66,,
7:13.0,,,64-66,,Loose ball foul by N. Stauskas
7:02.0,T. Harris makes 2-pt shot from 17 ft (assist by R. Jackson),2,66-66,,
6:43.0,,,66-66,,H. Thompson misses 2-pt shot from 5 ft
6:41.0,Defensive rebound by T. Harris,,66-66,,
6:40.0,Turnover by T. Harris (lost ball; steal by N. Noel),,66-66,,
6:39.0,,,66-66,,Shooting foul by R. Jackson (drawn by N. Noel)
6:39.0,,,66-67,1,N. Noel makes free throw 1 of 2
6:39.0,,,66-67,,E. Brand enters the game for C. Landry
6:39.0,,,66-68,1,N. Noel makes free throw 2 of 2
6:26.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,66-68,,
6:25.0,,,66-68,,Defensive rebound by N. Noel
6:10.0,,,66-68,,N. Stauskas misses 3-pt shot from 23 ft
6:09.0,Defensive rebound by T. Harris,,66-68,,
5:46.0,R. Jackson makes 3-pt shot from 26 ft (assist by T. Harris),3,69-68,,
5:39.0,,,69-68,,Philadelphia full timeout
5:39.0,,,69-68,,K. Marshall enters the game for H. Thompson
5:30.0,,,69-70,2,E. Brand makes 2-pt shot from 18 ft (assist by K. Marshall)
5:09.0,Offensive foul by A. Drummond,,69-70,,
5:09.0,Turnover by A. Drummond (offensive foul),,69-70,,
5:04.0,Personal foul by R. Jackson,,69-70,,
4:50.0,,,69-70,,E. Brand misses 2-pt shot from 18 ft
4:48.0,Defensive rebound by M. Morris,,69-70,,
4:41.0,T. Harris makes 3-pt shot from 25 ft (assist by A. Drummond),3,72-70,,
4:17.0,,,72-73,3,N. Stauskas makes 3-pt shot from 24 ft (assist by N. Noel)
4:01.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,72-73,,
3:58.0,,,72-73,,Defensive rebound by E. Brand
3:46.0,,,72-75,2,I. Smith makes 2-pt shot from 2 ft (assist by K. Marshall)
3:44.0,Detroit full timeout,,72-75,,
3:44.0,R. Bullock enters the game for M. Morris,,72-75,,
3:44.0,,,72-75,,H. Thompson enters the game for N. Noel
3:32.0,T. Harris makes 2-pt shot from 5 ft,2,74-75,,
3:13.0,Personal foul by A. Drummond,,74-75,,
3:05.0,S. Blake enters the game for R. Jackson,,74-75,,
2:59.0,,,74-77,2,K. Marshall makes 2-pt shot from 11 ft (assist by H. Thompson)
2:43.0,T. Harris makes 2-pt shot from 1 ft,2,76-77,,
2:43.0,Shooting foul by H. Thompson (drawn by T. Harris),,76-77,,
2:43.0,,,76-77,,T. McConnell enters the game for I. Smith
2:43.0,T. Harris makes free throw 1 of 1,1,77-77,,
2:34.0,,,77-79,2,N. Stauskas makes 2-pt shot from 1 ft
2:34.0,,,77-79,,Shooting foul by T. Harris (drawn by N. Stauskas)
2:34.0,,,77-80,1,N. Stauskas makes free throw 1 of 1
2:17.0,Shooting foul by E. Brand (drawn by K. Caldwell-Pope),,77-80,,
2:17.0,K. Caldwell-Pope makes free throw 1 of 2,1,78-80,,
2:17.0,K. Caldwell-Pope makes free throw 2 of 2,1,79-80,,
2:05.0,,,79-82,2,T. McConnell makes 2-pt shot from 15 ft
1:48.0,R. Bullock makes 2-pt shot from 4 ft,2,81-82,,
1:34.0,,,81-82,,E. Brand misses 2-pt shot from 13 ft
1:32.0,Defensive rebound by T. Harris,,81-82,,
1:18.0,K. Caldwell-Pope makes 2-pt shot from 12 ft,2,83-82,,
0:58.0,,,83-85,3,K. Marshall makes 3-pt shot from 27 ft (assist by E. Brand)
0:44.0,S. Blake makes 2-pt shot from 1 ft,2,85-85,,
0:38.0,,,85-85,,Shooting foul by A. Drummond (drawn by N. Stauskas)
0:38.0,,,85-86,1,N. Stauskas makes free throw 1 of 2
0:38.0,A. Baynes enters the game for A. Drummond,,85-86,,
0:38.0,,,85-86,,I. Canaan enters the game for H. Thompson
0:38.0,,,85-87,1,N. Stauskas makes free throw 2 of 2
0:13.0,K. Caldwell-Pope makes 2-pt shot from 14 ft,2,87-87,,
0:03.0,,,87-87,,Turnover by I. Canaan (lost ball; steal by S. Blake)
0:00.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by S. Blake),3,90-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,K. Caldwell-Pope misses 2-pt shot from 14 ft,,90-87,,
11:43.0,,,90-87,,Defensive rebound by N. Stauskas
11:26.0,,,90-89,2,I. Canaan makes 2-pt shot from 11 ft (assist by C. Landry)
11:26.0,,,90-89,,Shooting foul by S. Blake (drawn by I. Canaan)
11:26.0,,,90-89,,I. Canaan misses free throw 1 of 1
11:22.0,Defensive rebound by R. Bullock,,90-89,,
11:10.0,A. Baynes makes 2-pt shot from 1 ft (assist by M. Morris),2,92-89,,
10:55.0,,,92-89,,Turnover by T. McConnell (lost ball; steal by K. Caldwell-Pope)
10:51.0,R. Bullock makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,94-89,,
10:30.0,,,94-89,,N. Noel misses 2-pt shot from 10 ft
10:28.0,Defensive rebound by A. Baynes,,94-89,,
10:23.0,R. Bullock makes 2-pt shot at rim (assist by S. Blake),2,96-89,,
10:23.0,,,96-89,,Philadelphia full timeout
10:15.0,,,96-89,,Turnover by T. McConnell (lost ball; steal by S. Blake)
10:10.0,R. Bullock misses 2-pt shot from 4 ft,,96-89,,
10:08.0,Offensive rebound by K. Caldwell-Pope,,96-89,,
10:08.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,98-89,,
9:56.0,,,98-89,,T. McConnell misses 2-pt shot from 17 ft
9:54.0,Defensive rebound by R. Bullock,,98-89,,
9:39.0,A. Baynes makes 2-pt shot from 4 ft (assist by K. Caldwell-Pope),2,100-89,,
9:18.0,,,100-89,,N. Stauskas misses 2-pt shot from 2 ft
9:16.0,Defensive rebound by A. Baynes,,100-89,,
9:07.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,100-89,,
9:05.0,,,100-89,,Defensive rebound by T. McConnell
8:51.0,,,100-92,3,I. Canaan makes 3-pt shot from 24 ft
8:43.0,Turnover by K. Caldwell-Pope (lost ball; steal by C. Landry),,100-92,,
8:43.0,,,100-92,,Technical foul by I. Canaan
8:43.0,Technical foul by S. Blake,,100-92,,
8:43.0,,,100-92,,H. Thompson enters the game for N. Stauskas
8:43.0,,,100-92,,I. Smith enters the game for T. McConnell
8:35.0,,,100-92,,Offensive foul by I. Canaan
8:35.0,,,100-92,,Turnover by I. Canaan (offensive foul)
8:25.0,M. Morris makes 3-pt shot from 24 ft,3,103-92,,
8:01.0,,,103-92,,I. Smith misses 2-pt shot from 11 ft
8:00.0,Defensive rebound by K. Caldwell-Pope,,103-92,,
7:53.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,103-92,,
7:50.0,,,103-92,,Defensive rebound by C. Landry
7:34.0,,,103-92,,I. Canaan misses 2-pt shot from 2 ft (block by A. Baynes)
7:32.0,,,103-92,,Offensive rebound by Team
7:29.0,,,103-92,,Shooting foul by R. Bullock (drawn by I. Canaan)
7:29.0,,,103-93,1,I. Canaan makes free throw 1 of 3
7:29.0,,,103-94,1,I. Canaan makes free throw 2 of 3
7:29.0,R. Jackson enters the game for S. Blake,,103-94,,
7:29.0,Violation by R. Jackson (lane),,103-94,,
7:29.0,,,103-95,1,I. Canaan makes free throw 3 of 3
7:18.0,M. Morris misses 3-pt shot from 25 ft,,103-95,,
7:17.0,,,103-95,,Defensive rebound by H. Thompson
7:12.0,Personal foul by K. Caldwell-Pope,,103-95,,
7:12.0,,,103-96,1,I. Canaan makes free throw 1 of 2
7:12.0,A. Drummond enters the game for A. Baynes,,103-96,,
7:12.0,,,103-97,1,I. Canaan makes free throw 2 of 2
6:56.0,K. Caldwell-Pope misses 2-pt shot from 8 ft,,103-97,,
6:55.0,Offensive rebound by A. Drummond,,103-97,,
6:54.0,A. Drummond makes 2-pt shot from 1 ft,2,105-97,,
6:41.0,,,105-97,,Shooting foul by A. Drummond (drawn by C. Landry)
6:41.0,,,105-98,1,C. Landry makes free throw 1 of 2
6:41.0,T. Harris enters the game for K. Caldwell-Pope,,105-98,,
6:41.0,,,105-99,1,C. Landry makes free throw 2 of 2
6:27.0,T. Harris makes 2-pt shot from 21 ft (assist by R. Jackson),2,107-99,,
6:14.0,,,107-99,,H. Thompson misses 3-pt shot from 24 ft
6:14.0,,,107-99,,Offensive rebound by Team
6:14.0,Loose ball foul by M. Morris,,107-99,,
6:14.0,,,107-99,,N. Noel misses free throw 1 of 2
6:14.0,,,107-99,,Offensive rebound by Team
6:14.0,,,107-100,1,N. Noel makes free throw 2 of 2
5:53.0,R. Jackson misses 3-pt shot from 22 ft,,107-100,,
5:52.0,Offensive rebound by T. Harris,,107-100,,
5:33.0,R. Bullock misses 2-pt shot from 12 ft,,107-100,,
5:31.0,,,107-100,,Defensive rebound by N. Noel
5:13.0,,,107-102,2,C. Landry makes 2-pt shot from 16 ft (assist by I. Smith)
5:02.0,Shooting foul by I. Smith (drawn by R. Jackson),,107-102,,
5:02.0,Official timeout,,107-102,,
5:02.0,K. Caldwell-Pope enters the game for R. Bullock,,107-102,,
5:02.0,R. Jackson makes free throw 1 of 2,1,108-102,,
5:02.0,R. Jackson makes free throw 2 of 2,1,109-102,,
4:50.0,,,109-102,,H. Thompson misses 2-pt shot from 3 ft
4:49.0,Defensive rebound by M. Morris,,109-102,,
4:35.0,,,109-102,,Personal foul by I. Canaan
4:22.0,M. Morris makes 3-pt shot from 23 ft (assist by R. Jackson),3,112-102,,
4:22.0,,,112-102,,Philadelphia full timeout
4:22.0,,,112-102,,N. Stauskas enters the game for C. Landry
4:05.0,,,112-102,,I. Smith misses 3-pt shot from 27 ft
4:04.0,Defensive rebound by A. Drummond,,112-102,,
3:48.0,R. Jackson makes 2-pt shot at rim,2,114-102,,
