time,Cleveland,pts.away,score,pts.home,Milwaukee
8:44.0,L. James makes 2-pt shot at rim,2,34-27,,
8:32.0,,,34-29,2,J. Bayless makes 2-pt shot from 17 ft
8:25.0,Cleveland full timeout,,34-29,,
8:25.0,K. Love enters the game for A. Varejao,,34-29,,
8:25.0,,,34-29,,G. Monroe enters the game for J. Henson
8:25.0,Violation by Team (jump ball),,34-29,,
8:04.0,L. James makes 3-pt shot from 26 ft,3,37-29,,
7:49.0,,,37-31,2,G. Antetokounmpo makes 2-pt shot from 17 ft
7:24.0,T. Thompson misses 2-pt shot from 9 ft,,37-31,,
7:22.0,Offensive rebound by K. Love,,37-31,,
7:14.0,M. Dellavedova misses 3-pt shot from 27 ft,,37-31,,
7:11.0,,,37-31,,Defensive rebound by G. Antetokounmpo
6:52.0,,,37-31,,G. Monroe misses 2-pt shot from 5 ft
6:51.0,,,37-31,,Offensive rebound by G. Antetokounmpo
6:50.0,,,37-33,2,G. Antetokounmpo makes 2-pt shot from 1 ft
6:50.0,,,37-33,,Shooting foul by T. Thompson (drawn by G. Antetokounmpo)
6:50.0,R. Jefferson enters the game for L. James,,37-33,,
6:50.0,,,37-33,,G. Antetokounmpo misses free throw 1 of 1
6:48.0,Defensive rebound by K. Love,,37-33,,
6:31.0,Turnover by M. Dellavedova (bad pass),,37-33,,
6:31.0,M. Williams enters the game for M. Dellavedova,,37-33,,
6:16.0,,,37-35,2,J. Parker makes 2-pt shot from 1 ft (assist by J. Bayless)
5:54.0,J. Smith misses 3-pt shot from 23 ft,,37-35,,
5:53.0,,,37-35,,Defensive rebound by G. Vasquez
5:47.0,,,37-38,3,J. Bayless makes 3-pt shot from 24 ft (assist by G. Vasquez)
5:18.0,J. Smith makes 2-pt shot from 15 ft,2,39-38,,
4:55.0,,,39-40,2,G. Vasquez makes 2-pt shot from 11 ft (assist by G. Antetokounmpo)
4:42.0,R. Jefferson misses 3-pt shot from 25 ft,,39-40,,
4:41.0,,,39-40,,Defensive rebound by G. Monroe
4:29.0,,,39-42,2,G. Monroe makes 2-pt shot at rim (assist by G. Vasquez)
4:13.0,K. Love makes 3-pt shot from 26 ft (assist by M. Williams),3,42-42,,
4:08.0,,,42-42,,Milwaukee full timeout
4:08.0,T. Mozgov enters the game for T. Thompson,,42-42,,
4:08.0,,,42-42,,K. Middleton enters the game for J. Parker
4:08.0,,,42-42,,Violation by Team (jump ball)
3:57.0,,,42-42,,G. Antetokounmpo misses 2-pt shot at rim (block by J. Smith)
3:57.0,Jump ball: G. Antetokounmpo vs. J. Smith,,,,Jump ball: G. Antetokounmpo vs. J. Smith
3:57.0,,,42-42,,Offensive rebound by Team
3:41.0,,,42-42,,G. Antetokounmpo misses 2-pt shot from 6 ft
3:40.0,,,42-42,,Offensive rebound by G. Monroe
3:37.0,,,42-42,,G. Monroe misses 2-pt shot from 6 ft
3:35.0,Defensive rebound by J. Smith,,42-42,,
3:31.0,Turnover by M. Williams (bad pass),,42-42,,
3:13.0,,,42-42,,J. Bayless misses 3-pt shot from 26 ft
3:12.0,,,42-42,,Offensive rebound by G. Monroe
3:03.0,,,42-42,,Shooting foul by M. Williams (drawn by G. Vasquez)
3:03.0,,,42-43,1,G. Vasquez makes free throw 1 of 2
3:03.0,M. Dellavedova enters the game for M. Williams,,42-43,,
3:03.0,,,42-44,1,G. Vasquez makes free throw 2 of 2
2:45.0,Turnover by M. Dellavedova (traveling),,42-44,,
2:45.0,Official timeout,,42-44,,
2:45.0,L. James enters the game for J. Smith,,42-44,,
2:45.0,,,42-44,,M. Carter-Williams enters the game for G. Vasquez
2:36.0,Shooting block foul by K. Love (drawn by G. Antetokounmpo),,42-44,,
2:36.0,,,42-45,1,G. Antetokounmpo makes free throw 1 of 2
2:36.0,,,42-46,1,G. Antetokounmpo makes free throw 2 of 2
2:23.0,Turnover by L. James (bad pass; steal by M. Carter-Williams),,42-46,,
2:15.0,,,42-46,,Turnover by J. Bayless (bad pass; steal by L. James)
2:11.0,Turnover by L. James (bad pass),,42-46,,
2:02.0,,,42-48,2,G. Antetokounmpo makes 2-pt shot from 17 ft
1:45.0,K. Love misses 3-pt shot from 26 ft,,42-48,,
1:44.0,,,42-48,,Defensive rebound by M. Carter-Williams
1:27.0,,,42-48,,G. Antetokounmpo misses 2-pt shot from 3 ft
1:27.0,,,42-48,,Offensive rebound by Team
1:23.0,,,42-48,,G. Monroe misses 2-pt shot at rim (block by T. Mozgov)
1:21.0,Defensive rebound by K. Love,,42-48,,
1:15.0,Shooting foul by J. Bayless (drawn by T. Mozgov),,42-48,,
1:15.0,T. Mozgov makes free throw 1 of 2,1,43-48,,
1:15.0,,,43-48,,J. Henson enters the game for G. Antetokounmpo
1:15.0,T. Mozgov makes free throw 2 of 2,1,44-48,,
1:00.0,,,44-48,,J. Bayless misses 3-pt shot from 24 ft
1:00.0,Defensive rebound by Team,,44-48,,
0:45.0,T. Mozgov misses 2-pt shot at rim (block by J. Henson),,44-48,,
0:42.0,,,44-48,,Defensive rebound by J. Bayless
0:28.0,,,44-48,,M. Carter-Williams misses 2-pt shot at rim (block by T. Mozgov)
0:25.0,Defensive rebound by K. Love,,44-48,,
0:22.0,L. James misses 2-pt shot at rim,,44-48,,
0:20.0,,,44-48,,Defensive rebound by Team
0:20.0,Loose ball foul by T. Mozgov (drawn by J. Henson),,44-48,,
0:20.0,T. Thompson enters the game for T. Mozgov,,44-48,,
0:01.0,,,44-48,,K. Middleton misses 2-pt shot from 19 ft
0:01.0,,,44-48,,Offensive rebound by M. Carter-Williams
0:00.0,,,44-50,2,M. Carter-Williams makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,44-52,2,G. Monroe makes 2-pt shot at rim (assist by M. Carter-Williams)
11:25.0,T. Mozgov misses 2-pt shot from 1 ft (block by M. Carter-Williams),,44-52,,
11:22.0,Offensive rebound by T. Mozgov,,44-52,,
11:18.0,M. Williams misses 2-pt shot from 1 ft,,44-52,,
11:16.0,,,44-52,,Defensive rebound by G. Monroe
11:10.0,,,44-52,,G. Antetokounmpo misses 2-pt shot at rim (block by L. James)
11:07.0,Defensive rebound by T. Mozgov,,44-52,,
11:03.0,J. Smith misses 3-pt shot from 25 ft,,44-52,,
11:00.0,Offensive rebound by M. Williams,,44-52,,
10:56.0,K. Love makes 3-pt shot from 24 ft (assist by M. Williams),3,47-52,,
10:30.0,,,47-52,,G. Antetokounmpo misses 3-pt shot from 26 ft
10:28.0,Defensive rebound by K. Love,,47-52,,
10:24.0,Shooting foul by G. Monroe (drawn by T. Mozgov),,47-52,,
10:24.0,T. Mozgov makes free throw 1 of 2,1,48-52,,
10:24.0,T. Mozgov makes free throw 2 of 2,1,49-52,,
10:09.0,,,49-52,,J. Parker misses 2-pt shot at rim (block by T. Mozgov)
10:08.0,,,49-52,,Offensive rebound by Team
9:59.0,,,49-54,2,J. Parker makes 2-pt shot from 12 ft
9:42.0,K. Love makes 2-pt shot from 18 ft (assist by M. Williams),2,51-54,,
9:27.0,,,51-54,,J. Parker misses 2-pt shot from 2 ft (block by J. Smith)
9:26.0,Defensive rebound by L. James,,51-54,,
9:24.0,,,51-54,,Shooting block foul by G. Antetokounmpo (drawn by L. James)
9:24.0,L. James makes free throw 1 of 2,1,52-54,,
9:24.0,L. James misses free throw 2 of 2,,52-54,,
9:22.0,Offensive rebound by J. Smith,,52-54,,
9:14.0,K. Love makes 3-pt shot from 24 ft (assist by J. Smith),3,55-54,,
8:58.0,,,55-56,2,M. Carter-Williams makes 2-pt shot from 19 ft (assist by K. Middleton)
8:41.0,T. Mozgov misses 2-pt shot from 14 ft,,55-56,,
8:40.0,,,55-56,,Defensive rebound by J. Parker
8:28.0,,,55-56,,J. Parker misses 2-pt shot from 17 ft
8:26.0,Defensive rebound by L. James,,55-56,,
8:18.0,Turnover by L. James (traveling),,55-56,,
7:58.0,,,55-58,2,G. Antetokounmpo makes 2-pt shot at rim
7:38.0,M. Williams misses 3-pt shot from 27 ft,,55-58,,
7:36.0,,,55-58,,Defensive rebound by G. Antetokounmpo
7:35.0,Personal foul by T. Mozgov (drawn by G. Antetokounmpo),,55-58,,
7:35.0,T. Thompson enters the game for T. Mozgov,,55-58,,
7:12.0,,,55-58,,G. Antetokounmpo misses 3-pt shot from 24 ft
7:11.0,Defensive rebound by K. Love,,55-58,,
6:47.0,J. Smith misses 3-pt shot from 26 ft,,55-58,,
6:47.0,Offensive rebound by Team,,55-58,,
6:47.0,Turnover by Team (shot clock),,55-58,,
6:47.0,M. Dellavedova enters the game for M. Williams,,55-58,,
6:36.0,,,55-60,2,J. Parker makes 2-pt shot at rim (assist by M. Carter-Williams)
6:24.0,L. James misses 2-pt shot from 17 ft,,55-60,,
6:23.0,,,55-60,,Defensive rebound by G. Monroe
6:16.0,,,55-60,,Shooting foul by K. Love (drawn by J. Parker)
6:16.0,,,55-61,1,J. Parker makes free throw 1 of 2
6:16.0,Cleveland full timeout,,55-61,,
6:16.0,,,55-62,1,J. Parker makes free throw 2 of 2
5:58.0,J. Smith misses 2-pt shot from 18 ft,,55-62,,
5:57.0,,,55-62,,Defensive rebound by J. Parker
5:47.0,Personal foul by M. Dellavedova (drawn by M. Carter-Williams),,55-62,,
5:34.0,,,55-64,2,G. Monroe makes 2-pt shot from 12 ft
5:14.0,Turnover by K. Love (bad pass; steal by K. Middleton),,55-64,,
5:05.0,,,55-64,,G. Antetokounmpo misses 2-pt shot from 14 ft
5:04.0,Defensive rebound by K. Love,,55-64,,
4:54.0,J. Smith misses 3-pt shot from 26 ft,,55-64,,
4:52.0,,,55-64,,Defensive rebound by M. Carter-Williams
4:48.0,Personal foul by M. Dellavedova (drawn by G. Antetokounmpo),,55-64,,
