time,Oklahoma City,pts.away,score,pts.home,Dallas
6:08.0,Defensive rebound by D. Waiters,,41-33,,
5:59.0,K. Durant makes 3-pt shot from 26 ft (assist by D. Waiters),3,44-33,,
5:57.0,,,44-33,,Dallas full timeout
5:43.0,,,44-35,2,R. Felton makes 2-pt shot from 3 ft
5:26.0,Shooting foul by W. Matthews (drawn by K. Durant),,44-35,,
5:26.0,K. Durant makes free throw 1 of 3,1,45-35,,
5:26.0,K. Durant makes free throw 2 of 3,1,46-35,,
5:26.0,,,46-35,,D. Lee enters the game for D. Nowitzki
5:26.0,K. Durant misses free throw 3 of 3,,46-35,,
5:24.0,,,46-35,,Defensive rebound by S. Mejri
5:11.0,,,46-37,2,D. Lee makes 2-pt shot at rim (assist by R. Felton)
4:50.0,K. Durant makes 2-pt shot from 8 ft,2,48-37,,
4:25.0,,,48-37,,J. Anderson misses 2-pt shot from 22 ft
4:24.0,Defensive rebound by S. Adams,,48-37,,
4:24.0,,,48-37,,Loose ball foul by D. Lee
4:14.0,R. Westbrook misses 3-pt shot from 24 ft,,48-37,,
4:13.0,,,48-37,,Defensive rebound by D. Lee
3:55.0,,,48-37,,W. Matthews misses 2-pt shot from 22 ft
3:54.0,,,48-37,,Offensive rebound by D. Lee
3:51.0,,,48-37,,D. Lee misses 2-pt shot from 3 ft
3:50.0,Defensive rebound by D. Waiters,,48-37,,
3:46.0,S. Ibaka misses 3-pt shot from 24 ft,,48-37,,
3:45.0,,,48-37,,Defensive rebound by S. Mejri
3:28.0,,,48-39,2,J. Anderson makes 2-pt shot from 17 ft (assist by D. Lee)
3:13.0,,,48-39,,Personal foul by D. Lee
3:13.0,,,48-39,,D. Nowitzki enters the game for D. Lee
3:13.0,,,48-39,,Z. Pachulia enters the game for S. Mejri
2:58.0,R. Westbrook makes 2-pt shot from 18 ft (assist by K. Durant),2,50-39,,
2:44.0,,,50-42,3,J. Anderson makes 3-pt shot from 26 ft (assist by R. Felton)
2:30.0,R. Westbrook misses 2-pt shot from 7 ft,,50-42,,
2:29.0,,,50-42,,Defensive rebound by D. Nowitzki
2:11.0,,,50-42,,D. Nowitzki misses 2-pt shot from 18 ft
2:10.0,Defensive rebound by S. Adams,,50-42,,
2:00.0,D. Waiters misses 2-pt shot from 1 ft,,50-42,,
1:59.0,,,50-42,,Defensive rebound by J. Anderson
1:52.0,,,50-42,,J. Anderson misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by K. Durant,,50-42,,
1:36.0,K. Durant misses 2-pt shot from 13 ft,,50-42,,
1:36.0,Offensive rebound by Team,,50-42,,
1:36.0,,,50-42,,Personal foul by Z. Pachulia
1:36.0,Official timeout,,50-42,,
1:35.0,,,50-42,,Personal take foul by J. Anderson
1:35.0,S. Adams misses free throw 1 of 2,,50-42,,
1:35.0,Offensive rebound by Team,,50-42,,
1:35.0,,,50-42,,J. Barea enters the game for J. Anderson
1:35.0,S. Adams makes free throw 2 of 2,1,51-42,,
1:25.0,Personal foul by D. Waiters,,51-42,,
1:25.0,A. Roberson enters the game for D. Waiters,,51-42,,
1:25.0,E. Kanter enters the game for S. Adams,,51-42,,
1:23.0,,,51-42,,Turnover by D. Nowitzki (lost ball; steal by R. Westbrook)
1:19.0,R. Westbrook makes 2-pt shot at rim,2,53-42,,
0:58.0,,,53-44,2,D. Nowitzki makes 2-pt shot from 1 ft (assist by R. Felton)
0:45.0,S. Ibaka makes 2-pt shot from 20 ft (assist by K. Durant),2,55-44,,
0:32.0,,,55-46,2,D. Nowitzki makes 2-pt shot from 7 ft
0:11.0,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook),2,57-46,,
0:04.0,,,57-48,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by R. Felton)
0:00.0,Turnover by K. Durant (lost ball; steal by D. Nowitzki),,57-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,57-50,2,R. Felton makes 2-pt shot from 19 ft (assist by Z. Pachulia)
11:34.0,S. Adams misses 2-pt shot from 1 ft,,57-50,,
11:32.0,Offensive rebound by S. Adams,,57-50,,
11:29.0,R. Westbrook makes 3-pt shot from 23 ft (assist by S. Adams),3,60-50,,
11:12.0,,,60-50,,Turnover by R. Felton (lost ball; steal by S. Ibaka)
11:06.0,Turnover by S. Adams (offensive foul),,60-50,,
11:06.0,Offensive foul by S. Adams,,60-50,,
10:52.0,,,60-50,,D. Nowitzki misses 2-pt shot from 21 ft
10:51.0,Defensive rebound by S. Adams,,60-50,,
10:39.0,K. Durant makes 2-pt shot from 16 ft (assist by R. Westbrook),2,62-50,,
10:12.0,,,62-52,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by J. Barea)
9:51.0,K. Durant misses 2-pt shot from 12 ft,,62-52,,
9:50.0,,,62-52,,Defensive rebound by Team
9:38.0,,,62-52,,R. Felton misses 2-pt shot from 22 ft
9:36.0,Defensive rebound by R. Westbrook,,62-52,,
9:28.0,R. Westbrook misses 2-pt shot from 12 ft,,62-52,,
9:27.0,,,62-52,,Defensive rebound by D. Nowitzki
9:12.0,,,62-54,2,Z. Pachulia makes 2-pt shot at rim (assist by J. Barea)
8:57.0,S. Ibaka makes 2-pt shot from 8 ft (assist by R. Westbrook),2,64-54,,
8:57.0,Shooting foul by Z. Pachulia (drawn by S. Ibaka),,64-54,,
8:57.0,S. Ibaka makes free throw 1 of 1,1,65-54,,
8:35.0,,,65-56,2,W. Matthews makes 2-pt shot from 17 ft
8:18.0,R. Westbrook misses 2-pt shot from 12 ft,,65-56,,
8:18.0,,,65-56,,Defensive rebound by Team
8:08.0,Violation by A. Roberson (kicked ball),,65-56,,
8:02.0,,,65-58,2,R. Felton makes 2-pt shot from 1 ft
7:51.0,R. Westbrook makes 2-pt shot from 3 ft,2,67-58,,
7:33.0,,,67-60,2,D. Nowitzki makes 2-pt shot from 11 ft (assist by R. Felton)
7:06.0,K. Durant misses 2-pt shot from 8 ft,,67-60,,
7:04.0,Offensive rebound by S. Ibaka,,67-60,,
7:03.0,S. Ibaka makes 2-pt shot from 1 ft,2,69-60,,
6:50.0,,,69-62,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Nowitzki)
6:49.0,Oklahoma City full timeout,,69-62,,
6:35.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,71-62,,
6:12.0,,,71-62,,J. Barea misses 2-pt shot from 12 ft
6:11.0,Defensive rebound by S. Ibaka,,71-62,,
5:59.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,73-62,,
5:34.0,,,73-64,2,R. Felton makes 2-pt shot from 3 ft
5:10.0,R. Westbrook makes 3-pt shot from 24 ft (assist by S. Adams),3,76-64,,
4:45.0,,,76-64,,W. Matthews misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by Team,,76-64,,
4:45.0,,,76-64,,S. Mejri enters the game for Z. Pachulia
4:45.0,D. Waiters enters the game for K. Durant,,76-64,,
4:33.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,78-64,,
4:32.0,,,78-64,,Dallas full timeout
4:32.0,,,78-64,,D. Harris enters the game for W. Matthews
4:32.0,,,78-64,,J. Anderson enters the game for J. Barea
4:17.0,,,78-66,2,D. Nowitzki makes 2-pt shot from 8 ft (assist by R. Felton)
4:04.0,Turnover by R. Westbrook (lost ball; steal by S. Mejri),,78-66,,
4:00.0,,,78-68,2,R. Felton makes 2-pt shot from 2 ft
3:44.0,Shooting foul by S. Mejri (drawn by R. Westbrook),,78-68,,
3:44.0,R. Westbrook misses free throw 1 of 2,,78-68,,
3:44.0,Offensive rebound by Team,,78-68,,
3:44.0,R. Westbrook makes free throw 2 of 2,1,79-68,,
3:25.0,,,79-70,2,D. Nowitzki makes 2-pt shot from 3 ft
3:15.0,R. Westbrook makes 3-pt shot from 24 ft,3,82-70,,
3:04.0,Personal foul by S. Ibaka,,82-70,,
3:04.0,,,82-70,,D. Lee enters the game for D. Nowitzki
3:04.0,E. Kanter enters the game for S. Ibaka,,82-70,,
2:53.0,,,82-70,,Shooting foul by D. Waiters (drawn by D. Harris)
2:53.0,,,82-71,1,D. Harris makes free throw 1 of 2
2:53.0,,,82-71,,D. Harris misses free throw 2 of 2
2:52.0,Defensive rebound by A. Roberson,,82-71,,
2:41.0,R. Westbrook misses 3-pt shot from 25 ft,,82-71,,
2:40.0,Offensive rebound by R. Westbrook,,82-71,,
2:37.0,Turnover by E. Kanter (traveling),,82-71,,
2:37.0,K. Durant enters the game for D. Waiters,,82-71,,
2:15.0,,,82-74,3,R. Felton makes 3-pt shot from 24 ft (assist by J. Anderson)
2:05.0,,,82-74,,Personal foul by D. Harris
2:05.0,R. Foye enters the game for R. Westbrook,,82-74,,
1:52.0,Shooting foul by S. Mejri (drawn by S. Adams),,82-74,,
1:52.0,S. Adams makes free throw 1 of 2,1,83-74,,
1:52.0,S. Adams makes free throw 2 of 2,1,84-74,,
1:45.0,,,84-76,2,D. Lee makes 2-pt shot at rim (assist by R. Felton)
1:28.0,R. Foye misses 2-pt shot from 10 ft,,84-76,,
1:26.0,Offensive rebound by S. Adams,,84-76,,
1:26.0,S. Adams makes 2-pt shot at rim,2,86-76,,
1:04.0,,,86-76,,R. Felton misses 2-pt shot from 22 ft
1:03.0,Defensive rebound by A. Roberson,,86-76,,
0:58.0,,,86-76,,Personal foul by R. Felton
0:58.0,S. Adams misses free throw 1 of 2,,86-76,,
0:58.0,Offensive rebound by Team,,86-76,,
0:58.0,S. Adams makes free throw 2 of 2,1,87-76,,
0:48.0,,,87-76,,D. Lee misses 2-pt shot from 5 ft
0:47.0,Defensive rebound by A. Roberson,,87-76,,
0:39.0,Turnover by A. Roberson (traveling),,87-76,,
0:39.0,N. Collison enters the game for S. Adams,,87-76,,
0:39.0,,,87-76,,J. Barea enters the game for R. Felton
0:39.0,,,87-76,,D. Nowitzki enters the game for S. Mejri
0:34.0,,,87-79,3,D. Harris makes 3-pt shot from 24 ft
0:13.0,K. Durant misses 3-pt shot from 24 ft,,87-79,,
0:12.0,Offensive rebound by A. Roberson,,87-79,,
0:10.0,E. Kanter makes 2-pt shot from 2 ft (assist by A. Roberson),2,89-79,,
0:06.0,Personal take foul by A. Roberson,,89-79,,
0:01.0,,,89-79,,Turnover by D. Harris (lost ball; steal by N. Collison)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,K. Durant misses 2-pt shot from 14 ft,,89-79,,
11:39.0,,,89-79,,Defensive rebound by J. Anderson
11:25.0,,,89-79,,D. Nowitzki misses 2-pt shot from 14 ft
11:24.0,Defensive rebound by N. Collison,,89-79,,
11:12.0,Shooting foul by S. Mejri (drawn by E. Kanter),,89-79,,
11:12.0,E. Kanter makes free throw 1 of 2,1,90-79,,
11:12.0,E. Kanter makes free throw 2 of 2,1,91-79,,
10:50.0,,,91-79,,D. Nowitzki misses 2-pt shot from 17 ft
10:48.0,,,91-79,,Offensive rebound by J. Anderson
10:48.0,,,91-79,,J. Anderson misses 2-pt shot from 2 ft
10:47.0,Defensive rebound by R. Foye,,91-79,,
10:37.0,R. Foye misses 3-pt shot from 25 ft,,91-79,,
10:35.0,,,91-79,,Defensive rebound by Team
10:17.0,,,91-81,2,D. Harris makes 2-pt shot from 1 ft
9:57.0,R. Foye misses 3-pt shot from 23 ft,,91-81,,
9:56.0,,,91-81,,Defensive rebound by S. Mejri
9:42.0,,,91-81,,Turnover by J. Anderson (bad pass)
9:42.0,,,91-81,,W. Matthews enters the game for J. Anderson
9:42.0,R. Westbrook enters the game for R. Foye,,91-81,,
9:33.0,D. Waiters makes 3-pt shot from 24 ft (assist by K. Durant),3,94-81,,
9:18.0,Personal foul by N. Collison,,94-81,,
9:14.0,,,94-84,3,D. Harris makes 3-pt shot from 25 ft (assist by J. Barea)
9:04.0,N. Collison misses 2-pt shot at rim,,94-84,,
9:03.0,Offensive rebound by E. Kanter,,94-84,,
9:02.0,E. Kanter makes 2-pt shot at rim,2,96-84,,
8:49.0,Personal block foul by N. Collison,,96-84,,
8:49.0,Official timeout,,96-84,,
8:49.0,A. Roberson enters the game for K. Durant,,96-84,,
8:39.0,,,96-84,,J. Barea misses 2-pt shot from 4 ft
8:38.0,Defensive rebound by E. Kanter,,96-84,,
8:20.0,,,96-84,,Personal foul by J. Barea
8:20.0,S. Ibaka enters the game for N. Collison,,96-84,,
8:20.0,K. Durant enters the game for A. Roberson,,96-84,,
8:20.0,,,96-84,,R. Felton enters the game for J. Barea
8:11.0,Turnover by R. Westbrook (lost ball; steal by S. Mejri),,96-84,,
7:55.0,,,96-84,,D. Nowitzki misses 2-pt shot from 12 ft
7:54.0,Defensive rebound by K. Durant,,96-84,,
7:40.0,Shooting foul by W. Matthews (drawn by K. Durant),,96-84,,
7:40.0,K. Durant misses free throw 1 of 2,,96-84,,
7:40.0,Offensive rebound by Team,,96-84,,
7:40.0,K. Durant misses free throw 2 of 2,,96-84,,
7:39.0,,,96-84,,Defensive rebound by D. Nowitzki
7:20.0,,,96-84,,Shooting foul by E. Kanter (drawn by D. Nowitzki)
7:20.0,,,96-84,,Z. Pachulia enters the game for S. Mejri
7:20.0,,,96-85,1,D. Nowitzki makes free throw 1 of 2
7:20.0,,,96-86,1,D. Nowitzki makes free throw 2 of 2
7:09.0,K. Durant misses 2-pt shot from 18 ft,,96-86,,
7:07.0,Offensive rebound by E. Kanter,,96-86,,
7:07.0,E. Kanter makes 2-pt shot at rim,2,98-86,,
6:53.0,,,98-88,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by R. Felton)
6:35.0,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook),2,100-88,,
6:35.0,Shooting foul by Z. Pachulia (drawn by E. Kanter),,100-88,,
6:35.0,,,100-88,,Dallas full timeout
6:35.0,E. Kanter makes free throw 1 of 1,1,101-88,,
6:16.0,,,101-88,,W. Matthews misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by Team,,101-88,,
6:01.0,,,101-88,,Personal foul by Z. Pachulia
6:01.0,D. Waiters makes free throw 1 of 2,1,102-88,,
6:01.0,,,102-88,,D. Lee enters the game for Z. Pachulia
6:01.0,D. Waiters makes free throw 2 of 2,1,103-88,,
5:53.0,Personal foul by S. Ibaka,,103-88,,
5:43.0,,,103-90,2,R. Felton makes 2-pt shot from 3 ft
5:23.0,K. Durant makes 2-pt shot from 14 ft,2,105-90,,
5:12.0,,,105-92,2,R. Felton makes 2-pt shot from 12 ft
4:51.0,R. Westbrook misses 2-pt shot from 12 ft,,105-92,,
4:50.0,,,105-92,,Defensive rebound by D. Harris
4:42.0,,,105-95,3,W. Matthews makes 3-pt shot from 24 ft (assist by R. Felton)
4:42.0,Oklahoma City full timeout,,105-95,,
4:18.0,S. Ibaka misses 3-pt shot from 25 ft,,105-95,,
4:17.0,,,105-95,,Defensive rebound by D. Lee
4:04.0,,,105-95,,W. Matthews misses 3-pt shot from 25 ft
4:03.0,,,105-95,,Offensive rebound by D. Nowitzki
4:01.0,,,105-95,,D. Nowitzki misses 2-pt shot from 6 ft
4:00.0,Defensive rebound by R. Westbrook,,105-95,,
3:56.0,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook),2,107-95,,
3:54.0,,,107-95,,Dallas full timeout
3:36.0,,,107-97,2,D. Nowitzki makes 2-pt shot from 12 ft
3:36.0,,,107-97,,Shooting foul by S. Ibaka (drawn by D. Nowitzki)
3:36.0,,,107-98,1,D. Nowitzki makes free throw 1 of 1
3:29.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,109-98,,
3:15.0,Shooting block foul by E. Kanter (drawn by W. Matthews),,109-98,,
3:15.0,,,109-98,,W. Matthews misses free throw 1 of 2
3:15.0,,,109-98,,Offensive rebound by Team
3:15.0,,,109-99,1,W. Matthews makes free throw 2 of 2
2:53.0,K. Durant misses 3-pt shot from 25 ft,,109-99,,
2:52.0,,,109-99,,Defensive rebound by W. Matthews
2:44.0,,,109-99,,Turnover by W. Matthews (bad pass)
2:32.0,E. Kanter makes 2-pt shot from 6 ft (assist by R. Westbrook),2,111-99,,
2:32.0,Shooting foul by D. Lee (drawn by E. Kanter),,111-99,,
2:32.0,E. Kanter makes free throw 1 of 1,1,112-99,,
2:30.0,,,112-99,,Dallas full timeout
2:23.0,,,112-99,,D. Nowitzki misses 2-pt shot from 4 ft
2:22.0,Defensive rebound by S. Ibaka,,112-99,,
2:18.0,,,112-99,,Personal foul by D. Harris
2:18.0,R. Westbrook misses free throw 1 of 2,,112-99,,
2:18.0,Offensive rebound by Team,,112-99,,
2:18.0,R. Westbrook makes free throw 2 of 2,1,113-99,,
