time,LA Lakers,pts.away,score,pts.home,Miami
4:18.0,,,12-21,,T. Johnson enters the game for D. Wade
4:10.0,,,12-21,,Personal foul by G. Dragic (drawn by J. Clarkson)
4:03.0,J. Clarkson makes 2-pt shot from 18 ft,2,14-21,,
3:41.0,,,14-23,2,T. Johnson makes 2-pt shot from 17 ft
3:31.0,Turnover by J. Clarkson (traveling),,14-23,,
3:31.0,N. Young enters the game for M. World Peace,,14-23,,
3:27.0,,,14-23,,Miami full timeout
3:27.0,,,14-23,,C. Bosh enters the game for L. Deng
3:27.0,,,14-23,,J. McRoberts enters the game for H. Whiteside
3:17.0,,,14-23,,G. Dragic misses 3-pt shot from 24 ft
3:16.0,,,14-23,,Offensive rebound by C. Bosh
3:06.0,,,14-23,,C. Bosh misses 2-pt shot from 9 ft
3:05.0,Defensive rebound by T. Black,,14-23,,
2:48.0,J. Clarkson misses 3-pt shot from 24 ft,,14-23,,
2:47.0,,,14-23,,Defensive rebound by T. Johnson
2:44.0,,,14-25,2,J. Winslow makes 2-pt shot from 1 ft
2:44.0,Violation by J. Clarkson (def goaltending),,14-25,,
2:36.0,Shooting foul by G. Dragic (drawn by L. Williams),,14-25,,
2:36.0,L. Williams misses free throw 1 of 3,,14-25,,
2:36.0,Offensive rebound by Team,,14-25,,
2:36.0,L. Williams makes free throw 2 of 3,1,15-25,,
2:36.0,,,15-25,,J. Richardson enters the game for G. Dragic
2:36.0,L. Williams makes free throw 3 of 3,1,16-25,,
2:19.0,,,16-27,2,J. McRoberts makes 2-pt shot at rim (assist by J. Winslow)
2:02.0,L. Nance makes 2-pt shot at rim (assist by L. Williams),2,18-27,,
1:41.0,,,18-29,2,C. Bosh makes 2-pt shot from 18 ft (assist by J. McRoberts)
1:12.0,J. Clarkson makes 2-pt shot from 15 ft,2,20-29,,
0:59.0,,,20-29,,J. McRoberts misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by T. Black,,20-29,,
0:42.0,Turnover by J. Clarkson (kicked ball),,20-29,,
0:25.0,,,20-29,,Turnover by J. McRoberts (bad pass; steal by J. Clarkson)
0:25.0,LA Lakers full timeout,,20-29,,
0:02.0,L. Williams makes 3-pt shot from 24 ft,3,23-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,L. Williams misses 2-pt shot from 19 ft,,23-29,,
11:36.0,Offensive rebound by T. Black,,23-29,,
11:32.0,N. Young makes 3-pt shot from 24 ft,3,26-29,,
11:08.0,,,26-31,2,T. Johnson makes 2-pt shot from 2 ft (assist by J. Richardson)
10:56.0,T. Black misses 2-pt shot at rim (block by J. Winslow),,26-31,,
10:55.0,Offensive rebound by M. Huertas,,26-31,,
10:52.0,N. Young makes 3-pt shot from 23 ft (assist by M. Huertas),3,29-31,,
10:31.0,,,29-31,,C. Bosh misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by L. Williams,,29-31,,
10:21.0,L. Nance misses 2-pt shot from 16 ft,,29-31,,
10:20.0,,,29-31,,Defensive rebound by C. Bosh
10:14.0,,,29-31,,Shooting foul by L. Williams (drawn by J. Richardson)
10:14.0,,,29-31,,J. Richardson misses free throw 1 of 2
10:14.0,,,29-31,,Offensive rebound by Team
10:14.0,,,29-32,1,J. Richardson makes free throw 2 of 2
9:52.0,N. Young makes 3-pt shot from 24 ft,3,32-32,,
9:42.0,,,32-32,,Shooting foul by T. Black (drawn by C. Bosh)
9:42.0,,,32-32,,C. Bosh misses free throw 1 of 2
9:42.0,,,32-32,,Offensive rebound by Team
9:42.0,,,32-33,1,C. Bosh makes free throw 2 of 2
9:24.0,N. Young makes 2-pt shot from 17 ft,2,34-33,,
9:10.0,,,34-33,,C. Bosh misses 3-pt shot from 23 ft
9:09.0,Defensive rebound by L. Nance,,34-33,,
8:52.0,L. Nance makes 2-pt shot from 16 ft (assist by M. Huertas),2,36-33,,
8:45.0,,,36-33,,Miami full timeout
8:28.0,,,36-33,,J. McRoberts misses 2-pt shot from 6 ft
8:27.0,Defensive rebound by L. Williams,,36-33,,
8:21.0,N. Young makes 3-pt shot from 24 ft,3,39-33,,
8:08.0,,,39-33,,T. Johnson misses 2-pt shot from 15 ft
8:07.0,Defensive rebound by L. Nance,,39-33,,
7:59.0,Turnover by N. Young (bad pass; steal by T. Johnson),,39-33,,
7:59.0,Personal foul by T. Black (drawn by T. Johnson),,39-33,,
7:59.0,R. Hibbert enters the game for T. Black,,39-33,,
7:59.0,,,39-33,,H. Whiteside enters the game for C. Bosh
7:59.0,,,39-33,,D. Wade enters the game for J. Richardson
7:44.0,,,39-33,,J. McRoberts misses 2-pt shot at rim (block by R. Hibbert)
7:43.0,,,39-33,,Offensive rebound by H. Whiteside
7:43.0,,,39-33,,Shooting foul by R. Hibbert (drawn by H. Whiteside)
7:43.0,,,39-34,1,H. Whiteside makes free throw 1 of 2
7:43.0,,,39-35,1,H. Whiteside makes free throw 2 of 2
7:20.0,M. Huertas misses 2-pt shot from 21 ft (block by T. Johnson),,39-35,,
7:19.0,Offensive rebound by M. Huertas,,39-35,,
7:19.0,Turnover by Team (shot clock),,39-35,,
7:03.0,,,39-35,,D. Wade misses 2-pt shot from 12 ft
7:02.0,,,39-35,,Offensive rebound by H. Whiteside
7:00.0,D. Russell enters the game for M. Huertas,,39-35,,
6:50.0,,,39-37,2,D. Wade makes 2-pt shot from 18 ft
6:37.0,L. Williams misses 2-pt shot from 18 ft,,39-37,,
6:36.0,,,39-37,,Defensive rebound by H. Whiteside
6:14.0,,,39-37,,D. Wade misses 2-pt shot from 13 ft
6:13.0,Defensive rebound by L. Nance,,39-37,,
6:05.0,N. Young misses 2-pt shot from 14 ft,,39-37,,
6:04.0,,,39-37,,Defensive rebound by H. Whiteside
5:52.0,,,39-37,,J. Winslow misses 2-pt shot from 1 ft (block by N. Young)
5:51.0,,,39-37,,Offensive rebound by J. Winslow
5:48.0,Personal foul by D. Russell (drawn by T. Johnson),,39-37,,
5:48.0,Official timeout,,39-37,,
5:48.0,J. Randle enters the game for L. Nance,,39-37,,
5:48.0,,,39-37,,G. Dragic enters the game for J. Winslow
5:48.0,,,39-37,,L. Deng enters the game for J. McRoberts
5:48.0,,,39-38,1,T. Johnson makes free throw 1 of 2
5:48.0,,,39-39,1,T. Johnson makes free throw 2 of 2
5:36.0,N. Young misses 2-pt shot from 2 ft (block by T. Johnson),,39-39,,
5:34.0,Offensive rebound by Team,,39-39,,
5:27.0,D. Russell misses 2-pt shot from 15 ft,,39-39,,
5:26.0,,,39-39,,Defensive rebound by D. Wade
5:17.0,,,39-41,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
4:57.0,J. Randle makes 2-pt shot from 1 ft,2,41-41,,
4:57.0,Shooting foul by L. Deng (drawn by J. Randle),,41-41,,
4:57.0,M. World Peace enters the game for L. Williams,,41-41,,
4:57.0,J. Clarkson enters the game for N. Young,,41-41,,
4:57.0,J. Randle misses free throw 1 of 1,,41-41,,
4:56.0,,,41-41,,Defensive rebound by D. Wade
4:40.0,,,41-41,,D. Wade misses 2-pt shot from 18 ft
4:39.0,Defensive rebound by J. Randle,,41-41,,
4:30.0,M. World Peace makes 3-pt shot from 24 ft (assist by J. Randle),3,44-41,,
4:05.0,,,44-41,,H. Whiteside misses 2-pt shot from 18 ft
4:04.0,Defensive rebound by J. Randle,,44-41,,
4:01.0,Turnover by J. Randle (bad pass),,44-41,,
4:01.0,,,44-41,,C. Bosh enters the game for T. Johnson
3:53.0,,,44-41,,G. Dragic misses 2-pt shot from 1 ft (block by R. Hibbert)
3:52.0,Defensive rebound by D. Russell,,44-41,,
3:51.0,Turnover by D. Russell (bad pass),,44-41,,
3:35.0,,,44-44,3,C. Bosh makes 3-pt shot from 24 ft (assist by D. Wade)
3:13.0,J. Randle misses 2-pt shot from 11 ft,,44-44,,
3:12.0,,,44-44,,Defensive rebound by C. Bosh
3:08.0,,,44-44,,G. Dragic misses 2-pt shot from 2 ft
3:07.0,Defensive rebound by J. Clarkson,,44-44,,
2:56.0,D. Russell misses 2-pt shot from 19 ft,,44-44,,
2:55.0,,,44-44,,Defensive rebound by H. Whiteside
2:42.0,,,44-46,2,H. Whiteside makes 2-pt shot from 3 ft (assist by D. Wade)
2:21.0,,,44-46,,Personal foul by D. Wade (drawn by M. World Peace)
2:21.0,LA Lakers full timeout,,44-46,,
2:12.0,J. Clarkson misses 2-pt shot from 1 ft (block by D. Wade),,44-46,,
2:11.0,,,44-46,,Defensive rebound by G. Dragic
1:55.0,,,44-46,,H. Whiteside misses 2-pt shot from 10 ft
1:53.0,,,44-46,,Offensive rebound by H. Whiteside
1:48.0,,,44-46,,H. Whiteside misses 2-pt shot from 8 ft
1:47.0,Defensive rebound by J. Randle,,44-46,,
1:42.0,J. Clarkson misses 2-pt shot from 18 ft,,44-46,,
1:41.0,Offensive rebound by J. Clarkson,,44-46,,
1:38.0,J. Clarkson misses 2-pt shot from 7 ft,,44-46,,
1:37.0,,,44-46,,Defensive rebound by H. Whiteside
1:34.0,,,44-48,2,D. Wade makes 2-pt shot from 1 ft
1:34.0,,,44-48,,Shooting foul by M. World Peace (drawn by D. Wade)
1:34.0,,,44-48,,T. Johnson enters the game for G. Dragic
1:34.0,,,44-48,,D. Wade misses free throw 1 of 1
1:33.0,,,44-48,,Offensive rebound by H. Whiteside
1:27.0,,,44-48,,L. Deng misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by J. Randle,,44-48,,
1:12.0,M. World Peace makes 3-pt shot from 24 ft (assist by R. Hibbert),3,47-48,,
0:48.0,,,47-48,,L. Deng misses 2-pt shot from 2 ft
0:47.0,Defensive rebound by J. Randle,,47-48,,
0:42.0,J. Clarkson makes 2-pt shot from 1 ft (assist by D. Russell),2,49-48,,
0:18.0,,,49-50,2,C. Bosh makes 2-pt shot from 19 ft (assist by D. Wade)
0:03.0,J. Randle misses 3-pt shot from 25 ft,,49-50,,
0:01.0,,,49-50,,Defensive rebound by C. Bosh
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,J. Randle makes 2-pt shot from 17 ft (assist by D. Russell),2,51-50,,
11:07.0,,,51-52,2,C. Bosh makes 2-pt shot from 12 ft
10:44.0,M. World Peace misses 2-pt shot from 21 ft,,51-52,,
10:43.0,,,51-52,,Defensive rebound by H. Whiteside
10:26.0,,,51-52,,Shooting foul by J. Randle (drawn by C. Bosh)
10:26.0,,,51-53,1,C. Bosh makes free throw 1 of 2
10:26.0,,,51-54,1,C. Bosh makes free throw 2 of 2
10:12.0,J. Randle misses 2-pt shot from 16 ft,,51-54,,
10:11.0,,,51-54,,Defensive rebound by H. Whiteside
9:56.0,,,51-56,2,C. Bosh makes 2-pt shot from 11 ft
9:44.0,J. Clarkson makes 2-pt shot from 2 ft (assist by D. Russell),2,53-56,,
9:22.0,,,53-56,,D. Wade misses 3-pt shot from 24 ft
9:21.0,Defensive rebound by D. Russell,,53-56,,
9:03.0,D. Russell makes 2-pt shot from 10 ft,2,55-56,,
8:37.0,,,55-58,2,D. Wade makes 2-pt shot from 20 ft
8:21.0,J. Clarkson makes 2-pt shot from 20 ft (assist by J. Randle),2,57-58,,
8:05.0,,,57-58,,Turnover by C. Bosh (bad pass; steal by M. World Peace)
8:04.0,,,57-58,,Personal foul by C. Bosh (drawn by M. World Peace)
7:47.0,R. Hibbert misses 2-pt shot from 9 ft,,57-58,,
7:46.0,,,57-58,,Defensive rebound by H. Whiteside
7:34.0,,,57-58,,H. Whiteside misses 2-pt shot from 5 ft
7:33.0,,,57-58,,Offensive rebound by Team
7:26.0,,,57-58,,Shooting foul by J. Clarkson (drawn by D. Wade)
7:26.0,,,57-59,1,D. Wade makes free throw 1 of 2
7:26.0,,,57-60,1,D. Wade makes free throw 2 of 2
7:22.0,,,57-60,,Personal foul by D. Wade (drawn by J. Clarkson)
7:18.0,Turnover by R. Hibbert (bad pass; steal by L. Deng),,57-60,,
7:04.0,,,57-63,3,L. Deng makes 3-pt shot from 23 ft (assist by G. Dragic)
6:45.0,J. Clarkson misses 2-pt shot from 3 ft,,57-63,,
6:44.0,,,57-63,,Defensive rebound by Team
6:28.0,,,57-63,,Turnover by D. Wade (bad pass)
6:28.0,,,57-63,,J. Winslow enters the game for C. Bosh
6:17.0,M. World Peace makes 3-pt shot from 25 ft (assist by D. Russell),3,60-63,,
6:00.0,,,60-63,,D. Wade misses 2-pt shot from 17 ft
5:59.0,Defensive rebound by Team,,60-63,,
5:58.0,,,60-63,,Loose ball foul by H. Whiteside (drawn by R. Hibbert)
5:58.0,,,60-63,,Miami full timeout
5:44.0,Turnover by M. World Peace (step out of bounds),,60-63,,
5:26.0,,,60-63,,D. Wade misses 2-pt shot from 5 ft
5:25.0,Defensive rebound by D. Russell,,60-63,,
5:22.0,Turnover by D. Russell (bad pass),,60-63,,
5:04.0,,,60-65,2,H. Whiteside makes 2-pt shot from 8 ft (assist by L. Deng)
4:54.0,Turnover by J. Clarkson (lost ball),,60-65,,
4:53.0,L. Williams enters the game for D. Russell,,60-65,,
4:33.0,,,60-67,2,D. Wade makes 2-pt shot from 12 ft
4:14.0,J. Clarkson misses 2-pt shot from 1 ft (block by H. Whiteside),,60-67,,
4:13.0,,,60-67,,Defensive rebound by G. Dragic
4:02.0,,,60-69,2,H. Whiteside makes 2-pt shot from 3 ft (assist by D. Wade)
4:01.0,LA Lakers full timeout,,60-69,,
3:55.0,Turnover by J. Randle (bad pass),,60-69,,
3:36.0,,,60-71,2,D. Wade makes 2-pt shot from 5 ft (assist by G. Dragic)
3:14.0,M. World Peace makes 3-pt shot from 24 ft (assist by J. Randle),3,63-71,,
2:57.0,Personal foul by M. World Peace (drawn by D. Wade),,63-71,,
2:57.0,,,63-71,,T. Johnson enters the game for D. Wade
2:57.0,T. Black enters the game for M. World Peace,,63-71,,
2:57.0,L. Nance enters the game for J. Randle,,63-71,,
2:57.0,N. Young enters the game for R. Hibbert,,63-71,,
2:49.0,Personal foul by T. Black (drawn by H. Whiteside),,63-71,,
2:42.0,,,63-71,,Turnover by G. Dragic (bad pass)
2:25.0,L. Williams misses 2-pt shot from 11 ft,,63-71,,
2:24.0,,,63-71,,Defensive rebound by Team
2:24.0,Loose ball foul by T. Black (drawn by H. Whiteside),,63-71,,
2:24.0,,,63-71,,H. Whiteside misses free throw 1 of 2
2:24.0,,,63-71,,Offensive rebound by Team
2:24.0,,,63-71,,J. McRoberts enters the game for L. Deng
2:24.0,,,63-71,,H. Whiteside misses free throw 2 of 2
2:23.0,Defensive rebound by T. Black,,63-71,,
2:10.0,Turnover by L. Williams (step out of bounds),,63-71,,
2:10.0,M. Huertas enters the game for J. Clarkson,,63-71,,
1:59.0,,,63-73,2,J. Winslow makes 2-pt shot at rim (assist by J. McRoberts)
1:38.0,N. Young makes 3-pt shot from 23 ft (assist by L. Williams),3,66-73,,
1:25.0,,,66-73,,C. Bosh enters the game for H. Whiteside
1:16.0,,,66-73,,G. Dragic misses 2-pt shot from 17 ft
1:15.0,Defensive rebound by L. Williams,,66-73,,
1:06.0,L. Williams misses 3-pt shot from 26 ft,,66-73,,
1:05.0,,,66-73,,Defensive rebound by C. Bosh
0:55.0,,,66-73,,T. Johnson misses 2-pt shot from 22 ft
0:54.0,Defensive rebound by T. Black,,66-73,,
0:46.0,Turnover by L. Nance (bad pass; steal by J. Winslow),,66-73,,
0:40.0,,,66-73,,T. Johnson misses 2-pt shot from 2 ft
0:36.0,Defensive rebound by T. Black,,66-73,,
0:30.0,N. Young misses 3-pt shot from 24 ft,,66-73,,
0:29.0,,,66-73,,Defensive rebound by G. Dragic
0:05.0,,,66-73,,G. Dragic misses 3-pt shot from 25 ft
0:04.0,,,66-73,,Offensive rebound by J. McRoberts
0:03.0,,,66-73,,Shooting foul by L. Williams (drawn by C. Bosh)
0:03.0,,,66-74,1,C. Bosh makes free throw 1 of 2
0:03.0,,,66-74,,J. Richardson enters the game for G. Dragic
0:03.0,,,66-75,1,C. Bosh makes free throw 2 of 2
0:00.0,N. Young misses 3-pt shot from 26 ft,,66-75,,
0:00.0,Offensive rebound by Team,,66-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,66-75,,C. Bosh misses 2-pt shot from 5 ft (block by T. Black)
11:44.0,Defensive rebound by T. Black,,66-75,,
11:35.0,L. Nance misses 2-pt shot from 20 ft,,66-75,,
11:34.0,Offensive rebound by Team,,66-75,,
11:34.0,LA Lakers full timeout,,66-75,,
11:27.0,N. Young misses 3-pt shot from 25 ft,,66-75,,
11:26.0,,,66-75,,Defensive rebound by J. McRoberts
11:12.0,,,66-75,,C. Bosh misses 2-pt shot from 16 ft
11:11.0,Defensive rebound by N. Young,,66-75,,
11:03.0,L. Williams misses 2-pt shot from 3 ft,,66-75,,
11:02.0,Offensive rebound by L. Williams,,66-75,,
11:01.0,L. Williams makes 2-pt shot at rim,2,68-75,,
10:48.0,,,68-77,2,C. Bosh makes 2-pt shot from 21 ft (assist by J. Winslow)
10:30.0,M. Huertas misses 2-pt shot from 17 ft,,68-77,,
10:29.0,,,68-77,,Defensive rebound by Team
10:29.0,B. Bass enters the game for T. Black,,68-77,,
10:08.0,,,68-77,,J. Richardson misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by N. Young,,68-77,,
10:01.0,L. Nance makes 2-pt shot at rim,2,70-77,,
9:48.0,,,70-79,2,T. Johnson makes 2-pt shot from 1 ft
9:48.0,,,70-79,,Shooting foul by B. Bass (drawn by T. Johnson)
9:48.0,,,70-80,1,T. Johnson makes free throw 1 of 1
9:30.0,M. Huertas makes 2-pt shot from 19 ft,2,72-80,,
9:07.0,,,72-80,,Shooting foul by B. Bass (drawn by C. Bosh)
9:07.0,,,72-81,1,C. Bosh makes free throw 1 of 2
9:07.0,,,72-82,1,C. Bosh makes free throw 2 of 2
8:55.0,L. Williams misses 3-pt shot from 24 ft,,72-82,,
8:54.0,,,72-82,,Defensive rebound by T. Johnson
8:45.0,,,72-82,,C. Bosh misses 3-pt shot from 24 ft
8:44.0,,,72-82,,Offensive rebound by J. McRoberts
8:42.0,,,72-82,,Turnover by J. McRoberts (lost ball)
8:30.0,L. Williams misses 2-pt shot from 2 ft,,72-82,,
8:29.0,,,72-82,,Defensive rebound by J. McRoberts
8:12.0,,,72-82,,T. Johnson misses 2-pt shot from 20 ft
8:11.0,Defensive rebound by B. Bass,,72-82,,
7:56.0,N. Young misses 2-pt shot from 20 ft,,72-82,,
7:55.0,,,72-82,,Defensive rebound by Team
7:55.0,Loose ball foul by L. Nance (drawn by C. Bosh),,72-82,,
7:36.0,,,72-84,2,J. Winslow makes 2-pt shot from 1 ft (assist by J. McRoberts)
7:35.0,LA Lakers full timeout,,72-84,,
7:25.0,Turnover by L. Williams (lost ball; steal by J. Richardson),,72-84,,
7:19.0,,,72-86,2,J. McRoberts makes 2-pt shot at rim (assist by T. Johnson)
7:07.0,Turnover by M. Huertas (bad pass; steal by J. McRoberts),,72-86,,
7:06.0,Personal foul by L. Williams,,72-86,,
7:06.0,J. Clarkson enters the game for M. Huertas,,72-86,,
6:47.0,,,72-89,3,C. Bosh makes 3-pt shot from 25 ft (assist by J. Richardson)
6:29.0,N. Young misses 3-pt shot from 24 ft,,72-89,,
6:28.0,,,72-89,,Defensive rebound by C. Bosh
6:24.0,,,72-89,,Turnover by T. Johnson (bad pass; steal by J. Clarkson)
6:11.0,Shooting foul by J. Richardson (drawn by L. Williams),,72-89,,
6:11.0,L. Williams makes free throw 1 of 2,1,73-89,,
6:11.0,J. Randle enters the game for L. Nance,,73-89,,
6:11.0,L. Williams makes free throw 2 of 2,1,74-89,,
5:52.0,,,74-91,2,C. Bosh makes 2-pt shot at rim (assist by J. Winslow)
5:40.0,,,74-91,,Personal foul by J. McRoberts
5:40.0,Official timeout,,74-91,,
5:40.0,,,74-91,,L. Deng enters the game for J. McRoberts
5:25.0,L. Williams makes 3-pt shot from 24 ft (assist by N. Young),3,77-91,,
4:58.0,,,77-91,,T. Johnson misses 3-pt shot from 24 ft
4:57.0,,,77-91,,Offensive rebound by C. Bosh
4:57.0,,,77-91,,Shooting foul by B. Bass (drawn by C. Bosh)
4:57.0,,,77-91,,C. Bosh misses free throw 1 of 2
4:57.0,,,77-91,,Offensive rebound by Team
4:57.0,,,77-91,,G. Dragic enters the game for J. Richardson
4:57.0,,,77-92,1,C. Bosh makes free throw 2 of 2
4:46.0,L. Williams misses 3-pt shot from 24 ft,,77-92,,
4:45.0,,,77-92,,Defensive rebound by L. Deng
4:33.0,,,77-92,,Turnover by T. Johnson (bad pass; steal by N. Young)
4:31.0,Shooting foul by G. Dragic (drawn by L. Williams),,77-92,,
4:31.0,L. Williams makes free throw 1 of 2,1,78-92,,
4:31.0,L. Williams makes free throw 2 of 2,1,79-92,,
4:11.0,,,79-95,3,L. Deng makes 3-pt shot from 23 ft (assist by T. Johnson)
3:58.0,J. Clarkson misses 2-pt shot from 11 ft,,79-95,,
3:57.0,,,79-95,,Defensive rebound by C. Bosh
3:49.0,,,79-97,2,L. Deng makes 2-pt shot at rim
3:49.0,LA Lakers full timeout,,79-97,,
3:32.0,B. Bass makes 2-pt shot from 6 ft (assist by N. Young),2,81-97,,
3:11.0,,,81-99,2,G. Dragic makes 2-pt shot from 2 ft
2:54.0,Shooting foul by L. Deng (drawn by J. Randle),,81-99,,
2:54.0,J. Randle makes free throw 1 of 2,1,82-99,,
2:54.0,A. Brown enters the game for L. Williams,,82-99,,
2:54.0,M. Huertas enters the game for J. Clarkson,,82-99,,
2:54.0,J. Randle misses free throw 2 of 2,,82-99,,
2:53.0,,,82-99,,Defensive rebound by L. Deng
2:37.0,,,82-99,,Turnover by C. Bosh (bad pass; steal by M. Huertas)
2:32.0,B. Bass makes 2-pt shot at rim (assist by M. Huertas),2,84-99,,
2:27.0,,,84-99,,Miami full timeout
2:27.0,R. Kelly enters the game for J. Randle,,84-99,,
2:27.0,,,84-99,,U. Haslem enters the game for C. Bosh
2:22.0,,,84-101,2,J. Winslow makes 2-pt shot at rim (assist by L. Deng)
2:06.0,R. Kelly misses 2-pt shot from 1 ft,,84-101,,
2:05.0,,,84-101,,Defensive rebound by U. Haslem
1:48.0,,,84-101,,L. Deng misses 3-pt shot from 23 ft
1:47.0,Defensive rebound by B. Bass,,84-101,,
1:43.0,Turnover by M. Huertas (bad pass; steal by L. Deng),,84-101,,
1:30.0,,,84-101,,J. Winslow misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by R. Kelly,,84-101,,
1:09.0,Turnover by M. Huertas (bad pass; steal by L. Deng),,84-101,,
