time,Portland,pts.away,score,pts.home,Milwaukee
5:55.0,,,6-13,,Defensive rebound by G. Monroe
5:42.0,,,6-15,2,J. Parker makes 2-pt shot from 5 ft (assist by G. Monroe)
5:26.0,Turnover by D. Lillard (bad pass),,6-15,,
5:26.0,E. Davis enters the game for C. McCollum,,6-15,,
5:26.0,A. Crabbe enters the game for M. Plumlee,,6-15,,
5:17.0,M. Leonard enters the game for N. Vonleh,,6-15,,
5:14.0,,,6-15,,O. Mayo misses 2-pt shot from 14 ft
5:12.0,Defensive rebound by E. Davis,,6-15,,
5:03.0,M. Leonard makes 2-pt shot at rim (assist by D. Lillard),2,8-15,,
4:53.0,,,8-17,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
4:36.0,Turnover by D. Lillard (bad pass; steal by O. Mayo),,8-17,,
4:31.0,,,8-17,,G. Antetokounmpo misses 2-pt shot from 1 ft
4:29.0,,,8-17,,Offensive rebound by G. Monroe
4:29.0,,,8-19,2,G. Monroe makes 2-pt shot from 1 ft
4:12.0,A. Crabbe makes 2-pt shot from 9 ft (assist by D. Lillard),2,10-19,,
4:12.0,Shooting foul by K. Middleton (drawn by A. Crabbe),,10-19,,
4:12.0,,,10-19,,M. Carter-Williams enters the game for K. Middleton
4:12.0,A. Crabbe misses free throw 1 of 1,,10-19,,
4:09.0,,,10-19,,Defensive rebound by G. Antetokounmpo
3:58.0,,,10-19,,G. Antetokounmpo misses 2-pt shot from 18 ft
3:57.0,Defensive rebound by A. Crabbe,,10-19,,
3:52.0,,,10-19,,Personal foul by M. Carter-Williams (drawn by D. Lillard)
3:52.0,M. Harkless enters the game for A. Aminu,,10-19,,
3:40.0,Turnover by M. Leonard (lost ball),,10-19,,
3:29.0,,,10-19,,M. Carter-Williams misses 2-pt shot from 5 ft
3:27.0,Defensive rebound by D. Lillard,,10-19,,
3:20.0,D. Lillard makes 2-pt shot at rim,2,12-19,,
3:16.0,,,12-19,,Turnover by M. Carter-Williams (bad pass)
2:59.0,D. Lillard misses 3-pt shot from 26 ft,,12-19,,
2:58.0,,,12-19,,Defensive rebound by J. Parker
2:48.0,,,12-21,2,J. Parker makes 2-pt shot from 14 ft (assist by M. Carter-Williams)
2:33.0,,,12-21,,Milwaukee full timeout
2:33.0,,,12-21,,R. Vaughn enters the game for J. Parker
2:33.0,,,12-21,,J. O'Bryant enters the game for O. Mayo
2:22.0,A. Crabbe misses 2-pt shot from 17 ft,,12-21,,
2:21.0,Offensive rebound by E. Davis,,12-21,,
2:15.0,D. Lillard misses 2-pt shot from 18 ft,,12-21,,
2:13.0,,,12-21,,Defensive rebound by G. Monroe
2:00.0,,,12-21,,J. O'Bryant misses 2-pt shot from 13 ft
1:58.0,Defensive rebound by D. Lillard,,12-21,,
1:53.0,,,12-21,,J. Henson enters the game for G. Monroe
1:53.0,,,12-21,,Inbound foul by R. Vaughn
1:53.0,A. Crabbe makes free throw 1 of 2,1,13-21,,
1:53.0,A. Crabbe makes free throw 2 of 2,1,14-21,,
1:38.0,,,14-21,,M. Carter-Williams misses 2-pt shot from 5 ft
1:37.0,,,14-21,,Offensive rebound by J. Henson
1:37.0,,,14-23,2,J. Henson makes 2-pt shot at rim
1:21.0,A. Crabbe misses 3-pt shot from 27 ft,,14-23,,
1:20.0,Offensive rebound by M. Harkless,,14-23,,
1:14.0,M. Harkless misses 3-pt shot from 27 ft,,14-23,,
1:12.0,,,14-23,,Defensive rebound by R. Vaughn
1:03.0,,,14-25,2,M. Carter-Williams makes 2-pt shot from 16 ft
0:40.0,D. Lillard misses 3-pt shot from 24 ft,,14-25,,
0:38.0,,,14-25,,Defensive rebound by Team
0:38.0,C. McCollum enters the game for D. Lillard,,14-25,,
0:23.0,,,14-25,,Turnover by R. Vaughn (bad pass; steal by A. Crabbe)
0:04.0,C. McCollum makes 2-pt shot from 3 ft,2,16-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,16-25,,Turnover by M. Carter-Williams (bad pass; steal by C. McCollum)
11:31.0,M. Leonard makes 2-pt shot at rim (assist by E. Davis),2,18-25,,
11:19.0,,,18-27,2,M. Carter-Williams makes 2-pt shot at rim
11:00.0,Offensive charge foul by C. McCollum,,18-27,,
11:00.0,Turnover by C. McCollum (offensive foul),,18-27,,
10:38.0,,,18-27,,K. Middleton misses 3-pt shot from 26 ft
10:36.0,,,18-27,,Offensive rebound by R. Vaughn
10:24.0,,,18-27,,M. Carter-Williams misses 2-pt shot from 16 ft
10:22.0,,,18-27,,Offensive rebound by M. Carter-Williams
10:18.0,,,18-29,2,J. Henson makes 2-pt shot from 4 ft (assist by M. Carter-Williams)
10:01.0,A. Crabbe makes 2-pt shot from 15 ft (assist by C. McCollum),2,20-29,,
9:44.0,,,20-29,,K. Middleton misses 2-pt shot from 14 ft
9:44.0,Defensive rebound by Team,,20-29,,
9:25.0,Turnover by M. Leonard (bad pass; steal by R. Vaughn),,20-29,,
9:20.0,,,20-31,2,K. Middleton makes 2-pt shot at rim (assist by R. Vaughn)
9:02.0,A. Crabbe misses 2-pt shot from 15 ft,,20-31,,
9:01.0,,,20-31,,Defensive rebound by J. Henson
8:48.0,,,20-31,,Turnover by M. Carter-Williams (bad pass; steal by C. McCollum)
8:43.0,A. Crabbe misses 3-pt shot from 24 ft,,20-31,,
8:41.0,Offensive rebound by E. Davis,,20-31,,
8:37.0,Turnover by E. Davis (lost ball; steal by R. Vaughn),,20-31,,
8:31.0,,,20-31,,R. Vaughn misses 2-pt shot at rim
8:29.0,Defensive rebound by E. Davis,,20-31,,
8:17.0,Shooting foul by J. O'Bryant (drawn by E. Davis),,20-31,,
8:17.0,Official timeout,,20-31,,
8:17.0,E. Davis makes free throw 1 of 2,1,21-31,,
8:17.0,E. Davis makes free throw 2 of 2,1,22-31,,
8:03.0,,,22-31,,K. Middleton misses 3-pt shot from 25 ft
8:01.0,Defensive rebound by A. Crabbe,,22-31,,
7:52.0,C. McCollum misses 2-pt shot at rim,,22-31,,
7:52.0,Offensive rebound by E. Davis,,22-31,,
7:52.0,E. Davis misses 2-pt shot at rim,,22-31,,
7:52.0,Offensive rebound by Team,,22-31,,
7:52.0,G. Henderson enters the game for A. Crabbe,,22-31,,
7:33.0,M. Leonard makes 2-pt shot from 6 ft,2,24-31,,
7:08.0,,,24-31,,J. O'Bryant misses 2-pt shot from 7 ft
7:07.0,Defensive rebound by M. Leonard,,24-31,,
7:00.0,C. McCollum misses 3-pt shot from 25 ft,,24-31,,
6:58.0,,,24-31,,Defensive rebound by R. Vaughn
6:47.0,,,24-31,,J. O'Bryant misses 2-pt shot at rim
6:45.0,Defensive rebound by M. Leonard,,24-31,,
6:32.0,M. Leonard misses 3-pt shot from 25 ft,,24-31,,
6:31.0,,,24-31,,Defensive rebound by J. O'Bryant
6:24.0,,,24-31,,R. Vaughn misses 2-pt shot from 10 ft
6:23.0,Defensive rebound by M. Harkless,,24-31,,
6:04.0,M. Leonard misses 3-pt shot from 26 ft,,24-31,,
6:03.0,,,24-31,,Defensive rebound by J. Henson
5:55.0,,,24-31,,Milwaukee full timeout
5:55.0,M. Plumlee enters the game for C. McCollum,,24-31,,
5:55.0,A. Aminu enters the game for E. Davis,,24-31,,
5:55.0,D. Lillard enters the game for M. Harkless,,24-31,,
5:55.0,,,24-31,,O. Mayo enters the game for J. O'Bryant
5:55.0,,,24-31,,J. Parker enters the game for R. Vaughn
5:46.0,,,24-33,2,J. Parker makes 2-pt shot at rim (assist by M. Carter-Williams)
5:30.0,,,24-33,,Personal block foul by O. Mayo (drawn by G. Henderson)
5:18.0,A. Aminu misses 2-pt shot from 5 ft (block by J. Henson),,24-33,,
5:16.0,,,24-33,,Defensive rebound by J. Henson
5:14.0,,,24-33,,Shooting foul by M. Leonard (drawn by J. Parker)
5:14.0,,,24-34,1,J. Parker makes free throw 1 of 2
5:14.0,,,24-35,1,J. Parker makes free throw 2 of 2
5:02.0,Turnover by M. Leonard (bad pass),,24-35,,
4:50.0,,,24-35,,M. Carter-Williams misses 2-pt shot at rim (block by M. Plumlee)
4:50.0,,,24-35,,Offensive rebound by M. Carter-Williams
4:50.0,,,24-35,,Shooting foul by M. Leonard (drawn by M. Carter-Williams)
4:50.0,,,24-35,,M. Carter-Williams misses free throw 1 of 2
4:50.0,,,24-35,,Offensive rebound by Team
4:50.0,C. McCollum enters the game for M. Leonard,,24-35,,
4:50.0,,,24-36,1,M. Carter-Williams makes free throw 2 of 2
4:35.0,C. McCollum misses 3-pt shot from 24 ft,,24-36,,
4:35.0,,,24-36,,Defensive rebound by Team
4:35.0,Loose ball foul by A. Aminu (drawn by K. Middleton),,24-36,,
4:23.0,,,24-38,2,J. Henson makes 2-pt shot at rim (assist by M. Carter-Williams)
4:02.0,C. McCollum makes 3-pt shot from 24 ft (assist by G. Henderson),3,27-38,,
3:48.0,,,27-38,,Turnover by M. Carter-Williams (lost ball; steal by G. Henderson)
3:38.0,A. Aminu misses 3-pt shot from 26 ft,,27-38,,
3:35.0,,,27-38,,Defensive rebound by J. Henson
3:29.0,,,27-38,,Turnover by K. Middleton (bad pass; steal by A. Aminu)
3:25.0,G. Henderson makes 2-pt shot at rim (assist by D. Lillard),2,29-38,,
3:09.0,,,29-38,,K. Middleton misses 3-pt shot from 23 ft
3:07.0,Defensive rebound by A. Aminu,,29-38,,
3:00.0,Shooting foul by K. Middleton (drawn by D. Lillard),,29-38,,
3:00.0,D. Lillard makes free throw 1 of 2,1,30-38,,
3:00.0,,,30-38,,G. Monroe enters the game for J. Henson
3:00.0,,,30-38,,G. Antetokounmpo enters the game for K. Middleton
3:00.0,D. Lillard makes free throw 2 of 2,1,31-38,,
2:41.0,,,31-38,,Milwaukee full timeout
2:41.0,Portland full timeout,,31-38,,
2:33.0,,,31-38,,G. Antetokounmpo misses 2-pt shot from 10 ft
2:32.0,Defensive rebound by D. Lillard,,31-38,,
2:21.0,Turnover by M. Plumlee (bad pass; steal by O. Mayo),,31-38,,
2:06.0,,,31-38,,G. Monroe misses 2-pt shot from 3 ft
2:05.0,Defensive rebound by D. Lillard,,31-38,,
1:51.0,G. Henderson misses 2-pt shot from 11 ft,,31-38,,
1:50.0,,,31-38,,Defensive rebound by M. Carter-Williams
1:42.0,,,31-38,,M. Carter-Williams misses 2-pt shot from 13 ft
1:41.0,Defensive rebound by D. Lillard,,31-38,,
1:35.0,A. Aminu makes 2-pt shot from 1 ft (assist by D. Lillard),2,33-38,,
1:11.0,,,33-40,2,G. Monroe makes 2-pt shot at rim (assist by J. Parker)
0:59.0,Turnover by G. Henderson (offensive foul),,33-40,,
0:59.0,Offensive foul by G. Henderson,,33-40,,
0:59.0,E. Davis enters the game for G. Henderson,,33-40,,
0:55.0,,,33-40,,O. Mayo misses 3-pt shot from 25 ft
0:54.0,Defensive rebound by A. Aminu,,33-40,,
0:50.0,C. McCollum misses 3-pt shot from 24 ft,,33-40,,
0:42.0,Offensive rebound by Team,,33-40,,
0:42.0,Portland full timeout,,33-40,,
0:42.0,G. Henderson enters the game for C. McCollum,,33-40,,
0:42.0,C. McCollum enters the game for E. Davis,,33-40,,
0:33.0,C. McCollum misses 3-pt shot from 27 ft,,33-40,,
0:31.0,,,33-40,,Defensive rebound by G. Monroe
0:12.0,,,33-40,,O. Mayo misses 2-pt shot from 8 ft
0:10.0,,,33-40,,Offensive rebound by G. Monroe
0:09.0,,,33-40,,Shooting foul by M. Plumlee (drawn by G. Antetokounmpo)
0:09.0,,,33-41,1,G. Antetokounmpo makes free throw 1 of 2
0:09.0,,,33-42,1,G. Antetokounmpo makes free throw 2 of 2
0:04.0,,,33-42,,Personal foul by J. Parker (drawn by D. Lillard)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,33-42,,Offensive foul by O. Mayo
11:48.0,,,33-42,,Turnover by O. Mayo (offensive foul)
11:38.0,Shooting foul by G. Monroe (drawn by M. Plumlee),,33-42,,
11:38.0,M. Plumlee misses free throw 1 of 2,,33-42,,
11:38.0,Offensive rebound by Team,,33-42,,
11:38.0,M. Plumlee makes free throw 2 of 2,1,34-42,,
11:17.0,,,34-42,,G. Monroe misses 2-pt shot from 7 ft
11:15.0,,,34-42,,Offensive rebound by G. Antetokounmpo
11:11.0,,,34-42,,G. Monroe misses 2-pt shot from 1 ft
11:09.0,,,34-42,,Offensive rebound by G. Antetokounmpo
11:05.0,,,34-42,,Turnover by J. Parker (lost ball; steal by C. McCollum)
10:59.0,D. Lillard misses 2-pt shot from 16 ft (block by G. Antetokounmpo),,34-42,,
10:57.0,Offensive rebound by N. Vonleh,,34-42,,
10:55.0,N. Vonleh makes 2-pt shot at rim,2,36-42,,
10:38.0,,,36-44,2,K. Middleton makes 2-pt shot from 20 ft (assist by O. Mayo)
10:18.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,38-44,,
9:58.0,,,38-44,,J. Parker misses 2-pt shot from 11 ft
9:57.0,Defensive rebound by M. Plumlee,,38-44,,
9:52.0,Turnover by N. Vonleh (step out of bounds),,38-44,,
9:41.0,Personal foul by A. Aminu (drawn by G. Antetokounmpo),,38-44,,
9:31.0,Jump ball: C. McCollum vs. K. Middleton (G. Antetokounmpo gains possession),,,,Jump ball: C. McCollum vs. K. Middleton (G. Antetokounmpo gains possession)
9:30.0,,,38-44,,Turnover by G. Antetokounmpo (step out of bounds)
9:18.0,C. McCollum misses 2-pt shot at rim,,38-44,,
9:16.0,,,38-44,,Defensive rebound by G. Monroe
9:12.0,Personal foul by A. Aminu (drawn by G. Antetokounmpo),,38-44,,
8:59.0,,,38-46,2,G. Monroe makes 2-pt shot at rim (assist by J. Parker)
8:40.0,C. McCollum misses 3-pt shot from 25 ft,,38-46,,
8:39.0,,,38-46,,Defensive rebound by G. Monroe
8:32.0,,,38-46,,O. Mayo misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by M. Plumlee,,38-46,,
8:22.0,D. Lillard misses 2-pt shot from 1 ft,,38-46,,
8:21.0,Offensive rebound by N. Vonleh,,38-46,,
8:21.0,N. Vonleh misses 2-pt shot from 1 ft,,38-46,,
8:19.0,Offensive rebound by N. Vonleh,,38-46,,
8:19.0,N. Vonleh makes 2-pt shot from 1 ft,2,40-46,,
8:03.0,,,40-46,,G. Antetokounmpo misses 2-pt shot from 6 ft
8:01.0,Defensive rebound by M. Plumlee,,40-46,,
7:54.0,D. Lillard misses 3-pt shot from 24 ft,,40-46,,
7:53.0,,,40-46,,Defensive rebound by G. Antetokounmpo
7:40.0,,,40-48,2,O. Mayo makes 2-pt shot from 1 ft (assist by G. Monroe)
7:09.0,C. McCollum misses 3-pt shot from 24 ft,,40-48,,
7:08.0,Offensive rebound by N. Vonleh,,40-48,,
7:08.0,N. Vonleh makes 2-pt shot from 1 ft,2,42-48,,
6:55.0,,,42-48,,Turnover by J. Parker (bad pass; steal by C. McCollum)
6:47.0,C. McCollum misses 2-pt shot from 14 ft,,42-48,,
6:46.0,,,42-48,,Defensive rebound by G. Antetokounmpo
6:30.0,,,42-48,,Turnover by G. Monroe (traveling)
6:20.0,D. Lillard misses 2-pt shot from 1 ft,,42-48,,
6:18.0,Offensive rebound by N. Vonleh,,42-48,,
6:05.0,M. Plumlee misses 2-pt shot from 1 ft,,42-48,,
6:04.0,,,42-48,,Defensive rebound by G. Monroe
5:54.0,,,42-48,,Shooting foul by N. Vonleh (drawn by J. Parker)
5:54.0,,,42-48,,Milwaukee full timeout
5:54.0,,,42-49,1,J. Parker makes free throw 1 of 2
5:54.0,,,42-49,,J. Parker misses free throw 2 of 2
5:52.0,Defensive rebound by N. Vonleh,,42-49,,
5:35.0,C. McCollum makes 3-pt shot from 28 ft (assist by D. Lillard),3,45-49,,
5:15.0,,,45-49,,Turnover by G. Antetokounmpo (traveling)
4:50.0,C. McCollum misses 2-pt shot from 8 ft (block by K. Middleton),,45-49,,
4:48.0,,,45-49,,Defensive rebound by G. Monroe
4:33.0,,,45-49,,Shooting foul by M. Plumlee (drawn by G. Monroe)
4:33.0,,,45-50,1,G. Monroe makes free throw 1 of 2
4:33.0,A. Crabbe enters the game for N. Vonleh,,45-50,,
4:33.0,M. Leonard enters the game for M. Plumlee,,45-50,,
4:33.0,E. Davis enters the game for C. McCollum,,45-50,,
4:33.0,,,45-51,1,G. Monroe makes free throw 2 of 2
4:21.0,D. Lillard makes 3-pt shot from 26 ft,3,48-51,,
4:08.0,,,48-53,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
3:42.0,A. Aminu makes 2-pt shot from 4 ft,2,50-53,,
3:27.0,,,50-53,,Shooting foul by D. Lillard (drawn by O. Mayo)
3:27.0,,,50-54,1,O. Mayo makes free throw 1 of 2
3:27.0,,,50-54,,J. O'Bryant enters the game for J. Parker
3:27.0,,,50-55,1,O. Mayo makes free throw 2 of 2
3:17.0,,,50-55,,Personal foul by O. Mayo (drawn by D. Lillard)
3:10.0,E. Davis makes 2-pt shot at rim (assist by D. Lillard),2,52-55,,
2:57.0,,,52-55,,Shooting foul by A. Crabbe (drawn by K. Middleton)
2:57.0,Portland full timeout,,52-55,,
2:57.0,,,52-55,,M. Carter-Williams enters the game for O. Mayo
2:57.0,,,52-56,1,K. Middleton makes free throw 1 of 2
2:57.0,,,52-57,1,K. Middleton makes free throw 2 of 2
2:43.0,D. Lillard makes 2-pt shot at rim,2,54-57,,
2:24.0,,,54-57,,Turnover by M. Carter-Williams (traveling)
2:09.0,M. Leonard misses 3-pt shot from 24 ft,,54-57,,
2:07.0,,,54-57,,Defensive rebound by G. Monroe
1:55.0,,,54-57,,J. O'Bryant misses 2-pt shot from 2 ft (block by M. Leonard)
1:54.0,Defensive rebound by A. Aminu,,54-57,,
1:54.0,Turnover by A. Aminu (palming),,54-57,,
1:40.0,Personal block foul by D. Lillard (drawn by G. Antetokounmpo),,54-57,,
1:40.0,,,54-57,,G. Antetokounmpo misses free throw 1 of 2
1:40.0,,,54-57,,Offensive rebound by Team
1:40.0,,,54-58,1,G. Antetokounmpo makes free throw 2 of 2
1:29.0,,,54-58,,Personal block foul by J. O'Bryant (drawn by D. Lillard)
1:29.0,,,54-58,,J. Henson enters the game for G. Monroe
1:29.0,G. Henderson enters the game for A. Aminu,,54-58,,
1:21.0,Jump ball: M. Carter-Williams vs. D. Lillard (M. Leonard gains possession),,,,Jump ball: M. Carter-Williams vs. D. Lillard (M. Leonard gains possession)
1:15.0,A. Crabbe makes 3-pt shot from 22 ft (assist by M. Leonard),3,57-58,,
1:00.0,,,57-58,,Shooting foul by M. Leonard (drawn by J. Henson)
1:00.0,,,57-58,,J. Henson misses free throw 1 of 2
1:00.0,,,57-58,,Offensive rebound by Team
1:00.0,,,57-59,1,J. Henson makes free throw 2 of 2
0:44.0,D. Lillard makes 2-pt shot from 20 ft (assist by M. Leonard),2,59-59,,
0:34.0,,,59-59,,Shooting foul by E. Davis (drawn by J. Henson)
0:34.0,,,59-59,,J. Henson misses free throw 1 of 2
0:34.0,,,59-59,,Offensive rebound by Team
0:34.0,,,59-60,1,J. Henson makes free throw 2 of 2
0:20.0,D. Lillard makes 3-pt shot from 29 ft,3,62-60,,
0:06.0,,,62-60,,M. Carter-Williams misses 2-pt shot from 1 ft
0:05.0,,,62-60,,Offensive rebound by M. Carter-Williams
0:03.0,,,62-60,,K. Middleton misses 3-pt shot from 25 ft
0:02.0,,,62-60,,Offensive rebound by G. Antetokounmpo
0:01.0,,,62-60,,G. Antetokounmpo misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by M. Leonard,,62-60,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,D. Lillard misses 2-pt shot from 3 ft,,62-60,,
11:39.0,Offensive rebound by E. Davis,,62-60,,
11:15.0,M. Leonard misses 3-pt shot from 25 ft,,62-60,,
11:11.0,Offensive rebound by E. Davis,,62-60,,
11:09.0,E. Davis misses 2-pt shot from 2 ft,,62-60,,
11:08.0,,,62-60,,Defensive rebound by J. Henson
10:48.0,,,62-62,2,O. Mayo makes 2-pt shot from 19 ft
10:31.0,Turnover by A. Crabbe (lost ball),,62-62,,
10:31.0,C. McCollum enters the game for D. Lillard,,62-62,,
10:23.0,Personal foul by C. McCollum (drawn by M. Carter-Williams),,62-62,,
10:11.0,,,62-62,,J. Parker misses 2-pt shot from 17 ft
10:10.0,Defensive rebound by A. Crabbe,,62-62,,
9:54.0,E. Davis makes 2-pt shot from 1 ft (assist by C. McCollum),2,64-62,,
9:37.0,,,64-65,3,O. Mayo makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
9:17.0,A. Crabbe misses 3-pt shot from 25 ft,,64-65,,
9:14.0,Offensive rebound by M. Leonard,,64-65,,
9:01.0,A. Crabbe makes 3-pt shot from 25 ft (assist by G. Henderson),3,67-65,,
8:44.0,,,67-65,,O. Mayo misses 2-pt shot at rim
8:40.0,Defensive rebound by E. Davis,,67-65,,
8:37.0,,,67-65,,Personal foul by O. Mayo (drawn by C. McCollum)
8:37.0,Official timeout,,67-65,,
8:30.0,M. Leonard misses 3-pt shot from 23 ft,,67-65,,
8:29.0,,,67-65,,Defensive rebound by K. Middleton
8:20.0,,,67-67,2,J. Parker makes 2-pt shot at rim (assist by K. Middleton)
8:20.0,,,67-67,,Shooting foul by E. Davis (drawn by J. Parker)
8:20.0,,,67-68,1,J. Parker makes free throw 1 of 1
8:04.0,C. McCollum misses 2-pt shot from 2 ft (block by J. Henson),,67-68,,
8:01.0,,,67-68,,Defensive rebound by O. Mayo
7:58.0,,,67-68,,J. Parker misses 2-pt shot from 1 ft (block by G. Henderson)
7:58.0,Defensive rebound by Team,,67-68,,
7:49.0,,,67-68,,Personal foul by K. Middleton (drawn by G. Henderson)
7:42.0,E. Davis makes 2-pt shot at rim (assist by A. Crabbe),2,69-68,,
7:18.0,Personal foul by C. McCollum (drawn by M. Carter-Williams),,69-68,,
7:18.0,,,69-69,1,M. Carter-Williams makes free throw 1 of 2
7:18.0,D. Lillard enters the game for A. Crabbe,,69-69,,
7:18.0,,,69-70,1,M. Carter-Williams makes free throw 2 of 2
6:59.0,D. Lillard misses 3-pt shot from 28 ft (block by J. Henson),,69-70,,
6:57.0,,,69-70,,Defensive rebound by J. Parker
6:48.0,,,69-73,3,K. Middleton makes 3-pt shot from 26 ft (assist by J. Henson)
6:26.0,G. Henderson misses 2-pt shot from 15 ft,,69-73,,
6:25.0,,,69-73,,Defensive rebound by J. Parker
6:12.0,,,69-73,,O. Mayo misses 3-pt shot from 23 ft
6:11.0,Defensive rebound by E. Davis,,69-73,,
5:52.0,Turnover by G. Henderson (bad pass; steal by K. Middleton),,69-73,,
5:51.0,,,69-73,,Shooting foul by C. McCollum (drawn by K. Middleton)
5:51.0,,,69-73,,Milwaukee full timeout
5:51.0,A. Crabbe enters the game for M. Leonard,,69-73,,
5:51.0,A. Aminu enters the game for G. Henderson,,69-73,,
5:51.0,,,69-74,1,K. Middleton makes free throw 1 of 2
5:51.0,,,69-75,1,K. Middleton makes free throw 2 of 2
5:32.0,A. Aminu makes 3-pt shot from 24 ft (assist by E. Davis),3,72-75,,
5:08.0,,,72-75,,O. Mayo misses 2-pt shot from 14 ft
5:07.0,Defensive rebound by E. Davis,,72-75,,
4:58.0,D. Lillard makes 3-pt shot from 26 ft,3,75-75,,
4:42.0,,,75-75,,Turnover by M. Carter-Williams (lost ball; steal by C. McCollum)
4:34.0,C. McCollum misses 3-pt shot from 25 ft,,75-75,,
4:33.0,,,75-75,,Defensive rebound by J. Parker
4:19.0,,,75-75,,J. Parker misses 2-pt shot at rim
4:17.0,Defensive rebound by C. McCollum,,75-75,,
4:06.0,E. Davis makes 2-pt shot at rim (assist by C. McCollum),2,77-75,,
3:54.0,,,77-75,,M. Carter-Williams misses 2-pt shot from 1 ft (block by E. Davis)
3:52.0,Defensive rebound by E. Davis,,77-75,,
3:39.0,C. McCollum makes 2-pt shot from 18 ft (assist by A. Aminu),2,79-75,,
