time,Boston,pts.away,score,pts.home,Charlotte
0:51.0,,,46-38,,Defensive rebound by F. Kaminsky
0:45.0,,,46-38,,F. Kaminsky misses 3-pt shot from 25 ft
0:43.0,,,46-38,,Offensive rebound by J. Lamb
0:43.0,,,46-38,,Shooting foul by J. Jerebko (drawn by J. Lin)
0:43.0,,,46-39,1,J. Lin makes free throw 1 of 2
0:43.0,E. Turner enters the game for J. Jerebko,,46-39,,
0:43.0,,,46-40,1,J. Lin makes free throw 2 of 2
0:38.0,Shooting foul by J. Lin (drawn by I. Thomas),,46-40,,
0:38.0,I. Thomas misses free throw 1 of 2,,46-40,,
0:38.0,Offensive rebound by Team,,46-40,,
0:38.0,I. Thomas makes free throw 2 of 2,1,47-40,,
0:30.0,,,47-40,,F. Kaminsky misses 2-pt shot from 8 ft
0:30.0,,,47-40,,Offensive rebound by F. Kaminsky
0:28.0,,,47-40,,F. Kaminsky misses 2-pt shot at rim
0:26.0,,,47-40,,Offensive rebound by F. Kaminsky
0:26.0,,,47-40,,F. Kaminsky misses 2-pt shot from 1 ft
0:24.0,Defensive rebound by I. Thomas,,47-40,,
0:01.0,I. Thomas misses 2-pt shot from 6 ft (block by J. Lin),,47-40,,
0:00.0,,,47-40,,Defensive rebound by C. Zeller
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,J. Sullinger misses 2-pt shot from 6 ft,,47-40,,
11:38.0,Offensive rebound by Team,,47-40,,
11:33.0,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas),2,49-40,,
11:15.0,,,49-43,3,P. Hairston makes 3-pt shot from 23 ft (assist by M. Williams)
10:50.0,I. Thomas misses 2-pt shot from 16 ft,,49-43,,
10:50.0,,,49-43,,Defensive rebound by N. Batum
10:50.0,Personal foul by I. Thomas (drawn by N. Batum),,49-43,,
10:40.0,,,49-43,,Offensive charge foul by K. Walker
10:40.0,,,49-43,,Turnover by K. Walker (offensive foul)
10:24.0,K. Olynyk makes 2-pt shot from 8 ft (assist by J. Sullinger),2,51-43,,
10:13.0,,,51-43,,P. Hairston misses 3-pt shot from 28 ft
10:12.0,Defensive rebound by A. Bradley,,51-43,,
10:02.0,J. Sullinger misses 2-pt shot from 1 ft,,51-43,,
10:01.0,,,51-43,,Defensive rebound by C. Zeller
9:56.0,,,51-43,,N. Batum misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by J. Crowder,,51-43,,
9:44.0,Shooting foul by P. Hairston (drawn by K. Olynyk),,51-43,,
9:44.0,K. Olynyk makes free throw 1 of 2,1,52-43,,
9:44.0,K. Olynyk makes free throw 2 of 2,1,53-43,,
9:30.0,Violation by J. Crowder (kicked ball),,53-43,,
9:19.0,,,53-45,2,K. Walker makes 2-pt shot from 19 ft
9:00.0,J. Sullinger makes 2-pt shot at rim (assist by K. Olynyk),2,55-45,,
8:53.0,,,55-45,,Charlotte full timeout
8:36.0,,,55-45,,M. Williams misses 2-pt shot from 7 ft (block by J. Crowder)
8:36.0,,,55-45,,Offensive rebound by Team
8:36.0,,,55-45,,Turnover by Team (shot clock)
8:19.0,J. Crowder misses 3-pt shot from 23 ft,,55-45,,
8:18.0,,,55-45,,Defensive rebound by P. Hairston
8:11.0,,,55-47,2,K. Walker makes 2-pt shot at rim
8:00.0,K. Olynyk makes 3-pt shot from 24 ft (assist by J. Sullinger),3,58-47,,
7:50.0,Def 3 sec tech foul by J. Sullinger,,58-47,,
7:50.0,,,58-48,1,N. Batum makes technical free throw
7:41.0,,,58-48,,K. Walker misses 2-pt shot from 7 ft
7:40.0,Defensive rebound by I. Thomas,,58-48,,
7:26.0,K. Olynyk misses 3-pt shot from 24 ft,,58-48,,
7:25.0,Offensive rebound by I. Thomas,,58-48,,
7:21.0,A. Bradley makes 3-pt shot from 23 ft (assist by I. Thomas),3,61-48,,
7:03.0,,,61-50,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
6:50.0,,,61-50,,Personal foul by N. Batum (drawn by J. Crowder)
6:39.0,J. Sullinger misses 3-pt shot from 26 ft,,61-50,,
6:37.0,Offensive rebound by K. Olynyk,,61-50,,
6:37.0,K. Olynyk makes 2-pt shot at rim,2,63-50,,
6:18.0,,,63-50,,M. Williams misses 2-pt shot from 22 ft
6:17.0,Defensive rebound by J. Crowder,,63-50,,
6:09.0,J. Sullinger makes 2-pt shot from 1 ft (assist by I. Thomas),2,65-50,,
5:49.0,,,65-50,,N. Batum misses 3-pt shot from 26 ft
5:46.0,Defensive rebound by I. Thomas,,65-50,,
5:44.0,Turnover by I. Thomas (bad pass; steal by P. Hairston),,65-50,,
5:44.0,Personal foul by I. Thomas (drawn by P. Hairston),,65-50,,
5:30.0,,,65-50,,Turnover by N. Batum (lost ball; steal by K. Olynyk)
5:24.0,I. Thomas misses 3-pt shot from 24 ft,,65-50,,
5:23.0,Offensive rebound by J. Sullinger,,65-50,,
5:21.0,J. Crowder makes 2-pt shot from 9 ft (assist by J. Sullinger),2,67-50,,
5:21.0,,,67-50,,Charlotte full timeout
5:21.0,,,67-50,,F. Kaminsky enters the game for P. Hairston
5:21.0,,,67-50,,J. Lin enters the game for M. Williams
5:04.0,Personal foul by J. Sullinger (drawn by K. Walker),,67-50,,
4:54.0,,,67-50,,F. Kaminsky misses 2-pt shot from 6 ft
4:53.0,,,67-50,,Offensive rebound by C. Zeller
4:49.0,,,67-50,,C. Zeller misses 2-pt shot from 8 ft
4:48.0,Defensive rebound by J. Sullinger,,67-50,,
4:27.0,J. Crowder misses 3-pt shot from 23 ft,,67-50,,
4:25.0,,,67-50,,Defensive rebound by F. Kaminsky
4:14.0,,,67-50,,F. Kaminsky misses 3-pt shot from 26 ft
4:12.0,Defensive rebound by J. Crowder,,67-50,,
4:01.0,I. Thomas makes 3-pt shot from 24 ft,3,70-50,,
3:46.0,,,70-52,2,K. Walker makes 2-pt shot from 1 ft
3:31.0,K. Olynyk misses 2-pt shot from 2 ft,,70-52,,
3:29.0,Offensive rebound by J. Sullinger,,70-52,,
3:29.0,J. Sullinger makes 2-pt shot from 1 ft,2,72-52,,
3:15.0,,,72-52,,J. Lin misses 2-pt shot from 6 ft
3:13.0,,,72-52,,Offensive rebound by J. Lin
3:11.0,,,72-55,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by J. Lin)
2:59.0,A. Bradley misses 3-pt shot from 24 ft,,72-55,,
2:58.0,,,72-55,,Defensive rebound by C. Zeller
2:51.0,,,72-55,,Turnover by K. Walker (lost ball)
2:51.0,Boston full timeout,,72-55,,
2:51.0,,,72-55,,T. Hansbrough enters the game for C. Zeller
2:51.0,E. Turner enters the game for J. Sullinger,,72-55,,
2:51.0,D. Lee enters the game for K. Olynyk,,72-55,,
2:51.0,R. Hunter enters the game for I. Thomas,,72-55,,
2:39.0,A. Bradley misses 2-pt shot from 17 ft,,72-55,,
2:38.0,,,72-55,,Defensive rebound by N. Batum
2:15.0,,,72-58,3,N. Batum makes 3-pt shot from 29 ft (assist by K. Walker)
1:52.0,D. Lee makes 2-pt shot from 7 ft,2,74-58,,
1:40.0,,,74-58,,J. Lin misses 2-pt shot at rim (block by D. Lee)
1:38.0,Defensive rebound by R. Hunter,,74-58,,
1:30.0,R. Hunter misses 2-pt shot from 6 ft,,74-58,,
1:27.0,,,74-58,,Defensive rebound by F. Kaminsky
1:17.0,,,74-58,,N. Batum misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by D. Lee,,74-58,,
1:04.0,R. Hunter misses 3-pt shot from 23 ft,,74-58,,
1:03.0,,,74-58,,Defensive rebound by K. Walker
0:55.0,,,74-60,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
0:55.0,,,74-60,,Shooting foul by D. Lee (drawn by F. Kaminsky)
0:55.0,,,74-60,,J. Lamb enters the game for K. Walker
0:55.0,,,74-60,,F. Kaminsky misses free throw 1 of 1
0:53.0,Defensive rebound by E. Turner,,74-60,,
0:40.0,J. Crowder misses 2-pt shot from 2 ft,,74-60,,
0:40.0,,,74-60,,Defensive rebound by Team
0:40.0,J. Jerebko enters the game for J. Crowder,,74-60,,
0:33.0,,,74-62,2,N. Batum makes 2-pt shot from 7 ft
0:17.0,J. Jerebko misses 2-pt shot from 21 ft,,74-62,,
0:15.0,,,74-62,,Defensive rebound by J. Lin
0:01.0,,,74-62,,N. Batum misses 3-pt shot from 26 ft
0:00.0,,,74-62,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,74-62,,F. Kaminsky misses 2-pt shot at rim (block by D. Lee)
11:46.0,Defensive rebound by Team,,74-62,,
11:31.0,Shooting foul by J. Lamb (drawn by I. Thomas),,74-62,,
11:31.0,I. Thomas makes free throw 1 of 2,1,75-62,,
11:31.0,I. Thomas makes free throw 2 of 2,1,76-62,,
11:13.0,,,76-62,,J. Lin misses 2-pt shot from 7 ft
11:11.0,Defensive rebound by D. Lee,,76-62,,
10:57.0,I. Thomas misses 2-pt shot from 13 ft,,76-62,,
10:54.0,Offensive rebound by D. Lee,,76-62,,
10:43.0,D. Lee misses 2-pt shot from 19 ft,,76-62,,
10:42.0,,,76-62,,Defensive rebound by J. Lin
10:29.0,Def 3 sec tech foul by J. Jerebko,,76-62,,
10:29.0,,,76-62,,N. Batum misses technical free throw
10:29.0,,,76-62,,Offensive rebound by Team
10:16.0,,,76-65,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by N. Batum)
9:55.0,R. Hunter misses 3-pt shot from 24 ft,,76-65,,
9:54.0,,,76-65,,Defensive rebound by T. Hansbrough
9:45.0,,,76-65,,J. Lin misses 2-pt shot from 16 ft
9:44.0,,,76-65,,Offensive rebound by T. Hansbrough
9:44.0,Personal foul by J. Jerebko (drawn by N. Batum),,76-65,,
9:44.0,T. Zeller enters the game for J. Jerebko,,76-65,,
9:32.0,,,76-65,,F. Kaminsky misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by E. Turner,,76-65,,
9:23.0,Shooting foul by T. Hansbrough (drawn by R. Hunter),,76-65,,
9:23.0,R. Hunter makes free throw 1 of 2,1,77-65,,
9:23.0,R. Hunter makes free throw 2 of 2,1,78-65,,
9:11.0,,,78-65,,J. Lin misses 2-pt shot from 2 ft
9:09.0,,,78-65,,Offensive rebound by J. Lin
9:05.0,,,78-67,2,J. Lin makes 2-pt shot from 7 ft
8:50.0,D. Lee misses 2-pt shot from 3 ft (block by F. Kaminsky),,78-67,,
8:48.0,,,78-67,,Defensive rebound by N. Batum
8:41.0,,,78-67,,Shooting foul by R. Hunter (drawn by J. Lamb)
8:41.0,Official timeout,,78-67,,
8:41.0,,,78-68,1,J. Lamb makes free throw 1 of 2
8:41.0,,,78-69,1,J. Lamb makes free throw 2 of 2
8:32.0,,,78-69,,K. Walker enters the game for J. Lin
8:24.0,D. Lee makes 2-pt shot from 2 ft (assist by E. Turner),2,80-69,,
7:58.0,,,80-71,2,F. Kaminsky makes 2-pt shot from 2 ft
7:41.0,R. Hunter makes 2-pt shot at rim (assist by E. Turner),2,82-71,,
7:27.0,,,82-71,,Shooting foul by R. Hunter (drawn by J. Lamb)
7:27.0,,,82-72,1,J. Lamb makes free throw 1 of 2
7:27.0,,,82-73,1,J. Lamb makes free throw 2 of 2
7:13.0,R. Hunter misses 3-pt shot from 23 ft,,82-73,,
7:12.0,,,82-73,,Defensive rebound by T. Hansbrough
7:02.0,,,82-73,,Offensive foul by F. Kaminsky
7:02.0,,,82-73,,Turnover by F. Kaminsky (offensive foul)
7:02.0,K. Olynyk enters the game for D. Lee,,82-73,,
7:02.0,A. Bradley enters the game for R. Hunter,,82-73,,
6:49.0,A. Bradley makes 2-pt shot from 19 ft (assist by I. Thomas),2,84-73,,
6:35.0,,,84-73,,Shooting foul by K. Olynyk (drawn by J. Lamb)
6:35.0,,,84-74,1,J. Lamb makes free throw 1 of 2
6:35.0,,,84-74,,J. Lin enters the game for N. Batum
6:35.0,,,84-74,,C. Zeller enters the game for T. Hansbrough
6:35.0,J. Crowder enters the game for I. Thomas,,84-74,,
6:35.0,,,84-74,,J. Lamb misses free throw 2 of 2
6:33.0,Defensive rebound by A. Bradley,,84-74,,
6:15.0,A. Bradley makes 2-pt shot from 16 ft,2,86-74,,
5:59.0,,,86-77,3,J. Lamb makes 3-pt shot from 24 ft (assist by F. Kaminsky)
