time,Chicago,pts.away,score,pts.home,Detroit
2:31.0,,,16-19,,A. Tolliver misses 3-pt shot from 22 ft
2:31.0,Defensive rebound by E. Moore,,16-19,,
2:07.0,A. Brooks misses 3-pt shot from 25 ft,,16-19,,
2:06.0,Offensive rebound by T. Gibson,,16-19,,
2:01.0,T. Gibson misses 2-pt shot from 5 ft,,16-19,,
2:00.0,,,16-19,,Defensive rebound by A. Baynes
1:47.0,,,16-19,,K. Caldwell-Pope misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by T. Gibson,,16-19,,
1:35.0,A. Brooks makes 3-pt shot from 26 ft,3,19-19,,
1:23.0,,,19-19,,A. Tolliver misses 3-pt shot from 24 ft
1:23.0,Defensive rebound by J. Butler,,19-19,,
1:18.0,J. Butler misses 2-pt shot from 1 ft,,19-19,,
1:18.0,,,19-19,,Defensive rebound by A. Tolliver
1:10.0,,,19-21,2,A. Tolliver makes 2-pt shot from 13 ft (assist by A. Baynes)
0:56.0,Turnover by E. Moore (bad pass; steal by K. Caldwell-Pope),,19-21,,
0:37.0,,,19-23,2,A. Baynes makes 2-pt shot at rim (assist by K. Caldwell-Pope)
0:28.0,A. Brooks misses 2-pt shot from 16 ft,,19-23,,
0:27.0,,,19-23,,Defensive rebound by A. Baynes
0:04.0,,,19-23,,M. Morris misses 2-pt shot from 17 ft
0:03.0,,,19-23,,Offensive rebound by Team
0:02.0,,,19-23,,Shooting foul by T. Gibson (drawn by A. Baynes)
0:02.0,,,19-23,,A. Baynes misses free throw 1 of 2
0:02.0,,,19-23,,Offensive rebound by Team
0:02.0,,,19-23,,A. Baynes misses free throw 2 of 2
0:01.0,Defensive rebound by T. Gibson,,19-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Noah makes 2-pt shot at rim (assist by A. Brooks),2,21-23,,
11:33.0,,,21-23,,S. Johnson misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by J. Noah,,21-23,,
11:27.0,Turnover by J. Noah (bad pass; steal by A. Tolliver),,21-23,,
11:10.0,,,21-23,,S. Blake misses 2-pt shot from 20 ft (block by T. Gibson)
11:09.0,,,21-23,,Offensive rebound by S. Johnson
11:07.0,,,21-23,,S. Johnson misses 2-pt shot at rim
11:04.0,,,21-23,,Offensive rebound by S. Blake
11:03.0,,,21-23,,S. Blake misses 3-pt shot from 26 ft
10:58.0,Defensive rebound by D. McDermott,,21-23,,
10:53.0,A. Brooks makes 2-pt shot from 6 ft,2,23-23,,
10:36.0,Personal foul by A. Brooks (drawn by S. Johnson),,23-23,,
10:26.0,,,23-23,,S. Johnson misses 2-pt shot at rim
10:26.0,Defensive rebound by A. Brooks,,23-23,,
10:20.0,D. McDermott makes 3-pt shot from 25 ft (assist by A. Brooks),3,26-23,,
10:19.0,,,26-23,,Detroit full timeout
10:06.0,,,26-23,,A. Baynes misses 2-pt shot from 4 ft
10:05.0,Defensive rebound by T. Gibson,,26-23,,
9:43.0,A. Brooks misses 3-pt shot from 27 ft,,26-23,,
9:42.0,,,26-23,,Defensive rebound by R. Bullock
9:32.0,,,26-23,,S. Blake misses 2-pt shot from 6 ft
9:32.0,Defensive rebound by T. Gibson,,26-23,,
9:25.0,,,26-23,,Violation by A. Baynes (kicked ball)
9:15.0,Shooting foul by A. Baynes (drawn by J. Noah),,26-23,,
9:15.0,J. Noah misses free throw 1 of 2,,26-23,,
9:15.0,Offensive rebound by Team,,26-23,,
9:15.0,J. Noah misses free throw 2 of 2,,26-23,,
9:14.0,,,26-23,,Defensive rebound by A. Baynes
8:50.0,,,26-23,,S. Blake misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by J. Noah,,26-23,,
8:46.0,D. Rose enters the game for A. Brooks,,26-23,,
8:34.0,E. Moore misses 3-pt shot from 25 ft,,26-23,,
8:34.0,,,26-23,,Defensive rebound by A. Tolliver
8:23.0,,,26-25,2,A. Baynes makes 2-pt shot from 5 ft (assist by S. Blake)
8:07.0,D. Rose misses 2-pt shot from 18 ft,,26-25,,
8:06.0,,,26-25,,Defensive rebound by A. Baynes
7:53.0,,,26-28,3,A. Tolliver makes 3-pt shot from 24 ft (assist by S. Blake)
7:53.0,Chicago full timeout,,26-28,,
7:53.0,P. Gasol enters the game for J. Noah,,26-28,,
7:53.0,,,26-28,,A. Drummond enters the game for A. Baynes
7:37.0,P. Gasol makes 2-pt shot from 6 ft (assist by D. McDermott),2,28-28,,
7:20.0,,,28-28,,S. Johnson misses 2-pt shot from 4 ft (block by E. Moore)
7:19.0,,,28-28,,Offensive rebound by S. Johnson
7:15.0,,,28-28,,A. Tolliver misses 3-pt shot from 26 ft
7:15.0,,,28-28,,Offensive rebound by A. Drummond
7:13.0,,,28-28,,Shooting foul by P. Gasol (drawn by A. Drummond)
7:13.0,,,28-28,,A. Drummond misses free throw 1 of 2
7:13.0,,,28-28,,Offensive rebound by Team
7:13.0,,,28-28,,R. Jackson enters the game for S. Blake
7:13.0,,,28-29,1,A. Drummond makes free throw 2 of 2
7:05.0,Turnover by D. McDermott (lost ball; steal by S. Johnson),,28-29,,
6:59.0,,,28-31,2,S. Johnson makes 2-pt shot at rim
6:44.0,Turnover by T. Gibson (bad pass),,28-31,,
6:28.0,,,28-33,2,A. Drummond makes 2-pt shot from 4 ft (assist by S. Johnson)
6:11.0,Turnover by D. Rose (lost ball),,28-33,,
6:11.0,N. Mirotic enters the game for T. Gibson,,28-33,,
6:00.0,,,28-33,,Turnover by R. Jackson (bad pass; steal by N. Mirotic)
5:51.0,Shooting foul by A. Tolliver (drawn by N. Mirotic),,28-33,,
5:51.0,N. Mirotic makes free throw 1 of 2,1,29-33,,
5:51.0,J. Butler enters the game for E. Moore,,29-33,,
5:51.0,N. Mirotic misses free throw 2 of 2,,29-33,,
5:50.0,,,29-33,,Defensive rebound by A. Drummond
5:36.0,,,29-33,,Turnover by R. Jackson (lost ball)
5:22.0,Shooting foul by S. Johnson (drawn by J. Butler),,29-33,,
5:22.0,J. Butler makes free throw 1 of 2,1,30-33,,
5:22.0,,,30-33,,E. Ilyasova enters the game for A. Tolliver
5:22.0,,,30-33,,M. Morris enters the game for S. Johnson
5:22.0,J. Butler makes free throw 2 of 2,1,31-33,,
5:03.0,,,31-33,,Shooting foul by D. Rose (drawn by A. Drummond)
5:03.0,,,31-33,,A. Drummond misses free throw 1 of 2
5:03.0,,,31-33,,Offensive rebound by Team
5:03.0,,,31-33,,A. Drummond misses free throw 2 of 2
5:02.0,Defensive rebound by N. Mirotic,,31-33,,
4:47.0,Turnover by P. Gasol (lost ball; steal by R. Jackson),,31-33,,
4:32.0,,,31-35,2,M. Morris makes 2-pt shot from 15 ft
4:13.0,P. Gasol misses 2-pt shot from 11 ft,,31-35,,
4:12.0,,,31-35,,Defensive rebound by M. Morris
3:57.0,,,31-35,,R. Jackson misses 2-pt shot from 12 ft
3:57.0,Defensive rebound by D. Rose,,31-35,,
3:52.0,J. Butler makes 2-pt shot at rim (assist by D. Rose),2,33-35,,
3:33.0,,,33-35,,E. Ilyasova misses 3-pt shot from 26 ft
3:32.0,Defensive rebound by J. Butler,,33-35,,
3:24.0,Offensive charge foul by D. McDermott,,33-35,,
3:24.0,Turnover by D. McDermott (offensive foul),,33-35,,
3:24.0,,,33-35,,K. Caldwell-Pope enters the game for R. Bullock
3:24.0,T. Snell enters the game for D. McDermott,,33-35,,
3:14.0,,,33-35,,Turnover by A. Drummond (bad pass; steal by P. Gasol)
2:57.0,J. Butler makes 2-pt shot from 16 ft (assist by P. Gasol),2,35-35,,
2:34.0,,,35-35,,Turnover by A. Drummond (lost ball; steal by P. Gasol)
2:33.0,,,35-35,,Personal foul by E. Ilyasova (drawn by J. Butler)
2:33.0,Official timeout,,35-35,,
2:16.0,D. Rose misses 2-pt shot from 3 ft,,35-35,,
2:15.0,,,35-35,,Defensive rebound by E. Ilyasova
2:07.0,,,35-35,,Turnover by A. Drummond (bad pass; steal by J. Butler)
2:04.0,J. Butler misses 2-pt shot from 4 ft,,35-35,,
2:02.0,Offensive rebound by T. Snell,,35-35,,
2:00.0,T. Snell makes 2-pt shot from 1 ft,2,37-35,,
1:37.0,,,37-35,,M. Morris misses 2-pt shot from 13 ft
1:37.0,Defensive rebound by P. Gasol,,37-35,,
1:34.0,Turnover by D. Rose (bad pass),,37-35,,
1:20.0,,,37-35,,R. Jackson misses 2-pt shot from 9 ft
1:20.0,Defensive rebound by P. Gasol,,37-35,,
1:10.0,Turnover by P. Gasol (bad pass; steal by K. Caldwell-Pope),,37-35,,
0:54.0,,,37-35,,A. Drummond misses 2-pt shot from 6 ft (block by P. Gasol)
0:50.0,,,37-35,,Offensive rebound by E. Ilyasova
0:50.0,,,37-35,,Turnover by E. Ilyasova (back court)
0:50.0,,,37-35,,A. Baynes enters the game for A. Drummond
0:33.0,,,37-35,,Personal foul by E. Ilyasova (drawn by N. Mirotic)
0:33.0,N. Mirotic makes free throw 1 of 2,1,38-35,,
0:33.0,J. Noah enters the game for P. Gasol,,38-35,,
0:33.0,E. Moore enters the game for D. Rose,,38-35,,
0:33.0,N. Mirotic makes free throw 2 of 2,1,39-35,,
0:14.0,,,39-35,,E. Ilyasova misses 2-pt shot from 19 ft
0:13.0,Defensive rebound by J. Butler,,39-35,,
0:03.0,J. Butler misses 3-pt shot from 27 ft,,39-35,,
0:02.0,,,39-35,,Defensive rebound by E. Ilyasova
0:01.0,,,39-35,,K. Caldwell-Pope misses 3-pt shot from 51 ft
0:00.0,,,39-35,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,T. Snell misses 2-pt shot from 5 ft,,39-35,,
11:40.0,,,39-35,,Defensive rebound by M. Morris
11:25.0,,,39-37,2,R. Jackson makes 2-pt shot at rim
11:16.0,Shooting foul by R. Jackson (drawn by P. Gasol),,39-37,,
11:16.0,P. Gasol makes free throw 1 of 2,1,40-37,,
11:16.0,P. Gasol makes free throw 2 of 2,1,41-37,,
10:49.0,,,41-39,2,R. Jackson makes 2-pt shot at rim
10:30.0,J. Butler misses 2-pt shot at rim,,41-39,,
10:30.0,,,41-39,,Defensive rebound by A. Drummond
10:19.0,,,41-39,,R. Jackson misses 3-pt shot from 23 ft
10:18.0,Defensive rebound by J. Butler,,41-39,,
10:07.0,N. Mirotic misses 2-pt shot from 2 ft,,41-39,,
10:07.0,,,41-39,,Defensive rebound by A. Drummond
9:57.0,,,41-39,,M. Morris misses 2-pt shot from 6 ft
9:55.0,Defensive rebound by T. Snell,,41-39,,
9:46.0,Turnover by D. Rose (lost ball; steal by R. Jackson),,41-39,,
9:45.0,Personal foul by T. Snell (drawn by R. Jackson),,41-39,,
9:27.0,,,41-41,2,M. Morris makes 2-pt shot from 15 ft
9:10.0,N. Mirotic misses 3-pt shot from 27 ft,,41-41,,
9:09.0,Offensive rebound by P. Gasol,,41-41,,
9:05.0,P. Gasol misses 2-pt shot from 11 ft,,41-41,,
9:04.0,,,41-41,,Defensive rebound by A. Drummond
9:00.0,,,41-41,,K. Caldwell-Pope misses 3-pt shot from 27 ft
8:59.0,Defensive rebound by P. Gasol,,41-41,,
8:45.0,J. Butler misses 2-pt shot at rim,,41-41,,
8:43.0,,,41-41,,Defensive rebound by A. Drummond
8:37.0,,,41-41,,E. Ilyasova misses 3-pt shot from 26 ft
8:37.0,,,41-41,,Offensive rebound by K. Caldwell-Pope
8:24.0,,,41-43,2,R. Jackson makes 2-pt shot from 5 ft
8:09.0,Shooting foul by E. Ilyasova (drawn by J. Butler),,41-43,,
8:09.0,J. Butler makes free throw 1 of 2,1,42-43,,
8:09.0,J. Butler makes free throw 2 of 2,1,43-43,,
7:55.0,,,43-45,2,M. Morris makes 2-pt shot at rim
7:41.0,P. Gasol makes 2-pt shot at rim,2,45-45,,
7:23.0,,,45-45,,Shooting foul by J. Butler (drawn by M. Morris)
7:23.0,,,45-46,1,M. Morris makes free throw 1 of 2
7:23.0,,,45-46,,M. Morris misses free throw 2 of 2
7:21.0,,,45-46,,Offensive rebound by A. Drummond
7:10.0,,,45-48,2,R. Jackson makes 2-pt shot from 5 ft
6:59.0,Turnover by N. Mirotic (bad pass; steal by A. Drummond),,45-48,,
6:55.0,,,45-50,2,M. Morris makes 2-pt shot at rim (assist by R. Jackson)
6:55.0,,,45-50,,Shooting foul by N. Mirotic (drawn by M. Morris)
6:55.0,A. Brooks enters the game for D. Rose,,45-50,,
6:55.0,,,45-51,1,M. Morris makes free throw 1 of 1
6:44.0,J. Butler misses 2-pt shot from 17 ft,,45-51,,
6:43.0,,,45-51,,Defensive rebound by A. Drummond
6:37.0,,,45-53,2,M. Morris makes 2-pt shot from 11 ft (assist by R. Jackson)
6:37.0,Chicago full timeout,,45-53,,
6:11.0,P. Gasol makes 2-pt shot from 16 ft,2,47-53,,
5:58.0,,,47-53,,Turnover by M. Morris (traveling)
5:46.0,N. Mirotic makes 3-pt shot from 27 ft (assist by P. Gasol),3,50-53,,
5:28.0,,,50-55,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
5:10.0,A. Brooks misses 3-pt shot from 27 ft,,50-55,,
5:10.0,,,50-55,,Defensive rebound by R. Jackson
4:59.0,,,50-55,,A. Drummond misses 2-pt shot from 5 ft
4:58.0,Defensive rebound by P. Gasol,,50-55,,
4:49.0,P. Gasol misses 2-pt shot from 16 ft,,50-55,,
4:49.0,,,50-55,,Defensive rebound by K. Caldwell-Pope
4:37.0,,,50-55,,R. Jackson misses 3-pt shot from 26 ft
4:36.0,,,50-55,,Offensive rebound by E. Ilyasova
4:36.0,,,50-55,,A. Tolliver enters the game for E. Ilyasova
4:36.0,J. Noah enters the game for P. Gasol,,50-55,,
4:33.0,,,50-55,,Turnover by M. Morris (bad pass; steal by T. Snell)
4:18.0,T. Snell makes 2-pt shot from 20 ft (assist by J. Noah),2,52-55,,
3:58.0,,,52-55,,K. Caldwell-Pope misses 2-pt shot from 18 ft
3:58.0,Defensive rebound by J. Butler,,52-55,,
3:47.0,N. Mirotic makes 2-pt shot at rim (assist by J. Noah),2,54-55,,
3:34.0,,,54-55,,A. Drummond misses 2-pt shot at rim
3:34.0,Defensive rebound by A. Brooks,,54-55,,
3:32.0,,,54-55,,Personal foul by K. Caldwell-Pope (drawn by A. Brooks)
3:32.0,,,54-55,,S. Blake enters the game for R. Jackson
3:20.0,Shooting foul by M. Morris (drawn by J. Butler),,54-55,,
3:20.0,J. Butler makes free throw 1 of 2,1,55-55,,
3:20.0,J. Butler makes free throw 2 of 2,1,56-55,,
3:05.0,,,56-57,2,M. Morris makes 2-pt shot from 16 ft (assist by S. Blake)
2:51.0,N. Mirotic misses 3-pt shot from 26 ft,,56-57,,
2:51.0,,,56-57,,Defensive rebound by K. Caldwell-Pope
2:45.0,,,56-57,,A. Drummond misses 2-pt shot from 5 ft (block by J. Noah)
2:45.0,,,56-57,,Offensive rebound by Team
2:45.0,,,56-57,,Detroit full timeout
2:45.0,T. Gibson enters the game for N. Mirotic,,56-57,,
2:37.0,,,56-57,,K. Caldwell-Pope misses 2-pt shot from 16 ft
2:36.0,Defensive rebound by J. Noah,,56-57,,
2:17.0,J. Butler makes 2-pt shot from 13 ft,2,58-57,,
1:56.0,,,58-60,3,M. Morris makes 3-pt shot from 25 ft
1:39.0,J. Butler makes 2-pt shot at rim (assist by A. Brooks),2,60-60,,
1:19.0,,,60-60,,A. Tolliver misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by J. Butler,,60-60,,
1:03.0,T. Gibson makes 2-pt shot from 8 ft (assist by T. Snell),2,62-60,,
0:52.0,,,62-60,,M. Morris misses 2-pt shot at rim
0:52.0,,,62-60,,Offensive rebound by M. Morris
0:50.0,,,62-62,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
0:28.0,J. Butler misses 2-pt shot from 12 ft,,62-62,,
0:27.0,Offensive rebound by T. Gibson,,62-62,,
0:24.0,T. Gibson misses 2-pt shot from 4 ft (block by A. Drummond),,62-62,,
0:22.0,,,62-62,,Defensive rebound by M. Morris
0:18.0,,,62-62,,Shooting foul by T. Gibson (drawn by K. Caldwell-Pope)
0:18.0,,,62-63,1,K. Caldwell-Pope makes free throw 1 of 2
0:18.0,,,62-63,,A. Baynes enters the game for A. Drummond
0:18.0,D. McDermott enters the game for J. Noah,,62-63,,
0:18.0,,,62-63,,R. Bullock enters the game for A. Tolliver
0:18.0,,,62-64,1,K. Caldwell-Pope makes free throw 2 of 2
0:08.0,J. Butler misses 2-pt shot at rim,,62-64,,
0:07.0,Offensive rebound by T. Gibson,,62-64,,
0:07.0,T. Gibson makes 2-pt shot at rim,2,64-64,,
0:02.0,,,64-64,,K. Caldwell-Pope misses 3-pt shot from 25 ft
0:01.0,,,64-64,,Offensive rebound by R. Bullock
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,64-64,,S. Blake misses 3-pt shot from 26 ft
11:41.0,Defensive rebound by A. Brooks,,64-64,,
11:28.0,Shooting foul by R. Bullock (drawn by T. Gibson),,64-64,,
11:28.0,T. Gibson misses free throw 1 of 2,,64-64,,
11:28.0,Offensive rebound by Team,,64-64,,
11:28.0,T. Gibson misses free throw 2 of 2,,64-64,,
11:28.0,,,64-64,,Defensive rebound by S. Johnson
11:13.0,,,64-64,,R. Bullock misses 3-pt shot from 26 ft
11:12.0,Defensive rebound by E. Moore,,64-64,,
11:00.0,D. McDermott makes 3-pt shot from 26 ft (assist by A. Brooks),3,67-64,,
10:47.0,,,67-66,2,S. Johnson makes 2-pt shot from 1 ft (assist by S. Blake)
10:47.0,,,67-66,,Shooting foul by D. McDermott (drawn by S. Johnson)
10:47.0,,,67-67,1,S. Johnson makes free throw 1 of 1
10:33.0,T. Gibson misses 2-pt shot from 4 ft,,67-67,,
10:33.0,,,67-67,,Defensive rebound by Team
10:33.0,Loose ball foul by T. Gibson (drawn by A. Tolliver),,67-67,,
10:17.0,,,67-67,,S. Johnson misses 2-pt shot from 1 ft (block by T. Gibson)
10:16.0,,,67-67,,Offensive rebound by A. Baynes
10:14.0,,,67-67,,Detroit full timeout
10:10.0,,,67-67,,S. Blake misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by Team,,67-67,,
9:56.0,D. McDermott misses 2-pt shot from 9 ft,,67-67,,
9:55.0,,,67-67,,Defensive rebound by A. Baynes
9:36.0,,,67-69,2,S. Johnson makes 2-pt shot at rim
9:17.0,D. McDermott misses 2-pt shot from 21 ft,,67-69,,
9:16.0,,,67-69,,Defensive rebound by S. Blake
9:08.0,,,67-72,3,A. Tolliver makes 3-pt shot from 26 ft (assist by S. Blake)
9:08.0,Chicago full timeout,,67-72,,
9:08.0,N. Mirotic enters the game for E. Moore,,67-72,,
9:08.0,T. Snell enters the game for J. Noah,,67-72,,
9:08.0,D. Rose enters the game for A. Brooks,,67-72,,
8:55.0,D. Rose misses 2-pt shot from 5 ft,,67-72,,
8:55.0,,,67-72,,Defensive rebound by S. Blake
8:38.0,,,67-72,,Turnover by S. Johnson (traveling)
8:24.0,T. Gibson makes 2-pt shot at rim (assist by D. Rose),2,69-72,,
8:05.0,,,69-72,,A. Baynes misses 2-pt shot at rim (block by T. Gibson)
8:03.0,Defensive rebound by N. Mirotic,,69-72,,
7:57.0,N. Mirotic makes 3-pt shot from 25 ft (assist by D. McDermott),3,72-72,,
7:29.0,,,72-72,,S. Blake misses 2-pt shot from 19 ft
7:29.0,Defensive rebound by Team,,72-72,,
7:23.0,Turnover by N. Mirotic (lost ball),,72-72,,
7:23.0,,,72-72,,R. Jackson enters the game for A. Baynes
7:23.0,,,72-72,,M. Morris enters the game for S. Blake
7:23.0,,,72-72,,A. Drummond enters the game for S. Johnson
7:15.0,,,72-72,,Shooting foul by D. Rose (drawn by A. Drummond)
7:15.0,,,72-73,1,A. Drummond makes free throw 1 of 2
7:15.0,J. Butler enters the game for D. McDermott,,72-73,,
7:15.0,,,72-74,1,A. Drummond makes free throw 2 of 2
7:02.0,Shooting foul by A. Drummond (drawn by J. Butler),,72-74,,
7:02.0,J. Butler makes free throw 1 of 2,1,73-74,,
7:02.0,J. Butler makes free throw 2 of 2,1,74-74,,
6:47.0,,,74-74,,R. Jackson misses 2-pt shot from 4 ft
6:46.0,Defensive rebound by J. Butler,,74-74,,
6:28.0,D. Rose makes 2-pt shot from 10 ft,2,76-74,,
6:14.0,,,76-74,,A. Tolliver misses 3-pt shot from 23 ft
6:14.0,,,76-74,,Offensive rebound by Team
6:14.0,Loose ball foul by T. Gibson (drawn by A. Drummond),,76-74,,
6:14.0,,,76-74,,K. Caldwell-Pope enters the game for R. Bullock
6:07.0,,,76-74,,A. Drummond misses 2-pt shot from 15 ft
6:06.0,,,76-74,,Offensive rebound by Team
5:57.0,,,76-74,,Turnover by K. Caldwell-Pope (bad pass; steal by J. Butler)
5:54.0,Shooting foul by K. Caldwell-Pope (drawn by J. Butler),,76-74,,
5:54.0,J. Butler misses free throw 1 of 2,,76-74,,
5:54.0,Offensive rebound by Team,,76-74,,
5:54.0,P. Gasol enters the game for T. Gibson,,76-74,,
5:54.0,J. Butler makes free throw 2 of 2,1,77-74,,
5:45.0,Personal foul by T. Snell (drawn by M. Morris),,77-74,,
5:45.0,,,77-74,,M. Morris misses free throw 1 of 2
5:45.0,,,77-74,,Offensive rebound by Team
5:45.0,,,77-75,1,M. Morris makes free throw 2 of 2
5:31.0,J. Butler misses 2-pt shot from 18 ft,,77-75,,
5:31.0,,,77-75,,Defensive rebound by R. Jackson
