time,Miami,pts.away,score,pts.home,Cleveland
9:03.0,Shooting foul by J. Smith (drawn by D. Wade),,44-53,,
9:03.0,D. Wade makes free throw 1 of 2,1,45-53,,
9:03.0,D. Wade makes free throw 2 of 2,1,46-53,,
8:50.0,,,46-53,,M. Williams misses 2-pt shot from 20 ft (block by H. Whiteside)
8:49.0,,,46-53,,Offensive rebound by T. Mozgov
8:49.0,,,46-53,,Shooting foul by L. Deng (drawn by K. Love)
8:49.0,,,46-54,1,K. Love makes free throw 1 of 2
8:49.0,,,46-55,1,K. Love makes free throw 2 of 2
8:33.0,L. Deng misses 2-pt shot from 5 ft (block by T. Mozgov),,46-55,,
8:31.0,Offensive rebound by L. Deng,,46-55,,
8:28.0,C. Bosh misses 3-pt shot from 25 ft,,46-55,,
8:27.0,,,46-55,,Defensive rebound by L. James
8:09.0,,,46-55,,L. James misses 3-pt shot from 24 ft
8:09.0,Defensive rebound by C. Bosh,,46-55,,
7:58.0,D. Wade makes 2-pt shot from 15 ft,2,48-55,,
7:41.0,,,48-55,,J. Smith misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by H. Whiteside,,48-55,,
7:19.0,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic),3,51-55,,
7:00.0,,,51-57,2,T. Mozgov makes 2-pt shot at rim (assist by K. Love)
6:46.0,Shooting foul by J. Smith (drawn by D. Wade),,51-57,,
6:46.0,D. Wade makes free throw 1 of 2,1,52-57,,
6:46.0,,,52-57,,M. Dellavedova enters the game for J. Smith
6:46.0,D. Wade makes free throw 2 of 2,1,53-57,,
6:27.0,,,53-59,2,T. Mozgov makes 2-pt shot from 1 ft (assist by K. Love)
6:27.0,,,53-59,,Shooting foul by H. Whiteside (drawn by T. Mozgov)
6:27.0,,,53-60,1,T. Mozgov makes free throw 1 of 1
6:15.0,Turnover by H. Whiteside (traveling),,53-60,,
6:00.0,,,53-60,,M. Williams misses 2-pt shot from 10 ft
5:59.0,Defensive rebound by G. Dragic,,53-60,,
5:50.0,L. Deng makes 2-pt shot from 1 ft (assist by G. Dragic),2,55-60,,
5:28.0,,,55-60,,Offensive foul by T. Mozgov
5:28.0,,,55-60,,Turnover by T. Mozgov (offensive foul)
5:28.0,,,55-60,,Cleveland full timeout
5:28.0,,,55-60,,T. Thompson enters the game for T. Mozgov
5:15.0,D. Wade makes 2-pt shot at rim (assist by C. Bosh),2,57-60,,
5:00.0,,,57-60,,Turnover by L. James (lost ball)
4:47.0,D. Wade misses 2-pt shot from 15 ft,,57-60,,
4:47.0,,,57-60,,Defensive rebound by M. Dellavedova
4:47.0,Personal foul by H. Whiteside (drawn by M. Dellavedova),,57-60,,
4:47.0,G. Green enters the game for D. Wade,,57-60,,
4:35.0,,,57-63,3,K. Love makes 3-pt shot from 25 ft (assist by M. Dellavedova)
4:20.0,G. Dragic makes 2-pt shot at rim,2,59-63,,
4:05.0,,,59-66,3,K. Love makes 3-pt shot from 26 ft (assist by M. Williams)
3:48.0,Turnover by G. Dragic (lost ball; steal by M. Williams),,59-66,,
3:43.0,,,59-66,,Turnover by L. James (bad pass; steal by C. Bosh)
3:36.0,G. Green misses 3-pt shot from 23 ft,,59-66,,
3:35.0,Offensive rebound by L. Deng,,59-66,,
3:35.0,Shooting foul by T. Thompson (drawn by L. Deng),,59-66,,
3:35.0,L. Deng makes free throw 1 of 2,1,60-66,,
3:35.0,M. Chalmers enters the game for G. Dragic,,60-66,,
3:35.0,J. McRoberts enters the game for C. Bosh,,60-66,,
3:35.0,,,60-66,,A. Varejao enters the game for K. Love
3:35.0,L. Deng misses free throw 2 of 2,,60-66,,
3:34.0,,,60-66,,Defensive rebound by T. Thompson
3:17.0,,,60-66,,M. Williams misses 2-pt shot from 15 ft
3:17.0,,,60-66,,Offensive rebound by A. Varejao
3:12.0,,,60-68,2,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova)
2:46.0,G. Green makes 3-pt shot from 23 ft (assist by H. Whiteside),3,63-68,,
2:15.0,,,63-70,2,A. Varejao makes 2-pt shot from 17 ft (assist by L. James)
2:03.0,Miami full timeout,,63-70,,
2:03.0,,,63-70,,R. Jefferson enters the game for L. James
1:50.0,G. Green misses 3-pt shot from 26 ft,,63-70,,
1:49.0,,,63-70,,Defensive rebound by T. Thompson
1:36.0,,,63-72,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
1:24.0,Shooting foul by M. Williams (drawn by M. Chalmers),,63-72,,
1:24.0,M. Chalmers makes free throw 1 of 2,1,64-72,,
1:24.0,A. Stoudemire enters the game for H. Whiteside,,64-72,,
1:24.0,J. Winslow enters the game for L. Deng,,64-72,,
1:24.0,,,64-72,,J. Cunningham enters the game for M. Williams
1:24.0,M. Chalmers makes free throw 2 of 2,1,65-72,,
1:07.0,,,65-74,2,T. Thompson makes 2-pt shot from 6 ft (assist by J. Cunningham)
0:52.0,M. Chalmers makes 2-pt shot from 12 ft (assist by J. Winslow),2,67-74,,
0:43.0,,,67-76,2,J. Cunningham makes 2-pt shot at rim (assist by M. Dellavedova)
0:25.0,G. Green misses 2-pt shot from 1 ft,,67-76,,
0:24.0,,,67-76,,Defensive rebound by A. Varejao
0:01.0,,,67-76,,J. Cunningham misses 3-pt shot from 25 ft
0:00.0,,,67-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,67-78,2,J. Cunningham makes 2-pt shot from 1 ft
11:27.0,Turnover by G. Green (traveling),,67-78,,
11:09.0,,,67-78,,R. Jefferson misses 2-pt shot from 5 ft
11:09.0,,,67-78,,Offensive rebound by Team
11:09.0,Loose ball foul by A. Stoudemire (drawn by T. Thompson),,67-78,,
11:01.0,,,67-78,,M. Dellavedova misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by G. Green,,67-78,,
10:52.0,M. Chalmers misses 2-pt shot from 5 ft,,67-78,,
10:50.0,,,67-78,,Defensive rebound by T. Thompson
10:43.0,,,67-81,3,R. Jefferson makes 3-pt shot from 23 ft (assist by M. Dellavedova)
10:35.0,,,67-81,,Personal foul by J. Cunningham (drawn by G. Green)
10:31.0,G. Green misses 2-pt shot from 15 ft,,67-81,,
10:30.0,,,67-81,,Defensive rebound by A. Varejao
10:20.0,,,67-81,,A. Varejao misses 2-pt shot from 15 ft
10:19.0,Defensive rebound by J. Winslow,,67-81,,
9:59.0,J. Winslow misses 2-pt shot from 4 ft,,67-81,,
9:57.0,Offensive rebound by A. Stoudemire,,67-81,,
9:46.0,M. Chalmers makes 2-pt shot from 1 ft,2,69-81,,
9:36.0,,,69-81,,Shooting foul by J. Winslow (drawn by T. Thompson)
9:36.0,,,69-82,1,T. Thompson makes free throw 1 of 2
9:36.0,D. Wade enters the game for G. Green,,69-82,,
9:36.0,,,69-82,,T. Thompson misses free throw 2 of 2
9:35.0,Defensive rebound by Team,,69-82,,
9:24.0,Offensive charge foul by D. Wade,,69-82,,
9:24.0,Turnover by D. Wade (offensive foul),,69-82,,
9:07.0,,,69-82,,R. Jefferson misses 2-pt shot from 18 ft
9:06.0,Defensive rebound by M. Chalmers,,69-82,,
8:59.0,J. Winslow misses 3-pt shot from 26 ft,,69-82,,
8:58.0,,,69-82,,Defensive rebound by A. Varejao
8:50.0,,,69-84,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
8:50.0,Miami full timeout,,69-84,,
8:50.0,C. Bosh enters the game for J. McRoberts,,69-84,,
8:50.0,H. Whiteside enters the game for A. Stoudemire,,69-84,,
8:31.0,D. Wade misses 2-pt shot from 15 ft,,69-84,,
8:30.0,,,69-84,,Defensive rebound by A. Varejao
8:18.0,Personal foul by M. Chalmers (drawn by T. Thompson),,69-84,,
8:18.0,,,69-84,,K. Love enters the game for J. Cunningham
8:18.0,,,69-84,,L. James enters the game for A. Varejao
8:18.0,G. Dragic enters the game for M. Chalmers,,69-84,,
8:07.0,,,69-84,,K. Love misses 2-pt shot at rim (block by H. Whiteside)
8:01.0,Defensive rebound by J. Winslow,,69-84,,
7:56.0,J. Winslow misses 3-pt shot from 25 ft,,69-84,,
7:55.0,,,69-84,,Defensive rebound by K. Love
7:43.0,,,69-86,2,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova)
7:28.0,C. Bosh misses 2-pt shot at rim (block by T. Thompson),,69-86,,
7:28.0,Offensive rebound by Team,,69-86,,
7:28.0,L. Deng enters the game for J. Winslow,,69-86,,
7:27.0,,,69-86,,Personal foul by K. Love (drawn by C. Bosh)
7:14.0,D. Wade misses 3-pt shot from 24 ft,,69-86,,
7:13.0,,,69-86,,Defensive rebound by M. Dellavedova
6:59.0,,,69-86,,Shooting foul by G. Dragic (drawn by K. Love)
6:59.0,,,69-87,1,K. Love makes free throw 1 of 2
6:59.0,,,69-88,1,K. Love makes free throw 2 of 2
6:46.0,D. Wade makes 2-pt shot from 7 ft,2,71-88,,
6:23.0,,,71-88,,K. Love misses 2-pt shot from 16 ft
6:22.0,Defensive rebound by H. Whiteside,,71-88,,
6:06.0,C. Bosh misses 2-pt shot from 19 ft,,71-88,,
6:05.0,,,71-88,,Defensive rebound by M. Dellavedova
5:47.0,,,71-88,,T. Thompson misses 2-pt shot from 3 ft (block by H. Whiteside)
5:46.0,Defensive rebound by L. Deng,,71-88,,
5:38.0,L. Deng makes 2-pt shot at rim (assist by C. Bosh),2,73-88,,
5:38.0,,,73-88,,Cleveland full timeout
5:25.0,,,73-88,,R. Jefferson misses 3-pt shot from 25 ft
5:24.0,,,73-88,,Offensive rebound by K. Love
5:19.0,,,73-90,2,R. Jefferson makes 2-pt shot at rim (assist by K. Love)
5:06.0,Turnover by D. Wade (lost ball; steal by M. Dellavedova),,73-90,,
5:03.0,,,73-90,,Shooting foul by D. Wade (drawn by L. James)
5:03.0,,,73-90,,L. James misses free throw 1 of 2
5:03.0,,,73-90,,Offensive rebound by Team
5:03.0,,,73-91,1,L. James makes free throw 2 of 2
4:48.0,C. Bosh misses 2-pt shot from 6 ft (block by K. Love),,73-91,,
4:48.0,Offensive rebound by Team,,73-91,,
4:43.0,C. Bosh makes 2-pt shot from 14 ft (assist by D. Wade),2,75-91,,
4:23.0,,,75-93,2,L. James makes 2-pt shot from 7 ft
4:10.0,H. Whiteside makes 2-pt shot from 6 ft (assist by C. Bosh),2,77-93,,
4:02.0,Personal foul by G. Dragic (drawn by M. Dellavedova),,77-93,,
4:02.0,,,77-94,1,M. Dellavedova makes free throw 1 of 2
4:02.0,,,77-95,1,M. Dellavedova makes free throw 2 of 2
3:51.0,Turnover by H. Whiteside (lost ball; steal by R. Jefferson),,77-95,,
3:48.0,,,77-95,,M. Williams enters the game for M. Dellavedova
3:39.0,,,77-95,,Shooting foul by G. Dragic (drawn by M. Williams)
3:39.0,,,77-96,1,M. Williams makes free throw 1 of 2
3:39.0,,,77-97,1,M. Williams makes free throw 2 of 2
3:32.0,Offensive foul by D. Wade,,77-97,,
3:32.0,Turnover by D. Wade (offensive foul),,77-97,,
3:12.0,,,77-97,,T. Thompson misses 2-pt shot at rim (block by H. Whiteside)
3:09.0,,,77-97,,Offensive rebound by L. James
3:07.0,,,77-97,,Turnover by R. Jefferson (lost ball; steal by D. Wade)
3:02.0,D. Wade makes 2-pt shot from 1 ft,2,79-97,,
2:35.0,,,79-97,,K. Love misses 3-pt shot from 32 ft
2:34.0,Defensive rebound by D. Wade,,79-97,,
2:24.0,D. Wade makes 2-pt shot from 8 ft,2,81-97,,
2:02.0,,,81-97,,L. James misses 2-pt shot from 1 ft
2:01.0,,,81-97,,Offensive rebound by T. Thompson
2:01.0,,,81-97,,T. Thompson misses 2-pt shot from 1 ft
2:00.0,Defensive rebound by C. Bosh,,81-97,,
1:53.0,Shooting foul by M. Williams (drawn by G. Dragic),,81-97,,
1:53.0,G. Dragic makes free throw 1 of 2,1,82-97,,
1:53.0,G. Dragic makes free throw 2 of 2,1,83-97,,
1:28.0,,,83-99,2,L. James makes 2-pt shot from 17 ft
1:28.0,,,83-99,,Personal foul by L. James (drawn by G. Dragic)
1:28.0,G. Dragic makes free throw 1 of 2,1,84-99,,
1:28.0,J. Ennis enters the game for L. Deng,,84-99,,
1:28.0,T. Johnson enters the game for C. Bosh,,84-99,,
1:28.0,J. Winslow enters the game for D. Wade,,84-99,,
1:28.0,,,84-99,,J. Jones enters the game for L. James
1:28.0,,,84-99,,J. Cunningham enters the game for K. Love
1:28.0,,,84-99,,J. Harris enters the game for M. Williams
1:28.0,,,84-99,,S. Kaun enters the game for T. Thompson
1:28.0,G. Dragic makes free throw 2 of 2,1,85-99,,
1:08.0,,,85-102,3,J. Harris makes 3-pt shot from 22 ft (assist by J. Cunningham)
0:58.0,G. Dragic makes 3-pt shot from 25 ft,3,88-102,,
