time,Sacramento,pts.away,score,pts.home,Atlanta
6:00.0,R. Gay makes 2-pt shot from 1 ft (assist by R. Rondo),2,14-9,,
5:47.0,,,14-11,2,P. Millsap makes 2-pt shot from 10 ft (assist by D. Schroder)
5:30.0,D. Cousins misses 2-pt shot from 1 ft,,14-11,,
5:27.0,,,14-11,,Defensive rebound by P. Millsap
5:20.0,,,14-13,2,P. Millsap makes 2-pt shot at rim (assist by D. Schroder)
5:11.0,R. Rondo makes 2-pt shot from 1 ft,2,16-13,,
4:52.0,,,16-16,3,L. Patterson makes 3-pt shot from 23 ft (assist by J. Holiday)
4:35.0,Shooting foul by D. Schroder (drawn by D. Cousins),,16-16,,
4:35.0,D. Cousins makes free throw 1 of 2,1,17-16,,
4:35.0,,,17-16,,T. Sefolosha enters the game for J. Holiday
4:35.0,W. Cauley-Stein enters the game for Q. Acy,,17-16,,
4:35.0,,,17-16,,S. Mack enters the game for D. Schroder
4:35.0,D. Cousins misses free throw 2 of 2,,17-16,,
4:34.0,,,17-16,,Defensive rebound by T. Sefolosha
4:21.0,,,17-16,,Shooting foul by W. Cauley-Stein (drawn by P. Millsap)
4:21.0,,,17-17,1,P. Millsap makes free throw 1 of 2
4:21.0,O. Casspi enters the game for R. Gay,,17-17,,
4:21.0,M. Belinelli enters the game for B. McLemore,,17-17,,
4:21.0,,,17-18,1,P. Millsap makes free throw 2 of 2
4:05.0,D. Cousins misses 2-pt shot from 15 ft,,17-18,,
4:03.0,,,17-18,,Defensive rebound by P. Millsap
3:57.0,,,17-18,,L. Patterson misses 3-pt shot from 24 ft
3:55.0,,,17-18,,Offensive rebound by T. Sefolosha
3:53.0,,,17-18,,T. Sefolosha misses 2-pt shot at rim
3:51.0,Defensive rebound by O. Casspi,,17-18,,
3:46.0,Turnover by R. Rondo (turnover),,17-18,,
3:36.0,,,17-18,,Shooting foul by D. Cousins (drawn by T. Splitter)
3:36.0,,,17-19,1,T. Splitter makes free throw 1 of 2
3:36.0,,,17-19,,T. Splitter misses free throw 2 of 2
3:34.0,Defensive rebound by O. Casspi,,17-19,,
3:22.0,M. Belinelli makes 2-pt shot from 16 ft (assist by R. Rondo),2,19-19,,
3:06.0,,,19-19,,Turnover by T. Sefolosha (lost ball)
3:06.0,D. Collison enters the game for R. Rondo,,19-19,,
2:49.0,M. Belinelli makes 2-pt shot from 20 ft,2,21-19,,
2:38.0,,,21-19,,P. Millsap misses 2-pt shot from 9 ft
2:35.0,Defensive rebound by D. Cousins,,21-19,,
2:27.0,D. Collison makes 2-pt shot from 1 ft (assist by D. Cousins),2,23-19,,
2:14.0,,,23-19,,Shooting foul by W. Cauley-Stein (drawn by L. Patterson)
2:14.0,Sacramento full timeout,,23-19,,
2:14.0,K. Koufos enters the game for W. Cauley-Stein,,23-19,,
2:14.0,,,23-19,,A. Horford enters the game for P. Millsap
2:14.0,,,23-20,1,L. Patterson makes free throw 1 of 2
2:14.0,,,23-21,1,L. Patterson makes free throw 2 of 2
1:57.0,D. Cousins makes 2-pt shot from 2 ft,2,25-21,,
1:43.0,,,25-23,2,S. Mack makes 2-pt shot from 13 ft
1:27.0,D. Cousins makes 3-pt shot from 24 ft (assist by D. Collison),3,28-23,,
1:13.0,,,28-25,2,T. Splitter makes 2-pt shot from 2 ft
1:02.0,Shooting foul by T. Splitter (drawn by D. Cousins),,28-25,,
1:02.0,D. Cousins makes free throw 1 of 2,1,29-25,,
1:02.0,,,29-25,,K. Korver enters the game for L. Patterson
1:02.0,D. Cousins makes free throw 2 of 2,1,30-25,,
0:56.0,,,30-25,,S. Mack misses 2-pt shot from 21 ft
0:53.0,Defensive rebound by K. Koufos,,30-25,,
0:46.0,D. Cousins misses 2-pt shot from 2 ft (block by A. Horford),,30-25,,
0:43.0,,,30-25,,Defensive rebound by S. Mack
0:41.0,,,30-27,2,A. Horford makes 2-pt shot at rim (assist by S. Mack)
0:27.0,O. Casspi misses 2-pt shot from 9 ft,,30-27,,
0:25.0,,,30-27,,Defensive rebound by S. Mack
0:17.0,,,30-27,,T. Sefolosha misses 3-pt shot from 23 ft
0:15.0,Defensive rebound by D. Cousins,,30-27,,
0:00.0,Turnover by D. Collison (bad pass; steal by S. Mack),,30-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,30-27,,Shooting foul by D. Collison (drawn by S. Mack)
11:41.0,,,30-28,1,S. Mack makes free throw 1 of 2
11:41.0,,,30-29,1,S. Mack makes free throw 2 of 2
11:20.0,R. Gay misses 2-pt shot from 20 ft,,30-29,,
11:19.0,,,30-29,,Defensive rebound by K. Korver
11:05.0,,,30-29,,A. Horford misses 2-pt shot from 13 ft
11:01.0,Defensive rebound by D. Collison,,30-29,,
10:51.0,O. Casspi makes 2-pt shot from 8 ft (assist by D. Collison),2,32-29,,
10:41.0,Personal foul by M. Belinelli (drawn by K. Korver),,32-29,,
10:34.0,,,32-32,3,K. Korver makes 3-pt shot from 24 ft (assist by S. Mack)
10:19.0,M. Belinelli misses 2-pt shot from 21 ft,,32-32,,
10:16.0,,,32-32,,Defensive rebound by S. Mack
10:09.0,,,32-34,2,M. Muscala makes 2-pt shot from 17 ft (assist by S. Mack)
9:47.0,K. Koufos makes 2-pt shot from 1 ft (assist by R. Gay),2,34-34,,
9:25.0,,,34-36,2,K. Korver makes 2-pt shot from 22 ft (assist by T. Sefolosha)
9:10.0,K. Koufos makes 2-pt shot from 1 ft (assist by D. Collison),2,36-36,,
8:58.0,,,36-36,,Shooting foul by R. Gay (drawn by A. Horford)
8:58.0,Official timeout,,36-36,,
8:58.0,,,36-37,1,A. Horford makes free throw 1 of 2
8:58.0,,,36-38,1,A. Horford makes free throw 2 of 2
8:41.0,R. Gay misses 2-pt shot from 10 ft,,36-38,,
8:38.0,,,36-38,,Defensive rebound by K. Korver
8:22.0,,,36-40,2,A. Horford makes 2-pt shot from 20 ft (assist by S. Mack)
8:05.0,O. Casspi makes 2-pt shot from 7 ft (assist by R. Gay),2,38-40,,
7:43.0,,,38-40,,S. Mack misses 3-pt shot from 24 ft
7:43.0,,,38-40,,Offensive rebound by Team
7:43.0,Loose ball foul by O. Casspi (drawn by M. Muscala),,38-40,,
7:43.0,,,38-40,,J. Holiday enters the game for A. Horford
7:43.0,,,38-40,,D. Schroder enters the game for K. Korver
7:43.0,,,38-40,,T. Splitter enters the game for T. Sefolosha
7:43.0,,,38-40,,L. Patterson enters the game for S. Mack
7:29.0,,,38-42,2,D. Schroder makes 2-pt shot from 11 ft
7:13.0,K. Koufos misses 2-pt shot from 4 ft (block by M. Muscala),,38-42,,
7:11.0,Offensive rebound by K. Koufos,,38-42,,
7:10.0,K. Koufos misses 2-pt shot from 3 ft,,38-42,,
7:10.0,,,38-42,,Defensive rebound by T. Splitter
6:56.0,,,38-42,,Turnover by J. Holiday (bad pass; steal by K. Koufos)
6:51.0,O. Casspi makes 2-pt shot at rim (assist by M. Belinelli),2,40-42,,
6:42.0,,,40-42,,D. Schroder misses 3-pt shot from 24 ft
6:40.0,Defensive rebound by O. Casspi,,40-42,,
6:30.0,K. Koufos makes 2-pt shot from 8 ft (assist by O. Casspi),2,42-42,,
6:11.0,,,42-42,,D. Schroder misses 2-pt shot from 9 ft
6:08.0,,,42-42,,Offensive rebound by T. Splitter
6:08.0,,,42-42,,T. Splitter misses 2-pt shot at rim
6:08.0,Defensive rebound by Team,,42-42,,
6:08.0,,,42-42,,P. Millsap enters the game for M. Muscala
6:08.0,R. Rondo enters the game for M. Belinelli,,42-42,,
5:49.0,R. Gay makes 2-pt shot from 6 ft,2,44-42,,
5:49.0,,,44-42,,Atlanta full timeout
5:39.0,Personal foul by D. Collison (drawn by P. Millsap),,44-42,,
5:39.0,,,44-43,1,P. Millsap makes free throw 1 of 2
5:39.0,D. Cousins enters the game for K. Koufos,,44-43,,
5:39.0,,,44-43,,P. Millsap misses free throw 2 of 2
5:37.0,Defensive rebound by R. Gay,,44-43,,
5:23.0,R. Gay misses 2-pt shot from 8 ft,,44-43,,
5:22.0,,,44-43,,Defensive rebound by P. Millsap
5:12.0,Personal foul by R. Gay (drawn by D. Schroder),,44-43,,
5:12.0,,,44-43,,D. Schroder misses free throw 1 of 2
5:12.0,,,44-43,,Offensive rebound by Team
5:12.0,,,44-44,1,D. Schroder makes free throw 2 of 2
4:52.0,D. Cousins makes 2-pt shot from 1 ft,2,46-44,,
4:27.0,,,46-44,,T. Splitter misses 2-pt shot from 2 ft
4:25.0,,,46-44,,Offensive rebound by P. Millsap
4:24.0,,,46-46,2,P. Millsap makes 2-pt shot at rim
4:20.0,,,46-46,,Personal foul by L. Patterson (drawn by R. Gay)
4:20.0,Q. Acy enters the game for O. Casspi,,46-46,,
4:20.0,,,46-46,,K. Korver enters the game for J. Holiday
4:20.0,,,46-46,,A. Horford enters the game for T. Splitter
4:12.0,Shooting foul by D. Schroder (drawn by R. Gay),,46-46,,
4:12.0,R. Gay makes free throw 1 of 2,1,47-46,,
4:12.0,R. Gay makes free throw 2 of 2,1,48-46,,
4:03.0,,,48-46,,A. Horford misses 2-pt shot from 21 ft
4:02.0,,,48-46,,Offensive rebound by L. Patterson
3:59.0,,,48-49,3,D. Schroder makes 3-pt shot from 24 ft (assist by L. Patterson)
3:49.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo),2,50-49,,
3:41.0,,,50-51,2,D. Schroder makes 2-pt shot at rim
3:34.0,R. Rondo misses 2-pt shot from 18 ft,,50-51,,
3:32.0,,,50-51,,Defensive rebound by L. Patterson
3:26.0,,,50-51,,Turnover by P. Millsap (turnover)
3:26.0,Sacramento full timeout,,50-51,,
3:26.0,B. McLemore enters the game for R. Gay,,50-51,,
3:03.0,R. Rondo makes 2-pt shot from 1 ft (assist by D. Cousins),2,52-51,,
2:44.0,,,52-51,,A. Horford misses 2-pt shot from 8 ft
2:42.0,Defensive rebound by Q. Acy,,52-51,,
2:36.0,D. Cousins misses 3-pt shot from 24 ft,,52-51,,
2:35.0,,,52-51,,Defensive rebound by P. Millsap
2:35.0,Personal foul by Q. Acy (drawn by P. Millsap),,52-51,,
2:35.0,,,52-52,1,P. Millsap makes free throw 1 of 2
2:35.0,,,52-53,1,P. Millsap makes free throw 2 of 2
2:25.0,D. Collison misses 2-pt shot from 20 ft,,52-53,,
2:23.0,,,52-53,,Defensive rebound by A. Horford
2:19.0,,,52-53,,Turnover by A. Horford (bad pass; steal by R. Rondo)
2:13.0,Turnover by R. Rondo (turnover),,52-53,,
2:13.0,M. Belinelli enters the game for D. Collison,,52-53,,
1:58.0,,,52-56,3,D. Schroder makes 3-pt shot from 24 ft (assist by P. Millsap)
1:53.0,Turnover by R. Rondo (turnover),,52-56,,
1:44.0,,,52-56,,D. Schroder misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by M. Belinelli,,52-56,,
1:29.0,D. Cousins misses 2-pt shot from 7 ft,,52-56,,
1:27.0,,,52-56,,Defensive rebound by K. Korver
1:23.0,,,52-58,2,P. Millsap makes 2-pt shot at rim (assist by L. Patterson)
1:18.0,Technical foul by Team,,52-58,,
1:18.0,,,52-58,,K. Korver misses technical free throw
1:18.0,Offensive rebound by Team,,52-58,,
1:09.0,Turnover by R. Rondo (lost ball),,52-58,,
0:59.0,,,52-60,2,A. Horford makes 2-pt shot from 20 ft (assist by K. Korver)
0:47.0,Turnover by R. Rondo (bad pass; steal by P. Millsap),,52-60,,
0:38.0,,,52-60,,D. Schroder misses 3-pt shot from 24 ft
0:36.0,,,52-60,,Offensive rebound by P. Millsap
0:36.0,,,52-62,2,P. Millsap makes 2-pt shot at rim
0:29.0,B. McLemore misses 2-pt shot from 1 ft (block by P. Millsap),,52-62,,
0:29.0,Offensive rebound by Team,,52-62,,
0:26.0,M. Belinelli misses 2-pt shot from 18 ft,,52-62,,
0:23.0,,,52-62,,Defensive rebound by L. Patterson
0:19.0,,,52-62,,K. Korver misses 3-pt shot from 26 ft
0:15.0,Defensive rebound by R. Rondo,,52-62,,
0:00.0,Turnover by M. Belinelli (back court),,52-62,,
0:00.0,W. Cauley-Stein enters the game for D. Cousins,,52-62,,
0:00.0,,,52-62,,M. Muscala enters the game for A. Horford
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,52-62,,J. Holiday misses 2-pt shot from 14 ft
11:39.0,Defensive rebound by R. Gay,,52-62,,
11:34.0,B. McLemore misses 2-pt shot from 19 ft,,52-62,,
11:32.0,,,52-62,,Defensive rebound by P. Millsap
11:17.0,,,52-62,,A. Horford misses 3-pt shot from 23 ft
11:15.0,Defensive rebound by R. Gay,,52-62,,
11:08.0,D. Cousins misses 2-pt shot from 10 ft,,52-62,,
11:07.0,Offensive rebound by D. Cousins,,52-62,,
11:07.0,Shooting foul by D. Schroder (drawn by D. Cousins),,52-62,,
11:07.0,D. Cousins makes free throw 1 of 2,1,53-62,,
11:07.0,D. Cousins misses free throw 2 of 2,,53-62,,
11:06.0,,,53-62,,Defensive rebound by J. Holiday
10:48.0,,,53-62,,P. Millsap misses 2-pt shot from 16 ft
10:47.0,Defensive rebound by R. Rondo,,53-62,,
10:35.0,B. McLemore makes 3-pt shot from 22 ft (assist by R. Rondo),3,56-62,,
10:19.0,,,56-64,2,D. Schroder makes 2-pt shot from 20 ft
10:01.0,Shooting foul by P. Millsap (drawn by D. Cousins),,56-64,,
10:01.0,Sacramento full timeout,,56-64,,
10:01.0,D. Cousins makes free throw 1 of 2,1,57-64,,
10:01.0,D. Cousins makes free throw 2 of 2,1,58-64,,
9:38.0,,,58-66,2,D. Schroder makes 2-pt shot from 1 ft
9:17.0,D. Cousins misses 2-pt shot from 10 ft,,58-66,,
9:17.0,,,58-66,,Defensive rebound by Team
9:06.0,,,58-68,2,A. Horford makes 2-pt shot from 18 ft (assist by D. Schroder)
8:50.0,R. Rondo makes 2-pt shot from 18 ft,2,60-68,,
8:39.0,Personal foul by D. Cousins (drawn by K. Korver),,60-68,,
8:32.0,,,60-70,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
8:16.0,R. Rondo makes 2-pt shot from 1 ft,2,62-70,,
8:05.0,,,62-73,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder)
7:48.0,Turnover by Q. Acy (offensive foul),,62-73,,
7:48.0,Offensive foul by Q. Acy,,62-73,,
7:48.0,W. Cauley-Stein enters the game for Q. Acy,,62-73,,
7:37.0,,,62-73,,D. Schroder misses 2-pt shot from 21 ft
7:36.0,Defensive rebound by R. Rondo,,62-73,,
7:25.0,R. Gay makes 2-pt shot from 8 ft,2,64-73,,
7:05.0,,,64-73,,J. Holiday misses 3-pt shot from 23 ft
7:03.0,,,64-73,,Offensive rebound by J. Holiday
6:55.0,,,64-73,,D. Schroder misses 2-pt shot at rim
6:53.0,Defensive rebound by W. Cauley-Stein,,64-73,,
6:46.0,R. Gay misses 3-pt shot from 24 ft,,64-73,,
6:43.0,Offensive rebound by R. Rondo,,64-73,,
6:42.0,R. Rondo misses 2-pt shot from 4 ft (block by K. Korver),,64-73,,
6:40.0,,,64-73,,Defensive rebound by D. Schroder
6:36.0,,,64-73,,J. Holiday misses 3-pt shot from 22 ft
6:34.0,Defensive rebound by D. Cousins,,64-73,,
6:25.0,R. Gay misses 2-pt shot at rim,,64-73,,
6:24.0,Offensive rebound by R. Gay,,64-73,,
6:24.0,R. Gay misses 2-pt shot at rim,,64-73,,
6:21.0,Offensive rebound by R. Gay,,64-73,,
6:21.0,R. Gay makes 2-pt shot at rim,2,66-73,,
6:08.0,Personal foul by D. Cousins (drawn by P. Millsap),,66-73,,
6:08.0,,,66-73,,T. Splitter enters the game for A. Horford
6:08.0,,,66-73,,L. Patterson enters the game for K. Korver
5:54.0,,,66-75,2,D. Schroder makes 2-pt shot from 1 ft
5:41.0,B. McLemore misses 2-pt shot from 16 ft,,66-75,,
5:39.0,Offensive rebound by D. Cousins,,66-75,,
5:35.0,D. Cousins misses 3-pt shot from 24 ft,,66-75,,
5:33.0,Offensive rebound by R. Rondo,,66-75,,
5:30.0,B. McLemore makes 3-pt shot from 24 ft (assist by R. Rondo),3,69-75,,
5:10.0,D. Collison enters the game for R. Gay,,69-75,,
5:10.0,M. Belinelli enters the game for B. McLemore,,69-75,,
5:10.0,,,69-75,,T. Sefolosha enters the game for J. Holiday
5:05.0,,,69-75,,P. Millsap misses 2-pt shot from 1 ft
5:03.0,,,69-75,,Offensive rebound by P. Millsap
5:03.0,,,69-75,,P. Millsap misses 2-pt shot at rim
5:03.0,,,69-75,,Offensive rebound by P. Millsap
5:03.0,,,69-75,,P. Millsap misses 2-pt shot at rim
5:00.0,,,69-75,,Offensive rebound by T. Splitter
4:49.0,,,69-75,,L. Patterson misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by M. Belinelli,,69-75,,
4:39.0,D. Cousins misses 2-pt shot at rim,,69-75,,
4:38.0,,,69-75,,Defensive rebound by P. Millsap
4:32.0,,,69-75,,Atlanta full timeout
4:22.0,,,69-75,,D. Schroder misses 2-pt shot from 11 ft
4:20.0,Defensive rebound by W. Cauley-Stein,,69-75,,
4:11.0,D. Cousins misses 3-pt shot from 24 ft,,69-75,,
4:10.0,Offensive rebound by R. Rondo,,69-75,,
4:06.0,D. Collison misses 3-pt shot from 25 ft,,69-75,,
4:06.0,Offensive rebound by Team,,69-75,,
4:06.0,,,69-75,,S. Mack enters the game for D. Schroder
4:01.0,Shooting foul by T. Splitter (drawn by D. Cousins),,69-75,,
4:01.0,D. Cousins makes free throw 1 of 2,1,70-75,,
4:01.0,D. Cousins makes free throw 2 of 2,1,71-75,,
3:42.0,,,71-77,2,P. Millsap makes 2-pt shot from 8 ft (assist by T. Splitter)
3:28.0,,,71-77,,Personal foul by P. Millsap (drawn by M. Belinelli)
3:18.0,Loose ball foul by D. Cousins (drawn by T. Splitter),,71-77,,
3:18.0,Turnover by D. Cousins (offensive foul),,71-77,,
3:18.0,K. Koufos enters the game for D. Cousins,,71-77,,
3:10.0,,,71-77,,S. Mack misses 3-pt shot from 25 ft
3:07.0,,,71-77,,Offensive rebound by P. Millsap
3:07.0,,,71-79,2,P. Millsap makes 2-pt shot at rim
2:50.0,,,71-79,,Personal foul by T. Sefolosha (drawn by M. Belinelli)
2:50.0,M. Belinelli makes free throw 1 of 2,1,72-79,,
2:50.0,O. Casspi enters the game for R. Rondo,,72-79,,
2:50.0,M. Belinelli makes free throw 2 of 2,1,73-79,,
2:35.0,,,73-79,,Turnover by T. Splitter (bad pass; steal by D. Collison)
2:27.0,M. Belinelli misses 3-pt shot from 23 ft,,73-79,,
2:26.0,Offensive rebound by K. Koufos,,73-79,,
2:21.0,D. Collison misses 3-pt shot from 25 ft,,73-79,,
2:20.0,,,73-79,,Defensive rebound by T. Splitter
2:08.0,,,73-79,,S. Mack misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by K. Koufos,,73-79,,
1:49.0,D. Collison makes 2-pt shot at rim (assist by O. Casspi),2,75-79,,
1:30.0,,,75-79,,P. Millsap misses 2-pt shot from 7 ft
1:29.0,Defensive rebound by W. Cauley-Stein,,75-79,,
1:19.0,O. Casspi misses 3-pt shot from 24 ft,,75-79,,
1:17.0,,,75-79,,Defensive rebound by P. Millsap
1:06.0,,,75-79,,Turnover by L. Patterson (turnover)
1:06.0,,,75-79,,K. Korver enters the game for L. Patterson
1:06.0,,,75-79,,A. Horford enters the game for P. Millsap
0:54.0,K. Koufos makes 2-pt shot from 10 ft (assist by D. Collison),2,77-79,,
0:40.0,,,77-81,2,T. Splitter makes 2-pt shot from 6 ft
0:21.0,K. Koufos misses 2-pt shot from 8 ft,,77-81,,
0:20.0,Offensive rebound by M. Belinelli,,77-81,,
0:20.0,M. Belinelli makes 2-pt shot at rim,2,79-81,,
0:04.0,Personal take foul by D. Collison (drawn by S. Mack),,79-81,,
0:04.0,,,79-81,,M. Muscala enters the game for T. Splitter
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,D. Collison misses 2-pt shot from 15 ft,,79-81,,
11:38.0,Offensive rebound by W. Cauley-Stein,,79-81,,
11:38.0,W. Cauley-Stein misses 2-pt shot at rim,,79-81,,
11:36.0,,,79-81,,Defensive rebound by T. Sefolosha
11:20.0,,,79-84,3,A. Horford makes 3-pt shot from 24 ft (assist by S. Mack)
11:07.0,W. Cauley-Stein misses 2-pt shot at rim,,79-84,,
11:06.0,,,79-84,,Defensive rebound by S. Mack
11:06.0,Personal foul by O. Casspi (drawn by S. Mack),,79-84,,
10:47.0,,,79-84,,A. Horford misses 2-pt shot from 18 ft
10:45.0,Defensive rebound by W. Cauley-Stein,,79-84,,
10:32.0,Turnover by O. Casspi (bad pass; steal by M. Muscala),,79-84,,
10:26.0,,,79-86,2,S. Mack makes 2-pt shot from 1 ft
10:11.0,K. Koufos makes 2-pt shot from 7 ft (assist by D. Collison),2,81-86,,
9:48.0,,,81-86,,Turnover by S. Mack (discontinued dribble)
9:28.0,Turnover by M. Belinelli (lost ball; steal by T. Sefolosha),,81-86,,
9:26.0,,,81-86,,Shooting foul by D. Collison (drawn by T. Sefolosha)
9:26.0,Sacramento full timeout,,81-86,,
9:26.0,,,81-86,,D. Schroder enters the game for S. Mack
9:26.0,,,81-87,1,T. Sefolosha makes free throw 1 of 2
9:26.0,,,81-87,,T. Sefolosha misses free throw 2 of 2
9:24.0,Defensive rebound by K. Koufos,,81-87,,
9:01.0,D. Collison misses 2-pt shot from 12 ft,,81-87,,
9:01.0,Offensive rebound by Team,,81-87,,
9:01.0,Turnover by Team (shot clock),,81-87,,
8:48.0,,,81-87,,M. Muscala misses 2-pt shot from 14 ft
8:47.0,Defensive rebound by O. Casspi,,81-87,,
8:33.0,O. Casspi makes 2-pt shot at rim,2,83-87,,
8:11.0,,,83-87,,A. Horford misses 2-pt shot from 16 ft
8:09.0,Defensive rebound by D. Collison,,83-87,,
8:00.0,Turnover by O. Casspi (traveling),,83-87,,
8:00.0,,,83-87,,L. Patterson enters the game for A. Horford
8:00.0,,,83-87,,T. Splitter enters the game for T. Sefolosha
8:00.0,,,83-87,,P. Millsap enters the game for M. Muscala
8:00.0,D. Cousins enters the game for W. Cauley-Stein,,83-87,,
7:47.0,,,83-87,,Turnover by D. Schroder (bad pass; steal by D. Collison)
7:42.0,D. Collison misses 2-pt shot at rim (block by P. Millsap),,83-87,,
7:38.0,,,83-87,,Defensive rebound by K. Korver
7:31.0,,,83-89,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder)
7:15.0,M. Belinelli misses 3-pt shot from 26 ft,,83-89,,
7:14.0,,,83-89,,Defensive rebound by P. Millsap
6:58.0,,,83-89,,D. Schroder misses 2-pt shot from 6 ft
6:57.0,,,83-89,,Offensive rebound by T. Splitter
6:57.0,,,83-91,2,T. Splitter makes 2-pt shot at rim
6:57.0,Sacramento full timeout,,83-91,,
6:57.0,R. Rondo enters the game for D. Collison,,83-91,,
6:45.0,M. Belinelli misses 2-pt shot from 17 ft,,83-91,,
6:43.0,,,83-91,,Defensive rebound by L. Patterson
6:31.0,,,83-93,2,D. Schroder makes 2-pt shot from 1 ft
6:17.0,K. Koufos makes 2-pt shot from 5 ft (assist by R. Rondo),2,85-93,,
6:17.0,Shooting foul by P. Millsap (drawn by K. Koufos),,85-93,,
6:17.0,R. Gay enters the game for M. Belinelli,,85-93,,
6:17.0,K. Koufos makes free throw 1 of 1,1,86-93,,
5:55.0,,,86-93,,P. Millsap misses 2-pt shot from 14 ft
5:53.0,Defensive rebound by D. Cousins,,86-93,,
5:46.0,O. Casspi misses 3-pt shot from 25 ft,,86-93,,
5:44.0,,,86-93,,Defensive rebound by P. Millsap
5:33.0,,,86-93,,D. Schroder misses 3-pt shot from 24 ft
5:32.0,Defensive rebound by D. Cousins,,86-93,,
5:24.0,O. Casspi misses 2-pt shot from 1 ft,,86-93,,
5:22.0,,,86-93,,Defensive rebound by K. Korver
5:17.0,,,86-93,,L. Patterson misses 3-pt shot from 23 ft
5:15.0,Defensive rebound by D. Cousins,,86-93,,
5:07.0,R. Gay misses 2-pt shot at rim,,86-93,,
5:04.0,,,86-93,,Defensive rebound by T. Splitter
