time,San Antonio,pts.away,score,pts.home,Minnesota
4:01.0,,,45-45,1,G. Smith makes free throw 1 of 2
4:01.0,,,45-45,,G. Smith misses free throw 2 of 2
4:01.0,Defensive rebound by L. Aldridge,,45-45,,
3:47.0,A. Miller makes 2-pt shot from 1 ft (assist by L. Aldridge),2,47-45,,
3:30.0,,,47-45,,R. Rubio misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by B. Marjanovic,,47-45,,
3:20.0,K. Leonard makes 2-pt shot from 2 ft (assist by L. Aldridge),2,49-45,,
3:20.0,Shooting foul by G. Smith (drawn by K. Leonard),,49-45,,
3:20.0,P. Mills enters the game for A. Miller,,49-45,,
3:20.0,,,49-45,,A. Payne enters the game for G. Smith
3:20.0,K. Leonard makes free throw 1 of 1,1,50-45,,
3:10.0,,,50-45,,Shooting foul by P. Mills (drawn by Z. LaVine)
3:10.0,,,50-47,2,Z. LaVine makes 2-pt shot from 2 ft
3:10.0,,,50-47,,Z. LaVine misses free throw 1 of 1
3:09.0,Defensive rebound by B. Marjanovic,,50-47,,
2:55.0,D. Green misses 3-pt shot from 24 ft,,50-47,,
2:54.0,Offensive rebound by K. Leonard,,50-47,,
2:53.0,,,50-47,,Personal foul by A. Payne
2:53.0,San Antonio full timeout,,50-47,,
2:53.0,K. Leonard makes free throw 1 of 2,1,51-47,,
2:53.0,K. Leonard makes free throw 2 of 2,1,52-47,,
2:35.0,,,52-47,,K. Towns misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by K. Leonard,,52-47,,
2:15.0,L. Aldridge makes 2-pt shot from 11 ft (assist by K. Leonard),2,54-47,,
1:52.0,,,54-47,,A. Payne misses 2-pt shot from 19 ft
1:51.0,Defensive rebound by K. Leonard,,54-47,,
1:38.0,K. Leonard misses 2-pt shot from 1 ft,,54-47,,
1:37.0,,,54-47,,Defensive rebound by K. Towns
1:34.0,D. West enters the game for B. Marjanovic,,54-47,,
1:32.0,,,54-47,,Turnover by K. Towns (lost ball; steal by D. West)
1:27.0,P. Mills makes 2-pt shot from 1 ft,2,56-47,,
1:12.0,Personal foul by K. Leonard,,56-47,,
1:06.0,,,56-47,,Turnover by Z. LaVine (lost ball; steal by D. West)
1:00.0,,,56-47,,Personal foul by Z. LaVine
1:00.0,L. Aldridge makes free throw 1 of 2,1,57-47,,
1:00.0,L. Aldridge misses free throw 2 of 2,,57-47,,
1:00.0,,,57-47,,Defensive rebound by K. Towns
0:36.0,,,57-47,,A. Wiggins misses 2-pt shot from 2 ft (block by L. Aldridge)
0:34.0,Defensive rebound by D. West,,57-47,,
0:29.0,D. Green misses 3-pt shot from 25 ft,,57-47,,
0:28.0,Offensive rebound by L. Aldridge,,57-47,,
0:28.0,Shooting foul by R. Rubio (drawn by L. Aldridge),,57-47,,
0:28.0,L. Aldridge makes free throw 1 of 2,1,58-47,,
0:28.0,L. Aldridge makes free throw 2 of 2,1,59-47,,
0:07.0,,,59-47,,Z. LaVine misses 3-pt shot from 23 ft
0:06.0,,,59-47,,Offensive rebound by K. Towns
0:03.0,,,59-47,,Turnover by K. Towns (lost ball; steal by K. Leonard)
0:01.0,P. Mills misses 3-pt shot from 33 ft,,59-47,,
0:00.0,Offensive rebound by Team,,59-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,59-47,,Personal foul by R. Rubio
11:37.0,K. Leonard misses 3-pt shot from 25 ft,,59-47,,
11:35.0,,,59-47,,Defensive rebound by R. Rubio
11:26.0,,,59-49,2,A. Wiggins makes 2-pt shot from 17 ft
11:12.0,Turnover by A. Miller (lost ball; steal by G. Dieng),,59-49,,
10:57.0,,,59-51,2,K. Towns makes 2-pt shot from 20 ft (assist by R. Rubio)
10:39.0,L. Aldridge makes 2-pt shot from 13 ft,2,61-51,,
10:22.0,,,61-51,,A. Wiggins misses 2-pt shot from 12 ft (block by L. Aldridge)
10:21.0,Defensive rebound by A. Miller,,61-51,,
10:07.0,D. West makes 2-pt shot from 15 ft (assist by A. Miller),2,63-51,,
9:54.0,Personal foul by A. Miller,,63-51,,
9:49.0,,,63-53,2,G. Dieng makes 2-pt shot from 19 ft (assist by K. Towns)
9:39.0,K. Leonard makes 2-pt shot at rim,2,65-53,,
9:22.0,,,65-53,,R. Rubio misses 2-pt shot from 21 ft
9:20.0,Defensive rebound by D. Green,,65-53,,
9:17.0,,,65-53,,Personal foul by R. Rubio
9:11.0,,,65-53,,Personal foul by K. Towns
9:03.0,K. Leonard makes 2-pt shot from 19 ft,2,67-53,,
8:56.0,,,67-53,,Minnesota full timeout
8:45.0,,,67-53,,A. Wiggins misses 2-pt shot from 2 ft
8:44.0,Defensive rebound by K. Leonard,,67-53,,
8:35.0,K. Leonard misses 2-pt shot from 8 ft,,67-53,,
8:32.0,,,67-53,,Defensive rebound by G. Dieng
8:30.0,Violation by D. West (kicked ball),,67-53,,
8:22.0,,,67-53,,Turnover by K. Towns (lost ball; steal by D. Green)
8:03.0,A. Miller makes 3-pt shot from 25 ft (assist by L. Aldridge),3,70-53,,
7:38.0,,,70-53,,Turnover by R. Rubio (traveling)
7:21.0,K. Leonard makes 2-pt shot from 6 ft (assist by L. Aldridge),2,72-53,,
7:01.0,,,72-55,2,K. Towns makes 2-pt shot from 1 ft
6:54.0,D. West makes 2-pt shot at rim (assist by D. Green),2,74-55,,
6:41.0,,,74-55,,A. Wiggins misses 2-pt shot from 21 ft
6:38.0,Defensive rebound by D. West,,74-55,,
6:25.0,L. Aldridge makes 2-pt shot from 2 ft,2,76-55,,
6:21.0,,,76-55,,Minnesota full timeout
6:05.0,,,76-55,,G. Dieng misses 2-pt shot from 17 ft
6:04.0,Defensive rebound by D. Green,,76-55,,
5:51.0,Shooting foul by R. Rubio (drawn by A. Miller),,76-55,,
5:51.0,A. Miller makes free throw 1 of 2,1,77-55,,
5:51.0,,,77-55,,T. Jones enters the game for R. Rubio
5:51.0,K. Anderson enters the game for K. Leonard,,77-55,,
5:51.0,A. Miller makes free throw 2 of 2,1,78-55,,
5:41.0,,,78-57,2,Z. LaVine makes 2-pt shot from 18 ft
5:16.0,D. Green misses 3-pt shot from 26 ft,,78-57,,
5:15.0,,,78-57,,Defensive rebound by G. Dieng
5:05.0,,,78-57,,A. Wiggins misses 2-pt shot from 19 ft
5:04.0,Defensive rebound by A. Miller,,78-57,,
4:59.0,Shooting foul by G. Dieng (drawn by L. Aldridge),,78-57,,
4:59.0,L. Aldridge makes free throw 1 of 2,1,79-57,,
4:59.0,P. Mills enters the game for A. Miller,,79-57,,
4:59.0,B. Diaw enters the game for D. West,,79-57,,
4:59.0,L. Aldridge makes free throw 2 of 2,1,80-57,,
4:42.0,,,80-59,2,Z. LaVine makes 2-pt shot at rim
4:26.0,L. Aldridge makes 2-pt shot from 21 ft (assist by K. Anderson),2,82-59,,
4:07.0,,,82-61,2,A. Wiggins makes 2-pt shot from 3 ft (assist by T. Jones)
4:07.0,,,82-61,,Shooting foul by K. Anderson (drawn by A. Wiggins)
4:07.0,,,82-61,,A. Payne enters the game for G. Dieng
4:07.0,,,82-62,1,A. Wiggins makes free throw 1 of 1
3:50.0,B. Diaw makes 2-pt shot from 19 ft (assist by D. Green),2,84-62,,
3:25.0,,,84-62,,A. Wiggins misses 2-pt shot from 22 ft
3:25.0,Defensive rebound by B. Diaw,,84-62,,
3:15.0,K. Anderson misses 2-pt shot from 4 ft,,84-62,,
3:14.0,,,84-62,,Defensive rebound by A. Wiggins
3:10.0,,,84-62,,Turnover by A. Wiggins (lost ball; steal by B. Diaw)
3:04.0,L. Aldridge makes 2-pt shot from 1 ft (assist by B. Diaw),2,86-62,,
2:43.0,,,86-64,2,Z. LaVine makes 2-pt shot from 20 ft (assist by A. Payne)
2:24.0,D. Green misses 2-pt shot from 21 ft,,86-64,,
2:23.0,Offensive rebound by K. Anderson,,86-64,,
2:12.0,Turnover by K. Anderson (lost ball; steal by A. Payne),,86-64,,
2:07.0,,,86-66,2,K. Towns makes 2-pt shot from 1 ft (assist by T. Jones)
2:07.0,San Antonio full timeout,,86-66,,
2:07.0,J. Simmons enters the game for D. Green,,86-66,,
2:07.0,,,86-66,,S. Muhammad enters the game for A. Wiggins
2:07.0,D. West enters the game for L. Aldridge,,86-66,,
1:52.0,P. Mills makes 3-pt shot from 25 ft (assist by K. Anderson),3,89-66,,
1:36.0,,,89-66,,Shooting foul by B. Diaw (drawn by S. Muhammad)
1:36.0,,,89-67,1,S. Muhammad makes free throw 1 of 2
1:36.0,,,89-68,1,S. Muhammad makes free throw 2 of 2
1:16.0,B. Diaw makes 2-pt shot from 4 ft,2,91-68,,
1:03.0,,,91-68,,K. Towns misses 2-pt shot from 19 ft
1:02.0,Defensive rebound by P. Mills,,91-68,,
0:57.0,P. Mills misses 3-pt shot from 24 ft,,91-68,,
0:56.0,Offensive rebound by J. Simmons,,91-68,,
0:42.0,,,91-68,,Violation by Z. LaVine (kicked ball)
0:42.0,,,91-68,,G. Dieng enters the game for K. Towns
0:32.0,D. West makes 2-pt shot from 9 ft,2,93-68,,
0:09.0,,,93-68,,Turnover by G. Dieng (lost ball; steal by K. Anderson)
0:03.0,J. Simmons misses 2-pt shot at rim,,93-68,,
0:02.0,,,93-68,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,93-68,,A. Wiggins misses 2-pt shot from 17 ft
11:43.0,Defensive rebound by K. Anderson,,93-68,,
11:41.0,Turnover by K. Anderson (step out of bounds),,93-68,,
11:22.0,,,93-68,,Turnover by A. Payne (lost ball; steal by B. Diaw)
11:15.0,P. Mills misses 3-pt shot from 23 ft,,93-68,,
11:14.0,,,93-68,,Defensive rebound by A. Wiggins
11:05.0,,,93-68,,T. Jones misses 3-pt shot from 28 ft
11:04.0,Defensive rebound by D. West,,93-68,,
11:02.0,,,93-68,,Violation by G. Dieng (kicked ball)
10:52.0,B. Diaw misses 2-pt shot from 3 ft (block by G. Dieng),,93-68,,
10:51.0,,,93-68,,Defensive rebound by S. Muhammad
10:49.0,Shooting block foul by J. Simmons (drawn by S. Muhammad),,93-68,,
10:49.0,,,93-69,1,S. Muhammad makes free throw 1 of 2
10:49.0,,,93-70,1,S. Muhammad makes free throw 2 of 2
10:33.0,Offensive charge foul by P. Mills,,93-70,,
10:33.0,Turnover by P. Mills (offensive foul),,93-70,,
10:21.0,,,93-70,,A. Wiggins misses 2-pt shot from 20 ft
10:20.0,Defensive rebound by K. Anderson,,93-70,,
10:16.0,Turnover by K. Anderson (lost ball; steal by G. Dieng),,93-70,,
10:08.0,,,93-72,2,A. Wiggins makes 2-pt shot from 1 ft
10:08.0,San Antonio full timeout,,93-72,,
10:08.0,D. Green enters the game for P. Mills,,93-72,,
10:08.0,M. Bonner enters the game for B. Diaw,,93-72,,
10:08.0,A. Miller enters the game for K. Anderson,,93-72,,
9:48.0,D. West misses 2-pt shot from 20 ft,,93-72,,
9:47.0,,,93-72,,Defensive rebound by A. Wiggins
9:27.0,,,93-72,,G. Dieng misses 2-pt shot from 6 ft
9:25.0,Defensive rebound by M. Bonner,,93-72,,
9:18.0,J. Simmons makes 2-pt shot at rim (assist by A. Miller),2,95-72,,
9:04.0,,,95-72,,G. Dieng misses 2-pt shot from 15 ft
9:03.0,Defensive rebound by D. Green,,95-72,,
9:00.0,Turnover by D. Green (bad pass),,95-72,,
8:46.0,,,95-74,2,A. Wiggins makes 2-pt shot at rim (assist by A. Payne)
8:30.0,M. Bonner makes 3-pt shot from 24 ft (assist by D. West),3,98-74,,
8:14.0,,,98-76,2,A. Payne makes 2-pt shot from 2 ft (assist by T. Jones)
8:01.0,A. Miller makes 2-pt shot from 2 ft,2,100-76,,
7:46.0,,,100-76,,Turnover by A. Wiggins (lost ball; steal by J. Simmons)
7:42.0,J. Simmons makes 2-pt shot from 1 ft,2,102-76,,
7:42.0,,,102-76,,Minnesota full timeout
7:42.0,,,102-76,,K. Towns enters the game for A. Payne
7:30.0,,,102-79,3,T. Jones makes 3-pt shot from 25 ft
7:09.0,D. West makes 2-pt shot from 1 ft (assist by A. Miller),2,104-79,,
7:05.0,,,104-79,,Offensive foul by G. Dieng
7:05.0,,,104-79,,Turnover by G. Dieng (offensive foul)
6:46.0,,,104-79,,D. Rudez enters the game for G. Dieng
6:43.0,Turnover by D. West (lost ball; steal by A. Wiggins),,104-79,,
6:40.0,,,104-79,,Shooting foul by D. Green (drawn by S. Muhammad)
6:40.0,,,104-80,1,S. Muhammad makes free throw 1 of 2
6:40.0,,,104-80,,S. Muhammad misses free throw 2 of 2
6:40.0,Defensive rebound by M. Bonner,,104-80,,
6:22.0,D. West makes 2-pt shot from 1 ft (assist by M. Bonner),2,106-80,,
6:08.0,,,106-80,,A. Wiggins misses 2-pt shot from 3 ft (block by D. Green)
6:07.0,,,106-80,,Offensive rebound by Team
6:07.0,K. Anderson enters the game for D. Green,,106-80,,
6:00.0,,,106-82,2,A. Wiggins makes 2-pt shot from 3 ft (assist by S. Muhammad)
5:31.0,M. Bonner makes 2-pt shot from 21 ft,2,108-82,,
5:26.0,,,108-84,2,K. Towns makes 2-pt shot at rim (assist by T. Jones)
5:08.0,,,108-84,,Personal foul by A. Wiggins
5:08.0,R. Butler enters the game for A. Miller,,108-84,,
5:08.0,B. Marjanovic enters the game for D. West,,108-84,,
5:00.0,J. Simmons misses 2-pt shot from 1 ft,,108-84,,
4:59.0,Offensive rebound by B. Marjanovic,,108-84,,
4:48.0,B. Marjanovic misses 2-pt shot from 8 ft,,108-84,,
4:47.0,,,108-84,,Defensive rebound by K. Towns
4:37.0,,,108-86,2,T. Jones makes 2-pt shot from 6 ft
4:19.0,M. Bonner misses 3-pt shot from 25 ft,,108-86,,
4:18.0,Offensive rebound by B. Marjanovic,,108-86,,
4:17.0,B. Marjanovic misses 2-pt shot at rim,,108-86,,
4:15.0,,,108-86,,Defensive rebound by D. Rudez
4:02.0,,,108-86,,K. Towns misses 2-pt shot from 20 ft
4:01.0,Defensive rebound by J. Simmons,,108-86,,
3:44.0,M. Bonner misses 3-pt shot from 25 ft,,108-86,,
3:43.0,,,108-86,,Defensive rebound by A. Wiggins
3:43.0,Personal foul by K. Anderson,,108-86,,
3:32.0,,,108-86,,Turnover by A. Wiggins (lost ball; steal by K. Anderson)
3:30.0,Turnover by K. Anderson (step out of bounds),,108-86,,
3:25.0,,,108-88,2,A. Wiggins makes 2-pt shot from 1 ft
3:25.0,,,108-88,,Shooting foul by K. Anderson (drawn by A. Wiggins)
3:25.0,,,108-89,1,A. Wiggins makes free throw 1 of 1
3:00.0,K. Anderson makes 2-pt shot from 18 ft,2,110-89,,
2:47.0,,,110-89,,K. Towns misses 2-pt shot from 21 ft
2:46.0,Defensive rebound by K. Anderson,,110-89,,
2:27.0,R. Butler misses 3-pt shot from 26 ft,,110-89,,
2:26.0,,,110-89,,Defensive rebound by D. Rudez
2:14.0,,,110-91,2,A. Wiggins makes 2-pt shot from 20 ft
1:55.0,Shooting foul by S. Muhammad (drawn by J. Simmons),,110-91,,
1:55.0,San Antonio full timeout,,110-91,,
1:55.0,,,110-91,,Z. LaVine enters the game for A. Wiggins
1:55.0,,,110-91,,A. Payne enters the game for K. Towns
1:55.0,J. Simmons makes free throw 1 of 2,1,111-91,,
1:55.0,J. Simmons makes free throw 2 of 2,1,112-91,,
1:35.0,,,112-91,,D. Rudez misses 3-pt shot from 23 ft
1:34.0,Defensive rebound by B. Marjanovic,,112-91,,
1:15.0,B. Marjanovic misses 2-pt shot from 12 ft,,112-91,,
1:14.0,,,112-91,,Defensive rebound by Z. LaVine
1:02.0,,,112-91,,A. Payne misses 2-pt shot from 18 ft
1:01.0,Defensive rebound by J. Simmons,,112-91,,
0:47.0,K. Anderson makes 2-pt shot from 17 ft (assist by J. Simmons),2,114-91,,
0:37.0,,,114-91,,S. Muhammad misses 3-pt shot from 24 ft
0:37.0,Defensive rebound by B. Marjanovic,,114-91,,
0:13.0,K. Anderson makes 2-pt shot from 1 ft,2,116-91,,
0:06.0,,,116-91,,T. Jones misses 3-pt shot from 24 ft
0:05.0,Defensive rebound by B. Marjanovic,,116-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
