time,Dallas,pts.away,score,pts.home,Utah
4:29.0,,,14-11,,Turnover by D. Favors (lost ball; steal by R. Felton)
4:22.0,D. Harris misses 3-pt shot from 23 ft,,14-11,,
4:22.0,Offensive rebound by Z. Pachulia,,14-11,,
4:11.0,Shooting foul by R. Hood (drawn by D. Lee),,14-11,,
4:11.0,D. Lee makes free throw 1 of 2,1,15-11,,
4:11.0,,,15-11,,J. Ingles enters the game for G. Hayward
4:11.0,D. Lee makes free throw 2 of 2,1,16-11,,
3:59.0,Personal foul by R. Felton,,16-11,,
3:53.0,Personal foul by Z. Pachulia,,16-11,,
3:53.0,,,16-12,1,D. Favors makes free throw 1 of 2
3:53.0,S. Mejri enters the game for Z. Pachulia,,16-12,,
3:53.0,,,16-12,,D. Favors misses free throw 2 of 2
3:52.0,Defensive rebound by R. Felton,,16-12,,
3:34.0,Shooting foul by S. Mack (drawn by R. Felton),,16-12,,
3:34.0,R. Felton makes 2-pt shot from 9 ft,2,18-12,,
3:34.0,,,18-12,,R. Neto enters the game for S. Mack
3:34.0,R. Felton makes free throw 1 of 1,1,19-12,,
3:13.0,,,19-14,2,D. Favors makes 2-pt shot at rim (assist by R. Hood)
2:44.0,D. Lee misses 2-pt shot from 2 ft,,19-14,,
2:43.0,Offensive rebound by D. Lee,,19-14,,
2:42.0,D. Lee misses 2-pt shot from 1 ft,,19-14,,
2:41.0,Offensive rebound by D. Lee,,19-14,,
2:41.0,D. Lee makes 2-pt shot from 1 ft,2,21-14,,
2:21.0,,,21-14,,R. Hood misses 2-pt shot from 1 ft
2:20.0,Defensive rebound by D. Lee,,21-14,,
2:15.0,Turnover by D. Lee (lost ball),,21-14,,
2:15.0,Dallas full timeout,,21-14,,
1:58.0,,,21-14,,J. Ingles misses 3-pt shot from 23 ft
1:58.0,Defensive rebound by S. Mejri,,21-14,,
1:46.0,Shooting foul by T. Booker (drawn by S. Mejri),,21-14,,
1:46.0,S. Mejri makes free throw 1 of 2,1,22-14,,
1:46.0,S. Mejri misses free throw 2 of 2,,22-14,,
1:46.0,,,22-14,,Defensive rebound by D. Favors
1:20.0,,,22-17,3,J. Ingles makes 3-pt shot from 24 ft (assist by R. Neto)
1:11.0,,,22-17,,A. Burks enters the game for R. Hood
1:11.0,D. Nowitzki enters the game for D. Lee,,22-17,,
1:11.0,J. Barea enters the game for R. Felton,,22-17,,
1:00.0,Turnover by S. Mejri (offensive goaltending),,22-17,,
0:41.0,,,22-17,,D. Favors misses 2-pt shot from 2 ft
0:40.0,Defensive rebound by J. Barea,,22-17,,
0:20.0,W. Matthews misses 3-pt shot from 23 ft (block by T. Booker),,22-17,,
0:18.0,Offensive rebound by Team,,22-17,,
0:18.0,,,22-17,,R. Gobert enters the game for D. Favors
0:17.0,Turnover by J. Barea (lost ball; steal by A. Burks),,22-17,,
0:08.0,,,22-20,3,J. Ingles makes 3-pt shot from 24 ft (assist by R. Neto)
0:01.0,J. Barea misses 3-pt shot from 24 ft,,22-20,,
0:00.0,Offensive rebound by Team,,22-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,D. Nowitzki makes 2-pt shot from 3 ft,2,24-20,,
11:25.0,,,24-23,3,J. Ingles makes 3-pt shot from 22 ft (assist by G. Hayward)
11:10.0,D. Nowitzki misses 3-pt shot from 23 ft,,24-23,,
11:09.0,,,24-23,,Defensive rebound by A. Burks
11:04.0,,,24-23,,Turnover by A. Burks (lost ball; steal by D. Harris)
10:58.0,D. Harris misses 2-pt shot from 10 ft,,24-23,,
10:57.0,Offensive rebound by D. Harris,,24-23,,
10:54.0,S. Mejri misses 2-pt shot from 2 ft,,24-23,,
10:52.0,,,24-23,,Defensive rebound by R. Gobert
10:43.0,,,24-23,,Turnover by J. Ingles (lost ball)
10:43.0,D. Williams enters the game for D. Harris,,24-23,,
10:24.0,J. Barea makes 3-pt shot from 24 ft (assist by D. Williams),3,27-23,,
9:59.0,,,27-23,,Turnover by G. Hayward (lost ball; steal by J. Barea)
9:52.0,J. Anderson misses 3-pt shot from 25 ft,,27-23,,
9:50.0,,,27-23,,Defensive rebound by A. Burks
9:40.0,,,27-23,,Turnover by G. Hayward (lost ball; steal by D. Nowitzki)
9:37.0,D. Williams makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,29-23,,
9:37.0,,,29-23,,Utah full timeout
9:37.0,,,29-23,,T. Lyles enters the game for T. Booker
9:37.0,,,29-23,,S. Mack enters the game for A. Burks
9:20.0,,,29-23,,G. Hayward misses 3-pt shot from 24 ft
9:19.0,Defensive rebound by D. Williams,,29-23,,
9:10.0,Turnover by D. Williams (bad pass),,29-23,,
9:02.0,,,29-23,,G. Hayward misses 3-pt shot from 24 ft
9:01.0,Defensive rebound by D. Nowitzki,,29-23,,
8:53.0,J. Barea misses 3-pt shot from 23 ft,,29-23,,
8:52.0,,,29-23,,Defensive rebound by J. Ingles
8:42.0,,,29-25,2,G. Hayward makes 2-pt shot from 8 ft
8:42.0,,,29-25,,Shooting foul by J. Barea (drawn by G. Hayward)
8:42.0,,,29-25,,G. Hayward misses free throw 1 of 1
8:41.0,,,29-25,,Offensive rebound by R. Gobert
8:35.0,,,29-25,,T. Lyles misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by D. Nowitzki,,29-25,,
8:13.0,S. Mejri makes 2-pt shot at rim (assist by D. Nowitzki),2,31-25,,
7:54.0,,,31-25,,R. Gobert misses 2-pt shot from 5 ft
7:54.0,,,31-25,,Offensive rebound by R. Gobert
7:53.0,,,31-25,,Shooting foul by S. Mejri (drawn by R. Gobert)
7:53.0,,,31-25,,R. Gobert misses free throw 1 of 2
7:53.0,,,31-25,,Offensive rebound by Team
7:53.0,,,31-25,,R. Hood enters the game for J. Ingles
7:53.0,,,31-26,1,R. Gobert makes free throw 2 of 2
7:42.0,S. Mejri misses 2-pt shot at rim (block by G. Hayward),,31-26,,
7:41.0,,,31-26,,Defensive rebound by T. Lyles
7:33.0,,,31-26,,Utah full timeout
7:33.0,D. Lee enters the game for S. Mejri,,31-26,,
7:33.0,Z. Pachulia enters the game for D. Nowitzki,,31-26,,
7:33.0,,,31-26,,D. Favors enters the game for R. Gobert
7:26.0,,,31-26,,Turnover by T. Lyles (step out of bounds)
7:14.0,D. Williams makes 2-pt shot from 10 ft (assist by J. Barea),2,33-26,,
6:58.0,,,33-28,2,G. Hayward makes 2-pt shot from 11 ft
6:42.0,D. Williams misses 3-pt shot from 23 ft,,33-28,,
6:41.0,,,33-28,,Defensive rebound by T. Lyles
6:25.0,,,33-30,2,G. Hayward makes 2-pt shot from 8 ft
6:25.0,Dallas full timeout,,33-30,,
6:25.0,W. Matthews enters the game for J. Anderson,,33-30,,
6:25.0,R. Felton enters the game for J. Barea,,33-30,,
6:08.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Williams),2,35-30,,
5:53.0,Personal foul by R. Felton,,35-30,,
5:48.0,,,35-30,,S. Mack misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by D. Williams,,35-30,,
5:38.0,D. Williams makes 2-pt shot from 13 ft,2,37-30,,
5:17.0,,,37-32,2,G. Hayward makes 2-pt shot from 5 ft
5:00.0,D. Williams misses 2-pt shot from 21 ft,,37-32,,
4:59.0,,,37-32,,Defensive rebound by T. Lyles
4:50.0,,,37-35,3,R. Hood makes 3-pt shot from 23 ft (assist by G. Hayward)
4:31.0,D. Williams makes 2-pt shot from 15 ft (assist by Z. Pachulia),2,39-35,,
4:31.0,Shooting foul by R. Hood (drawn by D. Williams),,39-35,,
4:31.0,,,39-35,,J. Ingles enters the game for S. Mack
4:31.0,,,39-35,,T. Booker enters the game for T. Lyles
4:31.0,D. Williams makes free throw 1 of 1,1,40-35,,
4:13.0,,,40-37,2,D. Favors makes 2-pt shot from 12 ft (assist by T. Booker)
4:06.0,Dallas full timeout,,40-37,,
4:06.0,D. Nowitzki enters the game for D. Lee,,40-37,,
3:40.0,Shooting foul by T. Booker (drawn by Z. Pachulia),,40-37,,
3:40.0,Z. Pachulia makes free throw 1 of 2,1,41-37,,
3:40.0,,,41-37,,S. Mack enters the game for R. Hood
3:40.0,Z. Pachulia misses free throw 2 of 2,,41-37,,
3:39.0,,,41-37,,Defensive rebound by T. Booker
3:23.0,,,41-40,3,T. Booker makes 3-pt shot from 23 ft (assist by G. Hayward)
3:01.0,R. Felton misses 2-pt shot from 19 ft,,41-40,,
3:00.0,,,41-40,,Defensive rebound by G. Hayward
2:46.0,,,41-40,,T. Booker misses 2-pt shot from 3 ft
2:45.0,Defensive rebound by D. Nowitzki,,41-40,,
2:36.0,,,41-40,,Personal foul by J. Ingles
2:36.0,Dallas full timeout,,41-40,,
2:36.0,,,41-40,,Technical foul by J. Ingles
2:36.0,Technical foul by D. Nowitzki,,41-40,,
2:36.0,J. Barea enters the game for R. Felton,,41-40,,
2:27.0,D. Williams makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,44-40,,
2:06.0,,,44-42,2,S. Mack makes 2-pt shot from 2 ft
1:55.0,D. Williams misses 3-pt shot from 24 ft,,44-42,,
1:53.0,Offensive rebound by J. Barea,,44-42,,
1:29.0,J. Barea misses 2-pt shot from 12 ft,,44-42,,
1:28.0,,,44-42,,Defensive rebound by Team
1:19.0,,,44-44,2,G. Hayward makes 2-pt shot at rim (assist by T. Booker)
1:00.0,W. Matthews makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,46-44,,
0:45.0,,,46-44,,D. Favors misses 2-pt shot from 5 ft
0:44.0,Defensive rebound by D. Nowitzki,,46-44,,
0:36.0,D. Williams makes 2-pt shot from 5 ft,2,48-44,,
0:30.0,,,48-44,,G. Hayward misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by D. Nowitzki,,48-44,,
0:08.0,D. Williams makes 2-pt shot from 20 ft,2,50-44,,
0:01.0,,,50-46,2,S. Mack makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:33.0,D. Nowitzki misses 3-pt shot from 25 ft,,50-46,,
11:33.0,,,50-46,,Defensive rebound by R. Hood
11:14.0,,,50-46,,G. Hayward misses 3-pt shot from 23 ft
11:14.0,Defensive rebound by D. Nowitzki,,50-46,,
10:52.0,W. Matthews makes 3-pt shot from 24 ft,3,53-46,,
10:35.0,,,53-48,2,D. Favors makes 2-pt shot from 14 ft (assist by S. Mack)
10:15.0,D. Nowitzki makes 2-pt shot from 14 ft,2,55-48,,
9:57.0,,,55-48,,D. Favors misses 2-pt shot from 1 ft
9:57.0,,,55-48,,Offensive rebound by D. Favors
9:57.0,,,55-50,2,D. Favors makes 2-pt shot from 1 ft
9:41.0,Z. Pachulia misses 2-pt shot from 2 ft,,55-50,,
9:40.0,Offensive rebound by Z. Pachulia,,55-50,,
9:39.0,Z. Pachulia misses 2-pt shot from 2 ft (block by D. Favors),,55-50,,
9:38.0,Offensive rebound by Z. Pachulia,,55-50,,
9:36.0,Z. Pachulia makes 2-pt shot from 2 ft,2,57-50,,
9:16.0,,,57-50,,G. Hayward misses 3-pt shot from 23 ft
9:15.0,Defensive rebound by Z. Pachulia,,57-50,,
9:05.0,J. Barea misses 3-pt shot from 25 ft,,57-50,,
9:04.0,,,57-50,,Defensive rebound by G. Hayward
8:45.0,,,57-52,2,T. Lyles makes 2-pt shot from 1 ft
8:18.0,D. Nowitzki misses 2-pt shot from 16 ft,,57-52,,
8:17.0,,,57-52,,Defensive rebound by D. Favors
8:07.0,,,57-52,,Turnover by S. Mack (lost ball; steal by J. Barea)
7:53.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams),3,60-52,,
7:53.0,,,60-52,,Utah full timeout
7:53.0,,,60-52,,T. Booker enters the game for T. Lyles
7:38.0,,,60-52,,G. Hayward misses 3-pt shot from 23 ft
7:36.0,Defensive rebound by Z. Pachulia,,60-52,,
7:15.0,D. Nowitzki misses 2-pt shot from 14 ft,,60-52,,
7:14.0,Offensive rebound by Z. Pachulia,,60-52,,
6:59.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by W. Matthews),3,63-52,,
6:37.0,,,63-52,,R. Hood misses 3-pt shot from 23 ft
6:36.0,Defensive rebound by Z. Pachulia,,63-52,,
6:16.0,J. Barea misses 3-pt shot from 24 ft,,63-52,,
6:15.0,,,63-52,,Defensive rebound by G. Hayward
6:06.0,,,63-52,,S. Mack misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by D. Williams,,63-52,,
5:48.0,W. Matthews misses 3-pt shot from 24 ft,,63-52,,
5:47.0,,,63-52,,Defensive rebound by S. Mack
5:41.0,,,63-54,2,S. Mack makes 2-pt shot from 12 ft
5:16.0,D. Williams makes 3-pt shot from 23 ft (assist by J. Barea),3,66-54,,
5:04.0,,,66-56,2,S. Mack makes 2-pt shot from 6 ft
5:04.0,Dallas full timeout,,66-56,,
5:04.0,D. Lee enters the game for D. Nowitzki,,66-56,,
5:04.0,R. Felton enters the game for J. Barea,,66-56,,
5:04.0,,,66-56,,A. Burks enters the game for R. Hood
4:49.0,Turnover by D. Williams (lost ball; steal by A. Burks),,66-56,,
4:43.0,,,66-58,2,G. Hayward makes 2-pt shot from 1 ft (assist by A. Burks)
4:26.0,D. Williams misses 2-pt shot from 13 ft,,66-58,,
4:25.0,,,66-58,,Defensive rebound by T. Booker
4:03.0,,,66-60,2,D. Favors makes 2-pt shot from 7 ft
3:39.0,Z. Pachulia misses 2-pt shot from 7 ft,,66-60,,
3:39.0,,,66-60,,Defensive rebound by S. Mack
3:30.0,,,66-62,2,T. Booker makes 2-pt shot at rim (assist by S. Mack)
3:30.0,Dallas full timeout,,66-62,,
3:15.0,D. Williams misses 2-pt shot from 1 ft,,66-62,,
3:14.0,,,66-62,,Defensive rebound by Team
3:00.0,Personal foul by W. Matthews,,66-62,,
2:46.0,,,66-62,,D. Favors misses 2-pt shot from 11 ft
2:46.0,Defensive rebound by D. Lee,,66-62,,
2:23.0,R. Felton misses 2-pt shot from 3 ft,,66-62,,
2:22.0,,,66-62,,Defensive rebound by A. Burks
2:17.0,,,66-64,2,T. Booker makes 2-pt shot from 1 ft (assist by A. Burks)
1:47.0,Turnover by Z. Pachulia (lost ball; steal by D. Favors),,66-64,,
1:41.0,,,66-64,,G. Hayward misses 3-pt shot from 23 ft
1:39.0,Defensive rebound by R. Felton,,66-64,,
1:15.0,W. Matthews makes 3-pt shot from 24 ft,3,69-64,,
0:47.0,,,69-64,,G. Hayward misses 3-pt shot from 23 ft
0:46.0,Defensive rebound by Team,,69-64,,
0:46.0,D. Nowitzki enters the game for Z. Pachulia,,69-64,,
0:46.0,J. Barea enters the game for D. Williams,,69-64,,
0:36.0,R. Felton makes 2-pt shot from 2 ft,2,71-64,,
0:29.0,,,71-64,,S. Mack misses 3-pt shot from 24 ft
0:29.0,,,71-64,,Offensive rebound by Team
0:26.0,S. Mejri enters the game for D. Nowitzki,,71-64,,
0:06.0,,,71-64,,S. Mack misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by J. Barea,,71-64,,
0:01.0,W. Matthews misses 3-pt shot from 25 ft,,71-64,,
0:00.0,Offensive rebound by Team,,71-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,71-64,,R. Hood misses 3-pt shot from 24 ft
11:46.0,Defensive rebound by D. Nowitzki,,71-64,,
11:28.0,R. Felton makes 2-pt shot from 15 ft (assist by S. Mejri),2,73-64,,
11:02.0,,,73-64,,J. Ingles misses 3-pt shot from 22 ft
11:00.0,Defensive rebound by S. Mejri,,73-64,,
10:59.0,Turnover by J. Barea (traveling),,73-64,,
10:52.0,,,73-64,,J. Withey misses 2-pt shot from 3 ft (block by D. Nowitzki)
10:51.0,Defensive rebound by J. Barea,,73-64,,
10:37.0,J. Anderson misses 3-pt shot from 22 ft,,73-64,,
10:37.0,,,73-64,,Defensive rebound by R. Neto
10:27.0,,,73-64,,R. Hood misses 3-pt shot from 24 ft
10:26.0,,,73-64,,Offensive rebound by J. Withey
10:19.0,,,73-66,2,J. Withey makes 2-pt shot from 3 ft (assist by R. Neto)
9:58.0,Shooting foul by T. Lyles (drawn by D. Nowitzki),,73-66,,
9:58.0,D. Nowitzki makes free throw 1 of 2,1,74-66,,
9:58.0,D. Nowitzki makes free throw 2 of 2,1,75-66,,
9:36.0,,,75-66,,R. Neto misses 2-pt shot from 14 ft
9:35.0,Defensive rebound by R. Felton,,75-66,,
9:12.0,J. Barea misses 2-pt shot from 15 ft,,75-66,,
9:12.0,,,75-66,,Defensive rebound by J. Withey
9:01.0,,,75-66,,R. Hood misses 2-pt shot from 12 ft
9:00.0,,,75-66,,Offensive rebound by R. Hood
8:52.0,,,75-66,,Turnover by T. Lyles (lost ball; steal by J. Barea)
8:36.0,R. Felton misses 2-pt shot from 20 ft,,75-66,,
8:35.0,,,75-66,,Defensive rebound by R. Neto
8:14.0,,,75-66,,R. Neto misses 2-pt shot from 2 ft
8:14.0,Defensive rebound by D. Nowitzki,,75-66,,
8:02.0,J. Barea makes 2-pt shot from 10 ft,2,77-66,,
8:02.0,,,77-66,,Utah full timeout
8:02.0,,,77-66,,G. Hayward enters the game for J. Ingles
8:02.0,,,77-66,,A. Burks enters the game for R. Neto
8:02.0,,,77-66,,D. Favors enters the game for J. Withey
8:02.0,D. Lee enters the game for D. Nowitzki,,77-66,,
8:02.0,D. Williams enters the game for J. Barea,,77-66,,
8:02.0,W. Matthews enters the game for J. Anderson,,77-66,,
7:49.0,,,77-66,,Shooting foul by D. Lee (drawn by T. Lyles)
7:49.0,,,77-67,1,T. Lyles makes free throw 1 of 2
7:49.0,,,77-68,1,T. Lyles makes free throw 2 of 2
7:31.0,W. Matthews makes 2-pt shot from 17 ft,2,79-68,,
7:13.0,,,79-68,,Shooting foul by R. Felton (drawn by R. Hood)
7:13.0,,,79-68,,R. Hood misses free throw 1 of 2
7:13.0,,,79-68,,Offensive rebound by Team
7:13.0,,,79-69,1,R. Hood makes free throw 2 of 2
6:53.0,S. Mejri makes 2-pt shot at rim (assist by D. Williams),2,81-69,,
6:38.0,,,81-69,,D. Favors misses 2-pt shot from 15 ft
6:37.0,Defensive rebound by S. Mejri,,81-69,,
6:12.0,W. Matthews misses 3-pt shot from 24 ft,,81-69,,
6:11.0,,,81-69,,Defensive rebound by T. Lyles
6:02.0,,,81-69,,Shooting foul by S. Mejri (drawn by T. Lyles)
6:02.0,,,81-70,1,T. Lyles makes free throw 1 of 2
6:02.0,,,81-70,,S. Mack enters the game for A. Burks
6:02.0,,,81-71,1,T. Lyles makes free throw 2 of 2
5:43.0,W. Matthews makes 3-pt shot from 23 ft (assist by D. Lee),3,84-71,,
5:21.0,,,84-71,,T. Lyles misses 3-pt shot from 24 ft
5:21.0,Defensive rebound by R. Felton,,84-71,,
5:06.0,S. Mejri makes 2-pt shot from 1 ft (assist by D. Williams),2,86-71,,
4:43.0,,,86-74,3,S. Mack makes 3-pt shot from 24 ft (assist by T. Lyles)
4:42.0,Dallas full timeout,,86-74,,
4:42.0,D. Nowitzki enters the game for D. Lee,,86-74,,
4:42.0,,,86-74,,T. Booker enters the game for T. Lyles
4:42.0,,,86-74,,J. Ingles enters the game for D. Favors
4:42.0,J. Anderson enters the game for S. Mejri,,86-74,,
4:28.0,R. Felton misses 2-pt shot from 1 ft,,86-74,,
4:27.0,Offensive rebound by J. Anderson,,86-74,,
4:26.0,J. Anderson makes 2-pt shot from 2 ft,2,88-74,,
4:12.0,,,88-74,,R. Hood misses 3-pt shot from 24 ft
4:10.0,Defensive rebound by J. Anderson,,88-74,,
3:49.0,R. Felton misses 2-pt shot from 6 ft,,88-74,,
3:49.0,,,88-74,,Defensive rebound by Team
3:49.0,Loose ball foul by J. Anderson,,88-74,,
3:36.0,,,88-76,2,S. Mack makes 2-pt shot from 4 ft
3:11.0,D. Williams misses 3-pt shot from 24 ft,,88-76,,
3:09.0,,,88-76,,Defensive rebound by J. Ingles
3:03.0,,,88-78,2,S. Mack makes 2-pt shot from 2 ft (assist by J. Ingles)
2:50.0,Turnover by D. Nowitzki (lost ball; steal by J. Ingles),,88-78,,
2:42.0,,,88-80,2,G. Hayward makes 2-pt shot from 2 ft (assist by J. Ingles)
2:42.0,Dallas full timeout,,88-80,,
2:35.0,,,88-80,,Personal foul by T. Booker
2:22.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,91-80,,
2:03.0,,,91-80,,J. Ingles misses 3-pt shot from 24 ft
2:03.0,Defensive rebound by J. Anderson,,91-80,,
1:47.0,D. Nowitzki misses 3-pt shot from 25 ft,,91-80,,
1:47.0,,,91-80,,Defensive rebound by G. Hayward
1:43.0,,,91-82,2,G. Hayward makes 2-pt shot from 1 ft
1:43.0,,,91-82,,Shooting foul by R. Felton (drawn by G. Hayward)
1:43.0,,,91-83,1,G. Hayward makes free throw 1 of 1
1:23.0,R. Felton misses 2-pt shot from 1 ft,,91-83,,
1:22.0,,,91-83,,Defensive rebound by G. Hayward
1:14.0,,,91-85,2,G. Hayward makes 2-pt shot from 10 ft
1:09.0,,,91-85,,Personal foul by J. Ingles
0:50.0,Shooting foul by S. Mack (drawn by D. Williams),,91-85,,
0:50.0,D. Williams makes free throw 1 of 2,1,92-85,,
0:50.0,D. Williams makes free throw 2 of 2,1,93-85,,
0:50.0,,,93-85,,Utah full timeout
0:50.0,D. Harris enters the game for D. Nowitzki,,93-85,,
0:43.0,,,93-87,2,T. Booker makes 2-pt shot at rim (assist by G. Hayward)
0:30.0,J. Anderson makes 2-pt shot at rim,2,95-87,,
0:30.0,,,95-87,,Utah full timeout
0:30.0,,,95-87,,T. Lyles enters the game for T. Booker
0:25.0,,,95-87,,R. Hood misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by D. Harris,,95-87,,
0:25.0,,,95-87,,Personal foul by J. Ingles
0:25.0,D. Harris misses free throw 1 of 2,,95-87,,
0:25.0,Offensive rebound by Team,,95-87,,
0:25.0,D. Harris makes free throw 2 of 2,1,96-87,,
0:18.0,,,96-90,3,G. Hayward makes 3-pt shot from 26 ft (assist by R. Hood)
0:16.0,,,96-90,,Personal foul by S. Mack
0:16.0,R. Felton makes free throw 1 of 2,1,97-90,,
0:16.0,R. Felton misses free throw 2 of 2,,97-90,,
0:16.0,,,97-90,,Defensive rebound by R. Hood
0:08.0,Personal foul by W. Matthews,,97-90,,
0:08.0,,,97-91,1,G. Hayward makes free throw 1 of 2
0:08.0,D. Nowitzki enters the game for D. Harris,,97-91,,
0:08.0,Z. Pachulia enters the game for J. Anderson,,97-91,,
0:08.0,,,97-92,1,G. Hayward makes free throw 2 of 2
0:08.0,,,97-92,,Personal foul by G. Hayward
0:08.0,R. Felton makes free throw 1 of 2,1,98-92,,
0:08.0,J. Anderson enters the game for Z. Pachulia,,98-92,,
0:08.0,D. Harris enters the game for D. Nowitzki,,98-92,,
0:08.0,R. Felton makes free throw 2 of 2,1,99-92,,
0:08.0,,,99-92,,Utah full timeout
0:03.0,,,99-92,,G. Hayward misses 2-pt shot at rim (block by J. Anderson)
0:02.0,Defensive rebound by W. Matthews,,99-92,,
0:01.0,,,99-92,,Personal foul by R. Hood
0:01.0,W. Matthews makes free throw 1 of 2,1,100-92,,
0:01.0,W. Matthews makes free throw 2 of 2,1,101-92,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
