time,Utah,pts.away,score,pts.home,Dallas
2:33.0,,,16-17,,W. Matthews misses 3-pt shot from 24 ft
2:32.0,,,16-17,,Offensive rebound by D. Powell
2:23.0,,,16-19,2,D. Powell makes 2-pt shot from 18 ft (assist by D. Harris)
1:54.0,G. Hayward makes 3-pt shot from 29 ft,3,19-19,,
1:29.0,,,19-19,,R. Felton misses 3-pt shot from 23 ft
1:28.0,Defensive rebound by R. Gobert,,19-19,,
1:23.0,,,19-19,,Personal foul by R. Felton (drawn by G. Hayward)
1:23.0,,,19-19,,D. Nowitzki enters the game for Z. Pachulia
1:23.0,D. Favors enters the game for R. Gobert,,19-19,,
1:10.0,,,19-19,,Shooting block foul by D. Powell (drawn by A. Burks)
1:10.0,A. Burks makes free throw 1 of 2,1,20-19,,
1:10.0,A. Burks makes free throw 2 of 2,1,21-19,,
0:59.0,,,21-19,,D. Nowitzki misses 2-pt shot from 17 ft
0:58.0,Defensive rebound by G. Hayward,,21-19,,
0:41.0,J. Ingles enters the game for G. Hayward,,21-19,,
0:35.0,T. Burke makes 2-pt shot from 20 ft (assist by D. Favors),2,23-19,,
0:17.0,,,23-19,,Shooting foul by T. Lyles (drawn by R. Felton)
0:17.0,,,23-20,1,R. Felton makes free throw 1 of 2
0:17.0,,,23-20,,Z. Pachulia enters the game for D. Nowitzki
0:17.0,,,23-20,,J. Evans enters the game for D. Powell
0:17.0,,,23-21,1,R. Felton makes free throw 2 of 2
0:04.0,A. Burks makes 3-pt shot from 24 ft,3,26-21,,
0:00.0,,,26-21,,R. Felton misses 3-pt shot from 46 ft
0:00.0,,,26-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,T. Burke misses 2-pt shot from 12 ft,,26-21,,
11:34.0,,,26-21,,Defensive rebound by D. Nowitzki
11:22.0,,,26-23,2,D. Nowitzki makes 2-pt shot from 12 ft
11:07.0,D. Favors misses 2-pt shot from 4 ft (block by D. Powell),,26-23,,
11:05.0,Offensive rebound by D. Favors,,26-23,,
11:04.0,D. Favors misses 2-pt shot from 2 ft,,26-23,,
11:03.0,Offensive rebound by D. Favors,,26-23,,
11:03.0,D. Favors makes 2-pt shot from 2 ft,2,28-23,,
10:42.0,,,28-23,,W. Matthews misses 3-pt shot from 23 ft
10:41.0,Defensive rebound by A. Burks,,28-23,,
10:32.0,A. Burks makes 2-pt shot from 1 ft,2,30-23,,
10:13.0,,,30-25,2,D. Powell makes 2-pt shot from 1 ft (assist by R. Felton)
10:13.0,,,30-25,,Shooting foul by T. Lyles (drawn by D. Powell)
10:13.0,,,30-25,,J. Barea enters the game for W. Matthews
10:13.0,,,30-25,,C. Parsons enters the game for D. Harris
10:13.0,J. Withey enters the game for T. Lyles,,30-25,,
10:13.0,,,30-26,1,D. Powell makes free throw 1 of 1
9:48.0,J. Ingles misses 2-pt shot from 23 ft,,30-26,,
9:47.0,,,30-26,,Defensive rebound by D. Nowitzki
9:38.0,,,30-26,,R. Felton misses 2-pt shot from 20 ft
9:37.0,Defensive rebound by A. Burks,,30-26,,
9:31.0,A. Burks makes 2-pt shot from 2 ft,2,32-26,,
9:30.0,,,32-26,,Dallas full timeout
9:16.0,,,32-26,,D. Nowitzki misses 2-pt shot from 19 ft
9:15.0,Defensive rebound by T. Burke,,32-26,,
9:15.0,Turnover by T. Burke (lost ball; steal by D. Powell),,32-26,,
9:13.0,,,32-26,,Shooting foul by J. Withey (drawn by D. Powell)
9:13.0,,,32-27,1,D. Powell makes free throw 1 of 2
9:13.0,,,32-28,1,D. Powell makes free throw 2 of 2
9:03.0,R. Hood enters the game for T. Burke,,32-28,,
9:03.0,R. Neto enters the game for J. Ingles,,32-28,,
8:50.0,R. Neto misses 2-pt shot from 4 ft (block by D. Nowitzki),,32-28,,
8:48.0,,,32-28,,Defensive rebound by J. Barea
8:42.0,,,32-31,3,C. Parsons makes 3-pt shot from 24 ft (assist by J. Barea)
8:24.0,,,32-31,,Personal foul by C. Parsons (drawn by A. Burks)
8:24.0,R. Gobert enters the game for J. Withey,,32-31,,
8:15.0,R. Neto misses 2-pt shot from 12 ft,,32-31,,
8:14.0,,,32-31,,Defensive rebound by J. Barea
7:59.0,,,32-33,2,J. Barea makes 2-pt shot from 7 ft
7:44.0,R. Hood misses 3-pt shot from 24 ft,,32-33,,
7:43.0,Offensive rebound by R. Gobert,,32-33,,
7:41.0,Offensive foul by R. Gobert,,32-33,,
7:41.0,Turnover by R. Gobert (offensive foul),,32-33,,
7:41.0,G. Hayward enters the game for A. Burks,,32-33,,
7:41.0,,,32-33,,D. Williams enters the game for D. Nowitzki
7:41.0,,,32-33,,C. Villanueva enters the game for D. Powell
7:41.0,,,32-33,,Z. Pachulia enters the game for R. Felton
7:41.0,T. Booker enters the game for R. Gobert,,32-33,,
7:32.0,Personal block foul by R. Neto,,32-33,,
7:24.0,,,32-35,2,Z. Pachulia makes 2-pt shot from 1 ft
7:10.0,Turnover by R. Neto (step out of bounds),,32-35,,
6:55.0,,,32-35,,C. Parsons misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by T. Booker,,32-35,,
6:37.0,D. Favors misses 2-pt shot from 1 ft,,32-35,,
6:36.0,,,32-35,,Defensive rebound by C. Parsons
6:36.0,Personal foul by D. Favors (drawn by Z. Pachulia),,32-35,,
6:36.0,A. Burks enters the game for R. Neto,,32-35,,
6:22.0,,,32-35,,C. Villanueva misses 3-pt shot from 23 ft
6:21.0,Defensive rebound by D. Favors,,32-35,,
6:02.0,T. Booker misses 2-pt shot from 7 ft,,32-35,,
6:02.0,,,32-35,,Defensive rebound by Z. Pachulia
5:45.0,,,32-35,,Shooting foul by T. Booker (drawn by Z. Pachulia)
5:45.0,Official timeout,,32-35,,
5:45.0,Technical foul by D. Favors,,32-35,,
5:45.0,C. Johnson enters the game for T. Booker,,32-35,,
5:45.0,,,32-36,1,D. Williams makes technical free throw
5:45.0,,,32-37,1,Z. Pachulia makes free throw 1 of 2
5:45.0,,,32-38,1,Z. Pachulia makes free throw 2 of 2
5:28.0,A. Burks misses 2-pt shot from 18 ft,,32-38,,
5:27.0,Offensive rebound by D. Favors,,32-38,,
5:26.0,,,32-38,,Personal foul by Z. Pachulia (drawn by D. Favors)
5:21.0,Shooting foul by D. Williams (drawn by R. Hood),,32-38,,
5:21.0,R. Hood makes free throw 1 of 2,1,33-38,,
5:21.0,R. Hood misses free throw 2 of 2,,33-38,,
5:20.0,,,33-38,,Defensive rebound by Z. Pachulia
5:01.0,,,33-38,,Z. Pachulia misses 2-pt shot from 20 ft
5:00.0,Defensive rebound by A. Burks,,33-38,,
4:51.0,G. Hayward misses 2-pt shot from 8 ft,,33-38,,
4:50.0,Offensive rebound by D. Favors,,33-38,,
4:47.0,,,33-38,,D. Nowitzki enters the game for C. Villanueva
4:47.0,,,33-38,,W. Matthews enters the game for C. Parsons
4:42.0,R. Hood misses 3-pt shot from 24 ft,,33-38,,
4:40.0,Offensive rebound by G. Hayward,,33-38,,
4:38.0,Turnover by G. Hayward (lost ball; steal by D. Williams),,33-38,,
4:37.0,Personal take foul by A. Burks (drawn by D. Williams),,33-38,,
4:37.0,,,33-39,1,D. Williams makes free throw 1 of 2
4:37.0,T. Burke enters the game for C. Johnson,,33-39,,
4:37.0,,,33-40,1,D. Williams makes free throw 2 of 2
4:17.0,G. Hayward makes 2-pt shot from 12 ft (assist by D. Favors),2,35-40,,
4:03.0,,,35-42,2,J. Barea makes 2-pt shot from 10 ft
3:38.0,R. Hood misses 2-pt shot from 14 ft,,35-42,,
3:37.0,,,35-42,,Defensive rebound by D. Williams
3:16.0,,,35-42,,W. Matthews misses 3-pt shot from 22 ft
3:15.0,,,35-42,,Offensive rebound by Z. Pachulia
3:03.0,,,35-44,2,W. Matthews makes 2-pt shot at rim (assist by Z. Pachulia)
2:45.0,A. Burks misses 3-pt shot from 24 ft,,35-44,,
2:45.0,,,35-44,,Defensive rebound by Z. Pachulia
2:33.0,,,35-46,2,Z. Pachulia makes 2-pt shot at rim (assist by D. Williams)
2:33.0,Utah full timeout,,35-46,,
2:33.0,R. Gobert enters the game for T. Burke,,35-46,,
2:21.0,G. Hayward makes 2-pt shot from 14 ft,2,37-46,,
2:21.0,,,37-46,,Away from play foul by W. Matthews (drawn by R. Gobert)
2:21.0,R. Gobert makes free throw 1 of 1,1,38-46,,
2:06.0,,,38-48,2,J. Barea makes 2-pt shot from 11 ft
1:41.0,R. Hood misses 2-pt shot from 15 ft,,38-48,,
1:39.0,Offensive rebound by R. Gobert,,38-48,,
1:39.0,R. Gobert makes 2-pt shot at rim,2,40-48,,
1:15.0,,,40-50,2,D. Nowitzki makes 2-pt shot from 12 ft (assist by J. Barea)
1:05.0,A. Burks misses 2-pt shot from 5 ft,,40-50,,
1:03.0,,,40-50,,Defensive rebound by D. Williams
0:59.0,,,40-53,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams)
0:43.0,D. Favors makes 2-pt shot from 3 ft (assist by R. Hood),2,42-53,,
0:30.0,,,42-56,3,D. Williams makes 3-pt shot from 24 ft
0:08.0,Shooting foul by D. Nowitzki (drawn by R. Gobert),,42-56,,
0:08.0,R. Gobert makes free throw 1 of 2,1,43-56,,
0:08.0,R. Gobert misses free throw 2 of 2,,43-56,,
0:08.0,,,43-56,,Defensive rebound by Z. Pachulia
0:00.0,,,43-56,,D. Williams misses 2-pt shot from 16 ft (block by R. Gobert)
0:00.0,,,43-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,D. Favors makes 2-pt shot from 1 ft,2,45-56,,
11:23.0,,,45-58,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by Z. Pachulia)
11:01.0,D. Favors makes 2-pt shot from 16 ft (assist by R. Hood),2,47-58,,
10:43.0,,,47-58,,D. Williams misses 2-pt shot from 18 ft
10:42.0,Defensive rebound by R. Neto,,47-58,,
10:41.0,,,47-58,,Personal foul by C. Parsons (drawn by R. Neto)
10:27.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,49-58,,
10:03.0,,,49-61,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams)
9:48.0,R. Gobert misses 2-pt shot from 4 ft,,49-61,,
9:47.0,,,49-61,,Defensive rebound by D. Williams
9:41.0,,,49-61,,C. Parsons misses 3-pt shot from 24 ft
9:40.0,,,49-61,,Offensive rebound by Team
9:37.0,,,49-64,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams)
9:18.0,D. Favors misses 2-pt shot from 16 ft,,49-64,,
9:17.0,,,49-64,,Defensive rebound by C. Parsons
9:10.0,,,49-66,2,D. Williams makes 2-pt shot at rim
9:06.0,Offensive foul by R. Neto,,49-66,,
9:06.0,Turnover by R. Neto (offensive foul),,49-66,,
8:50.0,,,49-66,,Z. Pachulia misses 2-pt shot from 15 ft
8:49.0,Defensive rebound by Team,,49-66,,
8:39.0,G. Hayward misses 3-pt shot from 24 ft,,49-66,,
8:38.0,,,49-66,,Defensive rebound by Z. Pachulia
8:26.0,,,49-66,,Shooting foul by R. Hood (drawn by Z. Pachulia)
8:26.0,,,49-66,,Z. Pachulia misses free throw 1 of 2
8:26.0,,,49-66,,Offensive rebound by Team
8:26.0,,,49-67,1,Z. Pachulia makes free throw 2 of 2
8:08.0,R. Neto misses 3-pt shot from 22 ft,,49-67,,
8:06.0,,,49-67,,Defensive rebound by W. Matthews
7:57.0,,,49-69,2,D. Williams makes 2-pt shot from 7 ft
7:39.0,D. Favors makes 2-pt shot from 1 ft,2,51-69,,
7:25.0,,,51-71,2,W. Matthews makes 2-pt shot from 11 ft
7:05.0,R. Neto makes 3-pt shot from 25 ft (assist by G. Hayward),3,54-71,,
6:54.0,,,54-73,2,C. Parsons makes 2-pt shot from 1 ft (assist by D. Nowitzki)
6:41.0,Offensive foul by G. Hayward,,54-73,,
6:41.0,Turnover by G. Hayward (offensive foul),,54-73,,
6:41.0,,,54-73,,D. Powell enters the game for D. Nowitzki
6:41.0,,,54-73,,D. Harris enters the game for W. Matthews
6:33.0,Personal block foul by R. Neto (drawn by D. Williams),,54-73,,
6:33.0,T. Burke enters the game for R. Neto,,54-73,,
6:23.0,,,54-73,,Turnover by Z. Pachulia (lost ball; steal by G. Hayward)
6:17.0,R. Hood makes 2-pt shot from 1 ft,2,56-73,,
6:13.0,,,56-73,,Dallas full timeout
6:13.0,T. Booker enters the game for D. Favors,,56-73,,
6:08.0,,,56-76,3,D. Williams makes 3-pt shot from 24 ft (assist by Z. Pachulia)
5:56.0,,,56-76,,Personal foul by D. Williams (drawn by G. Hayward)
5:45.0,R. Hood misses 3-pt shot from 23 ft,,56-76,,
5:43.0,Offensive rebound by T. Booker,,56-76,,
5:42.0,Offensive foul by T. Booker,,56-76,,
5:42.0,Turnover by T. Booker (offensive foul),,56-76,,
5:34.0,,,56-76,,Turnover by C. Parsons (bad pass; steal by R. Gobert)
5:30.0,,,56-76,,Personal take foul by Z. Pachulia (drawn by T. Burke)
5:25.0,Turnover by G. Hayward (lost ball; steal by D. Harris),,56-76,,
5:20.0,,,56-76,,D. Williams misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by R. Gobert,,56-76,,
5:19.0,,,56-76,,Loose ball foul by D. Powell (drawn by R. Gobert)
5:04.0,T. Burke makes 3-pt shot from 24 ft (assist by R. Gobert),3,59-76,,
4:39.0,,,59-76,,Turnover by D. Williams (turnover)
4:22.0,Turnover by R. Hood (turnover),,59-76,,
4:22.0,,,59-76,,W. Matthews enters the game for C. Parsons
4:14.0,Personal foul by T. Burke (drawn by D. Harris),,59-76,,
4:14.0,A. Burks enters the game for R. Hood,,59-76,,
3:58.0,,,59-76,,Z. Pachulia misses 2-pt shot from 1 ft
3:57.0,Defensive rebound by T. Booker,,59-76,,
3:45.0,T. Burke misses 3-pt shot from 24 ft,,59-76,,
3:45.0,Offensive rebound by R. Gobert,,59-76,,
3:45.0,,,59-76,,Loose ball foul by D. Powell (drawn by R. Gobert)
3:45.0,R. Gobert makes free throw 1 of 2,1,60-76,,
3:45.0,,,60-76,,D. Nowitzki enters the game for Z. Pachulia
3:45.0,R. Gobert makes free throw 2 of 2,1,61-76,,
3:27.0,,,61-76,,D. Nowitzki misses 2-pt shot from 18 ft
3:26.0,Defensive rebound by T. Burke,,61-76,,
3:09.0,Turnover by T. Burke (lost ball; steal by D. Harris),,61-76,,
3:01.0,,,61-76,,D. Harris misses 2-pt shot from 18 ft
3:00.0,Defensive rebound by G. Hayward,,61-76,,
2:55.0,T. Burke misses 2-pt shot from 10 ft,,61-76,,
2:54.0,,,61-76,,Defensive rebound by D. Powell
2:31.0,,,61-76,,W. Matthews misses 3-pt shot from 23 ft
2:30.0,Defensive rebound by R. Gobert,,61-76,,
2:26.0,Shooting foul by D. Nowitzki (drawn by A. Burks),,61-76,,
2:26.0,Utah full timeout,,61-76,,
2:26.0,,,61-76,,J. Barea enters the game for D. Williams
2:26.0,A. Burks makes free throw 1 of 2,1,62-76,,
2:26.0,A. Burks makes free throw 2 of 2,1,63-76,,
2:14.0,,,63-78,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Barea)
2:05.0,A. Burks misses 2-pt shot from 17 ft,,63-78,,
2:04.0,Offensive rebound by T. Booker,,63-78,,
2:04.0,T. Booker makes 2-pt shot at rim,2,65-78,,
1:40.0,,,65-78,,W. Matthews misses 3-pt shot from 23 ft
1:38.0,,,65-78,,Offensive rebound by Team
1:38.0,,,65-78,,Turnover by Team (shot clock)
1:28.0,G. Hayward makes 2-pt shot from 16 ft,2,67-78,,
1:12.0,,,67-78,,J. Barea misses 2-pt shot from 12 ft
1:10.0,,,67-78,,Offensive rebound by D. Powell
1:10.0,,,67-78,,D. Powell misses 2-pt shot from 2 ft
1:10.0,Defensive rebound by T. Burke,,67-78,,
1:07.0,G. Hayward makes 2-pt shot at rim (assist by T. Burke),2,69-78,,
0:49.0,,,69-78,,D. Nowitzki misses 2-pt shot from 20 ft
0:48.0,Defensive rebound by T. Burke,,69-78,,
0:44.0,Shooting foul by D. Harris (drawn by A. Burks),,69-78,,
0:44.0,A. Burks makes free throw 1 of 2,1,70-78,,
0:44.0,A. Burks makes free throw 2 of 2,1,71-78,,
0:33.0,,,71-78,,J. Barea misses 2-pt shot from 17 ft
0:32.0,,,71-78,,Offensive rebound by D. Harris
0:09.0,,,71-78,,D. Harris misses 3-pt shot from 24 ft
0:08.0,,,71-78,,Offensive rebound by J. Barea
0:08.0,,,71-80,2,J. Barea makes 2-pt shot from 1 ft
0:02.0,A. Burks misses 2-pt shot from 7 ft,,71-80,,
0:01.0,Offensive rebound by G. Hayward,,71-80,,
0:00.0,G. Hayward misses 2-pt shot from 8 ft (block by W. Matthews),,71-80,,
0:00.0,Offensive rebound by Team,,71-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,71-82,2,Z. Pachulia makes 2-pt shot from 17 ft (assist by D. Powell)
11:27.0,R. Hood misses 2-pt shot from 8 ft,,71-82,,
11:26.0,Offensive rebound by T. Booker,,71-82,,
11:08.0,A. Burks makes 2-pt shot at rim,2,73-82,,
10:52.0,,,73-84,2,J. Barea makes 2-pt shot from 2 ft
10:37.0,T. Burke makes 2-pt shot from 15 ft,2,75-84,,
10:16.0,,,75-84,,J. Barea misses 2-pt shot from 14 ft
10:15.0,Defensive rebound by T. Booker,,75-84,,
10:06.0,Turnover by T. Burke (turnover),,75-84,,
9:50.0,,,75-84,,D. Powell misses 2-pt shot from 19 ft
9:49.0,Defensive rebound by T. Burke,,75-84,,
9:35.0,R. Hood makes 2-pt shot from 6 ft,2,77-84,,
9:19.0,Personal block foul by A. Burks,,77-84,,
9:19.0,D. Favors enters the game for R. Gobert,,77-84,,
9:19.0,,,77-84,,D. Nowitzki enters the game for D. Powell
9:19.0,,,77-84,,D. Williams enters the game for W. Matthews
9:10.0,,,77-84,,J. Barea misses 2-pt shot from 3 ft (block by A. Burks)
9:09.0,Defensive rebound by D. Favors,,77-84,,
9:00.0,T. Booker misses 2-pt shot from 5 ft,,77-84,,
8:59.0,,,77-84,,Defensive rebound by Team
8:57.0,Official timeout,,77-84,,
8:57.0,,,77-84,,W. Matthews enters the game for D. Harris
8:41.0,,,77-84,,W. Matthews misses 3-pt shot from 24 ft
8:39.0,,,77-84,,Offensive rebound by Z. Pachulia
8:39.0,,,77-84,,Z. Pachulia misses 2-pt shot from 1 ft
8:38.0,,,77-84,,Offensive rebound by Z. Pachulia
8:29.0,,,77-84,,W. Matthews misses 3-pt shot from 23 ft
8:28.0,Defensive rebound by T. Burke,,77-84,,
8:07.0,A. Burks misses 2-pt shot from 19 ft,,77-84,,
8:06.0,,,77-84,,Defensive rebound by D. Williams
7:57.0,,,77-84,,Offensive foul by D. Nowitzki
7:57.0,,,77-84,,Turnover by D. Nowitzki (offensive foul)
7:57.0,,,77-84,,R. Felton enters the game for W. Matthews
7:39.0,T. Burke misses 2-pt shot from 4 ft,,77-84,,
7:38.0,,,77-84,,Defensive rebound by D. Nowitzki
7:24.0,Personal foul by T. Booker (drawn by D. Nowitzki),,77-84,,
7:24.0,G. Hayward enters the game for A. Burks,,77-84,,
7:24.0,R. Gobert enters the game for T. Booker,,77-84,,
7:16.0,,,77-84,,Turnover by D. Williams (bad pass; steal by R. Hood)
7:12.0,R. Hood makes 2-pt shot at rim,2,79-84,,
6:47.0,,,79-84,,J. Barea misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by T. Burke,,79-84,,
6:38.0,Turnover by D. Favors (lost ball; steal by Z. Pachulia),,79-84,,
6:34.0,Personal block foul by T. Burke (drawn by D. Williams),,79-84,,
6:26.0,,,79-86,2,Z. Pachulia makes 2-pt shot at rim (assist by D. Williams)
5:59.0,Turnover by R. Hood (bad pass; steal by D. Nowitzki),,79-86,,
5:51.0,Violation by D. Favors (def goaltending),,79-86,,
5:51.0,,,79-88,2,J. Barea makes 2-pt shot from 1 ft
5:51.0,Utah full timeout,,79-88,,
5:51.0,,,79-88,,D. Powell enters the game for D. Nowitzki
5:51.0,A. Burks enters the game for T. Burke,,79-88,,
5:33.0,D. Favors makes 2-pt shot from 2 ft (assist by G. Hayward),2,81-88,,
5:13.0,,,81-88,,D. Powell misses 2-pt shot from 18 ft
5:12.0,Defensive rebound by R. Gobert,,81-88,,
5:00.0,,,81-88,,Shooting block foul by D. Powell (drawn by G. Hayward)
5:00.0,G. Hayward misses free throw 1 of 2,,81-88,,
5:00.0,Offensive rebound by Team,,81-88,,
5:00.0,G. Hayward makes free throw 2 of 2,1,82-88,,
4:50.0,,,82-88,,D. Williams misses 2-pt shot from 21 ft
4:48.0,Defensive rebound by A. Burks,,82-88,,
4:37.0,D. Favors misses 2-pt shot from 5 ft,,82-88,,
4:36.0,Offensive rebound by R. Gobert,,82-88,,
4:26.0,G. Hayward misses 2-pt shot from 13 ft,,82-88,,
4:25.0,,,82-88,,Defensive rebound by J. Barea
4:21.0,,,82-88,,Turnover by J. Barea (turnover)
4:03.0,A. Burks misses 3-pt shot from 24 ft,,82-88,,
4:01.0,,,82-88,,Defensive rebound by D. Powell
3:50.0,,,82-90,2,D. Powell makes 2-pt shot at rim (assist by Z. Pachulia)
3:28.0,D. Favors makes 2-pt shot from 16 ft (assist by G. Hayward),2,84-90,,
3:18.0,Personal foul by R. Gobert (drawn by Z. Pachulia),,84-90,,
3:06.0,,,84-90,,R. Felton misses 2-pt shot from 21 ft
3:05.0,Defensive rebound by G. Hayward,,84-90,,
3:00.0,R. Hood misses 2-pt shot at rim,,84-90,,
2:59.0,Offensive rebound by A. Burks,,84-90,,
2:54.0,Shooting foul by D. Williams (drawn by G. Hayward),,84-90,,
2:54.0,,,84-90,,Dallas full timeout
2:54.0,,,84-90,,W. Matthews enters the game for D. Powell
2:54.0,,,84-90,,D. Nowitzki enters the game for J. Barea
2:54.0,G. Hayward makes free throw 1 of 2,1,85-90,,
2:54.0,G. Hayward misses free throw 2 of 2,,85-90,,
2:53.0,,,85-90,,Defensive rebound by D. Williams
2:38.0,,,85-92,2,R. Felton makes 2-pt shot from 4 ft
2:19.0,R. Hood makes 2-pt shot at rim,2,87-92,,
2:02.0,,,87-95,3,D. Williams makes 3-pt shot from 24 ft (assist by R. Felton)
1:51.0,Shooting foul by W. Matthews (drawn by G. Hayward),,87-95,,
1:51.0,G. Hayward makes free throw 1 of 2,1,88-95,,
1:51.0,G. Hayward makes free throw 2 of 2,1,89-95,,
