time,Milwaukee,pts.away,score,pts.home,Portland
5:45.0,,,10-19,,M. Plumlee misses 2-pt shot at rim
5:44.0,,,10-19,,Offensive rebound by M. Plumlee
5:44.0,,,10-19,,M. Plumlee misses 2-pt shot at rim
5:42.0,Defensive rebound by M. Carter-Williams,,10-19,,
5:33.0,G. Monroe makes 2-pt shot from 1 ft,2,12-19,,
5:33.0,,,12-19,,Shooting block foul by M. Plumlee (drawn by G. Monroe)
5:33.0,G. Monroe misses free throw 1 of 1,,12-19,,
5:32.0,,,12-19,,Defensive rebound by A. Aminu
5:18.0,,,12-19,,C. McCollum misses 3-pt shot from 24 ft
5:16.0,Defensive rebound by G. Antetokounmpo,,12-19,,
5:09.0,Turnover by J. Parker (bad pass; steal by A. Aminu),,12-19,,
5:03.0,,,12-21,2,D. Lillard makes 2-pt shot at rim (assist by C. McCollum)
4:45.0,Shooting foul by A. Aminu (drawn by G. Antetokounmpo),,12-21,,
4:45.0,G. Antetokounmpo makes free throw 1 of 2,1,13-21,,
4:45.0,,,13-21,,E. Davis enters the game for N. Vonleh
4:45.0,,,13-21,,M. Leonard enters the game for M. Plumlee
4:45.0,,,13-21,,A. Crabbe enters the game for C. McCollum
4:45.0,K. Middleton enters the game for J. Parker,,13-21,,
4:45.0,G. Antetokounmpo makes free throw 2 of 2,1,14-21,,
4:27.0,,,14-21,,E. Davis misses 2-pt shot from 2 ft
4:26.0,Defensive rebound by G. Antetokounmpo,,14-21,,
4:23.0,Shooting foul by M. Leonard (drawn by G. Antetokounmpo),,14-21,,
4:23.0,G. Antetokounmpo makes free throw 1 of 2,1,15-21,,
4:23.0,M. Plumlee enters the game for G. Monroe,,15-21,,
4:23.0,G. Antetokounmpo misses free throw 2 of 2,,15-21,,
4:22.0,,,15-21,,Defensive rebound by E. Davis
4:08.0,,,15-21,,Turnover by D. Lillard (lost ball; steal by K. Middleton)
4:05.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,17-21,,
3:35.0,,,17-23,2,D. Lillard makes 2-pt shot from 3 ft
3:26.0,M. Plumlee misses 2-pt shot from 2 ft,,17-23,,
3:26.0,,,17-23,,Defensive rebound by E. Davis
3:22.0,,,17-23,,Turnover by M. Leonard (bad pass)
3:22.0,,,17-23,,G. Henderson enters the game for A. Aminu
3:05.0,K. Middleton misses 2-pt shot from 12 ft,,17-23,,
3:04.0,,,17-23,,Defensive rebound by G. Henderson
2:54.0,,,17-25,2,D. Lillard makes 2-pt shot at rim
2:41.0,M. Carter-Williams misses 2-pt shot from 18 ft,,17-25,,
2:41.0,,,17-25,,Defensive rebound by G. Henderson
2:28.0,,,17-27,2,D. Lillard makes 2-pt shot from 7 ft
2:08.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,17-27,,
2:07.0,,,17-27,,Defensive rebound by E. Davis
1:58.0,,,17-27,,D. Lillard misses 3-pt shot from 24 ft
1:58.0,Defensive rebound by Team,,17-27,,
1:58.0,,,17-27,,Portland full timeout
1:48.0,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo),2,19-27,,
1:22.0,,,19-27,,G. Henderson misses 2-pt shot from 12 ft
1:21.0,Defensive rebound by M. Carter-Williams,,19-27,,
1:04.0,K. Middleton misses 2-pt shot from 19 ft,,19-27,,
1:04.0,,,19-27,,Defensive rebound by D. Lillard
0:57.0,,,19-27,,A. Crabbe misses 3-pt shot from 24 ft
0:56.0,Defensive rebound by M. Plumlee,,19-27,,
0:36.0,K. Middleton misses 2-pt shot from 7 ft,,19-27,,
0:35.0,,,19-27,,Defensive rebound by Team
0:26.0,,,19-27,,D. Lillard misses 3-pt shot from 25 ft
0:24.0,Defensive rebound by K. Middleton,,19-27,,
0:06.0,Turnover by M. Carter-Williams (lost ball),,19-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,19-27,,G. Henderson misses 2-pt shot from 9 ft
11:36.0,Defensive rebound by R. Vaughn,,19-27,,
11:24.0,K. Middleton misses 2-pt shot from 20 ft,,19-27,,
11:23.0,,,19-27,,Defensive rebound by M. Leonard
11:07.0,,,19-29,2,E. Davis makes 2-pt shot at rim (assist by C. McCollum)
11:07.0,,,19-29,,Shooting foul by J. Parker (drawn by E. Davis)
11:07.0,,,19-29,,E. Davis misses free throw 1 of 1
11:06.0,Defensive rebound by G. Monroe,,19-29,,
10:56.0,J. Bayless makes 2-pt shot from 19 ft,2,21-29,,
10:47.0,Personal foul by J. Parker (drawn by C. McCollum),,21-29,,
10:34.0,,,21-29,,G. Henderson misses 2-pt shot from 6 ft
10:33.0,Defensive rebound by R. Vaughn,,21-29,,
10:22.0,G. Monroe makes 2-pt shot from 17 ft (assist by J. Bayless),2,23-29,,
10:03.0,,,23-29,,E. Davis misses 2-pt shot from 2 ft
10:02.0,Defensive rebound by Team,,23-29,,
9:55.0,Turnover by J. Bayless (traveling),,23-29,,
9:47.0,,,23-29,,C. McCollum misses 2-pt shot from 3 ft (block by J. Bayless)
9:47.0,Jump ball: J. Bayless vs. C. McCollum (G. Henderson gains possession),,,,Jump ball: J. Bayless vs. C. McCollum (G. Henderson gains possession)
9:47.0,,,23-29,,Offensive rebound by Team
9:41.0,,,23-29,,Offensive foul by M. Leonard
9:41.0,,,23-29,,Turnover by M. Leonard (offensive foul)
9:29.0,K. Middleton misses 3-pt shot from 25 ft,,23-29,,
9:29.0,,,23-29,,Defensive rebound by A. Crabbe
9:18.0,,,23-32,3,M. Leonard makes 3-pt shot from 24 ft (assist by E. Davis)
9:04.0,J. Bayless makes 2-pt shot from 18 ft (assist by G. Monroe),2,25-32,,
8:55.0,,,25-34,2,C. McCollum makes 2-pt shot at rim
8:42.0,Turnover by K. Middleton (traveling),,25-34,,
8:42.0,Official timeout,,25-34,,
8:42.0,G. Antetokounmpo enters the game for K. Middleton,,25-34,,
8:32.0,,,25-34,,Turnover by C. McCollum (palming)
8:20.0,R. Vaughn misses 3-pt shot from 22 ft,,25-34,,
8:19.0,,,25-34,,Defensive rebound by G. Henderson
8:08.0,,,25-34,,Shooting foul by J. Parker (drawn by G. Henderson)
8:08.0,,,25-34,,G. Henderson misses free throw 1 of 2
8:08.0,,,25-34,,Offensive rebound by Team
8:08.0,K. Middleton enters the game for J. Parker,,25-34,,
8:08.0,,,25-35,1,G. Henderson makes free throw 2 of 2
7:50.0,J. Bayless makes 2-pt shot from 16 ft,2,27-35,,
7:43.0,,,27-35,,Shooting foul by J. Bayless (drawn by C. McCollum)
7:43.0,,,27-36,1,C. McCollum makes free throw 1 of 2
7:43.0,,,27-37,1,C. McCollum makes free throw 2 of 2
7:34.0,Turnover by R. Vaughn (bad pass; steal by C. McCollum),,27-37,,
7:34.0,Personal foul by G. Monroe (drawn by C. McCollum),,27-37,,
7:34.0,,,27-38,1,C. McCollum makes free throw 1 of 2
7:34.0,,,27-39,1,C. McCollum makes free throw 2 of 2
7:22.0,Offensive foul by G. Monroe,,27-39,,
7:22.0,Turnover by G. Monroe (offensive foul),,27-39,,
7:13.0,Def 3 sec tech foul by G. Antetokounmpo,,27-39,,
7:13.0,,,27-40,1,A. Crabbe makes technical free throw
7:04.0,,,27-40,,M. Leonard misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by G. Monroe,,27-40,,
6:45.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,27-40,,
6:44.0,,,27-40,,Defensive rebound by M. Leonard
6:38.0,,,27-40,,Turnover by C. McCollum (bad pass; steal by R. Vaughn)
6:34.0,,,27-40,,M. Plumlee enters the game for M. Leonard
6:34.0,,,27-40,,N. Vonleh enters the game for E. Davis
6:30.0,K. Middleton misses 2-pt shot from 15 ft,,27-40,,
6:30.0,,,27-40,,Defensive rebound by A. Crabbe
6:22.0,,,27-40,,C. McCollum misses 2-pt shot from 14 ft
6:21.0,Defensive rebound by K. Middleton,,27-40,,
6:09.0,K. Middleton makes 3-pt shot from 23 ft (assist by G. Monroe),3,30-40,,
6:09.0,,,30-40,,Portland full timeout
6:09.0,,,30-40,,A. Aminu enters the game for G. Henderson
5:58.0,,,30-40,,Offensive foul by A. Aminu
5:58.0,,,30-40,,Turnover by A. Aminu (offensive foul)
5:43.0,G. Monroe misses 2-pt shot from 4 ft,,30-40,,
5:42.0,,,30-40,,Defensive rebound by A. Aminu
5:35.0,,,30-43,3,C. McCollum makes 3-pt shot from 24 ft (assist by M. Plumlee)
5:19.0,K. Middleton makes 2-pt shot from 18 ft,2,32-43,,
4:58.0,,,32-43,,Shooting foul by K. Middleton (drawn by A. Aminu)
4:58.0,,,32-43,,A. Aminu misses free throw 1 of 3
4:58.0,,,32-43,,Offensive rebound by Team
4:58.0,,,32-44,1,A. Aminu makes free throw 2 of 3
4:58.0,,,32-44,,D. Lillard enters the game for C. McCollum
4:58.0,,,32-44,,A. Aminu misses free throw 3 of 3
4:56.0,,,32-44,,Offensive rebound by M. Plumlee
4:53.0,,,32-44,,Shooting foul by G. Monroe (drawn by A. Aminu)
4:53.0,,,32-45,1,A. Aminu makes free throw 1 of 2
4:53.0,M. Plumlee enters the game for G. Monroe,,32-45,,
4:53.0,,,32-46,1,A. Aminu makes free throw 2 of 2
4:34.0,M. Plumlee makes 2-pt shot at rim (assist by K. Middleton),2,34-46,,
4:14.0,,,34-46,,A. Aminu misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by Team,,34-46,,
4:14.0,,,34-46,,Loose ball foul by N. Vonleh (drawn by M. Plumlee)
3:57.0,Shooting foul by M. Plumlee (drawn by G. Antetokounmpo),,34-46,,
3:57.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,36-46,,
3:57.0,,,36-46,,M. Leonard enters the game for M. Plumlee
3:57.0,G. Antetokounmpo makes free throw 1 of 1,1,37-46,,
3:45.0,,,37-48,2,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Lillard)
3:45.0,,,37-48,,Shooting foul by R. Vaughn (drawn by A. Crabbe)
3:45.0,,,37-49,1,A. Crabbe makes free throw 1 of 1
3:34.0,J. Bayless makes 2-pt shot from 10 ft,2,39-49,,
3:18.0,,,39-51,2,D. Lillard makes 2-pt shot from 2 ft
3:07.0,Shooting foul by N. Vonleh (drawn by G. Antetokounmpo),,39-51,,
3:07.0,G. Antetokounmpo misses free throw 1 of 2,,39-51,,
3:07.0,Offensive rebound by Team,,39-51,,
3:07.0,G. Antetokounmpo misses free throw 2 of 2,,39-51,,
3:06.0,,,39-51,,Defensive rebound by N. Vonleh
2:50.0,,,39-51,,N. Vonleh misses 2-pt shot from 1 ft
2:50.0,Defensive rebound by G. Antetokounmpo,,39-51,,
2:44.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,41-51,,
2:24.0,,,41-51,,Turnover by A. Aminu (bad pass; steal by K. Middleton)
2:01.0,J. Bayless makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,44-51,,
2:00.0,,,44-51,,Portland full timeout
2:00.0,Milwaukee full timeout,,44-51,,
2:00.0,,,44-51,,E. Davis enters the game for N. Vonleh
2:00.0,,,44-51,,C. McCollum enters the game for A. Crabbe
1:43.0,,,44-53,2,E. Davis makes 2-pt shot from 1 ft (assist by C. McCollum)
1:32.0,Turnover by K. Middleton (traveling),,44-53,,
1:08.0,,,44-53,,A. Aminu misses 3-pt shot from 24 ft
1:08.0,Defensive rebound by G. Antetokounmpo,,44-53,,
1:03.0,K. Middleton makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,46-53,,
0:49.0,,,46-53,,D. Lillard misses 3-pt shot from 24 ft
0:49.0,,,46-53,,Offensive rebound by E. Davis
0:38.0,,,46-53,,Turnover by D. Lillard (bad pass; steal by G. Antetokounmpo)
0:34.0,Turnover by G. Antetokounmpo (lost ball),,46-53,,
0:34.0,,,46-53,,A. Crabbe enters the game for E. Davis
0:28.0,,,46-56,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
0:06.0,G. Antetokounmpo makes 3-pt shot from 22 ft (assist by J. Bayless),3,49-56,,
0:00.0,,,49-56,,A. Crabbe misses 3-pt shot from 25 ft
0:00.0,,,49-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,49-56,,Shooting foul by G. Antetokounmpo (drawn by M. Plumlee)
11:40.0,,,49-56,,M. Plumlee misses free throw 1 of 2
11:40.0,,,49-56,,Offensive rebound by Team
11:40.0,,,49-57,1,M. Plumlee makes free throw 2 of 2
11:32.0,Turnover by M. Carter-Williams (bad pass; steal by A. Aminu),,49-57,,
11:20.0,,,49-57,,D. Lillard misses 3-pt shot from 24 ft
11:19.0,Defensive rebound by K. Middleton,,49-57,,
11:11.0,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by J. Parker),2,51-57,,
10:53.0,,,51-57,,C. McCollum misses 2-pt shot from 18 ft
10:52.0,Defensive rebound by J. Parker,,51-57,,
10:51.0,,,51-57,,Personal foul by C. McCollum (drawn by J. Parker)
10:48.0,,,51-57,,Personal foul by A. Aminu (drawn by G. Antetokounmpo)
10:41.0,Turnover by G. Antetokounmpo (bad pass; steal by M. Plumlee),,51-57,,
10:39.0,,,51-57,,M. Plumlee misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
10:38.0,Jump ball: G. Antetokounmpo vs. M. Plumlee (D. Lillard gains possession),,,,Jump ball: G. Antetokounmpo vs. M. Plumlee (D. Lillard gains possession)
10:38.0,,,51-57,,Offensive rebound by Team
10:31.0,,,51-57,,Turnover by A. Aminu (bad pass; steal by J. Parker)
10:25.0,J. Parker makes 2-pt shot at rim,2,53-57,,
10:10.0,,,53-57,,A. Aminu misses 3-pt shot from 22 ft
10:10.0,,,53-57,,Offensive rebound by M. Plumlee
10:02.0,,,53-57,,Turnover by D. Lillard (bad pass; steal by K. Middleton)
9:56.0,G. Monroe misses 2-pt shot from 5 ft,,53-57,,
9:55.0,Offensive rebound by K. Middleton,,53-57,,
9:55.0,K. Middleton misses 2-pt shot at rim,,53-57,,
9:53.0,,,53-57,,Defensive rebound by N. Vonleh
9:46.0,,,53-60,3,A. Aminu makes 3-pt shot from 22 ft (assist by D. Lillard)
9:31.0,Shooting foul by C. McCollum (drawn by K. Middleton),,53-60,,
9:31.0,K. Middleton makes free throw 1 of 2,1,54-60,,
9:31.0,K. Middleton makes free throw 2 of 2,1,55-60,,
9:17.0,,,55-60,,Turnover by C. McCollum (lost ball)
8:59.0,K. Middleton makes 2-pt shot from 16 ft,2,57-60,,
8:36.0,,,57-60,,Shooting foul by M. Carter-Williams (drawn by C. McCollum)
8:36.0,,,57-61,1,C. McCollum makes free throw 1 of 2
8:36.0,,,57-61,,C. McCollum misses free throw 2 of 2
8:35.0,Defensive rebound by Team,,57-61,,
8:17.0,G. Monroe misses 2-pt shot from 12 ft,,57-61,,
8:16.0,Offensive rebound by G. Monroe,,57-61,,
8:15.0,Shooting foul by M. Plumlee (drawn by G. Monroe),,57-61,,
8:15.0,G. Monroe misses free throw 1 of 2,,57-61,,
8:15.0,Offensive rebound by Team,,57-61,,
8:15.0,G. Monroe makes free throw 2 of 2,1,58-61,,
7:54.0,,,58-61,,D. Lillard misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by G. Antetokounmpo,,58-61,,
7:46.0,K. Middleton misses 3-pt shot from 24 ft,,58-61,,
7:45.0,,,58-61,,Defensive rebound by M. Plumlee
7:37.0,,,58-63,2,D. Lillard makes 2-pt shot from 1 ft
7:25.0,G. Monroe makes 2-pt shot from 2 ft (assist by K. Middleton),2,60-63,,
7:23.0,,,60-63,,Portland full timeout
7:23.0,,,60-63,,M. Leonard enters the game for M. Plumlee
7:23.0,,,60-63,,E. Davis enters the game for N. Vonleh
7:13.0,,,60-63,,D. Lillard misses 2-pt shot from 19 ft
7:12.0,Defensive rebound by K. Middleton,,60-63,,
6:58.0,G. Monroe makes 2-pt shot from 7 ft,2,62-63,,
6:39.0,,,62-63,,A. Aminu misses 2-pt shot from 3 ft
6:38.0,,,62-63,,Offensive rebound by E. Davis
6:38.0,,,62-65,2,E. Davis makes 2-pt shot at rim
6:28.0,J. Parker misses 2-pt shot from 1 ft,,62-65,,
6:28.0,,,62-65,,Defensive rebound by A. Aminu
6:14.0,,,62-65,,C. McCollum misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by M. Carter-Williams,,62-65,,
6:05.0,G. Monroe misses 2-pt shot from 16 ft,,62-65,,
6:04.0,,,62-65,,Defensive rebound by C. McCollum
5:53.0,,,62-65,,M. Leonard misses 3-pt shot from 23 ft
5:53.0,,,62-65,,Offensive rebound by C. McCollum
5:29.0,,,62-65,,M. Leonard misses 3-pt shot from 22 ft
5:29.0,Defensive rebound by Team,,62-65,,
5:08.0,G. Monroe makes 2-pt shot from 8 ft (assist by G. Antetokounmpo),2,64-65,,
4:47.0,,,64-68,3,C. McCollum makes 3-pt shot from 22 ft (assist by D. Lillard)
4:35.0,K. Middleton misses 2-pt shot from 16 ft (block by C. McCollum),,64-68,,
4:35.0,,,64-68,,Defensive rebound by A. Aminu
4:25.0,,,64-68,,D. Lillard misses 2-pt shot from 3 ft (block by J. Parker)
4:24.0,,,64-68,,Offensive rebound by E. Davis
4:23.0,,,64-68,,E. Davis misses 2-pt shot at rim
4:22.0,,,64-68,,Offensive rebound by Team
4:17.0,,,64-68,,C. McCollum misses 2-pt shot from 1 ft
4:16.0,Defensive rebound by G. Monroe,,64-68,,
4:08.0,G. Antetokounmpo makes 2-pt shot from 3 ft (assist by M. Carter-Williams),2,66-68,,
3:44.0,,,66-68,,M. Leonard misses 3-pt shot from 24 ft
3:43.0,,,66-68,,Offensive rebound by E. Davis
3:34.0,,,66-70,2,E. Davis makes 2-pt shot at rim (assist by D. Lillard)
3:06.0,K. Middleton misses 2-pt shot from 21 ft,,66-70,,
3:05.0,,,66-70,,Defensive rebound by M. Leonard
2:59.0,,,66-72,2,C. McCollum makes 2-pt shot from 1 ft (assist by M. Leonard)
2:58.0,Milwaukee full timeout,,66-72,,
2:58.0,,,66-72,,A. Crabbe enters the game for C. McCollum
2:58.0,M. Plumlee enters the game for G. Monroe,,66-72,,
2:58.0,J. Bayless enters the game for K. Middleton,,66-72,,
2:58.0,,,66-72,,G. Henderson enters the game for A. Aminu
2:44.0,J. Parker makes 2-pt shot from 3 ft,2,68-72,,
2:26.0,,,68-75,3,A. Crabbe makes 3-pt shot from 23 ft (assist by D. Lillard)
2:00.0,J. Parker misses 3-pt shot from 24 ft,,68-75,,
2:00.0,Offensive rebound by Team,,68-75,,
2:00.0,Turnover by Team (shot clock),,68-75,,
1:39.0,,,68-77,2,A. Crabbe makes 2-pt shot from 20 ft (assist by M. Leonard)
1:25.0,M. Carter-Williams misses 2-pt shot from 5 ft,,68-77,,
1:24.0,Offensive rebound by M. Plumlee,,68-77,,
1:24.0,M. Plumlee misses 2-pt shot at rim,,68-77,,
1:24.0,Offensive rebound by Team,,68-77,,
1:09.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,68-77,,
1:08.0,,,68-77,,Defensive rebound by G. Henderson
0:52.0,,,68-77,,G. Henderson misses 3-pt shot from 22 ft
0:52.0,Defensive rebound by M. Plumlee,,68-77,,
0:47.0,J. Parker makes 2-pt shot at rim (assist by M. Carter-Williams),2,70-77,,
0:35.0,,,70-77,,Offensive foul by E. Davis
0:35.0,,,70-77,,Turnover by E. Davis (offensive foul)
0:27.0,G. Antetokounmpo misses 2-pt shot from 16 ft,,70-77,,
0:25.0,Offensive rebound by M. Carter-Williams,,70-77,,
0:11.0,J. Bayless makes 3-pt shot from 24 ft,3,73-77,,
0:03.0,,,73-77,,D. Lillard misses 2-pt shot from 2 ft
0:02.0,,,73-77,,Offensive rebound by D. Lillard
0:00.0,,,73-77,,Shooting foul by M. Carter-Williams (drawn by D. Lillard)
0:00.0,,,73-78,1,D. Lillard makes free throw 1 of 2
0:00.0,G. Monroe enters the game for G. Antetokounmpo,,73-78,,
0:00.0,,,73-79,1,D. Lillard makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,M. Plumlee misses 2-pt shot at rim (block by G. Henderson),,73-79,,
11:42.0,,,73-79,,Defensive rebound by M. Leonard
11:36.0,Personal foul by K. Middleton (drawn by D. Lillard),,73-79,,
11:26.0,,,73-81,2,A. Crabbe makes 2-pt shot from 11 ft (assist by E. Davis)
11:11.0,,,73-81,,Personal foul by A. Crabbe (drawn by K. Middleton)
11:06.0,J. Bayless misses 2-pt shot from 15 ft,,73-81,,
11:05.0,,,73-81,,Defensive rebound by M. Leonard
10:53.0,,,73-83,2,G. Henderson makes 2-pt shot from 7 ft (assist by D. Lillard)
10:38.0,K. Middleton misses 2-pt shot from 17 ft (block by A. Crabbe),,73-83,,
10:37.0,,,73-83,,Defensive rebound by G. Henderson
10:26.0,Personal foul by M. Plumlee (drawn by D. Lillard),,73-83,,
10:26.0,,,73-83,,C. McCollum enters the game for D. Lillard
10:19.0,,,73-83,,Offensive foul by C. McCollum
10:19.0,,,73-83,,Turnover by C. McCollum (offensive foul)
10:10.0,R. Vaughn makes 2-pt shot from 16 ft (assist by J. Bayless),2,75-83,,
9:55.0,,,75-83,,M. Leonard misses 2-pt shot from 8 ft
9:54.0,Defensive rebound by M. Plumlee,,75-83,,
9:49.0,Turnover by J. Bayless (palming),,75-83,,
9:39.0,,,75-83,,Offensive foul by M. Leonard
9:39.0,,,75-83,,Turnover by M. Leonard (offensive foul)
9:24.0,M. Plumlee misses 2-pt shot from 4 ft,,75-83,,
9:22.0,Offensive rebound by M. Plumlee,,75-83,,
9:14.0,Turnover by J. Parker (lost ball; steal by C. McCollum),,75-83,,
9:01.0,,,75-85,2,C. McCollum makes 2-pt shot from 20 ft
8:50.0,Shooting foul by A. Crabbe (drawn by J. Bayless),,75-85,,
8:50.0,Official timeout,,75-85,,
8:50.0,,,75-85,,A. Aminu enters the game for M. Leonard
8:50.0,G. Monroe enters the game for R. Vaughn,,75-85,,
8:50.0,G. Antetokounmpo enters the game for M. Plumlee,,75-85,,
8:50.0,J. Bayless makes free throw 1 of 2,1,76-85,,
8:50.0,J. Bayless makes free throw 2 of 2,1,77-85,,
8:30.0,,,77-85,,C. McCollum misses 2-pt shot from 17 ft
8:29.0,,,77-85,,Offensive rebound by G. Henderson
8:29.0,,,77-87,2,G. Henderson makes 2-pt shot at rim
8:03.0,J. Parker misses 2-pt shot from 2 ft (block by C. McCollum),,77-87,,
8:01.0,,,77-87,,Defensive rebound by C. McCollum
7:59.0,,,77-89,2,C. McCollum makes 2-pt shot at rim
7:44.0,K. Middleton misses 2-pt shot from 2 ft,,77-89,,
7:42.0,,,77-89,,Defensive rebound by A. Crabbe
7:37.0,,,77-92,3,G. Henderson makes 3-pt shot from 22 ft (assist by C. McCollum)
7:37.0,Milwaukee full timeout,,77-92,,
7:37.0,,,77-92,,M. Plumlee enters the game for E. Davis
7:17.0,K. Middleton makes 2-pt shot from 20 ft (assist by G. Antetokounmpo),2,79-92,,
6:54.0,,,79-92,,A. Crabbe misses 2-pt shot from 14 ft
6:53.0,Defensive rebound by G. Antetokounmpo,,79-92,,
6:53.0,,,79-92,,Personal foul by M. Plumlee (drawn by G. Antetokounmpo)
6:42.0,K. Middleton makes 3-pt shot from 22 ft (assist by G. Monroe),3,82-92,,
6:19.0,,,82-92,,A. Aminu misses 2-pt shot from 9 ft
6:18.0,Defensive rebound by G. Monroe,,82-92,,
6:13.0,K. Middleton makes 2-pt shot from 17 ft (assist by J. Bayless),2,84-92,,
5:52.0,,,84-94,2,G. Henderson makes 2-pt shot at rim (assist by C. McCollum)
5:40.0,Shooting foul by G. Henderson (drawn by K. Middleton),,84-94,,
