time,LA Lakers,pts.away,score,pts.home,Denver
5:37.0,Offensive rebound by Team,,17-16,,
5:37.0,,,17-16,,N. Jokic enters the game for J. Lauvergne
5:26.0,K. Bryant misses 3-pt shot from 24 ft,,17-16,,
5:25.0,,,17-16,,Defensive rebound by W. Barton
5:19.0,,,17-18,2,W. Barton makes 2-pt shot from 2 ft
5:19.0,,,17-18,,Shooting foul by D. Russell (drawn by W. Barton)
5:19.0,,,17-18,,R. Foye enters the game for K. Papanikolaou
5:19.0,,,17-19,1,W. Barton makes free throw 1 of 1
5:09.0,K. Bryant misses 2-pt shot from 6 ft,,17-19,,
5:06.0,,,17-19,,Defensive rebound by K. Faried
4:58.0,,,17-19,,Shooting foul by R. Sacre (drawn by K. Faried)
4:58.0,,,17-20,1,K. Faried makes free throw 1 of 2
4:58.0,,,17-21,1,K. Faried makes free throw 2 of 2
4:34.0,D. Russell misses 2-pt shot from 10 ft,,17-21,,
4:33.0,,,17-21,,Defensive rebound by Team
4:33.0,Loose ball foul by R. Sacre (drawn by N. Jokic),,17-21,,
4:33.0,,,17-22,1,N. Jokic makes free throw 1 of 2
4:33.0,B. Bass enters the game for R. Sacre,,17-22,,
4:33.0,,,17-23,1,N. Jokic makes free throw 2 of 2
4:16.0,K. Bryant misses 3-pt shot from 24 ft,,17-23,,
4:14.0,Offensive rebound by B. Bass,,17-23,,
4:10.0,B. Bass makes 2-pt shot at rim,2,19-23,,
3:52.0,,,19-23,,Turnover by J. Nelson (bad pass; steal by K. Bryant)
3:45.0,Shooting foul by W. Barton (drawn by K. Bryant),,19-23,,
3:45.0,K. Bryant misses free throw 1 of 2,,19-23,,
3:45.0,Offensive rebound by Team,,19-23,,
3:45.0,,,19-23,,D. Arthur enters the game for K. Faried
3:45.0,K. Bryant makes free throw 2 of 2,1,20-23,,
3:28.0,,,20-23,,W. Barton misses 2-pt shot from 5 ft
3:27.0,,,20-23,,Offensive rebound by W. Barton
3:22.0,,,20-25,2,W. Barton makes 2-pt shot from 3 ft
3:12.0,J. Randle misses 2-pt shot from 19 ft,,20-25,,
3:11.0,Offensive rebound by K. Bryant,,20-25,,
3:05.0,K. Bryant makes 2-pt shot from 9 ft,2,22-25,,
2:56.0,,,22-28,3,R. Foye makes 3-pt shot from 25 ft
2:42.0,K. Bryant misses 2-pt shot from 15 ft,,22-28,,
2:40.0,,,22-28,,Defensive rebound by J. Nelson
2:27.0,,,22-28,,R. Foye misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by K. Bryant,,22-28,,
2:05.0,K. Bryant makes 2-pt shot from 12 ft,2,24-28,,
1:51.0,,,24-28,,J. Nelson misses 3-pt shot from 26 ft
1:50.0,Defensive rebound by B. Bass,,24-28,,
1:43.0,Shooting foul by R. Foye (drawn by K. Bryant),,24-28,,
1:43.0,LA Lakers full timeout,,24-28,,
1:43.0,,,24-28,,G. Harris enters the game for J. Nelson
1:43.0,K. Bryant makes free throw 1 of 2,1,25-28,,
1:43.0,K. Bryant makes free throw 2 of 2,1,26-28,,
1:30.0,,,26-30,2,W. Barton makes 2-pt shot from 2 ft (assist by N. Jokic)
1:12.0,K. Bryant misses 3-pt shot from 24 ft,,26-30,,
1:11.0,,,26-30,,Defensive rebound by R. Foye
1:06.0,,,26-32,2,W. Barton makes 2-pt shot from 1 ft (assist by R. Foye)
0:47.0,J. Randle misses 2-pt shot from 1 ft,,26-32,,
0:46.0,,,26-32,,Defensive rebound by D. Arthur
0:32.0,,,26-34,2,N. Jokic makes 2-pt shot from 6 ft
0:09.0,K. Bryant misses 3-pt shot from 27 ft,,26-34,,
0:08.0,,,26-34,,Defensive rebound by R. Foye
0:00.0,,,26-34,,W. Barton misses 3-pt shot from 26 ft
0:00.0,,,26-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,26-36,2,W. Barton makes 2-pt shot from 1 ft
11:31.0,D. Russell misses 3-pt shot from 26 ft,,26-36,,
11:30.0,,,26-36,,Defensive rebound by N. Jokic
11:22.0,,,26-36,,W. Barton misses 2-pt shot from 19 ft
11:21.0,Defensive rebound by J. Randle,,26-36,,
11:04.0,Shooting foul by D. Arthur (drawn by J. Randle),,26-36,,
11:04.0,J. Randle makes free throw 1 of 2,1,27-36,,
11:04.0,J. Randle makes free throw 2 of 2,1,28-36,,
10:48.0,,,28-38,2,W. Barton makes 2-pt shot from 5 ft (assist by N. Jokic)
10:30.0,Turnover by D. Russell (lost ball),,28-38,,
10:30.0,R. Hibbert enters the game for B. Bass,,28-38,,
10:14.0,,,28-38,,W. Barton misses 3-pt shot from 24 ft
10:13.0,,,28-38,,Offensive rebound by N. Jokic
10:01.0,,,28-38,,R. Foye misses 2-pt shot from 13 ft
9:57.0,,,28-38,,Offensive rebound by N. Jokic
9:51.0,,,28-40,2,R. Foye makes 2-pt shot from 2 ft (assist by N. Jokic)
9:44.0,LA Lakers full timeout,,28-40,,
9:39.0,Shooting foul by D. Arthur (drawn by J. Clarkson),,28-40,,
9:39.0,J. Clarkson makes free throw 1 of 2,1,29-40,,
9:39.0,J. Clarkson makes free throw 2 of 2,1,30-40,,
9:19.0,,,30-40,,G. Harris misses 3-pt shot from 24 ft
9:18.0,Defensive rebound by R. Hibbert,,30-40,,
9:10.0,N. Young misses 3-pt shot from 24 ft,,30-40,,
9:07.0,Offensive rebound by J. Clarkson,,30-40,,
8:57.0,Turnover by Team (5 sec),,30-40,,
8:45.0,,,30-40,,Turnover by N. Jokic (bad pass)
8:34.0,J. Randle misses 2-pt shot from 1 ft,,30-40,,
8:33.0,Offensive rebound by R. Hibbert,,30-40,,
8:29.0,Offensive foul by R. Hibbert,,30-40,,
8:29.0,Turnover by R. Hibbert (offensive foul),,30-40,,
8:14.0,,,30-40,,N. Jokic misses 2-pt shot from 1 ft
8:13.0,,,30-40,,Offensive rebound by N. Jokic
8:13.0,,,30-42,2,N. Jokic makes 2-pt shot from 1 ft
7:58.0,,,30-42,,Personal foul by W. Barton (drawn by J. Clarkson)
7:58.0,,,30-42,,K. Faried enters the game for D. Arthur
7:57.0,,,30-42,,Personal foul by N. Jokic (drawn by R. Hibbert)
7:57.0,Technical foul by R. Hibbert,,30-42,,
7:57.0,,,30-43,1,W. Barton makes technical free throw
7:49.0,D. Russell makes 3-pt shot from 25 ft,3,33-43,,
7:33.0,,,33-45,2,G. Harris makes 2-pt shot from 17 ft (assist by K. Faried)
7:23.0,D. Russell misses 3-pt shot from 24 ft,,33-45,,
7:23.0,,,33-45,,Defensive rebound by K. Faried
7:17.0,,,33-45,,K. Faried misses 2-pt shot from 1 ft
7:16.0,Defensive rebound by D. Russell,,33-45,,
7:10.0,J. Clarkson makes 2-pt shot from 2 ft (assist by D. Russell),2,35-45,,
6:58.0,,,35-45,,Shooting foul by R. Hibbert (drawn by N. Jokic)
6:58.0,,,35-46,1,N. Jokic makes free throw 1 of 2
6:58.0,L. Williams enters the game for D. Russell,,35-46,,
6:58.0,B. Bass enters the game for R. Hibbert,,35-46,,
6:58.0,,,35-47,1,N. Jokic makes free throw 2 of 2
6:44.0,Turnover by J. Randle (bad pass),,35-47,,
6:27.0,,,35-49,2,G. Harris makes 2-pt shot from 1 ft (assist by W. Barton)
6:13.0,,,35-49,,Def 3 sec tech foul by N. Jokic
6:13.0,J. Clarkson makes technical free throw,1,36-49,,
6:13.0,,,36-49,,J. Lauvergne enters the game for N. Jokic
6:13.0,,,36-49,,J. Nelson enters the game for W. Barton
6:02.0,N. Young misses 3-pt shot from 24 ft,,36-49,,
6:01.0,Offensive rebound by J. Randle,,36-49,,
5:54.0,L. Williams makes 2-pt shot from 11 ft,2,38-49,,
5:33.0,,,38-51,2,G. Harris makes 2-pt shot from 2 ft (assist by J. Nelson)
5:17.0,N. Young makes 2-pt shot from 12 ft,2,40-51,,
5:05.0,,,40-51,,J. Lauvergne misses 3-pt shot from 24 ft
5:04.0,Defensive rebound by J. Randle,,40-51,,
4:57.0,B. Bass makes 2-pt shot from 1 ft (assist by L. Williams),2,42-51,,
4:57.0,Shooting foul by J. Lauvergne (drawn by B. Bass),,42-51,,
4:57.0,Official timeout,,42-51,,
4:57.0,L. Nance enters the game for J. Randle,,42-51,,
4:57.0,B. Bass makes free throw 1 of 1,1,43-51,,
4:42.0,,,43-53,2,G. Harris makes 2-pt shot from 16 ft (assist by R. Foye)
4:33.0,Turnover by J. Clarkson (bad pass),,43-53,,
4:33.0,,,43-53,,W. Barton enters the game for R. Foye
4:16.0,Personal foul by L. Nance (drawn by G. Harris),,43-53,,
4:06.0,,,43-55,2,J. Nelson makes 2-pt shot from 1 ft
3:52.0,L. Nance misses 2-pt shot from 18 ft,,43-55,,
3:51.0,,,43-55,,Defensive rebound by K. Faried
3:37.0,,,43-55,,J. Lauvergne misses 2-pt shot from 19 ft
3:37.0,,,43-55,,Offensive rebound by Team
3:37.0,Loose ball foul by L. Nance (drawn by K. Faried),,43-55,,
3:25.0,,,43-57,2,K. Faried makes 2-pt shot from 1 ft (assist by J. Nelson)
3:06.0,B. Bass misses 2-pt shot from 5 ft (block by J. Lauvergne),,43-57,,
3:06.0,,,43-57,,Defensive rebound by J. Lauvergne
3:06.0,Personal take foul by L. Williams,,43-57,,
2:55.0,,,43-59,2,K. Faried makes 2-pt shot at rim (assist by J. Lauvergne)
2:36.0,N. Young misses 3-pt shot from 24 ft,,43-59,,
2:35.0,,,43-59,,Defensive rebound by J. Lauvergne
2:31.0,Personal foul by L. Nance (drawn by K. Faried),,43-59,,
2:31.0,,,43-59,,Denver full timeout
2:31.0,,,43-60,1,K. Faried makes free throw 1 of 2
2:31.0,,,43-61,1,K. Faried makes free throw 2 of 2
2:21.0,L. Williams misses 3-pt shot from 24 ft,,43-61,,
2:20.0,,,43-61,,Defensive rebound by K. Faried
2:13.0,,,43-61,,W. Barton misses 2-pt shot from 2 ft
2:12.0,,,43-61,,Offensive rebound by K. Faried
2:11.0,,,43-63,2,K. Faried makes 2-pt shot at rim
1:56.0,J. Clarkson misses 2-pt shot from 2 ft,,43-63,,
1:56.0,,,43-63,,Defensive rebound by J. Nelson
1:56.0,Personal foul by J. Clarkson (drawn by J. Nelson),,43-63,,
1:56.0,,,43-63,,J. Nelson misses free throw 1 of 2
1:56.0,,,43-63,,Offensive rebound by Team
1:56.0,,,43-64,1,J. Nelson makes free throw 2 of 2
1:42.0,N. Young makes 2-pt shot from 15 ft,2,45-64,,
1:26.0,,,45-64,,J. Nelson misses 2-pt shot from 10 ft
1:25.0,Defensive rebound by L. Nance,,45-64,,
1:20.0,L. Williams makes 2-pt shot from 12 ft,2,47-64,,
1:20.0,Shooting foul by G. Harris (drawn by L. Williams),,47-64,,
1:20.0,L. Williams misses free throw 1 of 1,,47-64,,
1:17.0,,,47-64,,Defensive rebound by W. Barton
1:04.0,,,47-64,,J. Lauvergne misses 2-pt shot from 2 ft (block by B. Bass)
1:04.0,Defensive rebound by Team,,47-64,,
1:04.0,,,47-64,,N. Jokic enters the game for J. Lauvergne
1:04.0,,,47-64,,Violation by Team (delay of game)
0:55.0,N. Young misses 2-pt shot from 15 ft,,47-64,,
0:54.0,,,47-64,,Defensive rebound by W. Barton
0:48.0,,,47-64,,W. Barton misses 2-pt shot from 2 ft
0:47.0,Defensive rebound by L. Williams,,47-64,,
0:40.0,J. Clarkson misses 3-pt shot from 26 ft,,47-64,,
0:40.0,Offensive rebound by L. Nance,,47-64,,
0:39.0,L. Nance makes 2-pt shot at rim,2,49-64,,
0:24.0,,,49-64,,J. Nelson misses 3-pt shot from 26 ft
0:23.0,,,49-64,,Offensive rebound by N. Jokic
0:19.0,,,49-64,,Turnover by N. Jokic (lost ball; steal by J. Clarkson)
0:04.0,Shooting foul by J. Nelson (drawn by B. Bass),,49-64,,
0:04.0,B. Bass makes free throw 1 of 2,1,50-64,,
0:04.0,B. Bass makes free throw 2 of 2,1,51-64,,
0:00.0,,,51-64,,W. Barton misses 3-pt shot from 33 ft
0:00.0,,,51-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,51-64,,Turnover by G. Harris (step out of bounds)
11:36.0,L. Nance makes 2-pt shot at rim (assist by L. Williams),2,53-64,,
11:12.0,,,53-67,3,K. Papanikolaou makes 3-pt shot from 24 ft (assist by G. Harris)
10:54.0,K. Bryant makes 3-pt shot from 25 ft (assist by J. Clarkson),3,56-67,,
10:45.0,,,56-67,,Offensive foul by J. Lauvergne
10:45.0,,,56-67,,Turnover by J. Lauvergne (offensive foul)
10:32.0,L. Nance misses 2-pt shot from 13 ft,,56-67,,
10:31.0,,,56-67,,Defensive rebound by J. Lauvergne
10:20.0,,,56-70,3,G. Harris makes 3-pt shot from 25 ft (assist by J. Lauvergne)
10:06.0,Turnover by K. Bryant (bad pass; steal by K. Papanikolaou),,56-70,,
10:05.0,Personal foul by K. Bryant (drawn by K. Papanikolaou),,56-70,,
9:52.0,,,56-70,,K. Faried misses 2-pt shot from 11 ft
9:51.0,,,56-70,,Offensive rebound by Team
9:42.0,Personal foul by J. Clarkson (drawn by K. Faried),,56-70,,
9:33.0,,,56-70,,J. Lauvergne misses 2-pt shot from 2 ft
9:32.0,,,56-70,,Offensive rebound by K. Faried
9:31.0,,,56-70,,K. Faried misses 2-pt shot from 2 ft (block by L. Nance)
9:30.0,,,56-70,,Offensive rebound by Team
9:15.0,,,56-70,,J. Nelson misses 2-pt shot from 16 ft
9:15.0,Defensive rebound by Team,,56-70,,
9:15.0,,,56-70,,Loose ball foul by K. Faried (drawn by R. Hibbert)
8:57.0,L. Williams makes 3-pt shot from 25 ft (assist by R. Hibbert),3,59-70,,
8:38.0,,,59-70,,K. Faried misses 2-pt shot from 3 ft
8:37.0,,,59-70,,Offensive rebound by K. Faried
8:35.0,,,59-70,,J. Nelson misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by K. Bryant,,59-70,,
8:18.0,J. Clarkson makes 2-pt shot from 12 ft,2,61-70,,
8:18.0,,,61-70,,Denver full timeout
8:18.0,,,61-70,,R. Foye enters the game for J. Nelson
8:01.0,,,61-70,,G. Harris misses 2-pt shot from 18 ft
8:00.0,Defensive rebound by R. Hibbert,,61-70,,
7:45.0,L. Nance makes 2-pt shot at rim (assist by K. Bryant),2,63-70,,
7:34.0,,,63-70,,K. Papanikolaou misses 2-pt shot from 12 ft
7:33.0,Defensive rebound by R. Hibbert,,63-70,,
7:27.0,R. Hibbert makes 2-pt shot from 1 ft (assist by K. Bryant),2,65-70,,
7:27.0,Shooting foul by J. Lauvergne (drawn by R. Hibbert),,65-70,,
7:27.0,,,65-70,,N. Jokic enters the game for J. Lauvergne
7:27.0,,,65-70,,W. Barton enters the game for K. Papanikolaou
7:27.0,R. Hibbert makes free throw 1 of 1,1,66-70,,
7:08.0,,,66-70,,R. Foye misses 2-pt shot from 17 ft
7:07.0,Defensive rebound by J. Clarkson,,66-70,,
7:05.0,J. Clarkson makes 2-pt shot from 1 ft,2,68-70,,
7:05.0,,,68-70,,Denver full timeout
6:50.0,Personal foul by L. Nance (drawn by N. Jokic),,68-70,,
6:37.0,,,68-72,2,N. Jokic makes 2-pt shot from 1 ft (assist by R. Foye)
6:16.0,Offensive foul by R. Hibbert,,68-72,,
6:16.0,Turnover by R. Hibbert (offensive foul),,68-72,,
6:05.0,,,68-72,,Turnover by G. Harris (bad pass; steal by L. Williams)
5:54.0,L. Williams misses 2-pt shot from 4 ft,,68-72,,
5:53.0,,,68-72,,Defensive rebound by K. Faried
5:39.0,Personal foul by R. Hibbert (drawn by K. Faried),,68-72,,
5:39.0,B. Bass enters the game for R. Hibbert,,68-72,,
5:29.0,,,68-74,2,R. Foye makes 2-pt shot from 1 ft
5:06.0,K. Bryant makes 2-pt shot from 5 ft,2,70-74,,
4:53.0,,,70-76,2,G. Harris makes 2-pt shot from 2 ft (assist by K. Faried)
4:36.0,,,70-76,,Def 3 sec tech foul by N. Jokic
4:36.0,K. Bryant misses technical free throw,,70-76,,
4:36.0,Offensive rebound by Team,,70-76,,
4:36.0,J. Randle enters the game for L. Nance,,70-76,,
4:26.0,K. Bryant misses 2-pt shot from 15 ft,,70-76,,
4:24.0,,,70-76,,Defensive rebound by N. Jokic
4:18.0,,,70-76,,W. Barton misses 2-pt shot from 3 ft (block by K. Bryant)
4:16.0,Defensive rebound by B. Bass,,70-76,,
4:08.0,J. Clarkson makes 2-pt shot from 1 ft,2,72-76,,
3:51.0,,,72-76,,R. Foye misses 2-pt shot from 1 ft (block by B. Bass)
3:49.0,Defensive rebound by B. Bass,,72-76,,
3:43.0,L. Williams makes 3-pt shot from 24 ft (assist by K. Bryant),3,75-76,,
3:32.0,,,75-76,,W. Barton misses 3-pt shot from 24 ft
3:31.0,Defensive rebound by J. Clarkson,,75-76,,
3:26.0,Turnover by J. Clarkson (bad pass),,75-76,,
3:26.0,D. Russell enters the game for L. Williams,,75-76,,
3:26.0,,,75-76,,D. Arthur enters the game for K. Faried
3:09.0,,,75-78,2,D. Arthur makes 2-pt shot from 19 ft (assist by N. Jokic)
2:55.0,,,75-78,,Personal foul by W. Barton (drawn by K. Bryant)
2:55.0,LA Lakers full timeout,,75-78,,
2:43.0,K. Bryant makes 2-pt shot from 14 ft,2,77-78,,
2:32.0,,,77-78,,Turnover by R. Foye (bad pass; steal by J. Clarkson)
2:27.0,J. Clarkson makes 2-pt shot at rim,2,79-78,,
2:06.0,,,79-78,,W. Barton misses 2-pt shot from 15 ft
2:06.0,Defensive rebound by J. Randle,,79-78,,
1:46.0,J. Clarkson misses 2-pt shot from 15 ft,,79-78,,
1:45.0,,,79-78,,Defensive rebound by D. Arthur
1:34.0,,,79-78,,Turnover by G. Harris (lost ball)
1:20.0,B. Bass makes 2-pt shot at rim (assist by J. Randle),2,81-78,,
1:01.0,,,81-80,2,W. Barton makes 2-pt shot from 5 ft (assist by D. Arthur)
0:43.0,J. Randle makes 2-pt shot at rim (assist by K. Bryant),2,83-80,,
0:31.0,,,83-80,,R. Foye misses 2-pt shot from 21 ft
0:30.0,Defensive rebound by J. Randle,,83-80,,
0:10.0,J. Clarkson misses 3-pt shot from 24 ft,,83-80,,
0:09.0,,,83-80,,Defensive rebound by R. Foye
0:02.0,,,83-80,,G. Harris misses 3-pt shot from 22 ft
0:01.0,,,83-80,,Offensive rebound by R. Foye
0:00.0,,,83-80,,R. Foye misses 2-pt shot from 12 ft (block by B. Bass)
0:00.0,,,83-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,J. Clarkson misses 2-pt shot from 16 ft (block by R. Foye),,83-80,,
11:34.0,,,83-80,,Defensive rebound by R. Foye
11:25.0,,,83-80,,Turnover by W. Barton (lost ball; steal by J. Clarkson)
11:19.0,J. Clarkson misses 2-pt shot at rim (block by W. Barton),,83-80,,
11:18.0,Offensive rebound by J. Randle,,83-80,,
11:14.0,J. Randle misses 2-pt shot from 2 ft,,83-80,,
11:13.0,Offensive rebound by J. Randle,,83-80,,
11:12.0,J. Randle makes 2-pt shot from 2 ft,2,85-80,,
10:47.0,,,85-80,,N. Jokic misses 2-pt shot from 2 ft
10:46.0,,,85-80,,Offensive rebound by N. Jokic
10:46.0,,,85-82,2,N. Jokic makes 2-pt shot from 2 ft
10:25.0,N. Young misses 3-pt shot from 25 ft,,85-82,,
10:24.0,,,85-82,,Defensive rebound by N. Jokic
10:16.0,,,85-82,,D. Arthur misses 2-pt shot from 20 ft
10:16.0,Defensive rebound by B. Bass,,85-82,,
10:03.0,Turnover by D. Russell (bad pass; steal by G. Harris),,85-82,,
9:58.0,,,85-84,2,G. Harris makes 2-pt shot from 1 ft
9:37.0,Turnover by B. Bass (lost ball),,85-84,,
9:37.0,L. Nance enters the game for J. Randle,,85-84,,
9:37.0,,,85-84,,J. Nelson enters the game for G. Harris
9:31.0,,,85-86,2,R. Foye makes 2-pt shot from 2 ft
9:31.0,LA Lakers full timeout,,85-86,,
9:31.0,L. Williams enters the game for J. Clarkson,,85-86,,
9:11.0,N. Young misses 3-pt shot from 26 ft,,85-86,,
9:11.0,Offensive rebound by Team,,85-86,,
9:11.0,,,85-86,,Loose ball foul by R. Foye (drawn by D. Russell)
8:58.0,L. Williams makes 2-pt shot from 18 ft (assist by B. Bass),2,87-86,,
8:43.0,,,87-88,2,D. Arthur makes 2-pt shot from 20 ft (assist by R. Foye)
8:25.0,D. Russell makes 3-pt shot from 26 ft (assist by L. Williams),3,90-88,,
8:11.0,,,90-88,,Shooting foul by B. Bass (drawn by N. Jokic)
8:11.0,,,90-89,1,N. Jokic makes free throw 1 of 2
8:11.0,J. Randle enters the game for L. Nance,,90-89,,
8:11.0,K. Bryant enters the game for N. Young,,90-89,,
8:11.0,,,90-89,,N. Jokic misses free throw 2 of 2
8:11.0,Defensive rebound by J. Randle,,90-89,,
7:52.0,J. Randle makes 2-pt shot from 1 ft,2,92-89,,
7:52.0,Shooting foul by D. Arthur (drawn by J. Randle),,92-89,,
7:52.0,J. Randle misses free throw 1 of 1,,92-89,,
7:48.0,,,92-89,,Defensive rebound by W. Barton
7:32.0,,,92-89,,R. Foye misses 2-pt shot at rim
7:31.0,,,92-89,,Offensive rebound by R. Foye
7:25.0,,,92-89,,R. Foye misses 3-pt shot from 24 ft
7:23.0,,,92-89,,Offensive rebound by N. Jokic
7:23.0,,,92-91,2,N. Jokic makes 2-pt shot at rim
6:53.0,K. Bryant misses 3-pt shot from 23 ft,,92-91,,
6:53.0,,,92-91,,Defensive rebound by W. Barton
6:36.0,,,92-91,,D. Arthur misses 2-pt shot from 3 ft
6:36.0,Defensive rebound by B. Bass,,92-91,,
6:13.0,K. Bryant makes 2-pt shot from 18 ft,2,94-91,,
5:58.0,,,94-93,2,D. Arthur makes 2-pt shot from 17 ft (assist by J. Nelson)
5:37.0,Official timeout,,94-93,,
5:36.0,J. Clarkson enters the game for D. Russell,,94-93,,
5:27.0,K. Bryant misses 3-pt shot from 25 ft,,94-93,,
5:27.0,,,94-93,,Defensive rebound by Team
5:09.0,,,94-93,,D. Arthur misses 2-pt shot from 21 ft
5:08.0,Defensive rebound by J. Clarkson,,94-93,,
4:50.0,Shooting foul by D. Arthur (drawn by L. Williams),,94-93,,
4:50.0,L. Williams misses free throw 1 of 3,,94-93,,
4:50.0,Offensive rebound by Team,,94-93,,
4:50.0,L. Williams makes free throw 2 of 3,1,95-93,,
4:50.0,,,95-93,,K. Faried enters the game for D. Arthur
4:50.0,L. Williams makes free throw 3 of 3,1,96-93,,
4:38.0,,,96-93,,Turnover by N. Jokic (traveling)
4:25.0,K. Bryant makes 2-pt shot from 22 ft (assist by B. Bass),2,98-93,,
4:16.0,Personal foul by K. Bryant (drawn by K. Faried),,98-93,,
4:08.0,,,98-95,2,K. Faried makes 2-pt shot at rim (assist by N. Jokic)
3:48.0,Shooting foul by R. Foye (drawn by K. Bryant),,98-95,,
3:48.0,K. Bryant makes free throw 1 of 3,1,99-95,,
3:48.0,K. Bryant makes free throw 2 of 3,1,100-95,,
3:48.0,,,100-95,,G. Harris enters the game for R. Foye
3:48.0,K. Bryant makes free throw 3 of 3,1,101-95,,
3:33.0,,,101-95,,W. Barton misses 2-pt shot from 1 ft
3:32.0,Defensive rebound by L. Williams,,101-95,,
3:16.0,K. Bryant misses 2-pt shot from 17 ft,,101-95,,
3:16.0,,,101-95,,Defensive rebound by W. Barton
3:11.0,,,101-97,2,G. Harris makes 2-pt shot at rim (assist by W. Barton)
2:49.0,B. Bass makes 2-pt shot from 11 ft (assist by K. Bryant),2,103-97,,
