time,Cleveland,pts.away,score,pts.home,Philadelphia
3:40.0,,,18-19,2,T. McConnell makes 2-pt shot from 16 ft (assist by N. Noel)
3:23.0,K. Love misses 2-pt shot from 1 ft,,18-19,,
3:20.0,Offensive rebound by K. Love,,18-19,,
3:20.0,K. Love makes 2-pt shot from 1 ft,2,20-19,,
2:58.0,,,20-19,,H. Thompson misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by K. Love,,20-19,,
2:47.0,T. Mozgov misses 2-pt shot from 4 ft (block by H. Thompson),,20-19,,
2:44.0,,,20-19,,Defensive rebound by J. Sampson
2:43.0,,,20-19,,Turnover by J. Sampson (traveling)
2:43.0,Cleveland full timeout,,20-19,,
2:43.0,I. Shumpert enters the game for L. James,,20-19,,
2:23.0,I. Shumpert misses 2-pt shot from 10 ft (block by N. Noel),,20-19,,
2:21.0,,,20-19,,Defensive rebound by T. McConnell
2:20.0,Personal foul by M. Dellavedova (drawn by T. McConnell),,20-19,,
2:05.0,,,20-19,,T. McConnell misses 2-pt shot from 16 ft
2:04.0,Defensive rebound by K. Love,,20-19,,
1:53.0,M. Dellavedova misses 2-pt shot from 7 ft,,20-19,,
1:51.0,,,20-19,,Defensive rebound by N. Noel
1:37.0,,,20-19,,Turnover by T. McConnell (bad pass; steal by K. Love)
1:28.0,Turnover by K. Love (bad pass; steal by J. Sampson),,20-19,,
1:28.0,,,20-19,,J. Sampson misses 2-pt shot from 15 ft
1:28.0,Defensive rebound by K. Love,,20-19,,
1:27.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Love),3,23-19,,
1:13.0,,,23-19,,R. Covington misses 3-pt shot from 28 ft
1:12.0,Defensive rebound by T. Mozgov,,23-19,,
1:07.0,J. Smith misses 3-pt shot from 27 ft,,23-19,,
1:04.0,,,23-19,,Defensive rebound by N. Noel
0:56.0,,,23-19,,Turnover by R. Covington (lost ball; steal by M. Dellavedova)
0:53.0,J. Smith misses 3-pt shot from 27 ft,,23-19,,
0:53.0,Offensive rebound by Team,,23-19,,
0:53.0,,,23-19,,Loose ball foul by J. Sampson (drawn by K. Love)
0:53.0,K. Irving enters the game for J. Smith,,23-19,,
0:53.0,K. Love makes free throw 1 of 2,1,24-19,,
0:53.0,K. Love misses free throw 2 of 2,,24-19,,
0:49.0,,,24-19,,Defensive rebound by R. Covington
0:42.0,,,24-19,,Shooting foul by T. Mozgov (drawn by N. Noel)
0:42.0,R. Jefferson enters the game for K. Love,,24-19,,
0:42.0,,,24-20,1,N. Noel makes free throw 1 of 2
0:42.0,,,24-20,,N. Noel misses free throw 2 of 2
0:40.0,Defensive rebound by M. Dellavedova,,24-20,,
0:31.0,K. Irving misses 2-pt shot from 2 ft,,24-20,,
0:31.0,Offensive rebound by T. Mozgov,,24-20,,
0:31.0,T. Mozgov makes 2-pt shot from 1 ft,2,26-20,,
0:22.0,,,26-20,,T. McConnell misses 3-pt shot from 23 ft
0:19.0,Defensive rebound by I. Shumpert,,26-20,,
0:01.0,K. Irving misses 3-pt shot from 26 ft,,26-20,,
0:00.0,Offensive rebound by Team,,26-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,K. Irving misses 2-pt shot from 16 ft,,26-20,,
11:42.0,,,26-20,,Defensive rebound by R. Covington
11:33.0,,,26-20,,J. Grant misses 2-pt shot from 4 ft
11:31.0,Defensive rebound by K. Irving,,26-20,,
11:25.0,I. Shumpert misses 3-pt shot from 23 ft,,26-20,,
11:21.0,,,26-20,,Defensive rebound by N. Stauskas
11:08.0,,,26-20,,Turnover by I. Smith (lost ball)
10:56.0,K. Irving makes 3-pt shot from 28 ft,3,29-20,,
10:44.0,,,29-20,,Shooting foul by R. Jefferson (drawn by J. Grant)
10:44.0,,,29-20,,J. Grant misses free throw 1 of 2
10:44.0,,,29-20,,Offensive rebound by Team
10:44.0,,,29-20,,J. Grant misses free throw 2 of 2
10:42.0,Defensive rebound by M. Dellavedova,,29-20,,
10:37.0,K. Irving misses 2-pt shot at rim,,29-20,,
10:33.0,,,29-20,,Defensive rebound by J. Grant
10:28.0,,,29-23,3,N. Stauskas makes 3-pt shot from 22 ft (assist by I. Smith)
10:13.0,M. Dellavedova makes 2-pt shot from 7 ft,2,31-23,,
9:57.0,,,31-23,,J. Okafor misses 2-pt shot from 4 ft
9:56.0,Defensive rebound by R. Jefferson,,31-23,,
9:46.0,M. Dellavedova misses 2-pt shot from 8 ft,,31-23,,
9:44.0,Offensive rebound by T. Mozgov,,31-23,,
9:42.0,T. Mozgov misses 2-pt shot from 2 ft,,31-23,,
9:41.0,,,31-23,,Defensive rebound by R. Covington
9:32.0,,,31-25,2,I. Smith makes 2-pt shot from 12 ft
9:15.0,M. Dellavedova misses 2-pt shot from 8 ft,,31-25,,
9:13.0,,,31-25,,Defensive rebound by R. Covington
9:10.0,,,31-25,,I. Smith misses 2-pt shot from 2 ft
9:06.0,Defensive rebound by T. Mozgov,,31-25,,
9:01.0,I. Shumpert misses 2-pt shot from 5 ft,,31-25,,
8:57.0,,,31-25,,Defensive rebound by R. Covington
8:56.0,,,31-25,,Philadelphia full timeout
8:56.0,T. Thompson enters the game for T. Mozgov,,31-25,,
8:56.0,L. James enters the game for M. Dellavedova,,31-25,,
8:43.0,,,31-25,,R. Covington misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by I. Shumpert,,31-25,,
8:27.0,R. Jefferson misses 2-pt shot from 1 ft,,31-25,,
8:25.0,,,31-25,,Defensive rebound by J. Okafor
8:18.0,,,31-28,3,N. Stauskas makes 3-pt shot from 23 ft (assist by J. Grant)
8:04.0,K. Irving misses 3-pt shot from 25 ft,,31-28,,
8:02.0,,,31-28,,Defensive rebound by R. Covington
7:56.0,,,31-28,,J. Grant misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by Team,,31-28,,
7:45.0,R. Jefferson makes 2-pt shot at rim (assist by L. James),2,33-28,,
7:45.0,Shooting foul by R. Covington (drawn by R. Jefferson),,33-28,,
7:45.0,R. Jefferson makes free throw 1 of 1,1,34-28,,
7:27.0,,,34-30,2,R. Covington makes 2-pt shot from 17 ft (assist by N. Stauskas)
7:04.0,L. James misses 2-pt shot from 17 ft,,34-30,,
7:01.0,Offensive rebound by T. Thompson,,34-30,,
6:53.0,L. James misses 3-pt shot from 26 ft,,34-30,,
6:52.0,,,34-30,,Defensive rebound by J. Grant
6:41.0,,,34-30,,Shooting foul by T. Thompson (drawn by J. Okafor)
6:41.0,,,34-31,1,J. Okafor makes free throw 1 of 2
6:41.0,J. Smith enters the game for K. Irving,,34-31,,
6:41.0,K. Love enters the game for R. Jefferson,,34-31,,
6:41.0,,,34-31,,J. Okafor misses free throw 2 of 2
6:39.0,,,34-31,,Offensive rebound by J. Okafor
6:35.0,,,34-33,2,J. Okafor makes 2-pt shot from 13 ft
6:14.0,Turnover by K. Love (bad pass; steal by J. Grant),,34-33,,
5:57.0,,,34-33,,R. Covington misses 3-pt shot from 27 ft
5:56.0,,,34-33,,Offensive rebound by I. Smith
5:54.0,,,34-33,,Turnover by R. Covington (step out of bounds)
5:54.0,Official timeout,,34-33,,
5:54.0,M. Dellavedova enters the game for I. Shumpert,,34-33,,
5:54.0,,,34-33,,C. Landry enters the game for R. Covington
5:43.0,M. Dellavedova misses 2-pt shot from 4 ft,,34-33,,
5:41.0,Offensive rebound by K. Love,,34-33,,
5:39.0,L. James makes 2-pt shot at rim (assist by K. Love),2,36-33,,
5:39.0,Shooting foul by C. Landry (drawn by L. James),,36-33,,
5:39.0,L. James makes free throw 1 of 1,1,37-33,,
5:23.0,,,37-35,2,I. Smith makes 2-pt shot from 13 ft
5:08.0,J. Smith misses 3-pt shot from 25 ft,,37-35,,
5:07.0,,,37-35,,Defensive rebound by J. Grant
4:58.0,,,37-35,,Shooting foul by K. Love (drawn by C. Landry)
4:58.0,,,37-35,,C. Landry misses free throw 1 of 2
4:58.0,,,37-35,,Offensive rebound by Team
4:58.0,,,37-36,1,C. Landry makes free throw 2 of 2
4:46.0,J. Smith misses 3-pt shot from 26 ft,,37-36,,
4:44.0,Offensive rebound by T. Thompson,,37-36,,
4:42.0,M. Dellavedova misses 3-pt shot from 25 ft,,37-36,,
4:41.0,,,37-36,,Defensive rebound by N. Stauskas
4:16.0,,,37-38,2,C. Landry makes 2-pt shot from 19 ft (assist by I. Smith)
3:54.0,L. James makes 2-pt shot from 18 ft,2,39-38,,
3:28.0,,,39-38,,Turnover by J. Okafor (lost ball; steal by L. James)
3:25.0,T. Thompson misses 2-pt shot from 1 ft (block by N. Stauskas),,39-38,,
3:25.0,Offensive rebound by T. Thompson,,39-38,,
3:25.0,,,39-38,,Personal foul by J. Grant (drawn by T. Thompson)
3:25.0,T. Thompson makes free throw 1 of 2,1,40-38,,
3:25.0,,,40-38,,N. Noel enters the game for J. Okafor
3:25.0,T. Thompson makes free throw 2 of 2,1,41-38,,
3:05.0,,,41-38,,N. Stauskas misses 3-pt shot from 23 ft
3:03.0,Defensive rebound by L. James,,41-38,,
2:52.0,Shooting foul by C. Landry (drawn by T. Thompson),,41-38,,
2:52.0,Cleveland full timeout,,41-38,,
2:52.0,,,41-38,,R. Covington enters the game for J. Grant
2:52.0,,,41-38,,J. Okafor enters the game for C. Landry
2:52.0,,,41-38,,Violation by Team (delay of game)
2:52.0,T. Thompson makes free throw 1 of 2,1,42-38,,
2:52.0,T. Thompson misses free throw 2 of 2,,42-38,,
2:50.0,,,42-38,,Defensive rebound by N. Noel
2:35.0,,,42-38,,Turnover by R. Covington (bad pass; steal by J. Smith)
2:25.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Love),3,45-38,,
2:06.0,,,45-38,,J. Okafor misses 2-pt shot from 1 ft
2:04.0,Defensive rebound by T. Thompson,,45-38,,
1:58.0,K. Love misses 3-pt shot from 25 ft,,45-38,,
1:55.0,Offensive rebound by T. Thompson,,45-38,,
1:51.0,K. Love misses 2-pt shot from 1 ft (block by N. Noel),,45-38,,
1:49.0,,,45-38,,Defensive rebound by I. Smith
1:43.0,,,45-38,,I. Smith misses 2-pt shot from 2 ft
1:40.0,Defensive rebound by J. Smith,,45-38,,
1:34.0,Cleveland full timeout,,45-38,,
1:34.0,T. Mozgov enters the game for K. Love,,45-38,,
1:34.0,,,45-38,,Violation by N. Stauskas (kicked ball)
1:29.0,,,45-38,,Def 3 sec tech foul by J. Okafor
1:29.0,L. James makes technical free throw,1,46-38,,
1:24.0,Turnover by T. Mozgov (3 sec),,46-38,,
1:24.0,,,46-38,,Philadelphia full timeout
1:12.0,,,46-40,2,J. Okafor makes 2-pt shot from 1 ft
1:12.0,,,46-40,,Shooting foul by T. Mozgov (drawn by J. Okafor)
1:12.0,,,46-41,1,J. Okafor makes free throw 1 of 1
1:01.0,Turnover by L. James (lost ball),,46-41,,
0:54.0,,,46-43,2,J. Okafor makes 2-pt shot from 2 ft (assist by R. Covington)
0:33.0,L. James makes 2-pt shot from 22 ft,2,48-43,,
0:26.0,,,48-45,2,R. Covington makes 2-pt shot from 1 ft (assist by I. Smith)
0:07.0,T. Mozgov misses 3-pt shot from 23 ft,,48-45,,
0:06.0,,,48-45,,Defensive rebound by N. Stauskas
0:01.0,,,48-47,2,J. Okafor makes 2-pt shot from 3 ft (assist by N. Stauskas)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,51-47,,
11:33.0,,,51-47,,Turnover by J. Grant (lost ball; steal by K. Love)
11:12.0,J. Smith misses 3-pt shot from 26 ft,,51-47,,
11:10.0,,,51-47,,Defensive rebound by I. Smith
10:54.0,,,51-47,,J. Okafor misses 2-pt shot from 18 ft
10:52.0,Defensive rebound by J. Smith,,51-47,,
10:45.0,L. James makes 2-pt shot from 18 ft,2,53-47,,
10:44.0,,,53-47,,Philadelphia full timeout
10:29.0,,,53-47,,J. Grant misses 3-pt shot from 23 ft
10:27.0,Defensive rebound by K. Love,,53-47,,
10:19.0,K. Love makes 3-pt shot from 26 ft (assist by L. James),3,56-47,,
10:03.0,,,56-49,2,J. Okafor makes 2-pt shot from 9 ft (assist by I. Smith)
9:36.0,K. Irving makes 2-pt shot from 16 ft (assist by L. James),2,58-49,,
9:23.0,,,58-51,2,J. Okafor makes 2-pt shot from 9 ft
9:10.0,K. Love makes 2-pt shot from 1 ft (assist by K. Irving),2,60-51,,
9:01.0,,,60-51,,I. Smith misses 2-pt shot from 18 ft
8:59.0,Defensive rebound by L. James,,60-51,,
8:45.0,K. Love misses 3-pt shot from 23 ft,,60-51,,
8:43.0,,,60-51,,Defensive rebound by I. Smith
8:24.0,,,60-53,2,J. Okafor makes 2-pt shot from 16 ft
8:01.0,T. Thompson makes 2-pt shot at rim (assist by K. Love),2,62-53,,
7:47.0,,,62-53,,J. Grant misses 3-pt shot from 27 ft
7:45.0,Defensive rebound by T. Thompson,,62-53,,
7:31.0,J. Smith misses 2-pt shot from 2 ft,,62-53,,
7:29.0,,,62-53,,Defensive rebound by J. Okafor
7:26.0,Personal foul by K. Irving (drawn by I. Smith),,62-53,,
7:26.0,,,62-53,,H. Thompson enters the game for N. Stauskas
7:26.0,,,62-53,,R. Covington enters the game for N. Noel
7:26.0,,,62-53,,C. Landry enters the game for J. Grant
7:16.0,,,62-53,,I. Smith misses 2-pt shot from 1 ft
7:15.0,Defensive rebound by K. Irving,,62-53,,
7:09.0,K. Irving misses 2-pt shot from 2 ft,,62-53,,
7:07.0,,,62-53,,Defensive rebound by R. Covington
6:55.0,,,62-53,,C. Landry misses 2-pt shot from 9 ft
6:53.0,Defensive rebound by T. Thompson,,62-53,,
6:40.0,L. James misses 2-pt shot from 17 ft,,62-53,,
6:38.0,Offensive rebound by T. Thompson,,62-53,,
6:35.0,J. Smith misses 3-pt shot from 25 ft,,62-53,,
6:33.0,Offensive rebound by T. Thompson,,62-53,,
6:29.0,K. Irving misses 3-pt shot from 24 ft,,62-53,,
6:28.0,,,62-53,,Defensive rebound by J. Okafor
6:15.0,,,62-53,,Shooting foul by T. Thompson (drawn by J. Okafor)
6:15.0,,,62-54,1,J. Okafor makes free throw 1 of 2
6:15.0,,,62-54,,T. McConnell enters the game for I. Smith
6:15.0,,,62-54,,J. Okafor misses free throw 2 of 2
6:14.0,Defensive rebound by L. James,,62-54,,
5:58.0,L. James makes 2-pt shot from 18 ft,2,64-54,,
5:38.0,,,64-57,3,H. Thompson makes 3-pt shot from 23 ft (assist by R. Covington)
5:32.0,Turnover by L. James (bad pass; steal by T. McConnell),,64-57,,
5:27.0,Violation by K. Irving (kicked ball),,64-57,,
5:27.0,,,64-57,,Philadelphia full timeout
5:27.0,,,64-57,,N. Noel enters the game for J. Okafor
5:19.0,,,64-57,,C. Landry misses 2-pt shot from 20 ft
5:17.0,Defensive rebound by K. Irving,,64-57,,
5:09.0,Turnover by K. Irving (bad pass; steal by T. McConnell),,64-57,,
4:57.0,,,64-59,2,N. Noel makes 2-pt shot at rim (assist by R. Covington)
4:32.0,L. James makes 2-pt shot from 8 ft,2,66-59,,
4:15.0,,,66-59,,Turnover by C. Landry (traveling)
3:59.0,,,66-59,,Personal foul by R. Covington (drawn by K. Love)
3:53.0,Shooting foul by C. Landry (drawn by K. Love),,66-59,,
3:53.0,K. Love misses free throw 1 of 2,,66-59,,
3:53.0,Offensive rebound by Team,,66-59,,
3:53.0,M. Dellavedova enters the game for K. Irving,,66-59,,
3:53.0,,,66-59,,J. Grant enters the game for C. Landry
3:53.0,K. Love makes free throw 2 of 2,1,67-59,,
3:46.0,,,67-59,,Shooting foul by T. Thompson (drawn by N. Noel)
3:46.0,,,67-60,1,N. Noel makes free throw 1 of 2
3:46.0,,,67-60,,N. Noel misses free throw 2 of 2
3:45.0,Defensive rebound by K. Love,,67-60,,
3:41.0,L. James makes 2-pt shot at rim (assist by K. Love),2,69-60,,
3:26.0,,,69-60,,T. McConnell misses 2-pt shot from 3 ft
3:24.0,Defensive rebound by M. Dellavedova,,69-60,,
3:18.0,L. James makes 3-pt shot from 25 ft,3,72-60,,
3:16.0,,,72-60,,Philadelphia full timeout
3:16.0,R. Jefferson enters the game for T. Thompson,,72-60,,
3:03.0,,,72-62,2,N. Noel makes 2-pt shot at rim (assist by R. Covington)
2:51.0,Offensive foul by M. Dellavedova,,72-62,,
2:51.0,Turnover by M. Dellavedova (offensive foul),,72-62,,
2:51.0,I. Shumpert enters the game for J. Smith,,72-62,,
2:38.0,,,72-64,2,T. McConnell makes 2-pt shot from 1 ft
2:21.0,,,72-64,,Personal foul by J. Grant (drawn by K. Love)
2:08.0,K. Love misses 2-pt shot from 2 ft (block by N. Noel),,72-64,,
2:07.0,,,72-64,,Defensive rebound by J. Grant
2:03.0,,,72-64,,Shooting foul by L. James (drawn by J. Grant)
2:03.0,,,72-66,2,J. Grant makes 2-pt shot from 1 ft (assist by T. McConnell)
2:03.0,,,72-66,,J. Grant misses free throw 1 of 1
2:02.0,Defensive rebound by M. Dellavedova,,72-66,,
1:38.0,M. Dellavedova misses 3-pt shot from 22 ft,,72-66,,
1:36.0,,,72-66,,Defensive rebound by H. Thompson
1:24.0,,,72-66,,Turnover by T. McConnell (bad pass; steal by M. Dellavedova)
1:03.0,Shooting foul by R. Covington (drawn by K. Love),,72-66,,
1:03.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,74-66,,
1:03.0,,,74-66,,I. Smith enters the game for T. McConnell
1:03.0,K. Love makes free throw 1 of 1,1,75-66,,
0:50.0,,,75-66,,J. Grant misses 2-pt shot from 6 ft
0:48.0,,,75-66,,Offensive rebound by J. Grant
0:43.0,,,75-69,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Grant)
0:25.0,Turnover by M. Dellavedova (bad pass; steal by N. Noel),,75-69,,
0:02.0,,,75-69,,I. Smith misses 2-pt shot from 17 ft
0:01.0,,,75-69,,Offensive rebound by N. Noel
0:01.0,,,75-69,,N. Noel misses 2-pt shot from 11 ft
0:00.0,,,75-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,75-69,,I. Smith misses 2-pt shot from 9 ft
11:41.0,Defensive rebound by K. Irving,,75-69,,
11:31.0,K. Irving misses 2-pt shot from 14 ft,,75-69,,
11:30.0,,,75-69,,Defensive rebound by H. Thompson
11:23.0,,,75-69,,I. Smith misses 2-pt shot from 1 ft
11:22.0,,,75-69,,Offensive rebound by J. Grant
11:22.0,,,75-71,2,J. Grant makes 2-pt shot at rim
10:59.0,T. Thompson misses 2-pt shot from 2 ft (block by J. Grant),,75-71,,
10:57.0,,,75-71,,Defensive rebound by I. Smith
10:54.0,,,75-71,,Turnover by H. Thompson (step out of bounds)
10:34.0,I. Shumpert makes 2-pt shot from 16 ft (assist by T. Thompson),2,77-71,,
10:11.0,,,77-74,3,H. Thompson makes 3-pt shot from 24 ft (assist by I. Smith)
9:54.0,Turnover by K. Irving (lost ball; steal by I. Smith),,77-74,,
9:51.0,,,77-74,,Turnover by I. Smith (lost ball; steal by K. Irving)
9:44.0,I. Shumpert misses 3-pt shot from 22 ft,,77-74,,
9:43.0,Offensive rebound by Team,,77-74,,
9:43.0,,,77-74,,Loose ball foul by N. Noel (drawn by T. Thompson)
9:27.0,Shooting foul by J. Grant (drawn by T. Thompson),,77-74,,
9:27.0,T. Thompson makes free throw 1 of 2,1,78-74,,
9:27.0,T. Thompson makes free throw 2 of 2,1,79-74,,
9:11.0,,,79-76,2,I. Smith makes 2-pt shot from 9 ft
8:56.0,M. Dellavedova makes 2-pt shot from 2 ft,2,81-76,,
8:40.0,Official timeout,,81-76,,
8:40.0,K. Love enters the game for R. Jefferson,,81-76,,
8:40.0,Jump ball: N. Noel vs. T. Thompson (J. Grant gains possession),,,,Jump ball: N. Noel vs. T. Thompson (J. Grant gains possession)
8:32.0,,,81-76,,I. Smith misses 2-pt shot from 1 ft (block by I. Shumpert)
8:32.0,,,81-76,,Offensive rebound by Team
8:32.0,,,81-76,,J. Okafor enters the game for N. Noel
8:22.0,,,81-79,3,I. Smith makes 3-pt shot from 26 ft
8:00.0,K. Irving misses 3-pt shot from 27 ft,,81-79,,
7:59.0,,,81-79,,Defensive rebound by I. Smith
7:53.0,,,81-79,,R. Covington misses 3-pt shot from 25 ft
7:51.0,,,81-79,,Offensive rebound by J. Okafor
7:50.0,,,81-79,,Turnover by J. Okafor (traveling)
7:32.0,L. James enters the game for M. Dellavedova,,81-79,,
7:32.0,Jump ball: R. Covington vs. T. Thompson,,,,Jump ball: R. Covington vs. T. Thompson
7:23.0,L. James makes 2-pt shot from 21 ft,2,83-79,,
7:10.0,,,83-79,,I. Smith misses 2-pt shot from 2 ft
7:08.0,Defensive rebound by L. James,,83-79,,
7:06.0,Shooting foul by R. Covington (drawn by L. James),,83-79,,
7:06.0,L. James makes free throw 1 of 2,1,84-79,,
7:06.0,L. James misses free throw 2 of 2,,84-79,,
7:05.0,,,84-79,,Defensive rebound by J. Okafor
6:56.0,J. Smith enters the game for I. Shumpert,,84-79,,
6:56.0,,,84-79,,Philadelphia full timeout
6:44.0,,,84-79,,I. Smith misses 2-pt shot from 3 ft
6:43.0,Defensive rebound by K. Love,,84-79,,
6:39.0,L. James makes 2-pt shot from 1 ft (assist by K. Love),2,86-79,,
6:19.0,,,86-79,,Shooting foul by K. Love (drawn by J. Grant)
6:19.0,,,86-79,,J. Grant misses free throw 1 of 2
6:19.0,,,86-79,,Offensive rebound by Team
6:19.0,,,86-79,,J. Grant misses free throw 2 of 2
6:18.0,Defensive rebound by L. James,,86-79,,
6:05.0,L. James makes 3-pt shot from 25 ft (assist by K. Irving),3,89-79,,
5:55.0,Personal foul by T. Thompson (drawn by J. Okafor),,89-79,,
5:55.0,,,89-79,,N. Noel enters the game for J. Grant
5:38.0,,,89-79,,J. Okafor misses 2-pt shot from 18 ft
5:36.0,Defensive rebound by L. James,,89-79,,
5:29.0,L. James misses 2-pt shot from 14 ft,,89-79,,
5:27.0,Offensive rebound by K. Love,,89-79,,
5:25.0,J. Smith misses 2-pt shot from 2 ft,,89-79,,
5:22.0,Offensive rebound by K. Love,,89-79,,
5:08.0,K. Irving misses 2-pt shot from 19 ft,,89-79,,
5:07.0,,,89-79,,Defensive rebound by N. Noel
5:07.0,Personal foul by T. Thompson (drawn by N. Noel),,89-79,,
4:47.0,,,89-79,,I. Smith misses 2-pt shot from 9 ft
4:42.0,Defensive rebound by K. Love,,89-79,,
4:26.0,T. Thompson misses 2-pt shot from 3 ft (block by R. Covington),,89-79,,
4:24.0,Offensive rebound by T. Thompson,,89-79,,
4:24.0,T. Thompson makes 2-pt shot from 1 ft,2,91-79,,
4:05.0,,,91-79,,Turnover by I. Smith (bad pass; steal by K. Irving)
