time,Chicago,pts.away,score,pts.home,Miami
4:25.0,,,19-26,,Defensive rebound by H. Whiteside
4:19.0,,,19-26,,D. Wade misses 2-pt shot from 6 ft
4:18.0,,,19-26,,Offensive rebound by Team
4:18.0,B. Portis enters the game for T. Gibson,,19-26,,
4:12.0,,,19-28,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
3:58.0,D. McDermott makes 2-pt shot from 6 ft,2,21-28,,
3:45.0,,,21-30,2,J. Richardson makes 2-pt shot from 14 ft
3:45.0,,,21-30,,Shooting foul by E. Moore (drawn by J. Richardson)
3:45.0,,,21-30,,J. Richardson misses free throw 1 of 1
3:44.0,Defensive rebound by B. Portis,,21-30,,
3:32.0,D. McDermott misses 3-pt shot from 24 ft,,21-30,,
3:31.0,,,21-30,,Defensive rebound by H. Whiteside
3:21.0,,,21-32,2,J. Winslow makes 2-pt shot from 20 ft (assist by J. Richardson)
3:02.0,B. Portis makes 2-pt shot from 7 ft,2,23-32,,
2:50.0,,,23-32,,J. Winslow misses 2-pt shot from 5 ft
2:49.0,Defensive rebound by P. Gasol,,23-32,,
2:41.0,P. Gasol makes 3-pt shot from 24 ft,3,26-32,,
2:33.0,,,26-32,,Miami full timeout
2:33.0,A. Brooks enters the game for E. Moore,,26-32,,
2:33.0,,,26-32,,L. Deng enters the game for J. Johnson
2:33.0,,,26-32,,G. Dragic enters the game for D. Wade
2:23.0,,,26-34,2,J. Winslow makes 2-pt shot from 19 ft (assist by G. Dragic)
2:06.0,B. Portis makes 2-pt shot from 18 ft,2,28-34,,
1:54.0,,,28-34,,G. Dragic misses 3-pt shot from 24 ft
1:53.0,Defensive rebound by A. Brooks,,28-34,,
1:46.0,D. McDermott misses 2-pt shot from 3 ft,,28-34,,
1:45.0,Offensive rebound by P. Gasol,,28-34,,
1:43.0,B. Portis makes 2-pt shot at rim,2,30-34,,
1:19.0,,,30-34,,L. Deng misses 2-pt shot from 5 ft
1:18.0,Defensive rebound by A. Brooks,,30-34,,
0:58.0,B. Portis misses 2-pt shot from 20 ft,,30-34,,
0:57.0,,,30-34,,Defensive rebound by H. Whiteside
0:42.0,,,30-34,,J. Richardson misses 3-pt shot from 24 ft
0:41.0,,,30-34,,Offensive rebound by H. Whiteside
0:40.0,Personal foul by A. Brooks (drawn by H. Whiteside),,30-34,,
0:40.0,C. Felicio enters the game for P. Gasol,,30-34,,
0:36.0,,,30-34,,G. Dragic misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by B. Portis,,30-34,,
0:18.0,A. Brooks misses 2-pt shot from 6 ft,,30-34,,
0:17.0,,,30-34,,Defensive rebound by H. Whiteside
0:12.0,,,30-36,2,L. Deng makes 2-pt shot from 1 ft (assist by G. Dragic)
0:00.0,D. McDermott misses 3-pt shot from 24 ft,,30-36,,
0:00.0,Offensive rebound by Team,,30-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,30-36,,Turnover by L. Deng (bad pass; steal by B. Portis)
11:30.0,D. McDermott makes 2-pt shot at rim (assist by T. Snell),2,32-36,,
11:18.0,,,32-36,,Shooting foul by C. Felicio (drawn by H. Whiteside)
11:18.0,,,32-37,1,H. Whiteside makes free throw 1 of 2
11:18.0,,,32-38,1,H. Whiteside makes free throw 2 of 2
11:06.0,C. Felicio misses 2-pt shot from 2 ft,,32-38,,
11:05.0,,,32-38,,Defensive rebound by G. Dragic
10:48.0,,,32-40,2,J. Winslow makes 2-pt shot from 4 ft
10:33.0,D. McDermott makes 2-pt shot from 2 ft (assist by C. Felicio),2,34-40,,
10:07.0,,,34-43,3,J. Richardson makes 3-pt shot from 24 ft (assist by L. Deng)
9:55.0,,,34-43,,Def 3 sec tech foul by H. Whiteside
9:55.0,D. McDermott makes technical free throw,1,35-43,,
9:55.0,D. Rose enters the game for A. Brooks,,35-43,,
9:42.0,C. Felicio misses 2-pt shot from 20 ft,,35-43,,
9:41.0,,,35-43,,Defensive rebound by L. Deng
9:31.0,,,35-43,,L. Deng misses 2-pt shot from 2 ft
9:30.0,Defensive rebound by B. Portis,,35-43,,
9:23.0,Turnover by D. McDermott (bad pass; steal by G. Dragic),,35-43,,
9:17.0,,,35-43,,Turnover by G. Dragic (lost ball)
9:17.0,T. Gibson enters the game for C. Felicio,,35-43,,
9:03.0,D. Rose makes 2-pt shot from 2 ft,2,37-43,,
8:52.0,Personal foul by T. Snell (drawn by G. Dragic),,37-43,,
8:52.0,Official timeout,,37-43,,
8:52.0,M. Dunleavy enters the game for T. Snell,,37-43,,
8:50.0,Personal foul by B. Portis (drawn by G. Dragic),,37-43,,
8:44.0,,,37-43,,Offensive charge foul by J. Winslow
8:44.0,,,37-43,,Turnover by J. Winslow (offensive foul)
8:31.0,D. Rose makes 2-pt shot from 1 ft,2,39-43,,
8:31.0,Shooting foul by H. Whiteside (drawn by D. Rose),,39-43,,
8:31.0,D. Rose makes free throw 1 of 1,1,40-43,,
8:18.0,,,40-45,2,H. Whiteside makes 2-pt shot from 19 ft (assist by G. Dragic)
8:00.0,Turnover by T. Gibson (lost ball; steal by J. Richardson),,40-45,,
7:49.0,,,40-45,,Shooting foul by T. Gibson (drawn by H. Whiteside)
7:49.0,,,40-46,1,H. Whiteside makes free throw 1 of 2
7:49.0,,,40-47,1,H. Whiteside makes free throw 2 of 2
7:37.0,Shooting foul by J. Richardson (drawn by D. Rose),,40-47,,
7:37.0,D. Rose makes free throw 1 of 2,1,41-47,,
7:37.0,D. Rose misses free throw 2 of 2,,41-47,,
7:36.0,,,41-47,,Defensive rebound by H. Whiteside
7:24.0,,,41-50,3,L. Deng makes 3-pt shot from 25 ft (assist by G. Dragic)
7:02.0,D. McDermott makes 2-pt shot from 10 ft (assist by T. Gibson),2,43-50,,
6:47.0,,,43-50,,J. Richardson misses 3-pt shot from 25 ft
6:46.0,,,43-50,,Offensive rebound by Team
6:46.0,,,43-50,,D. Wade enters the game for G. Dragic
6:46.0,,,43-50,,J. Johnson enters the game for L. Deng
6:46.0,E. Moore enters the game for D. McDermott,,43-50,,
6:37.0,,,43-52,2,D. Wade makes 2-pt shot from 1 ft (assist by J. Johnson)
6:24.0,,,43-52,,Personal foul by D. Wade (drawn by E. Moore)
6:24.0,P. Gasol enters the game for B. Portis,,43-52,,
6:10.0,E. Moore misses 2-pt shot from 10 ft,,43-52,,
6:09.0,,,43-52,,Defensive rebound by J. Winslow
5:56.0,,,43-52,,H. Whiteside misses 2-pt shot from 3 ft (block by P. Gasol)
5:55.0,Defensive rebound by P. Gasol,,43-52,,
5:52.0,,,43-52,,Personal foul by J. Johnson (drawn by T. Gibson)
5:52.0,,,43-52,,Miami full timeout
5:51.0,,,43-52,,Personal foul by J. Richardson (drawn by P. Gasol)
5:51.0,P. Gasol makes free throw 1 of 2,1,44-52,,
5:51.0,P. Gasol makes free throw 2 of 2,1,45-52,,
5:32.0,,,45-54,2,D. Wade makes 2-pt shot at rim (assist by J. Johnson)
5:26.0,,,45-54,,Personal foul by J. Winslow (drawn by T. Gibson)
5:26.0,T. Gibson misses free throw 1 of 2,,45-54,,
5:26.0,Offensive rebound by Team,,45-54,,
5:26.0,T. Gibson makes free throw 2 of 2,1,46-54,,
5:12.0,,,46-54,,Turnover by J. Johnson (bad pass; steal by D. Rose)
4:49.0,E. Moore makes 3-pt shot from 23 ft (assist by D. Rose),3,49-54,,
4:35.0,,,49-56,2,J. Johnson makes 2-pt shot from 8 ft
4:26.0,D. Rose makes 2-pt shot from 2 ft,2,51-56,,
4:10.0,,,51-58,2,J. Richardson makes 2-pt shot from 13 ft
4:01.0,Turnover by E. Moore (bad pass; steal by D. Wade),,51-58,,
3:47.0,,,51-58,,Turnover by D. Wade (bad pass; steal by E. Moore)
3:42.0,M. Dunleavy makes 2-pt shot at rim (assist by D. Rose),2,53-58,,
3:26.0,,,53-58,,H. Whiteside misses 2-pt shot from 9 ft
3:25.0,Defensive rebound by P. Gasol,,53-58,,
3:19.0,M. Dunleavy misses 3-pt shot from 24 ft,,53-58,,
3:18.0,,,53-58,,Defensive rebound by H. Whiteside
3:13.0,,,53-58,,Turnover by J. Winslow (bad pass; steal by T. Gibson)
3:05.0,E. Moore makes 3-pt shot from 23 ft (assist by P. Gasol),3,56-58,,
3:05.0,,,56-58,,Miami full timeout
3:05.0,A. Brooks enters the game for D. Rose,,56-58,,
3:05.0,,,56-58,,L. Deng enters the game for J. Richardson
3:05.0,,,56-58,,G. Dragic enters the game for J. Winslow
2:46.0,,,56-58,,Shooting foul by P. Gasol (drawn by H. Whiteside)
2:46.0,Chicago full timeout,,56-58,,
2:46.0,,,56-59,1,H. Whiteside makes free throw 1 of 2
2:46.0,,,56-60,1,H. Whiteside makes free throw 2 of 2
2:20.0,P. Gasol misses 2-pt shot from 18 ft,,56-60,,
2:19.0,Offensive rebound by T. Gibson,,56-60,,
2:19.0,Shooting foul by D. Wade (drawn by T. Gibson),,56-60,,
2:19.0,T. Gibson misses free throw 1 of 2,,56-60,,
2:19.0,Offensive rebound by Team,,56-60,,
2:19.0,T. Gibson makes free throw 2 of 2,1,57-60,,
2:04.0,,,57-60,,Shooting foul by M. Dunleavy (drawn by H. Whiteside)
2:04.0,,,57-61,1,H. Whiteside makes free throw 1 of 2
2:04.0,,,57-62,1,H. Whiteside makes free throw 2 of 2
1:50.0,T. Gibson makes 2-pt shot from 2 ft (assist by P. Gasol),2,59-62,,
1:50.0,Shooting foul by L. Deng (drawn by T. Gibson),,59-62,,
1:50.0,B. Portis enters the game for P. Gasol,,59-62,,
1:50.0,T. Gibson makes free throw 1 of 1,1,60-62,,
1:42.0,,,60-62,,Shooting foul by E. Moore (drawn by D. Wade)
1:42.0,,,60-62,,D. Wade misses free throw 1 of 2
1:42.0,,,60-62,,Offensive rebound by Team
1:42.0,T. Snell enters the game for E. Moore,,60-62,,
1:42.0,,,60-63,1,D. Wade makes free throw 2 of 2
1:28.0,Turnover by B. Portis (discontinued dribble),,60-63,,
1:10.0,,,60-65,2,L. Deng makes 2-pt shot from 6 ft
0:59.0,A. Brooks misses 2-pt shot from 14 ft,,60-65,,
0:58.0,,,60-65,,Defensive rebound by H. Whiteside
0:49.0,,,60-65,,Turnover by D. Wade (lost ball; steal by B. Portis)
0:43.0,T. Snell misses 2-pt shot from 1 ft,,60-65,,
0:41.0,,,60-65,,Defensive rebound by L. Deng
0:37.0,,,60-65,,D. Wade misses 2-pt shot from 2 ft
0:36.0,Defensive rebound by T. Gibson,,60-65,,
0:35.0,,,60-65,,Personal foul by D. Wade (drawn by T. Gibson)
0:35.0,T. Gibson makes free throw 1 of 2,1,61-65,,
0:35.0,,,61-65,,J. Winslow enters the game for D. Wade
0:35.0,T. Gibson makes free throw 2 of 2,1,62-65,,
0:19.0,,,62-65,,J. Johnson misses 2-pt shot from 19 ft
0:18.0,Defensive rebound by B. Portis,,62-65,,
0:11.0,Chicago full timeout,,62-65,,
0:11.0,,,62-65,,J. Richardson enters the game for J. Winslow
0:11.0,P. Gasol enters the game for T. Gibson,,62-65,,
0:11.0,D. McDermott enters the game for T. Snell,,62-65,,
0:03.0,P. Gasol misses 2-pt shot from 10 ft,,62-65,,
0:02.0,,,62-65,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,62-67,2,D. Wade makes 2-pt shot from 1 ft
11:24.0,P. Gasol misses 2-pt shot from 8 ft,,62-67,,
11:23.0,Offensive rebound by Team,,62-67,,
11:12.0,D. Rose makes 2-pt shot from 9 ft,2,64-67,,
10:55.0,,,64-70,3,L. Deng makes 3-pt shot from 23 ft (assist by D. Wade)
10:39.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by P. Gasol),3,67-70,,
10:20.0,,,67-70,,J. Johnson misses 2-pt shot from 6 ft
10:19.0,,,67-70,,Offensive rebound by J. Johnson
10:18.0,,,67-72,2,J. Johnson makes 2-pt shot from 1 ft
9:58.0,P. Gasol makes 2-pt shot from 9 ft,2,69-72,,
9:40.0,,,69-74,2,D. Wade makes 2-pt shot from 17 ft
9:28.0,D. Rose misses 2-pt shot from 15 ft,,69-74,,
9:27.0,,,69-74,,Defensive rebound by D. Wade
9:21.0,,,69-74,,Shooting foul by E. Moore (drawn by D. Wade)
9:21.0,,,69-75,1,D. Wade makes free throw 1 of 2
9:21.0,,,69-75,,D. Wade misses free throw 2 of 2
9:20.0,Defensive rebound by E. Moore,,69-75,,
9:06.0,T. Gibson misses 2-pt shot at rim (block by A. Stoudemire),,69-75,,
9:05.0,,,69-75,,Defensive rebound by A. Stoudemire
8:59.0,,,69-78,3,J. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic)
8:50.0,,,69-78,,Personal foul by A. Stoudemire (drawn by T. Gibson)
8:39.0,E. Moore misses 3-pt shot from 23 ft,,69-78,,
8:38.0,Offensive rebound by T. Gibson,,69-78,,
8:33.0,M. Dunleavy misses 2-pt shot from 1 ft (block by A. Stoudemire),,69-78,,
8:32.0,Offensive rebound by M. Dunleavy,,69-78,,
8:26.0,E. Moore makes 2-pt shot from 10 ft,2,71-78,,
8:19.0,,,71-78,,G. Dragic misses 2-pt shot from 7 ft
8:18.0,,,71-78,,Offensive rebound by A. Stoudemire
8:15.0,,,71-78,,Turnover by A. Stoudemire (bad pass; steal by E. Moore)
8:15.0,,,71-78,,Personal foul by L. Deng (drawn by E. Moore)
7:59.0,D. Rose misses 2-pt shot from 1 ft (block by A. Stoudemire),,71-78,,
7:58.0,,,71-78,,Defensive rebound by Team
7:58.0,Loose ball foul by T. Gibson (drawn by A. Stoudemire),,71-78,,
7:39.0,,,71-78,,Turnover by D. Wade (lost ball)
7:32.0,M. Dunleavy misses 3-pt shot from 23 ft,,71-78,,
7:31.0,,,71-78,,Defensive rebound by J. Johnson
7:21.0,Personal foul by E. Moore (drawn by A. Stoudemire),,71-78,,
7:21.0,T. Snell enters the game for E. Moore,,71-78,,
7:12.0,,,71-80,2,A. Stoudemire makes 2-pt shot at rim (assist by J. Johnson)
7:12.0,Chicago full timeout,,71-80,,
6:49.0,D. Rose misses 2-pt shot from 2 ft (block by D. Wade),,71-80,,
6:48.0,Offensive rebound by Team,,71-80,,
6:48.0,Turnover by Team (shot clock),,71-80,,
6:29.0,,,71-80,,D. Wade misses 2-pt shot from 16 ft
6:28.0,Defensive rebound by P. Gasol,,71-80,,
6:22.0,T. Snell makes 2-pt shot from 1 ft (assist by D. Rose),2,73-80,,
6:00.0,,,73-82,2,G. Dragic makes 2-pt shot from 15 ft (assist by A. Stoudemire)
5:45.0,,,73-82,,Personal foul by L. Deng (drawn by P. Gasol)
5:45.0,,,73-82,,J. Richardson enters the game for L. Deng
5:45.0,,,73-82,,J. Winslow enters the game for D. Wade
5:45.0,D. McDermott enters the game for M. Dunleavy,,73-82,,
5:45.0,B. Portis enters the game for T. Gibson,,73-82,,
5:39.0,D. McDermott misses 2-pt shot from 1 ft,,73-82,,
5:38.0,,,73-82,,Defensive rebound by J. Johnson
5:24.0,,,73-84,2,J. Johnson makes 2-pt shot from 1 ft
5:16.0,P. Gasol misses 3-pt shot from 24 ft,,73-84,,
5:15.0,,,73-84,,Defensive rebound by J. Johnson
5:05.0,,,73-84,,G. Dragic misses 2-pt shot from 19 ft
5:04.0,Defensive rebound by P. Gasol,,73-84,,
4:48.0,D. Rose makes 3-pt shot from 24 ft (assist by P. Gasol),3,76-84,,
4:41.0,,,76-84,,Miami full timeout
4:27.0,,,76-86,2,J. Johnson makes 2-pt shot from 8 ft
4:19.0,Offensive foul by T. Snell,,76-86,,
4:19.0,Turnover by T. Snell (offensive foul),,76-86,,
4:19.0,J. Holiday enters the game for T. Snell,,76-86,,
4:00.0,,,76-86,,J. Richardson misses 2-pt shot from 13 ft
3:59.0,,,76-86,,Offensive rebound by A. Stoudemire
3:53.0,,,76-88,2,A. Stoudemire makes 2-pt shot from 2 ft
3:42.0,P. Gasol misses 2-pt shot from 9 ft,,76-88,,
3:41.0,,,76-88,,Defensive rebound by Team
3:25.0,,,76-90,2,J. Johnson makes 2-pt shot from 8 ft
3:14.0,Turnover by D. Rose (lost ball; steal by J. Richardson),,76-90,,
3:09.0,,,76-92,2,J. Richardson makes 2-pt shot from 1 ft
3:09.0,Chicago full timeout,,76-92,,
3:09.0,A. Brooks enters the game for D. Rose,,76-92,,
3:09.0,,,76-92,,H. Whiteside enters the game for A. Stoudemire
2:50.0,B. Portis misses 2-pt shot from 18 ft,,76-92,,
2:49.0,,,76-92,,Defensive rebound by J. Richardson
2:43.0,,,76-92,,J. Johnson misses 3-pt shot from 24 ft
2:42.0,Defensive rebound by P. Gasol,,76-92,,
2:33.0,A. Brooks misses 2-pt shot from 12 ft,,76-92,,
2:32.0,,,76-92,,Defensive rebound by H. Whiteside
2:22.0,,,76-92,,Shooting foul by B. Portis (drawn by G. Dragic)
2:22.0,,,76-92,,G. Dragic misses free throw 1 of 2
2:22.0,,,76-92,,Offensive rebound by Team
2:22.0,,,76-93,1,G. Dragic makes free throw 2 of 2
2:04.0,A. Brooks makes 2-pt shot from 10 ft,2,78-93,,
1:45.0,,,78-93,,H. Whiteside misses 2-pt shot from 7 ft
1:44.0,Defensive rebound by J. Holiday,,78-93,,
1:35.0,,,78-93,,Personal foul by J. Richardson (drawn by D. McDermott)
1:35.0,,,78-93,,L. Deng enters the game for J. Johnson
1:35.0,,,78-93,,D. Wade enters the game for G. Dragic
1:28.0,D. McDermott makes 2-pt shot from 19 ft (assist by P. Gasol),2,80-93,,
1:07.0,,,80-93,,Turnover by D. Wade (bad pass; steal by B. Portis)
1:04.0,B. Portis makes 2-pt shot at rim,2,82-93,,
0:44.0,,,82-93,,D. Wade misses 2-pt shot from 2 ft
0:43.0,Defensive rebound by P. Gasol,,82-93,,
0:37.0,J. Holiday misses 2-pt shot from 1 ft,,82-93,,
0:35.0,Offensive rebound by B. Portis,,82-93,,
0:33.0,B. Portis misses 2-pt shot from 2 ft,,82-93,,
0:32.0,Offensive rebound by B. Portis,,82-93,,
0:15.0,A. Brooks misses 2-pt shot from 9 ft,,82-93,,
0:14.0,,,82-93,,Defensive rebound by J. Richardson
0:01.0,,,82-95,2,D. Wade makes 2-pt shot from 12 ft
0:00.0,A. Brooks misses 3-pt shot from 47 ft,,82-95,,
0:00.0,Offensive rebound by Team,,82-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,J. Holiday misses 3-pt shot from 24 ft,,82-95,,
11:38.0,,,82-95,,Defensive rebound by J. Winslow
11:29.0,Personal foul by B. Portis (drawn by H. Whiteside),,82-95,,
11:14.0,,,82-97,2,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Richardson)
11:02.0,D. McDermott misses 2-pt shot from 1 ft (block by H. Whiteside),,82-97,,
11:01.0,,,82-97,,Defensive rebound by L. Deng
10:53.0,,,82-97,,Turnover by H. Whiteside (3 sec)
10:36.0,A. Brooks misses 2-pt shot from 2 ft,,82-97,,
10:35.0,,,82-97,,Defensive rebound by H. Whiteside
10:26.0,,,82-99,2,J. Winslow makes 2-pt shot at rim
10:12.0,M. Dunleavy makes 2-pt shot from 5 ft,2,84-99,,
9:54.0,,,84-99,,Shooting foul by M. Dunleavy (drawn by H. Whiteside)
9:54.0,,,84-99,,H. Whiteside misses free throw 1 of 2
9:54.0,,,84-99,,Offensive rebound by Team
9:54.0,,,84-100,1,H. Whiteside makes free throw 2 of 2
9:40.0,D. McDermott misses 2-pt shot from 2 ft (block by H. Whiteside),,84-100,,
9:39.0,,,84-100,,Defensive rebound by J. Richardson
9:19.0,,,84-103,3,L. Deng makes 3-pt shot from 24 ft (assist by D. Wade)
9:19.0,Chicago full timeout,,84-103,,
9:05.0,A. Brooks makes 3-pt shot from 25 ft,3,87-103,,
8:51.0,,,87-103,,Turnover by J. Winslow (bad pass)
8:49.0,,,87-103,,Loose ball foul by D. Wade (drawn by J. Holiday)
8:37.0,A. Brooks makes 2-pt shot from 2 ft,2,89-103,,
8:19.0,,,89-103,,Shooting foul by M. Dunleavy (drawn by L. Deng)
8:19.0,,,89-103,,L. Deng misses free throw 1 of 2
8:19.0,,,89-103,,Offensive rebound by Team
8:19.0,,,89-104,1,L. Deng makes free throw 2 of 2
8:09.0,J. Holiday misses 2-pt shot from 17 ft,,89-104,,
8:08.0,Offensive rebound by Team,,89-104,,
8:08.0,,,89-104,,Loose ball foul by J. Richardson (drawn by M. Dunleavy)
8:00.0,A. Brooks misses 2-pt shot from 6 ft,,89-104,,
7:59.0,,,89-104,,Defensive rebound by Team
7:58.0,Personal foul by B. Portis (drawn by H. Whiteside),,89-104,,
7:43.0,,,89-104,,Turnover by D. Wade (lost ball; steal by D. McDermott)
7:38.0,J. Holiday makes 2-pt shot from 1 ft (assist by D. McDermott),2,91-104,,
7:20.0,,,91-104,,J. Winslow misses 3-pt shot from 24 ft
7:19.0,Defensive rebound by B. Portis,,91-104,,
7:09.0,B. Portis makes 3-pt shot from 24 ft (assist by M. Dunleavy),3,94-104,,
7:09.0,,,94-104,,Miami full timeout
7:09.0,,,94-104,,J. Johnson enters the game for J. Richardson
7:09.0,,,94-104,,G. Dragic enters the game for J. Winslow
6:52.0,,,94-104,,Turnover by J. Johnson (lost ball; steal by B. Portis)
6:37.0,A. Brooks misses 2-pt shot from 12 ft (block by H. Whiteside),,94-104,,
6:36.0,,,94-104,,Defensive rebound by H. Whiteside
6:30.0,,,94-106,2,G. Dragic makes 2-pt shot from 12 ft (assist by H. Whiteside)
6:15.0,J. Holiday makes 3-pt shot from 23 ft (assist by A. Brooks),3,97-106,,
5:54.0,,,97-106,,Turnover by L. Deng (bad pass; steal by J. Holiday)
5:47.0,D. McDermott misses 2-pt shot from 2 ft (block by J. Johnson),,97-106,,
5:46.0,Offensive rebound by D. McDermott,,97-106,,
5:40.0,A. Brooks makes 3-pt shot from 25 ft (assist by J. Holiday),3,100-106,,
5:24.0,,,100-108,2,H. Whiteside makes 2-pt shot from 13 ft (assist by G. Dragic)
5:14.0,Shooting foul by G. Dragic (drawn by A. Brooks),,100-108,,
5:14.0,A. Brooks makes free throw 1 of 3,1,101-108,,
5:14.0,A. Brooks misses free throw 2 of 3,,101-108,,
5:14.0,Offensive rebound by Team,,101-108,,
5:14.0,P. Gasol enters the game for B. Portis,,101-108,,
5:14.0,D. Rose enters the game for D. McDermott,,101-108,,
5:14.0,A. Brooks makes free throw 3 of 3,1,102-108,,
4:55.0,,,102-110,2,J. Johnson makes 2-pt shot from 16 ft
4:43.0,P. Gasol misses 2-pt shot from 18 ft,,102-110,,
4:42.0,,,102-110,,Defensive rebound by D. Wade
4:33.0,,,102-112,2,G. Dragic makes 2-pt shot from 17 ft
4:23.0,Shooting foul by D. Wade (drawn by D. Rose),,102-112,,
4:23.0,D. Rose misses free throw 1 of 2,,102-112,,
4:23.0,Offensive rebound by Team,,102-112,,
4:23.0,D. Rose misses free throw 2 of 2,,102-112,,
4:22.0,,,102-112,,Defensive rebound by H. Whiteside
4:02.0,,,102-114,2,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Wade)
3:52.0,Turnover by D. Rose (bad pass),,102-114,,
3:51.0,Loose ball foul by A. Brooks (drawn by J. Johnson),,102-114,,
3:51.0,,,102-115,1,J. Johnson makes free throw 1 of 2
3:51.0,B. Portis enters the game for M. Dunleavy,,102-115,,
3:51.0,D. McDermott enters the game for A. Brooks,,102-115,,
3:51.0,,,102-116,1,J. Johnson makes free throw 2 of 2
3:35.0,P. Gasol makes 2-pt shot from 14 ft (assist by J. Holiday),2,104-116,,
