time,Memphis,pts.away,score,pts.home,Toronto
4:52.0,Defensive rebound by C. Andersen,,32-42,,
4:43.0,Shooting foul by J. Valanciunas (drawn by V. Carter),,32-42,,
4:43.0,V. Carter makes free throw 1 of 2,1,33-42,,
4:43.0,B. Wright enters the game for C. Andersen,,33-42,,
4:43.0,V. Carter makes free throw 2 of 2,1,34-42,,
4:25.0,,,34-42,,Toronto full timeout
4:19.0,,,34-42,,K. Lowry misses 2-pt shot from 2 ft
4:18.0,Defensive rebound by Z. Randolph,,34-42,,
4:03.0,V. Carter makes 3-pt shot from 25 ft (assist by B. Wright),3,37-42,,
3:45.0,,,37-42,,Turnover by K. Lowry (bad pass; steal by V. Carter)
3:31.0,Z. Randolph misses 2-pt shot from 3 ft (block by J. Valanciunas),,37-42,,
3:29.0,Offensive rebound by Z. Randolph,,37-42,,
3:28.0,Z. Randolph misses 2-pt shot from 1 ft,,37-42,,
3:25.0,,,37-42,,Defensive rebound by J. Valanciunas
3:19.0,,,37-42,,D. DeRozan misses 2-pt shot from 3 ft (block by M. Barnes)
3:18.0,Defensive rebound by M. Conley,,37-42,,
3:13.0,M. Barnes misses 3-pt shot from 22 ft,,37-42,,
3:12.0,Offensive rebound by M. Conley,,37-42,,
2:59.0,Z. Randolph makes 2-pt shot from 17 ft (assist by M. Conley),2,39-42,,
2:35.0,,,39-42,,L. Scola misses 2-pt shot from 4 ft
2:35.0,Defensive rebound by V. Carter,,39-42,,
2:28.0,M. Conley misses 2-pt shot from 18 ft,,39-42,,
2:27.0,,,39-42,,Defensive rebound by D. DeRozan
2:22.0,,,39-42,,Toronto full timeout
2:22.0,,,39-42,,C. Joseph enters the game for K. Lowry
2:09.0,,,39-44,2,T. Ross makes 2-pt shot from 20 ft
1:46.0,Turnover by B. Wright (offensive goaltending),,39-44,,
1:28.0,,,39-44,,C. Joseph misses 2-pt shot from 7 ft
1:27.0,Defensive rebound by Z. Randolph,,39-44,,
1:14.0,M. Conley misses 3-pt shot from 24 ft,,39-44,,
1:14.0,,,39-44,,Defensive rebound by Team
1:05.0,,,39-44,,Offensive foul by D. DeRozan
1:05.0,,,39-44,,Turnover by D. DeRozan (offensive foul)
0:55.0,Shooting foul by C. Joseph (drawn by M. Conley),,39-44,,
0:55.0,M. Conley misses free throw 1 of 2,,39-44,,
0:55.0,Offensive rebound by Team,,39-44,,
0:55.0,M. Conley makes free throw 2 of 2,1,40-44,,
0:43.0,,,40-44,,T. Ross misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by Z. Randolph,,40-44,,
0:32.0,V. Carter misses 3-pt shot from 26 ft,,40-44,,
0:31.0,,,40-44,,Defensive rebound by C. Joseph
0:06.0,,,40-44,,D. DeRozan misses 2-pt shot from 20 ft
0:06.0,,,40-44,,Offensive rebound by L. Scola
0:05.0,,,40-46,2,L. Scola makes 2-pt shot from 2 ft
0:02.0,Shooting foul by T. Ross (drawn by V. Carter),,40-46,,
0:02.0,V. Carter makes free throw 1 of 3,1,41-46,,
0:02.0,V. Carter makes free throw 2 of 3,1,42-46,,
0:02.0,J. Green enters the game for Z. Randolph,,42-46,,
0:02.0,V. Carter makes free throw 3 of 3,1,43-46,,
0:00.0,,,43-46,,C. Joseph misses 3-pt shot from 51 ft
0:00.0,,,43-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,43-46,,D. DeRozan misses 2-pt shot from 2 ft (block by M. Barnes)
11:43.0,,,43-46,,Offensive rebound by Team
11:42.0,,,43-46,,Shooting foul by M. Barnes (drawn by D. DeRozan)
11:42.0,,,43-46,,D. DeRozan misses free throw 1 of 2
11:42.0,,,43-46,,Offensive rebound by Team
11:42.0,,,43-47,1,D. DeRozan makes free throw 2 of 2
11:25.0,J. Green misses 3-pt shot from 25 ft,,43-47,,
11:24.0,,,43-47,,Defensive rebound by K. Lowry
11:19.0,,,43-47,,L. Scola misses 2-pt shot from 1 ft
11:19.0,Defensive rebound by M. Conley,,43-47,,
11:11.0,M. Barnes misses 3-pt shot from 23 ft,,43-47,,
11:11.0,,,43-47,,Defensive rebound by K. Lowry
10:57.0,,,43-49,2,L. Scola makes 2-pt shot from 2 ft
10:57.0,,,43-49,,Shooting foul by J. Green (drawn by L. Scola)
10:57.0,,,43-50,1,L. Scola makes free throw 1 of 1
10:40.0,J. Green misses 2-pt shot from 2 ft,,43-50,,
10:40.0,Offensive rebound by J. Green,,43-50,,
10:40.0,J. Green makes 2-pt shot from 2 ft,2,45-50,,
10:40.0,Shooting foul by L. Scola (drawn by J. Green),,45-50,,
10:40.0,J. Green misses free throw 1 of 1,,45-50,,
10:39.0,,,45-50,,Defensive rebound by L. Scola
10:24.0,,,45-50,,Turnover by J. Valanciunas (3 sec)
10:04.0,Shooting foul by J. Valanciunas (drawn by Z. Randolph),,45-50,,
10:04.0,Z. Randolph makes free throw 1 of 2,1,46-50,,
10:04.0,Z. Randolph makes free throw 2 of 2,1,47-50,,
9:51.0,,,47-52,2,K. Lowry makes 2-pt shot from 6 ft
9:39.0,M. Conley misses 2-pt shot from 16 ft,,47-52,,
9:39.0,,,47-52,,Defensive rebound by J. Johnson
9:25.0,,,47-52,,L. Scola misses 3-pt shot from 22 ft
9:25.0,Defensive rebound by J. Green,,47-52,,
9:11.0,Shooting foul by K. Lowry (drawn by M. Barnes),,47-52,,
9:11.0,M. Barnes misses free throw 1 of 2,,47-52,,
9:11.0,Offensive rebound by Team,,47-52,,
9:11.0,M. Barnes makes free throw 2 of 2,1,48-52,,
8:48.0,,,48-52,,L. Scola misses 3-pt shot from 24 ft
8:48.0,,,48-52,,Offensive rebound by J. Valanciunas
8:45.0,,,48-54,2,J. Valanciunas makes 2-pt shot from 2 ft
8:28.0,P. Hairston misses 2-pt shot from 18 ft,,48-54,,
8:28.0,,,48-54,,Defensive rebound by J. Johnson
8:20.0,,,48-54,,J. Johnson misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by Team,,48-54,,
8:20.0,,,48-54,,Personal foul by L. Scola (drawn by Z. Randolph)
8:07.0,M. Conley makes 2-pt shot from 1 ft,2,50-54,,
7:39.0,,,50-54,,J. Valanciunas misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by J. Green,,50-54,,
7:24.0,J. Green makes 2-pt shot from 20 ft (assist by M. Conley),2,52-54,,
7:23.0,,,52-54,,Toronto full timeout
7:10.0,Personal foul by J. Green (drawn by K. Lowry),,52-54,,
6:57.0,,,52-54,,J. Johnson misses 3-pt shot from 23 ft
6:56.0,,,52-54,,Offensive rebound by Team
6:56.0,,,52-54,,Turnover by Team (shot clock)
6:39.0,Z. Randolph misses 2-pt shot from 16 ft,,52-54,,
6:38.0,,,52-54,,Defensive rebound by J. Valanciunas
6:31.0,,,52-56,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
6:31.0,,,52-56,,Shooting foul by J. Green (drawn by J. Valanciunas)
6:31.0,B. Wright enters the game for J. Green,,52-56,,
6:31.0,,,52-57,1,J. Valanciunas makes free throw 1 of 1
6:18.0,B. Wright makes 2-pt shot from 1 ft (assist by M. Conley),2,54-57,,
5:56.0,,,54-57,,D. DeRozan misses 2-pt shot from 22 ft
5:55.0,Defensive rebound by P. Hairston,,54-57,,
5:45.0,P. Hairston misses 2-pt shot from 4 ft,,54-57,,
5:44.0,,,54-57,,Defensive rebound by J. Valanciunas
5:40.0,,,54-57,,J. Johnson misses 2-pt shot from 1 ft (block by B. Wright)
5:40.0,,,54-57,,Offensive rebound by Team
5:40.0,,,54-57,,T. Ross enters the game for J. Johnson
5:40.0,,,54-57,,P. Patterson enters the game for L. Scola
5:21.0,,,54-59,2,D. DeRozan makes 2-pt shot from 4 ft
5:04.0,M. Barnes misses 3-pt shot from 24 ft,,54-59,,
5:03.0,,,54-59,,Defensive rebound by D. DeRozan
4:51.0,,,54-62,3,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas)
4:51.0,Memphis full timeout,,54-62,,
4:51.0,V. Carter enters the game for P. Hairston,,54-62,,
4:31.0,V. Carter makes 2-pt shot from 21 ft (assist by Z. Randolph),2,56-62,,
4:10.0,,,56-64,2,D. DeRozan makes 2-pt shot from 1 ft
3:48.0,Z. Randolph makes 2-pt shot from 3 ft,2,58-64,,
3:26.0,,,58-66,2,J. Valanciunas makes 2-pt shot from 1 ft
3:26.0,,,58-66,,Shooting foul by Z. Randolph (drawn by J. Valanciunas)
3:26.0,M. Chalmers enters the game for M. Conley,,58-66,,
3:26.0,,,58-67,1,J. Valanciunas makes free throw 1 of 1
3:17.0,,,58-67,,Violation by K. Lowry (kicked ball)
3:17.0,,,58-67,,C. Joseph enters the game for K. Lowry
3:08.0,Z. Randolph makes 2-pt shot from 6 ft,2,60-67,,
2:42.0,,,60-67,,D. DeRozan misses 2-pt shot from 2 ft
2:41.0,Defensive rebound by M. Barnes,,60-67,,
2:37.0,Turnover by M. Barnes (bad pass),,60-67,,
2:24.0,,,60-69,2,C. Joseph makes 2-pt shot from 16 ft
2:06.0,M. Chalmers misses 2-pt shot from 2 ft,,60-69,,
2:05.0,,,60-69,,Defensive rebound by J. Valanciunas
1:55.0,,,60-69,,P. Patterson misses 3-pt shot from 24 ft
1:54.0,Defensive rebound by M. Chalmers,,60-69,,
1:51.0,Offensive foul by M. Barnes,,60-69,,
1:51.0,Turnover by M. Barnes (offensive foul),,60-69,,
1:51.0,Technical foul by M. Barnes,,60-69,,
1:51.0,,,60-70,1,D. DeRozan makes technical free throw
1:51.0,,,60-70,,B. Biyombo enters the game for J. Valanciunas
1:51.0,L. Stephenson enters the game for M. Barnes,,60-70,,
1:37.0,,,60-70,,D. DeRozan misses 2-pt shot from 1 ft
1:37.0,Defensive rebound by B. Wright,,60-70,,
1:23.0,Z. Randolph misses 2-pt shot from 7 ft,,60-70,,
1:21.0,Offensive rebound by M. Chalmers,,60-70,,
1:19.0,Shooting foul by T. Ross (drawn by M. Chalmers),,60-70,,
1:19.0,M. Chalmers makes free throw 1 of 2,1,61-70,,
1:19.0,M. Chalmers makes free throw 2 of 2,1,62-70,,
1:00.0,,,62-72,2,C. Joseph makes 2-pt shot from 1 ft
0:40.0,Z. Randolph misses 2-pt shot from 5 ft,,62-72,,
0:39.0,Offensive rebound by Team,,62-72,,
0:35.0,M. Chalmers makes 2-pt shot from 4 ft,2,64-72,,
0:31.0,,,64-72,,Turnover by D. DeRozan (traveling)
0:31.0,M. Conley enters the game for Z. Randolph,,64-72,,
0:15.0,M. Chalmers misses 2-pt shot from 3 ft,,64-72,,
0:15.0,,,64-72,,Defensive rebound by B. Biyombo
0:03.0,,,64-72,,Shooting foul by B. Wright (drawn by D. DeRozan)
0:03.0,,,64-73,1,D. DeRozan makes free throw 1 of 2
0:03.0,,,64-74,1,D. DeRozan makes free throw 2 of 2
0:03.0,Turnover by V. Carter (bad pass; steal by B. Biyombo),,64-74,,
0:00.0,,,64-74,,B. Biyombo misses 3-pt shot from 38 ft
0:00.0,,,64-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Turnover by B. Wright (lost ball),,64-74,,
11:23.0,,,64-76,2,B. Biyombo makes 2-pt shot from 9 ft
11:02.0,M. Chalmers misses 2-pt shot from 6 ft,,64-76,,
11:01.0,,,64-76,,Defensive rebound by B. Biyombo
10:52.0,,,64-76,,P. Patterson misses 3-pt shot from 23 ft
10:51.0,Defensive rebound by M. Chalmers,,64-76,,
10:35.0,M. Chalmers misses 3-pt shot from 24 ft,,64-76,,
10:34.0,,,64-76,,Defensive rebound by P. Patterson
10:24.0,,,64-76,,Turnover by K. Lowry (bad pass; steal by V. Carter)
10:18.0,L. Stephenson makes 2-pt shot from 1 ft (assist by M. Conley),2,66-76,,
10:00.0,,,66-76,,T. Ross misses 3-pt shot from 24 ft
9:59.0,,,66-76,,Offensive rebound by C. Joseph
9:55.0,,,66-76,,K. Lowry misses 3-pt shot from 24 ft
9:55.0,Defensive rebound by L. Stephenson,,66-76,,
9:55.0,Memphis full timeout,,66-76,,
9:55.0,C. Andersen enters the game for B. Wright,,66-76,,
9:42.0,M. Conley misses 2-pt shot from 5 ft,,66-76,,
9:42.0,,,66-76,,Defensive rebound by B. Biyombo
9:38.0,Shooting block foul by M. Chalmers (drawn by K. Lowry),,66-76,,
9:38.0,,,66-76,,K. Lowry misses free throw 1 of 2
9:38.0,,,66-76,,Offensive rebound by Team
9:38.0,,,66-77,1,K. Lowry makes free throw 2 of 2
9:19.0,L. Stephenson misses 2-pt shot from 18 ft,,66-77,,
9:18.0,,,66-77,,Defensive rebound by C. Joseph
9:10.0,,,66-80,3,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry)
8:48.0,Shooting foul by C. Joseph (drawn by C. Andersen),,66-80,,
8:48.0,C. Andersen makes free throw 1 of 2,1,67-80,,
8:48.0,J. Green enters the game for M. Conley,,67-80,,
8:48.0,C. Andersen misses free throw 2 of 2,,67-80,,
8:47.0,,,67-80,,Defensive rebound by C. Joseph
8:23.0,,,67-80,,P. Patterson misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by V. Carter,,67-80,,
8:10.0,M. Chalmers makes 2-pt shot from 2 ft,2,69-80,,
8:10.0,Shooting foul by B. Biyombo (drawn by M. Chalmers),,69-80,,
8:10.0,M. Chalmers makes free throw 1 of 1,1,70-80,,
7:50.0,,,70-80,,K. Lowry misses 2-pt shot from 2 ft
7:50.0,,,70-80,,Offensive rebound by B. Biyombo
7:46.0,,,70-82,2,B. Biyombo makes 2-pt shot at rim
7:33.0,M. Chalmers makes 2-pt shot from 1 ft (assist by C. Andersen),2,72-82,,
7:15.0,,,72-82,,P. Patterson misses 2-pt shot from 4 ft
7:14.0,Defensive rebound by J. Green,,72-82,,
7:04.0,M. Chalmers misses 2-pt shot from 17 ft,,72-82,,
7:04.0,,,72-82,,Defensive rebound by K. Lowry
6:51.0,,,72-82,,Shooting foul by V. Carter (drawn by C. Joseph)
6:51.0,,,72-83,1,C. Joseph makes free throw 1 of 2
6:51.0,,,72-84,1,C. Joseph makes free throw 2 of 2
6:40.0,Shooting foul by B. Biyombo (drawn by M. Chalmers),,72-84,,
6:40.0,M. Chalmers makes free throw 1 of 2,1,73-84,,
6:40.0,,,73-84,,J. Valanciunas enters the game for B. Biyombo
6:40.0,M. Chalmers makes free throw 2 of 2,1,74-84,,
6:20.0,,,74-84,,Turnover by C. Joseph (lost ball; steal by J. Green)
6:04.0,M. Chalmers misses 2-pt shot from 9 ft,,74-84,,
6:04.0,Offensive rebound by M. Chalmers,,74-84,,
5:59.0,L. Stephenson makes 2-pt shot from 20 ft,2,76-84,,
5:50.0,,,76-84,,Toronto full timeout
5:50.0,Z. Randolph enters the game for C. Andersen,,76-84,,
5:50.0,,,76-84,,D. DeRozan enters the game for T. Ross
5:42.0,,,76-84,,K. Lowry misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by L. Stephenson,,76-84,,
5:26.0,L. Stephenson makes 2-pt shot from 2 ft (assist by V. Carter),2,78-84,,
4:58.0,,,78-84,,C. Joseph misses 2-pt shot from 2 ft
4:58.0,,,78-84,,Offensive rebound by P. Patterson
4:58.0,,,78-84,,Shooting foul by J. Green (drawn by P. Patterson)
4:58.0,,,78-85,1,P. Patterson makes free throw 1 of 2
4:58.0,,,78-85,,P. Patterson misses free throw 2 of 2
4:58.0,Defensive rebound by J. Green,,78-85,,
4:40.0,L. Stephenson makes 2-pt shot from 7 ft,2,80-85,,
4:23.0,,,80-87,2,D. DeRozan makes 2-pt shot from 2 ft
4:07.0,,,80-87,,Personal foul by P. Patterson (drawn by J. Green)
4:07.0,M. Barnes enters the game for J. Green,,80-87,,
4:07.0,M. Conley enters the game for M. Chalmers,,80-87,,
