time,San Antonio,pts.away,score,pts.home,Miami
8:08.0,Offensive rebound by Team,,7-6,,
8:05.0,D. Green misses 2-pt shot from 15 ft,,7-6,,
8:04.0,,,7-6,,Defensive rebound by A. Stoudemire
7:52.0,,,7-8,2,A. Stoudemire makes 2-pt shot from 2 ft (assist by G. Dragic)
7:42.0,,,7-8,,Personal foul by A. Stoudemire (drawn by D. West)
7:32.0,L. Aldridge misses 2-pt shot from 15 ft,,7-8,,
7:31.0,,,7-8,,Defensive rebound by A. Stoudemire
7:27.0,,,7-8,,Shooting foul by D. West (drawn by L. Deng)
7:27.0,,,7-9,1,L. Deng makes free throw 1 of 2
7:27.0,,,7-10,1,L. Deng makes free throw 2 of 2
7:13.0,K. Leonard misses 2-pt shot from 15 ft,,7-10,,
7:12.0,,,7-10,,Defensive rebound by C. Bosh
7:02.0,,,7-10,,Turnover by C. Bosh (bad pass; steal by D. Green)
6:56.0,T. Parker misses 2-pt shot from 2 ft,,7-10,,
6:55.0,Offensive rebound by D. Green,,7-10,,
6:54.0,D. Green makes 2-pt shot at rim,2,9-10,,
6:38.0,,,9-12,2,C. Bosh makes 2-pt shot from 15 ft (assist by D. Wade)
6:38.0,San Antonio full timeout,,9-12,,
6:25.0,T. Parker misses 2-pt shot from 1 ft,,9-12,,
6:24.0,,,9-12,,Defensive rebound by C. Bosh
6:17.0,,,9-15,3,L. Deng makes 3-pt shot from 23 ft (assist by G. Dragic)
5:59.0,K. Leonard misses 2-pt shot from 19 ft,,9-15,,
5:58.0,,,9-15,,Defensive rebound by L. Deng
5:49.0,,,9-15,,C. Bosh misses 3-pt shot from 24 ft
5:48.0,Defensive rebound by D. Green,,9-15,,
5:41.0,K. Leonard misses 2-pt shot from 8 ft,,9-15,,
5:40.0,Offensive rebound by D. West,,9-15,,
5:40.0,Shooting foul by A. Stoudemire (drawn by D. West),,9-15,,
5:40.0,D. West makes free throw 1 of 2,1,10-15,,
5:40.0,P. Mills enters the game for T. Parker,,10-15,,
5:40.0,J. Simmons enters the game for D. Green,,10-15,,
5:40.0,,,10-15,,H. Whiteside enters the game for A. Stoudemire
5:40.0,D. West makes free throw 2 of 2,1,11-15,,
5:28.0,,,11-17,2,D. Wade makes 2-pt shot from 1 ft (assist by G. Dragic)
5:12.0,J. Simmons misses 2-pt shot from 8 ft,,11-17,,
5:11.0,Offensive rebound by P. Mills,,11-17,,
5:03.0,Turnover by K. Leonard (lost ball; steal by L. Deng),,11-17,,
4:51.0,,,11-17,,L. Deng misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by J. Simmons,,11-17,,
4:45.0,P. Mills misses 3-pt shot from 23 ft,,11-17,,
4:44.0,,,11-17,,Defensive rebound by L. Deng
4:34.0,,,11-17,,L. Deng misses 2-pt shot from 1 ft (block by L. Aldridge)
4:33.0,Defensive rebound by D. West,,11-17,,
4:23.0,D. West misses 2-pt shot from 19 ft,,11-17,,
4:22.0,Offensive rebound by Team,,11-17,,
4:22.0,,,11-17,,G. Green enters the game for D. Wade
4:22.0,B. Marjanovic enters the game for D. West,,11-17,,
4:14.0,,,11-17,,Violation by H. Whiteside (def goaltending)
4:14.0,J. Simmons makes 2-pt shot from 8 ft,2,13-17,,
3:58.0,,,13-19,2,H. Whiteside makes 2-pt shot from 15 ft (assist by C. Bosh)
3:43.0,,,13-19,,Shooting block foul by C. Bosh (drawn by L. Aldridge)
3:43.0,L. Aldridge makes free throw 1 of 2,1,14-19,,
3:43.0,L. Aldridge makes free throw 2 of 2,1,15-19,,
3:41.0,,,15-19,,Miami full timeout
3:41.0,Personal take foul by B. Marjanovic (drawn by H. Whiteside),,15-19,,
3:41.0,,,15-20,1,H. Whiteside makes free throw 1 of 2
3:41.0,,,15-20,,J. Winslow enters the game for L. Deng
3:41.0,,,15-20,,H. Whiteside misses free throw 2 of 2
3:40.0,Defensive rebound by K. Leonard,,15-20,,
3:24.0,B. Marjanovic misses 2-pt shot from 9 ft,,15-20,,
3:23.0,,,15-20,,Defensive rebound by G. Green
3:13.0,,,15-22,2,G. Dragic makes 2-pt shot from 13 ft
2:52.0,Turnover by J. Simmons (bad pass; steal by G. Dragic),,15-22,,
2:50.0,,,15-22,,Offensive charge foul by G. Dragic
2:50.0,,,15-22,,Turnover by G. Dragic (offensive foul)
2:50.0,,,15-22,,B. Udrih enters the game for G. Dragic
2:50.0,D. Green enters the game for K. Leonard,,15-22,,
2:50.0,B. Diaw enters the game for L. Aldridge,,15-22,,
2:25.0,B. Marjanovic makes 2-pt shot from 8 ft (assist by D. Green),2,17-22,,
2:05.0,,,17-22,,B. Udrih misses 2-pt shot from 17 ft
2:04.0,Defensive rebound by B. Diaw,,17-22,,
1:57.0,J. Simmons misses 2-pt shot at rim (block by H. Whiteside),,17-22,,
1:56.0,,,17-22,,Defensive rebound by G. Green
1:40.0,,,17-22,,C. Bosh misses 2-pt shot from 14 ft
1:39.0,Defensive rebound by B. Marjanovic,,17-22,,
1:24.0,B. Marjanovic misses 2-pt shot from 2 ft,,17-22,,
1:23.0,,,17-22,,Defensive rebound by G. Green
1:21.0,Personal foul by J. Simmons (drawn by G. Green),,17-22,,
1:21.0,,,17-22,,J. McRoberts enters the game for C. Bosh
1:04.0,,,17-22,,H. Whiteside misses 2-pt shot from 6 ft
1:03.0,Defensive rebound by D. Green,,17-22,,
0:55.0,J. Simmons makes 2-pt shot at rim (assist by B. Diaw),2,19-22,,
0:40.0,,,19-22,,G. Green misses 2-pt shot from 5 ft (block by D. Green)
0:39.0,Defensive rebound by J. Simmons,,19-22,,
0:35.0,P. Mills misses 3-pt shot from 24 ft,,19-22,,
0:34.0,Offensive rebound by J. Simmons,,19-22,,
0:19.0,,,19-22,,Personal foul by J. Winslow (drawn by P. Mills)
0:19.0,P. Mills makes free throw 1 of 2,1,20-22,,
0:19.0,,,20-22,,D. Wade enters the game for B. Udrih
0:19.0,P. Mills misses free throw 2 of 2,,20-22,,
0:17.0,,,20-22,,Defensive rebound by J. McRoberts
0:02.0,,,20-24,2,D. Wade makes 2-pt shot from 18 ft
0:00.0,P. Mills misses 3-pt shot from 37 ft,,20-24,,
0:00.0,Offensive rebound by Team,,20-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by J. Simmons (bad pass; steal by J. McRoberts),,20-24,,
11:41.0,,,20-26,2,B. Udrih makes 2-pt shot from 2 ft (assist by J. McRoberts)
11:26.0,L. Aldridge makes 2-pt shot from 10 ft,2,22-26,,
11:09.0,,,22-28,2,B. Udrih makes 2-pt shot from 17 ft
10:52.0,Turnover by B. Diaw (lost ball; steal by J. McRoberts),,22-28,,
10:35.0,,,22-28,,G. Green misses 2-pt shot from 9 ft
10:34.0,Defensive rebound by P. Mills,,22-28,,
10:20.0,Shooting foul by H. Whiteside (drawn by L. Aldridge),,22-28,,
10:20.0,L. Aldridge makes free throw 1 of 2,1,23-28,,
10:20.0,T. Parker enters the game for P. Mills,,23-28,,
10:20.0,L. Aldridge makes free throw 2 of 2,1,24-28,,
9:58.0,,,24-28,,Turnover by J. Winslow (dbl dribble)
9:44.0,Shooting foul by H. Whiteside (drawn by L. Aldridge),,24-28,,
9:44.0,L. Aldridge makes free throw 1 of 2,1,25-28,,
9:44.0,L. Aldridge makes free throw 2 of 2,1,26-28,,
9:28.0,,,26-30,2,B. Udrih makes 2-pt shot from 12 ft
9:16.0,,,26-30,,Personal block foul by J. McRoberts (drawn by B. Diaw)
9:02.0,D. Green makes 2-pt shot from 21 ft (assist by L. Aldridge),2,28-30,,
8:44.0,Official timeout,,28-30,,
8:44.0,K. Leonard enters the game for J. Simmons,,28-30,,
8:44.0,,,28-30,,D. Wade enters the game for G. Green
8:37.0,,,28-32,2,H. Whiteside makes 2-pt shot from 4 ft (assist by D. Wade)
8:21.0,L. Aldridge makes 2-pt shot from 7 ft (assist by B. Diaw),2,30-32,,
8:07.0,,,30-34,2,D. Wade makes 2-pt shot from 19 ft
7:51.0,D. Green makes 2-pt shot from 20 ft (assist by L. Aldridge),2,32-34,,
7:30.0,,,32-36,2,H. Whiteside makes 2-pt shot from 4 ft (assist by D. Wade)
7:07.0,L. Aldridge misses 2-pt shot from 16 ft,,32-36,,
7:05.0,Offensive rebound by Team,,32-36,,
7:05.0,,,32-36,,G. Dragic enters the game for B. Udrih
7:05.0,D. West enters the game for L. Aldridge,,32-36,,
6:50.0,B. Diaw misses 2-pt shot from 8 ft,,32-36,,
6:49.0,Offensive rebound by B. Diaw,,32-36,,
6:48.0,B. Diaw misses 2-pt shot from 9 ft (block by H. Whiteside),,32-36,,
6:47.0,Offensive rebound by D. Green,,32-36,,
6:42.0,D. Green makes 3-pt shot from 25 ft (assist by T. Parker),3,35-36,,
6:12.0,,,35-38,2,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Winslow)
6:12.0,,,35-38,,Shooting foul by K. Leonard (drawn by H. Whiteside)
6:12.0,,,35-39,1,H. Whiteside makes free throw 1 of 1
6:02.0,D. Green makes 2-pt shot from 1 ft (assist by T. Parker),2,37-39,,
5:42.0,,,37-39,,G. Dragic misses 2-pt shot from 19 ft
5:41.0,Defensive rebound by K. Leonard,,37-39,,
5:33.0,K. Leonard misses 2-pt shot from 1 ft (block by J. McRoberts),,37-39,,
5:32.0,Offensive rebound by K. Leonard,,37-39,,
5:28.0,B. Diaw makes 3-pt shot from 25 ft (assist by K. Leonard),3,40-39,,
5:28.0,,,40-39,,Miami full timeout
5:28.0,,,40-39,,C. Bosh enters the game for J. Winslow
5:28.0,,,40-39,,L. Deng enters the game for J. McRoberts
5:07.0,,,40-39,,L. Deng misses 3-pt shot from 23 ft
5:06.0,Defensive rebound by T. Parker,,40-39,,
4:52.0,D. West misses 2-pt shot from 16 ft,,40-39,,
4:51.0,,,40-39,,Defensive rebound by H. Whiteside
4:41.0,,,40-41,2,G. Dragic makes 2-pt shot from 16 ft
4:20.0,K. Leonard makes 2-pt shot from 18 ft,2,42-41,,
4:04.0,,,42-41,,H. Whiteside misses 2-pt shot from 15 ft
4:03.0,Defensive rebound by D. Green,,42-41,,
4:00.0,Turnover by D. Green (discontinued dribble),,42-41,,
3:47.0,,,42-41,,Shooting foul by B. Diaw (drawn by C. Bosh)
3:47.0,,,42-42,1,C. Bosh makes free throw 1 of 2
3:47.0,L. Aldridge enters the game for B. Diaw,,42-42,,
3:47.0,J. Simmons enters the game for D. Green,,42-42,,
3:47.0,,,42-43,1,C. Bosh makes free throw 2 of 2
3:32.0,K. Leonard makes 2-pt shot from 9 ft (assist by T. Parker),2,44-43,,
3:16.0,,,44-43,,Turnover by C. Bosh (lost ball; steal by K. Leonard)
3:12.0,J. Simmons makes 2-pt shot at rim (assist by K. Leonard),2,46-43,,
2:53.0,,,46-43,,Turnover by C. Bosh (bad pass)
2:53.0,San Antonio full timeout,,46-43,,
2:34.0,K. Leonard misses 2-pt shot from 14 ft,,46-43,,
2:33.0,,,46-43,,Defensive rebound by H. Whiteside
2:19.0,,,46-45,2,D. Wade makes 2-pt shot from 16 ft
1:56.0,L. Aldridge misses 2-pt shot from 8 ft,,46-45,,
1:55.0,Offensive rebound by K. Leonard,,46-45,,
1:54.0,K. Leonard makes 2-pt shot from 2 ft,2,48-45,,
1:36.0,,,48-47,2,H. Whiteside makes 2-pt shot from 8 ft (assist by D. Wade)
1:10.0,L. Aldridge makes 2-pt shot from 3 ft (assist by K. Leonard),2,50-47,,
0:49.0,,,50-47,,C. Bosh misses 2-pt shot from 14 ft
0:48.0,Defensive rebound by D. West,,50-47,,
0:35.0,D. West makes 2-pt shot from 16 ft (assist by L. Aldridge),2,52-47,,
0:32.0,,,52-47,,Miami full timeout
0:32.0,,,52-47,,J. Winslow enters the game for H. Whiteside
0:32.0,D. Green enters the game for D. West,,52-47,,
0:32.0,,,52-47,,B. Udrih enters the game for G. Dragic
0:14.0,,,52-47,,Turnover by D. Wade (bad pass)
0:04.0,L. Aldridge makes 2-pt shot at rim (assist by T. Parker),2,54-47,,
0:00.0,,,54-47,,Turnover by B. Udrih (lost ball; steal by D. Green)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,L. Aldridge misses 2-pt shot from 16 ft,,54-47,,
11:37.0,,,54-47,,Defensive rebound by A. Stoudemire
11:15.0,,,54-50,3,L. Deng makes 3-pt shot from 25 ft (assist by D. Wade)
10:57.0,T. Parker makes 2-pt shot from 2 ft,2,56-50,,
10:34.0,,,56-50,,Turnover by G. Dragic (lost ball)
10:23.0,T. Parker misses 2-pt shot from 2 ft (block by A. Stoudemire),,56-50,,
10:22.0,,,56-50,,Defensive rebound by C. Bosh
10:19.0,,,56-50,,Shooting foul by D. Green (drawn by G. Dragic)
10:19.0,,,56-50,,G. Dragic misses free throw 1 of 2
10:19.0,,,56-50,,Offensive rebound by Team
10:19.0,,,56-50,,G. Dragic misses free throw 2 of 2
10:18.0,Defensive rebound by K. Leonard,,56-50,,
9:59.0,Turnover by D. West (lost ball),,56-50,,
9:59.0,Loose ball foul by D. West (drawn by A. Stoudemire),,56-50,,
9:45.0,,,56-52,2,D. Wade makes 2-pt shot from 17 ft (assist by A. Stoudemire)
9:36.0,L. Aldridge makes 2-pt shot from 1 ft (assist by D. West),2,58-52,,
9:19.0,,,58-54,2,D. Wade makes 2-pt shot from 1 ft
9:08.0,K. Leonard makes 3-pt shot from 24 ft (assist by D. West),3,61-54,,
8:45.0,,,61-54,,D. Wade misses 2-pt shot from 1 ft (block by K. Leonard)
8:44.0,Defensive rebound by L. Aldridge,,61-54,,
8:35.0,L. Aldridge makes 2-pt shot at rim (assist by D. Green),2,63-54,,
8:18.0,,,63-56,2,C. Bosh makes 2-pt shot from 19 ft (assist by G. Dragic)
8:08.0,D. Green misses 3-pt shot from 24 ft,,63-56,,
8:07.0,,,63-56,,Defensive rebound by A. Stoudemire
8:02.0,,,63-58,2,L. Deng makes 2-pt shot from 2 ft (assist by G. Dragic)
8:02.0,,,63-58,,Shooting foul by D. West (drawn by L. Deng)
8:02.0,San Antonio full timeout,,63-58,,
8:02.0,,,63-58,,L. Deng misses free throw 1 of 1
8:01.0,Defensive rebound by K. Leonard,,63-58,,
7:46.0,K. Leonard misses 2-pt shot from 19 ft,,63-58,,
7:45.0,Offensive rebound by Team,,63-58,,
7:45.0,,,63-58,,Loose ball foul by A. Stoudemire (drawn by K. Leonard)
7:32.0,K. Leonard makes 2-pt shot from 10 ft,2,65-58,,
7:06.0,,,65-58,,A. Stoudemire misses 2-pt shot from 19 ft
7:05.0,,,65-58,,Offensive rebound by Team
7:05.0,,,65-58,,Turnover by Team (shot clock)
6:50.0,D. West makes 2-pt shot from 17 ft (assist by L. Aldridge),2,67-58,,
6:44.0,,,67-58,,Miami full timeout
6:31.0,,,67-58,,A. Stoudemire misses 2-pt shot from 13 ft
6:30.0,Defensive rebound by D. Green,,67-58,,
6:22.0,,,67-58,,Personal foul by C. Bosh (drawn by L. Aldridge)
6:15.0,L. Aldridge misses 2-pt shot from 16 ft,,67-58,,
6:14.0,,,67-58,,Defensive rebound by A. Stoudemire
6:04.0,,,67-58,,Turnover by C. Bosh (bad pass; steal by T. Parker)
5:59.0,T. Parker makes 2-pt shot from 2 ft,2,69-58,,
5:45.0,,,69-58,,Turnover by D. Wade (bad pass; steal by K. Leonard)
5:41.0,,,69-58,,H. Whiteside enters the game for A. Stoudemire
5:22.0,L. Aldridge makes 2-pt shot from 2 ft (assist by D. Green),2,71-58,,
5:09.0,,,71-60,2,G. Dragic makes 2-pt shot from 16 ft
4:58.0,T. Parker misses 2-pt shot from 14 ft,,71-60,,
4:57.0,,,71-60,,Defensive rebound by H. Whiteside
4:52.0,,,71-60,,Turnover by G. Dragic (lost ball; steal by T. Parker)
4:47.0,L. Aldridge makes 2-pt shot from 1 ft (assist by T. Parker),2,73-60,,
4:34.0,Personal foul by D. West (drawn by H. Whiteside),,73-60,,
4:34.0,P. Mills enters the game for T. Parker,,73-60,,
4:34.0,B. Diaw enters the game for D. West,,73-60,,
4:34.0,J. Simmons enters the game for D. Green,,73-60,,
4:34.0,,,73-60,,B. Udrih enters the game for G. Dragic
4:27.0,Personal foul by J. Simmons (drawn by L. Deng),,73-60,,
4:27.0,,,73-60,,L. Deng misses free throw 1 of 2
4:27.0,,,73-60,,Offensive rebound by Team
4:27.0,R. Butler enters the game for J. Simmons,,73-60,,
4:27.0,,,73-61,1,L. Deng makes free throw 2 of 2
4:12.0,K. Leonard makes 2-pt shot from 10 ft,2,75-61,,
3:50.0,,,75-61,,L. Deng misses 3-pt shot from 23 ft
3:49.0,Defensive rebound by P. Mills,,75-61,,
3:34.0,Shooting foul by D. Wade (drawn by B. Diaw),,75-61,,
3:34.0,B. Diaw misses free throw 1 of 2,,75-61,,
3:34.0,Offensive rebound by Team,,75-61,,
3:34.0,,,75-61,,G. Green enters the game for D. Wade
3:34.0,,,75-61,,J. Winslow enters the game for L. Deng
3:34.0,B. Marjanovic enters the game for L. Aldridge,,75-61,,
3:34.0,B. Diaw misses free throw 2 of 2,,75-61,,
3:33.0,,,75-61,,Defensive rebound by H. Whiteside
3:15.0,,,75-61,,B. Udrih misses 2-pt shot from 18 ft
3:14.0,Defensive rebound by K. Leonard,,75-61,,
3:06.0,Turnover by B. Marjanovic (3 sec),,75-61,,
2:46.0,,,75-63,2,H. Whiteside makes 2-pt shot from 11 ft
2:31.0,P. Mills makes 3-pt shot from 23 ft (assist by R. Butler),3,78-63,,
2:08.0,,,78-65,2,C. Bosh makes 2-pt shot from 20 ft (assist by B. Udrih)
1:49.0,K. Leonard makes 2-pt shot from 11 ft,2,80-65,,
1:38.0,J. Simmons enters the game for K. Leonard,,80-65,,
1:27.0,,,80-65,,Shooting foul by B. Diaw (drawn by C. Bosh)
1:27.0,,,80-66,1,C. Bosh makes free throw 1 of 2
1:27.0,,,80-67,1,C. Bosh makes free throw 2 of 2
1:13.0,J. Simmons misses 2-pt shot from 2 ft,,80-67,,
1:12.0,Offensive rebound by B. Marjanovic,,80-67,,
1:12.0,Shooting foul by H. Whiteside (drawn by B. Marjanovic),,80-67,,
1:12.0,B. Marjanovic misses free throw 1 of 2,,80-67,,
1:12.0,Offensive rebound by Team,,80-67,,
1:12.0,B. Marjanovic makes free throw 2 of 2,1,81-67,,
1:11.0,Personal foul by P. Mills (drawn by B. Udrih),,81-67,,
1:11.0,,,81-68,1,B. Udrih makes free throw 1 of 2
1:11.0,,,81-69,1,B. Udrih makes free throw 2 of 2
0:54.0,J. Simmons makes 2-pt shot from 14 ft,2,83-69,,
0:45.0,,,83-72,3,G. Green makes 3-pt shot from 24 ft (assist by B. Udrih)
0:30.0,P. Mills misses 2-pt shot from 20 ft,,83-72,,
0:29.0,,,83-72,,Defensive rebound by H. Whiteside
0:19.0,,,83-75,3,G. Green makes 3-pt shot from 25 ft (assist by B. Udrih)
0:03.0,R. Butler misses 3-pt shot from 24 ft,,83-75,,
0:02.0,Offensive rebound by B. Marjanovic,,83-75,,
0:02.0,B. Marjanovic makes 2-pt shot from 6 ft,2,85-75,,
0:00.0,,,85-75,,J. Winslow misses 3-pt shot from 50 ft
0:00.0,,,85-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,85-75,,G. Green misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by B. Marjanovic,,85-75,,
11:15.0,B. Diaw misses 3-pt shot from 24 ft,,85-75,,
11:14.0,,,85-75,,Defensive rebound by G. Green
11:00.0,,,85-75,,G. Dragic misses 2-pt shot from 19 ft
10:59.0,Defensive rebound by B. Marjanovic,,85-75,,
10:50.0,B. Marjanovic makes 2-pt shot from 7 ft (assist by P. Mills),2,87-75,,
10:28.0,,,87-75,,H. Whiteside misses 2-pt shot from 10 ft
10:27.0,,,87-75,,Offensive rebound by B. Udrih
10:16.0,,,87-77,2,B. Udrih makes 2-pt shot from 12 ft
10:16.0,,,87-77,,Shooting foul by B. Diaw (drawn by B. Udrih)
10:16.0,,,87-78,1,B. Udrih makes free throw 1 of 1
10:03.0,B. Diaw misses 2-pt shot from 8 ft,,87-78,,
10:02.0,,,87-78,,Defensive rebound by H. Whiteside
9:51.0,,,87-80,2,G. Green makes 2-pt shot from 17 ft
9:51.0,San Antonio full timeout,,87-80,,
9:51.0,K. Leonard enters the game for B. Diaw,,87-80,,
9:51.0,D. Green enters the game for R. Butler,,87-80,,
9:35.0,P. Mills makes 3-pt shot from 24 ft (assist by J. Simmons),3,90-80,,
9:35.0,Shooting foul by B. Udrih (drawn by P. Mills),,90-80,,
9:35.0,P. Mills makes free throw 1 of 1,1,91-80,,
9:35.0,,,91-80,,Turnover by H. Whiteside (swinging elbows)
9:35.0,,,91-80,,Flagrant foul type 1 by H. Whiteside (drawn by B. Marjanovic)
9:35.0,,,91-80,,C. Bosh enters the game for H. Whiteside
9:35.0,,,91-80,,D. Wade enters the game for B. Udrih
9:35.0,B. Marjanovic makes flagrant free throw 1 of 1,1,92-80,,
9:35.0,L. Aldridge enters the game for B. Marjanovic,,92-80,,
9:19.0,K. Leonard makes 2-pt shot from 8 ft,2,94-80,,
8:58.0,,,94-82,2,C. Bosh makes 2-pt shot at rim
8:41.0,J. Simmons misses 2-pt shot from 11 ft,,94-82,,
8:40.0,,,94-82,,Defensive rebound by G. Dragic
8:34.0,,,94-82,,G. Green misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by K. Leonard,,94-82,,
8:26.0,Turnover by K. Leonard (bad pass; steal by C. Bosh),,94-82,,
8:24.0,,,94-82,,Turnover by C. Bosh (lost ball; steal by P. Mills)
8:23.0,Shooting foul by J. Winslow (drawn by D. Green),,94-82,,
8:23.0,D. Green makes free throw 1 of 2,1,95-82,,
8:23.0,B. Diaw enters the game for J. Simmons,,95-82,,
8:23.0,T. Parker enters the game for P. Mills,,95-82,,
8:23.0,D. Green misses free throw 2 of 2,,95-82,,
8:22.0,,,95-82,,Defensive rebound by C. Bosh
8:16.0,,,95-82,,Turnover by C. Bosh (lost ball; steal by D. Green)
8:16.0,D. Green makes 3-pt shot from 23 ft,3,98-82,,
8:16.0,,,98-82,,Miami full timeout
7:57.0,,,98-84,2,C. Bosh makes 2-pt shot from 18 ft
7:39.0,K. Leonard makes 2-pt shot from 6 ft,2,100-84,,
7:26.0,,,100-86,2,D. Wade makes 2-pt shot from 8 ft
7:08.0,B. Diaw makes 2-pt shot from 4 ft,2,102-86,,
6:59.0,,,102-86,,Turnover by G. Dragic (bad pass; steal by K. Leonard)
6:54.0,L. Aldridge makes 2-pt shot at rim (assist by K. Leonard),2,104-86,,
6:39.0,,,104-86,,Shooting foul by B. Diaw (drawn by D. Wade)
6:39.0,,,104-88,2,D. Wade makes 2-pt shot from 9 ft
6:39.0,,,104-88,,L. Deng enters the game for J. Winslow
6:39.0,,,104-89,1,D. Wade makes free throw 1 of 1
6:27.0,B. Diaw makes 2-pt shot from 6 ft,2,106-89,,
6:26.0,,,106-89,,Miami full timeout
6:13.0,,,106-89,,D. Wade misses 2-pt shot from 16 ft
6:12.0,Defensive rebound by D. Green,,106-89,,
5:56.0,Turnover by K. Leonard (bad pass; steal by D. Wade),,106-89,,
5:53.0,,,106-89,,Shooting foul by D. Green (drawn by D. Wade)
5:53.0,,,106-90,1,D. Wade makes free throw 1 of 2
5:53.0,,,106-90,,D. Wade misses free throw 2 of 2
5:52.0,Defensive rebound by B. Diaw,,106-90,,
5:29.0,D. Green misses 3-pt shot from 23 ft,,106-90,,
5:28.0,Offensive rebound by B. Diaw,,106-90,,
5:07.0,K. Leonard makes 2-pt shot from 11 ft,2,108-90,,
4:54.0,,,108-90,,D. Wade misses 2-pt shot from 11 ft
4:53.0,Defensive rebound by T. Parker,,108-90,,
4:38.0,Shooting foul by D. Wade (drawn by L. Aldridge),,108-90,,
4:38.0,L. Aldridge makes free throw 1 of 2,1,109-90,,
4:38.0,R. McCallum enters the game for K. Leonard,,109-90,,
4:38.0,R. Butler enters the game for T. Parker,,109-90,,
4:38.0,J. Simmons enters the game for B. Diaw,,109-90,,
4:38.0,L. Aldridge makes free throw 2 of 2,1,110-90,,
4:31.0,,,110-92,2,G. Dragic makes 2-pt shot from 1 ft (assist by C. Bosh)
4:03.0,R. Butler makes 2-pt shot from 1 ft,2,112-92,,
3:52.0,,,112-92,,Shooting foul by L. Aldridge (drawn by C. Bosh)
3:52.0,,,112-93,1,C. Bosh makes free throw 1 of 2
3:52.0,D. West enters the game for L. Aldridge,,112-93,,
3:52.0,B. Diaw enters the game for D. Green,,112-93,,
3:52.0,,,112-93,,B. Udrih enters the game for G. Dragic
3:52.0,,,112-93,,J. Winslow enters the game for D. Wade
3:52.0,,,112-94,1,C. Bosh makes free throw 2 of 2
3:33.0,B. Diaw makes 2-pt shot from 19 ft (assist by R. Butler),2,114-94,,
3:12.0,,,114-94,,C. Bosh misses 2-pt shot from 18 ft
3:11.0,Defensive rebound by J. Simmons,,114-94,,
2:54.0,J. Simmons makes 2-pt shot from 3 ft,2,116-94,,
2:54.0,Shooting foul by C. Bosh (drawn by J. Simmons),,116-94,,
2:54.0,Official timeout,,116-94,,
2:54.0,B. Marjanovic enters the game for D. West,,116-94,,
2:54.0,,,116-94,,J. McRoberts enters the game for L. Deng
2:54.0,,,116-94,,J. Stokes enters the game for C. Bosh
2:54.0,J. Simmons misses free throw 1 of 1,,116-94,,
2:53.0,,,116-94,,Defensive rebound by J. McRoberts
2:32.0,,,116-94,,J. McRoberts misses 2-pt shot from 11 ft
2:31.0,Defensive rebound by B. Diaw,,116-94,,
