time,Denver,pts.away,score,pts.home,Phoenix
10:24.0,,,36-21,,E. Bledsoe misses 2-pt shot from 18 ft
10:20.0,Defensive rebound by W. Barton,,36-21,,
10:13.0,D. Arthur makes 2-pt shot from 18 ft (assist by W. Barton),2,38-21,,
10:00.0,,,38-21,,Shooting foul by W. Barton (drawn by A. Goodwin)
10:00.0,,,38-22,1,A. Goodwin makes free throw 1 of 2
10:00.0,,,38-22,,A. Len enters the game for T. Chandler
10:00.0,,,38-22,,A. Goodwin misses free throw 2 of 2
9:59.0,Defensive rebound by D. Arthur,,38-22,,
9:43.0,D. Arthur misses 2-pt shot from 17 ft,,38-22,,
9:41.0,Offensive rebound by N. Jokic,,38-22,,
9:22.0,W. Barton makes 2-pt shot from 5 ft,2,40-22,,
9:06.0,,,40-25,3,M. Morris makes 3-pt shot from 25 ft (assist by A. Len)
8:52.0,Turnover by D. Arthur (lost ball; steal by M. Morris),,40-25,,
8:51.0,,,40-25,,Phoenix full timeout
8:51.0,,,40-25,,R. Price enters the game for A. Goodwin
8:51.0,K. Faried enters the game for D. Arthur,,40-25,,
8:39.0,,,40-25,,Turnover by E. Bledsoe (lost ball)
8:32.0,Jump ball: K. Papanikolaou vs. P. Tucker (K. Faried gains possession),,,,Jump ball: K. Papanikolaou vs. P. Tucker (K. Faried gains possession)
8:26.0,K. Faried makes 2-pt shot from 1 ft,2,42-25,,
8:17.0,,,42-28,3,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe)
7:58.0,,,42-28,,Personal foul by A. Len (drawn by N. Jokic)
7:58.0,,,42-28,,B. Knight enters the game for A. Len
7:45.0,R. Foye makes 2-pt shot from 8 ft,2,44-28,,
7:33.0,,,44-28,,B. Knight misses 2-pt shot from 18 ft
7:31.0,Defensive rebound by K. Faried,,44-28,,
7:08.0,K. Papanikolaou makes 3-pt shot from 25 ft (assist by W. Barton),3,47-28,,
6:57.0,,,47-28,,M. Morris misses 2-pt shot from 2 ft
6:54.0,Defensive rebound by N. Jokic,,47-28,,
6:50.0,W. Barton makes 3-pt shot from 25 ft (assist by N. Jokic),3,50-28,,
6:31.0,,,50-30,2,B. Knight makes 2-pt shot at rim
6:17.0,W. Barton misses 2-pt shot from 20 ft,,50-30,,
6:15.0,,,50-30,,Defensive rebound by P. Tucker
6:05.0,,,50-30,,M. Morris misses 2-pt shot from 6 ft
6:02.0,Defensive rebound by W. Barton,,50-30,,
5:50.0,K. Faried misses 2-pt shot from 15 ft,,50-30,,
5:48.0,,,50-30,,Defensive rebound by B. Knight
5:41.0,,,50-30,,Shooting foul by R. Foye (drawn by B. Knight)
5:41.0,Official timeout,,50-30,,
5:41.0,,,50-30,,J. Leuer enters the game for M. Morris
5:41.0,M. Miller enters the game for K. Papanikolaou,,50-30,,
5:41.0,G. Harris enters the game for N. Jokic,,50-30,,
5:41.0,,,50-30,,B. Knight misses free throw 1 of 2
5:41.0,,,50-30,,Offensive rebound by Team
5:41.0,,,50-30,,B. Knight misses free throw 2 of 2
5:40.0,Defensive rebound by W. Barton,,50-30,,
5:24.0,Turnover by R. Foye (bad pass; steal by E. Bledsoe),,50-30,,
5:22.0,Personal foul by R. Foye (drawn by B. Knight),,50-30,,
5:10.0,,,50-30,,Shooting foul by K. Faried (drawn by E. Bledsoe)
5:10.0,,,50-31,1,E. Bledsoe makes free throw 1 of 2
5:10.0,,,50-32,1,E. Bledsoe makes free throw 2 of 2
4:49.0,R. Foye misses 3-pt shot from 24 ft,,50-32,,
4:47.0,,,50-32,,Defensive rebound by J. Leuer
4:38.0,,,50-34,2,J. Leuer makes 2-pt shot from 15 ft (assist by B. Knight)
4:18.0,W. Barton misses 2-pt shot from 8 ft,,50-34,,
4:16.0,Offensive rebound by K. Faried,,50-34,,
4:16.0,K. Faried makes 2-pt shot from 6 ft,2,52-34,,
4:16.0,Shooting foul by J. Leuer (drawn by K. Faried),,52-34,,
4:16.0,K. Faried misses free throw 1 of 1,,52-34,,
4:15.0,,,52-34,,Defensive rebound by P. Tucker
4:08.0,,,52-34,,E. Bledsoe misses 2-pt shot from 5 ft
4:05.0,Defensive rebound by W. Barton,,52-34,,
3:55.0,R. Foye misses 3-pt shot from 26 ft,,52-34,,
3:54.0,,,52-34,,Defensive rebound by P. Tucker
3:45.0,,,52-37,3,R. Price makes 3-pt shot from 25 ft
3:28.0,G. Harris misses 3-pt shot from 24 ft,,52-37,,
3:26.0,,,52-37,,Defensive rebound by P. Tucker
3:18.0,,,52-37,,R. Price misses 3-pt shot from 25 ft
3:16.0,Defensive rebound by M. Miller,,52-37,,
3:06.0,,,52-37,,T. Warren enters the game for E. Bledsoe
2:51.0,R. Foye misses 2-pt shot from 6 ft,,52-37,,
2:49.0,Offensive rebound by K. Faried,,52-37,,
2:44.0,W. Barton makes 2-pt shot from 12 ft,2,54-37,,
2:32.0,,,54-39,2,B. Knight makes 2-pt shot from 1 ft
2:18.0,G. Harris misses 2-pt shot from 2 ft,,54-39,,
2:17.0,,,54-39,,Defensive rebound by Team
2:17.0,Denver full timeout,,54-39,,
2:17.0,,,54-39,,E. Bledsoe enters the game for J. Leuer
2:06.0,,,54-39,,Shooting foul by G. Harris (drawn by B. Knight)
2:06.0,,,54-40,1,B. Knight makes free throw 1 of 2
2:06.0,,,54-41,1,B. Knight makes free throw 2 of 2
1:58.0,Offensive foul by R. Foye,,54-41,,
1:58.0,Turnover by R. Foye (offensive foul),,54-41,,
1:58.0,K. Papanikolaou enters the game for R. Foye,,54-41,,
1:47.0,,,54-41,,B. Knight misses 2-pt shot from 19 ft
1:46.0,,,54-41,,Offensive rebound by T. Warren
1:33.0,,,54-43,2,E. Bledsoe makes 2-pt shot at rim
1:17.0,Turnover by M. Miller (lost ball),,54-43,,
1:17.0,D. Arthur enters the game for K. Faried,,54-43,,
1:09.0,,,54-46,3,T. Warren makes 3-pt shot from 24 ft (assist by B. Knight)
0:59.0,,,54-46,,Personal foul by R. Price (drawn by W. Barton)
0:53.0,D. Arthur makes 2-pt shot at rim (assist by W. Barton),2,56-46,,
0:36.0,Def 3 sec tech foul by D. Arthur,,56-46,,
0:36.0,,,56-47,1,E. Bledsoe makes technical free throw
0:36.0,,,56-47,,Phoenix full timeout
0:30.0,,,56-47,,P. Tucker misses 2-pt shot from 21 ft
0:28.0,Defensive rebound by Team,,56-47,,
0:06.0,Shooting foul by R. Price (drawn by K. Papanikolaou),,56-47,,
0:06.0,K. Papanikolaou misses free throw 1 of 2,,56-47,,
0:06.0,Offensive rebound by Team,,56-47,,
0:06.0,K. Papanikolaou misses free throw 2 of 2,,56-47,,
0:05.0,Offensive rebound by Team,,56-47,,
0:05.0,Offensive foul by D. Arthur,,56-47,,
0:05.0,Turnover by D. Arthur (offensive foul),,56-47,,
0:00.0,,,56-50,3,R. Price makes 3-pt shot from 22 ft (assist by B. Knight)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,R. Foye misses 2-pt shot from 2 ft,,56-50,,
11:47.0,,,56-50,,Defensive rebound by P. Tucker
11:38.0,,,56-52,2,J. Leuer makes 2-pt shot from 10 ft (assist by E. Bledsoe)
11:25.0,,,56-52,,Personal block foul by R. Price (drawn by G. Harris)
11:12.0,G. Harris misses 3-pt shot from 22 ft,,56-52,,
11:10.0,,,56-52,,Defensive rebound by J. Leuer
10:58.0,,,56-55,3,P. Tucker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
10:45.0,,,56-55,,Personal foul by P. Tucker (drawn by R. Foye)
10:45.0,,,56-55,,Technical foul by P. Tucker (drawn by R. Foye)
10:45.0,R. Foye misses technical free throw,,56-55,,
10:45.0,Offensive rebound by Team,,56-55,,
10:36.0,R. Foye makes 3-pt shot from 24 ft,3,59-55,,
10:25.0,,,59-57,2,J. Leuer makes 2-pt shot from 1 ft (assist by B. Knight)
10:11.0,R. Foye misses 3-pt shot from 25 ft,,59-57,,
10:10.0,,,59-57,,Defensive rebound by E. Bledsoe
10:05.0,,,59-57,,R. Price misses 2-pt shot at rim (block by K. Papanikolaou)
10:02.0,Defensive rebound by K. Faried,,59-57,,
9:50.0,R. Foye misses 3-pt shot from 26 ft,,59-57,,
9:48.0,,,59-57,,Defensive rebound by J. Leuer
9:45.0,,,59-59,2,P. Tucker makes 2-pt shot at rim (assist by R. Price)
9:44.0,Denver full timeout,,59-59,,
9:29.0,,,59-59,,Personal foul by P. Tucker (drawn by G. Harris)
9:16.0,R. Foye makes 2-pt shot at rim,2,61-59,,
9:02.0,Personal foul by G. Harris (drawn by B. Knight),,61-59,,
8:48.0,,,61-62,3,R. Price makes 3-pt shot from 25 ft (assist by E. Bledsoe)
8:29.0,,,61-62,,Personal foul by B. Knight (drawn by R. Foye)
8:21.0,R. Foye makes 2-pt shot from 2 ft (assist by M. Miller),2,63-62,,
8:10.0,,,63-62,,Shooting foul by K. Papanikolaou (drawn by B. Knight)
8:10.0,,,63-63,1,B. Knight makes free throw 1 of 2
8:10.0,W. Barton enters the game for K. Papanikolaou,,63-63,,
8:10.0,,,63-64,1,B. Knight makes free throw 2 of 2
7:56.0,Turnover by M. Miller (bad pass),,63-64,,
7:42.0,,,63-64,,Turnover by P. Tucker (bad pass; steal by M. Miller)
7:40.0,Offensive charge foul by W. Barton,,63-64,,
7:40.0,Turnover by W. Barton (offensive foul),,63-64,,
7:36.0,Personal foul by M. Miller (drawn by B. Knight),,63-64,,
7:30.0,,,63-64,,E. Bledsoe misses 3-pt shot from 25 ft
7:28.0,,,63-64,,Offensive rebound by B. Knight
7:26.0,,,63-64,,B. Knight misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by M. Miller,,63-64,,
7:14.0,R. Foye misses 2-pt shot from 6 ft,,63-64,,
7:12.0,,,63-64,,Defensive rebound by P. Tucker
7:09.0,,,63-64,,Turnover by B. Knight (bad pass)
7:09.0,D. Arthur enters the game for M. Miller,,63-64,,
6:59.0,Turnover by D. Arthur (traveling),,63-64,,
6:59.0,,,63-64,,T. Warren enters the game for E. Bledsoe
6:51.0,,,63-66,2,J. Leuer makes 2-pt shot from 16 ft (assist by B. Knight)
6:51.0,Denver full timeout,,63-66,,
6:51.0,N. Jokic enters the game for K. Faried,,63-66,,
6:36.0,R. Foye makes 2-pt shot from 1 ft,2,65-66,,
6:20.0,,,65-66,,J. Leuer misses 2-pt shot from 2 ft
6:18.0,,,65-66,,Offensive rebound by T. Warren
6:18.0,,,65-66,,T. Warren misses 2-pt shot from 1 ft
6:14.0,Defensive rebound by W. Barton,,65-66,,
6:04.0,W. Barton misses 3-pt shot from 25 ft,,65-66,,
6:02.0,,,65-66,,Defensive rebound by P. Tucker
5:50.0,Personal foul by N. Jokic (drawn by J. Leuer),,65-66,,
5:50.0,,,65-66,,T. Chandler enters the game for P. Tucker
5:36.0,,,65-66,,J. Leuer misses 2-pt shot from 7 ft
5:33.0,Defensive rebound by D. Arthur,,65-66,,
5:14.0,W. Barton makes 2-pt shot from 6 ft (assist by D. Arthur),2,67-66,,
5:14.0,Shooting foul by T. Warren (drawn by W. Barton),,67-66,,
5:14.0,W. Barton misses free throw 1 of 1,,67-66,,
5:13.0,,,67-66,,Defensive rebound by J. Leuer
4:58.0,,,67-66,,B. Knight misses 2-pt shot from 13 ft
4:54.0,Defensive rebound by D. Arthur,,67-66,,
4:46.0,G. Harris misses 3-pt shot from 25 ft,,67-66,,
4:44.0,Offensive rebound by G. Harris,,67-66,,
4:34.0,D. Arthur misses 3-pt shot from 25 ft,,67-66,,
4:32.0,Offensive rebound by N. Jokic,,67-66,,
4:31.0,N. Jokic misses 2-pt shot at rim,,67-66,,
4:31.0,Offensive rebound by N. Jokic,,67-66,,
4:30.0,N. Jokic makes 2-pt shot at rim,2,69-66,,
4:13.0,,,69-66,,J. Leuer misses 2-pt shot from 14 ft
4:12.0,Defensive rebound by G. Harris,,69-66,,
4:03.0,G. Harris misses 3-pt shot from 24 ft,,69-66,,
4:02.0,,,69-66,,Defensive rebound by Team
4:02.0,Loose ball foul by N. Jokic (drawn by T. Chandler),,69-66,,
4:02.0,,,69-66,,T. Chandler misses free throw 1 of 2
4:02.0,,,69-66,,Offensive rebound by Team
4:02.0,K. Papanikolaou enters the game for G. Harris,,69-66,,
4:02.0,,,69-67,1,T. Chandler makes free throw 2 of 2
3:45.0,Shooting foul by T. Warren (drawn by N. Jokic),,69-67,,
3:45.0,N. Jokic makes free throw 1 of 2,1,70-67,,
3:45.0,N. Jokic makes free throw 2 of 2,1,71-67,,
3:45.0,,,71-67,,Phoenix full timeout
3:45.0,,,71-67,,E. Bledsoe enters the game for J. Leuer
3:45.0,,,71-67,,M. Morris enters the game for R. Price
3:26.0,,,71-67,,E. Bledsoe misses 2-pt shot from 9 ft
3:23.0,,,71-67,,Offensive rebound by T. Chandler
3:20.0,,,71-67,,B. Knight misses 3-pt shot from 24 ft
3:18.0,Defensive rebound by D. Arthur,,71-67,,
3:01.0,R. Foye makes 3-pt shot from 25 ft,3,74-67,,
2:47.0,,,74-67,,M. Morris misses 2-pt shot from 22 ft
2:45.0,Defensive rebound by K. Papanikolaou,,74-67,,
2:38.0,R. Foye makes 3-pt shot from 24 ft,3,77-67,,
2:28.0,,,77-67,,Turnover by E. Bledsoe (step out of bounds)
2:28.0,,,77-67,,M. Teletovic enters the game for T. Chandler
2:14.0,D. Arthur misses 2-pt shot from 14 ft,,77-67,,
2:12.0,,,77-67,,Defensive rebound by T. Warren
1:59.0,,,77-67,,M. Morris misses 2-pt shot from 17 ft
1:57.0,Defensive rebound by R. Foye,,77-67,,
1:51.0,K. Papanikolaou misses 2-pt shot from 21 ft,,77-67,,
1:48.0,Offensive rebound by D. Arthur,,77-67,,
1:46.0,D. Arthur misses 2-pt shot from 2 ft,,77-67,,
1:44.0,,,77-67,,Defensive rebound by T. Warren
1:32.0,,,77-69,2,T. Warren makes 2-pt shot from 8 ft
1:09.0,D. Arthur makes 2-pt shot at rim (assist by K. Papanikolaou),2,79-69,,
1:08.0,Violation by Team (jump ball),,79-69,,
0:59.0,,,79-69,,Personal foul by M. Teletovic (drawn by W. Barton)
0:59.0,Personal foul by W. Barton,,79-69,,
0:59.0,,,79-69,,R. Price enters the game for B. Knight
0:53.0,,,79-72,3,E. Bledsoe makes 3-pt shot from 24 ft (assist by T. Warren)
0:43.0,W. Barton misses 2-pt shot from 7 ft,,79-72,,
0:41.0,Offensive rebound by N. Jokic,,79-72,,
0:27.0,K. Papanikolaou misses 2-pt shot from 11 ft,,79-72,,
0:20.0,,,79-72,,Defensive rebound by M. Morris
0:15.0,,,79-72,,M. Teletovic misses 3-pt shot from 25 ft
0:12.0,Defensive rebound by D. Arthur,,79-72,,
0:01.0,W. Barton misses 2-pt shot from 12 ft,,79-72,,
0:00.0,Offensive rebound by Team,,79-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,79-72,,Turnover by M. Teletovic (traveling)
11:25.0,N. Jokic makes 2-pt shot from 10 ft (assist by K. Papanikolaou),2,81-72,,
11:13.0,,,81-75,3,R. Price makes 3-pt shot from 24 ft
10:50.0,W. Barton makes 3-pt shot from 25 ft (assist by D. Arthur),3,84-75,,
10:35.0,,,84-75,,M. Morris misses 2-pt shot from 15 ft
10:33.0,Defensive rebound by K. Papanikolaou,,84-75,,
10:22.0,W. Barton misses 3-pt shot from 26 ft,,84-75,,
10:20.0,,,84-75,,Defensive rebound by R. Price
10:07.0,,,84-75,,E. Bledsoe misses 2-pt shot from 15 ft
10:05.0,Defensive rebound by N. Jokic,,84-75,,
9:52.0,Turnover by N. Jokic (bad pass; steal by E. Bledsoe),,84-75,,
9:48.0,,,84-75,,T. Warren misses 2-pt shot from 1 ft (block by K. Papanikolaou)
9:47.0,,,84-75,,Offensive rebound by Team
9:47.0,,,84-75,,Phoenix full timeout
9:47.0,,,84-75,,P. Tucker enters the game for T. Warren
9:47.0,,,84-75,,J. Leuer enters the game for M. Teletovic
9:47.0,,,84-75,,B. Knight enters the game for M. Morris
9:39.0,,,84-77,2,B. Knight makes 2-pt shot from 3 ft
9:21.0,W. Barton misses 2-pt shot from 8 ft,,84-77,,
9:19.0,,,84-77,,Defensive rebound by J. Leuer
9:14.0,,,84-80,3,R. Price makes 3-pt shot from 23 ft (assist by B. Knight)
8:59.0,D. Arthur makes 2-pt shot from 15 ft (assist by K. Papanikolaou),2,86-80,,
8:48.0,,,86-80,,B. Knight misses 3-pt shot from 25 ft
8:46.0,,,86-80,,Offensive rebound by J. Leuer
8:42.0,,,86-83,3,R. Price makes 3-pt shot from 23 ft (assist by B. Knight)
8:40.0,Denver full timeout,,86-83,,
8:40.0,R. Foye enters the game for K. Papanikolaou,,86-83,,
8:40.0,K. Faried enters the game for N. Jokic,,86-83,,
8:28.0,W. Barton misses 2-pt shot from 5 ft,,86-83,,
8:27.0,,,86-83,,Defensive rebound by P. Tucker
8:24.0,Personal foul by D. Arthur (drawn by B. Knight),,86-83,,
8:08.0,,,86-83,,B. Knight misses 2-pt shot from 19 ft
8:06.0,,,86-83,,Offensive rebound by R. Price
8:06.0,,,86-83,,R. Price misses 2-pt shot from 2 ft
8:04.0,,,86-83,,Offensive rebound by R. Price
8:04.0,,,86-83,,R. Price misses 2-pt shot from 2 ft (block by K. Faried)
8:02.0,Defensive rebound by W. Barton,,86-83,,
7:57.0,R. Foye misses 3-pt shot from 25 ft,,86-83,,
7:54.0,,,86-83,,Defensive rebound by R. Price
7:41.0,,,86-83,,B. Knight misses 3-pt shot from 25 ft
7:39.0,,,86-83,,Offensive rebound by P. Tucker
7:31.0,,,86-83,,J. Leuer misses 2-pt shot from 5 ft
7:27.0,Defensive rebound by D. Arthur,,86-83,,
7:10.0,R. Foye misses 2-pt shot from 3 ft,,86-83,,
7:08.0,,,86-83,,Defensive rebound by P. Tucker
7:03.0,,,86-83,,Turnover by R. Price (step out of bounds)
6:44.0,,,86-83,,Personal foul by E. Bledsoe (drawn by W. Barton)
6:33.0,D. Arthur makes 2-pt shot from 16 ft (assist by R. Foye),2,88-83,,
6:14.0,,,88-83,,J. Leuer misses 2-pt shot from 16 ft
6:13.0,,,88-83,,Offensive rebound by P. Tucker
6:09.0,,,88-85,2,P. Tucker makes 2-pt shot from 4 ft
5:52.0,G. Harris misses 2-pt shot from 4 ft (block by J. Leuer),,88-85,,
5:52.0,Offensive rebound by Team,,88-85,,
5:48.0,Turnover by W. Barton (bad pass; steal by E. Bledsoe),,88-85,,
5:44.0,,,88-87,2,B. Knight makes 2-pt shot from 2 ft (assist by E. Bledsoe)
5:27.0,K. Faried makes 2-pt shot from 1 ft (assist by R. Foye),2,90-87,,
5:14.0,,,90-87,,Turnover by B. Knight (lost ball)
4:54.0,W. Barton makes 3-pt shot from 24 ft (assist by R. Foye),3,93-87,,
4:38.0,,,93-87,,Turnover by E. Bledsoe (bad pass; steal by W. Barton)
4:27.0,K. Faried makes 2-pt shot from 2 ft (assist by D. Arthur),2,95-87,,
4:27.0,,,95-87,,Phoenix full timeout
4:14.0,,,95-89,2,J. Leuer makes 2-pt shot from 1 ft
3:52.0,,,95-89,,Personal foul by E. Bledsoe (drawn by R. Foye)
3:46.0,R. Foye misses 2-pt shot from 2 ft,,95-89,,
3:44.0,,,95-89,,Defensive rebound by P. Tucker
3:36.0,,,95-89,,P. Tucker misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by D. Arthur,,95-89,,
3:18.0,R. Foye misses 3-pt shot from 22 ft,,95-89,,
3:16.0,,,95-89,,Defensive rebound by B. Knight
2:57.0,,,95-89,,J. Leuer misses 2-pt shot from 5 ft (block by D. Arthur)
2:55.0,Defensive rebound by W. Barton,,95-89,,
2:43.0,D. Arthur misses 2-pt shot from 17 ft,,95-89,,
2:41.0,Offensive rebound by K. Faried,,95-89,,
2:40.0,K. Faried misses 2-pt shot from 1 ft,,95-89,,
2:38.0,,,95-89,,Defensive rebound by P. Tucker
2:34.0,Personal foul by D. Arthur (drawn by E. Bledsoe),,95-89,,
2:30.0,,,95-89,,E. Bledsoe misses 3-pt shot from 24 ft
2:29.0,,,95-89,,Offensive rebound by J. Leuer
2:15.0,,,95-89,,Turnover by B. Knight (bad pass)
