time,Milwaukee,pts.away,score,pts.home,Philadelphia
2:31.0,Offensive rebound by J. Henson,,20-15,,
2:30.0,Shooting foul by R. Covington (drawn by J. O'Bryant),,20-15,,
2:30.0,J. O'Bryant makes free throw 1 of 2,1,21-15,,
2:30.0,,,21-15,,N. Stauskas enters the game for R. Covington
2:30.0,J. O'Bryant makes free throw 2 of 2,1,22-15,,
2:11.0,,,22-17,2,N. Noel makes 2-pt shot from 7 ft (assist by T. McConnell)
1:49.0,Turnover by G. Vasquez (lost ball; steal by N. Stauskas),,22-17,,
1:38.0,,,22-17,,T. McConnell misses 2-pt shot from 15 ft
1:37.0,Defensive rebound by G. Vasquez,,22-17,,
1:32.0,J. O'Bryant makes 2-pt shot at rim (assist by G. Vasquez),2,24-17,,
1:13.0,,,24-20,3,H. Thompson makes 3-pt shot from 24 ft (assist by T. McConnell)
1:01.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,24-20,,
1:00.0,Offensive rebound by J. Henson,,24-20,,
0:59.0,J. Henson makes 2-pt shot from 4 ft,2,26-20,,
0:44.0,,,26-20,,H. Thompson misses 2-pt shot from 3 ft
0:43.0,Defensive rebound by G. Antetokounmpo,,26-20,,
0:38.0,R. Vaughn makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,29-20,,
0:24.0,,,29-20,,Turnover by N. Stauskas (lost ball; steal by R. Vaughn)
0:17.0,R. Vaughn misses 3-pt shot from 26 ft,,29-20,,
0:15.0,,,29-20,,Defensive rebound by T. McConnell
0:03.0,,,29-23,3,N. Stauskas makes 3-pt shot from 22 ft (assist by T. McConnell)
0:00.0,G. Vasquez misses 3-pt shot from 49 ft,,29-23,,
0:00.0,Offensive rebound by Team,,29-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,29-23,,Shooting foul by R. Vaughn (drawn by J. Grant)
11:40.0,,,29-23,,J. Grant misses free throw 1 of 2
11:40.0,,,29-23,,Offensive rebound by Team
11:40.0,,,29-23,,J. Grant misses free throw 2 of 2
11:39.0,Defensive rebound by J. O'Bryant,,29-23,,
11:39.0,,,29-23,,Personal foul by H. Thompson
11:25.0,R. Vaughn makes 3-pt shot from 24 ft (assist by G. Vasquez),3,32-23,,
11:13.0,,,32-23,,N. Stauskas misses 3-pt shot from 23 ft
11:12.0,Defensive rebound by J. O'Bryant,,32-23,,
11:03.0,K. Middleton makes 2-pt shot from 1 ft,2,34-23,,
11:03.0,,,34-23,,Philadelphia full timeout
10:40.0,,,34-23,,H. Thompson misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by J. O'Bryant,,34-23,,
10:25.0,K. Middleton misses 2-pt shot from 10 ft,,34-23,,
10:23.0,Offensive rebound by J. O'Bryant,,34-23,,
10:14.0,K. Middleton misses 2-pt shot from 11 ft,,34-23,,
10:12.0,Offensive rebound by J. Henson,,34-23,,
10:12.0,J. Henson makes 2-pt shot from 1 ft,2,36-23,,
9:58.0,,,36-23,,R. Covington enters the game for N. Stauskas
9:49.0,,,36-23,,J. Grant misses 2-pt shot from 4 ft (block by J. Henson)
9:46.0,Defensive rebound by G. Vasquez,,36-23,,
9:42.0,R. Vaughn makes 3-pt shot from 26 ft (assist by G. Vasquez),3,39-23,,
9:25.0,,,39-23,,H. Thompson misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by J. O'Bryant,,39-23,,
9:12.0,Turnover by R. Vaughn (bad pass),,39-23,,
9:12.0,,,39-23,,N. Noel enters the game for E. Brand
8:57.0,,,39-23,,H. Thompson misses 3-pt shot from 25 ft
8:55.0,,,39-23,,Offensive rebound by J. Grant
8:54.0,Violation by G. Vasquez (kicked ball),,39-23,,
8:54.0,M. Plumlee enters the game for J. Henson,,39-23,,
8:31.0,,,39-23,,N. Noel misses 2-pt shot from 1 ft
8:29.0,,,39-23,,Offensive rebound by H. Thompson
8:29.0,,,39-23,,H. Thompson misses 2-pt shot from 1 ft
8:28.0,Defensive rebound by R. Vaughn,,39-23,,
8:23.0,R. Vaughn misses 3-pt shot from 25 ft,,39-23,,
8:21.0,Offensive rebound by Team,,39-23,,
8:21.0,T. Ennis enters the game for G. Vasquez,,39-23,,
8:19.0,R. Vaughn misses 2-pt shot from 18 ft,,39-23,,
8:17.0,,,39-23,,Defensive rebound by T. McConnell
8:08.0,,,39-25,2,T. McConnell makes 2-pt shot from 7 ft
8:00.0,K. Middleton makes 2-pt shot from 12 ft,2,41-25,,
7:36.0,,,41-25,,Shooting foul by J. O'Bryant (drawn by J. Grant)
7:36.0,,,41-26,1,J. Grant makes free throw 1 of 2
7:36.0,,,41-26,,I. Smith enters the game for H. Thompson
7:36.0,,,41-27,1,J. Grant makes free throw 2 of 2
7:19.0,K. Middleton makes 2-pt shot from 1 ft (assist by T. Ennis),2,43-27,,
7:12.0,Personal foul by T. Ennis,,43-27,,
6:58.0,,,43-30,3,R. Covington makes 3-pt shot from 24 ft (assist by N. Noel)
6:45.0,Turnover by K. Middleton (lost ball; steal by R. Covington),,43-30,,
6:34.0,,,43-30,,R. Covington misses 3-pt shot from 24 ft
6:33.0,,,43-30,,Offensive rebound by T. McConnell
6:26.0,,,43-32,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
5:58.0,T. Ennis makes 2-pt shot from 14 ft,2,45-32,,
5:44.0,,,45-32,,R. Covington misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by R. Vaughn,,45-32,,
5:39.0,Official timeout,,45-32,,
5:39.0,J. Parker enters the game for R. Vaughn,,45-32,,
5:39.0,G. Antetokounmpo enters the game for J. O'Bryant,,45-32,,
5:26.0,J. Parker misses 2-pt shot from 4 ft (block by I. Smith),,45-32,,
5:24.0,,,45-32,,Defensive rebound by R. Covington
5:13.0,,,45-34,2,I. Smith makes 2-pt shot from 2 ft (assist by N. Noel)
5:13.0,,,45-34,,Shooting foul by K. Middleton (drawn by I. Smith)
5:13.0,,,45-34,,H. Thompson enters the game for T. McConnell
5:13.0,,,45-35,1,I. Smith makes free throw 1 of 1
4:57.0,M. Plumlee misses 2-pt shot at rim,,45-35,,
4:55.0,,,45-35,,Defensive rebound by R. Covington
4:48.0,,,45-35,,I. Smith misses 2-pt shot from 4 ft
4:46.0,Defensive rebound by J. Parker,,45-35,,
4:38.0,Turnover by J. Parker (lost ball; steal by J. Grant),,45-35,,
4:29.0,,,45-38,3,R. Covington makes 3-pt shot from 24 ft (assist by I. Smith)
4:05.0,J. Parker makes 3-pt shot from 25 ft,3,48-38,,
3:54.0,,,48-40,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
3:49.0,Shooting foul by H. Thompson (drawn by K. Middleton),,48-40,,
3:49.0,K. Middleton makes free throw 1 of 2,1,49-40,,
3:49.0,,,49-40,,N. Stauskas enters the game for H. Thompson
3:49.0,K. Middleton makes free throw 2 of 2,1,50-40,,
3:29.0,,,50-40,,N. Stauskas misses 3-pt shot from 22 ft
3:28.0,Defensive rebound by G. Antetokounmpo,,50-40,,
3:19.0,K. Middleton makes 2-pt shot from 14 ft (assist by G. Antetokounmpo),2,52-40,,
3:03.0,,,52-42,2,I. Smith makes 2-pt shot at rim
2:37.0,M. Plumlee misses 2-pt shot from 13 ft,,52-42,,
2:34.0,,,52-42,,Defensive rebound by N. Noel
2:30.0,,,52-42,,Shooting foul by T. Ennis (drawn by I. Smith)
2:30.0,Milwaukee full timeout,,52-42,,
2:30.0,,,52-43,1,I. Smith makes free throw 1 of 2
2:30.0,,,52-43,,I. Smith misses free throw 2 of 2
2:28.0,Defensive rebound by J. Parker,,52-43,,
2:09.0,M. Plumlee makes 2-pt shot from 6 ft (assist by G. Antetokounmpo),2,54-43,,
1:47.0,,,54-43,,N. Stauskas misses 3-pt shot from 23 ft
1:46.0,,,54-43,,Offensive rebound by R. Covington
1:41.0,,,54-43,,Turnover by I. Smith (lost ball; steal by K. Middleton)
1:36.0,K. Middleton makes 2-pt shot from 1 ft,2,56-43,,
1:20.0,,,56-43,,J. Grant misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
1:18.0,,,56-43,,Offensive rebound by N. Noel
1:17.0,,,56-43,,N. Noel misses 2-pt shot from 4 ft (block by G. Antetokounmpo)
1:15.0,Defensive rebound by M. Plumlee,,56-43,,
1:11.0,J. Parker makes 2-pt shot from 1 ft (assist by K. Middleton),2,58-43,,
1:11.0,Shooting foul by N. Stauskas (drawn by J. Parker),,58-43,,
1:11.0,J. Parker makes free throw 1 of 1,1,59-43,,
0:51.0,Violation by M. Plumlee (def goaltending),,59-43,,
0:51.0,,,59-45,2,I. Smith makes 2-pt shot from 2 ft
0:35.0,T. Ennis misses 3-pt shot from 25 ft,,59-45,,
0:34.0,,,59-45,,Defensive rebound by N. Noel
0:27.0,,,59-45,,Philadelphia full timeout
0:09.0,,,59-45,,I. Smith misses 3-pt shot from 25 ft
0:08.0,,,59-45,,Offensive rebound by Team
0:08.0,,,59-45,,Turnover by Team (shot clock)
0:08.0,,,59-45,,T. McConnell enters the game for R. Covington
0:03.0,G. Antetokounmpo makes 3-pt shot from 25 ft,3,62-45,,
0:00.0,,,62-45,,I. Smith misses 3-pt shot from 39 ft
0:00.0,,,62-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,62-45,,Turnover by N. Noel (lost ball; steal by K. Middleton)
11:36.0,Turnover by K. Middleton (lost ball; steal by R. Covington),,62-45,,
11:33.0,,,62-45,,Shooting foul by J. Parker (drawn by R. Covington)
11:33.0,,,62-46,1,R. Covington makes free throw 1 of 2
11:33.0,,,62-47,1,R. Covington makes free throw 2 of 2
11:19.0,M. Plumlee makes 2-pt shot at rim (assist by T. Ennis),2,64-47,,
11:09.0,,,64-47,,N. Stauskas misses 2-pt shot from 1 ft (block by M. Plumlee)
11:06.0,Defensive rebound by K. Middleton,,64-47,,
10:57.0,Turnover by G. Antetokounmpo (traveling),,64-47,,
10:40.0,,,64-47,,I. Smith misses 2-pt shot from 3 ft
10:38.0,Defensive rebound by K. Middleton,,64-47,,
10:24.0,Turnover by G. Antetokounmpo (lost ball; steal by N. Noel),,64-47,,
10:21.0,,,64-49,2,N. Noel makes 2-pt shot at rim
10:02.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,64-49,,
10:00.0,,,64-49,,Defensive rebound by N. Noel
9:53.0,,,64-49,,Shooting foul by J. Parker (drawn by J. Grant)
9:53.0,,,64-50,1,J. Grant makes free throw 1 of 2
9:53.0,J. O'Bryant enters the game for J. Parker,,64-50,,
9:53.0,,,64-51,1,J. Grant makes free throw 2 of 2
9:40.0,Offensive charge foul by J. O'Bryant,,64-51,,
9:40.0,Turnover by J. O'Bryant (offensive foul),,64-51,,
9:27.0,,,64-51,,Turnover by I. Smith (step out of bounds)
9:16.0,K. Middleton makes 2-pt shot from 8 ft (assist by T. Ennis),2,66-51,,
9:03.0,,,66-51,,R. Covington misses 3-pt shot from 26 ft
9:01.0,Defensive rebound by K. Middleton,,66-51,,
8:48.0,K. Middleton makes 2-pt shot from 13 ft,2,68-51,,
8:36.0,,,68-51,,Turnover by J. Grant (lost ball; steal by M. Plumlee)
8:29.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by J. Grant),,68-51,,
8:29.0,Offensive rebound by J. O'Bryant,,68-51,,
8:29.0,Shooting foul by N. Noel (drawn by J. O'Bryant),,68-51,,
8:29.0,J. O'Bryant makes free throw 1 of 2,1,69-51,,
8:29.0,,,69-51,,H. Thompson enters the game for N. Stauskas
8:29.0,J. O'Bryant misses free throw 2 of 2,,69-51,,
8:28.0,,,69-51,,Defensive rebound by N. Noel
8:18.0,Personal block foul by J. O'Bryant,,69-51,,
8:04.0,,,69-54,3,I. Smith makes 3-pt shot from 25 ft (assist by R. Covington)
7:50.0,,,69-54,,Personal foul by N. Noel
7:50.0,,,69-54,,E. Brand enters the game for N. Noel
7:43.0,K. Middleton misses 2-pt shot from 16 ft,,69-54,,
7:42.0,,,69-54,,Defensive rebound by R. Covington
7:30.0,,,69-54,,H. Thompson misses 3-pt shot from 23 ft
7:29.0,Defensive rebound by M. Plumlee,,69-54,,
7:24.0,Turnover by J. O'Bryant (lost ball; steal by I. Smith),,69-54,,
7:16.0,,,69-57,3,R. Covington makes 3-pt shot from 26 ft (assist by I. Smith)
6:46.0,K. Middleton misses 3-pt shot from 22 ft,,69-57,,
6:45.0,,,69-57,,Defensive rebound by I. Smith
6:34.0,,,69-57,,J. Grant misses 2-pt shot from 1 ft
6:33.0,Defensive rebound by M. Plumlee,,69-57,,
6:20.0,T. Ennis misses 2-pt shot from 2 ft (block by I. Smith),,69-57,,
6:18.0,Offensive rebound by Team,,69-57,,
6:05.0,K. Middleton makes 2-pt shot from 4 ft (assist by G. Antetokounmpo),2,71-57,,
5:58.0,,,71-57,,R. Covington misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by G. Antetokounmpo,,71-57,,
5:50.0,K. Middleton makes 2-pt shot from 4 ft (assist by G. Antetokounmpo),2,73-57,,
5:50.0,Shooting foul by H. Thompson (drawn by K. Middleton),,73-57,,
5:50.0,,,73-57,,Philadelphia full timeout
5:50.0,K. Middleton makes free throw 1 of 1,1,74-57,,
5:39.0,J. Henson enters the game for M. Plumlee,,74-57,,
5:33.0,,,74-57,,Turnover by R. Covington (lost ball; steal by G. Antetokounmpo)
5:29.0,G. Antetokounmpo misses 2-pt shot at rim,,74-57,,
5:25.0,,,74-57,,Defensive rebound by I. Smith
5:05.0,,,74-59,2,I. Smith makes 2-pt shot from 6 ft
4:43.0,J. O'Bryant misses 2-pt shot from 16 ft,,74-59,,
4:41.0,,,74-59,,Defensive rebound by I. Smith
4:33.0,,,74-62,3,R. Covington makes 3-pt shot from 24 ft (assist by J. Grant)
4:10.0,Shooting foul by J. Grant (drawn by J. Henson),,74-62,,
4:10.0,J. Henson makes free throw 1 of 2,1,75-62,,
4:10.0,,,75-62,,T. McConnell enters the game for J. Grant
4:10.0,,,75-62,,N. Stauskas enters the game for H. Thompson
4:10.0,R. Vaughn enters the game for K. Middleton,,75-62,,
4:10.0,J. Henson makes free throw 2 of 2,1,76-62,,
3:57.0,,,76-65,3,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell)
3:29.0,Turnover by Team (shot clock),,76-65,,
3:11.0,,,76-65,,N. Stauskas misses 3-pt shot from 22 ft
3:08.0,Defensive rebound by J. Henson,,76-65,,
2:53.0,R. Vaughn misses 3-pt shot from 27 ft,,76-65,,
2:52.0,,,76-65,,Defensive rebound by E. Brand
2:46.0,,,76-65,,R. Covington misses 2-pt shot from 3 ft (block by G. Antetokounmpo)
2:44.0,Defensive rebound by J. O'Bryant,,76-65,,
2:36.0,J. Henson misses 2-pt shot from 16 ft,,76-65,,
2:35.0,,,76-65,,Defensive rebound by Team
2:35.0,Milwaukee full timeout,,76-65,,
2:35.0,,,76-65,,N. Noel enters the game for I. Smith
2:27.0,Violation by T. Ennis (kicked ball),,76-65,,
2:16.0,,,76-65,,Shooting foul by R. Vaughn (drawn by N. Stauskas)
2:16.0,,,76-66,1,N. Stauskas makes free throw 1 of 2
2:16.0,,,76-67,1,N. Stauskas makes free throw 2 of 2
1:53.0,T. Ennis misses 3-pt shot from 25 ft,,76-67,,
1:50.0,,,76-67,,Defensive rebound by N. Noel
1:42.0,,,76-70,3,N. Stauskas makes 3-pt shot from 24 ft (assist by T. McConnell)
1:30.0,Turnover by G. Antetokounmpo (lost ball; steal by R. Covington),,76-70,,
1:14.0,,,76-70,,R. Covington misses 3-pt shot from 27 ft
1:11.0,Defensive rebound by J. O'Bryant,,76-70,,
0:55.0,J. Henson misses 2-pt shot from 6 ft,,76-70,,
0:52.0,,,76-70,,Defensive rebound by R. Covington
0:37.0,,,76-70,,R. Covington misses 3-pt shot from 25 ft
0:35.0,,,76-70,,Offensive rebound by N. Noel
0:14.0,,,76-70,,N. Stauskas misses 3-pt shot from 22 ft
0:10.0,Defensive rebound by T. Ennis,,76-70,,
0:02.0,R. Vaughn misses 3-pt shot from 26 ft,,76-70,,
0:00.0,,,76-70,,Defensive rebound by E. Brand
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:56.0,Turnover by J. Parker (lost ball; steal by T. McConnell),,76-70,,
11:48.0,,,76-72,2,N. Stauskas makes 2-pt shot from 1 ft (assist by T. McConnell)
11:40.0,J. Parker misses 2-pt shot from 22 ft,,76-72,,
11:36.0,,,76-72,,Defensive rebound by N. Noel
11:25.0,,,76-72,,J. Grant misses 3-pt shot from 22 ft
11:23.0,Defensive rebound by R. Vaughn,,76-72,,
11:14.0,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton),2,78-72,,
10:48.0,,,78-72,,T. McConnell misses 2-pt shot from 16 ft
10:46.0,Defensive rebound by J. Henson,,78-72,,
10:35.0,K. Middleton makes 2-pt shot from 2 ft,2,80-72,,
10:35.0,,,80-72,,Philadelphia full timeout
10:11.0,,,80-72,,N. Stauskas misses 3-pt shot from 23 ft
10:10.0,,,80-72,,Offensive rebound by Team
10:10.0,,,80-72,,Turnover by Team (shot clock)
9:57.0,K. Middleton misses 2-pt shot from 13 ft,,80-72,,
9:54.0,Offensive rebound by J. Henson,,80-72,,
9:54.0,J. Henson misses 2-pt shot from 1 ft,,80-72,,
9:53.0,Offensive rebound by J. Henson,,80-72,,
9:53.0,J. Henson misses 2-pt shot from 1 ft,,80-72,,
9:52.0,,,80-72,,Defensive rebound by N. Noel
9:47.0,,,80-74,2,J. Grant makes 2-pt shot at rim (assist by T. McConnell)
9:33.0,J. Parker makes 2-pt shot at rim,2,82-74,,
9:18.0,,,82-74,,H. Thompson misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by J. Parker,,82-74,,
9:00.0,Shooting foul by N. Noel (drawn by J. Henson),,82-74,,
9:00.0,J. Henson makes free throw 1 of 2,1,83-74,,
9:00.0,J. Henson makes free throw 2 of 2,1,84-74,,
8:49.0,,,84-76,2,N. Noel makes 2-pt shot from 5 ft (assist by J. Grant)
8:39.0,R. Vaughn misses 2-pt shot from 2 ft (block by N. Noel),,84-76,,
8:36.0,,,84-76,,Defensive rebound by T. McConnell
8:32.0,,,84-78,2,T. McConnell makes 2-pt shot at rim
8:18.0,Shooting foul by N. Noel (drawn by J. Henson),,84-78,,
8:18.0,J. Henson makes free throw 1 of 2,1,85-78,,
8:18.0,,,85-78,,I. Smith enters the game for N. Stauskas
8:18.0,J. Henson makes free throw 2 of 2,1,86-78,,
7:56.0,Violation by J. Henson (def goaltending),,86-78,,
7:56.0,,,86-80,2,J. Grant makes 2-pt shot from 2 ft
7:56.0,Technical foul by J. Henson,,86-80,,
7:56.0,,,86-81,1,H. Thompson makes technical free throw
7:39.0,J. Henson makes 2-pt shot at rim (assist by G. Vasquez),2,88-81,,
7:27.0,,,88-84,3,J. Grant makes 3-pt shot from 22 ft (assist by T. McConnell)
7:11.0,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton),2,90-84,,
6:54.0,,,90-84,,J. Grant misses 2-pt shot from 3 ft (block by J. Henson)
6:52.0,,,90-84,,Offensive rebound by H. Thompson
6:52.0,,,90-84,,H. Thompson misses 2-pt shot from 1 ft
6:52.0,,,90-84,,Offensive rebound by N. Noel
6:47.0,,,90-86,2,N. Noel makes 2-pt shot at rim
6:35.0,,,90-86,,R. Covington enters the game for H. Thompson
6:35.0,,,90-86,,E. Brand enters the game for N. Noel
6:29.0,,,90-86,,Personal foul by T. McConnell
6:25.0,J. Parker misses 2-pt shot from 12 ft,,90-86,,
6:22.0,,,90-86,,Defensive rebound by I. Smith
6:10.0,,,90-88,2,T. McConnell makes 2-pt shot from 15 ft (assist by E. Brand)
5:58.0,K. Middleton makes 2-pt shot from 1 ft,2,92-88,,
5:45.0,,,92-90,2,R. Covington makes 2-pt shot from 1 ft (assist by I. Smith)
5:44.0,Milwaukee full timeout,,92-90,,
5:44.0,G. Antetokounmpo enters the game for G. Vasquez,,92-90,,
5:44.0,T. Ennis enters the game for R. Vaughn,,92-90,,
5:27.0,K. Middleton misses 2-pt shot from 23 ft,,92-90,,
5:24.0,,,92-90,,Defensive rebound by R. Covington
5:18.0,,,92-90,,J. Grant misses 2-pt shot from 1 ft
5:17.0,Defensive rebound by J. Henson,,92-90,,
5:03.0,Turnover by T. Ennis (lost ball),,92-90,,
4:42.0,,,92-90,,Shooting foul by T. Ennis (drawn by I. Smith)
4:42.0,,,92-90,,I. Smith misses free throw 1 of 2
4:42.0,,,92-90,,Offensive rebound by Team
4:42.0,,,92-90,,I. Smith misses free throw 2 of 2
4:41.0,Defensive rebound by G. Antetokounmpo,,92-90,,
4:26.0,J. Henson makes 2-pt shot from 6 ft (assist by K. Middleton),2,94-90,,
4:04.0,,,94-90,,Shooting foul by J. Henson (drawn by J. Grant)
4:04.0,,,94-90,,J. Grant misses free throw 1 of 2
4:04.0,,,94-90,,Offensive rebound by Team
4:04.0,,,94-90,,N. Noel enters the game for E. Brand
4:04.0,,,94-90,,N. Stauskas enters the game for T. McConnell
4:04.0,,,94-90,,J. Grant misses free throw 2 of 2
3:58.0,Defensive rebound by J. Henson,,94-90,,
3:49.0,J. Henson misses 2-pt shot from 3 ft,,94-90,,
3:48.0,Offensive rebound by G. Antetokounmpo,,94-90,,
3:48.0,G. Antetokounmpo misses 2-pt shot at rim,,94-90,,
