time,Orlando,pts.away,score,pts.home,LA Clippers
4:19.0,,,16-20,,W. Johnson misses free throw 1 of 2
4:19.0,,,16-20,,Offensive rebound by Team
4:19.0,,,16-20,,W. Johnson misses free throw 2 of 2
4:18.0,Defensive rebound by A. Gordon,,16-20,,
4:05.0,V. Oladipo misses 3-pt shot from 25 ft,,16-20,,
4:04.0,,,16-20,,Defensive rebound by A. Rivers
3:52.0,,,16-20,,B. Griffin misses 2-pt shot from 3 ft
3:51.0,,,16-20,,Offensive rebound by B. Griffin
3:49.0,,,16-20,,B. Griffin misses 2-pt shot from 1 ft
3:48.0,Defensive rebound by A. Nicholson,,16-20,,
3:39.0,J. Smith makes 2-pt shot from 18 ft (assist by V. Oladipo),2,18-20,,
3:21.0,,,18-20,,Turnover by W. Johnson (lost ball; steal by A. Gordon)
2:56.0,A. Gordon makes 2-pt shot from 18 ft (assist by J. Smith),2,20-20,,
2:31.0,,,20-20,,A. Rivers misses 3-pt shot from 25 ft
2:31.0,Defensive rebound by V. Oladipo,,20-20,,
2:29.0,Offensive charge foul by E. Payton,,20-20,,
2:29.0,Turnover by E. Payton (offensive foul),,20-20,,
2:29.0,Orlando full timeout,,20-20,,
2:29.0,,,20-20,,P. Prigioni enters the game for A. Rivers
2:29.0,,,20-20,,J. Smith enters the game for D. Jordan
2:05.0,,,20-20,,B. Griffin misses 2-pt shot from 21 ft
2:05.0,Defensive rebound by A. Gordon,,20-20,,
1:50.0,V. Oladipo misses 2-pt shot from 19 ft,,20-20,,
1:48.0,,,20-20,,Defensive rebound by B. Griffin
1:43.0,,,20-20,,B. Griffin misses 2-pt shot from 6 ft
1:42.0,Defensive rebound by A. Nicholson,,20-20,,
1:38.0,V. Oladipo makes 2-pt shot from 1 ft,2,22-20,,
1:38.0,Shooting foul by L. Stephenson (drawn by V. Oladipo),,22-20,,
1:38.0,S. Napier enters the game for E. Payton,,22-20,,
1:38.0,V. Oladipo misses free throw 1 of 1,,22-20,,
1:36.0,,,22-20,,Defensive rebound by J. Smith
1:19.0,,,22-20,,B. Griffin misses 2-pt shot from 4 ft
1:18.0,,,22-20,,Offensive rebound by B. Griffin
1:15.0,,,22-22,2,B. Griffin makes 2-pt shot from 1 ft
1:01.0,V. Oladipo makes 2-pt shot from 2 ft (assist by S. Napier),2,24-22,,
0:45.0,,,24-22,,W. Johnson misses 3-pt shot from 23 ft
0:44.0,Defensive rebound by A. Nicholson,,24-22,,
0:39.0,Turnover by V. Oladipo (discontinued dribble),,24-22,,
0:16.0,,,24-22,,W. Johnson misses 3-pt shot from 25 ft
0:15.0,Defensive rebound by J. Smith,,24-22,,
0:03.0,A. Nicholson misses 2-pt shot from 4 ft,,24-22,,
0:02.0,,,24-22,,Defensive rebound by P. Prigioni
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,24-22,,Offensive foul by J. Smith
11:47.0,,,24-22,,Turnover by J. Smith (offensive foul)
11:28.0,S. Napier misses 2-pt shot from 21 ft,,24-22,,
11:28.0,,,24-22,,Defensive rebound by L. Stephenson
11:14.0,,,24-22,,J. Smith misses 2-pt shot from 17 ft
11:13.0,Defensive rebound by A. Nicholson,,24-22,,
11:02.0,A. Nicholson makes 3-pt shot from 26 ft (assist by V. Oladipo),3,27-22,,
10:35.0,,,27-22,,W. Johnson misses 3-pt shot from 26 ft
10:35.0,Defensive rebound by V. Oladipo,,27-22,,
10:23.0,J. Smith misses 2-pt shot from 3 ft,,27-22,,
10:22.0,,,27-22,,Defensive rebound by W. Johnson
10:15.0,,,27-24,2,J. Smith makes 2-pt shot from 3 ft
10:05.0,,,27-24,,Personal foul by J. Smith (drawn by V. Oladipo)
10:05.0,T. Harris enters the game for A. Gordon,,27-24,,
10:05.0,N. Vucevic enters the game for J. Smith,,27-24,,
10:05.0,,,27-24,,J. Crawford enters the game for L. Stephenson
9:53.0,N. Vucevic misses 2-pt shot from 10 ft,,27-24,,
9:51.0,,,27-24,,Defensive rebound by P. Pierce
9:42.0,,,27-27,3,W. Johnson makes 3-pt shot from 23 ft (assist by P. Prigioni)
9:35.0,Orlando full timeout,,27-27,,
9:35.0,,,27-27,,D. Jordan enters the game for J. Smith
9:22.0,T. Harris misses 2-pt shot from 1 ft,,27-27,,
9:22.0,Offensive rebound by N. Vucevic,,27-27,,
9:21.0,N. Vucevic makes 2-pt shot at rim,2,29-27,,
9:00.0,,,29-27,,Shooting foul by T. Harris (drawn by D. Jordan)
9:00.0,,,29-28,1,D. Jordan makes free throw 1 of 2
9:00.0,,,29-28,,D. Jordan misses free throw 2 of 2
8:58.0,Defensive rebound by A. Nicholson,,29-28,,
8:48.0,Turnover by A. Nicholson (lost ball; steal by P. Pierce),,29-28,,
8:43.0,,,29-30,2,D. Jordan makes 2-pt shot at rim (assist by W. Johnson)
8:29.0,T. Harris misses 2-pt shot from 7 ft,,29-30,,
8:28.0,,,29-30,,Defensive rebound by W. Johnson
8:17.0,,,29-30,,J. Crawford misses 3-pt shot from 27 ft
8:17.0,Defensive rebound by T. Harris,,29-30,,
8:15.0,Shooting foul by P. Pierce (drawn by V. Oladipo),,29-30,,
8:15.0,V. Oladipo makes free throw 1 of 2,1,30-30,,
8:15.0,E. Fournier enters the game for A. Nicholson,,30-30,,
8:15.0,V. Oladipo makes free throw 2 of 2,1,31-30,,
7:49.0,,,31-33,3,J. Crawford makes 3-pt shot from 27 ft
7:30.0,Turnover by N. Vucevic (bad pass; steal by W. Johnson),,31-33,,
7:26.0,,,31-33,,Shooting foul by E. Fournier (drawn by W. Johnson)
7:26.0,,,31-34,1,W. Johnson makes free throw 1 of 2
7:26.0,E. Payton enters the game for S. Napier,,31-34,,
7:26.0,,,31-34,,B. Griffin enters the game for P. Pierce
7:26.0,,,31-35,1,W. Johnson makes free throw 2 of 2
7:11.0,T. Harris misses 3-pt shot from 24 ft,,31-35,,
7:10.0,,,31-35,,Defensive rebound by D. Jordan
6:55.0,,,31-38,3,W. Johnson makes 3-pt shot from 22 ft (assist by B. Griffin)
6:33.0,E. Fournier misses 3-pt shot from 27 ft,,31-38,,
6:32.0,,,31-38,,Defensive rebound by B. Griffin
6:19.0,,,31-38,,J. Crawford misses 2-pt shot from 1 ft (block by V. Oladipo)
6:18.0,Defensive rebound by T. Harris,,31-38,,
6:06.0,E. Payton makes 2-pt shot from 2 ft (assist by N. Vucevic),2,33-38,,
5:54.0,,,33-38,,B. Griffin misses 2-pt shot from 21 ft
5:54.0,,,33-38,,Offensive rebound by D. Jordan
5:50.0,,,33-40,2,D. Jordan makes 2-pt shot from 1 ft
5:40.0,E. Payton misses 2-pt shot from 1 ft,,33-40,,
5:39.0,Offensive rebound by E. Payton,,33-40,,
5:35.0,E. Payton makes 2-pt shot from 2 ft,2,35-40,,
5:16.0,,,35-43,3,J. Crawford makes 3-pt shot from 25 ft (assist by P. Prigioni)
5:16.0,,,35-43,,Shooting foul by E. Fournier (drawn by J. Crawford)
5:16.0,Official timeout,,35-43,,
5:16.0,,,35-43,,A. Rivers enters the game for P. Prigioni
5:16.0,C. Frye enters the game for E. Fournier,,35-43,,
5:16.0,,,35-44,1,J. Crawford makes free throw 1 of 1
5:01.0,V. Oladipo misses 2-pt shot from 3 ft,,35-44,,
5:00.0,Offensive rebound by N. Vucevic,,35-44,,
4:59.0,N. Vucevic makes 2-pt shot from 2 ft,2,37-44,,
4:40.0,,,37-44,,J. Crawford misses 2-pt shot from 17 ft
4:39.0,Defensive rebound by E. Payton,,37-44,,
4:34.0,T. Harris misses 2-pt shot from 5 ft (block by D. Jordan),,37-44,,
4:34.0,Offensive rebound by Team,,37-44,,
4:25.0,E. Payton makes 2-pt shot from 19 ft (assist by V. Oladipo),2,39-44,,
3:59.0,,,39-44,,B. Griffin misses 2-pt shot from 11 ft
3:58.0,,,39-44,,Offensive rebound by D. Jordan
3:56.0,,,39-46,2,D. Jordan makes 2-pt shot from 2 ft
3:48.0,Turnover by V. Oladipo (discontinued dribble),,39-46,,
3:34.0,,,39-46,,Turnover by A. Rivers (lost ball)
3:18.0,E. Payton misses 2-pt shot from 16 ft,,39-46,,
3:17.0,,,39-46,,Defensive rebound by B. Griffin
3:14.0,,,39-46,,Turnover by A. Rivers (lost ball; steal by T. Harris)
3:08.0,N. Vucevic makes 2-pt shot at rim (assist by E. Payton),2,41-46,,
2:51.0,,,41-46,,J. Crawford misses 2-pt shot from 13 ft (block by V. Oladipo)
2:49.0,Defensive rebound by T. Harris,,41-46,,
2:48.0,Shooting foul by W. Johnson (drawn by T. Harris),,41-46,,
2:48.0,,,41-46,,LA Clippers full timeout
2:48.0,,,41-46,,L. Stephenson enters the game for A. Rivers
2:48.0,,,41-46,,P. Prigioni enters the game for W. Johnson
2:48.0,T. Harris makes free throw 1 of 2,1,42-46,,
2:48.0,T. Harris makes free throw 2 of 2,1,43-46,,
2:23.0,,,43-46,,P. Prigioni misses 3-pt shot from 27 ft
2:23.0,Defensive rebound by V. Oladipo,,43-46,,
2:17.0,V. Oladipo misses 2-pt shot from 1 ft,,43-46,,
2:15.0,Offensive rebound by E. Payton,,43-46,,
2:13.0,E. Payton makes 2-pt shot at rim,2,45-46,,
2:07.0,,,45-48,2,B. Griffin makes 2-pt shot from 4 ft (assist by L. Stephenson)
1:50.0,V. Oladipo makes 2-pt shot from 4 ft,2,47-48,,
1:33.0,,,47-51,3,J. Crawford makes 3-pt shot from 26 ft (assist by B. Griffin)
1:26.0,Shooting foul by P. Prigioni (drawn by E. Payton),,47-51,,
1:26.0,E. Payton makes free throw 1 of 2,1,48-51,,
1:26.0,E. Payton misses free throw 2 of 2,,48-51,,
1:25.0,Offensive rebound by C. Frye,,48-51,,
1:18.0,T. Harris misses 3-pt shot from 26 ft,,48-51,,
1:17.0,Offensive rebound by N. Vucevic,,48-51,,
1:07.0,V. Oladipo misses 2-pt shot from 3 ft,,48-51,,
1:07.0,Offensive rebound by N. Vucevic,,48-51,,
1:07.0,Shooting foul by J. Crawford (drawn by N. Vucevic),,48-51,,
1:07.0,N. Vucevic makes free throw 1 of 2,1,49-51,,
1:07.0,,,49-51,,W. Johnson enters the game for J. Crawford
1:07.0,N. Vucevic makes free throw 2 of 2,1,50-51,,
0:57.0,,,50-53,2,B. Griffin makes 2-pt shot from 19 ft (assist by P. Prigioni)
0:41.0,E. Payton misses 2-pt shot from 10 ft,,50-53,,
0:40.0,,,50-53,,Defensive rebound by W. Johnson
0:35.0,,,50-53,,Turnover by B. Griffin (lost ball; steal by E. Payton)
0:32.0,E. Payton misses 2-pt shot from 12 ft,,50-53,,
0:26.0,,,50-53,,Defensive rebound by D. Jordan
0:20.0,,,50-53,,LA Clippers full timeout
0:20.0,,,50-53,,P. Pierce enters the game for D. Jordan
0:20.0,,,50-53,,J. Crawford enters the game for L. Stephenson
0:06.0,,,50-53,,W. Johnson misses 3-pt shot from 23 ft
0:06.0,,,50-53,,Offensive rebound by P. Prigioni
0:02.0,,,50-53,,P. Pierce misses 3-pt shot from 26 ft
0:01.0,,,50-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,50-53,,B. Griffin misses 2-pt shot from 19 ft
11:41.0,Defensive rebound by Team,,50-53,,
11:29.0,E. Fournier misses 3-pt shot from 26 ft,,50-53,,
11:29.0,,,50-53,,Defensive rebound by Team
11:11.0,,,50-53,,A. Rivers misses 3-pt shot from 24 ft
11:08.0,,,50-53,,Offensive rebound by D. Jordan
11:03.0,,,50-55,2,J. Crawford makes 2-pt shot from 15 ft
10:41.0,E. Payton makes 3-pt shot from 26 ft (assist by N. Vucevic),3,53-55,,
10:30.0,,,53-55,,Turnover by B. Griffin (bad pass; steal by E. Payton)
10:26.0,E. Payton makes 2-pt shot at rim,2,55-55,,
10:01.0,,,55-55,,L. Mbah a Moute misses 3-pt shot from 24 ft
10:01.0,,,55-55,,Offensive rebound by A. Rivers
10:01.0,Personal foul by E. Fournier (drawn by A. Rivers),,55-55,,
9:53.0,,,55-57,2,D. Jordan makes 2-pt shot from 3 ft (assist by J. Crawford)
9:53.0,,,55-57,,Shooting foul by E. Payton (drawn by D. Jordan)
9:53.0,,,55-57,,D. Jordan misses free throw 1 of 1
9:52.0,Defensive rebound by T. Harris,,55-57,,
9:36.0,E. Fournier makes 2-pt shot from 4 ft,2,57-57,,
9:26.0,,,57-59,2,B. Griffin makes 2-pt shot from 2 ft (assist by J. Crawford)
9:08.0,T. Harris misses 3-pt shot from 24 ft,,57-59,,
9:08.0,Offensive rebound by N. Vucevic,,57-59,,
9:03.0,N. Vucevic makes 2-pt shot from 1 ft,2,59-59,,
8:46.0,,,59-61,2,A. Rivers makes 2-pt shot from 7 ft (assist by J. Crawford)
8:26.0,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton),3,62-61,,
8:12.0,,,62-61,,A. Rivers misses 2-pt shot from 4 ft
8:11.0,Defensive rebound by T. Harris,,62-61,,
8:05.0,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton),3,65-61,,
8:05.0,,,65-61,,LA Clippers full timeout
8:05.0,,,65-61,,P. Prigioni enters the game for A. Rivers
7:52.0,Personal foul by E. Payton (drawn by B. Griffin),,65-61,,
7:46.0,Personal foul by E. Fournier (drawn by J. Crawford),,65-61,,
7:46.0,V. Oladipo enters the game for E. Fournier,,65-61,,
7:38.0,,,65-63,2,J. Crawford makes 2-pt shot from 18 ft (assist by B. Griffin)
7:24.0,Turnover by C. Frye (traveling),,65-63,,
7:06.0,,,65-63,,L. Mbah a Moute misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by V. Oladipo,,65-63,,
6:57.0,T. Harris misses 2-pt shot from 2 ft,,65-63,,
6:56.0,,,65-63,,Defensive rebound by D. Jordan
6:50.0,,,65-63,,Shooting foul by C. Frye (drawn by B. Griffin)
6:50.0,,,65-64,1,B. Griffin makes free throw 1 of 2
6:50.0,,,65-64,,B. Griffin misses free throw 2 of 2
6:49.0,Defensive rebound by T. Harris,,65-64,,
6:32.0,N. Vucevic misses 2-pt shot from 20 ft,,65-64,,
6:31.0,,,65-64,,Defensive rebound by D. Jordan
6:17.0,,,65-64,,D. Jordan misses 2-pt shot from 8 ft
6:15.0,Defensive rebound by N. Vucevic,,65-64,,
6:01.0,N. Vucevic misses 2-pt shot from 11 ft,,65-64,,
5:59.0,,,65-64,,Defensive rebound by B. Griffin
5:51.0,,,65-64,,J. Crawford misses 2-pt shot from 18 ft
5:50.0,Defensive rebound by N. Vucevic,,65-64,,
5:42.0,E. Payton makes 2-pt shot from 18 ft,2,67-64,,
5:37.0,,,67-64,,LA Clippers full timeout
5:37.0,A. Gordon enters the game for T. Harris,,67-64,,
5:37.0,A. Nicholson enters the game for C. Frye,,67-64,,
5:37.0,,,67-64,,W. Johnson enters the game for L. Mbah a Moute
5:21.0,,,67-66,2,B. Griffin makes 2-pt shot from 18 ft
5:05.0,V. Oladipo misses 2-pt shot from 15 ft,,67-66,,
5:04.0,,,67-66,,Defensive rebound by D. Jordan
4:52.0,,,67-68,2,B. Griffin makes 2-pt shot from 17 ft (assist by J. Crawford)
4:45.0,E. Payton makes 2-pt shot from 2 ft,2,69-68,,
4:35.0,,,69-68,,W. Johnson misses 3-pt shot from 24 ft
4:34.0,Defensive rebound by V. Oladipo,,69-68,,
4:23.0,V. Oladipo makes 2-pt shot from 2 ft,2,71-68,,
4:03.0,,,71-68,,B. Griffin misses 2-pt shot from 20 ft
4:03.0,Defensive rebound by N. Vucevic,,71-68,,
3:53.0,V. Oladipo makes 3-pt shot from 28 ft (assist by E. Payton),3,74-68,,
3:37.0,,,74-68,,J. Crawford misses 2-pt shot from 3 ft
3:36.0,Defensive rebound by A. Gordon,,74-68,,
3:31.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,76-68,,
3:05.0,,,76-68,,J. Crawford misses 2-pt shot from 14 ft
3:04.0,,,76-68,,Offensive rebound by D. Jordan
3:03.0,,,76-70,2,D. Jordan makes 2-pt shot from 1 ft
2:38.0,Turnover by Team (shot clock),,76-70,,
2:38.0,,,76-70,,L. Stephenson enters the game for J. Crawford
2:38.0,,,76-70,,J. Smith enters the game for D. Jordan
2:31.0,Personal foul by V. Oladipo (drawn by B. Griffin),,76-70,,
2:31.0,,,76-71,1,B. Griffin makes free throw 1 of 2
2:31.0,J. Smith enters the game for N. Vucevic,,76-71,,
2:31.0,,,76-72,1,B. Griffin makes free throw 2 of 2
2:13.0,V. Oladipo makes 2-pt shot from 2 ft,2,78-72,,
2:13.0,Shooting foul by L. Stephenson (drawn by V. Oladipo),,78-72,,
2:13.0,V. Oladipo makes free throw 1 of 1,1,79-72,,
1:58.0,,,79-74,2,B. Griffin makes 2-pt shot from 20 ft (assist by P. Prigioni)
1:45.0,V. Oladipo misses 2-pt shot from 2 ft,,79-74,,
1:44.0,,,79-74,,Defensive rebound by B. Griffin
1:40.0,,,79-74,,Turnover by B. Griffin (bad pass)
1:30.0,Turnover by A. Gordon (step out of bounds),,79-74,,
1:07.0,,,79-74,,J. Smith misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by A. Gordon,,79-74,,
1:02.0,Orlando full timeout,,79-74,,
1:02.0,,,79-74,,P. Pierce enters the game for B. Griffin
1:02.0,,,79-74,,A. Rivers enters the game for P. Prigioni
0:50.0,Jump ball: V. Oladipo vs. L. Stephenson (P. Pierce gains possession),,,,Jump ball: V. Oladipo vs. L. Stephenson (P. Pierce gains possession)
0:50.0,Turnover by V. Oladipo (lost ball; steal by L. Stephenson),,79-74,,
0:26.0,,,79-74,,J. Smith misses 3-pt shot from 25 ft
0:25.0,Defensive rebound by A. Gordon,,79-74,,
0:11.0,,,79-74,,Personal foul by A. Rivers (drawn by E. Payton)
0:11.0,,,79-74,,L. Mbah a Moute enters the game for P. Pierce
0:03.0,E. Payton misses 3-pt shot from 26 ft,,79-74,,
0:03.0,,,79-74,,Defensive rebound by L. Stephenson
0:01.0,,,79-74,,L. Stephenson misses 3-pt shot from 61 ft
0:00.0,,,79-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,V. Oladipo makes 2-pt shot from 1 ft (assist by S. Napier),2,81-74,,
11:26.0,,,81-77,3,W. Johnson makes 3-pt shot from 24 ft (assist by J. Smith)
11:07.0,Shooting foul by A. Rivers (drawn by S. Napier),,81-77,,
11:07.0,S. Napier makes free throw 1 of 2,1,82-77,,
11:07.0,S. Napier makes free throw 2 of 2,1,83-77,,
10:53.0,,,83-77,,Turnover by P. Pierce (offensive foul)
10:53.0,,,83-77,,Offensive charge foul by P. Pierce
10:34.0,A. Gordon makes 2-pt shot from 12 ft (assist by V. Oladipo),2,85-77,,
10:11.0,,,85-77,,P. Pierce misses 3-pt shot from 27 ft
10:10.0,Defensive rebound by V. Oladipo,,85-77,,
10:02.0,J. Smith misses 2-pt shot from 18 ft,,85-77,,
10:02.0,Offensive rebound by A. Gordon,,85-77,,
10:02.0,A. Gordon makes 2-pt shot at rim,2,87-77,,
10:02.0,,,87-77,,LA Clippers full timeout
10:02.0,,,87-77,,J. Crawford enters the game for L. Stephenson
9:36.0,,,87-77,,P. Pierce misses 2-pt shot from 3 ft (block by J. Smith)
9:34.0,Defensive rebound by A. Nicholson,,87-77,,
9:16.0,V. Oladipo makes 2-pt shot from 12 ft,2,89-77,,
9:02.0,,,89-80,3,W. Johnson makes 3-pt shot from 24 ft (assist by J. Smith)
8:45.0,V. Oladipo makes 2-pt shot from 22 ft (assist by A. Nicholson),2,91-80,,
8:37.0,Personal foul by S. Napier (drawn by A. Rivers),,91-80,,
8:37.0,,,91-80,,D. Jordan enters the game for J. Smith
8:37.0,,,91-80,,B. Griffin enters the game for P. Pierce
8:32.0,Personal foul by J. Smith (drawn by D. Jordan),,91-80,,
8:27.0,,,91-80,,Turnover by A. Rivers (lost ball)
8:12.0,V. Oladipo misses 2-pt shot from 2 ft,,91-80,,
8:11.0,,,91-80,,Defensive rebound by D. Jordan
8:06.0,Personal foul by A. Gordon (drawn by W. Johnson),,91-80,,
7:59.0,,,91-83,3,J. Crawford makes 3-pt shot from 25 ft (assist by A. Rivers)
7:40.0,A. Nicholson misses 2-pt shot from 10 ft,,91-83,,
7:39.0,,,91-83,,Defensive rebound by B. Griffin
7:32.0,,,91-83,,B. Griffin misses 2-pt shot from 3 ft (block by J. Smith)
7:31.0,Defensive rebound by A. Nicholson,,91-83,,
7:26.0,A. Nicholson misses 3-pt shot from 26 ft,,91-83,,
7:26.0,Offensive rebound by V. Oladipo,,91-83,,
7:06.0,S. Napier misses 3-pt shot from 24 ft,,91-83,,
7:06.0,Offensive rebound by J. Smith,,91-83,,
7:02.0,Orlando full timeout,,91-83,,
7:02.0,E. Payton enters the game for S. Napier,,91-83,,
6:39.0,A. Gordon misses 3-pt shot from 26 ft,,91-83,,
6:38.0,,,91-83,,Defensive rebound by D. Jordan
6:32.0,,,91-86,3,J. Crawford makes 3-pt shot from 25 ft (assist by A. Rivers)
6:11.0,A. Nicholson makes 3-pt shot from 25 ft (assist by A. Gordon),3,94-86,,
5:55.0,,,94-86,,Turnover by B. Griffin (bad pass; steal by J. Smith)
5:48.0,E. Payton misses 2-pt shot from 6 ft,,94-86,,
5:47.0,,,94-86,,Defensive rebound by W. Johnson
5:35.0,,,94-86,,J. Crawford misses 3-pt shot from 27 ft
5:34.0,Defensive rebound by J. Smith,,94-86,,
5:27.0,A. Gordon makes 2-pt shot from 2 ft (assist by E. Payton),2,96-86,,
5:26.0,,,96-86,,LA Clippers full timeout
5:09.0,,,96-88,2,B. Griffin makes 2-pt shot from 2 ft
4:53.0,V. Oladipo misses 3-pt shot from 24 ft,,96-88,,
4:53.0,,,96-88,,Defensive rebound by W. Johnson
4:48.0,,,96-88,,Shooting foul by V. Oladipo (drawn by J. Crawford)
4:48.0,,,96-89,1,J. Crawford makes free throw 1 of 2
4:48.0,E. Fournier enters the game for V. Oladipo,,96-89,,
4:48.0,N. Vucevic enters the game for A. Nicholson,,96-89,,
4:48.0,,,96-90,1,J. Crawford makes free throw 2 of 2
4:26.0,A. Gordon misses 2-pt shot from 11 ft,,96-90,,
4:24.0,,,96-90,,Defensive rebound by B. Griffin
4:13.0,,,96-92,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
3:53.0,A. Gordon misses 2-pt shot from 12 ft (block by W. Johnson),,96-92,,
3:52.0,,,96-92,,Defensive rebound by W. Johnson
3:32.0,,,96-92,,Shooting foul by J. Smith (drawn by J. Crawford)
3:32.0,,,96-93,1,J. Crawford makes free throw 1 of 2
3:32.0,T. Harris enters the game for A. Gordon,,96-93,,
3:32.0,,,96-94,1,J. Crawford makes free throw 2 of 2
