time,San Antonio,pts.away,score,pts.home,Denver
3:15.0,B. Marjanovic makes 2-pt shot from 16 ft (assist by P. Mills),2,10-17,,
3:02.0,,,10-19,2,E. Mudiay makes 2-pt shot from 18 ft
2:43.0,M. Bonner misses 3-pt shot from 24 ft,,10-19,,
2:42.0,,,10-19,,Defensive rebound by J. Lauvergne
2:40.0,,,10-19,,Turnover by J. Lauvergne (lost ball; steal by K. Martin)
2:34.0,K. Martin makes 2-pt shot from 18 ft,2,12-19,,
2:20.0,,,12-22,3,E. Mudiay makes 3-pt shot from 24 ft
1:58.0,B. Marjanovic misses 2-pt shot from 12 ft,,12-22,,
1:57.0,,,12-22,,Defensive rebound by N. Jokic
1:49.0,,,12-22,,Turnover by J. Lauvergne (3 sec)
1:49.0,San Antonio full timeout,,12-22,,
1:49.0,,,12-22,,A. Toupane enters the game for E. Mudiay
1:49.0,,,12-22,,D. Augustin enters the game for N. Jokic
1:49.0,J. Simmons enters the game for K. Anderson,,12-22,,
1:38.0,B. Marjanovic makes 2-pt shot from 12 ft (assist by P. Mills),2,14-22,,
1:14.0,,,14-22,,J. Lauvergne misses 2-pt shot from 19 ft
1:13.0,Defensive rebound by K. Martin,,14-22,,
1:09.0,,,14-22,,Personal foul by G. Harris
1:00.0,J. Simmons makes 2-pt shot from 3 ft,2,16-22,,
0:40.0,,,16-22,,W. Barton misses 2-pt shot from 5 ft (block by B. Marjanovic)
0:39.0,Defensive rebound by P. Mills,,16-22,,
0:37.0,P. Mills makes 2-pt shot from 2 ft,2,18-22,,
0:37.0,,,18-22,,Denver full timeout
0:37.0,,,18-22,,M. Miller enters the game for G. Harris
0:22.0,,,18-24,2,D. Augustin makes 2-pt shot from 2 ft (assist by M. Miller)
0:01.0,K. Martin misses 2-pt shot from 2 ft,,18-24,,
0:01.0,,,18-24,,Defensive rebound by M. Miller
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,B. Marjanovic misses 2-pt shot from 13 ft,,18-24,,
11:41.0,,,18-24,,Defensive rebound by M. Miller
11:23.0,,,18-24,,M. Miller misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by B. Marjanovic,,18-24,,
11:16.0,K. Martin makes 3-pt shot from 24 ft (assist by P. Mills),3,21-24,,
11:00.0,,,21-26,2,W. Barton makes 2-pt shot from 2 ft
10:40.0,,,21-26,,Personal foul by J. Lauvergne
10:31.0,Turnover by K. Martin (lost ball; steal by W. Barton),,21-26,,
10:26.0,,,21-26,,Shooting foul by J. Simmons (drawn by J. Lauvergne)
10:26.0,,,21-27,1,J. Lauvergne makes free throw 1 of 2
10:26.0,,,21-28,1,J. Lauvergne makes free throw 2 of 2
10:16.0,Shooting foul by A. Toupane (drawn by K. Martin),,21-28,,
10:16.0,K. Martin makes free throw 1 of 2,1,22-28,,
10:16.0,K. Martin makes free throw 2 of 2,1,23-28,,
10:03.0,,,23-30,2,W. Barton makes 2-pt shot from 2 ft (assist by J. Lauvergne)
9:44.0,P. Mills misses 2-pt shot from 16 ft,,23-30,,
9:44.0,Offensive rebound by B. Marjanovic,,23-30,,
9:41.0,B. Marjanovic makes 2-pt shot from 2 ft,2,25-30,,
9:32.0,,,25-30,,Offensive foul by J. Lauvergne
9:32.0,,,25-30,,Turnover by J. Lauvergne (offensive foul)
9:32.0,T. Duncan enters the game for B. Marjanovic,,25-30,,
9:29.0,K. Anderson enters the game for J. Simmons,,25-30,,
9:29.0,,,25-30,,J. Nurkic enters the game for J. Lauvergne
9:10.0,P. Mills misses 2-pt shot from 18 ft,,25-30,,
9:10.0,,,25-30,,Defensive rebound by J. Nurkic
9:02.0,,,25-30,,D. Augustin misses 2-pt shot from 11 ft
9:01.0,Defensive rebound by K. Martin,,25-30,,
8:48.0,M. Bonner misses 3-pt shot from 23 ft,,25-30,,
8:47.0,,,25-30,,Defensive rebound by W. Barton
8:39.0,,,25-30,,Shooting foul by K. Anderson (drawn by A. Toupane)
8:39.0,Official timeout,,25-30,,
8:39.0,A. Miller enters the game for P. Mills,,25-30,,
8:39.0,,,25-31,1,A. Toupane makes free throw 1 of 2
8:39.0,,,25-32,1,A. Toupane makes free throw 2 of 2
8:21.0,A. Miller makes 2-pt shot from 10 ft,2,27-32,,
8:03.0,,,27-32,,Turnover by J. Nurkic (lost ball; steal by A. Miller)
7:49.0,A. Miller misses 2-pt shot from 2 ft (block by A. Toupane),,27-32,,
7:48.0,,,27-32,,Defensive rebound by A. Toupane
7:40.0,,,27-32,,W. Barton misses 2-pt shot from 12 ft
7:39.0,Defensive rebound by M. Bonner,,27-32,,
7:32.0,K. Martin makes 3-pt shot from 24 ft,3,30-32,,
7:16.0,,,30-32,,M. Miller misses 3-pt shot from 24 ft
7:15.0,Defensive rebound by M. Bonner,,30-32,,
6:59.0,K. Anderson makes 2-pt shot at rim,2,32-32,,
6:43.0,,,32-32,,A. Toupane misses 2-pt shot from 18 ft
6:43.0,Defensive rebound by M. Bonner,,32-32,,
6:33.0,A. Miller makes 2-pt shot from 13 ft,2,34-32,,
6:33.0,,,34-32,,Denver full timeout
6:33.0,,,34-32,,E. Mudiay enters the game for A. Toupane
6:33.0,,,34-32,,G. Harris enters the game for M. Miller
6:33.0,P. Mills enters the game for K. Martin,,34-32,,
6:33.0,J. Simmons enters the game for M. Bonner,,34-32,,
6:20.0,,,34-32,,Turnover by J. Nurkic (lost ball; steal by A. Miller)
6:13.0,T. Duncan misses 2-pt shot from 2 ft,,34-32,,
6:12.0,Offensive rebound by T. Duncan,,34-32,,
6:11.0,T. Duncan makes 2-pt shot from 2 ft,2,36-32,,
6:02.0,,,36-32,,Turnover by D. Augustin (bad pass)
5:46.0,A. Miller makes 2-pt shot from 7 ft,2,38-32,,
5:35.0,,,38-34,2,D. Augustin makes 2-pt shot from 7 ft
5:14.0,K. Anderson misses 2-pt shot from 11 ft,,38-34,,
5:14.0,,,38-34,,Defensive rebound by J. Nurkic
4:59.0,,,38-36,2,W. Barton makes 2-pt shot from 2 ft (assist by E. Mudiay)
4:44.0,Shooting foul by W. Barton (drawn by J. Simmons),,38-36,,
4:44.0,J. Simmons makes free throw 1 of 2,1,39-36,,
4:44.0,,,39-36,,J. Sampson enters the game for D. Augustin
4:44.0,J. Simmons makes free throw 2 of 2,1,40-36,,
4:29.0,,,40-38,2,E. Mudiay makes 2-pt shot from 15 ft
4:11.0,P. Mills misses 2-pt shot from 17 ft (block by E. Mudiay),,40-38,,
4:10.0,Offensive rebound by J. Simmons,,40-38,,
4:08.0,Turnover by J. Simmons (lost ball; steal by W. Barton),,40-38,,
4:05.0,,,40-40,2,W. Barton makes 2-pt shot at rim (assist by E. Mudiay)
4:05.0,San Antonio full timeout,,40-40,,
3:59.0,A. Miller misses 2-pt shot from 2 ft (block by J. Sampson),,40-40,,
3:58.0,Offensive rebound by Team,,40-40,,
3:58.0,D. West enters the game for A. Miller,,40-40,,
3:47.0,T. Duncan makes 2-pt shot from 2 ft,2,42-40,,
3:33.0,,,42-40,,Shooting foul by T. Duncan (drawn by J. Nurkic)
3:33.0,,,42-41,1,J. Nurkic makes free throw 1 of 2
3:33.0,,,42-41,,N. Jokic enters the game for G. Harris
3:33.0,,,42-41,,J. Nurkic misses free throw 2 of 2
3:32.0,Defensive rebound by D. West,,42-41,,
3:11.0,T. Duncan makes 2-pt shot from 5 ft,2,44-41,,
3:02.0,,,44-41,,W. Barton misses 3-pt shot from 26 ft
3:02.0,Defensive rebound by P. Mills,,44-41,,
2:36.0,T. Duncan makes 2-pt shot from 3 ft (assist by P. Mills),2,46-41,,
2:15.0,,,46-43,2,N. Jokic makes 2-pt shot from 2 ft (assist by W. Barton)
1:57.0,T. Duncan makes 2-pt shot from 19 ft (assist by P. Mills),2,48-43,,
1:43.0,,,48-45,2,J. Nurkic makes 2-pt shot from 20 ft (assist by W. Barton)
1:27.0,Shooting foul by J. Nurkic (drawn by T. Duncan),,48-45,,
1:27.0,T. Duncan misses free throw 1 of 2,,48-45,,
1:27.0,Offensive rebound by Team,,48-45,,
1:27.0,T. Duncan makes free throw 2 of 2,1,49-45,,
1:05.0,,,49-45,,N. Jokic misses 2-pt shot from 5 ft
1:02.0,,,49-45,,Offensive rebound by W. Barton
1:02.0,,,49-47,2,J. Nurkic makes 2-pt shot from 3 ft
1:01.0,,,49-47,,Personal foul by W. Barton
1:01.0,P. Mills makes free throw 1 of 2,1,50-47,,
1:01.0,P. Mills makes free throw 2 of 2,1,51-47,,
0:47.0,,,51-47,,E. Mudiay misses 2-pt shot from 3 ft (block by P. Mills)
0:46.0,Defensive rebound by K. Anderson,,51-47,,
0:41.0,P. Mills misses 3-pt shot from 24 ft,,51-47,,
0:41.0,,,51-47,,Defensive rebound by N. Jokic
0:29.0,,,51-49,2,J. Nurkic makes 2-pt shot from 4 ft (assist by N. Jokic)
0:08.0,D. West makes 2-pt shot from 7 ft (assist by P. Mills),2,53-49,,
0:02.0,,,53-51,2,W. Barton makes 2-pt shot from 3 ft
0:01.0,P. Mills misses 3-pt shot from 40 ft,,53-51,,
0:00.0,Offensive rebound by Team,,53-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by J. Simmons (lost ball; steal by J. Nurkic),,53-51,,
11:43.0,,,53-51,,Shooting foul by J. Simmons (drawn by J. Sampson)
11:43.0,,,53-51,,J. Sampson misses free throw 1 of 2
11:43.0,,,53-51,,Offensive rebound by Team
11:43.0,,,53-52,1,J. Sampson makes free throw 2 of 2
11:27.0,T. Duncan makes 2-pt shot from 19 ft (assist by A. Miller),2,55-52,,
10:58.0,,,55-54,2,J. Sampson makes 2-pt shot from 3 ft
10:38.0,T. Duncan misses 2-pt shot from 21 ft,,55-54,,
10:37.0,,,55-54,,Defensive rebound by J. Sampson
10:31.0,,,55-54,,G. Harris misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by D. West,,55-54,,
10:07.0,J. Simmons misses 2-pt shot from 2 ft (block by N. Jokic),,55-54,,
10:06.0,,,55-54,,Defensive rebound by J. Sampson
9:55.0,,,55-54,,J. Nurkic misses 2-pt shot from 2 ft
9:54.0,Defensive rebound by K. Anderson,,55-54,,
9:48.0,T. Duncan makes 2-pt shot from 2 ft (assist by D. West),2,57-54,,
9:28.0,,,57-56,2,N. Jokic makes 2-pt shot from 17 ft (assist by J. Nurkic)
9:03.0,K. Anderson misses 2-pt shot from 16 ft,,57-56,,
9:02.0,,,57-56,,Defensive rebound by G. Harris
8:46.0,,,57-58,2,J. Sampson makes 2-pt shot from 9 ft
8:33.0,,,57-58,,Personal foul by J. Nurkic
8:33.0,K. Martin enters the game for J. Simmons,,57-58,,
8:18.0,K. Anderson misses 2-pt shot from 10 ft,,57-58,,
8:18.0,,,57-58,,Defensive rebound by N. Jokic
8:01.0,,,57-61,3,J. Sampson makes 3-pt shot from 23 ft (assist by N. Jokic)
7:43.0,T. Duncan misses 2-pt shot from 8 ft,,57-61,,
7:42.0,,,57-61,,Defensive rebound by N. Jokic
7:21.0,,,57-63,2,N. Jokic makes 2-pt shot from 6 ft
7:20.0,San Antonio full timeout,,57-63,,
7:11.0,,,57-63,,Personal foul by J. Sampson
6:58.0,D. West misses 2-pt shot from 7 ft,,57-63,,
6:57.0,,,57-63,,Defensive rebound by N. Jokic
6:48.0,,,57-63,,J. Nurkic misses 2-pt shot from 4 ft
6:48.0,Defensive rebound by K. Anderson,,57-63,,
6:35.0,A. Miller makes 2-pt shot from 2 ft (assist by T. Duncan),2,59-63,,
6:12.0,,,59-63,,N. Jokic misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by Team,,59-63,,
5:45.0,K. Anderson misses 2-pt shot from 17 ft,,59-63,,
5:44.0,,,59-63,,Defensive rebound by J. Nurkic
5:27.0,,,59-63,,E. Mudiay misses 3-pt shot from 26 ft
5:27.0,Defensive rebound by A. Miller,,59-63,,
5:22.0,K. Anderson misses 2-pt shot from 17 ft,,59-63,,
5:21.0,,,59-63,,Defensive rebound by E. Mudiay
5:13.0,,,59-63,,G. Harris misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by A. Miller,,59-63,,
4:59.0,Turnover by A. Miller (lost ball; steal by J. Sampson),,59-63,,
4:55.0,,,59-65,2,J. Sampson makes 2-pt shot at rim
4:55.0,San Antonio full timeout,,59-65,,
4:55.0,,,59-65,,J. Lauvergne enters the game for J. Nurkic
4:55.0,,,59-65,,W. Barton enters the game for G. Harris
4:31.0,D. West misses 3-pt shot from 24 ft,,59-65,,
4:31.0,,,59-65,,Defensive rebound by J. Lauvergne
4:12.0,,,59-65,,W. Barton misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by T. Duncan,,59-65,,
3:58.0,A. Miller misses 2-pt shot from 1 ft,,59-65,,
3:57.0,Offensive rebound by A. Miller,,59-65,,
3:54.0,D. West makes 2-pt shot from 2 ft (assist by A. Miller),2,61-65,,
3:37.0,,,61-68,3,E. Mudiay makes 3-pt shot from 24 ft (assist by J. Lauvergne)
3:22.0,Shooting foul by J. Lauvergne (drawn by D. West),,61-68,,
3:22.0,D. West misses free throw 1 of 2,,61-68,,
3:22.0,Offensive rebound by Team,,61-68,,
3:22.0,B. Marjanovic enters the game for T. Duncan,,61-68,,
3:22.0,J. Simmons enters the game for A. Miller,,61-68,,
3:22.0,P. Mills enters the game for K. Anderson,,61-68,,
3:22.0,D. West makes free throw 2 of 2,1,62-68,,
2:58.0,,,62-68,,J. Lauvergne misses 2-pt shot from 1 ft (block by D. West)
2:58.0,,,62-68,,Offensive rebound by J. Sampson
2:54.0,,,62-68,,J. Sampson misses 3-pt shot from 23 ft
2:53.0,,,62-68,,Offensive rebound by N. Jokic
2:36.0,,,62-68,,J. Lauvergne misses 2-pt shot from 2 ft (block by D. West)
2:35.0,,,62-68,,Offensive rebound by J. Lauvergne
2:26.0,,,62-70,2,J. Lauvergne makes 2-pt shot from 2 ft
2:22.0,Turnover by P. Mills (lost ball; steal by N. Jokic),,62-70,,
2:16.0,,,62-72,2,J. Sampson makes 2-pt shot at rim (assist by E. Mudiay)
2:16.0,San Antonio full timeout,,62-72,,
2:16.0,,,62-72,,M. Miller enters the game for N. Jokic
2:16.0,M. Bonner enters the game for D. West,,62-72,,
1:57.0,P. Mills misses 2-pt shot from 22 ft,,62-72,,
1:57.0,,,62-72,,Defensive rebound by E. Mudiay
1:53.0,Personal foul by J. Simmons,,62-72,,
1:49.0,,,62-72,,Offensive foul by J. Lauvergne
1:49.0,,,62-72,,Turnover by J. Lauvergne (offensive foul)
1:38.0,K. Martin makes 2-pt shot from 2 ft (assist by P. Mills),2,64-72,,
1:25.0,,,64-72,,J. Lauvergne misses 2-pt shot from 3 ft
1:24.0,Defensive rebound by B. Marjanovic,,64-72,,
1:21.0,K. Martin makes 2-pt shot from 9 ft,2,66-72,,
1:21.0,Shooting foul by W. Barton (drawn by K. Martin),,66-72,,
1:21.0,K. Martin makes free throw 1 of 1,1,67-72,,
1:06.0,,,67-72,,Shooting foul by B. Marjanovic (drawn by J. Sampson)
1:06.0,,,67-73,1,J. Sampson makes free throw 1 of 2
1:06.0,,,67-74,1,J. Sampson makes free throw 2 of 2
0:49.0,M. Bonner makes 2-pt shot from 1 ft (assist by B. Marjanovic),2,69-74,,
0:33.0,,,69-74,,E. Mudiay misses 2-pt shot from 18 ft
0:33.0,Defensive rebound by P. Mills,,69-74,,
0:28.0,,,69-74,,Personal foul by E. Mudiay
0:28.0,B. Marjanovic makes free throw 1 of 2,1,70-74,,
0:28.0,,,70-74,,D. Augustin enters the game for J. Sampson
0:28.0,B. Marjanovic makes free throw 2 of 2,1,71-74,,
0:09.0,,,71-77,3,M. Miller makes 3-pt shot from 25 ft (assist by J. Lauvergne)
0:00.0,Shooting foul by D. Augustin (drawn by B. Marjanovic),,71-77,,
0:00.0,B. Marjanovic makes free throw 1 of 2,1,72-77,,
0:00.0,,,72-77,,N. Jokic enters the game for M. Miller
0:00.0,B. Marjanovic misses free throw 2 of 2,,72-77,,
0:00.0,,,72-77,,Defensive rebound by J. Lauvergne
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,72-77,,Shooting foul by M. Bonner (drawn by J. Lauvergne)
11:36.0,,,72-78,1,J. Lauvergne makes free throw 1 of 2
11:36.0,,,72-79,1,J. Lauvergne makes free throw 2 of 2
11:23.0,,,72-79,,Personal foul by W. Barton
11:15.0,P. Mills makes 3-pt shot from 25 ft (assist by B. Marjanovic),3,75-79,,
10:55.0,,,75-82,3,A. Toupane makes 3-pt shot from 23 ft (assist by D. Augustin)
10:54.0,,,75-82,,Violation by Team (delay of game)
10:41.0,P. Mills misses 3-pt shot from 24 ft,,75-82,,
10:40.0,,,75-82,,Defensive rebound by J. Lauvergne
10:34.0,,,75-82,,A. Toupane misses 2-pt shot from 1 ft
10:32.0,Defensive rebound by J. Simmons,,75-82,,
10:28.0,Shooting foul by M. Miller (drawn by J. Simmons),,75-82,,
10:28.0,J. Simmons makes free throw 1 of 2,1,76-82,,
10:28.0,T. Duncan enters the game for B. Marjanovic,,76-82,,
10:28.0,K. Anderson enters the game for K. Martin,,76-82,,
10:28.0,D. West enters the game for M. Bonner,,76-82,,
10:28.0,J. Simmons makes free throw 2 of 2,1,77-82,,
10:13.0,,,77-82,,A. Toupane misses 2-pt shot from 4 ft (block by D. West)
10:11.0,Defensive rebound by J. Simmons,,77-82,,
10:04.0,D. West makes 2-pt shot at rim (assist by T. Duncan),2,79-82,,
10:03.0,,,79-82,,Denver full timeout
10:03.0,,,79-82,,J. Nurkic enters the game for A. Toupane
9:48.0,,,79-84,2,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Augustin)
9:27.0,Shooting foul by M. Miller (drawn by T. Duncan),,79-84,,
9:27.0,T. Duncan misses free throw 1 of 2,,79-84,,
9:27.0,Offensive rebound by Team,,79-84,,
9:27.0,T. Duncan makes free throw 2 of 2,1,80-84,,
9:07.0,,,80-84,,D. Augustin misses 2-pt shot from 17 ft
9:07.0,Defensive rebound by T. Duncan,,80-84,,
8:48.0,J. Simmons misses 3-pt shot from 24 ft,,80-84,,
8:48.0,Offensive rebound by D. West,,80-84,,
8:45.0,J. Simmons makes 2-pt shot at rim (assist by D. West),2,82-84,,
8:45.0,Shooting foul by J. Nurkic (drawn by J. Simmons),,82-84,,
8:45.0,,,82-84,,N. Jokic enters the game for J. Lauvergne
8:45.0,A. Miller enters the game for P. Mills,,82-84,,
8:45.0,J. Simmons makes free throw 1 of 1,1,83-84,,
8:29.0,,,83-84,,N. Jokic misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by K. Anderson,,83-84,,
8:11.0,D. West makes 2-pt shot from 15 ft (assist by A. Miller),2,85-84,,
7:55.0,,,85-84,,D. Augustin misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by J. Simmons,,85-84,,
7:49.0,J. Simmons makes 2-pt shot from 2 ft,2,87-84,,
7:35.0,,,87-84,,Shooting foul by D. West (drawn by W. Barton)
7:35.0,,,87-84,,W. Barton misses free throw 1 of 2
7:35.0,,,87-84,,Offensive rebound by Team
7:35.0,,,87-84,,E. Mudiay enters the game for M. Miller
7:35.0,,,87-84,,G. Harris enters the game for D. Augustin
7:35.0,,,87-85,1,W. Barton makes free throw 2 of 2
7:10.0,A. Miller misses 2-pt shot from 1 ft,,87-85,,
7:10.0,,,87-85,,Defensive rebound by E. Mudiay
7:00.0,,,87-85,,J. Nurkic misses 2-pt shot from 2 ft
6:59.0,Defensive rebound by T. Duncan,,87-85,,
6:52.0,K. Anderson misses 3-pt shot from 23 ft,,87-85,,
6:50.0,,,87-85,,Defensive rebound by Team
6:36.0,,,87-87,2,J. Nurkic makes 2-pt shot from 5 ft (assist by G. Harris)
6:17.0,A. Miller misses 2-pt shot from 2 ft (block by J. Nurkic),,87-87,,
6:16.0,,,87-87,,Defensive rebound by J. Nurkic
6:06.0,,,87-87,,W. Barton misses 2-pt shot from 11 ft
6:06.0,Defensive rebound by T. Duncan,,87-87,,
6:00.0,J. Simmons makes 2-pt shot from 1 ft (assist by A. Miller),2,89-87,,
5:47.0,,,89-89,2,J. Nurkic makes 2-pt shot from 20 ft (assist by G. Harris)
5:24.0,Shooting foul by N. Jokic (drawn by D. West),,89-89,,
5:24.0,Official timeout,,89-89,,
5:24.0,K. Martin enters the game for K. Anderson,,89-89,,
5:24.0,D. West makes free throw 1 of 2,1,90-89,,
5:24.0,D. West makes free throw 2 of 2,1,91-89,,
5:05.0,,,91-89,,G. Harris misses 2-pt shot from 2 ft
5:04.0,,,91-89,,Offensive rebound by J. Nurkic
4:57.0,,,91-92,3,E. Mudiay makes 3-pt shot from 25 ft (assist by G. Harris)
4:33.0,Shooting foul by J. Nurkic (drawn by T. Duncan),,91-92,,
4:33.0,T. Duncan misses free throw 1 of 2,,91-92,,
4:33.0,Offensive rebound by Team,,91-92,,
4:33.0,T. Duncan makes free throw 2 of 2,1,92-92,,
4:22.0,,,92-92,,Turnover by E. Mudiay (lost ball; steal by D. West)
4:14.0,J. Simmons makes 2-pt shot from 2 ft (assist by A. Miller),2,94-92,,
4:06.0,,,94-92,,W. Barton misses 3-pt shot from 23 ft
4:05.0,Defensive rebound by K. Martin,,94-92,,
3:41.0,T. Duncan makes 2-pt shot from 22 ft,2,96-92,,
3:40.0,,,96-92,,Denver full timeout
3:22.0,,,96-92,,J. Nurkic misses 2-pt shot from 4 ft
3:21.0,Defensive rebound by D. West,,96-92,,
3:02.0,K. Martin misses 3-pt shot from 25 ft,,96-92,,
3:01.0,,,96-92,,Defensive rebound by N. Jokic
2:48.0,,,96-92,,E. Mudiay misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by K. Martin,,96-92,,
2:31.0,K. Martin misses 2-pt shot from 1 ft,,96-92,,
2:30.0,Offensive rebound by K. Martin,,96-92,,
2:30.0,K. Martin misses 2-pt shot from 1 ft,,96-92,,
2:27.0,,,96-92,,Defensive rebound by N. Jokic
2:22.0,,,96-92,,W. Barton misses 3-pt shot from 23 ft
2:21.0,Defensive rebound by K. Martin,,96-92,,
2:04.0,D. West misses 2-pt shot from 17 ft,,96-92,,
2:02.0,,,96-92,,Defensive rebound by E. Mudiay
1:54.0,,,96-92,,E. Mudiay misses 2-pt shot from 2 ft (block by D. West)
