time,Philadelphia,pts.away,score,pts.home,Memphis
2:16.0,,,11-14,,J. Green misses 2-pt shot from 6 ft
2:15.0,,,11-14,,Offensive rebound by M. Gasol
2:04.0,,,11-16,2,M. Barnes makes 2-pt shot from 5 ft (assist by M. Chalmers)
1:42.0,N. Stauskas misses 3-pt shot from 28 ft,,11-16,,
1:41.0,,,11-16,,Defensive rebound by M. Gasol
1:38.0,,,11-18,2,M. Barnes makes 2-pt shot from 1 ft (assist by M. Gasol)
1:38.0,,,11-18,,Shooting foul by N. Stauskas (drawn by M. Barnes)
1:38.0,J. Grant enters the game for R. Covington,,11-18,,
1:38.0,H. Thompson enters the game for N. Stauskas,,11-18,,
1:38.0,,,11-19,1,M. Barnes makes free throw 1 of 1
1:21.0,Shooting foul by J. Green (drawn by J. Grant),,11-19,,
1:21.0,J. Grant makes free throw 1 of 2,1,12-19,,
1:21.0,J. Grant makes free throw 2 of 2,1,13-19,,
1:11.0,,,13-19,,Turnover by J. Green (bad pass; steal by J. Grant)
0:57.0,Turnover by R. Holmes (bad pass; steal by J. Green),,13-19,,
0:54.0,,,13-21,2,M. Barnes makes 2-pt shot at rim (assist by C. Lee)
0:54.0,,,13-21,,Shooting foul by I. Canaan (drawn by M. Barnes)
0:54.0,,,13-21,,M. Barnes misses free throw 1 of 1
0:53.0,Defensive rebound by H. Thompson,,13-21,,
0:37.0,H. Thompson misses 3-pt shot from 26 ft,,13-21,,
0:37.0,,,13-21,,Defensive rebound by Team
0:37.0,,,13-21,,V. Carter enters the game for J. Green
0:27.0,,,13-21,,Turnover by C. Lee (lost ball)
0:02.0,J. Grant misses 2-pt shot from 10 ft,,13-21,,
0:01.0,,,13-21,,Defensive rebound by M. Barnes
0:00.0,,,13-21,,M. Barnes misses 3-pt shot from 59 ft
0:00.0,,,13-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,13-23,2,M. Gasol makes 2-pt shot from 13 ft (assist by M. Barnes)
11:28.0,H. Thompson makes 2-pt shot from 20 ft (assist by J. Okafor),2,15-23,,
11:11.0,,,15-23,,Turnover by M. Chalmers (bad pass; steal by J. Okafor)
11:01.0,I. Canaan makes 3-pt shot from 26 ft,3,18-23,,
10:50.0,,,18-23,,M. Gasol misses 2-pt shot from 6 ft
10:48.0,,,18-23,,Offensive rebound by V. Carter
10:48.0,,,18-23,,V. Carter misses 2-pt shot at rim (block by J. Grant)
10:48.0,Defensive rebound by P. Pressey,,18-23,,
10:32.0,Turnover by J. Okafor (lost ball; steal by M. Gasol),,18-23,,
10:26.0,,,18-23,,C. Lee misses 2-pt shot from 17 ft
10:24.0,Defensive rebound by J. Okafor,,18-23,,
10:18.0,I. Canaan misses 3-pt shot from 25 ft,,18-23,,
10:14.0,,,18-23,,Defensive rebound by M. Gasol
10:09.0,,,18-23,,M. Chalmers misses 2-pt shot from 2 ft
10:06.0,,,18-23,,Offensive rebound by M. Chalmers
10:06.0,,,18-25,2,M. Chalmers makes 2-pt shot at rim
9:47.0,T. McConnell enters the game for P. Pressey,,18-25,,
9:47.0,R. Covington enters the game for H. Thompson,,18-25,,
9:43.0,Turnover by R. Covington (traveling),,18-25,,
9:34.0,,,18-25,,V. Carter misses 2-pt shot from 19 ft
9:33.0,Defensive rebound by T. McConnell,,18-25,,
9:20.0,Turnover by J. Okafor (bad pass; steal by M. Barnes),,18-25,,
9:11.0,,,18-25,,Offensive foul by M. Gasol
9:11.0,,,18-25,,Turnover by M. Gasol (offensive foul)
9:11.0,Philadelphia full timeout,,18-25,,
9:00.0,Offensive foul by I. Canaan,,18-25,,
9:00.0,Turnover by I. Canaan (offensive foul),,18-25,,
8:45.0,,,18-25,,M. Chalmers misses 2-pt shot from 17 ft
8:44.0,Defensive rebound by J. Okafor,,18-25,,
8:28.0,Turnover by T. McConnell (lost ball; steal by M. Chalmers),,18-25,,
8:28.0,Personal foul by T. McConnell (drawn by M. Chalmers),,18-25,,
8:09.0,,,18-25,,V. Carter misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by J. Grant,,18-25,,
7:53.0,,,18-25,,Personal foul by V. Carter (drawn by J. Okafor)
7:53.0,N. Stauskas enters the game for I. Canaan,,18-25,,
7:53.0,,,18-25,,Z. Randolph enters the game for V. Carter
7:53.0,,,18-25,,T. Allen enters the game for C. Lee
7:45.0,Turnover by R. Covington (bad pass; steal by T. Allen),,18-25,,
7:27.0,,,18-25,,Z. Randolph misses 2-pt shot at rim (block by J. Grant)
7:26.0,,,18-25,,Offensive rebound by M. Chalmers
7:23.0,,,18-27,2,Z. Randolph makes 2-pt shot at rim (assist by M. Chalmers)
7:07.0,J. Okafor misses 2-pt shot from 9 ft (block by M. Gasol),,18-27,,
7:05.0,,,18-27,,Defensive rebound by M. Barnes
6:57.0,,,18-29,2,T. Allen makes 2-pt shot from 1 ft
6:57.0,Philadelphia full timeout,,18-29,,
6:38.0,R. Covington misses 2-pt shot from 2 ft (block by M. Barnes),,18-29,,
6:35.0,,,18-29,,Defensive rebound by M. Chalmers
6:29.0,,,18-29,,M. Chalmers misses 2-pt shot from 2 ft
6:27.0,Defensive rebound by J. Okafor,,18-29,,
6:19.0,J. Okafor makes 2-pt shot at rim (assist by J. Grant),2,20-29,,
6:02.0,,,20-29,,M. Gasol misses 2-pt shot from 6 ft
6:01.0,,,20-29,,Offensive rebound by Z. Randolph
5:56.0,Personal foul by J. Okafor (drawn by M. Gasol),,20-29,,
5:56.0,,,20-29,,M. Conley enters the game for M. Chalmers
5:56.0,,,20-29,,J. Green enters the game for M. Barnes
5:56.0,,,20-29,,Memphis full timeout
5:56.0,H. Thompson enters the game for R. Covington,,20-29,,
5:56.0,R. Holmes enters the game for J. Okafor,,20-29,,
5:56.0,,,20-29,,J. Green enters the game for M. Gasol
5:42.0,,,20-31,2,Z. Randolph makes 2-pt shot from 19 ft (assist by M. Conley)
5:27.0,R. Holmes misses 2-pt shot from 18 ft,,20-31,,
5:27.0,,,20-31,,Defensive rebound by M. Conley
5:13.0,,,20-31,,M. Conley misses 2-pt shot from 1 ft (block by R. Holmes)
5:13.0,,,20-31,,Offensive rebound by Team
5:06.0,,,20-31,,T. Allen misses 2-pt shot from 8 ft (block by R. Holmes)
5:06.0,Defensive rebound by J. Grant,,20-31,,
4:54.0,T. McConnell makes 3-pt shot from 25 ft (assist by N. Stauskas),3,23-31,,
4:33.0,,,23-31,,Z. Randolph misses 2-pt shot at rim (block by H. Thompson)
4:29.0,Defensive rebound by T. McConnell,,23-31,,
4:23.0,Turnover by T. McConnell (bad pass; steal by J. Green),,23-31,,
4:19.0,,,23-31,,T. Allen misses 2-pt shot from 1 ft (block by N. Stauskas)
4:15.0,Defensive rebound by H. Thompson,,23-31,,
4:09.0,H. Thompson misses 3-pt shot from 23 ft,,23-31,,
4:09.0,,,23-31,,Defensive rebound by J. Green
4:09.0,,,23-31,,Memphis full timeout
4:09.0,P. Pressey enters the game for J. Grant,,23-31,,
4:09.0,R. Covington enters the game for T. McConnell,,23-31,,
3:47.0,,,23-33,2,M. Conley makes 2-pt shot from 21 ft
3:36.0,N. Stauskas misses 2-pt shot from 20 ft,,23-33,,
3:35.0,Offensive rebound by R. Holmes,,23-33,,
3:22.0,Turnover by R. Holmes (lost ball; steal by Z. Randolph),,23-33,,
3:13.0,,,23-33,,Turnover by J. Green (lost ball; steal by R. Covington)
3:07.0,N. Stauskas makes 2-pt shot from 1 ft (assist by H. Thompson),2,25-33,,
2:47.0,,,25-33,,Z. Randolph misses 2-pt shot from 5 ft
2:46.0,Defensive rebound by R. Covington,,25-33,,
2:43.0,Turnover by P. Pressey (step out of bounds),,25-33,,
2:43.0,I. Canaan enters the game for N. Stauskas,,25-33,,
2:29.0,,,25-33,,M. Conley misses 2-pt shot from 13 ft
2:29.0,,,25-33,,Offensive rebound by Team
2:29.0,,,25-33,,C. Lee enters the game for T. Allen
2:15.0,,,25-33,,Turnover by C. Lee (bad pass; steal by P. Pressey)
2:14.0,Turnover by P. Pressey (bad pass; steal by C. Lee),,25-33,,
2:13.0,,,25-35,2,C. Lee makes 2-pt shot from 11 ft
2:01.0,I. Canaan misses 3-pt shot from 25 ft,,25-35,,
2:00.0,,,25-35,,Defensive rebound by M. Conley
1:50.0,,,25-35,,Turnover by J. Green (lost ball; steal by I. Canaan)
1:44.0,R. Covington makes 2-pt shot at rim (assist by P. Pressey),2,27-35,,
1:29.0,Def 3 sec tech foul by H. Thompson,,27-35,,
1:29.0,,,27-36,1,C. Lee makes technical free throw
1:18.0,,,27-36,,Turnover by Z. Randolph (bad pass; steal by R. Covington)
1:10.0,R. Covington makes 2-pt shot at rim,2,29-36,,
1:04.0,,,29-36,,Memphis full timeout
1:04.0,,,29-36,,M. Gasol enters the game for J. Green
0:53.0,Personal foul by H. Thompson (drawn by M. Conley),,29-36,,
0:42.0,,,29-36,,J. Green misses 2-pt shot from 12 ft
0:41.0,,,29-36,,Offensive rebound by J. Green
0:32.0,Personal foul by R. Covington (drawn by M. Conley),,29-36,,
0:32.0,,,29-37,1,M. Conley makes free throw 1 of 2
0:32.0,,,29-37,,M. Conley misses free throw 2 of 2
0:32.0,Defensive rebound by R. Covington,,29-37,,
0:20.0,P. Pressey misses 3-pt shot from 26 ft,,29-37,,
0:19.0,Offensive rebound by H. Thompson,,29-37,,
0:07.0,,,29-37,,Personal foul by M. Conley (drawn by P. Pressey)
0:02.0,P. Pressey misses 2-pt shot from 1 ft (block by M. Conley),,29-37,,
0:02.0,Offensive rebound by Team,,29-37,,
0:01.0,H. Thompson makes 2-pt shot from 1 ft (assist by P. Pressey),2,31-37,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,31-39,2,J. Green makes 2-pt shot at rim
11:43.0,,,31-39,,Shooting foul by J. Grant (drawn by J. Green)
11:43.0,,,31-40,1,J. Green makes free throw 1 of 1
11:34.0,J. Sampson makes 2-pt shot from 6 ft (assist by I. Canaan),2,33-40,,
11:21.0,,,33-42,2,Z. Randolph makes 2-pt shot from 12 ft (assist by J. Green)
11:13.0,Turnover by I. Canaan (bad pass; steal by T. Allen),,33-42,,
11:04.0,,,33-42,,Turnover by J. Green (lost ball; steal by R. Covington)
10:58.0,I. Canaan makes 2-pt shot at rim,2,35-42,,
10:44.0,,,35-45,3,M. Conley makes 3-pt shot from 26 ft (assist by J. Green)
10:25.0,J. Okafor misses 2-pt shot from 7 ft,,35-45,,
10:24.0,,,35-45,,Defensive rebound by T. Allen
10:12.0,,,35-45,,T. Allen misses 2-pt shot from 19 ft
10:12.0,Defensive rebound by R. Covington,,35-45,,
10:11.0,,,35-45,,Loose ball foul by T. Allen (drawn by R. Covington)
9:53.0,,,35-45,,Personal foul by T. Allen (drawn by J. Sampson)
9:43.0,I. Canaan misses 3-pt shot from 25 ft,,35-45,,
9:43.0,,,35-45,,Defensive rebound by Team
9:32.0,,,35-45,,J. Green misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by J. Okafor,,35-45,,
9:18.0,J. Grant makes 3-pt shot from 22 ft (assist by R. Covington),3,38-45,,
9:06.0,,,38-47,2,M. Conley makes 2-pt shot at rim
9:00.0,Offensive foul by J. Grant,,38-47,,
9:00.0,Turnover by J. Grant (offensive foul),,38-47,,
8:49.0,,,38-47,,Z. Randolph misses 2-pt shot at rim (block by J. Sampson)
8:47.0,Defensive rebound by J. Okafor,,38-47,,
8:39.0,I. Canaan makes 3-pt shot from 23 ft (assist by J. Sampson),3,41-47,,
8:20.0,,,41-47,,J. Green misses 3-pt shot from 24 ft
8:20.0,,,41-47,,Offensive rebound by Z. Randolph
8:19.0,Personal foul by J. Sampson (drawn by Z. Randolph),,41-47,,
8:11.0,,,41-49,2,T. Allen makes 2-pt shot from 1 ft
7:52.0,,,41-49,,Personal foul by M. Gasol (drawn by I. Canaan)
7:52.0,T. McConnell enters the game for J. Grant,,41-49,,
7:39.0,I. Canaan misses 3-pt shot from 26 ft,,41-49,,
7:38.0,Offensive rebound by J. Okafor,,41-49,,
7:29.0,Turnover by I. Canaan (lost ball),,41-49,,
7:18.0,,,41-49,,Turnover by Z. Randolph (bad pass; steal by J. Sampson)
7:09.0,J. Sampson makes 3-pt shot from 25 ft (assist by T. McConnell),3,44-49,,
7:09.0,,,44-49,,Memphis full timeout
6:46.0,,,44-51,2,T. Allen makes 2-pt shot at rim (assist by M. Gasol)
6:36.0,Offensive foul by R. Covington,,44-51,,
6:36.0,Turnover by R. Covington (offensive foul),,44-51,,
6:18.0,,,44-51,,Turnover by M. Gasol (traveling)
6:06.0,T. McConnell makes 2-pt shot from 1 ft,2,46-51,,
5:50.0,,,46-51,,Z. Randolph misses 2-pt shot at rim
5:45.0,,,46-51,,Offensive rebound by J. Green
5:43.0,,,46-51,,Turnover by J. Green (bad pass; steal by J. Sampson)
5:40.0,J. Sampson makes 2-pt shot at rim,2,48-51,,
5:20.0,,,48-51,,J. Green misses 2-pt shot from 6 ft
5:18.0,,,48-51,,Offensive rebound by Z. Randolph
5:18.0,,,48-51,,Z. Randolph misses 2-pt shot at rim
5:16.0,Defensive rebound by J. Okafor,,48-51,,
5:10.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,51-51,,
5:10.0,,,51-51,,Memphis full timeout
5:10.0,,,51-51,,M. Barnes enters the game for Z. Randolph
5:10.0,,,51-51,,C. Lee enters the game for T. Allen
5:10.0,R. Holmes enters the game for J. Okafor,,51-51,,
5:10.0,H. Thompson enters the game for J. Sampson,,51-51,,
4:57.0,,,51-51,,Turnover by C. Lee (step out of bounds)
4:41.0,H. Thompson makes 2-pt shot at rim (assist by R. Covington),2,53-51,,
4:23.0,,,53-51,,Turnover by C. Lee (bad pass; steal by I. Canaan)
4:14.0,R. Holmes misses 3-pt shot from 25 ft,,53-51,,
4:12.0,,,53-51,,Defensive rebound by M. Conley
4:06.0,,,53-51,,J. Green enters the game for J. Green
4:06.0,J. Grant enters the game for R. Covington,,53-51,,
4:06.0,N. Stauskas enters the game for I. Canaan,,53-51,,
3:57.0,,,53-54,3,M. Barnes makes 3-pt shot from 24 ft (assist by M. Conley)
3:43.0,Turnover by T. McConnell (lost ball),,53-54,,
3:30.0,,,53-54,,M. Barnes misses 2-pt shot from 1 ft
3:28.0,Defensive rebound by N. Stauskas,,53-54,,
3:10.0,T. McConnell misses 2-pt shot from 17 ft,,53-54,,
3:07.0,Offensive rebound by R. Holmes,,53-54,,
3:07.0,R. Holmes misses 2-pt shot at rim,,53-54,,
3:07.0,,,53-54,,Defensive rebound by M. Gasol
2:59.0,,,53-54,,M. Conley misses 2-pt shot from 1 ft
2:57.0,Defensive rebound by H. Thompson,,53-54,,
2:52.0,J. Grant makes 2-pt shot at rim (assist by T. McConnell),2,55-54,,
2:39.0,Personal foul by T. McConnell (drawn by M. Conley),,55-54,,
2:39.0,Philadelphia full timeout,,55-54,,
2:37.0,,,55-54,,Turnover by J. Green (lost ball; steal by N. Stauskas)
2:33.0,J. Grant makes 2-pt shot at rim (assist by H. Thompson),2,57-54,,
2:33.0,Shooting foul by J. Green (drawn by J. Grant),,57-54,,
2:33.0,J. Grant makes free throw 1 of 1,1,58-54,,
2:16.0,,,58-54,,Shooting foul by R. Holmes (drawn by M. Conley)
2:16.0,,,58-55,1,M. Conley makes free throw 1 of 2
2:16.0,,,58-56,1,M. Conley makes free throw 2 of 2
1:55.0,Turnover by N. Stauskas (bad pass; steal by M. Conley),,58-56,,
1:53.0,Personal take foul by T. McConnell (drawn by M. Conley),,58-56,,
1:53.0,,,58-57,1,M. Conley makes free throw 1 of 2
1:53.0,,,58-58,1,M. Conley makes free throw 2 of 2
1:43.0,N. Stauskas makes 3-pt shot from 25 ft (assist by T. McConnell),3,61-58,,
1:31.0,,,61-58,,M. Conley misses 2-pt shot from 19 ft
1:30.0,Defensive rebound by H. Thompson,,61-58,,
1:18.0,H. Thompson misses 2-pt shot at rim,,61-58,,
1:16.0,,,61-58,,Defensive rebound by M. Gasol
1:08.0,,,61-60,2,M. Gasol makes 2-pt shot from 15 ft (assist by M. Barnes)
0:51.0,J. Grant misses 3-pt shot from 23 ft,,61-60,,
0:50.0,,,61-60,,Defensive rebound by M. Gasol
0:40.0,,,61-62,2,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley)
0:29.0,H. Thompson makes 3-pt shot from 24 ft (assist by T. McConnell),3,64-62,,
0:10.0,,,64-64,2,M. Conley makes 2-pt shot from 12 ft
0:05.0,H. Thompson makes 3-pt shot from 23 ft (assist by T. McConnell),3,67-64,,
0:01.0,,,67-64,,M. Barnes misses 3-pt shot from 28 ft
0:00.0,Defensive rebound by J. Grant,,67-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,J. Okafor misses 2-pt shot at rim (block by M. Conley),,67-64,,
11:45.0,Offensive rebound by Team,,67-64,,
11:42.0,Turnover by R. Covington (kicked ball),,67-64,,
11:20.0,,,67-64,,J. Green misses 3-pt shot from 24 ft
11:19.0,Defensive rebound by J. Okafor,,67-64,,
11:05.0,Shooting foul by M. Chalmers (drawn by J. Okafor),,67-64,,
11:05.0,J. Okafor misses free throw 1 of 2,,67-64,,
11:05.0,Offensive rebound by Team,,67-64,,
11:05.0,J. Okafor makes free throw 2 of 2,1,68-64,,
11:01.0,,,68-64,,Turnover by M. Chalmers (lost ball)
10:49.0,P. Pressey misses 3-pt shot from 24 ft,,68-64,,
10:49.0,Offensive rebound by R. Covington,,68-64,,
10:38.0,Shooting foul by M. Chalmers (drawn by P. Pressey),,68-64,,
10:38.0,P. Pressey makes free throw 1 of 2,1,69-64,,
10:38.0,,,69-64,,V. Carter enters the game for J. Green
10:38.0,P. Pressey misses free throw 2 of 2,,69-64,,
10:37.0,,,69-64,,Defensive rebound by M. Barnes
10:26.0,Personal foul by P. Pressey (drawn by M. Conley),,69-64,,
10:23.0,,,69-64,,Turnover by V. Carter (lost ball; steal by R. Covington)
10:23.0,,,69-64,,Personal take foul by V. Carter (drawn by R. Covington)
10:23.0,,,69-64,,Memphis full timeout
10:14.0,Offensive charge foul by R. Covington,,69-64,,
10:14.0,Turnover by R. Covington (offensive foul),,69-64,,
9:59.0,,,69-66,2,M. Gasol makes 2-pt shot from 4 ft
9:53.0,Turnover by R. Covington (traveling),,69-66,,
9:50.0,,,69-68,2,V. Carter makes 2-pt shot at rim (assist by M. Barnes)
9:24.0,I. Canaan misses 3-pt shot from 27 ft,,69-68,,
9:23.0,,,69-68,,Defensive rebound by M. Barnes
9:14.0,,,69-68,,Turnover by M. Conley (bad pass; steal by H. Thompson)
9:06.0,Shooting foul by M. Gasol (drawn by P. Pressey),,69-68,,
9:06.0,P. Pressey makes free throw 1 of 2,1,70-68,,
9:06.0,J. Grant enters the game for H. Thompson,,70-68,,
9:06.0,P. Pressey makes free throw 2 of 2,1,71-68,,
8:54.0,,,71-68,,M. Conley misses 2-pt shot from 12 ft
8:51.0,Defensive rebound by J. Okafor,,71-68,,
8:33.0,J. Okafor misses 2-pt shot from 12 ft,,71-68,,
8:31.0,,,71-68,,Defensive rebound by M. Gasol
8:26.0,,,71-71,3,M. Chalmers makes 3-pt shot from 26 ft (assist by M. Barnes)
8:26.0,Philadelphia full timeout,,71-71,,
8:26.0,,,71-71,,Z. Randolph enters the game for M. Conley
8:26.0,T. McConnell enters the game for P. Pressey,,71-71,,
8:03.0,I. Canaan makes 3-pt shot from 32 ft (assist by R. Covington),3,74-71,,
7:52.0,Personal foul by T. McConnell (drawn by M. Chalmers),,74-71,,
7:47.0,,,74-71,,Turnover by M. Chalmers (offensive foul)
7:47.0,,,74-71,,Offensive charge foul by M. Chalmers
7:38.0,,,74-71,,Personal foul by M. Chalmers (drawn by I. Canaan)
7:38.0,I. Canaan makes free throw 1 of 2,1,75-71,,
7:38.0,I. Canaan makes free throw 2 of 2,1,76-71,,
7:23.0,,,76-71,,Offensive charge foul by V. Carter
7:23.0,,,76-71,,Turnover by V. Carter (offensive foul)
7:00.0,I. Canaan misses 3-pt shot from 28 ft,,76-71,,
6:58.0,,,76-71,,Defensive rebound by Z. Randolph
6:49.0,,,76-71,,Z. Randolph misses 2-pt shot from 1 ft
6:46.0,,,76-71,,Offensive rebound by Z. Randolph
6:46.0,,,76-73,2,Z. Randolph makes 2-pt shot from 1 ft
6:28.0,Shooting foul by V. Carter (drawn by J. Grant),,76-73,,
6:28.0,J. Grant misses free throw 1 of 2,,76-73,,
6:28.0,Offensive rebound by Team,,76-73,,
6:28.0,H. Thompson enters the game for J. Okafor,,76-73,,
6:28.0,,,76-73,,J. Green enters the game for V. Carter
6:28.0,,,76-73,,M. Conley enters the game for M. Chalmers
6:28.0,J. Grant makes free throw 2 of 2,1,77-73,,
6:20.0,Personal foul by I. Canaan (drawn by M. Barnes),,77-73,,
6:14.0,,,77-73,,Turnover by M. Conley (lost ball; steal by R. Covington)
6:13.0,Turnover by R. Covington (lost ball),,77-73,,
5:55.0,,,77-73,,Z. Randolph misses 2-pt shot from 4 ft (block by R. Covington)
5:53.0,,,77-73,,Offensive rebound by M. Barnes
5:53.0,,,77-73,,M. Barnes misses 2-pt shot from 1 ft
5:53.0,,,77-73,,Offensive rebound by M. Barnes
5:53.0,,,77-75,2,M. Barnes makes 2-pt shot from 1 ft
5:53.0,,,77-75,,Shooting foul by J. Grant (drawn by M. Barnes)
5:53.0,,,77-76,1,M. Barnes makes free throw 1 of 1
5:38.0,T. McConnell misses 2-pt shot from 8 ft,,77-76,,
