time,Memphis,pts.away,score,pts.home,Indiana
8:25.0,,,9-4,,Shooting foul by T. Allen (drawn by P. George)
8:25.0,,,9-5,1,P. George makes free throw 1 of 2
8:25.0,J. Green enters the game for T. Allen,,9-5,,
8:25.0,,,9-6,1,P. George makes free throw 2 of 2
8:06.0,M. Gasol misses 2-pt shot from 21 ft,,9-6,,
8:05.0,Offensive rebound by C. Lee,,9-6,,
8:01.0,C. Lee makes 2-pt shot from 10 ft,2,11-6,,
7:49.0,,,11-6,,M. Ellis misses 2-pt shot from 16 ft
7:49.0,,,11-6,,Offensive rebound by J. Hill
7:45.0,,,11-6,,I. Mahinmi misses 2-pt shot from 4 ft
7:44.0,,,11-6,,Offensive rebound by J. Hill
7:44.0,,,11-6,,J. Hill misses 2-pt shot at rim
7:43.0,,,11-6,,Offensive rebound by M. Ellis
7:36.0,,,11-6,,J. Hill misses 2-pt shot at rim
7:36.0,Defensive rebound by Z. Randolph,,11-6,,
7:25.0,M. Gasol makes 2-pt shot at rim (assist by J. Green),2,13-6,,
7:12.0,Personal foul by J. Green (drawn by P. George),,13-6,,
7:09.0,,,13-6,,Shooting foul by M. Gasol (drawn by I. Mahinmi)
7:09.0,,,13-6,,I. Mahinmi misses free throw 1 of 2
7:09.0,,,13-6,,Offensive rebound by Team
7:09.0,,,13-7,1,I. Mahinmi makes free throw 2 of 2
6:54.0,M. Gasol misses 2-pt shot from 20 ft,,13-7,,
6:54.0,,,13-7,,Defensive rebound by M. Ellis
6:35.0,,,13-7,,Turnover by P. George (bad pass; steal by M. Conley)
6:32.0,M. Conley makes 2-pt shot from 1 ft,2,15-7,,
6:26.0,,,15-7,,Indiana full timeout
6:10.0,,,15-7,,M. Ellis misses 2-pt shot from 19 ft
6:10.0,Defensive rebound by C. Lee,,15-7,,
6:07.0,Turnover by M. Conley (lost ball),,15-7,,
5:46.0,,,15-7,,M. Ellis misses 3-pt shot from 26 ft
5:45.0,Defensive rebound by M. Gasol,,15-7,,
5:19.0,C. Lee misses 3-pt shot from 25 ft,,15-7,,
5:19.0,,,15-7,,Defensive rebound by P. George
5:07.0,,,15-7,,G. Hill misses 2-pt shot from 13 ft
5:07.0,,,15-7,,Offensive rebound by J. Hill
5:05.0,Violation by Z. Randolph (kicked ball),,15-7,,
5:05.0,B. Udrih enters the game for M. Conley,,15-7,,
5:00.0,,,15-10,3,P. George makes 3-pt shot from 27 ft (assist by G. Hill)
4:43.0,J. Green makes 2-pt shot from 19 ft (assist by Z. Randolph),2,17-10,,
4:26.0,,,17-10,,I. Mahinmi misses 2-pt shot from 21 ft
4:24.0,Defensive rebound by Z. Randolph,,17-10,,
4:15.0,B. Udrih makes 2-pt shot from 1 ft (assist by M. Gasol),2,19-10,,
3:58.0,,,19-10,,G. Hill misses 2-pt shot from 18 ft
3:58.0,Defensive rebound by J. Green,,19-10,,
3:53.0,Z. Randolph makes 2-pt shot from 5 ft (assist by B. Udrih),2,21-10,,
3:53.0,,,21-10,,Technical foul by G. Hill
3:53.0,C. Lee makes technical free throw,1,22-10,,
3:53.0,M. Barnes enters the game for C. Lee,,22-10,,
3:53.0,,,22-10,,C. Budinger enters the game for P. George
3:53.0,,,22-10,,R. Stuckey enters the game for I. Mahinmi
3:53.0,,,22-10,,M. Turner enters the game for G. Hill
3:41.0,,,22-10,,Turnover by M. Ellis (bad pass)
3:32.0,,,22-10,,Personal foul by J. Hill (drawn by Z. Randolph)
3:32.0,Memphis full timeout,,22-10,,
3:28.0,,,22-10,,Personal foul by M. Turner (drawn by M. Gasol)
3:28.0,,,22-10,,C. Miles enters the game for J. Hill
3:15.0,M. Gasol misses 2-pt shot from 5 ft,,22-10,,
3:15.0,,,22-10,,Defensive rebound by Team
3:15.0,B. Wright enters the game for M. Gasol,,22-10,,
2:56.0,,,22-10,,Turnover by M. Ellis (lost ball; steal by M. Barnes)
2:53.0,Shooting foul by C. Miles (drawn by B. Udrih),,22-10,,
2:53.0,B. Udrih makes free throw 1 of 2,1,23-10,,
2:53.0,B. Udrih makes free throw 2 of 2,1,24-10,,
2:43.0,,,24-10,,M. Turner misses 2-pt shot from 16 ft
2:42.0,Defensive rebound by B. Udrih,,24-10,,
2:28.0,Z. Randolph misses 2-pt shot from 8 ft,,24-10,,
2:27.0,Offensive rebound by Z. Randolph,,24-10,,
2:26.0,Shooting foul by C. Miles (drawn by Z. Randolph),,24-10,,
2:26.0,Z. Randolph makes free throw 1 of 2,1,25-10,,
2:26.0,Z. Randolph misses free throw 2 of 2,,25-10,,
2:26.0,,,25-10,,Defensive rebound by C. Miles
2:07.0,,,25-13,3,C. Miles makes 3-pt shot from 26 ft (assist by R. Stuckey)
1:45.0,B. Udrih makes 3-pt shot from 24 ft (assist by J. Green),3,28-13,,
1:36.0,,,28-13,,Turnover by R. Stuckey (lost ball)
1:36.0,J. Green enters the game for Z. Randolph,,28-13,,
1:26.0,Turnover by J. Green (bad pass; steal by C. Budinger),,28-13,,
1:21.0,,,28-15,2,M. Ellis makes 2-pt shot from 1 ft (assist by C. Budinger)
1:09.0,,,28-15,,Personal foul by M. Ellis (drawn by J. Green)
1:09.0,J. Green misses free throw 1 of 2,,28-15,,
1:09.0,Offensive rebound by Team,,28-15,,
1:09.0,J. Green makes free throw 2 of 2,1,29-15,,
1:02.0,,,29-18,3,C. Budinger makes 3-pt shot from 24 ft
0:50.0,J. Green misses 2-pt shot from 3 ft (block by M. Turner),,29-18,,
0:50.0,Offensive rebound by J. Green,,29-18,,
0:50.0,Jump ball: J. Green vs. M. Turner (C. Miles gains possession),,,,Jump ball: J. Green vs. M. Turner (C. Miles gains possession)
0:50.0,Turnover by J. Green (lost ball; steal by M. Turner),,29-18,,
0:43.0,,,29-18,,M. Ellis misses 2-pt shot from 2 ft
0:42.0,,,29-18,,Offensive rebound by M. Turner
0:42.0,,,29-20,2,M. Turner makes 2-pt shot at rim
0:26.0,J. Green misses 2-pt shot from 7 ft,,29-20,,
0:26.0,,,29-20,,Defensive rebound by M. Turner
0:05.0,,,29-20,,Turnover by M. Ellis (offensive foul)
0:05.0,,,29-20,,Offensive charge foul by M. Ellis
0:05.0,M. Conley enters the game for B. Wright,,29-20,,
0:05.0,,,29-20,,G. Hill enters the game for M. Ellis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,29-22,2,M. Turner makes 2-pt shot from 18 ft
11:16.0,Turnover by J. Green (traveling),,29-22,,
11:01.0,,,29-24,2,C. Miles makes 2-pt shot from 22 ft (assist by R. Stuckey)
10:47.0,Offensive foul by M. Conley,,29-24,,
10:47.0,Turnover by M. Conley (offensive foul),,29-24,,
10:29.0,,,29-24,,C. Miles misses 3-pt shot from 27 ft
10:28.0,Defensive rebound by B. Wright,,29-24,,
10:11.0,Turnover by J. Green (dbl dribble),,29-24,,
9:58.0,,,29-26,2,M. Turner makes 2-pt shot from 17 ft (assist by C. Budinger)
9:46.0,M. Conley misses 2-pt shot from 10 ft,,29-26,,
9:45.0,,,29-26,,Defensive rebound by M. Turner
9:43.0,,,29-26,,Turnover by M. Turner (bad pass; steal by M. Barnes)
9:38.0,Shooting foul by M. Turner (drawn by M. Conley),,29-26,,
9:38.0,M. Conley makes free throw 1 of 2,1,30-26,,
9:38.0,M. Conley makes free throw 2 of 2,1,31-26,,
9:26.0,Personal foul by B. Wright (drawn by M. Turner),,31-26,,
9:19.0,,,31-26,,M. Turner misses 2-pt shot from 11 ft
9:18.0,Defensive rebound by M. Barnes,,31-26,,
9:03.0,M. Barnes makes 3-pt shot from 25 ft (assist by M. Conley),3,34-26,,
8:50.0,,,34-28,2,R. Stuckey makes 2-pt shot at rim
8:50.0,,,34-28,,Shooting foul by J. Green (drawn by R. Stuckey)
8:50.0,Official timeout,,34-28,,
8:50.0,T. Allen enters the game for J. Green,,34-28,,
8:50.0,,,34-28,,R. Stuckey misses free throw 1 of 1
8:50.0,Defensive rebound by J. Green,,34-28,,
8:29.0,T. Allen misses 2-pt shot from 5 ft,,34-28,,
8:27.0,,,34-28,,Defensive rebound by M. Turner
8:22.0,,,34-30,2,G. Hill makes 2-pt shot at rim (assist by C. Budinger)
8:07.0,B. Wright makes 2-pt shot at rim (assist by M. Conley),2,36-30,,
7:40.0,,,36-32,2,C. Miles makes 2-pt shot from 23 ft
7:22.0,B. Wright makes 2-pt shot at rim (assist by M. Conley),2,38-32,,
7:04.0,,,38-35,3,C. Budinger makes 3-pt shot from 25 ft (assist by C. Miles)
6:48.0,M. Conley makes 2-pt shot from 1 ft,2,40-35,,
6:40.0,,,40-35,,G. Hill misses 2-pt shot from 1 ft (block by J. Green)
6:40.0,,,40-35,,Offensive rebound by Team
6:40.0,M. Gasol enters the game for B. Wright,,40-35,,
6:38.0,,,40-35,,Turnover by C. Miles (bad pass; steal by M. Barnes)
6:26.0,J. Green misses 2-pt shot from 19 ft,,40-35,,
6:26.0,,,40-35,,Defensive rebound by R. Stuckey
6:11.0,,,40-35,,Indiana full timeout
6:11.0,C. Lee enters the game for M. Barnes,,40-35,,
6:11.0,Z. Randolph enters the game for J. Green,,40-35,,
6:11.0,,,40-35,,J. Hill enters the game for C. Budinger
6:11.0,,,40-35,,I. Mahinmi enters the game for M. Turner
6:11.0,,,40-35,,P. George enters the game for C. Miles
6:01.0,,,40-35,,R. Stuckey misses 3-pt shot from 26 ft
6:00.0,,,40-35,,Offensive rebound by I. Mahinmi
5:56.0,,,40-38,3,G. Hill makes 3-pt shot from 24 ft (assist by P. George)
5:36.0,C. Lee misses 3-pt shot from 24 ft,,40-38,,
5:35.0,,,40-38,,Defensive rebound by I. Mahinmi
5:21.0,,,40-38,,Turnover by R. Stuckey (bad pass; steal by M. Conley)
5:15.0,T. Allen makes 2-pt shot from 5 ft (assist by M. Conley),2,42-38,,
4:50.0,,,42-38,,Turnover by G. Hill (bad pass)
4:32.0,Z. Randolph misses 2-pt shot from 17 ft,,42-38,,
4:31.0,,,42-38,,Defensive rebound by J. Hill
4:18.0,,,42-38,,Turnover by P. George (bad pass; steal by T. Allen)
4:14.0,M. Conley misses 2-pt shot at rim,,42-38,,
4:13.0,,,42-38,,Defensive rebound by P. George
4:07.0,,,42-38,,Turnover by P. George (lost ball; steal by T. Allen)
3:56.0,M. Conley misses 2-pt shot from 10 ft,,42-38,,
3:56.0,,,42-38,,Defensive rebound by I. Mahinmi
3:51.0,,,42-40,2,R. Stuckey makes 2-pt shot from 1 ft (assist by P. George)
3:35.0,Z. Randolph misses 2-pt shot from 4 ft (block by I. Mahinmi),,42-40,,
3:34.0,Offensive rebound by M. Conley,,42-40,,
3:23.0,T. Allen misses 3-pt shot from 24 ft,,42-40,,
3:22.0,,,42-40,,Defensive rebound by R. Stuckey
3:19.0,,,42-42,2,R. Stuckey makes 2-pt shot from 1 ft
3:19.0,,,42-42,,Shooting foul by C. Lee (drawn by R. Stuckey)
3:19.0,B. Udrih enters the game for M. Conley,,42-42,,
3:19.0,,,42-43,1,R. Stuckey makes free throw 1 of 1
3:16.0,Memphis full timeout,,42-43,,
3:09.0,Turnover by C. Lee (bad pass; steal by R. Stuckey),,42-43,,
3:06.0,,,42-43,,Turnover by R. Stuckey (palming)
2:54.0,M. Gasol makes 2-pt shot at rim (assist by B. Udrih),2,44-43,,
2:27.0,,,44-45,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George)
2:05.0,T. Allen misses 2-pt shot from 4 ft,,44-45,,
2:05.0,,,44-45,,Defensive rebound by P. George
1:56.0,,,44-45,,P. George misses 3-pt shot from 27 ft
1:56.0,Defensive rebound by B. Udrih,,44-45,,
1:43.0,M. Gasol makes 2-pt shot from 18 ft (assist by B. Udrih),2,46-45,,
1:28.0,,,46-47,2,I. Mahinmi makes 2-pt shot from 17 ft (assist by G. Hill)
1:08.0,Offensive foul by Z. Randolph,,46-47,,
1:08.0,Turnover by Z. Randolph (offensive foul),,46-47,,
0:56.0,,,46-47,,Offensive charge foul by P. George
0:56.0,,,46-47,,Turnover by P. George (offensive foul)
0:45.0,Shooting foul by J. Hill (drawn by Z. Randolph),,46-47,,
0:45.0,Z. Randolph makes free throw 1 of 2,1,47-47,,
0:45.0,J. Green enters the game for T. Allen,,47-47,,
0:45.0,Z. Randolph makes free throw 2 of 2,1,48-47,,
0:25.0,,,48-49,2,J. Hill makes 2-pt shot from 19 ft (assist by P. George)
0:04.0,B. Udrih makes 2-pt shot from 16 ft,2,50-49,,
0:00.0,,,50-49,,G. Hill misses 3-pt shot from 30 ft
0:00.0,,,50-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,50-51,2,P. George makes 2-pt shot from 17 ft
11:21.0,M. Gasol misses 2-pt shot from 20 ft,,50-51,,
11:20.0,Offensive rebound by T. Allen,,50-51,,
11:20.0,Shooting foul by P. George (drawn by T. Allen),,50-51,,
11:20.0,T. Allen makes free throw 1 of 2,1,51-51,,
11:20.0,T. Allen misses free throw 2 of 2,,51-51,,
11:20.0,,,51-51,,Defensive rebound by J. Hill
11:06.0,,,51-51,,Shooting foul by T. Allen (drawn by P. George)
11:06.0,,,51-52,1,P. George makes free throw 1 of 2
11:06.0,,,51-53,1,P. George makes free throw 2 of 2
10:51.0,Turnover by Z. Randolph (bad pass; steal by P. George),,51-53,,
10:38.0,,,51-55,2,I. Mahinmi makes 2-pt shot from 1 ft
10:25.0,M. Gasol misses 2-pt shot from 16 ft,,51-55,,
10:24.0,,,51-55,,Defensive rebound by I. Mahinmi
10:07.0,,,51-58,3,G. Hill makes 3-pt shot from 25 ft (assist by M. Ellis)
10:07.0,Memphis full timeout,,51-58,,
9:51.0,C. Lee misses 3-pt shot from 22 ft,,51-58,,
9:51.0,,,51-58,,Defensive rebound by G. Hill
9:42.0,,,51-58,,G. Hill misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by M. Gasol,,51-58,,
9:23.0,M. Conley misses 2-pt shot from 1 ft,,51-58,,
9:23.0,Offensive rebound by Z. Randolph,,51-58,,
9:23.0,Z. Randolph misses 2-pt shot at rim (block by P. George),,51-58,,
9:23.0,Offensive rebound by Team,,51-58,,
9:20.0,,,51-58,,Personal foul by I. Mahinmi (drawn by M. Gasol)
9:09.0,Shooting foul by J. Hill (drawn by M. Gasol),,51-58,,
9:09.0,M. Gasol makes free throw 1 of 2,1,52-58,,
9:09.0,M. Gasol makes free throw 2 of 2,1,53-58,,
8:54.0,,,53-60,2,J. Hill makes 2-pt shot from 19 ft (assist by G. Hill)
8:27.0,T. Allen misses 2-pt shot from 21 ft,,53-60,,
8:25.0,,,53-60,,Defensive rebound by G. Hill
8:18.0,,,53-60,,J. Hill misses 2-pt shot from 6 ft
8:17.0,Defensive rebound by Z. Randolph,,53-60,,
8:04.0,Z. Randolph makes 2-pt shot from 21 ft (assist by M. Conley),2,55-60,,
7:43.0,,,55-60,,P. George misses 3-pt shot from 27 ft
7:42.0,Defensive rebound by Z. Randolph,,55-60,,
7:30.0,C. Lee misses 3-pt shot from 22 ft,,55-60,,
7:30.0,,,55-60,,Defensive rebound by J. Hill
7:14.0,,,55-60,,M. Ellis misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by M. Conley,,55-60,,
7:00.0,Z. Randolph misses 2-pt shot from 18 ft,,55-60,,
6:59.0,Offensive rebound by M. Gasol,,55-60,,
6:54.0,Shooting foul by J. Hill (drawn by Z. Randolph),,55-60,,
6:54.0,Z. Randolph makes free throw 1 of 2,1,56-60,,
6:54.0,,,56-60,,L. Allen enters the game for J. Hill
6:54.0,B. Udrih enters the game for M. Conley,,56-60,,
6:54.0,Z. Randolph makes free throw 2 of 2,1,57-60,,
6:41.0,,,57-60,,P. George misses 3-pt shot from 26 ft
6:40.0,,,57-60,,Offensive rebound by Team
6:40.0,Personal foul by Z. Randolph (drawn by L. Allen),,57-60,,
6:26.0,,,57-60,,G. Hill misses 2-pt shot from 11 ft
6:25.0,,,57-60,,Offensive rebound by P. George
6:22.0,,,57-60,,P. George misses 2-pt shot at rim (block by M. Gasol)
6:20.0,,,57-60,,Offensive rebound by P. George
6:14.0,,,57-63,3,G. Hill makes 3-pt shot from 24 ft (assist by P. George)
5:48.0,Z. Randolph misses 2-pt shot from 17 ft,,57-63,,
5:47.0,,,57-63,,Defensive rebound by P. George
5:36.0,,,57-63,,Turnover by G. Hill (step out of bounds)
5:19.0,B. Udrih makes 2-pt shot from 15 ft (assist by M. Gasol),2,59-63,,
5:03.0,,,59-63,,G. Hill misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by T. Allen,,59-63,,
4:50.0,T. Allen misses 2-pt shot from 4 ft,,59-63,,
4:50.0,Offensive rebound by T. Allen,,59-63,,
4:48.0,T. Allen makes 2-pt shot from 1 ft,2,61-63,,
4:48.0,,,61-63,,Indiana full timeout
4:48.0,J. Green enters the game for Z. Randolph,,61-63,,
4:48.0,,,61-63,,R. Stuckey enters the game for I. Mahinmi
4:48.0,,,61-63,,M. Turner enters the game for M. Ellis
4:28.0,,,61-63,,Offensive charge foul by G. Hill
4:28.0,,,61-63,,Turnover by G. Hill (offensive foul)
4:28.0,,,61-63,,C. Miles enters the game for L. Allen
4:16.0,C. Lee misses 2-pt shot from 3 ft,,61-63,,
4:14.0,,,61-63,,Defensive rebound by G. Hill
4:14.0,Loose ball foul by T. Allen (drawn by G. Hill),,61-63,,
4:14.0,M. Barnes enters the game for T. Allen,,61-63,,
3:59.0,,,61-65,2,P. George makes 2-pt shot from 1 ft (assist by R. Stuckey)
3:39.0,,,61-65,,Personal foul by M. Turner (drawn by M. Gasol)
3:39.0,M. Gasol makes free throw 1 of 2,1,62-65,,
3:39.0,M. Gasol makes free throw 2 of 2,1,63-65,,
3:30.0,,,63-68,3,C. Miles makes 3-pt shot from 27 ft (assist by R. Stuckey)
3:12.0,M. Barnes misses 3-pt shot from 24 ft,,63-68,,
3:11.0,,,63-68,,Defensive rebound by R. Stuckey
3:05.0,,,63-71,3,C. Miles makes 3-pt shot from 27 ft (assist by R. Stuckey)
2:48.0,M. Barnes misses 2-pt shot from 10 ft (block by R. Stuckey),,63-71,,
2:48.0,Offensive rebound by Team,,63-71,,
2:41.0,Turnover by B. Udrih (bad pass; steal by M. Turner),,63-71,,
2:38.0,,,63-71,,Turnover by M. Turner (bad pass; steal by C. Lee)
2:34.0,C. Lee makes 2-pt shot from 13 ft,2,65-71,,
2:17.0,,,65-73,2,R. Stuckey makes 2-pt shot from 16 ft
1:53.0,B. Udrih misses 3-pt shot from 26 ft,,65-73,,
1:52.0,Offensive rebound by Team,,65-73,,
1:52.0,,,65-73,,Loose ball foul by G. Hill (drawn by M. Barnes)
1:52.0,M. Barnes misses free throw 1 of 2,,65-73,,
1:52.0,Offensive rebound by Team,,65-73,,
1:52.0,J. Green enters the game for C. Lee,,65-73,,
1:52.0,M. Barnes makes free throw 2 of 2,1,66-73,,
1:44.0,,,66-73,,Shooting foul by J. Green (drawn by C. Miles)
1:44.0,,,66-73,,C. Miles misses free throw 1 of 3
1:44.0,,,66-73,,Offensive rebound by Team
1:44.0,,,66-74,1,C. Miles makes free throw 2 of 3
1:44.0,,,66-75,1,C. Miles makes free throw 3 of 3
1:29.0,M. Barnes makes 3-pt shot from 25 ft (assist by B. Udrih),3,69-75,,
1:08.0,Personal foul by J. Green (drawn by M. Turner),,69-75,,
1:08.0,,,69-75,,M. Turner misses free throw 1 of 2
1:08.0,,,69-75,,Offensive rebound by Team
1:08.0,,,69-75,,C. Budinger enters the game for P. George
1:08.0,,,69-75,,M. Ellis enters the game for G. Hill
1:08.0,,,69-75,,M. Turner misses free throw 2 of 2
1:08.0,Defensive rebound by J. Green,,69-75,,
1:00.0,M. Gasol makes 2-pt shot from 10 ft (assist by B. Udrih),2,71-75,,
0:47.0,,,71-75,,C. Budinger misses 3-pt shot from 22 ft
0:47.0,Defensive rebound by M. Gasol,,71-75,,
0:36.0,B. Udrih makes 2-pt shot from 1 ft,2,73-75,,
0:25.0,,,73-75,,Turnover by M. Ellis (bad pass; steal by J. Green)
0:22.0,Offensive charge foul by J. Green,,73-75,,
0:22.0,Turnover by J. Green (offensive foul),,73-75,,
0:03.0,,,73-75,,R. Stuckey misses 2-pt shot from 1 ft (block by J. Green)
0:01.0,Defensive rebound by M. Barnes,,73-75,,
0:00.0,M. Barnes misses 3-pt shot from 25 ft,,73-75,,
0:00.0,Offensive rebound by Team,,73-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,B. Wright makes 2-pt shot at rim (assist by J. Green),2,75-75,,
11:31.0,,,75-75,,M. Ellis misses 2-pt shot at rim (block by B. Wright)
11:30.0,Defensive rebound by M. Barnes,,75-75,,
11:22.0,Shooting foul by C. Miles (drawn by J. Green),,75-75,,
11:22.0,J. Green makes free throw 1 of 2,1,76-75,,
11:22.0,J. Green makes free throw 2 of 2,1,77-75,,
11:11.0,Personal foul by M. Barnes (drawn by M. Turner),,77-75,,
11:02.0,,,77-78,3,C. Miles makes 3-pt shot from 26 ft (assist by M. Ellis)
10:46.0,M. Barnes makes 3-pt shot from 23 ft (assist by B. Udrih),3,80-78,,
10:26.0,,,80-80,2,M. Ellis makes 2-pt shot from 16 ft
10:26.0,,,80-80,,Shooting foul by B. Udrih (drawn by M. Ellis)
10:26.0,,,80-81,1,M. Ellis makes free throw 1 of 1
10:14.0,J. Green makes 2-pt shot from 1 ft,2,82-81,,
10:08.0,,,82-81,,Turnover by C. Miles (lost ball; steal by B. Udrih)
10:01.0,M. Barnes misses 3-pt shot from 23 ft,,82-81,,
10:00.0,,,82-81,,Defensive rebound by R. Stuckey
9:48.0,,,82-83,2,M. Turner makes 2-pt shot from 19 ft (assist by M. Ellis)
9:30.0,Shooting foul by M. Turner (drawn by B. Wright),,82-83,,
9:30.0,B. Wright makes free throw 1 of 2,1,83-83,,
9:30.0,,,83-83,,P. George enters the game for C. Budinger
9:30.0,M. Conley enters the game for B. Udrih,,83-83,,
9:30.0,B. Wright misses free throw 2 of 2,,83-83,,
9:29.0,Offensive rebound by J. Green,,83-83,,
9:29.0,J. Green makes 2-pt shot from 4 ft,2,85-83,,
9:10.0,,,85-85,2,P. George makes 2-pt shot from 19 ft (assist by C. Miles)
8:48.0,J. Green makes 2-pt shot from 15 ft,2,87-85,,
8:32.0,Personal foul by J. Green (drawn by P. George),,87-85,,
8:32.0,Official timeout,,87-85,,
8:32.0,T. Allen enters the game for J. Green,,87-85,,
8:32.0,,,87-85,,I. Mahinmi enters the game for M. Turner
8:18.0,,,87-85,,M. Ellis misses 2-pt shot from 15 ft
8:16.0,Defensive rebound by T. Allen,,87-85,,
7:55.0,M. Conley makes 2-pt shot from 13 ft,2,89-85,,
7:42.0,Shooting block foul by M. Conley (drawn by M. Ellis),,89-85,,
7:42.0,,,89-86,1,M. Ellis makes free throw 1 of 2
7:42.0,,,89-86,,G. Hill enters the game for R. Stuckey
7:42.0,,,89-86,,M. Ellis misses free throw 2 of 2
7:42.0,Defensive rebound by J. Green,,89-86,,
7:24.0,M. Conley makes 3-pt shot from 22 ft (assist by M. Barnes),3,92-86,,
7:05.0,,,92-86,,C. Miles misses 3-pt shot from 26 ft
7:02.0,,,92-86,,Offensive rebound by P. George
7:00.0,Personal foul by M. Barnes (drawn by G. Hill),,92-86,,
7:00.0,,,92-87,1,G. Hill makes free throw 1 of 2
7:00.0,,,92-88,1,G. Hill makes free throw 2 of 2
6:46.0,Turnover by M. Conley (bad pass; steal by G. Hill),,92-88,,
6:44.0,,,92-88,,Turnover by G. Hill (lost ball; steal by T. Allen)
6:41.0,Offensive foul by T. Allen,,92-88,,
6:41.0,Turnover by T. Allen (offensive foul),,92-88,,
6:29.0,,,92-90,2,G. Hill makes 2-pt shot from 1 ft
6:28.0,Memphis full timeout,,92-90,,
6:28.0,Z. Randolph enters the game for T. Allen,,92-90,,
6:28.0,,,92-90,,L. Allen enters the game for C. Miles
6:11.0,J. Green misses 2-pt shot from 7 ft,,92-90,,
6:10.0,,,92-90,,Defensive rebound by I. Mahinmi
5:58.0,,,92-93,3,P. George makes 3-pt shot from 26 ft
5:38.0,B. Wright makes 2-pt shot from 7 ft (assist by M. Conley),2,94-93,,
5:22.0,,,94-93,,P. George misses 2-pt shot from 1 ft (block by B. Wright)
5:22.0,Defensive rebound by Team,,94-93,,
5:06.0,,,94-93,,Personal foul by M. Ellis (drawn by J. Green)
5:06.0,M. Gasol enters the game for B. Wright,,94-93,,
4:54.0,M. Conley misses 2-pt shot from 2 ft,,94-93,,
4:53.0,,,94-93,,Defensive rebound by I. Mahinmi
4:48.0,Personal foul by M. Conley (drawn by G. Hill),,94-93,,
4:48.0,,,94-94,1,G. Hill makes free throw 1 of 2
4:48.0,C. Lee enters the game for M. Barnes,,94-94,,
4:48.0,,,94-94,,G. Hill misses free throw 2 of 2
4:48.0,Defensive rebound by J. Green,,94-94,,
4:27.0,M. Conley misses 2-pt shot from 17 ft,,94-94,,
4:26.0,,,94-94,,Defensive rebound by L. Allen
4:03.0,,,94-94,,Shooting foul by J. Green (drawn by P. George)
4:03.0,,,94-95,1,P. George makes free throw 1 of 2
4:03.0,,,94-96,1,P. George makes free throw 2 of 2
3:49.0,M. Gasol makes 2-pt shot from 9 ft,2,96-96,,
3:49.0,Shooting foul by I. Mahinmi (drawn by M. Gasol),,96-96,,
3:49.0,M. Gasol misses free throw 1 of 1,,96-96,,
3:47.0,,,96-96,,Defensive rebound by P. George
3:31.0,,,96-96,,P. George misses 2-pt shot from 1 ft
