time,Memphis,pts.away,score,pts.home,Minnesota
6:41.0,Memphis full timeout,,9-13,,
6:41.0,C. Lee enters the game for T. Allen,,9-13,,
6:21.0,,,9-13,,Violation by A. Wiggins (kicked ball)
6:10.0,M. Conley makes 3-pt shot from 24 ft,3,12-13,,
5:53.0,,,12-13,,A. Wiggins misses 2-pt shot from 21 ft
5:52.0,Defensive rebound by M. Gasol,,12-13,,
5:49.0,Offensive foul by J. Green,,12-13,,
5:49.0,Turnover by J. Green (offensive foul),,12-13,,
5:28.0,,,12-13,,T. Prince misses 2-pt shot from 12 ft
5:27.0,Defensive rebound by Z. Randolph,,12-13,,
5:14.0,Turnover by M. Gasol (lost ball; steal by A. Miller),,12-13,,
5:08.0,,,12-15,2,A. Miller makes 2-pt shot from 1 ft (assist by T. Prince)
4:51.0,Z. Randolph makes 2-pt shot from 4 ft (assist by M. Conley),2,14-15,,
4:40.0,,,14-17,2,A. Wiggins makes 2-pt shot from 1 ft (assist by A. Miller)
4:19.0,Shooting foul by T. Prince (drawn by M. Gasol),,14-17,,
4:19.0,M. Gasol makes free throw 1 of 2,1,15-17,,
4:19.0,J. Green enters the game for Z. Randolph,,15-17,,
4:19.0,,,15-17,,N. Bjelica enters the game for K. Garnett
4:19.0,M. Gasol makes free throw 2 of 2,1,16-17,,
4:02.0,,,16-17,,Offensive charge foul by K. Towns
4:02.0,,,16-17,,Turnover by K. Towns (offensive foul)
4:02.0,,,16-17,,G. Dieng enters the game for K. Towns
3:54.0,M. Conley makes 2-pt shot from 18 ft,2,18-17,,
3:41.0,,,18-19,2,G. Dieng makes 2-pt shot from 16 ft (assist by A. Miller)
3:30.0,M. Conley misses 2-pt shot from 1 ft,,18-19,,
3:29.0,Offensive rebound by J. Green,,18-19,,
3:17.0,M. Conley misses 3-pt shot from 23 ft,,18-19,,
3:16.0,,,18-19,,Defensive rebound by A. Wiggins
2:59.0,,,18-19,,A. Wiggins misses 2-pt shot from 1 ft (block by M. Gasol)
2:57.0,Defensive rebound by C. Lee,,18-19,,
2:44.0,M. Conley makes 2-pt shot at rim,2,20-19,,
2:38.0,,,20-19,,Minnesota full timeout
2:38.0,,,20-19,,K. Martin enters the game for T. Prince
2:38.0,M. Chalmers enters the game for M. Conley,,20-19,,
2:29.0,,,20-19,,A. Wiggins misses 2-pt shot from 10 ft
2:28.0,Defensive rebound by J. Green,,20-19,,
2:07.0,J. Green misses 2-pt shot from 12 ft,,20-19,,
2:06.0,,,20-19,,Defensive rebound by G. Dieng
1:55.0,,,20-19,,G. Dieng misses 2-pt shot from 18 ft
1:53.0,,,20-19,,Offensive rebound by N. Bjelica
1:38.0,,,20-19,,N. Bjelica misses 2-pt shot at rim
1:37.0,Defensive rebound by J. Green,,20-19,,
1:29.0,C. Lee misses 2-pt shot from 20 ft,,20-19,,
1:27.0,,,20-19,,Defensive rebound by G. Dieng
1:19.0,,,20-21,2,A. Miller makes 2-pt shot from 1 ft
1:05.0,Shooting foul by A. Miller (drawn by M. Chalmers),,20-21,,
1:05.0,M. Chalmers makes free throw 1 of 2,1,21-21,,
1:05.0,,,21-21,,S. Muhammad enters the game for A. Wiggins
1:05.0,M. Barnes enters the game for J. Green,,21-21,,
1:05.0,M. Chalmers makes free throw 2 of 2,1,22-21,,
0:55.0,,,22-21,,K. Martin misses 3-pt shot from 24 ft
0:54.0,Defensive rebound by J. Green,,22-21,,
0:33.0,M. Barnes misses 3-pt shot from 24 ft,,22-21,,
0:31.0,,,22-21,,Defensive rebound by G. Dieng
0:17.0,,,22-23,2,S. Muhammad makes 2-pt shot from 10 ft (assist by K. Martin)
0:03.0,Turnover by M. Chalmers (bad pass; steal by K. Martin),,22-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,22-25,2,S. Muhammad makes 2-pt shot from 19 ft (assist by A. Miller)
11:28.0,J. Green makes 2-pt shot at rim (assist by Z. Randolph),2,24-25,,
11:06.0,,,24-25,,N. Bjelica misses 3-pt shot from 24 ft
11:04.0,,,24-25,,Offensive rebound by S. Muhammad
11:02.0,,,24-25,,S. Muhammad misses 2-pt shot from 2 ft (block by Z. Randolph)
11:01.0,,,24-25,,Offensive rebound by S. Muhammad
11:00.0,,,24-27,2,S. Muhammad makes 2-pt shot from 1 ft
10:40.0,Shooting foul by N. Bjelica (drawn by J. Green),,24-27,,
10:40.0,J. Green makes free throw 1 of 2,1,25-27,,
10:40.0,J. Green makes free throw 2 of 2,1,26-27,,
10:31.0,,,26-27,,K. Martin misses 2-pt shot from 3 ft
10:30.0,Defensive rebound by Z. Randolph,,26-27,,
10:22.0,M. Chalmers makes 3-pt shot from 24 ft,3,29-27,,
10:08.0,,,29-29,2,G. Dieng makes 2-pt shot from 19 ft (assist by A. Miller)
9:53.0,Z. Randolph makes 2-pt shot from 20 ft (assist by M. Chalmers),2,31-29,,
9:36.0,,,31-29,,Turnover by S. Muhammad (lost ball)
9:36.0,,,31-29,,Z. LaVine enters the game for A. Miller
9:29.0,Turnover by M. Chalmers (bad pass; steal by K. Martin),,31-29,,
9:26.0,,,31-31,2,K. Martin makes 2-pt shot from 1 ft
9:26.0,Memphis full timeout,,31-31,,
9:11.0,M. Barnes misses 2-pt shot from 4 ft,,31-31,,
9:10.0,Offensive rebound by Z. Randolph,,31-31,,
9:06.0,Turnover by J. Green (lost ball),,31-31,,
8:58.0,,,31-31,,N. Bjelica misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by C. Lee,,31-31,,
8:46.0,Z. Randolph makes 2-pt shot from 16 ft,2,33-31,,
8:31.0,,,33-31,,K. Martin misses 2-pt shot from 8 ft
8:30.0,,,33-31,,Offensive rebound by G. Dieng
8:28.0,,,33-31,,Shooting foul by J. Green (drawn by G. Dieng)
8:28.0,,,33-32,1,G. Dieng makes free throw 1 of 2
8:28.0,,,33-33,1,G. Dieng makes free throw 2 of 2
8:13.0,Shooting foul by N. Bjelica (drawn by J. Green),,33-33,,
8:13.0,J. Green makes 2-pt shot at rim,2,35-33,,
8:13.0,J. Green makes free throw 1 of 1,1,36-33,,
8:00.0,,,36-33,,S. Muhammad misses 2-pt shot from 4 ft (block by M. Chalmers)
7:58.0,Defensive rebound by C. Lee,,36-33,,
7:49.0,C. Lee makes 2-pt shot from 1 ft,2,38-33,,
7:35.0,,,38-33,,K. Martin misses 2-pt shot from 12 ft
7:34.0,Defensive rebound by Z. Randolph,,38-33,,
7:29.0,C. Lee misses 2-pt shot from 17 ft,,38-33,,
7:28.0,,,38-33,,Defensive rebound by K. Martin
7:22.0,,,38-35,2,K. Martin makes 2-pt shot from 1 ft
7:09.0,,,38-35,,Personal foul by Z. LaVine (drawn by M. Chalmers)
7:09.0,,,38-35,,A. Miller enters the game for Z. LaVine
6:53.0,Z. Randolph makes 2-pt shot from 21 ft (assist by M. Chalmers),2,40-35,,
6:40.0,Personal foul by C. Lee (drawn by K. Martin),,40-35,,
6:40.0,J. Green enters the game for J. Green,,40-35,,
6:40.0,,,40-35,,Minnesota full timeout
6:40.0,,,40-35,,K. Towns enters the game for G. Dieng
6:40.0,,,40-35,,A. Wiggins enters the game for S. Muhammad
6:30.0,,,40-37,2,A. Miller makes 2-pt shot from 4 ft
6:11.0,Z. Randolph misses 2-pt shot from 6 ft,,40-37,,
6:09.0,,,40-37,,Defensive rebound by K. Towns
5:53.0,,,40-39,2,K. Towns makes 2-pt shot from 16 ft
5:30.0,M. Barnes misses 2-pt shot from 5 ft,,40-39,,
5:28.0,,,40-39,,Defensive rebound by Team
5:28.0,,,40-39,,K. Garnett enters the game for N. Bjelica
5:28.0,M. Gasol enters the game for M. Barnes,,40-39,,
5:28.0,M. Conley enters the game for C. Lee,,40-39,,
5:11.0,,,40-39,,Shooting foul by M. Chalmers (drawn by K. Martin)
5:11.0,,,40-40,1,K. Martin makes free throw 1 of 2
5:11.0,,,40-41,1,K. Martin makes free throw 2 of 2
4:48.0,M. Conley misses 2-pt shot from 7 ft (block by K. Towns),,40-41,,
4:46.0,Offensive rebound by Team,,40-41,,
4:46.0,Turnover by Team (shot clock),,40-41,,
4:46.0,,,40-41,,T. Prince enters the game for K. Martin
4:35.0,,,40-41,,Turnover by K. Towns (bad pass)
4:12.0,J. Green misses 2-pt shot from 8 ft,,40-41,,
4:11.0,Offensive rebound by M. Gasol,,40-41,,
4:06.0,Shooting foul by T. Prince (drawn by M. Chalmers),,40-41,,
4:06.0,M. Chalmers makes free throw 1 of 2,1,41-41,,
4:06.0,M. Chalmers makes free throw 2 of 2,1,42-41,,
3:49.0,,,42-41,,T. Prince misses 2-pt shot from 5 ft
3:48.0,Defensive rebound by M. Gasol,,42-41,,
3:33.0,M. Conley makes 3-pt shot from 26 ft (assist by M. Gasol),3,45-41,,
3:19.0,,,45-41,,A. Wiggins misses 2-pt shot from 18 ft
3:17.0,Defensive rebound by M. Gasol,,45-41,,
3:14.0,,,45-41,,Personal foul by A. Wiggins (drawn by J. Green)
3:14.0,J. Green enters the game for Z. Randolph,,45-41,,
3:14.0,J. Green makes free throw 1 of 2,1,46-41,,
3:14.0,T. Allen enters the game for M. Chalmers,,46-41,,
3:14.0,J. Green makes free throw 2 of 2,1,47-41,,
2:50.0,,,47-43,2,K. Garnett makes 2-pt shot from 14 ft (assist by A. Miller)
2:31.0,M. Gasol makes 2-pt shot from 12 ft (assist by J. Green),2,49-43,,
2:04.0,,,49-43,,Shooting foul by M. Gasol (drawn by K. Towns)
2:04.0,,,49-43,,Minnesota full timeout
2:04.0,,,49-44,1,K. Towns makes free throw 1 of 2
2:04.0,,,49-45,1,K. Towns makes free throw 2 of 2
1:51.0,M. Gasol misses 2-pt shot from 3 ft,,49-45,,
1:50.0,,,49-45,,Defensive rebound by K. Garnett
1:43.0,,,49-45,,A. Miller misses 2-pt shot from 2 ft
1:42.0,,,49-45,,Offensive rebound by A. Miller
1:42.0,,,49-45,,A. Miller misses 2-pt shot from 2 ft
1:41.0,Defensive rebound by M. Gasol,,49-45,,
1:35.0,T. Allen makes 2-pt shot at rim (assist by M. Conley),2,51-45,,
1:15.0,,,51-47,2,A. Wiggins makes 2-pt shot from 18 ft (assist by A. Miller)
0:57.0,J. Green makes 2-pt shot from 8 ft,2,53-47,,
0:44.0,,,53-47,,K. Towns misses 2-pt shot from 6 ft (block by M. Gasol)
0:42.0,Defensive rebound by J. Green,,53-47,,
0:37.0,J. Green makes 2-pt shot from 1 ft (assist by T. Allen),2,55-47,,
0:18.0,,,55-49,2,A. Wiggins makes 2-pt shot at rim (assist by K. Garnett)
0:18.0,,,55-49,,Shooting foul by T. Allen (drawn by A. Wiggins)
0:18.0,,,55-49,,A. Wiggins misses free throw 1 of 1
0:17.0,Defensive rebound by J. Green,,55-49,,
0:13.0,Memphis full timeout,,55-49,,
0:13.0,C. Lee enters the game for T. Allen,,55-49,,
0:03.0,C. Lee misses 2-pt shot from 15 ft,,55-49,,
0:02.0,,,55-49,,Defensive rebound by A. Miller
0:00.0,,,55-49,,A. Miller misses 3-pt shot from 73 ft
0:00.0,,,55-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,55-51,2,K. Garnett makes 2-pt shot at rim (assist by Z. LaVine)
11:20.0,Z. Randolph makes 2-pt shot from 20 ft (assist by M. Conley),2,57-51,,
11:04.0,,,57-53,2,K. Garnett makes 2-pt shot from 21 ft (assist by A. Wiggins)
10:40.0,M. Gasol misses 2-pt shot from 12 ft,,57-53,,
10:39.0,,,57-53,,Defensive rebound by Z. LaVine
10:30.0,,,57-55,2,Z. LaVine makes 2-pt shot from 12 ft
10:01.0,Z. Randolph misses 2-pt shot from 5 ft,,57-55,,
10:00.0,,,57-55,,Defensive rebound by K. Towns
9:54.0,,,57-55,,Turnover by A. Wiggins (bad pass; steal by T. Allen)
9:51.0,Turnover by T. Allen (bad pass; steal by K. Garnett),,57-55,,
9:40.0,,,57-58,3,Z. LaVine makes 3-pt shot from 23 ft
9:40.0,Memphis full timeout,,57-58,,
9:18.0,J. Green misses 2-pt shot from 5 ft,,57-58,,
9:17.0,Offensive rebound by J. Green,,57-58,,
9:17.0,,,57-58,,Violation by K. Garnett (def goaltending)
9:17.0,J. Green makes 2-pt shot from 5 ft,2,59-58,,
9:04.0,,,59-61,3,Z. LaVine makes 3-pt shot from 25 ft (assist by K. Garnett)
8:53.0,Shooting foul by Z. LaVine (drawn by M. Conley),,59-61,,
8:53.0,M. Conley makes free throw 1 of 2,1,60-61,,
8:53.0,M. Conley misses free throw 2 of 2,,60-61,,
8:52.0,,,60-61,,Defensive rebound by K. Towns
8:38.0,,,60-63,2,K. Towns makes 2-pt shot from 19 ft
8:17.0,T. Allen makes 2-pt shot from 10 ft,2,62-63,,
8:07.0,,,62-63,,Z. LaVine misses 3-pt shot from 25 ft
8:05.0,,,62-63,,Offensive rebound by K. Towns
7:54.0,,,62-65,2,A. Wiggins makes 2-pt shot from 22 ft (assist by Z. LaVine)
7:40.0,Offensive foul by M. Gasol,,62-65,,
7:40.0,Turnover by M. Gasol (offensive foul),,62-65,,
7:40.0,,,62-65,,A. Miller enters the game for Z. LaVine
7:19.0,,,62-65,,Turnover by A. Miller (bad pass; steal by T. Allen)
7:18.0,Jump ball: T. Allen vs. K. Garnett (T. Prince gains possession),,,,Jump ball: T. Allen vs. K. Garnett (T. Prince gains possession)
7:18.0,Turnover by T. Allen (bad pass; steal by K. Garnett),,62-65,,
6:56.0,,,62-65,,K. Towns misses 2-pt shot from 15 ft
6:54.0,Defensive rebound by J. Green,,62-65,,
6:30.0,J. Green misses 3-pt shot from 26 ft,,62-65,,
6:29.0,,,62-65,,Defensive rebound by K. Garnett
6:17.0,,,62-67,2,T. Prince makes 2-pt shot from 10 ft (assist by K. Garnett)
6:17.0,Memphis full timeout,,62-67,,
6:17.0,C. Lee enters the game for T. Allen,,62-67,,
6:17.0,J. Green enters the game for Z. Randolph,,62-67,,
6:17.0,,,62-67,,N. Bjelica enters the game for K. Garnett
5:58.0,J. Green makes 3-pt shot from 24 ft (assist by M. Conley),3,65-67,,
5:36.0,,,65-69,2,A. Wiggins makes 2-pt shot from 6 ft
5:21.0,M. Gasol makes 2-pt shot from 6 ft,2,67-69,,
5:08.0,,,67-69,,A. Wiggins misses 2-pt shot from 18 ft
5:06.0,Defensive rebound by C. Lee,,67-69,,
4:46.0,M. Gasol makes 2-pt shot from 20 ft (assist by J. Green),2,69-69,,
4:30.0,,,69-69,,K. Towns misses 2-pt shot from 2 ft (block by J. Green)
4:29.0,,,69-69,,Offensive rebound by Team
4:29.0,,,69-69,,K. Martin enters the game for T. Prince
4:29.0,,,69-69,,Minnesota full timeout
4:23.0,,,69-71,2,A. Wiggins makes 2-pt shot from 16 ft
3:59.0,M. Gasol misses 2-pt shot from 4 ft,,69-71,,
3:58.0,,,69-71,,Defensive rebound by A. Miller
3:44.0,,,69-71,,K. Martin misses 2-pt shot from 11 ft (block by C. Lee)
3:42.0,Defensive rebound by J. Green,,69-71,,
3:37.0,C. Lee makes 3-pt shot from 24 ft (assist by J. Green),3,72-71,,
3:23.0,,,72-71,,K. Martin misses 2-pt shot at rim
3:22.0,Defensive rebound by J. Green,,72-71,,
3:10.0,J. Green misses 3-pt shot from 25 ft,,72-71,,
3:08.0,,,72-71,,Defensive rebound by K. Towns
2:50.0,,,72-73,2,A. Miller makes 2-pt shot from 1 ft (assist by K. Towns)
2:39.0,J. Green makes 2-pt shot at rim (assist by M. Gasol),2,74-73,,
2:16.0,,,74-75,2,K. Towns makes 2-pt shot from 8 ft
1:57.0,Turnover by M. Gasol (bad pass; steal by A. Miller),,74-75,,
1:48.0,,,74-75,,K. Martin misses 2-pt shot from 16 ft
1:47.0,,,74-75,,Offensive rebound by K. Towns
1:47.0,,,74-77,2,K. Towns makes 2-pt shot from 1 ft
1:24.0,M. Gasol makes 2-pt shot from 2 ft,2,76-77,,
1:11.0,,,76-77,,Turnover by K. Towns (lost ball; steal by M. Conley)
1:08.0,,,76-77,,Personal foul by N. Bjelica (drawn by M. Conley)
1:08.0,,,76-77,,G. Dieng enters the game for K. Towns
1:08.0,M. Chalmers enters the game for M. Conley,,76-77,,
1:08.0,M. Barnes enters the game for J. Green,,76-77,,
1:08.0,,,76-77,,S. Muhammad enters the game for A. Wiggins
0:55.0,C. Lee makes 2-pt shot from 20 ft,2,78-77,,
0:43.0,,,78-77,,S. Muhammad misses 3-pt shot from 24 ft
0:42.0,Defensive rebound by M. Gasol,,78-77,,
0:27.0,M. Chalmers makes 3-pt shot from 24 ft (assist by M. Gasol),3,81-77,,
0:07.0,,,81-79,2,K. Martin makes 2-pt shot from 12 ft
0:00.0,M. Chalmers misses 3-pt shot from 23 ft,,81-79,,
0:00.0,Offensive rebound by Team,,81-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,J. Green misses 2-pt shot from 2 ft,,81-79,,
11:38.0,,,81-79,,Defensive rebound by K. Martin
11:33.0,,,81-79,,Turnover by K. Martin (lost ball; steal by J. Green)
11:29.0,J. Green makes 2-pt shot at rim (assist by M. Chalmers),2,83-79,,
11:09.0,,,83-79,,K. Martin misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by M. Barnes,,83-79,,
11:03.0,,,83-79,,Personal foul by A. Miller (drawn by M. Chalmers)
10:47.0,Turnover by J. Green (lost ball; steal by A. Miller),,83-79,,
10:45.0,,,83-79,,Turnover by A. Miller (bad pass; steal by C. Lee)
10:33.0,M. Barnes misses 3-pt shot from 24 ft,,83-79,,
10:29.0,Offensive rebound by Team,,83-79,,
10:22.0,M. Chalmers misses 2-pt shot from 1 ft,,83-79,,
10:21.0,,,83-79,,Defensive rebound by G. Dieng
9:56.0,,,83-81,2,N. Bjelica makes 2-pt shot from 17 ft (assist by K. Martin)
9:33.0,J. Green makes 2-pt shot from 1 ft,2,85-81,,
9:09.0,,,85-81,,S. Muhammad misses 2-pt shot from 7 ft
9:08.0,Defensive rebound by J. Green,,85-81,,
8:56.0,C. Lee misses 2-pt shot from 19 ft,,85-81,,
8:55.0,,,85-81,,Defensive rebound by S. Muhammad
8:51.0,,,85-81,,Minnesota full timeout
8:51.0,,,85-81,,A. Wiggins enters the game for K. Martin
8:51.0,T. Allen enters the game for J. Green,,85-81,,
8:36.0,,,85-83,2,N. Bjelica makes 2-pt shot at rim (assist by A. Miller)
8:18.0,T. Allen makes 2-pt shot from 15 ft (assist by M. Chalmers),2,87-83,,
8:01.0,,,87-83,,Shooting foul by M. Barnes (drawn by G. Dieng)
8:01.0,,,87-84,1,G. Dieng makes free throw 1 of 2
8:01.0,,,87-84,,Z. LaVine enters the game for A. Miller
8:01.0,,,87-85,1,G. Dieng makes free throw 2 of 2
7:49.0,J. Green misses 2-pt shot from 20 ft,,87-85,,
7:48.0,,,87-85,,Defensive rebound by S. Muhammad
7:48.0,Personal foul by T. Allen (drawn by S. Muhammad),,87-85,,
7:48.0,M. Gasol enters the game for M. Barnes,,87-85,,
7:35.0,,,87-85,,Z. LaVine misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by C. Lee,,87-85,,
7:12.0,Turnover by M. Chalmers (turnover),,87-85,,
7:07.0,,,87-85,,Offensive foul by G. Dieng
7:07.0,,,87-85,,Turnover by G. Dieng (offensive foul)
7:07.0,M. Conley enters the game for M. Chalmers,,87-85,,
6:47.0,Turnover by J. Green (3 sec),,87-85,,
6:32.0,,,87-85,,Turnover by G. Dieng (traveling)
6:32.0,Z. Randolph enters the game for J. Green,,87-85,,
6:19.0,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley),2,89-85,,
6:04.0,,,89-85,,Shooting foul by T. Allen (drawn by A. Wiggins)
6:04.0,,,89-86,1,A. Wiggins makes free throw 1 of 2
6:04.0,,,89-86,,K. Towns enters the game for N. Bjelica
6:04.0,,,89-86,,K. Garnett enters the game for G. Dieng
6:04.0,,,89-87,1,A. Wiggins makes free throw 2 of 2
5:45.0,M. Conley misses 2-pt shot from 5 ft,,89-87,,
5:43.0,,,89-87,,Defensive rebound by K. Towns
5:39.0,,,89-87,,Turnover by Z. LaVine (lost ball; steal by M. Conley)
5:34.0,T. Allen misses 2-pt shot from 1 ft,,89-87,,
5:33.0,,,89-87,,Defensive rebound by K. Garnett
5:27.0,,,89-89,2,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine)
5:27.0,Memphis full timeout,,89-89,,
5:12.0,M. Conley makes 3-pt shot from 24 ft,3,92-89,,
4:55.0,Personal foul by C. Lee (drawn by S. Muhammad),,92-89,,
4:39.0,,,92-89,,K. Towns misses 3-pt shot from 30 ft
4:38.0,Defensive rebound by C. Lee,,92-89,,
4:25.0,M. Conley misses 3-pt shot from 25 ft,,92-89,,
4:23.0,,,92-89,,Defensive rebound by Team
4:03.0,,,92-91,2,K. Garnett makes 2-pt shot from 16 ft
3:38.0,M. Conley makes 2-pt shot from 10 ft,2,94-91,,
3:31.0,,,94-91,,Minnesota full timeout
3:31.0,J. Green enters the game for C. Lee,,94-91,,
3:19.0,,,94-91,,Turnover by A. Wiggins (lost ball; steal by Z. Randolph)
3:04.0,M. Conley misses 2-pt shot from 1 ft (block by A. Wiggins),,94-91,,
3:03.0,,,94-91,,Defensive rebound by K. Garnett
3:00.0,,,94-91,,Shooting foul by M. Gasol (drawn by Z. LaVine)
3:00.0,,,94-92,1,Z. LaVine makes free throw 1 of 2
3:00.0,,,94-92,,A. Miller enters the game for S. Muhammad
3:00.0,,,94-93,1,Z. LaVine makes free throw 2 of 2
2:46.0,M. Gasol makes 2-pt shot from 12 ft (assist by M. Conley),2,96-93,,
2:39.0,,,96-93,,Minnesota full timeout
2:33.0,,,96-93,,Z. LaVine misses 2-pt shot from 18 ft
2:32.0,Defensive rebound by Z. Randolph,,96-93,,
2:16.0,Z. Randolph makes 2-pt shot from 1 ft,2,98-93,,
2:00.0,,,98-93,,A. Wiggins misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by Z. Randolph,,98-93,,
1:38.0,J. Green makes 3-pt shot from 22 ft (assist by M. Gasol),3,101-93,,
1:35.0,Personal foul by J. Green (drawn by Z. LaVine),,101-93,,
1:35.0,,,101-94,1,Z. LaVine makes free throw 1 of 2
1:35.0,,,101-95,1,Z. LaVine makes free throw 2 of 2
1:26.0,,,101-95,,Personal foul by A. Miller (drawn by M. Conley)
1:14.0,Shooting foul by A. Wiggins (drawn by M. Conley),,101-95,,
1:14.0,M. Conley makes free throw 1 of 2,1,102-95,,
1:14.0,M. Conley misses free throw 2 of 2,,102-95,,
1:12.0,,,102-95,,Defensive rebound by K. Towns
1:03.0,,,102-95,,Z. LaVine misses 2-pt shot from 19 ft
1:02.0,Defensive rebound by Z. Randolph,,102-95,,
1:02.0,,,102-95,,Personal take foul by A. Miller (drawn by Z. Randolph)
1:02.0,Z. Randolph makes free throw 1 of 2,1,103-95,,
1:02.0,,,103-95,,N. Bjelica enters the game for K. Garnett
1:02.0,Z. Randolph makes free throw 2 of 2,1,104-95,,
0:47.0,,,104-97,2,Z. LaVine makes 2-pt shot from 3 ft
0:45.0,,,104-97,,Personal take foul by K. Towns (drawn by J. Green)
0:45.0,J. Green makes free throw 1 of 2,1,105-97,,
0:45.0,M. Chalmers enters the game for Z. Randolph,,105-97,,
0:45.0,J. Green makes free throw 2 of 2,1,106-97,,
0:37.0,,,106-97,,A. Miller misses 2-pt shot from 15 ft
0:36.0,,,106-97,,Offensive rebound by K. Towns
0:34.0,,,106-99,2,K. Towns makes 2-pt shot at rim
0:32.0,,,106-99,,Personal take foul by K. Towns (drawn by M. Chalmers)
0:32.0,M. Chalmers makes free throw 1 of 2,1,107-99,,
0:32.0,M. Chalmers makes free throw 2 of 2,1,108-99,,
0:27.0,,,108-99,,Shooting foul by M. Gasol (drawn by Z. LaVine)
0:27.0,,,108-99,,Z. LaVine misses free throw 1 of 2
0:27.0,,,108-99,,Offensive rebound by Team
0:27.0,,,108-100,1,Z. LaVine makes free throw 2 of 2
0:27.0,,,108-100,,Personal take foul by Z. LaVine (drawn by M. Chalmers)
0:27.0,M. Chalmers makes free throw 1 of 2,1,109-100,,
0:27.0,M. Chalmers makes free throw 2 of 2,1,110-100,,
0:22.0,,,110-103,3,Z. LaVine makes 3-pt shot from 24 ft
0:21.0,,,110-103,,Personal take foul by N. Bjelica (drawn by J. Green)
0:21.0,J. Green makes free throw 1 of 2,1,111-103,,
0:21.0,J. Green makes free throw 2 of 2,1,112-103,,
0:16.0,,,112-106,3,Z. LaVine makes 3-pt shot from 24 ft
0:14.0,,,112-106,,Personal take foul by N. Bjelica (drawn by M. Chalmers)
0:14.0,M. Chalmers makes free throw 1 of 2,1,113-106,,
0:14.0,M. Chalmers makes free throw 2 of 2,1,114-106,,
0:08.0,,,114-106,,Z. LaVine misses 3-pt shot from 31 ft
