time,Atlanta,pts.away,score,pts.home,Golden State
0:26.0,,,46-58,,L. Barbosa enters the game for K. Thompson
0:26.0,K. Korver enters the game for T. Sefolosha,,46-58,,
0:26.0,,,46-59,1,I. Clark makes free throw 2 of 2
0:08.0,A. Horford makes 2-pt shot from 17 ft (assist by J. Teague),2,48-59,,
0:01.0,,,48-59,,J. McAdoo misses 2-pt shot from 4 ft (block by P. Millsap)
0:00.0,,,48-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,48-59,,K. Thompson misses 2-pt shot from 17 ft
11:38.0,Defensive rebound by A. Horford,,48-59,,
11:23.0,A. Horford makes 2-pt shot from 11 ft,2,50-59,,
11:04.0,,,50-59,,K. Thompson misses 2-pt shot from 18 ft
11:04.0,Defensive rebound by P. Millsap,,50-59,,
10:42.0,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague),3,53-59,,
10:18.0,,,53-59,,S. Livingston misses 2-pt shot from 14 ft
10:16.0,Defensive rebound by K. Korver,,53-59,,
9:57.0,Turnover by J. Teague (bad pass; steal by D. Green),,53-59,,
9:50.0,,,53-59,,K. Thompson misses 2-pt shot from 1 ft
9:50.0,Defensive rebound by A. Horford,,53-59,,
9:48.0,,,53-59,,Personal foul by S. Livingston (drawn by A. Horford)
9:41.0,K. Korver misses 3-pt shot from 27 ft,,53-59,,
9:40.0,,,53-59,,Defensive rebound by D. Green
9:31.0,,,53-62,3,K. Thompson makes 3-pt shot from 24 ft (assist by H. Barnes)
9:17.0,P. Millsap misses 2-pt shot from 2 ft,,53-62,,
9:16.0,Offensive rebound by P. Millsap,,53-62,,
9:16.0,P. Millsap makes 2-pt shot from 2 ft,2,55-62,,
8:59.0,,,55-65,3,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green)
8:41.0,P. Millsap misses 2-pt shot from 10 ft,,55-65,,
8:40.0,,,55-65,,Defensive rebound by A. Bogut
8:31.0,,,55-65,,Turnover by K. Thompson (bad pass; steal by K. Bazemore)
8:23.0,K. Korver makes 3-pt shot from 23 ft (assist by P. Millsap),3,58-65,,
8:07.0,,,58-65,,K. Thompson misses 3-pt shot from 23 ft
8:04.0,,,58-65,,Offensive rebound by H. Barnes
8:04.0,,,58-65,,H. Barnes misses 2-pt shot from 1 ft
8:03.0,,,58-65,,Offensive rebound by H. Barnes
7:57.0,,,58-65,,Turnover by H. Barnes (bad pass; steal by P. Millsap)
7:50.0,,,58-65,,Personal foul by D. Green (drawn by A. Horford)
7:42.0,A. Horford misses 2-pt shot from 20 ft,,58-65,,
7:41.0,,,58-65,,Defensive rebound by K. Thompson
7:33.0,,,58-65,,K. Thompson misses 3-pt shot from 26 ft
7:32.0,Defensive rebound by P. Millsap,,58-65,,
7:22.0,P. Millsap misses 2-pt shot from 3 ft (block by A. Bogut),,58-65,,
7:21.0,Offensive rebound by P. Millsap,,58-65,,
7:14.0,K. Bazemore misses 3-pt shot from 25 ft,,58-65,,
7:13.0,,,58-65,,Defensive rebound by S. Livingston
7:04.0,,,58-65,,D. Green misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by A. Horford,,58-65,,
6:53.0,P. Millsap misses 3-pt shot from 23 ft,,58-65,,
6:51.0,,,58-65,,Defensive rebound by K. Thompson
6:44.0,,,58-65,,Golden State full timeout
6:44.0,T. Sefolosha enters the game for K. Bazemore,,58-65,,
6:37.0,,,58-67,2,A. Bogut makes 2-pt shot at rim (assist by K. Thompson)
6:20.0,A. Horford makes 2-pt shot from 13 ft (assist by J. Teague),2,60-67,,
6:07.0,,,60-69,2,A. Bogut makes 2-pt shot at rim (assist by S. Livingston)
5:51.0,Turnover by J. Teague (bad pass; steal by D. Green),,60-69,,
5:39.0,,,60-69,,Turnover by D. Green (bad pass)
5:39.0,M. Scott enters the game for A. Horford,,60-69,,
5:26.0,Turnover by J. Teague (lost ball; steal by K. Thompson),,60-69,,
5:21.0,,,60-71,2,H. Barnes makes 2-pt shot from 2 ft (assist by K. Thompson)
5:11.0,Shooting foul by D. Green (drawn by P. Millsap),,60-71,,
5:11.0,P. Millsap makes free throw 1 of 2,1,61-71,,
5:11.0,,,61-71,,I. Clark enters the game for S. Livingston
5:11.0,,,61-71,,J. McAdoo enters the game for A. Bogut
5:11.0,D. Schroder enters the game for J. Teague,,61-71,,
5:11.0,P. Millsap makes free throw 2 of 2,1,62-71,,
5:00.0,,,62-71,,K. Thompson misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by K. Korver,,62-71,,
4:36.0,P. Millsap misses 2-pt shot from 11 ft,,62-71,,
4:36.0,,,62-71,,Defensive rebound by I. Clark
4:31.0,,,62-71,,I. Clark misses 2-pt shot from 2 ft (block by P. Millsap)
4:29.0,,,62-71,,Offensive rebound by J. McAdoo
4:28.0,,,62-71,,Turnover by J. McAdoo (lost ball; steal by P. Millsap)
4:07.0,Turnover by P. Millsap (lost ball),,62-71,,
3:47.0,,,62-71,,J. McAdoo misses 2-pt shot from 3 ft (block by P. Millsap)
3:45.0,Defensive rebound by D. Schroder,,62-71,,
3:30.0,M. Scott misses 3-pt shot from 23 ft,,62-71,,
3:29.0,,,62-71,,Defensive rebound by K. Thompson
3:14.0,,,62-71,,I. Clark misses 3-pt shot from 22 ft
3:12.0,,,62-71,,Offensive rebound by J. McAdoo
3:12.0,,,62-73,2,J. McAdoo makes 2-pt shot at rim
3:12.0,Atlanta full timeout,,62-73,,
3:12.0,,,62-73,,B. Rush enters the game for H. Barnes
2:57.0,M. Scott makes 3-pt shot from 22 ft (assist by D. Schroder),3,65-73,,
2:40.0,,,65-73,,Turnover by I. Clark (bad pass; steal by K. Korver)
2:29.0,D. Schroder makes 3-pt shot from 25 ft (assist by P. Millsap),3,68-73,,
2:09.0,,,68-73,,Turnover by K. Thompson (lost ball; steal by M. Scott)
1:52.0,P. Millsap makes 2-pt shot from 6 ft (assist by K. Korver),2,70-73,,
1:28.0,,,70-73,,K. Thompson misses 3-pt shot from 25 ft
1:27.0,,,70-73,,Offensive rebound by B. Rush
1:10.0,,,70-73,,D. Green misses 2-pt shot at rim (block by P. Millsap)
1:07.0,Defensive rebound by Team,,70-73,,
1:07.0,T. Hardaway enters the game for K. Korver,,70-73,,
0:56.0,Offensive foul by D. Schroder,,70-73,,
0:56.0,Turnover by D. Schroder (offensive foul),,70-73,,
0:56.0,,,70-73,,L. Barbosa enters the game for K. Thompson
0:56.0,,,70-73,,M. Speights enters the game for J. McAdoo
0:56.0,A. Horford enters the game for P. Millsap,,70-73,,
0:35.0,,,70-73,,B. Rush misses 3-pt shot from 23 ft
0:34.0,,,70-73,,Offensive rebound by M. Speights
0:31.0,,,70-73,,M. Speights misses 2-pt shot from 1 ft
0:31.0,Defensive rebound by Team,,70-73,,
0:09.0,Turnover by D. Schroder (bad pass),,70-73,,
0:00.0,,,70-75,2,L. Barbosa makes 2-pt shot from 19 ft (assist by M. Speights)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,D. Schroder makes 2-pt shot from 18 ft,2,72-75,,
11:32.0,,,72-75,,M. Speights misses 2-pt shot from 2 ft
11:31.0,,,72-75,,Offensive rebound by Team
11:31.0,,,72-75,,Golden State full timeout
11:14.0,,,72-75,,M. Speights misses 2-pt shot from 3 ft
11:12.0,,,72-75,,Offensive rebound by H. Barnes
11:12.0,,,72-77,2,H. Barnes makes 2-pt shot from 2 ft
10:53.0,,,72-77,,Personal foul by B. Rush (drawn by T. Hardaway)
10:53.0,T. Hardaway misses free throw 1 of 2,,72-77,,
10:53.0,Offensive rebound by Team,,72-77,,
10:53.0,T. Hardaway makes free throw 2 of 2,1,73-77,,
10:38.0,,,73-79,2,H. Barnes makes 2-pt shot from 1 ft (assist by L. Barbosa)
10:21.0,A. Horford makes 2-pt shot from 7 ft (assist by D. Schroder),2,75-79,,
10:11.0,,,75-82,3,M. Speights makes 3-pt shot from 25 ft (assist by S. Livingston)
9:56.0,Turnover by T. Hardaway (bad pass; steal by L. Barbosa),,75-82,,
9:42.0,,,75-82,,L. Barbosa misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by A. Horford,,75-82,,
9:27.0,K. Bazemore makes 2-pt shot from 2 ft (assist by A. Horford),2,77-82,,
9:11.0,,,77-85,3,M. Speights makes 3-pt shot from 25 ft (assist by B. Rush)
9:10.0,Atlanta full timeout,,77-85,,
9:02.0,Shooting foul by B. Rush (drawn by D. Schroder),,77-85,,
9:02.0,D. Schroder makes free throw 1 of 2,1,78-85,,
9:02.0,D. Schroder makes free throw 2 of 2,1,79-85,,
8:48.0,,,79-85,,L. Barbosa misses 3-pt shot from 23 ft
8:47.0,Defensive rebound by K. Bazemore,,79-85,,
8:37.0,A. Horford makes 2-pt shot at rim (assist by K. Bazemore),2,81-85,,
8:24.0,,,81-87,2,S. Livingston makes 2-pt shot from 1 ft
8:01.0,T. Hardaway makes 3-pt shot from 26 ft (assist by D. Schroder),3,84-87,,
7:38.0,,,84-87,,M. Speights misses 2-pt shot from 16 ft
7:37.0,Defensive rebound by A. Horford,,84-87,,
7:25.0,K. Bazemore makes 2-pt shot from 3 ft,2,86-87,,
7:12.0,,,86-87,,Offensive foul by H. Barnes
7:12.0,,,86-87,,Turnover by H. Barnes (offensive foul)
7:12.0,,,86-87,,K. Thompson enters the game for S. Livingston
7:12.0,,,86-87,,A. Bogut enters the game for M. Speights
7:12.0,T. Sefolosha enters the game for K. Bazemore,,86-87,,
7:12.0,P. Millsap enters the game for M. Scott,,86-87,,
6:58.0,T. Hardaway makes 2-pt shot from 18 ft (assist by A. Horford),2,88-87,,
6:34.0,,,88-87,,H. Barnes misses 2-pt shot from 11 ft
6:34.0,,,88-87,,Offensive rebound by Team
6:34.0,,,88-87,,D. Green enters the game for H. Barnes
6:30.0,,,88-87,,K. Thompson misses 3-pt shot from 23 ft
6:30.0,Defensive rebound by T. Sefolosha,,88-87,,
6:20.0,A. Horford misses 3-pt shot from 25 ft,,88-87,,
6:20.0,,,88-87,,Defensive rebound by K. Thompson
6:04.0,,,88-87,,D. Green misses 3-pt shot from 24 ft
6:03.0,Defensive rebound by D. Schroder,,88-87,,
5:59.0,A. Horford makes 2-pt shot at rim (assist by D. Schroder),2,90-87,,
5:34.0,,,90-87,,K. Thompson misses 2-pt shot from 13 ft
5:33.0,,,90-87,,Offensive rebound by Team
5:33.0,,,90-87,,Turnover by Team (shot clock)
5:33.0,Official timeout,,90-87,,
5:33.0,,,90-87,,H. Barnes enters the game for B. Rush
5:17.0,Turnover by A. Horford (traveling),,90-87,,
4:55.0,,,90-89,2,D. Green makes 2-pt shot at rim (assist by A. Bogut)
4:55.0,,,90-89,,Shooting foul by P. Millsap (drawn by D. Green)
4:55.0,,,90-90,1,D. Green makes free throw 1 of 1
4:41.0,A. Horford misses 2-pt shot from 16 ft,,90-90,,
4:40.0,,,90-90,,Defensive rebound by D. Green
4:19.0,,,90-90,,L. Barbosa misses 2-pt shot from 15 ft
4:18.0,Defensive rebound by T. Hardaway,,90-90,,
4:14.0,T. Hardaway misses 2-pt shot from 1 ft (block by D. Green),,90-90,,
4:12.0,,,90-90,,Defensive rebound by D. Green
4:01.0,,,90-90,,H. Barnes misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by T. Sefolosha,,90-90,,
3:59.0,,,90-90,,Personal foul by A. Bogut (drawn by T. Sefolosha)
3:59.0,,,90-90,,S. Livingston enters the game for L. Barbosa
3:59.0,K. Korver enters the game for T. Hardaway,,90-90,,
3:59.0,K. Bazemore enters the game for T. Sefolosha,,90-90,,
3:49.0,,,90-90,,Personal foul by S. Livingston (drawn by D. Schroder)
3:36.0,K. Bazemore misses 2-pt shot from 6 ft,,90-90,,
3:35.0,Offensive rebound by K. Bazemore,,90-90,,
3:23.0,D. Schroder misses 3-pt shot from 25 ft,,90-90,,
3:22.0,,,90-90,,Defensive rebound by H. Barnes
3:14.0,Personal foul by K. Bazemore (drawn by D. Green),,90-90,,
3:14.0,,,90-90,,Golden State full timeout
3:14.0,T. Sefolosha enters the game for K. Korver,,90-90,,
3:14.0,Away from play foul by A. Horford (drawn by A. Bogut),,90-90,,
3:14.0,,,90-91,1,A. Bogut makes free throw 1 of 2
3:14.0,K. Korver enters the game for T. Sefolosha,,90-91,,
3:14.0,,,90-92,1,A. Bogut makes free throw 2 of 2
3:06.0,P. Millsap misses 3-pt shot from 24 ft,,90-92,,
3:05.0,,,90-92,,Defensive rebound by A. Bogut
2:47.0,,,90-92,,D. Green misses 3-pt shot from 26 ft
2:46.0,Defensive rebound by K. Korver,,90-92,,
2:32.0,A. Horford misses 2-pt shot from 8 ft,,90-92,,
2:32.0,,,90-92,,Defensive rebound by Team
2:32.0,Loose ball foul by P. Millsap (drawn by D. Green),,90-92,,
2:20.0,,,90-92,,S. Livingston misses 2-pt shot from 13 ft
2:20.0,,,90-92,,Offensive rebound by A. Bogut
2:20.0,Personal foul by K. Korver (drawn by A. Bogut),,90-92,,
