time,Charlotte,pts.away,score,pts.home,Philadelphia
5:42.0,K. Walker misses 2-pt shot from 16 ft,,16-16,,
5:41.0,,,16-16,,Defensive rebound by R. Holmes
5:33.0,,,16-16,,R. Holmes misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by M. Williams,,16-16,,
5:20.0,N. Batum misses 2-pt shot from 20 ft,,16-16,,
5:18.0,,,16-16,,Defensive rebound by R. Holmes
5:14.0,,,16-18,2,J. Grant makes 2-pt shot from 10 ft
4:48.0,Shooting foul by I. Canaan (drawn by C. Lee),,16-18,,
4:48.0,C. Lee makes free throw 1 of 2,1,17-18,,
4:48.0,,,17-18,,N. Stauskas enters the game for I. Canaan
4:48.0,C. Lee makes free throw 2 of 2,1,18-18,,
4:32.0,J. Lin enters the game for C. Lee,,18-18,,
4:27.0,,,18-18,,I. Smith misses 2-pt shot from 17 ft
4:26.0,Defensive rebound by N. Batum,,18-18,,
4:07.0,Shooting foul by J. Grant (drawn by J. Lin),,18-18,,
4:07.0,J. Lin makes free throw 1 of 2,1,19-18,,
4:07.0,J. Lin makes free throw 2 of 2,1,20-18,,
3:49.0,,,20-18,,N. Stauskas misses 3-pt shot from 23 ft
3:48.0,,,20-18,,Offensive rebound by R. Holmes
3:38.0,,,20-18,,J. Grant misses 2-pt shot from 2 ft (block by M. Williams)
3:36.0,Defensive rebound by K. Walker,,20-18,,
3:31.0,N. Batum misses 3-pt shot from 25 ft,,20-18,,
3:30.0,,,20-18,,Defensive rebound by I. Smith
3:16.0,,,20-21,3,J. Grant makes 3-pt shot from 25 ft (assist by R. Covington)
3:06.0,Charlotte full timeout,,20-21,,
3:06.0,,,20-21,,T. McConnell enters the game for I. Smith
3:06.0,,,20-21,,H. Thompson enters the game for R. Covington
3:06.0,J. Lamb enters the game for N. Batum,,20-21,,
3:00.0,A. Jefferson makes 2-pt shot from 2 ft (assist by J. Lin),2,22-21,,
2:41.0,,,22-21,,R. Holmes misses 2-pt shot from 2 ft (block by A. Jefferson)
2:41.0,,,22-21,,Offensive rebound by Team
2:34.0,,,22-21,,H. Thompson misses 2-pt shot from 18 ft
2:33.0,Defensive rebound by J. Lin,,22-21,,
2:26.0,,,22-21,,Violation by R. Holmes (def goaltending)
2:26.0,J. Lin makes 2-pt shot from 2 ft,2,24-21,,
2:09.0,,,24-24,3,H. Thompson makes 3-pt shot from 23 ft (assist by T. McConnell)
1:50.0,J. Lin makes 2-pt shot from 15 ft,2,26-24,,
1:38.0,,,26-24,,R. Holmes misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by K. Walker,,26-24,,
1:27.0,A. Jefferson makes 2-pt shot from 8 ft,2,28-24,,
1:27.0,Shooting foul by R. Holmes (drawn by A. Jefferson),,28-24,,
1:27.0,F. Kaminsky enters the game for M. Williams,,28-24,,
1:27.0,,,28-24,,C. Landry enters the game for J. Grant
1:27.0,A. Jefferson makes free throw 1 of 1,1,29-24,,
1:18.0,,,29-24,,H. Thompson misses 3-pt shot from 24 ft
1:17.0,Defensive rebound by A. Jefferson,,29-24,,
1:12.0,J. Lin misses 2-pt shot from 1 ft,,29-24,,
1:09.0,,,29-24,,Defensive rebound by H. Thompson
0:59.0,,,29-26,2,H. Thompson makes 2-pt shot from 7 ft (assist by T. McConnell)
0:59.0,,,29-26,,Shooting foul by J. Lamb (drawn by H. Thompson)
0:59.0,,,29-27,1,H. Thompson makes free throw 1 of 1
0:47.0,Turnover by A. Jefferson (lost ball; steal by N. Stauskas),,29-27,,
0:46.0,Personal foul by F. Kaminsky (drawn by T. McConnell),,29-27,,
0:46.0,,,29-28,1,T. McConnell makes free throw 1 of 2
0:46.0,,,29-29,1,T. McConnell makes free throw 2 of 2
0:36.0,Shooting foul by T. McConnell (drawn by K. Walker),,29-29,,
0:36.0,K. Walker misses free throw 1 of 2,,29-29,,
0:36.0,Offensive rebound by Team,,29-29,,
0:36.0,K. Walker makes free throw 2 of 2,1,30-29,,
0:29.0,,,30-29,,C. Landry misses 2-pt shot from 20 ft
0:27.0,Defensive rebound by J. Lin,,30-29,,
0:07.0,J. Lin makes 2-pt shot from 13 ft,2,32-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Shooting foul by R. Holmes (drawn by A. Jefferson),,32-29,,
11:41.0,A. Jefferson misses free throw 1 of 2,,32-29,,
11:41.0,Offensive rebound by Team,,32-29,,
11:41.0,A. Jefferson makes free throw 2 of 2,1,33-29,,
11:32.0,Personal foul by A. Jefferson (drawn by R. Holmes),,33-29,,
11:22.0,,,33-31,2,C. Landry makes 2-pt shot from 20 ft (assist by T. McConnell)
11:07.0,F. Kaminsky misses 3-pt shot from 24 ft,,33-31,,
11:06.0,,,33-31,,Defensive rebound by T. McConnell
10:58.0,,,33-31,,Shooting foul by F. Kaminsky (drawn by C. Landry)
10:58.0,,,33-32,1,C. Landry makes free throw 1 of 2
10:58.0,,,33-32,,N. Noel enters the game for R. Holmes
10:58.0,,,33-33,1,C. Landry makes free throw 2 of 2
10:47.0,,,33-33,,Personal foul by T. McConnell (drawn by A. Jefferson)
10:37.0,N. Batum misses 2-pt shot from 17 ft,,33-33,,
10:36.0,,,33-33,,Defensive rebound by N. Stauskas
10:27.0,,,33-33,,C. Landry misses 2-pt shot from 17 ft
10:26.0,Defensive rebound by A. Jefferson,,33-33,,
10:20.0,Offensive foul by J. Lin,,33-33,,
10:20.0,Turnover by J. Lin (offensive foul),,33-33,,
10:02.0,,,33-33,,N. Stauskas misses 3-pt shot from 23 ft
10:00.0,Defensive rebound by A. Jefferson,,33-33,,
9:53.0,N. Batum makes 2-pt shot from 18 ft,2,35-33,,
9:41.0,,,35-35,2,N. Noel makes 2-pt shot from 19 ft (assist by T. McConnell)
9:28.0,N. Batum makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,38-35,,
9:21.0,,,38-35,,Philadelphia full timeout
9:09.0,,,38-38,3,H. Thompson makes 3-pt shot from 25 ft (assist by T. McConnell)
8:52.0,J. Lin makes 2-pt shot at rim (assist by N. Batum),2,40-38,,
8:33.0,,,40-38,,N. Stauskas misses 3-pt shot from 23 ft
8:32.0,Defensive rebound by F. Kaminsky,,40-38,,
8:16.0,F. Kaminsky makes 2-pt shot at rim,2,42-38,,
7:57.0,,,42-40,2,N. Noel makes 2-pt shot at rim (assist by H. Thompson)
7:41.0,J. Lin misses 3-pt shot from 25 ft,,42-40,,
7:40.0,,,42-40,,Defensive rebound by Team
7:40.0,C. Zeller enters the game for A. Jefferson,,42-40,,
7:40.0,,,42-40,,I. Canaan enters the game for N. Stauskas
7:22.0,,,42-40,,T. McConnell misses 2-pt shot from 1 ft
7:21.0,Defensive rebound by F. Kaminsky,,42-40,,
7:09.0,J. Lamb misses 2-pt shot from 7 ft,,42-40,,
7:08.0,,,42-40,,Defensive rebound by N. Noel
7:00.0,,,42-40,,I. Canaan misses 3-pt shot from 23 ft
6:58.0,Defensive rebound by F. Kaminsky,,42-40,,
6:54.0,Turnover by J. Lin (lost ball; steal by C. Landry),,42-40,,
6:45.0,,,42-40,,H. Thompson misses 3-pt shot from 25 ft
6:44.0,Defensive rebound by J. Lamb,,42-40,,
6:36.0,J. Lamb misses 2-pt shot from 16 ft,,42-40,,
6:34.0,,,42-40,,Defensive rebound by Team
6:34.0,C. Lee enters the game for J. Lamb,,42-40,,
6:34.0,,,42-40,,R. Covington enters the game for H. Thompson
6:17.0,,,42-42,2,C. Landry makes 2-pt shot at rim (assist by N. Noel)
5:57.0,F. Kaminsky misses 3-pt shot from 28 ft,,42-42,,
5:55.0,Offensive rebound by J. Lin,,42-42,,
5:45.0,C. Zeller makes 2-pt shot at rim (assist by J. Lin),2,44-42,,
5:32.0,,,44-42,,Turnover by T. McConnell (lost ball)
5:32.0,Official timeout,,44-42,,
5:32.0,K. Walker enters the game for J. Lin,,44-42,,
5:32.0,M. Williams enters the game for F. Kaminsky,,44-42,,
5:32.0,,,44-42,,J. Grant enters the game for T. McConnell
5:32.0,,,44-42,,I. Smith enters the game for C. Landry
5:16.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,46-42,,
4:59.0,,,46-45,3,R. Covington makes 3-pt shot from 26 ft (assist by I. Smith)
4:35.0,M. Williams makes 2-pt shot from 7 ft (assist by K. Walker),2,48-45,,
4:26.0,Shooting block foul by C. Zeller (drawn by N. Noel),,48-45,,
4:26.0,,,48-46,1,N. Noel makes free throw 1 of 2
4:26.0,,,48-46,,N. Noel misses free throw 2 of 2
4:24.0,,,48-46,,Offensive rebound by R. Covington
4:13.0,,,48-46,,Turnover by I. Canaan (bad pass; steal by K. Walker)
4:09.0,K. Walker makes 2-pt shot at rim,2,50-46,,
3:55.0,Def 3 sec tech foul by C. Zeller,,50-46,,
3:55.0,,,50-47,1,I. Canaan makes technical free throw
3:45.0,,,50-47,,J. Grant misses 2-pt shot from 1 ft
3:44.0,Defensive rebound by C. Lee,,50-47,,
3:36.0,M. Williams misses 3-pt shot from 26 ft,,50-47,,
3:35.0,,,50-47,,Defensive rebound by J. Grant
3:19.0,,,50-47,,J. Grant misses 3-pt shot from 22 ft
3:18.0,Defensive rebound by N. Batum,,50-47,,
3:00.0,M. Williams makes 2-pt shot from 1 ft (assist by C. Lee),2,52-47,,
2:36.0,,,52-50,3,I. Canaan makes 3-pt shot from 25 ft
2:18.0,Shooting foul by N. Noel (drawn by C. Zeller),,52-50,,
2:18.0,Charlotte full timeout,,52-50,,
2:18.0,,,52-50,,R. Holmes enters the game for N. Noel
2:18.0,C. Zeller makes free throw 1 of 2,1,53-50,,
2:18.0,C. Zeller makes free throw 2 of 2,1,54-50,,
1:57.0,,,54-50,,I. Smith misses 2-pt shot from 4 ft (block by M. Williams)
1:57.0,,,54-50,,Offensive rebound by Team
1:54.0,,,54-50,,R. Covington misses 2-pt shot from 2 ft (block by C. Zeller)
1:52.0,Defensive rebound by C. Zeller,,54-50,,
1:50.0,C. Zeller misses 2-pt shot at rim,,54-50,,
1:45.0,,,54-50,,Defensive rebound by J. Grant
1:33.0,,,54-50,,R. Covington misses 3-pt shot from 26 ft
1:31.0,Defensive rebound by C. Lee,,54-50,,
1:26.0,C. Lee makes 2-pt shot from 1 ft (assist by N. Batum),2,56-50,,
1:03.0,,,56-50,,I. Smith misses 2-pt shot from 14 ft
1:02.0,Defensive rebound by N. Batum,,56-50,,
0:49.0,K. Walker misses 2-pt shot from 15 ft,,56-50,,
0:48.0,,,56-50,,Defensive rebound by I. Smith
0:42.0,,,56-50,,I. Smith misses 2-pt shot from 6 ft (block by C. Zeller)
0:39.0,Defensive rebound by M. Williams,,56-50,,
0:33.0,K. Walker misses 2-pt shot from 1 ft (block by R. Holmes),,56-50,,
0:32.0,Offensive rebound by Team,,56-50,,
0:29.0,K. Walker misses 3-pt shot from 27 ft,,56-50,,
0:27.0,,,56-50,,Defensive rebound by R. Covington
0:23.0,,,56-50,,Philadelphia full timeout
0:14.0,,,56-50,,Turnover by I. Smith (bad pass; steal by K. Walker)
0:11.0,K. Walker makes 2-pt shot from 2 ft,2,58-50,,
0:01.0,,,58-50,,R. Covington misses 2-pt shot from 2 ft
0:00.0,,,58-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Turnover by M. Williams (traveling),,58-50,,
11:31.0,,,58-50,,Turnover by R. Covington (lost ball; steal by C. Lee)
11:14.0,M. Williams makes 2-pt shot from 1 ft (assist by C. Lee),2,60-50,,
10:46.0,,,60-50,,I. Canaan misses 3-pt shot from 27 ft
10:44.0,Defensive rebound by K. Walker,,60-50,,
10:36.0,K. Walker misses 3-pt shot from 25 ft,,60-50,,
10:33.0,,,60-50,,Defensive rebound by J. Grant
10:18.0,,,60-50,,I. Canaan misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by M. Williams,,60-50,,
10:08.0,Shooting foul by R. Covington (drawn by C. Lee),,60-50,,
10:08.0,C. Lee makes free throw 1 of 2,1,61-50,,
10:08.0,C. Lee makes free throw 2 of 2,1,62-50,,
9:57.0,,,62-50,,N. Noel misses 2-pt shot from 17 ft
9:55.0,Defensive rebound by M. Williams,,62-50,,
9:46.0,C. Zeller makes 2-pt shot from 17 ft,2,64-50,,
9:45.0,,,64-50,,Philadelphia full timeout
9:35.0,,,64-50,,N. Noel misses 2-pt shot from 8 ft
9:32.0,,,64-50,,Offensive rebound by N. Noel
9:32.0,,,64-52,2,N. Noel makes 2-pt shot from 2 ft
9:17.0,N. Batum misses 2-pt shot from 3 ft,,64-52,,
9:16.0,,,64-52,,Defensive rebound by R. Covington
9:10.0,,,64-55,3,R. Covington makes 3-pt shot from 26 ft (assist by I. Smith)
8:55.0,K. Walker makes 2-pt shot from 1 ft,2,66-55,,
8:44.0,,,66-57,2,I. Canaan makes 2-pt shot at rim (assist by N. Noel)
8:29.0,N. Batum misses 3-pt shot from 25 ft,,66-57,,
8:27.0,,,66-57,,Defensive rebound by J. Grant
8:11.0,,,66-59,2,J. Grant makes 2-pt shot from 1 ft (assist by I. Smith)
7:52.0,C. Lee misses 2-pt shot at rim (block by J. Grant),,66-59,,
7:50.0,,,66-59,,Defensive rebound by R. Covington
7:37.0,Personal foul by C. Lee (drawn by R. Covington),,66-59,,
7:26.0,,,66-59,,R. Covington misses 3-pt shot from 24 ft
7:25.0,,,66-59,,Offensive rebound by Team
7:25.0,Loose ball foul by C. Zeller (drawn by N. Noel),,66-59,,
7:06.0,,,66-59,,Shooting foul by C. Lee (drawn by N. Noel)
7:06.0,,,66-60,1,N. Noel makes free throw 1 of 2
7:06.0,,,66-61,1,N. Noel makes free throw 2 of 2
6:49.0,N. Batum misses 3-pt shot from 25 ft,,66-61,,
6:47.0,,,66-61,,Defensive rebound by I. Smith
6:26.0,,,66-64,3,I. Smith makes 3-pt shot from 25 ft
6:10.0,Shooting foul by J. Grant (drawn by K. Walker),,66-64,,
6:10.0,K. Walker misses free throw 1 of 2,,66-64,,
6:10.0,Offensive rebound by Team,,66-64,,
6:10.0,K. Walker makes free throw 2 of 2,1,67-64,,
5:56.0,,,67-64,,N. Noel misses 2-pt shot from 7 ft
5:56.0,Defensive rebound by Team,,67-64,,
5:56.0,,,67-64,,Loose ball foul by N. Noel (drawn by M. Williams)
5:56.0,,,67-64,,R. Holmes enters the game for N. Noel
5:44.0,K. Walker misses 2-pt shot from 15 ft,,67-64,,
5:42.0,,,67-64,,Defensive rebound by R. Covington
5:33.0,,,67-67,3,I. Canaan makes 3-pt shot from 25 ft (assist by I. Smith)
5:32.0,Charlotte full timeout,,67-67,,
5:32.0,A. Jefferson enters the game for C. Zeller,,67-67,,
5:20.0,K. Walker misses 3-pt shot from 26 ft,,67-67,,
5:18.0,,,67-67,,Defensive rebound by R. Holmes
5:02.0,,,67-67,,Shooting foul by N. Batum (drawn by R. Covington)
5:02.0,,,67-67,,R. Covington misses free throw 1 of 2
5:02.0,,,67-67,,Offensive rebound by Team
5:02.0,,,67-68,1,R. Covington makes free throw 2 of 2
4:50.0,,,67-68,,Personal foul by R. Covington (drawn by M. Williams)
4:40.0,Turnover by C. Lee (traveling),,67-68,,
4:24.0,,,67-70,2,I. Smith makes 2-pt shot from 12 ft
3:59.0,K. Walker makes 2-pt shot from 1 ft,2,69-70,,
3:53.0,,,69-70,,I. Smith misses 2-pt shot from 2 ft
3:51.0,Defensive rebound by K. Walker,,69-70,,
3:43.0,C. Lee makes 3-pt shot from 23 ft (assist by N. Batum),3,72-70,,
3:20.0,,,72-70,,Turnover by R. Covington (traveling)
3:20.0,,,72-70,,T. McConnell enters the game for I. Canaan
3:20.0,,,72-70,,H. Thompson enters the game for I. Smith
3:20.0,J. Lin enters the game for N. Batum,,72-70,,
3:07.0,K. Walker makes 3-pt shot from 24 ft,3,75-70,,
2:48.0,,,75-70,,Turnover by R. Covington (bad pass; steal by M. Williams)
2:45.0,M. Williams misses 2-pt shot from 1 ft (block by R. Covington),,75-70,,
2:43.0,Offensive rebound by M. Williams,,75-70,,
2:41.0,M. Williams misses 2-pt shot from 2 ft,,75-70,,
2:40.0,,,75-70,,Defensive rebound by T. McConnell
2:33.0,,,75-70,,Turnover by R. Holmes (lost ball; steal by A. Jefferson)
2:32.0,,,75-70,,Personal foul by R. Covington (drawn by J. Lin)
2:32.0,J. Lin makes free throw 1 of 2,1,76-70,,
2:32.0,F. Kaminsky enters the game for M. Williams,,76-70,,
2:32.0,,,76-70,,C. Landry enters the game for J. Grant
2:32.0,,,76-70,,N. Stauskas enters the game for R. Covington
2:32.0,J. Lin makes free throw 2 of 2,1,77-70,,
2:27.0,Personal foul by C. Lee (drawn by H. Thompson),,77-70,,
2:27.0,,,77-70,,H. Thompson misses free throw 1 of 2
2:27.0,,,77-70,,Offensive rebound by Team
2:27.0,Violation by J. Lin (lane),,77-70,,
2:27.0,,,77-70,,H. Thompson misses free throw 2 of 2
2:26.0,Defensive rebound by A. Jefferson,,77-70,,
2:13.0,K. Walker makes 2-pt shot from 9 ft,2,79-70,,
2:13.0,Shooting foul by T. McConnell (drawn by K. Walker),,79-70,,
2:13.0,J. Lamb enters the game for C. Lee,,79-70,,
2:13.0,K. Walker makes free throw 1 of 1,1,80-70,,
2:02.0,,,80-70,,Shooting foul by A. Jefferson (drawn by H. Thompson)
2:02.0,,,80-70,,H. Thompson misses free throw 1 of 2
2:02.0,,,80-70,,Offensive rebound by Team
2:02.0,,,80-71,1,H. Thompson makes free throw 2 of 2
1:49.0,Shooting foul by H. Thompson (drawn by K. Walker),,80-71,,
1:49.0,K. Walker misses free throw 1 of 2,,80-71,,
1:49.0,Offensive rebound by Team,,80-71,,
1:49.0,K. Walker makes free throw 2 of 2,1,81-71,,
1:36.0,,,81-73,2,T. McConnell makes 2-pt shot from 15 ft
1:19.0,J. Lamb makes 2-pt shot from 17 ft,2,83-73,,
1:07.0,,,83-73,,R. Holmes misses 2-pt shot from 10 ft
1:06.0,,,83-73,,Offensive rebound by R. Holmes
1:04.0,,,83-73,,R. Holmes misses 2-pt shot from 4 ft
1:01.0,Defensive rebound by F. Kaminsky,,83-73,,
0:48.0,K. Walker misses 2-pt shot from 15 ft,,83-73,,
0:46.0,,,83-73,,Defensive rebound by C. Landry
0:35.0,,,83-73,,H. Thompson misses 3-pt shot from 26 ft
0:33.0,,,83-73,,Offensive rebound by R. Holmes
0:23.0,,,83-73,,Shooting foul by A. Jefferson (drawn by C. Landry)
0:23.0,,,83-74,1,C. Landry makes free throw 1 of 2
0:23.0,,,83-74,,J. Grant enters the game for N. Stauskas
0:23.0,,,83-74,,I. Canaan enters the game for H. Thompson
0:23.0,,,83-74,,C. Landry misses free throw 2 of 2
0:22.0,Defensive rebound by A. Jefferson,,83-74,,
0:01.0,K. Walker misses 2-pt shot from 6 ft,,83-74,,
0:01.0,,,83-74,,Defensive rebound by C. Landry
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,83-74,,N. Stauskas misses 2-pt shot from 1 ft
11:41.0,,,83-74,,Offensive rebound by T. McConnell
11:36.0,,,83-74,,H. Thompson misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by J. Lin,,83-74,,
11:34.0,,,83-74,,Loose ball foul by R. Holmes (drawn by J. Lin)
11:34.0,,,83-74,,N. Noel enters the game for R. Holmes
11:12.0,J. Lamb makes 2-pt shot from 17 ft (assist by A. Jefferson),2,85-74,,
10:59.0,Personal foul by J. Lin (drawn by N. Stauskas),,85-74,,
10:59.0,,,85-74,,I. Smith enters the game for T. McConnell
10:47.0,,,85-74,,Turnover by N. Noel (bad pass; steal by F. Kaminsky)
10:40.0,Shooting foul by N. Stauskas (drawn by J. Lin),,85-74,,
10:40.0,J. Lin makes free throw 1 of 2,1,86-74,,
10:40.0,J. Lin makes free throw 2 of 2,1,87-74,,
10:31.0,,,87-76,2,C. Landry makes 2-pt shot from 18 ft (assist by I. Smith)
10:18.0,A. Jefferson misses 2-pt shot from 13 ft,,87-76,,
10:16.0,,,87-76,,Defensive rebound by C. Landry
10:02.0,,,87-78,2,N. Noel makes 2-pt shot from 16 ft (assist by I. Smith)
9:48.0,Turnover by J. Lamb (lost ball; steal by N. Noel),,87-78,,
9:46.0,Personal foul by J. Lin (drawn by N. Noel),,87-78,,
9:31.0,,,87-78,,C. Landry misses 2-pt shot from 15 ft
9:29.0,Defensive rebound by A. Jefferson,,87-78,,
9:16.0,Shooting foul by C. Landry (drawn by K. Walker),,87-78,,
9:16.0,K. Walker makes free throw 1 of 2,1,88-78,,
9:16.0,K. Walker makes free throw 2 of 2,1,89-78,,
9:04.0,,,89-78,,Turnover by I. Smith (bad pass; steal by J. Lamb)
8:53.0,A. Jefferson misses 2-pt shot from 14 ft,,89-78,,
8:51.0,,,89-78,,Defensive rebound by H. Thompson
8:47.0,,,89-78,,Philadelphia full timeout
8:47.0,N. Batum enters the game for K. Walker,,89-78,,
8:47.0,C. Zeller enters the game for A. Jefferson,,89-78,,
8:47.0,,,89-78,,R. Covington enters the game for C. Landry
8:40.0,,,89-78,,Turnover by R. Covington (bad pass)
8:27.0,J. Lamb makes 2-pt shot from 2 ft (assist by F. Kaminsky),2,91-78,,
8:15.0,,,91-78,,N. Noel misses 2-pt shot from 19 ft
8:13.0,Defensive rebound by J. Lamb,,91-78,,
8:05.0,C. Zeller misses 2-pt shot from 1 ft,,91-78,,
8:01.0,Offensive rebound by C. Zeller,,91-78,,
8:01.0,F. Kaminsky makes 3-pt shot from 27 ft (assist by C. Zeller),3,94-78,,
8:01.0,,,94-78,,Philadelphia full timeout
8:01.0,,,94-78,,I. Canaan enters the game for N. Stauskas
7:50.0,,,94-80,2,I. Smith makes 2-pt shot from 19 ft
7:39.0,Shooting foul by R. Covington (drawn by C. Zeller),,94-80,,
7:39.0,C. Zeller makes free throw 1 of 2,1,95-80,,
7:39.0,C. Zeller makes free throw 2 of 2,1,96-80,,
7:35.0,,,96-82,2,I. Smith makes 2-pt shot from 2 ft
7:35.0,,,96-82,,Shooting foul by J. Lin (drawn by I. Smith)
7:35.0,,,96-83,1,I. Smith makes free throw 1 of 1
7:22.0,,,96-83,,Violation by N. Noel (kicked ball)
7:11.0,J. Lamb misses 3-pt shot from 23 ft,,96-83,,
7:08.0,Offensive rebound by F. Kaminsky,,96-83,,
7:08.0,F. Kaminsky makes 2-pt shot from 1 ft,2,98-83,,
6:57.0,,,98-83,,I. Smith misses 2-pt shot from 2 ft
6:56.0,Defensive rebound by F. Kaminsky,,98-83,,
6:52.0,Turnover by J. Lin (lost ball; steal by I. Canaan),,98-83,,
6:49.0,,,98-83,,I. Canaan misses 2-pt shot from 3 ft (block by C. Zeller)
6:49.0,,,98-83,,Offensive rebound by Team
6:34.0,,,98-83,,Turnover by N. Noel (bad pass)
6:33.0,K. Walker enters the game for J. Lin,,98-83,,
6:26.0,C. Lee enters the game for J. Lamb,,98-83,,
6:23.0,Turnover by N. Batum (bad pass; steal by N. Noel),,98-83,,
6:02.0,,,98-83,,Shooting foul by K. Walker (drawn by I. Smith)
6:02.0,,,98-83,,I. Smith misses free throw 1 of 2
6:02.0,,,98-83,,Offensive rebound by Team
6:02.0,,,98-83,,J. Grant enters the game for H. Thompson
6:02.0,M. Williams enters the game for F. Kaminsky,,98-83,,
6:02.0,,,98-83,,I. Smith misses free throw 2 of 2
6:01.0,Defensive rebound by N. Batum,,98-83,,
5:46.0,N. Batum misses 2-pt shot from 16 ft,,98-83,,
5:44.0,,,98-83,,Defensive rebound by N. Noel
5:37.0,,,98-83,,R. Covington misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by K. Walker,,98-83,,
5:31.0,Official timeout,,98-83,,
5:26.0,N. Batum makes 2-pt shot from 21 ft (assist by C. Lee),2,100-83,,
5:19.0,,,100-85,2,N. Noel makes 2-pt shot at rim (assist by J. Grant)
5:05.0,K. Walker makes 2-pt shot from 18 ft,2,102-85,,
