time,Houston,pts.away,score,pts.home,Toronto
3:15.0,Personal foul by M. Harrell (drawn by L. Scola),,20-23,,
3:15.0,,,20-23,,C. Joseph enters the game for K. Lowry
3:15.0,C. Capela enters the game for D. Howard,,20-23,,
2:58.0,,,20-26,3,L. Scola makes 3-pt shot from 22 ft (assist by C. Joseph)
2:45.0,,,20-26,,Shooting block foul by L. Scola (drawn by C. Capela)
2:45.0,,,20-26,,Toronto full timeout
2:45.0,,,20-26,,P. Patterson enters the game for L. Scola
2:45.0,C. Brewer enters the game for T. Ariza,,20-26,,
2:45.0,C. Capela misses free throw 1 of 2,,20-26,,
2:45.0,Offensive rebound by Team,,20-26,,
2:45.0,C. Capela makes free throw 2 of 2,1,21-26,,
2:33.0,,,21-26,,D. DeRozan misses 2-pt shot from 7 ft
2:33.0,Defensive rebound by J. Harden,,21-26,,
2:22.0,J. Terry misses 2-pt shot from 3 ft,,21-26,,
2:22.0,Offensive rebound by C. Capela,,21-26,,
2:18.0,C. Capela misses 2-pt shot from 3 ft,,21-26,,
2:18.0,,,21-26,,Defensive rebound by B. Biyombo
2:06.0,,,21-26,,D. DeRozan misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by C. Brewer,,21-26,,
2:00.0,Turnover by C. Brewer (bad pass; steal by J. Johnson),,21-26,,
1:55.0,,,21-28,2,C. Joseph makes 2-pt shot from 2 ft (assist by J. Johnson)
1:27.0,J. Harden misses 3-pt shot from 24 ft,,21-28,,
1:27.0,,,21-28,,Defensive rebound by D. DeRozan
1:21.0,,,21-28,,Offensive charge foul by D. DeRozan
1:21.0,,,21-28,,Turnover by D. DeRozan (offensive foul)
1:21.0,,,21-28,,T. Ross enters the game for J. Johnson
1:14.0,,,21-28,,Violation by D. DeRozan (kicked ball)
1:07.0,,,21-28,,Personal block foul by D. DeRozan (drawn by J. Harden)
1:07.0,J. Harden makes free throw 1 of 2,1,22-28,,
1:07.0,,,22-28,,N. Powell enters the game for D. DeRozan
1:07.0,J. Harden makes free throw 2 of 2,1,23-28,,
0:48.0,,,23-28,,T. Ross misses 2-pt shot from 16 ft
0:47.0,,,23-28,,Offensive rebound by Team
0:46.0,,,23-28,,Turnover by B. Biyombo (offensive foul)
0:46.0,,,23-28,,Offensive foul by B. Biyombo
0:33.0,C. Brewer misses 2-pt shot from 2 ft,,23-28,,
0:32.0,Offensive rebound by M. Harrell,,23-28,,
0:32.0,M. Harrell misses 2-pt shot from 2 ft,,23-28,,
0:31.0,Offensive rebound by C. Capela,,23-28,,
0:30.0,Shooting foul by C. Joseph (drawn by C. Capela),,23-28,,
0:30.0,C. Capela makes free throw 1 of 2,1,24-28,,
0:30.0,T. Ariza enters the game for J. Terry,,24-28,,
0:30.0,C. Capela misses free throw 2 of 2,,24-28,,
0:30.0,,,24-28,,Defensive rebound by T. Ross
0:18.0,Personal foul by J. Harden (drawn by T. Ross),,24-28,,
0:18.0,,,24-29,1,T. Ross makes free throw 1 of 2
0:18.0,J. Terry enters the game for C. Brewer,,24-29,,
0:18.0,P. Beverley enters the game for M. Harrell,,24-29,,
0:18.0,,,24-29,,K. Lowry enters the game for P. Patterson
0:18.0,,,24-30,1,T. Ross makes free throw 2 of 2
0:04.0,T. Ariza makes 2-pt shot from 17 ft (assist by C. Capela),2,26-30,,
0:00.0,,,26-30,,C. Joseph misses 3-pt shot from 40 ft
0:00.0,,,26-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,26-30,,T. Ross misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by P. Beverley,,26-30,,
11:25.0,P. Beverley misses 3-pt shot from 24 ft,,26-30,,
11:24.0,,,26-30,,Defensive rebound by B. Biyombo
11:15.0,,,26-30,,T. Ross misses 2-pt shot from 16 ft
11:14.0,Defensive rebound by P. Beverley,,26-30,,
11:08.0,C. Brewer misses 2-pt shot from 2 ft,,26-30,,
11:08.0,Offensive rebound by D. Motiejunas,,26-30,,
11:08.0,,,26-30,,Personal foul by C. Joseph (drawn by D. Motiejunas)
10:59.0,D. Howard misses 2-pt shot from 2 ft,,26-30,,
10:59.0,Offensive rebound by Team,,26-30,,
10:47.0,C. Brewer makes 2-pt shot from 16 ft,2,28-30,,
10:25.0,,,28-33,3,P. Patterson makes 3-pt shot from 25 ft (assist by K. Lowry)
10:15.0,Turnover by C. Brewer (lost ball; steal by T. Ross),,28-33,,
10:10.0,,,28-35,2,T. Ross makes 2-pt shot at rim (assist by B. Biyombo)
9:56.0,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Terry),2,30-35,,
9:44.0,,,30-35,,P. Patterson misses 3-pt shot from 23 ft
9:43.0,Defensive rebound by P. Beverley,,30-35,,
9:37.0,C. Brewer misses 2-pt shot from 4 ft,,30-35,,
9:36.0,,,30-35,,Defensive rebound by C. Joseph
9:28.0,,,30-35,,T. Ross misses 3-pt shot from 22 ft
9:28.0,,,30-35,,Offensive rebound by B. Biyombo
9:20.0,,,30-37,2,K. Lowry makes 2-pt shot from 21 ft
8:57.0,D. Howard misses 2-pt shot at rim,,30-37,,
8:56.0,,,30-37,,Defensive rebound by P. Patterson
8:47.0,,,30-37,,C. Joseph misses 3-pt shot from 24 ft
8:47.0,,,30-37,,Offensive rebound by P. Patterson
8:47.0,,,30-39,2,P. Patterson makes 2-pt shot from 1 ft
8:47.0,Houston full timeout,,30-39,,
8:47.0,,,30-39,,N. Powell enters the game for C. Joseph
8:47.0,T. Ariza enters the game for C. Brewer,,30-39,,
8:27.0,Shooting foul by K. Lowry (drawn by D. Motiejunas),,30-39,,
8:27.0,D. Motiejunas makes free throw 1 of 2,1,31-39,,
8:27.0,D. Motiejunas misses free throw 2 of 2,,31-39,,
8:26.0,,,31-39,,Defensive rebound by B. Biyombo
8:09.0,,,31-39,,P. Patterson misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by D. Howard,,31-39,,
7:58.0,J. Terry misses 2-pt shot from 1 ft,,31-39,,
7:57.0,,,31-39,,Defensive rebound by T. Ross
7:50.0,,,31-42,3,K. Lowry makes 3-pt shot from 24 ft (assist by T. Ross)
7:34.0,T. Ariza misses 2-pt shot from 2 ft (block by N. Powell),,31-42,,
7:33.0,Offensive rebound by P. Beverley,,31-42,,
7:28.0,J. Terry misses 3-pt shot from 23 ft,,31-42,,
7:27.0,,,31-42,,Defensive rebound by B. Biyombo
7:14.0,,,31-44,2,N. Powell makes 2-pt shot from 18 ft (assist by P. Patterson)
6:58.0,D. Motiejunas misses 3-pt shot from 24 ft,,31-44,,
6:57.0,,,31-44,,Defensive rebound by K. Lowry
6:50.0,,,31-44,,N. Powell misses 3-pt shot from 23 ft
6:49.0,Defensive rebound by D. Motiejunas,,31-44,,
6:41.0,Flagrant foul type 1 by D. Howard (drawn by K. Lowry),,31-44,,
6:41.0,Turnover by D. Howard (offensive foul),,31-44,,
6:41.0,Technical foul by Team,,31-44,,
6:41.0,,,31-45,1,K. Lowry makes technical free throw
6:41.0,,,31-46,1,K. Lowry makes flagrant free throw 1 of 2
6:41.0,,,31-46,,K. Lowry misses flagrant free throw 2 of 2
6:41.0,,,31-46,,Offensive rebound by Team
6:41.0,J. Harden enters the game for J. Terry,,31-46,,
6:41.0,,,31-46,,J. Johnson enters the game for B. Biyombo
6:41.0,,,31-46,,J. Valanciunas enters the game for N. Powell
6:28.0,,,31-46,,Turnover by J. Valanciunas (traveling)
6:20.0,J. Harden misses 2-pt shot from 4 ft,,31-46,,
6:19.0,,,31-46,,Defensive rebound by J. Valanciunas
6:13.0,,,31-49,3,K. Lowry makes 3-pt shot from 24 ft
5:56.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,34-49,,
5:36.0,,,34-49,,T. Ross misses 3-pt shot from 24 ft
5:35.0,Defensive rebound by D. Howard,,34-49,,
5:29.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,36-49,,
5:29.0,Shooting foul by J. Johnson (drawn by D. Howard),,36-49,,
5:29.0,Official timeout,,36-49,,
5:29.0,,,36-49,,L. Scola enters the game for P. Patterson
5:29.0,,,36-49,,D. DeRozan enters the game for T. Ross
5:29.0,D. Howard makes free throw 1 of 1,1,37-49,,
5:13.0,,,37-51,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
4:49.0,Turnover by T. Ariza (traveling),,37-51,,
4:36.0,,,37-51,,Turnover by D. DeRozan (bad pass; steal by T. Ariza)
4:28.0,J. Harden misses 3-pt shot from 25 ft,,37-51,,
4:27.0,,,37-51,,Defensive rebound by J. Valanciunas
4:21.0,,,37-53,2,L. Scola makes 2-pt shot from 2 ft (assist by K. Lowry)
4:10.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,39-53,,
3:54.0,,,39-53,,J. Valanciunas misses 2-pt shot from 2 ft (block by D. Howard)
3:54.0,,,39-53,,Offensive rebound by Team
3:44.0,,,39-56,3,L. Scola makes 3-pt shot from 22 ft (assist by K. Lowry)
3:31.0,Shooting foul by J. Johnson (drawn by J. Harden),,39-56,,
3:31.0,J. Harden makes free throw 1 of 3,1,40-56,,
3:31.0,J. Harden makes free throw 2 of 3,1,41-56,,
3:31.0,,,41-56,,C. Joseph enters the game for K. Lowry
3:31.0,C. Brewer enters the game for D. Motiejunas,,41-56,,
3:31.0,J. Harden makes free throw 3 of 3,1,42-56,,
3:11.0,,,42-56,,Turnover by J. Johnson (bad pass; steal by P. Beverley)
3:07.0,Shooting foul by L. Scola (drawn by J. Harden),,42-56,,
3:07.0,J. Harden makes free throw 1 of 2,1,43-56,,
3:07.0,,,43-56,,P. Patterson enters the game for L. Scola
3:07.0,J. Harden misses free throw 2 of 2,,43-56,,
3:06.0,,,43-56,,Defensive rebound by J. Valanciunas
3:00.0,,,43-56,,Toronto full timeout
2:48.0,,,43-58,2,D. DeRozan makes 2-pt shot from 15 ft
2:24.0,C. Brewer misses 2-pt shot from 4 ft (block by J. Valanciunas),,43-58,,
2:23.0,,,43-58,,Defensive rebound by C. Joseph
2:16.0,,,43-58,,P. Patterson misses 3-pt shot from 23 ft
2:16.0,Defensive rebound by T. Ariza,,43-58,,
2:04.0,C. Brewer misses 3-pt shot from 23 ft,,43-58,,
2:03.0,,,43-58,,Defensive rebound by J. Valanciunas
2:03.0,Personal foul by J. Harden (drawn by J. Valanciunas),,43-58,,
1:43.0,,,43-58,,J. Valanciunas misses 2-pt shot from 3 ft (block by D. Howard)
1:41.0,Defensive rebound by P. Beverley,,43-58,,
1:36.0,C. Brewer makes 3-pt shot from 23 ft (assist by J. Harden),3,46-58,,
1:10.0,Personal foul by P. Beverley (drawn by C. Joseph),,46-58,,
0:55.0,,,46-58,,D. DeRozan misses 2-pt shot from 8 ft
0:54.0,Defensive rebound by J. Harden,,46-58,,
0:48.0,C. Brewer makes 3-pt shot from 24 ft (assist by T. Ariza),3,49-58,,
0:45.0,,,49-58,,Toronto full timeout
0:25.0,,,49-61,3,C. Joseph makes 3-pt shot from 22 ft (assist by D. DeRozan)
0:06.0,D. Howard makes 2-pt shot at rim (assist by P. Beverley),2,51-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,51-61,,Turnover by Team (shot clock)
11:15.0,P. Beverley misses 2-pt shot from 7 ft,,51-61,,
11:14.0,,,51-61,,Defensive rebound by Team
10:54.0,,,51-61,,Turnover by J. Johnson (lost ball; steal by D. Howard)
10:51.0,Turnover by D. Motiejunas (lost ball; steal by K. Lowry),,51-61,,
10:43.0,,,51-63,2,L. Scola makes 2-pt shot from 2 ft (assist by K. Lowry)
10:30.0,D. Motiejunas misses 2-pt shot from 1 ft,,51-63,,
10:29.0,,,51-63,,Defensive rebound by L. Scola
10:25.0,,,51-65,2,D. DeRozan makes 2-pt shot from 1 ft
10:25.0,,,51-65,,Shooting foul by J. Harden (drawn by D. DeRozan)
10:25.0,,,51-65,,D. DeRozan misses free throw 1 of 1
10:24.0,Defensive rebound by D. Motiejunas,,51-65,,
10:12.0,P. Beverley misses 2-pt shot from 4 ft (block by J. Johnson),,51-65,,
10:11.0,,,51-65,,Defensive rebound by L. Scola
10:10.0,,,51-65,,Shooting foul by D. Motiejunas (drawn by D. DeRozan)
10:10.0,,,51-66,1,D. DeRozan makes free throw 1 of 2
10:10.0,,,51-67,1,D. DeRozan makes free throw 2 of 2
9:50.0,J. Harden makes 2-pt shot from 7 ft,2,53-67,,
9:28.0,,,53-67,,D. DeRozan misses 2-pt shot from 11 ft
9:28.0,Defensive rebound by Team,,53-67,,
9:28.0,,,53-67,,Personal foul by D. DeRozan (drawn by D. Motiejunas)
9:18.0,J. Harden makes 2-pt shot from 7 ft,2,55-67,,
8:52.0,,,55-70,3,K. Lowry makes 3-pt shot from 25 ft
8:35.0,D. Motiejunas misses 3-pt shot from 24 ft,,55-70,,
8:34.0,,,55-70,,Defensive rebound by D. DeRozan
8:26.0,,,55-70,,Turnover by K. Lowry (bad pass; steal by T. Ariza)
8:18.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,57-70,,
8:00.0,,,57-70,,Shooting foul by J. Harden (drawn by D. DeRozan)
8:00.0,,,57-71,1,D. DeRozan makes free throw 1 of 2
8:00.0,C. Brewer enters the game for D. Motiejunas,,57-71,,
8:00.0,,,57-72,1,D. DeRozan makes free throw 2 of 2
7:53.0,,,57-72,,Def 3 sec tech foul by J. Valanciunas
7:53.0,J. Harden makes technical free throw,1,58-72,,
7:43.0,C. Brewer makes 2-pt shot from 18 ft (assist by J. Harden),2,60-72,,
7:24.0,,,60-72,,Shooting foul by D. Howard (drawn by D. DeRozan)
7:24.0,,,60-73,1,D. DeRozan makes free throw 1 of 2
7:24.0,,,60-74,1,D. DeRozan makes free throw 2 of 2
7:05.0,P. Beverley makes 3-pt shot from 23 ft (assist by D. Howard),3,63-74,,
6:45.0,,,63-76,2,L. Scola makes 2-pt shot from 3 ft (assist by J. Johnson)
6:37.0,J. Harden makes 2-pt shot from 2 ft,2,65-76,,
6:37.0,Shooting foul by K. Lowry (drawn by J. Harden),,65-76,,
6:37.0,J. Harden makes free throw 1 of 1,1,66-76,,
6:20.0,,,66-76,,J. Johnson misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by D. Howard,,66-76,,
6:17.0,Turnover by D. Howard (bad pass; steal by K. Lowry),,66-76,,
6:11.0,,,66-76,,K. Lowry misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by D. Howard,,66-76,,
6:01.0,J. Harden misses 2-pt shot from 3 ft,,66-76,,
6:01.0,,,66-76,,Defensive rebound by Team
5:47.0,,,66-78,2,D. DeRozan makes 2-pt shot from 15 ft
5:21.0,C. Brewer misses 3-pt shot from 22 ft,,66-78,,
5:20.0,,,66-78,,Defensive rebound by D. DeRozan
5:07.0,,,66-78,,L. Scola misses 3-pt shot from 22 ft
5:07.0,,,66-78,,Offensive rebound by Team
5:07.0,Personal foul by T. Ariza (drawn by J. Valanciunas),,66-78,,
5:07.0,,,66-78,,Toronto full timeout
5:07.0,J. Terry enters the game for D. Howard,,66-78,,
5:07.0,C. Capela enters the game for P. Beverley,,66-78,,
5:07.0,,,66-79,1,J. Valanciunas makes free throw 1 of 2
5:07.0,,,66-80,1,J. Valanciunas makes free throw 2 of 2
4:53.0,J. Harden misses 2-pt shot from 6 ft (block by J. Valanciunas),,66-80,,
4:51.0,,,66-80,,Defensive rebound by K. Lowry
4:50.0,,,66-80,,Shooting foul by T. Ariza (drawn by L. Scola)
4:50.0,,,66-80,,L. Scola misses free throw 1 of 2
4:50.0,,,66-80,,Offensive rebound by Team
4:50.0,,,66-81,1,L. Scola makes free throw 2 of 2
4:31.0,Shooting foul by J. Valanciunas (drawn by C. Capela),,66-81,,
4:31.0,C. Capela makes free throw 1 of 2,1,67-81,,
4:31.0,C. Capela misses free throw 2 of 2,,67-81,,
4:28.0,Offensive rebound by C. Brewer,,67-81,,
4:13.0,C. Brewer makes 3-pt shot from 23 ft (assist by J. Terry),3,70-81,,
3:58.0,,,70-81,,Turnover by L. Scola (traveling)
3:39.0,J. Harden misses 3-pt shot from 24 ft,,70-81,,
3:38.0,,,70-81,,Defensive rebound by J. Valanciunas
3:22.0,,,70-81,,J. Johnson misses 3-pt shot from 22 ft
3:21.0,Defensive rebound by J. Harden,,70-81,,
3:15.0,,,70-81,,Personal foul by J. Johnson (drawn by J. Harden)
3:15.0,Houston full timeout,,70-81,,
3:15.0,,,70-81,,B. Biyombo enters the game for L. Scola
3:15.0,,,70-81,,P. Patterson enters the game for J. Valanciunas
3:15.0,,,70-81,,C. Joseph enters the game for K. Lowry
3:05.0,C. Brewer makes 3-pt shot from 24 ft (assist by J. Harden),3,73-81,,
2:35.0,,,73-81,,B. Biyombo misses 2-pt shot from 13 ft
2:34.0,Defensive rebound by J. Harden,,73-81,,
2:26.0,Turnover by J. Harden (bad pass; steal by D. DeRozan),,73-81,,
2:03.0,,,73-81,,C. Joseph misses 2-pt shot from 10 ft
2:02.0,Defensive rebound by C. Capela,,73-81,,
1:56.0,Shooting foul by J. Johnson (drawn by J. Harden),,73-81,,
1:56.0,J. Harden makes free throw 1 of 3,1,74-81,,
1:56.0,J. Harden makes free throw 2 of 3,1,75-81,,
1:56.0,,,75-81,,T. Ross enters the game for J. Johnson
1:56.0,P. Beverley enters the game for T. Ariza,,75-81,,
1:56.0,J. Harden misses free throw 3 of 3,,75-81,,
1:55.0,,,75-81,,Defensive rebound by P. Patterson
1:35.0,,,75-83,2,D. DeRozan makes 2-pt shot from 6 ft
1:14.0,Shooting foul by P. Patterson (drawn by C. Capela),,75-83,,
1:14.0,C. Capela misses free throw 1 of 2,,75-83,,
1:14.0,Offensive rebound by Team,,75-83,,
1:14.0,C. Capela misses free throw 2 of 2,,75-83,,
1:13.0,,,75-83,,Defensive rebound by B. Biyombo
0:55.0,,,75-83,,Turnover by D. DeRozan (lost ball; steal by J. Terry)
0:50.0,J. Harden makes 2-pt shot at rim,2,77-83,,
0:28.0,,,77-83,,T. Ross misses 2-pt shot from 14 ft
0:28.0,Defensive rebound by P. Beverley,,77-83,,
0:06.0,J. Harden misses 2-pt shot from 2 ft,,77-83,,
0:05.0,,,77-83,,Defensive rebound by C. Joseph
0:02.0,Personal foul by C. Capela (drawn by C. Joseph),,77-83,,
0:02.0,,,77-84,1,C. Joseph makes free throw 1 of 2
0:02.0,,,77-85,1,C. Joseph makes free throw 2 of 2
0:00.0,C. Brewer misses 3-pt shot from 36 ft,,77-85,,
0:00.0,Offensive rebound by Team,,77-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,C. Brewer makes 3-pt shot from 24 ft (assist by J. Harden),3,80-85,,
11:20.0,,,80-85,,T. Ross misses 3-pt shot from 25 ft
11:19.0,,,80-85,,Offensive rebound by Team
11:14.0,Personal foul by P. Beverley (drawn by K. Lowry),,80-85,,
11:00.0,,,80-85,,Turnover by C. Joseph (bad pass; steal by T. Ariza)
10:50.0,J. Harden makes 3-pt shot from 24 ft (assist by T. Ariza),3,83-85,,
10:29.0,Personal foul by P. Beverley (drawn by C. Joseph),,83-85,,
10:20.0,,,83-87,2,T. Ross makes 2-pt shot from 17 ft (assist by C. Joseph)
10:02.0,C. Brewer makes 2-pt shot from 2 ft (assist by J. Harden),2,85-87,,
9:42.0,,,85-90,3,K. Lowry makes 3-pt shot from 24 ft
9:27.0,C. Brewer misses 3-pt shot from 24 ft,,85-90,,
9:26.0,,,85-90,,Defensive rebound by C. Joseph
9:11.0,,,85-93,3,T. Ross makes 3-pt shot from 24 ft (assist by P. Patterson)
8:51.0,J. Harden makes 2-pt shot from 15 ft,2,87-93,,
8:23.0,,,87-93,,C. Joseph misses 3-pt shot from 30 ft
8:21.0,,,87-93,,Offensive rebound by K. Lowry
8:14.0,,,87-93,,Technical foul by Team
8:14.0,Official timeout,,87-93,,
8:14.0,J. Harden misses technical free throw,,87-93,,
8:14.0,,,87-93,,Offensive rebound by Team
8:07.0,,,87-95,2,B. Biyombo makes 2-pt shot at rim (assist by C. Joseph)
7:46.0,,,87-95,,Violation by T. Ross (kicked ball)
7:38.0,J. Harden makes 2-pt shot from 4 ft,2,89-95,,
7:24.0,,,89-95,,Shooting foul by D. Howard (drawn by K. Lowry)
7:24.0,,,89-95,,K. Lowry misses free throw 1 of 2
7:24.0,,,89-95,,Offensive rebound by Team
7:24.0,,,89-96,1,K. Lowry makes free throw 2 of 2
7:11.0,J. Harden makes 3-pt shot from 24 ft (assist by C. Brewer),3,92-96,,
6:49.0,,,92-98,2,C. Joseph makes 2-pt shot from 1 ft (assist by K. Lowry)
6:33.0,Shooting foul by T. Ross (drawn by J. Harden),,92-98,,
6:33.0,J. Harden makes free throw 1 of 2,1,93-98,,
6:33.0,,,93-98,,J. Valanciunas enters the game for B. Biyombo
6:33.0,J. Harden makes free throw 2 of 2,1,94-98,,
6:19.0,,,94-98,,K. Lowry misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by D. Howard,,94-98,,
6:09.0,J. Harden misses 2-pt shot from 8 ft,,94-98,,
6:06.0,Offensive rebound by C. Brewer,,94-98,,
6:01.0,T. Ariza makes 3-pt shot from 24 ft (assist by C. Brewer),3,97-98,,
5:48.0,,,97-98,,Toronto full timeout
5:48.0,,,97-98,,D. DeRozan enters the game for T. Ross
5:36.0,,,97-98,,Shooting foul by D. Howard (drawn by D. DeRozan)
5:36.0,,,97-99,1,D. DeRozan makes free throw 1 of 2
5:36.0,,,97-99,,D. DeRozan misses free throw 2 of 2
5:35.0,Defensive rebound by D. Howard,,97-99,,
5:19.0,C. Brewer misses 3-pt shot from 24 ft,,97-99,,
5:19.0,,,97-99,,Defensive rebound by C. Joseph
4:52.0,,,97-99,,C. Joseph misses 2-pt shot from 5 ft
4:51.0,Defensive rebound by D. Howard,,97-99,,
4:43.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,100-99,,
4:18.0,,,100-99,,Offensive charge foul by K. Lowry
4:18.0,,,100-99,,Turnover by K. Lowry (offensive foul)
4:05.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,102-99,,
3:38.0,,,102-102,3,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan)
3:38.0,Houston full timeout,,102-102,,
3:16.0,C. Brewer makes 2-pt shot from 11 ft,2,104-102,,
2:53.0,,,104-102,,P. Patterson misses 3-pt shot from 23 ft
