time,New York,pts.away,score,pts.home,Cleveland
1:47.0,,,26-18,2,J. Jones makes 2-pt shot from 15 ft (assist by M. Dellavedova)
1:28.0,Shooting foul by J. Cunningham (drawn by J. Grant),,26-18,,
1:28.0,J. Grant makes free throw 1 of 2,1,27-18,,
1:28.0,D. Williams enters the game for K. O'Quinn,,27-18,,
1:28.0,J. Grant makes free throw 2 of 2,1,28-18,,
1:15.0,,,28-18,,Turnover by M. Dellavedova (bad pass; steal by L. Galloway)
1:06.0,D. Williams makes 2-pt shot at rim,2,30-18,,
0:44.0,,,30-18,,Shooting foul by K. Seraphin (drawn by J. Cunningham)
0:44.0,,,30-18,,J. Cunningham misses free throw 1 of 2
0:44.0,,,30-18,,Offensive rebound by Team
0:44.0,,,30-18,,M. Williams enters the game for R. Jefferson
0:44.0,,,30-18,,J. Cunningham misses free throw 2 of 2
0:44.0,Defensive rebound by D. Williams,,30-18,,
0:28.0,L. Galloway makes 2-pt shot at rim (assist by L. Thomas),2,32-18,,
0:07.0,,,32-18,,J. Jones misses 3-pt shot from 25 ft
0:06.0,,,32-18,,Offensive rebound by T. Thompson
0:00.0,,,32-18,,M. Williams misses 3-pt shot from 25 ft
0:00.0,,,32-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,32-18,,Turnover by T. Thompson (step out of bounds)
11:22.0,J. Grant misses 2-pt shot from 16 ft,,32-18,,
11:21.0,,,32-18,,Defensive rebound by M. Dellavedova
11:10.0,,,32-20,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
11:02.0,L. Thomas makes 2-pt shot at rim (assist by J. Grant),2,34-20,,
11:02.0,Shooting foul by M. Dellavedova (drawn by L. Thomas),,34-20,,
11:02.0,K. O'Quinn enters the game for K. Seraphin,,34-20,,
11:02.0,,,34-20,,A. Varejao enters the game for J. Jones
11:02.0,L. Thomas misses free throw 1 of 1,,34-20,,
10:59.0,,,34-20,,Defensive rebound by M. Williams
10:46.0,,,34-20,,T. Thompson misses 2-pt shot from 16 ft
10:46.0,Defensive rebound by D. Williams,,34-20,,
10:39.0,Turnover by D. Williams (bad pass; steal by A. Varejao),,34-20,,
10:38.0,,,34-20,,Shooting foul by J. Grant (drawn by J. Cunningham)
10:38.0,,,34-20,,J. Cunningham misses free throw 1 of 2
10:38.0,,,34-20,,Offensive rebound by Team
10:38.0,,,34-21,1,J. Cunningham makes free throw 2 of 2
10:21.0,L. Galloway misses 2-pt shot from 16 ft,,34-21,,
10:20.0,,,34-21,,Defensive rebound by A. Varejao
10:08.0,,,34-23,2,M. Williams makes 2-pt shot from 7 ft
9:56.0,Turnover by L. Thomas (offensive foul),,34-23,,
9:56.0,Offensive charge foul by L. Thomas,,34-23,,
9:56.0,,,34-23,,L. James enters the game for J. Cunningham
9:40.0,,,34-23,,M. Williams misses 2-pt shot from 16 ft
9:39.0,,,34-23,,Offensive rebound by T. Thompson
9:28.0,,,34-23,,Turnover by A. Varejao (bad pass; steal by L. Galloway)
9:10.0,K. O'Quinn makes 2-pt shot from 12 ft,2,36-23,,
8:57.0,Personal foul by L. Thomas (drawn by L. James),,36-23,,
8:57.0,Official timeout,,36-23,,
8:57.0,C. Anthony enters the game for L. Thomas,,36-23,,
8:57.0,K. Porzingis enters the game for D. Williams,,36-23,,
8:57.0,,,36-23,,R. Jefferson enters the game for M. Dellavedova
8:50.0,,,36-23,,L. James misses 2-pt shot from 1 ft (block by K. Porzingis)
8:48.0,,,36-23,,Offensive rebound by L. James
8:44.0,,,36-23,,Turnover by L. James (lost ball; steal by K. Porzingis)
8:36.0,K. Porzingis misses 3-pt shot from 24 ft,,36-23,,
8:36.0,Offensive rebound by Team,,36-23,,
8:36.0,,,36-23,,Loose ball foul by T. Thompson (drawn by K. O'Quinn)
8:24.0,C. Anthony misses 2-pt shot from 14 ft,,36-23,,
8:24.0,,,36-23,,Defensive rebound by A. Varejao
8:12.0,,,36-23,,L. James misses 2-pt shot from 2 ft
8:11.0,Defensive rebound by K. O'Quinn,,36-23,,
8:05.0,C. Anthony misses 3-pt shot from 23 ft,,36-23,,
8:04.0,,,36-23,,Defensive rebound by R. Jefferson
8:01.0,,,36-23,,Shooting foul by K. O'Quinn (drawn by L. James)
8:01.0,,,36-25,2,L. James makes 2-pt shot at rim (assist by R. Jefferson)
8:01.0,,,36-25,,L. James misses free throw 1 of 1
7:57.0,Defensive rebound by C. Anthony,,36-25,,
7:54.0,Offensive foul by K. O'Quinn,,36-25,,
7:54.0,Turnover by K. O'Quinn (offensive foul),,36-25,,
7:54.0,,,36-25,,K. Love enters the game for T. Thompson
7:54.0,R. Lopez enters the game for K. O'Quinn,,36-25,,
7:36.0,,,36-27,2,L. James makes 2-pt shot from 1 ft
7:36.0,,,36-27,,Shooting foul by K. Porzingis (drawn by L. James)
7:36.0,,,36-27,,L. James misses free throw 1 of 1
7:35.0,Defensive rebound by C. Anthony,,36-27,,
7:15.0,J. Grant misses 3-pt shot from 25 ft,,36-27,,
7:14.0,,,36-27,,Defensive rebound by M. Williams
7:08.0,,,36-27,,L. James misses 3-pt shot from 26 ft
7:08.0,Defensive rebound by Team,,36-27,,
6:53.0,C. Anthony misses 2-pt shot at rim,,36-27,,
6:52.0,,,36-27,,Defensive rebound by M. Williams
6:40.0,,,36-29,2,K. Love makes 2-pt shot from 6 ft
6:33.0,Shooting foul by A. Varejao (drawn by J. Grant),,36-29,,
6:33.0,J. Grant makes free throw 1 of 2,1,37-29,,
6:33.0,J. Grant makes free throw 2 of 2,1,38-29,,
6:18.0,,,38-29,,Turnover by K. Love (bad pass)
6:18.0,S. Vujacic enters the game for J. Grant,,38-29,,
5:57.0,,,38-29,,Cleveland full timeout
5:57.0,J. Calderon enters the game for L. Galloway,,38-29,,
5:57.0,,,38-29,,M. Dellavedova enters the game for M. Williams
5:57.0,,,38-29,,T. Mozgov enters the game for A. Varejao
5:54.0,K. Porzingis misses 3-pt shot from 25 ft,,38-29,,
5:53.0,,,38-29,,Defensive rebound by R. Jefferson
5:38.0,,,38-29,,K. Love misses 3-pt shot from 24 ft
5:38.0,Defensive rebound by S. Vujacic,,38-29,,
5:23.0,S. Vujacic misses 2-pt shot at rim,,38-29,,
5:21.0,,,38-29,,Defensive rebound by K. Love
5:20.0,,,38-29,,Shooting foul by R. Lopez (drawn by R. Jefferson)
5:20.0,,,38-30,1,R. Jefferson makes free throw 1 of 2
5:20.0,,,38-31,1,R. Jefferson makes free throw 2 of 2
5:04.0,,,38-31,,Personal foul by L. James (drawn by K. Porzingis)
4:57.0,Turnover by S. Vujacic (lost ball; steal by L. James),,38-31,,
4:49.0,,,38-33,2,R. Jefferson makes 2-pt shot at rim (assist by M. Dellavedova)
4:38.0,C. Anthony misses 3-pt shot from 24 ft,,38-33,,
4:37.0,,,38-33,,Defensive rebound by T. Mozgov
4:24.0,,,38-35,2,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James)
4:11.0,S. Vujacic misses 3-pt shot from 23 ft,,38-35,,
4:10.0,,,38-35,,Defensive rebound by K. Love
3:53.0,,,38-35,,T. Mozgov misses 2-pt shot from 14 ft
3:53.0,Defensive rebound by C. Anthony,,38-35,,
3:44.0,S. Vujacic makes 2-pt shot at rim,2,40-35,,
3:19.0,,,40-37,2,T. Mozgov makes 2-pt shot from 1 ft (assist by M. Dellavedova)
3:11.0,J. Calderon misses 2-pt shot from 15 ft,,40-37,,
3:10.0,Offensive rebound by C. Anthony,,40-37,,
2:49.0,R. Lopez misses 2-pt shot from 13 ft,,40-37,,
2:47.0,Offensive rebound by K. Porzingis,,40-37,,
2:47.0,K. Porzingis makes 2-pt shot at rim,2,42-37,,
2:47.0,,,42-37,,Cleveland full timeout
2:47.0,New York full timeout,,42-37,,
2:47.0,,,42-37,,M. Williams enters the game for L. James
2:31.0,,,42-37,,K. Love misses 2-pt shot from 8 ft
2:29.0,Defensive rebound by K. Porzingis,,42-37,,
2:22.0,R. Lopez makes 2-pt shot at rim (assist by J. Calderon),2,44-37,,
2:08.0,,,44-37,,K. Love misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by R. Lopez,,44-37,,
1:55.0,K. Porzingis makes 2-pt shot from 16 ft (assist by R. Lopez),2,46-37,,
1:39.0,,,46-37,,M. Williams misses 2-pt shot from 17 ft
1:39.0,,,46-37,,Offensive rebound by Team
1:39.0,Loose ball foul by K. Porzingis (drawn by K. Love),,46-37,,
1:39.0,,,46-37,,K. Love misses free throw 1 of 2
1:39.0,,,46-37,,Offensive rebound by Team
1:39.0,K. O'Quinn enters the game for K. Porzingis,,46-37,,
1:39.0,,,46-38,1,K. Love makes free throw 2 of 2
1:25.0,Turnover by R. Lopez (bad pass),,46-38,,
1:11.0,,,46-38,,R. Jefferson misses 3-pt shot from 24 ft
1:10.0,Defensive rebound by J. Calderon,,46-38,,
1:00.0,J. Calderon misses 2-pt shot from 5 ft,,46-38,,
0:58.0,,,46-38,,Defensive rebound by M. Dellavedova
0:54.0,,,46-38,,Turnover by M. Dellavedova (bad pass; steal by C. Anthony)
0:40.0,C. Anthony misses 2-pt shot from 13 ft,,46-38,,
0:40.0,,,46-38,,Defensive rebound by M. Williams
0:33.0,,,46-38,,M. Williams misses 2-pt shot from 4 ft (block by K. O'Quinn)
0:33.0,,,46-38,,Offensive rebound by Team
0:29.0,,,46-38,,K. Love misses 2-pt shot from 19 ft
0:28.0,Defensive rebound by S. Vujacic,,46-38,,
0:22.0,New York full timeout,,46-38,,
0:22.0,,,46-38,,T. Thompson enters the game for K. Love
0:22.0,D. Williams enters the game for R. Lopez,,46-38,,
0:05.0,Turnover by Team (3 sec),,46-38,,
0:00.0,,,46-38,,M. Williams misses 3-pt shot from 31 ft
0:00.0,,,46-38,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,46-38,,R. Jefferson misses 3-pt shot from 22 ft
11:43.0,Defensive rebound by K. Porzingis,,46-38,,
11:23.0,K. Porzingis makes 3-pt shot from 24 ft (assist by J. Calderon),3,49-38,,
11:07.0,,,49-38,,T. Mozgov misses 2-pt shot from 1 ft (block by C. Anthony)
11:07.0,,,49-38,,Offensive rebound by Team
11:03.0,,,49-40,2,M. Williams makes 2-pt shot from 18 ft (assist by L. James)
10:36.0,C. Anthony misses 2-pt shot from 1 ft,,49-40,,
10:32.0,Offensive rebound by C. Anthony,,49-40,,
10:32.0,C. Anthony makes 2-pt shot from 3 ft,2,51-40,,
10:13.0,,,51-40,,Turnover by L. James (bad pass; steal by K. Porzingis)
10:02.0,R. Lopez misses 2-pt shot from 7 ft,,51-40,,
10:00.0,,,51-40,,Defensive rebound by K. Love
9:53.0,,,51-42,2,T. Mozgov makes 2-pt shot from 14 ft (assist by M. Williams)
9:42.0,K. Porzingis makes 2-pt shot at rim (assist by C. Anthony),2,53-42,,
9:24.0,,,53-44,2,L. James makes 2-pt shot from 1 ft (assist by M. Williams)
9:08.0,R. Lopez misses 2-pt shot from 7 ft,,53-44,,
9:04.0,,,53-44,,Defensive rebound by K. Love
9:04.0,,,53-44,,Shooting foul by K. Porzingis (drawn by T. Mozgov)
9:04.0,,,53-45,1,T. Mozgov makes free throw 1 of 2
9:04.0,L. Thomas enters the game for K. Porzingis,,53-45,,
9:04.0,,,53-46,1,T. Mozgov makes free throw 2 of 2
8:54.0,C. Anthony makes 3-pt shot from 24 ft (assist by J. Calderon),3,56-46,,
8:42.0,,,56-49,3,M. Williams makes 3-pt shot from 25 ft (assist by T. Mozgov)
8:26.0,L. Thomas misses 2-pt shot from 19 ft,,56-49,,
8:25.0,,,56-49,,Defensive rebound by K. Love
8:14.0,,,56-49,,Shooting foul by C. Anthony (drawn by R. Jefferson)
8:14.0,,,56-49,,R. Jefferson misses free throw 1 of 2
8:14.0,,,56-49,,Offensive rebound by Team
8:14.0,,,56-50,1,R. Jefferson makes free throw 2 of 2
8:06.0,,,56-50,,Personal foul by R. Jefferson (drawn by C. Anthony)
8:00.0,S. Vujacic misses 3-pt shot from 25 ft,,56-50,,
7:59.0,,,56-50,,Defensive rebound by K. Love
7:49.0,,,56-50,,Turnover by M. Williams (bad pass)
7:31.0,Shooting foul by M. Williams (drawn by C. Anthony),,56-50,,
7:31.0,C. Anthony makes free throw 1 of 2,1,57-50,,
7:31.0,C. Anthony misses free throw 2 of 2,,57-50,,
7:30.0,,,57-50,,Defensive rebound by T. Mozgov
7:15.0,,,57-50,,Shooting foul by R. Lopez (drawn by T. Mozgov)
7:15.0,,,57-51,1,T. Mozgov makes free throw 1 of 2
7:15.0,,,57-52,1,T. Mozgov makes free throw 2 of 2
6:57.0,S. Vujacic misses 3-pt shot from 27 ft,,57-52,,
6:56.0,Offensive rebound by L. Thomas,,57-52,,
6:40.0,C. Anthony makes 2-pt shot from 16 ft,2,59-52,,
6:24.0,Def 3 sec tech foul by R. Lopez,,59-52,,
6:24.0,,,59-53,1,M. Williams makes technical free throw
6:24.0,L. Galloway enters the game for S. Vujacic,,59-53,,
6:11.0,,,59-56,3,R. Jefferson makes 3-pt shot from 22 ft (assist by M. Williams)
5:44.0,Offensive foul by R. Lopez,,59-56,,
5:44.0,Turnover by R. Lopez (offensive foul),,59-56,,
5:44.0,,,59-56,,Cleveland full timeout
5:44.0,K. Seraphin enters the game for R. Lopez,,59-56,,
5:24.0,,,59-56,,K. Love misses 2-pt shot from 21 ft
5:23.0,,,59-56,,Offensive rebound by L. James
5:19.0,,,59-58,2,L. James makes 2-pt shot from 1 ft
5:03.0,K. Seraphin misses 2-pt shot from 6 ft,,59-58,,
5:03.0,,,59-58,,Defensive rebound by Team
5:03.0,,,59-58,,T. Thompson enters the game for K. Love
4:50.0,,,59-58,,L. James misses 2-pt shot from 1 ft (block by K. Seraphin)
4:47.0,Defensive rebound by J. Calderon,,59-58,,
4:42.0,L. Galloway makes 3-pt shot from 24 ft (assist by C. Anthony),3,62-58,,
4:29.0,Personal foul by L. Thomas (drawn by T. Thompson),,62-58,,
4:29.0,J. Grant enters the game for J. Calderon,,62-58,,
4:18.0,,,62-60,2,M. Williams makes 2-pt shot from 11 ft (assist by T. Mozgov)
4:04.0,Shooting foul by T. Mozgov (drawn by L. Galloway),,62-60,,
4:04.0,L. Galloway misses free throw 1 of 2,,62-60,,
4:04.0,Offensive rebound by Team,,62-60,,
4:04.0,,,62-60,,M. Dellavedova enters the game for R. Jefferson
4:04.0,L. Galloway makes free throw 2 of 2,1,63-60,,
3:57.0,,,63-60,,Shooting foul by J. Grant (drawn by M. Williams)
3:57.0,,,63-61,1,M. Williams makes free throw 1 of 2
3:57.0,,,63-61,,J. Jones enters the game for T. Mozgov
3:57.0,,,63-62,1,M. Williams makes free throw 2 of 2
3:41.0,K. Seraphin misses 2-pt shot from 11 ft,,63-62,,
3:39.0,,,63-62,,Defensive rebound by L. James
3:33.0,,,63-62,,L. James misses 2-pt shot from 21 ft
3:32.0,Defensive rebound by Team,,63-62,,
3:22.0,,,63-62,,Personal foul by M. Dellavedova (drawn by L. Thomas)
3:22.0,K. O'Quinn enters the game for K. Seraphin,,63-62,,
3:16.0,J. Grant misses 3-pt shot from 24 ft,,63-62,,
3:15.0,Offensive rebound by K. O'Quinn,,63-62,,
3:01.0,L. Galloway misses 2-pt shot from 8 ft,,63-62,,
2:58.0,,,63-62,,Defensive rebound by T. Thompson
2:54.0,,,63-62,,M. Williams misses 3-pt shot from 26 ft
2:51.0,Defensive rebound by K. O'Quinn,,63-62,,
2:46.0,Shooting foul by M. Williams (drawn by J. Grant),,63-62,,
2:46.0,New York full timeout,,63-62,,
2:46.0,,,63-62,,J. Cunningham enters the game for L. James
2:46.0,,,63-62,,R. Jefferson enters the game for M. Williams
2:46.0,D. Williams enters the game for C. Anthony,,63-62,,
2:46.0,J. Grant makes free throw 1 of 2,1,64-62,,
2:46.0,J. Grant makes free throw 2 of 2,1,65-62,,
2:37.0,,,65-62,,Shooting foul by D. Williams (drawn by J. Jones)
2:37.0,,,65-63,1,J. Jones makes free throw 1 of 3
2:37.0,,,65-64,1,J. Jones makes free throw 2 of 3
2:37.0,,,65-65,1,J. Jones makes free throw 3 of 3
2:16.0,K. O'Quinn makes 2-pt shot from 1 ft,2,67-65,,
2:05.0,,,67-65,,Turnover by M. Dellavedova (bad pass; steal by K. O'Quinn)
1:51.0,Shooting foul by J. Jones (drawn by D. Williams),,67-65,,
1:51.0,D. Williams makes free throw 1 of 2,1,68-65,,
1:51.0,D. Williams makes free throw 2 of 2,1,69-65,,
1:31.0,,,69-65,,T. Thompson misses 2-pt shot from 1 ft (block by K. O'Quinn)
1:29.0,Defensive rebound by L. Galloway,,69-65,,
1:18.0,L. Thomas misses 2-pt shot from 3 ft (block by T. Thompson),,69-65,,
1:16.0,,,69-65,,Defensive rebound by R. Jefferson
1:11.0,,,69-68,3,M. Dellavedova makes 3-pt shot from 24 ft (assist by R. Jefferson)
0:59.0,J. Grant misses 2-pt shot from 19 ft,,69-68,,
0:58.0,,,69-68,,Defensive rebound by T. Thompson
0:51.0,,,69-70,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
0:31.0,L. Galloway misses 3-pt shot from 26 ft,,69-70,,
0:30.0,,,69-70,,Defensive rebound by T. Thompson
0:08.0,,,69-70,,M. Dellavedova misses 2-pt shot from 12 ft
0:07.0,Defensive rebound by Team,,69-70,,
0:00.0,J. Grant misses 2-pt shot from 1 ft,,69-70,,
0:00.0,Offensive rebound by Team,,69-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,D. Williams misses 2-pt shot at rim,,69-70,,
11:41.0,,,69-70,,Defensive rebound by T. Thompson
11:26.0,,,69-72,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
11:04.0,D. Williams misses 2-pt shot at rim,,69-72,,
11:01.0,,,69-72,,Defensive rebound by T. Thompson
10:59.0,,,69-72,,Turnover by R. Jefferson (offensive goaltending)
10:43.0,L. Galloway makes 3-pt shot from 26 ft (assist by J. Grant),3,72-72,,
10:26.0,Personal foul by L. Galloway (drawn by J. Cunningham),,72-72,,
10:18.0,,,72-72,,M. Dellavedova misses 2-pt shot from 4 ft
10:14.0,,,72-72,,Offensive rebound by M. Dellavedova
10:14.0,,,72-72,,M. Dellavedova misses 2-pt shot from 1 ft
10:09.0,Defensive rebound by J. Grant,,72-72,,
10:05.0,D. Williams makes 3-pt shot from 25 ft (assist by K. O'Quinn),3,75-72,,
9:40.0,,,75-72,,M. Dellavedova misses 2-pt shot from 18 ft
9:39.0,,,75-72,,Offensive rebound by Team
9:39.0,,,75-72,,Turnover by Team (shot clock)
9:23.0,L. Galloway misses 2-pt shot at rim,,75-72,,
9:22.0,Offensive rebound by L. Galloway,,75-72,,
9:22.0,Turnover by L. Galloway (traveling),,75-72,,
9:22.0,,,75-72,,M. Williams enters the game for M. Dellavedova
9:22.0,,,75-72,,L. James enters the game for J. Cunningham
9:09.0,,,75-74,2,T. Thompson makes 2-pt shot from 1 ft
8:56.0,K. O'Quinn misses 2-pt shot from 9 ft,,75-74,,
8:53.0,,,75-74,,Defensive rebound by T. Thompson
8:43.0,Personal foul by K. O'Quinn (drawn by L. James),,75-74,,
8:43.0,Official timeout,,75-74,,
8:43.0,R. Lopez enters the game for K. O'Quinn,,75-74,,
8:43.0,K. Porzingis enters the game for D. Williams,,75-74,,
8:43.0,C. Anthony enters the game for C. Early,,75-74,,
8:31.0,,,75-74,,J. Jones misses 3-pt shot from 26 ft
8:31.0,Defensive rebound by Team,,75-74,,
8:06.0,R. Lopez misses 2-pt shot from 8 ft,,75-74,,
8:04.0,,,75-74,,Defensive rebound by R. Jefferson
7:56.0,Def 3 sec tech foul by R. Lopez,,75-74,,
7:56.0,,,75-75,1,M. Williams makes technical free throw
7:56.0,,,75-75,,K. Love enters the game for J. Jones
7:47.0,,,75-75,,L. James misses 2-pt shot from 18 ft
7:47.0,Defensive rebound by L. Galloway,,75-75,,
7:38.0,R. Lopez misses 2-pt shot from 1 ft,,75-75,,
7:38.0,,,75-75,,Defensive rebound by K. Love
7:38.0,Personal foul by K. Porzingis (drawn by K. Love),,75-75,,
7:38.0,,,75-75,,M. Dellavedova enters the game for R. Jefferson
7:38.0,J. Calderon enters the game for K. Porzingis,,75-75,,
7:38.0,K. O'Quinn enters the game for J. Grant,,75-75,,
7:29.0,,,75-75,,M. Williams misses 3-pt shot from 27 ft
7:28.0,,,75-75,,Offensive rebound by K. Love
7:13.0,,,75-75,,Shooting foul by C. Anthony (drawn by L. James)
7:13.0,,,75-76,1,L. James makes free throw 1 of 2
7:13.0,,,75-77,1,L. James makes free throw 2 of 2
7:06.0,Turnover by J. Calderon (bad pass; steal by L. James),,75-77,,
7:00.0,,,75-79,2,L. James makes 2-pt shot at rim
6:43.0,K. O'Quinn misses 3-pt shot from 25 ft,,75-79,,
6:43.0,,,75-79,,Defensive rebound by L. James
6:37.0,,,75-79,,Shooting foul by C. Anthony (drawn by L. James)
6:37.0,,,75-79,,L. James misses free throw 1 of 3
6:37.0,,,75-79,,Offensive rebound by Team
6:37.0,,,75-80,1,L. James makes free throw 2 of 3
6:37.0,New York full timeout,,75-80,,
6:37.0,,,75-81,1,L. James makes free throw 3 of 3
6:22.0,C. Anthony misses 2-pt shot from 2 ft (block by L. James),,75-81,,
6:20.0,,,75-81,,Defensive rebound by M. Williams
6:16.0,,,75-81,,Turnover by L. James (palming)
5:56.0,K. O'Quinn makes 2-pt shot from 13 ft,2,77-81,,
5:38.0,,,77-81,,M. Williams misses 3-pt shot from 23 ft
5:37.0,Defensive rebound by C. Anthony,,77-81,,
5:30.0,L. Galloway misses 3-pt shot from 23 ft,,77-81,,
5:30.0,,,77-81,,Defensive rebound by L. James
5:22.0,,,77-81,,M. Dellavedova misses 2-pt shot from 21 ft
5:20.0,,,77-81,,Offensive rebound by T. Thompson
