time,Minnesota,pts.away,score,pts.home,Phoenix
8:40.0,A. Wiggins makes free throw 2 of 2,1,10-10,,
8:29.0,,,10-10,,B. Knight misses 2-pt shot from 21 ft
8:27.0,,,10-10,,Offensive rebound by P. Tucker
8:25.0,,,10-12,2,P. Tucker makes 2-pt shot from 6 ft
8:05.0,R. Rubio misses 3-pt shot from 25 ft,,10-12,,
8:04.0,,,10-12,,Defensive rebound by Team
7:48.0,,,10-12,,T. Chandler misses 2-pt shot from 2 ft
7:44.0,Defensive rebound by G. Dieng,,10-12,,
7:42.0,,,10-12,,Personal foul by M. Teletovic
7:29.0,G. Dieng misses 2-pt shot from 4 ft,,10-12,,
7:29.0,,,10-12,,Defensive rebound by Team
7:07.0,,,10-12,,M. Teletovic misses 3-pt shot from 26 ft
7:05.0,Defensive rebound by A. Wiggins,,10-12,,
7:02.0,Turnover by Z. LaVine (traveling),,10-12,,
6:50.0,,,10-12,,Offensive foul by T. Chandler
6:50.0,,,10-12,,Turnover by T. Chandler (offensive foul)
6:31.0,Turnover by K. Towns (lost ball; steal by P. Tucker),,10-12,,
6:27.0,,,10-14,2,P. Tucker makes 2-pt shot from 1 ft
6:10.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,12-14,,
5:58.0,,,12-14,,Turnover by P. Tucker (bad pass)
5:48.0,R. Rubio misses 2-pt shot from 1 ft,,12-14,,
5:44.0,,,12-14,,Defensive rebound by B. Knight
5:41.0,,,12-17,3,M. Teletovic makes 3-pt shot from 24 ft (assist by B. Knight)
5:28.0,Z. LaVine makes 2-pt shot from 21 ft,2,14-17,,
5:10.0,,,14-17,,M. Teletovic misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by G. Dieng,,14-17,,
5:04.0,Z. LaVine makes 2-pt shot from 1 ft (assist by R. Rubio),2,16-17,,
4:50.0,,,16-17,,B. Knight misses 2-pt shot from 16 ft
4:47.0,Defensive rebound by K. Towns,,16-17,,
4:43.0,Z. LaVine makes 3-pt shot from 24 ft (assist by R. Rubio),3,19-17,,
4:34.0,,,19-17,,Phoenix full timeout
4:28.0,,,19-19,2,M. Teletovic makes 2-pt shot from 20 ft (assist by B. Knight)
4:10.0,Turnover by R. Rubio (lost ball; steal by T. Chandler),,19-19,,
4:05.0,,,19-21,2,D. Booker makes 2-pt shot from 1 ft (assist by B. Knight)
4:02.0,Z. LaVine misses 3-pt shot from 24 ft,,19-21,,
3:59.0,,,19-21,,Defensive rebound by M. Teletovic
3:38.0,,,19-21,,B. Knight misses 2-pt shot from 2 ft
3:35.0,Defensive rebound by A. Wiggins,,19-21,,
3:32.0,,,19-21,,Shooting block foul by D. Booker (drawn by R. Rubio)
3:32.0,R. Rubio makes free throw 1 of 2,1,20-21,,
3:32.0,R. Rubio makes free throw 2 of 2,1,21-21,,
3:16.0,,,21-21,,P. Tucker misses 3-pt shot from 23 ft
3:15.0,Defensive rebound by Team,,21-21,,
2:59.0,Shooting foul by T. Chandler (drawn by A. Wiggins),,21-21,,
2:59.0,A. Wiggins makes free throw 1 of 2,1,22-21,,
2:59.0,N. Bjelica enters the game for G. Dieng,,22-21,,
2:59.0,A. Wiggins makes free throw 2 of 2,1,23-21,,
2:46.0,T. Jones enters the game for R. Rubio,,23-21,,
2:46.0,Inbound foul by N. Bjelica,,23-21,,
2:46.0,,,23-22,1,M. Teletovic makes free throw 1 of 2
2:46.0,,,23-22,,J. Leuer enters the game for T. Chandler
2:46.0,,,23-23,1,M. Teletovic makes free throw 2 of 2
2:24.0,N. Bjelica misses 3-pt shot from 25 ft,,23-23,,
2:22.0,,,23-23,,Defensive rebound by D. Booker
2:13.0,,,23-25,2,J. Leuer makes 2-pt shot from 7 ft (assist by P. Tucker)
1:56.0,K. Towns misses 2-pt shot from 15 ft,,23-25,,
1:53.0,,,23-25,,Defensive rebound by M. Teletovic
1:49.0,,,23-25,,Turnover by M. Teletovic (lost ball; steal by K. Towns)
1:46.0,Turnover by T. Jones (lost ball; steal by B. Knight),,23-25,,
1:40.0,,,23-27,2,J. Leuer makes 2-pt shot from 1 ft (assist by P. Tucker)
1:26.0,T. Jones misses 2-pt shot from 3 ft,,23-27,,
1:24.0,,,23-27,,Defensive rebound by J. Leuer
1:22.0,,,23-27,,Turnover by J. Leuer (bad pass)
1:22.0,S. Muhammad enters the game for Z. LaVine,,23-27,,
1:10.0,Turnover by N. Bjelica (bad pass),,23-27,,
0:56.0,,,23-27,,J. Leuer misses 2-pt shot from 9 ft
0:54.0,Defensive rebound by K. Towns,,23-27,,
0:47.0,S. Muhammad makes 2-pt shot from 4 ft,2,25-27,,
0:30.0,,,25-27,,D. Booker misses 2-pt shot from 21 ft
0:28.0,Defensive rebound by K. Towns,,25-27,,
0:09.0,T. Jones misses 2-pt shot from 2 ft,,25-27,,
0:05.0,,,25-27,,Defensive rebound by M. Teletovic
0:03.0,,,25-27,,P. Tucker misses 2-pt shot from 1 ft
0:02.0,,,25-27,,Offensive rebound by P. Tucker
0:02.0,,,25-27,,P. Tucker misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by N. Bjelica,,25-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,A. Wiggins misses 2-pt shot from 16 ft,,25-27,,
11:46.0,,,25-27,,Defensive rebound by D. Booker
11:38.0,Personal foul by A. Wiggins,,25-27,,
11:38.0,Z. LaVine enters the game for A. Wiggins,,25-27,,
11:29.0,,,25-27,,J. Leuer misses 2-pt shot from 2 ft (block by S. Muhammad)
11:25.0,,,25-27,,Offensive rebound by J. Leuer
11:25.0,,,25-29,2,J. Leuer makes 2-pt shot at rim
11:12.0,T. Prince misses 2-pt shot from 19 ft,,25-29,,
11:10.0,,,25-29,,Defensive rebound by A. Goodwin
11:04.0,,,25-29,,Turnover by A. Goodwin (lost ball; steal by T. Jones)
10:50.0,S. Muhammad makes 2-pt shot from 10 ft,2,27-29,,
10:36.0,Personal foul by Z. LaVine,,27-29,,
10:31.0,,,27-29,,Shooting foul by T. Jones (drawn by A. Goodwin)
10:31.0,,,27-29,,A. Goodwin misses free throw 1 of 2
10:31.0,,,27-29,,Offensive rebound by Team
10:31.0,,,27-30,1,A. Goodwin makes free throw 2 of 2
10:15.0,Shooting foul by J. Leuer (drawn by G. Dieng),,27-30,,
10:15.0,G. Dieng makes free throw 1 of 2,1,28-30,,
10:15.0,G. Dieng makes free throw 2 of 2,1,29-30,,
10:02.0,,,29-30,,A. Goodwin misses 3-pt shot from 22 ft
10:00.0,Defensive rebound by Z. LaVine,,29-30,,
9:56.0,Z. LaVine makes 2-pt shot at rim,2,31-30,,
9:40.0,,,31-30,,J. Leuer misses 3-pt shot from 22 ft
9:39.0,Defensive rebound by G. Dieng,,31-30,,
9:30.0,G. Dieng misses 2-pt shot from 5 ft,,31-30,,
9:27.0,,,31-30,,Defensive rebound by J. Leuer
9:23.0,,,31-30,,Shooting foul by Z. LaVine (drawn by D. Booker)
9:23.0,,,31-31,1,D. Booker makes free throw 1 of 2
9:23.0,A. Wiggins enters the game for Z. LaVine,,31-31,,
9:23.0,,,31-32,1,D. Booker makes free throw 2 of 2
9:15.0,Turnover by T. Jones (lost ball; steal by J. Leuer),,31-32,,
9:12.0,,,31-34,2,J. Leuer makes 2-pt shot at rim
8:54.0,S. Muhammad misses 2-pt shot from 1 ft,,31-34,,
8:50.0,,,31-34,,Defensive rebound by J. Leuer
8:47.0,,,31-36,2,C. Budinger makes 2-pt shot from 1 ft (assist by J. Leuer)
8:25.0,Official timeout,,31-36,,
8:25.0,,,31-36,,R. Price enters the game for D. Booker
8:25.0,R. Rubio enters the game for T. Jones,,31-36,,
8:23.0,Turnover by A. Wiggins (lost ball),,31-36,,
8:04.0,,,31-36,,C. Budinger misses 3-pt shot from 23 ft
8:02.0,Defensive rebound by G. Dieng,,31-36,,
7:58.0,S. Muhammad makes 2-pt shot from 1 ft (assist by R. Rubio),2,33-36,,
7:42.0,,,33-36,,A. Goodwin misses 2-pt shot from 5 ft
7:38.0,Defensive rebound by G. Dieng,,33-36,,
7:33.0,S. Muhammad misses 2-pt shot from 1 ft (block by A. Goodwin),,33-36,,
7:31.0,,,33-36,,Defensive rebound by M. Teletovic
7:27.0,,,33-36,,C. Budinger misses 2-pt shot from 2 ft (block by G. Dieng)
7:24.0,,,33-36,,Offensive rebound by A. Goodwin
7:23.0,,,33-36,,A. Goodwin misses 2-pt shot from 6 ft
7:22.0,Defensive rebound by R. Rubio,,33-36,,
7:18.0,,,33-36,,Personal block foul by R. Price
7:18.0,,,33-36,,A. Len enters the game for J. Leuer
7:07.0,T. Prince makes 2-pt shot from 17 ft (assist by A. Wiggins),2,35-36,,
6:51.0,,,35-36,,C. Budinger misses 3-pt shot from 24 ft
6:49.0,Defensive rebound by S. Muhammad,,35-36,,
6:39.0,A. Wiggins makes 2-pt shot from 2 ft,2,37-36,,
6:35.0,,,37-36,,Turnover by A. Len (lost ball; steal by G. Dieng)
6:30.0,S. Muhammad makes 2-pt shot at rim (assist by R. Rubio),2,39-36,,
6:07.0,,,39-38,2,A. Goodwin makes 2-pt shot from 1 ft
5:50.0,A. Wiggins misses 2-pt shot from 17 ft,,39-38,,
5:48.0,,,39-38,,Defensive rebound by C. Budinger
5:45.0,,,39-38,,Phoenix full timeout
5:45.0,,,39-38,,P. Tucker enters the game for C. Budinger
5:45.0,K. Towns enters the game for G. Dieng,,39-38,,
5:45.0,,,39-38,,Turnover by Team (5 sec inbounds)
5:38.0,,,39-38,,Personal foul by R. Price
5:33.0,Offensive foul by T. Prince,,39-38,,
5:33.0,Turnover by T. Prince (offensive foul),,39-38,,
5:16.0,,,39-38,,Turnover by A. Len (lost ball; steal by S. Muhammad)
5:11.0,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio),2,41-38,,
5:07.0,,,41-38,,Turnover by A. Goodwin (traveling)
4:54.0,K. Towns makes 2-pt shot from 12 ft (assist by R. Rubio),2,43-38,,
4:37.0,,,43-38,,M. Teletovic misses 2-pt shot from 16 ft (block by A. Wiggins)
4:34.0,,,43-38,,Offensive rebound by A. Goodwin
4:34.0,,,43-38,,Shooting foul by K. Towns (drawn by A. Goodwin)
4:34.0,,,43-38,,A. Goodwin misses free throw 1 of 2
4:34.0,,,43-38,,Offensive rebound by Team
4:34.0,,,43-38,,B. Knight enters the game for M. Teletovic
4:34.0,,,43-38,,T. Chandler enters the game for R. Price
4:34.0,G. Dieng enters the game for K. Towns,,43-38,,
4:34.0,,,43-39,1,A. Goodwin makes free throw 2 of 2
4:13.0,R. Rubio makes 2-pt shot from 19 ft (assist by A. Wiggins),2,45-39,,
3:53.0,,,45-39,,A. Goodwin misses 2-pt shot from 1 ft
3:51.0,,,45-39,,Offensive rebound by T. Chandler
3:51.0,,,45-41,2,T. Chandler makes 2-pt shot at rim
3:39.0,R. Rubio makes 2-pt shot from 19 ft,2,47-41,,
3:13.0,,,47-41,,B. Knight misses 3-pt shot from 24 ft
3:10.0,,,47-41,,Offensive rebound by A. Len
3:01.0,,,47-41,,Turnover by A. Len (lost ball; steal by T. Prince)
2:58.0,A. Wiggins makes 2-pt shot at rim (assist by T. Prince),2,49-41,,
2:56.0,,,49-41,,Phoenix full timeout
2:56.0,Minnesota full timeout,,49-41,,
2:56.0,A. Payne enters the game for T. Prince,,49-41,,
2:56.0,,,49-41,,D. Booker enters the game for A. Goodwin
2:32.0,,,49-41,,A. Len misses 3-pt shot from 24 ft
2:31.0,,,49-41,,Offensive rebound by T. Chandler
2:15.0,,,49-41,,Turnover by D. Booker (bad pass)
2:04.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,51-41,,
1:50.0,,,51-41,,D. Booker misses 3-pt shot from 24 ft
1:48.0,,,51-41,,Offensive rebound by A. Len
1:44.0,Personal foul by A. Payne,,51-41,,
1:44.0,,,51-41,,A. Len misses free throw 1 of 2
1:44.0,,,51-41,,Offensive rebound by Team
1:44.0,,,51-42,1,A. Len makes free throw 2 of 2
1:30.0,G. Dieng misses 2-pt shot from 17 ft,,51-42,,
1:28.0,Offensive rebound by S. Muhammad,,51-42,,
1:26.0,S. Muhammad misses 2-pt shot from 2 ft (block by T. Chandler),,51-42,,
1:24.0,,,51-42,,Defensive rebound by T. Chandler
1:19.0,,,51-44,2,D. Booker makes 2-pt shot from 4 ft (assist by P. Tucker)
1:10.0,A. Wiggins makes 2-pt shot from 19 ft (assist by R. Rubio),2,53-44,,
0:56.0,,,53-44,,Shooting foul by G. Dieng (drawn by T. Chandler)
0:56.0,,,53-45,1,T. Chandler makes free throw 1 of 2
0:56.0,,,53-46,1,T. Chandler makes free throw 2 of 2
0:36.0,A. Payne misses 2-pt shot from 15 ft,,53-46,,
0:35.0,Offensive rebound by S. Muhammad,,53-46,,
0:33.0,S. Muhammad makes 2-pt shot from 2 ft,2,55-46,,
0:16.0,,,55-46,,B. Knight misses 3-pt shot from 24 ft
0:15.0,,,55-46,,Offensive rebound by Team
0:15.0,Loose ball foul by G. Dieng,,55-46,,
0:15.0,,,55-46,,T. Chandler misses free throw 1 of 2
0:15.0,,,55-46,,Offensive rebound by Team
0:15.0,,,55-46,,M. Teletovic enters the game for A. Len
0:15.0,,,55-47,1,T. Chandler makes free throw 2 of 2
0:12.0,Minnesota full timeout,,55-47,,
0:01.0,,,55-47,,Personal block foul by M. Teletovic
0:00.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,57-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,Z. LaVine misses 3-pt shot from 25 ft,,57-47,,
11:34.0,,,57-47,,Defensive rebound by T. Chandler
11:22.0,,,57-47,,A. Len misses 2-pt shot from 16 ft
11:22.0,,,57-47,,Offensive rebound by P. Tucker
11:22.0,,,57-47,,Shooting foul by R. Rubio (drawn by P. Tucker)
11:22.0,,,57-48,1,P. Tucker makes free throw 1 of 2
11:22.0,,,57-49,1,P. Tucker makes free throw 2 of 2
11:13.0,Turnover by G. Dieng (lost ball; steal by P. Tucker),,57-49,,
11:09.0,,,57-51,2,P. Tucker makes 2-pt shot from 1 ft
10:48.0,R. Rubio misses 2-pt shot from 6 ft,,57-51,,
10:46.0,Offensive rebound by G. Dieng,,57-51,,
10:40.0,K. Towns makes 2-pt shot at rim (assist by Z. LaVine),2,59-51,,
10:08.0,,,59-53,2,A. Len makes 2-pt shot from 4 ft (assist by T. Chandler)
9:55.0,K. Towns misses 2-pt shot from 1 ft,,59-53,,
9:53.0,,,59-53,,Defensive rebound by A. Len
9:45.0,,,59-53,,B. Knight misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by K. Towns,,59-53,,
9:34.0,,,59-53,,Personal foul by D. Booker
9:23.0,K. Towns misses 2-pt shot from 9 ft,,59-53,,
9:21.0,,,59-53,,Defensive rebound by A. Len
9:11.0,,,59-53,,A. Len misses 2-pt shot from 17 ft
9:09.0,Defensive rebound by K. Towns,,59-53,,
9:02.0,Turnover by G. Dieng (lost ball),,59-53,,
9:02.0,,,59-53,,C. Budinger enters the game for P. Tucker
8:48.0,,,59-53,,T. Chandler misses 2-pt shot from 4 ft
8:46.0,Defensive rebound by K. Towns,,59-53,,
8:42.0,R. Rubio misses 2-pt shot from 14 ft,,59-53,,
8:39.0,,,59-53,,Defensive rebound by T. Chandler
8:30.0,,,59-55,2,C. Budinger makes 2-pt shot at rim (assist by A. Len)
8:30.0,Minnesota full timeout,,59-55,,
8:14.0,R. Rubio misses 3-pt shot from 24 ft,,59-55,,
8:12.0,Offensive rebound by K. Towns,,59-55,,
8:05.0,R. Rubio makes 3-pt shot from 25 ft (assist by K. Towns),3,62-55,,
7:43.0,,,62-55,,P. Tucker enters the game for C. Budinger
7:41.0,,,62-57,2,D. Booker makes 2-pt shot from 15 ft (assist by P. Tucker)
7:22.0,K. Towns makes 2-pt shot from 19 ft,2,64-57,,
7:02.0,,,64-60,3,P. Tucker makes 3-pt shot from 23 ft (assist by D. Booker)
6:50.0,Shooting foul by T. Chandler (drawn by G. Dieng),,64-60,,
6:50.0,G. Dieng makes free throw 1 of 2,1,65-60,,
6:50.0,G. Dieng makes free throw 2 of 2,1,66-60,,
6:38.0,,,66-62,2,A. Len makes 2-pt shot from 14 ft (assist by D. Booker)
6:24.0,R. Rubio misses 2-pt shot from 17 ft,,66-62,,
6:22.0,,,66-62,,Defensive rebound by T. Chandler
6:13.0,,,66-64,2,P. Tucker makes 2-pt shot from 1 ft
5:58.0,K. Towns misses 2-pt shot from 18 ft,,66-64,,
5:55.0,,,66-64,,Defensive rebound by P. Tucker
5:47.0,Personal foul by A. Wiggins,,66-64,,
5:40.0,,,66-64,,Turnover by A. Len (lost ball; steal by A. Wiggins)
5:40.0,,,66-64,,Clear path foul by D. Booker
5:40.0,Z. LaVine makes clear path free throw 1 of 2,1,67-64,,
5:40.0,Z. LaVine makes clear path free throw 2 of 2,1,68-64,,
5:32.0,A. Wiggins misses 2-pt shot from 17 ft,,68-64,,
5:30.0,,,68-64,,Defensive rebound by A. Len
5:18.0,,,68-66,2,A. Len makes 2-pt shot at rim (assist by B. Knight)
5:10.0,A. Wiggins misses 2-pt shot from 2 ft,,68-66,,
5:07.0,,,68-66,,Defensive rebound by T. Chandler
5:03.0,,,68-66,,P. Tucker misses 3-pt shot from 23 ft
5:00.0,Defensive rebound by Z. LaVine,,68-66,,
4:52.0,Z. LaVine makes 2-pt shot from 20 ft (assist by K. Towns),2,70-66,,
4:38.0,,,70-66,,P. Tucker misses 2-pt shot from 3 ft (block by G. Dieng)
4:38.0,,,70-66,,Offensive rebound by Team
4:36.0,,,70-66,,D. Booker misses 2-pt shot from 13 ft
4:34.0,Defensive rebound by G. Dieng,,70-66,,
4:31.0,Turnover by R. Rubio (bad pass),,70-66,,
4:13.0,,,70-66,,D. Booker misses 3-pt shot from 24 ft
4:11.0,Defensive rebound by R. Rubio,,70-66,,
4:06.0,R. Rubio misses 2-pt shot from 16 ft,,70-66,,
4:01.0,,,70-66,,Defensive rebound by A. Len
3:58.0,,,70-68,2,D. Booker makes 2-pt shot from 1 ft (assist by B. Knight)
3:39.0,Z. LaVine misses 3-pt shot from 24 ft,,70-68,,
3:37.0,,,70-68,,Defensive rebound by D. Booker
3:26.0,,,70-68,,B. Knight misses 3-pt shot from 25 ft
3:24.0,Defensive rebound by K. Towns,,70-68,,
3:06.0,Turnover by K. Towns (lost ball; steal by A. Len),,70-68,,
3:02.0,,,70-68,,D. Booker misses 2-pt shot from 1 ft
3:01.0,,,70-68,,Offensive rebound by Team
3:01.0,T. Jones enters the game for Z. LaVine,,70-68,,
3:01.0,S. Muhammad enters the game for R. Rubio,,70-68,,
2:52.0,,,70-68,,Phoenix full timeout
2:52.0,T. Prince enters the game for A. Wiggins,,70-68,,
2:47.0,,,70-68,,A. Len misses 2-pt shot from 1 ft
2:47.0,,,70-68,,Offensive rebound by A. Len
2:47.0,,,70-68,,Shooting foul by K. Towns (drawn by A. Len)
2:47.0,,,70-69,1,A. Len makes free throw 1 of 2
2:47.0,,,70-70,1,A. Len makes free throw 2 of 2
2:30.0,G. Dieng misses 2-pt shot from 2 ft (block by T. Chandler),,70-70,,
2:28.0,,,70-70,,Defensive rebound by A. Len
2:27.0,Personal block foul by T. Jones,,70-70,,
2:23.0,,,70-70,,Turnover by D. Booker (lost ball; steal by G. Dieng)
2:11.0,G. Dieng makes 2-pt shot from 15 ft (assist by T. Jones),2,72-70,,
1:55.0,,,72-70,,P. Tucker misses 3-pt shot from 24 ft
1:53.0,Defensive rebound by G. Dieng,,72-70,,
1:46.0,S. Muhammad misses 2-pt shot from 16 ft,,72-70,,
1:44.0,Offensive rebound by K. Towns,,72-70,,
1:31.0,K. Towns makes 2-pt shot from 21 ft,2,74-70,,
1:31.0,Shooting foul by T. Chandler (drawn by K. Towns),,74-70,,
1:31.0,,,74-70,,M. Teletovic enters the game for T. Chandler
1:31.0,K. Towns makes free throw 1 of 1,1,75-70,,
1:12.0,,,75-73,3,B. Knight makes 3-pt shot from 25 ft
0:52.0,G. Dieng makes 2-pt shot from 5 ft,2,77-73,,
0:52.0,Shooting foul by A. Len (drawn by G. Dieng),,77-73,,
0:52.0,N. Bjelica enters the game for K. Towns,,77-73,,
0:52.0,G. Dieng makes free throw 1 of 1,1,78-73,,
0:43.0,,,78-73,,B. Knight misses 2-pt shot from 5 ft
0:39.0,Defensive rebound by T. Jones,,78-73,,
0:34.0,T. Prince misses 2-pt shot from 14 ft,,78-73,,
0:31.0,,,78-73,,Defensive rebound by A. Len
0:26.0,,,78-76,3,M. Teletovic makes 3-pt shot from 24 ft
0:06.0,T. Jones misses 3-pt shot from 24 ft,,78-76,,
0:04.0,,,78-76,,Defensive rebound by P. Tucker
0:01.0,,,78-76,,Turnover by B. Knight (bad pass)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,78-76,,Offensive foul by A. Len
11:50.0,,,78-76,,Turnover by A. Len (offensive foul)
11:37.0,S. Muhammad misses 2-pt shot from 9 ft,,78-76,,
11:32.0,,,78-76,,Defensive rebound by A. Len
11:27.0,,,78-78,2,B. Knight makes 2-pt shot at rim
11:04.0,Turnover by S. Muhammad (traveling),,78-78,,
10:49.0,,,78-78,,D. Booker misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by G. Dieng,,78-78,,
10:45.0,,,78-78,,Personal block foul by B. Knight
10:45.0,K. Towns enters the game for G. Dieng,,78-78,,
10:41.0,S. Muhammad misses 2-pt shot from 18 ft,,78-78,,
10:39.0,,,78-78,,Defensive rebound by B. Knight
10:20.0,,,78-81,3,P. Tucker makes 3-pt shot from 23 ft (assist by D. Booker)
10:02.0,N. Bjelica misses 3-pt shot from 26 ft,,78-81,,
10:00.0,,,78-81,,Defensive rebound by B. Knight
9:49.0,,,78-84,3,P. Tucker makes 3-pt shot from 23 ft (assist by B. Knight)
9:48.0,Minnesota full timeout,,78-84,,
9:48.0,Z. LaVine enters the game for N. Bjelica,,78-84,,
9:48.0,R. Rubio enters the game for T. Jones,,78-84,,
9:48.0,A. Wiggins enters the game for S. Muhammad,,78-84,,
9:36.0,K. Towns makes 2-pt shot from 5 ft (assist by R. Rubio),2,80-84,,
9:15.0,Personal foul by R. Rubio,,80-84,,
9:10.0,,,80-84,,Turnover by B. Knight (lost ball; steal by R. Rubio)
9:07.0,Z. LaVine makes 2-pt shot from 1 ft (assist by R. Rubio),2,82-84,,
9:07.0,Shooting foul by A. Len (drawn by Z. LaVine),,82-84,,
9:07.0,,,82-84,,J. Leuer enters the game for A. Len
9:07.0,Z. LaVine makes free throw 1 of 1,1,83-84,,
8:48.0,,,83-86,2,P. Tucker makes 2-pt shot at rim
8:35.0,Turnover by R. Rubio (lost ball; steal by M. Teletovic),,83-86,,
8:30.0,,,83-86,,P. Tucker misses 2-pt shot from 1 ft
8:27.0,,,83-86,,Offensive rebound by P. Tucker
8:27.0,,,83-86,,P. Tucker misses 2-pt shot from 1 ft
8:24.0,,,83-86,,Offensive rebound by P. Tucker
8:24.0,,,83-86,,P. Tucker misses 2-pt shot from 2 ft
8:22.0,Defensive rebound by K. Towns,,83-86,,
8:21.0,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio),2,85-86,,
8:21.0,Shooting foul by M. Teletovic (drawn by Z. LaVine),,85-86,,
8:21.0,Z. LaVine makes free throw 1 of 1,1,86-86,,
8:07.0,,,86-89,3,B. Knight makes 3-pt shot from 23 ft (assist by D. Booker)
7:56.0,,,86-89,,Personal foul by B. Knight
7:51.0,A. Wiggins makes 2-pt shot from 19 ft,2,88-89,,
7:38.0,,,88-89,,Turnover by D. Booker (lost ball; steal by A. Wiggins)
7:30.0,Z. LaVine misses 3-pt shot from 24 ft,,88-89,,
7:27.0,Offensive rebound by T. Prince,,88-89,,
7:13.0,Turnover by K. Towns (lost ball; steal by B. Knight),,88-89,,
6:53.0,,,88-89,,J. Leuer misses 2-pt shot from 21 ft
6:51.0,Defensive rebound by R. Rubio,,88-89,,
6:42.0,,,88-89,,Personal foul by J. Leuer
6:42.0,K. Towns misses free throw 1 of 2,,88-89,,
6:42.0,Offensive rebound by Team,,88-89,,
6:42.0,,,88-89,,T. Chandler enters the game for J. Leuer
6:42.0,K. Towns makes free throw 2 of 2,1,89-89,,
6:27.0,,,89-89,,B. Knight misses 3-pt shot from 24 ft
6:25.0,Defensive rebound by A. Wiggins,,89-89,,
6:15.0,T. Prince misses 3-pt shot from 24 ft,,89-89,,
6:13.0,,,89-89,,Defensive rebound by P. Tucker
6:05.0,,,89-89,,B. Knight misses 2-pt shot from 14 ft
6:03.0,,,89-89,,Offensive rebound by M. Teletovic
6:03.0,,,89-91,2,M. Teletovic makes 2-pt shot from 1 ft
5:37.0,R. Rubio misses 3-pt shot from 25 ft,,89-91,,
5:35.0,,,89-91,,Defensive rebound by M. Teletovic
5:23.0,,,89-91,,Turnover by B. Knight (lost ball; steal by R. Rubio)
5:21.0,Shooting foul by D. Booker (drawn by Z. LaVine),,89-91,,
5:21.0,Official timeout,,89-91,,
5:21.0,S. Muhammad enters the game for T. Prince,,89-91,,
5:21.0,Z. LaVine misses free throw 1 of 2,,89-91,,
5:21.0,Offensive rebound by Team,,89-91,,
