time,Orlando,pts.away,score,pts.home,Portland
1:04.0,,,40-59,,A. Aminu misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by E. Ilyasova,,40-59,,
0:59.0,Turnover by E. Fournier (step out of bounds),,40-59,,
0:42.0,,,40-59,,C. McCollum misses 2-pt shot from 7 ft
0:41.0,,,40-59,,Offensive rebound by A. Aminu
0:41.0,,,40-61,2,A. Aminu makes 2-pt shot at rim
0:36.0,C. Watson misses 2-pt shot from 9 ft,,40-61,,
0:35.0,,,40-61,,Defensive rebound by A. Aminu
0:25.0,,,40-61,,C. McCollum misses 2-pt shot from 1 ft
0:25.0,,,40-61,,Offensive rebound by M. Plumlee
0:25.0,,,40-63,2,M. Plumlee makes 2-pt shot at rim
0:01.0,V. Oladipo makes 2-pt shot from 20 ft,2,42-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,42-63,,Turnover by N. Vonleh (lost ball; steal by V. Oladipo)
11:33.0,V. Oladipo makes 2-pt shot at rim,2,44-63,,
11:20.0,,,44-63,,N. Vonleh misses 2-pt shot from 2 ft
11:19.0,Defensive rebound by D. Dedmon,,44-63,,
11:11.0,V. Oladipo makes 3-pt shot from 24 ft (assist by C. Watson),3,47-63,,
10:52.0,,,47-66,3,D. Lillard makes 3-pt shot from 26 ft (assist by C. McCollum)
10:50.0,,,47-66,,Violation by Team (jump ball)
10:45.0,Offensive foul by C. Watson,,47-66,,
10:45.0,Turnover by C. Watson (offensive foul),,47-66,,
10:33.0,,,47-66,,C. McCollum misses 3-pt shot from 22 ft
10:31.0,Defensive rebound by D. Dedmon,,47-66,,
10:23.0,,,47-66,,Personal foul by D. Lillard
10:15.0,V. Oladipo misses 2-pt shot from 16 ft,,47-66,,
10:14.0,,,47-66,,Defensive rebound by D. Lillard
9:55.0,,,47-69,3,A. Aminu makes 3-pt shot from 22 ft (assist by M. Plumlee)
9:32.0,E. Fournier misses 2-pt shot from 13 ft,,47-69,,
9:32.0,,,47-69,,Defensive rebound by M. Plumlee
9:21.0,,,47-71,2,D. Lillard makes 2-pt shot from 2 ft
9:07.0,A. Gordon makes 2-pt shot from 15 ft (assist by C. Watson),2,49-71,,
8:51.0,,,49-71,,A. Aminu misses 2-pt shot at rim
8:50.0,,,49-71,,Offensive rebound by A. Aminu
8:50.0,,,49-71,,A. Aminu misses 2-pt shot at rim (block by A. Gordon)
8:48.0,Defensive rebound by E. Fournier,,49-71,,
8:42.0,C. Watson misses 3-pt shot from 22 ft,,49-71,,
8:41.0,,,49-71,,Defensive rebound by M. Plumlee
8:30.0,,,49-73,2,D. Lillard makes 2-pt shot from 2 ft
8:17.0,Turnover by E. Fournier (traveling),,49-73,,
8:02.0,,,49-73,,D. Lillard misses 2-pt shot from 1 ft (block by V. Oladipo)
8:01.0,,,49-73,,Offensive rebound by D. Lillard
7:56.0,,,49-73,,Turnover by D. Lillard (lost ball; steal by A. Gordon)
7:41.0,Shooting foul by M. Plumlee (drawn by C. Watson),,49-73,,
7:41.0,C. Watson makes 2-pt shot from 1 ft,2,51-73,,
7:41.0,C. Watson makes free throw 1 of 1,1,52-73,,
7:20.0,,,52-73,,N. Vonleh misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by E. Fournier,,52-73,,
7:12.0,A. Gordon misses 3-pt shot from 22 ft,,52-73,,
7:11.0,Offensive rebound by D. Dedmon,,52-73,,
7:08.0,E. Fournier misses 3-pt shot from 25 ft,,52-73,,
7:07.0,,,52-73,,Defensive rebound by M. Plumlee
6:50.0,,,52-73,,C. McCollum misses 3-pt shot from 24 ft
6:50.0,Defensive rebound by D. Dedmon,,52-73,,
6:36.0,Turnover by C. Watson (lost ball; steal by A. Aminu),,52-73,,
6:23.0,,,52-76,3,C. McCollum makes 3-pt shot from 22 ft (assist by A. Aminu)
6:22.0,Orlando full timeout,,52-76,,
6:22.0,S. Napier enters the game for D. Dedmon,,52-76,,
6:22.0,J. Smith enters the game for C. Watson,,52-76,,
6:12.0,S. Napier misses 2-pt shot from 19 ft,,52-76,,
6:11.0,,,52-76,,Defensive rebound by N. Vonleh
5:49.0,,,52-76,,N. Vonleh misses 3-pt shot from 24 ft
5:49.0,Defensive rebound by E. Fournier,,52-76,,
5:36.0,J. Smith misses 2-pt shot from 19 ft,,52-76,,
5:36.0,,,52-76,,Defensive rebound by D. Lillard
5:23.0,,,52-76,,C. McCollum misses 3-pt shot from 24 ft
5:23.0,Defensive rebound by V. Oladipo,,52-76,,
5:17.0,Turnover by J. Smith (offensive foul),,52-76,,
5:17.0,Offensive foul by J. Smith,,52-76,,
5:17.0,,,52-76,,M. Leonard enters the game for M. Plumlee
5:17.0,,,52-76,,E. Davis enters the game for N. Vonleh
5:02.0,,,52-78,2,D. Lillard makes 2-pt shot from 17 ft
4:48.0,V. Oladipo makes 2-pt shot from 20 ft (assist by A. Gordon),2,54-78,,
4:31.0,,,54-80,2,C. McCollum makes 2-pt shot from 1 ft
4:18.0,A. Gordon makes 2-pt shot from 19 ft (assist by S. Napier),2,56-80,,
3:59.0,,,56-80,,Turnover by D. Lillard (bad pass)
3:59.0,M. Hezonja enters the game for V. Oladipo,,56-80,,
3:47.0,J. Smith makes 2-pt shot from 20 ft (assist by E. Fournier),2,58-80,,
3:26.0,,,58-82,2,M. Leonard makes 2-pt shot from 5 ft (assist by D. Lillard)
3:04.0,J. Smith makes 2-pt shot from 19 ft (assist by E. Fournier),2,60-82,,
3:04.0,,,60-82,,Portland full timeout
3:04.0,E. Ilyasova enters the game for A. Gordon,,60-82,,
3:04.0,,,60-82,,A. Crabbe enters the game for A. Aminu
3:04.0,,,60-82,,G. Henderson enters the game for C. McCollum
2:52.0,,,60-82,,D. Lillard misses 3-pt shot from 24 ft
2:51.0,Defensive rebound by S. Napier,,60-82,,
2:42.0,,,60-82,,Flagrant foul type 1 by E. Davis
2:42.0,,,60-82,,M. Plumlee enters the game for E. Davis
2:42.0,J. Smith makes flagrant free throw 1 of 2,1,61-82,,
2:42.0,J. Smith misses flagrant free throw 2 of 2,,61-82,,
2:42.0,Offensive rebound by Team,,61-82,,
2:30.0,E. Fournier makes 2-pt shot from 10 ft,2,63-82,,
2:10.0,,,63-82,,D. Lillard misses 3-pt shot from 27 ft
2:10.0,Defensive rebound by E. Ilyasova,,63-82,,
1:53.0,E. Fournier misses 2-pt shot from 21 ft,,63-82,,
1:52.0,Offensive rebound by Team,,63-82,,
1:48.0,Shooting foul by A. Crabbe (drawn by E. Ilyasova),,63-82,,
1:48.0,E. Ilyasova misses free throw 1 of 2,,63-82,,
1:48.0,Offensive rebound by Team,,63-82,,
1:48.0,E. Ilyasova makes free throw 2 of 2,1,64-82,,
1:23.0,,,64-85,3,G. Henderson makes 3-pt shot from 24 ft (assist by M. Leonard)
1:14.0,E. Fournier misses 3-pt shot from 24 ft,,64-85,,
1:13.0,,,64-85,,Defensive rebound by M. Plumlee
1:04.0,,,64-85,,Shooting foul by J. Smith (drawn by D. Lillard)
1:04.0,,,64-86,1,D. Lillard makes free throw 1 of 2
1:04.0,D. Marble enters the game for E. Fournier,,64-86,,
1:04.0,,,64-87,1,D. Lillard makes free throw 2 of 2
0:53.0,D. Marble misses 2-pt shot from 9 ft,,64-87,,
0:52.0,,,64-87,,Defensive rebound by M. Plumlee
0:38.0,,,64-87,,D. Lillard misses 3-pt shot from 24 ft
0:38.0,Defensive rebound by M. Hezonja,,64-87,,
0:29.0,Shooting foul by M. Leonard (drawn by J. Smith),,64-87,,
0:29.0,J. Smith misses free throw 1 of 2,,64-87,,
0:29.0,Offensive rebound by Team,,64-87,,
0:29.0,J. Smith makes free throw 2 of 2,1,65-87,,
0:09.0,,,65-90,3,D. Lillard makes 3-pt shot from 25 ft (assist by G. Henderson)
0:02.0,S. Napier misses 3-pt shot from 24 ft,,65-90,,
0:00.0,Offensive rebound by J. Smith,,65-90,,
0:00.0,J. Smith misses 2-pt shot from 14 ft,,65-90,,
0:00.0,Offensive rebound by Team,,65-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,65-90,,Personal foul by M. Plumlee
11:43.0,S. Napier misses 3-pt shot from 24 ft,,65-90,,
11:42.0,,,65-90,,Defensive rebound by A. Crabbe
11:21.0,,,65-90,,G. Henderson misses 3-pt shot from 22 ft
11:21.0,Defensive rebound by M. Hezonja,,65-90,,
11:11.0,Turnover by M. Hezonja (bad pass),,65-90,,
10:59.0,,,65-90,,Shooting foul by E. Ilyasova (drawn by A. Crabbe)
10:59.0,,,65-91,1,A. Crabbe makes free throw 1 of 2
10:59.0,,,65-92,1,A. Crabbe makes free throw 2 of 2
10:46.0,A. Gordon makes 2-pt shot at rim (assist by D. Marble),2,67-92,,
10:26.0,,,67-95,3,M. Leonard makes 3-pt shot from 22 ft (assist by G. Henderson)
10:16.0,A. Gordon makes 2-pt shot from 20 ft (assist by M. Hezonja),2,69-95,,
10:07.0,Personal foul by A. Gordon,,69-95,,
9:59.0,,,69-95,,Turnover by C. McCollum (step out of bounds)
9:45.0,A. Gordon misses 2-pt shot from 19 ft,,69-95,,
9:44.0,Offensive rebound by E. Ilyasova,,69-95,,
9:39.0,E. Ilyasova misses 2-pt shot from 5 ft,,69-95,,
9:38.0,Offensive rebound by A. Gordon,,69-95,,
9:20.0,A. Gordon makes 3-pt shot from 24 ft (assist by D. Marble),3,72-95,,
9:01.0,,,72-95,,G. Henderson misses 2-pt shot from 2 ft
9:00.0,Defensive rebound by A. Gordon,,72-95,,
8:56.0,Turnover by A. Gordon (lost ball; steal by G. Henderson),,72-95,,
8:53.0,Personal foul by D. Marble,,72-95,,
8:53.0,Official timeout,,72-95,,
8:42.0,,,72-95,,Shooting foul by A. Gordon (drawn by M. Plumlee)
8:42.0,,,72-96,1,M. Plumlee makes free throw 1 of 2
8:42.0,,,72-96,,M. Plumlee misses free throw 2 of 2
8:40.0,Defensive rebound by E. Ilyasova,,72-96,,
8:40.0,Turnover by E. Ilyasova (step out of bounds),,72-96,,
8:38.0,,,72-96,,Shooting foul by M. Hezonja (drawn by A. Crabbe)
8:38.0,,,72-97,1,A. Crabbe makes free throw 1 of 2
8:38.0,,,72-98,1,A. Crabbe makes free throw 2 of 2
8:27.0,S. Napier misses 3-pt shot from 25 ft,,72-98,,
8:26.0,,,72-98,,Defensive rebound by A. Crabbe
8:12.0,,,72-98,,C. McCollum misses 2-pt shot at rim
8:11.0,,,72-98,,Offensive rebound by C. McCollum
8:11.0,,,72-100,2,C. McCollum makes 2-pt shot at rim
7:54.0,A. Gordon misses 2-pt shot from 1 ft (block by G. Henderson),,72-100,,
7:54.0,Offensive rebound by Team,,72-100,,
7:54.0,,,72-100,,B. Roberts enters the game for C. McCollum
7:54.0,,,72-100,,M. Harkless enters the game for G. Henderson
7:54.0,A. Nicholson enters the game for A. Gordon,,72-100,,
7:54.0,,,72-100,,P. Connaughton enters the game for A. Crabbe
7:54.0,,,72-100,,C. Kaman enters the game for M. Plumlee
7:48.0,E. Ilyasova misses 2-pt shot from 22 ft,,72-100,,
7:47.0,Offensive rebound by M. Hezonja,,72-100,,
7:44.0,M. Hezonja misses 3-pt shot from 22 ft,,72-100,,
7:43.0,Offensive rebound by Team,,72-100,,
7:39.0,Shooting foul by M. Harkless (drawn by D. Marble),,72-100,,
7:39.0,D. Marble misses free throw 1 of 2,,72-100,,
7:39.0,Offensive rebound by Team,,72-100,,
7:39.0,D. Marble makes free throw 2 of 2,1,73-100,,
7:19.0,,,73-103,3,M. Leonard makes 3-pt shot from 25 ft (assist by P. Connaughton)
7:06.0,M. Hezonja makes 2-pt shot from 17 ft,2,75-103,,
6:49.0,,,75-103,,Offensive foul by M. Harkless
6:49.0,,,75-103,,Turnover by M. Harkless (offensive foul)
6:49.0,,,75-103,,N. Vonleh enters the game for M. Leonard
6:35.0,D. Marble misses 3-pt shot from 24 ft,,75-103,,
6:34.0,,,75-103,,Defensive rebound by P. Connaughton
6:29.0,,,75-105,2,M. Harkless makes 2-pt shot at rim (assist by P. Connaughton)
6:19.0,S. Napier misses 2-pt shot from 2 ft,,75-105,,
6:19.0,,,75-105,,Defensive rebound by P. Connaughton
6:05.0,,,75-105,,Offensive foul by N. Vonleh
6:05.0,,,75-105,,Turnover by N. Vonleh (offensive foul)
5:52.0,M. Hezonja misses 2-pt shot from 18 ft,,75-105,,
5:51.0,,,75-105,,Defensive rebound by N. Vonleh
5:41.0,,,75-105,,P. Connaughton misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by A. Nicholson,,75-105,,
5:35.0,S. Napier misses 3-pt shot from 24 ft,,75-105,,
5:34.0,,,75-105,,Defensive rebound by N. Vonleh
5:21.0,,,75-108,3,B. Roberts makes 3-pt shot from 22 ft (assist by P. Connaughton)
5:05.0,D. Marble makes 2-pt shot from 6 ft,2,77-108,,
4:44.0,,,77-108,,N. Vonleh misses 2-pt shot from 21 ft
4:44.0,,,77-108,,Offensive rebound by P. Connaughton
4:35.0,,,77-108,,Turnover by B. Roberts (lost ball; steal by D. Marble)
4:22.0,E. Ilyasova misses 2-pt shot from 6 ft,,77-108,,
4:20.0,,,77-108,,Defensive rebound by C. Kaman
4:07.0,,,77-110,2,P. Connaughton makes 2-pt shot from 1 ft
3:54.0,A. Nicholson misses 3-pt shot from 24 ft,,77-110,,
3:54.0,Offensive rebound by Team,,77-110,,
3:54.0,,,77-110,,Loose ball foul by N. Vonleh
3:54.0,,,77-110,,Portland full timeout
3:41.0,A. Nicholson makes 2-pt shot from 18 ft (assist by M. Hezonja),2,79-110,,
3:21.0,,,79-112,2,P. Connaughton makes 2-pt shot from 1 ft (assist by C. Kaman)
3:06.0,S. Napier misses 3-pt shot from 27 ft,,79-112,,
3:05.0,Offensive rebound by E. Ilyasova,,79-112,,
3:05.0,Shooting foul by N. Vonleh (drawn by E. Ilyasova),,79-112,,
3:05.0,E. Ilyasova misses free throw 1 of 2,,79-112,,
3:05.0,Offensive rebound by Team,,79-112,,
3:05.0,E. Ilyasova makes free throw 2 of 2,1,80-112,,
2:49.0,,,80-112,,C. Kaman misses 2-pt shot from 13 ft
2:48.0,,,80-112,,Offensive rebound by N. Vonleh
2:45.0,,,80-114,2,N. Vonleh makes 2-pt shot at rim
2:29.0,D. Marble misses 2-pt shot from 18 ft,,80-114,,
2:28.0,,,80-114,,Defensive rebound by M. Harkless
2:19.0,,,80-116,2,N. Vonleh makes 2-pt shot at rim (assist by B. Roberts)
2:05.0,A. Nicholson misses 3-pt shot from 24 ft,,80-116,,
2:04.0,,,80-116,,Defensive rebound by N. Vonleh
1:54.0,,,80-116,,B. Roberts misses 2-pt shot from 20 ft
1:53.0,Defensive rebound by E. Ilyasova,,80-116,,
1:45.0,S. Napier misses 2-pt shot from 10 ft,,80-116,,
1:45.0,,,80-116,,Defensive rebound by C. Kaman
