time,Indiana,pts.away,score,pts.home,Milwaukee
4:01.0,M. Turner misses 2-pt shot from 1 ft,,26-16,,
3:59.0,Offensive rebound by S. Whittington,,26-16,,
3:59.0,S. Whittington makes 2-pt shot at rim,2,28-16,,
3:46.0,,,28-16,,Shooting foul by S. Whittington (drawn by G. Antetokounmpo)
3:46.0,,,28-17,1,G. Antetokounmpo makes free throw 1 of 2
3:46.0,G. Robinson enters the game for R. Stuckey,,28-17,,
3:46.0,,,28-18,1,G. Antetokounmpo makes free throw 2 of 2
3:31.0,,,28-18,,Violation by M. Plumlee (kicked ball)
3:24.0,S. Whittington makes 2-pt shot at rim (assist by G. Robinson),2,30-18,,
3:09.0,,,30-18,,Turnover by G. Antetokounmpo (traveling)
3:09.0,J. Hill enters the game for M. Turner,,30-18,,
2:50.0,G. Robinson misses 3-pt shot from 24 ft,,30-18,,
2:48.0,Offensive rebound by J. Hill,,30-18,,
2:38.0,S. Hill misses 3-pt shot from 28 ft,,30-18,,
2:36.0,Offensive rebound by S. Whittington,,30-18,,
2:35.0,,,30-18,,J. Parker enters the game for G. Antetokounmpo
2:24.0,S. Hill misses 2-pt shot from 3 ft,,30-18,,
2:22.0,Offensive rebound by J. Hill,,30-18,,
2:22.0,J. Hill misses 2-pt shot at rim,,30-18,,
2:21.0,Offensive rebound by S. Whittington,,30-18,,
2:19.0,S. Whittington misses 2-pt shot from 1 ft,,30-18,,
2:18.0,Offensive rebound by J. Hill,,30-18,,
2:18.0,Turnover by J. Hill (step out of bounds),,30-18,,
2:03.0,,,30-18,,J. O'Bryant misses 2-pt shot from 19 ft
2:02.0,,,30-18,,Offensive rebound by J. Parker
1:52.0,,,30-18,,J. Parker misses 2-pt shot from 3 ft
1:50.0,Defensive rebound by S. Whittington,,30-18,,
1:47.0,T. Lawson makes 2-pt shot at rim (assist by S. Hill),2,32-18,,
1:31.0,,,32-18,,J. Parker misses 2-pt shot from 19 ft
1:29.0,Defensive rebound by T. Lawson,,32-18,,
1:23.0,Turnover by S. Whittington (lost ball; steal by G. Vasquez),,32-18,,
1:18.0,,,32-18,,M. Plumlee misses 2-pt shot at rim
1:16.0,Defensive rebound by J. Hill,,32-18,,
1:10.0,T. Lawson makes 2-pt shot from 1 ft,2,34-18,,
1:01.0,J. Young enters the game for S. Hill,,34-18,,
0:53.0,,,34-18,,G. Vasquez misses 2-pt shot from 4 ft
0:52.0,Defensive rebound by S. Whittington,,34-18,,
0:45.0,Turnover by J. Young (lost ball; steal by J. Parker),,34-18,,
0:32.0,,,34-18,,G. Vasquez misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by J. Hill,,34-18,,
0:19.0,T. Lawson makes 3-pt shot from 26 ft (assist by J. Young),3,37-18,,
0:04.0,,,37-20,2,J. O'Bryant makes 2-pt shot at rim (assist by G. Vasquez)
0:01.0,J. Young misses 3-pt shot from 40 ft,,37-20,,
0:00.0,Offensive rebound by Team,,37-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,37-20,,M. Plumlee misses 2-pt shot from 10 ft
11:34.0,Defensive rebound by J. Young,,37-20,,
11:19.0,L. Allen makes 2-pt shot at rim (assist by G. Robinson),2,39-20,,
11:04.0,,,39-22,2,D. Inglis makes 2-pt shot from 13 ft (assist by M. Plumlee)
10:48.0,G. Robinson misses 2-pt shot from 1 ft,,39-22,,
10:46.0,Offensive rebound by L. Allen,,39-22,,
10:46.0,L. Allen makes 2-pt shot from 1 ft,2,41-22,,
10:34.0,,,41-22,,R. Vaughn misses 2-pt shot from 1 ft
10:33.0,Defensive rebound by J. Young,,41-22,,
10:29.0,G. Robinson makes 2-pt shot at rim (assist by J. Young),2,43-22,,
10:10.0,,,43-22,,J. Henson misses 2-pt shot from 9 ft
10:09.0,Defensive rebound by J. Hill,,43-22,,
10:00.0,J. Young misses 2-pt shot from 12 ft,,43-22,,
9:59.0,,,43-22,,Defensive rebound by D. Inglis
9:44.0,,,43-24,2,M. Plumlee makes 2-pt shot from 8 ft
9:25.0,J. Hill misses 2-pt shot from 18 ft,,43-24,,
9:24.0,,,43-24,,Defensive rebound by G. Vasquez
9:14.0,,,43-27,3,R. Vaughn makes 3-pt shot from 25 ft (assist by G. Vasquez)
8:54.0,J. Hill misses 2-pt shot from 21 ft,,43-27,,
8:53.0,,,43-27,,Defensive rebound by R. Vaughn
8:49.0,,,43-27,,Turnover by D. Inglis (bad pass)
8:49.0,Official timeout,,43-27,,
8:49.0,Violation by Team (jump ball),,43-27,,
8:32.0,Shooting foul by D. Inglis (drawn by S. Whittington),,43-27,,
8:32.0,S. Whittington makes free throw 1 of 2,1,44-27,,
8:32.0,S. Whittington misses free throw 2 of 2,,44-27,,
8:30.0,,,44-27,,Defensive rebound by M. Plumlee
8:11.0,,,44-27,,M. Plumlee misses 2-pt shot from 8 ft
8:11.0,Defensive rebound by Team,,44-27,,
7:49.0,S. Whittington misses 2-pt shot from 18 ft,,44-27,,
7:47.0,,,44-27,,Defensive rebound by M. Plumlee
7:39.0,,,44-27,,R. Vaughn misses 3-pt shot from 22 ft
7:37.0,Defensive rebound by J. Young,,44-27,,
7:24.0,G. Robinson makes 2-pt shot from 1 ft (assist by J. Young),2,46-27,,
7:13.0,,,46-29,2,R. Vaughn makes 2-pt shot from 17 ft
7:02.0,L. Allen makes 2-pt shot from 1 ft (assist by J. Young),2,48-29,,
6:45.0,,,48-29,,R. Vaughn misses 3-pt shot from 29 ft
6:43.0,Defensive rebound by J. Young,,48-29,,
6:32.0,J. Young makes 2-pt shot at rim (assist by J. Hill),2,50-29,,
6:16.0,,,50-29,,D. Inglis misses 2-pt shot from 14 ft
6:15.0,Defensive rebound by J. Hill,,50-29,,
5:56.0,J. Hill misses 2-pt shot at rim,,50-29,,
5:54.0,,,50-29,,Defensive rebound by J. Henson
5:50.0,,,50-29,,Turnover by G. Vasquez (bad pass)
5:50.0,,,50-29,,Milwaukee full timeout
5:50.0,,,50-29,,T. Ennis enters the game for M. Plumlee
5:50.0,,,50-29,,G. Monroe enters the game for G. Vasquez
5:50.0,R. Christmas enters the game for L. Allen,,50-29,,
5:50.0,R. Stuckey enters the game for S. Whittington,,50-29,,
5:36.0,J. Young makes 3-pt shot from 25 ft (assist by R. Stuckey),3,53-29,,
5:13.0,,,53-31,2,D. Inglis makes 2-pt shot from 1 ft (assist by R. Vaughn)
5:01.0,R. Christmas makes 2-pt shot from 1 ft (assist by R. Stuckey),2,55-31,,
4:43.0,,,55-31,,J. Henson misses 2-pt shot from 6 ft
4:42.0,Defensive rebound by J. Hill,,55-31,,
4:34.0,Turnover by R. Stuckey (lost ball; steal by D. Inglis),,55-31,,
4:28.0,,,55-33,2,J. Henson makes 2-pt shot from 1 ft (assist by D. Inglis)
4:10.0,R. Christmas makes 2-pt shot at rim (assist by R. Stuckey),2,57-33,,
3:55.0,,,57-35,2,J. Henson makes 2-pt shot from 4 ft (assist by G. Monroe)
3:44.0,Turnover by G. Robinson (traveling),,57-35,,
3:44.0,,,57-35,,G. Antetokounmpo enters the game for D. Inglis
3:31.0,,,57-35,,Shooting foul by R. Christmas (drawn by G. Monroe)
3:31.0,,,57-36,1,G. Monroe makes free throw 1 of 2
3:31.0,S. Hill enters the game for G. Robinson,,57-36,,
3:31.0,T. Lawson enters the game for J. Young,,57-36,,
3:31.0,,,57-37,1,G. Monroe makes free throw 2 of 2
3:21.0,Turnover by R. Stuckey (lost ball; steal by T. Ennis),,57-37,,
3:14.0,,,57-40,3,R. Vaughn makes 3-pt shot from 25 ft (assist by T. Ennis)
2:53.0,S. Hill makes 3-pt shot from 25 ft (assist by J. Hill),3,60-40,,
2:42.0,Personal foul by J. Hill,,60-40,,
2:42.0,Indiana full timeout,,60-40,,
2:42.0,,,60-40,,J. Parker enters the game for J. Henson
2:42.0,M. Turner enters the game for R. Christmas,,60-40,,
2:33.0,,,60-42,2,T. Ennis makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
2:17.0,J. Hill misses 2-pt shot from 18 ft,,60-42,,
2:16.0,,,60-42,,Defensive rebound by G. Antetokounmpo
2:09.0,,,60-44,2,J. Parker makes 2-pt shot at rim (assist by T. Ennis)
2:01.0,R. Stuckey misses 2-pt shot at rim,,60-44,,
2:00.0,,,60-44,,Defensive rebound by R. Vaughn
1:53.0,,,60-44,,R. Vaughn misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by M. Turner,,60-44,,
1:43.0,J. Hill misses 2-pt shot at rim (block by G. Antetokounmpo),,60-44,,
1:40.0,,,60-44,,Defensive rebound by T. Ennis
1:35.0,,,60-44,,R. Vaughn misses 3-pt shot from 26 ft
1:34.0,,,60-44,,Offensive rebound by J. Parker
1:32.0,,,60-44,,J. Parker misses 2-pt shot from 1 ft (block by J. Hill)
1:30.0,Defensive rebound by R. Stuckey,,60-44,,
1:28.0,Offensive foul by M. Turner,,60-44,,
1:28.0,Turnover by M. Turner (offensive foul),,60-44,,
1:14.0,Shooting block foul by M. Turner (drawn by G. Antetokounmpo),,60-44,,
1:14.0,,,60-45,1,G. Antetokounmpo makes free throw 1 of 2
1:14.0,L. Allen enters the game for M. Turner,,60-45,,
1:14.0,,,60-46,1,G. Antetokounmpo makes free throw 2 of 2
0:52.0,S. Hill misses 3-pt shot from 24 ft,,60-46,,
0:51.0,,,60-46,,Defensive rebound by G. Monroe
0:30.0,,,60-46,,Turnover by G. Monroe (lost ball; steal by S. Hill)
0:28.0,,,60-46,,Personal foul by R. Vaughn
0:11.0,J. Hill makes 2-pt shot at rim (assist by T. Lawson),2,62-46,,
0:01.0,,,62-46,,G. Antetokounmpo misses 3-pt shot from 27 ft
0:00.0,,,62-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,62-46,,Turnover by G. Antetokounmpo (lost ball; steal by M. Turner)
11:43.0,R. Stuckey makes 2-pt shot at rim,2,64-46,,
11:18.0,,,64-46,,T. Ennis misses 2-pt shot at rim
11:16.0,Defensive rebound by R. Stuckey,,64-46,,
11:08.0,T. Lawson misses 2-pt shot from 16 ft,,64-46,,
11:07.0,,,64-46,,Defensive rebound by J. Parker
11:01.0,,,64-46,,J. Parker misses 2-pt shot from 2 ft
11:00.0,,,64-46,,Offensive rebound by G. Antetokounmpo
11:00.0,,,64-48,2,G. Antetokounmpo makes 2-pt shot at rim
10:39.0,Turnover by T. Lawson (lost ball; steal by R. Vaughn),,64-48,,
10:32.0,,,64-48,,R. Vaughn misses 2-pt shot at rim
10:30.0,,,64-48,,Offensive rebound by M. Plumlee
10:30.0,,,64-50,2,M. Plumlee makes 2-pt shot at rim
10:17.0,L. Allen misses 2-pt shot at rim,,64-50,,
10:15.0,,,64-50,,Defensive rebound by J. Parker
10:12.0,,,64-52,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
9:49.0,L. Allen makes 2-pt shot at rim (assist by S. Hill),2,66-52,,
9:35.0,,,66-52,,J. Parker misses 2-pt shot from 16 ft
9:34.0,Defensive rebound by R. Stuckey,,66-52,,
9:23.0,Shooting foul by G. Antetokounmpo (drawn by R. Stuckey),,66-52,,
9:23.0,R. Stuckey makes free throw 1 of 2,1,67-52,,
9:23.0,R. Stuckey makes free throw 2 of 2,1,68-52,,
9:10.0,,,68-54,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
8:57.0,Turnover by T. Lawson (lost ball; steal by T. Ennis),,68-54,,
8:53.0,,,68-54,,J. Parker misses 2-pt shot from 1 ft (block by M. Turner)
8:52.0,Defensive rebound by Team,,68-54,,
8:52.0,Jump ball: J. Parker vs. M. Turner (T. Lawson gains possession),,,,Jump ball: J. Parker vs. M. Turner (T. Lawson gains possession)
8:37.0,L. Allen misses 2-pt shot from 15 ft,,68-54,,
8:35.0,,,68-54,,Defensive rebound by G. Antetokounmpo
8:29.0,,,68-56,2,G. Antetokounmpo makes 2-pt shot at rim
8:27.0,Indiana full timeout,,68-56,,
8:10.0,S. Hill makes 3-pt shot from 26 ft (assist by T. Lawson),3,71-56,,
7:50.0,,,71-56,,J. Parker misses 2-pt shot from 18 ft
7:49.0,Defensive rebound by S. Hill,,71-56,,
7:41.0,M. Turner makes 2-pt shot from 20 ft (assist by T. Lawson),2,73-56,,
7:24.0,,,73-56,,J. Parker misses 2-pt shot from 1 ft (block by M. Turner)
7:21.0,Defensive rebound by L. Allen,,73-56,,
7:00.0,T. Lawson misses 3-pt shot from 26 ft,,73-56,,
6:59.0,,,73-56,,Defensive rebound by Team
6:44.0,,,73-56,,Turnover by G. Antetokounmpo (lost ball; steal by S. Hill)
6:43.0,,,73-56,,Personal foul by G. Antetokounmpo
6:29.0,L. Allen misses 2-pt shot from 4 ft,,73-56,,
6:28.0,,,73-56,,Defensive rebound by M. Plumlee
6:19.0,,,73-56,,Turnover by T. Ennis (lost ball; steal by S. Hill)
6:15.0,S. Hill misses 2-pt shot from 1 ft,,73-56,,
6:12.0,,,73-56,,Defensive rebound by R. Vaughn
6:06.0,,,73-56,,G. Antetokounmpo misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by Team,,73-56,,
6:06.0,,,73-56,,Loose ball foul by J. Parker
6:02.0,Offensive foul by M. Turner,,73-56,,
6:02.0,Turnover by M. Turner (offensive foul),,73-56,,
6:02.0,J. Hill enters the game for M. Turner,,73-56,,
5:51.0,,,73-56,,Shooting foul by L. Allen (drawn by J. Parker)
5:51.0,,,73-56,,J. Parker misses free throw 1 of 2
5:51.0,,,73-56,,Offensive rebound by Team
5:51.0,,,73-57,1,J. Parker makes free throw 2 of 2
5:39.0,S. Hill misses 3-pt shot from 23 ft,,73-57,,
5:38.0,,,73-57,,Defensive rebound by J. Parker
5:33.0,,,73-59,2,J. Parker makes 2-pt shot from 1 ft
5:12.0,,,73-59,,Personal foul by R. Vaughn
5:01.0,R. Stuckey misses 3-pt shot from 24 ft,,73-59,,
4:59.0,,,73-59,,Defensive rebound by Team
4:43.0,,,73-61,2,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo)
4:27.0,T. Lawson misses 2-pt shot from 15 ft,,73-61,,
4:26.0,,,73-61,,Defensive rebound by G. Antetokounmpo
4:13.0,,,73-64,3,G. Antetokounmpo makes 3-pt shot from 27 ft
3:58.0,R. Stuckey makes 2-pt shot from 17 ft,2,75-64,,
3:38.0,,,75-64,,R. Vaughn misses 2-pt shot from 16 ft
3:37.0,Defensive rebound by L. Allen,,75-64,,
3:28.0,,,75-64,,Shooting block foul by M. Plumlee (drawn by T. Lawson)
3:28.0,T. Lawson misses free throw 1 of 2,,75-64,,
3:28.0,Offensive rebound by Team,,75-64,,
3:28.0,S. Whittington enters the game for L. Allen,,75-64,,
3:28.0,G. Robinson enters the game for R. Stuckey,,75-64,,
3:28.0,,,75-64,,J. Henson enters the game for M. Plumlee
3:28.0,T. Lawson makes free throw 2 of 2,1,76-64,,
3:05.0,,,76-64,,G. Antetokounmpo misses 2-pt shot at rim
3:03.0,Defensive rebound by J. Hill,,76-64,,
3:00.0,Offensive charge foul by S. Hill,,76-64,,
3:00.0,Turnover by S. Hill (offensive foul),,76-64,,
2:39.0,,,76-66,2,J. Parker makes 2-pt shot at rim
2:19.0,Offensive foul by S. Whittington,,76-66,,
2:19.0,Turnover by S. Whittington (offensive foul),,76-66,,
2:19.0,,,76-66,,Milwaukee full timeout
2:07.0,,,76-66,,R. Vaughn misses 2-pt shot from 2 ft
2:05.0,Defensive rebound by J. Hill,,76-66,,
1:53.0,G. Robinson misses 2-pt shot from 8 ft (block by R. Vaughn),,76-66,,
1:51.0,,,76-66,,Defensive rebound by J. Henson
1:49.0,,,76-68,2,J. Parker makes 2-pt shot at rim (assist by J. Henson)
1:33.0,Turnover by S. Hill (lost ball; steal by T. Ennis),,76-68,,
1:29.0,,,76-70,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Ennis)
1:29.0,Indiana full timeout,,76-70,,
1:29.0,J. Young enters the game for T. Lawson,,76-70,,
1:12.0,J. Hill misses 2-pt shot from 10 ft,,76-70,,
1:10.0,,,76-70,,Defensive rebound by G. Antetokounmpo
0:56.0,,,76-70,,Turnover by J. Henson (offensive foul)
0:56.0,,,76-70,,Offensive foul by J. Henson
0:47.0,Turnover by J. Young (bad pass),,76-70,,
0:36.0,,,76-70,,Turnover by T. Ennis (traveling)
0:24.0,Shooting foul by J. Henson (drawn by S. Hill),,76-70,,
0:24.0,S. Hill makes free throw 1 of 2,1,77-70,,
0:24.0,S. Hill makes free throw 2 of 2,1,78-70,,
0:02.0,,,78-70,,R. Vaughn misses 3-pt shot from 22 ft
0:01.0,,,78-70,,Offensive rebound by J. Henson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,G. Robinson makes 3-pt shot from 24 ft (assist by J. Young),3,81-70,,
11:36.0,,,81-72,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
11:15.0,G. Robinson makes 3-pt shot from 26 ft (assist by J. Young),3,84-72,,
10:53.0,,,84-74,2,G. Antetokounmpo makes 2-pt shot from 6 ft
10:44.0,J. Young misses 2-pt shot at rim,,84-74,,
10:43.0,Offensive rebound by S. Whittington,,84-74,,
10:40.0,S. Whittington misses 2-pt shot from 5 ft,,84-74,,
10:39.0,,,84-74,,Defensive rebound by J. Parker
10:23.0,,,84-74,,J. Henson misses 2-pt shot from 8 ft
10:22.0,Defensive rebound by S. Whittington,,84-74,,
10:13.0,Turnover by S. Whittington (traveling),,84-74,,
9:53.0,,,84-74,,J. Parker misses 3-pt shot from 26 ft
9:52.0,Defensive rebound by Team,,84-74,,
9:33.0,S. Whittington makes 2-pt shot at rim (assist by J. Young),2,86-74,,
9:18.0,,,86-74,,Turnover by J. Henson (lost ball; steal by J. Young)
9:15.0,J. Young misses 2-pt shot at rim,,86-74,,
9:11.0,,,86-74,,Defensive rebound by Team
9:11.0,,,86-74,,J. O'Bryant enters the game for J. Parker
9:11.0,,,86-74,,Shooting foul by L. Allen (drawn by J. Henson)
9:11.0,,,86-75,1,J. Henson makes free throw 1 of 2
9:11.0,S. Hill enters the game for L. Allen,,86-75,,
9:11.0,,,86-75,,J. Henson misses free throw 2 of 2
9:11.0,Defensive rebound by Team,,86-75,,
8:52.0,G. Robinson misses 2-pt shot from 20 ft,,86-75,,
8:51.0,,,86-75,,Defensive rebound by G. Antetokounmpo
8:38.0,,,86-75,,J. Henson misses 2-pt shot from 18 ft
8:37.0,Defensive rebound by G. Robinson,,86-75,,
8:24.0,J. Young misses 3-pt shot from 23 ft,,86-75,,
8:23.0,,,86-75,,Defensive rebound by G. Antetokounmpo
8:14.0,,,86-75,,G. Antetokounmpo misses 3-pt shot from 28 ft
8:13.0,Defensive rebound by S. Hill,,86-75,,
8:03.0,,,86-75,,Personal foul by G. Vasquez
8:03.0,Official timeout,,86-75,,
8:03.0,,,86-75,,R. Vaughn enters the game for G. Antetokounmpo
7:53.0,S. Hill misses 3-pt shot from 28 ft,,86-75,,
7:51.0,,,86-75,,Defensive rebound by D. Inglis
7:37.0,,,86-75,,J. Henson misses 3-pt shot from 27 ft
7:36.0,Defensive rebound by S. Hill,,86-75,,
7:34.0,,,86-75,,Personal foul by G. Vasquez
7:30.0,S. Hill makes 2-pt shot at rim,2,88-75,,
7:15.0,,,88-75,,Turnover by D. Inglis (traveling)
7:07.0,,,88-75,,Personal foul by R. Vaughn
7:02.0,J. Young misses 2-pt shot at rim,,88-75,,
7:00.0,,,88-75,,Defensive rebound by J. O'Bryant
6:46.0,,,88-75,,Turnover by J. Henson (lost ball; steal by S. Hill)
6:42.0,J. Young misses 2-pt shot at rim (block by J. Henson),,88-75,,
6:40.0,,,88-75,,Defensive rebound by J. O'Bryant
6:33.0,,,88-75,,R. Vaughn misses 3-pt shot from 22 ft
6:32.0,Defensive rebound by G. Robinson,,88-75,,
6:14.0,G. Robinson misses 2-pt shot from 11 ft,,88-75,,
6:13.0,,,88-75,,Defensive rebound by D. Inglis
5:53.0,,,88-75,,G. Vasquez misses 3-pt shot from 26 ft
5:51.0,Defensive rebound by S. Whittington,,88-75,,
5:48.0,Indiana full timeout,,88-75,,
5:48.0,M. Turner enters the game for S. Whittington,,88-75,,
5:29.0,J. Young misses 3-pt shot from 29 ft,,88-75,,
5:28.0,,,88-75,,Defensive rebound by J. Henson
5:05.0,,,88-77,2,R. Vaughn makes 2-pt shot from 18 ft
4:42.0,J. Hill misses 2-pt shot from 18 ft,,88-77,,
4:41.0,,,88-77,,Defensive rebound by D. Inglis
4:28.0,,,88-79,2,J. Henson makes 2-pt shot from 2 ft (assist by G. Vasquez)
4:03.0,J. Young makes 2-pt shot from 8 ft (assist by S. Hill),2,90-79,,
3:46.0,,,90-79,,J. Henson misses 2-pt shot from 2 ft
3:45.0,Defensive rebound by S. Hill,,90-79,,
3:33.0,S. Hill makes 3-pt shot from 24 ft (assist by J. Hill),3,93-79,,
3:09.0,,,93-79,,J. O'Bryant misses 2-pt shot from 20 ft
3:08.0,Defensive rebound by J. Hill,,93-79,,
2:58.0,Turnover by J. Young (bad pass),,93-79,,
2:58.0,,,93-79,,Milwaukee full timeout
2:58.0,,,93-79,,T. Ennis enters the game for J. Henson
2:58.0,R. Christmas enters the game for S. Hill,,93-79,,
2:58.0,S. Whittington enters the game for J. Hill,,93-79,,
2:43.0,,,93-82,3,D. Inglis makes 3-pt shot from 23 ft (assist by R. Vaughn)
2:28.0,G. Robinson misses 2-pt shot from 20 ft,,93-82,,
2:27.0,,,93-82,,Defensive rebound by J. O'Bryant
2:05.0,,,93-82,,Turnover by T. Ennis (lost ball; steal by G. Robinson)
2:01.0,G. Robinson makes 2-pt shot at rim,2,95-82,,
1:47.0,,,95-85,3,G. Vasquez makes 3-pt shot from 24 ft (assist by T. Ennis)
1:28.0,S. Whittington misses 3-pt shot from 27 ft,,95-85,,
1:27.0,Offensive rebound by R. Christmas,,95-85,,
1:23.0,J. Young misses 3-pt shot from 26 ft,,95-85,,
1:22.0,,,95-85,,Defensive rebound by J. O'Bryant
1:14.0,,,95-87,2,J. O'Bryant makes 2-pt shot from 16 ft (assist by G. Vasquez)
0:50.0,J. Young misses 2-pt shot from 7 ft,,95-87,,
0:48.0,,,95-87,,Defensive rebound by J. O'Bryant
0:42.0,,,95-87,,G. Vasquez misses 3-pt shot from 26 ft
0:41.0,,,95-87,,Offensive rebound by R. Vaughn
