time,Minnesota,pts.away,score,pts.home,Dallas
6:40.0,,,40-34,,Shooting foul by G. Dieng (drawn by J. McGee)
6:40.0,,,40-34,,Technical foul by Team
6:40.0,K. Martin makes technical free throw,1,41-34,,
6:40.0,,,41-34,,J. McGee misses free throw 1 of 2
6:40.0,,,41-34,,Offensive rebound by Team
6:40.0,,,41-34,,W. Matthews enters the game for C. Parsons
6:40.0,,,41-34,,C. Villanueva enters the game for J. Anderson
6:40.0,,,41-34,,J. McGee misses free throw 2 of 2
6:40.0,Defensive rebound by G. Dieng,,41-34,,
6:26.0,K. Martin makes 2-pt shot from 16 ft,2,43-34,,
6:15.0,,,43-36,2,C. Villanueva makes 2-pt shot at rim (assist by D. Williams)
6:04.0,Minnesota full timeout,,43-36,,
6:04.0,,,43-36,,Z. Pachulia enters the game for J. McGee
6:04.0,K. Towns enters the game for G. Dieng,,43-36,,
6:04.0,R. Rubio enters the game for Z. LaVine,,43-36,,
5:57.0,Shooting foul by C. Villanueva (drawn by K. Martin),,43-36,,
5:57.0,K. Martin makes free throw 1 of 2,1,44-36,,
5:57.0,K. Martin makes free throw 2 of 2,1,45-36,,
5:42.0,,,45-38,2,Z. Pachulia makes 2-pt shot from 15 ft (assist by C. Villanueva)
5:30.0,R. Rubio misses 3-pt shot from 23 ft,,45-38,,
5:29.0,,,45-38,,Defensive rebound by C. Villanueva
5:24.0,,,45-38,,Turnover by J. Barea (lost ball)
5:24.0,A. Wiggins enters the game for K. Martin,,45-38,,
5:07.0,S. Muhammad misses 2-pt shot from 22 ft,,45-38,,
5:06.0,,,45-38,,Defensive rebound by D. Williams
4:48.0,,,45-40,2,D. Williams makes 2-pt shot from 1 ft
4:34.0,Turnover by K. Towns (bad pass; steal by J. Barea),,45-40,,
4:24.0,,,45-40,,C. Villanueva misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by K. Towns,,45-40,,
4:08.0,N. Bjelica misses 3-pt shot from 24 ft,,45-40,,
4:07.0,,,45-40,,Defensive rebound by Team
4:06.0,,,45-40,,C. Parsons enters the game for J. Barea
4:06.0,N. Pekovic enters the game for N. Bjelica,,45-40,,
3:54.0,,,45-42,2,C. Villanueva makes 2-pt shot from 1 ft (assist by W. Matthews)
3:36.0,R. Rubio misses 3-pt shot from 24 ft,,45-42,,
3:35.0,,,45-42,,Defensive rebound by W. Matthews
3:11.0,,,45-42,,W. Matthews misses 3-pt shot from 24 ft
3:10.0,Defensive rebound by S. Muhammad,,45-42,,
3:00.0,N. Pekovic misses 2-pt shot from 7 ft,,45-42,,
2:59.0,,,45-42,,Defensive rebound by C. Villanueva
2:40.0,,,45-42,,Z. Pachulia misses 2-pt shot from 14 ft
2:39.0,Defensive rebound by K. Towns,,45-42,,
2:22.0,,,45-42,,Personal foul by D. Williams (drawn by A. Wiggins)
2:22.0,,,45-42,,Dallas full timeout
2:22.0,K. Martin enters the game for S. Muhammad,,45-42,,
2:12.0,A. Wiggins misses 2-pt shot from 10 ft,,45-42,,
2:11.0,,,45-42,,Defensive rebound by W. Matthews
1:56.0,,,45-44,2,W. Matthews makes 2-pt shot from 8 ft
1:34.0,K. Martin makes 2-pt shot at rim (assist by R. Rubio),2,47-44,,
1:19.0,,,47-44,,C. Villanueva misses 2-pt shot from 10 ft
1:18.0,,,47-44,,Offensive rebound by Team
1:09.0,,,47-47,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams)
0:43.0,K. Towns makes 2-pt shot from 16 ft (assist by A. Wiggins),2,49-47,,
0:32.0,,,49-49,2,D. Williams makes 2-pt shot from 15 ft
0:11.0,Turnover by A. Wiggins (lost ball),,49-49,,
0:08.0,Personal foul by R. Rubio (drawn by D. Williams),,49-49,,
0:08.0,T. Prince enters the game for N. Pekovic,,49-49,,
0:02.0,,,49-49,,D. Williams misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by K. Martin,,49-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,K. Towns misses 2-pt shot from 7 ft,,49-49,,
11:43.0,Offensive rebound by A. Wiggins,,49-49,,
11:43.0,A. Wiggins misses 2-pt shot at rim,,49-49,,
11:42.0,Offensive rebound by K. Towns,,49-49,,
11:40.0,K. Towns misses 2-pt shot from 1 ft,,49-49,,
11:39.0,,,49-49,,Defensive rebound by C. Villanueva
11:33.0,,,49-52,3,C. Parsons makes 3-pt shot from 24 ft (assist by D. Williams)
11:10.0,K. Towns makes 2-pt shot from 5 ft (assist by N. Pekovic),2,51-52,,
10:47.0,,,51-52,,D. Williams misses 2-pt shot from 18 ft
10:46.0,Defensive rebound by K. Towns,,51-52,,
10:36.0,N. Pekovic misses 2-pt shot from 1 ft,,51-52,,
10:35.0,,,51-52,,Defensive rebound by C. Villanueva
10:22.0,,,51-52,,W. Matthews misses 2-pt shot from 4 ft
10:21.0,Defensive rebound by K. Towns,,51-52,,
10:09.0,K. Towns misses 2-pt shot at rim,,51-52,,
10:08.0,,,51-52,,Defensive rebound by Z. Pachulia
10:00.0,,,51-52,,C. Villanueva misses 2-pt shot from 8 ft
9:59.0,Defensive rebound by K. Towns,,51-52,,
9:45.0,A. Wiggins misses 3-pt shot from 23 ft,,51-52,,
9:44.0,,,51-52,,Defensive rebound by C. Parsons
9:30.0,,,51-52,,Offensive foul by Z. Pachulia
9:30.0,,,51-52,,Turnover by Z. Pachulia (offensive foul)
9:14.0,K. Towns makes 2-pt shot from 3 ft,2,53-52,,
9:01.0,,,53-52,,Turnover by Z. Pachulia (bad pass; steal by T. Prince)
8:57.0,A. Wiggins makes 2-pt shot at rim (assist by T. Prince),2,55-52,,
8:41.0,Personal foul by N. Pekovic (drawn by Z. Pachulia),,55-52,,
8:34.0,,,55-52,,Z. Pachulia misses 2-pt shot from 4 ft (block by K. Towns)
8:33.0,Defensive rebound by R. Rubio,,55-52,,
8:27.0,R. Rubio misses 2-pt shot from 18 ft,,55-52,,
8:27.0,,,55-52,,Defensive rebound by D. Williams
8:18.0,,,55-52,,W. Matthews misses 2-pt shot from 4 ft (block by A. Wiggins)
8:18.0,,,55-52,,Offensive rebound by Team
8:18.0,Personal foul by N. Pekovic (drawn by W. Matthews),,55-52,,
8:07.0,,,55-52,,C. Villanueva misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by T. Prince,,55-52,,
7:55.0,R. Rubio makes 2-pt shot from 7 ft (assist by K. Towns),2,57-52,,
7:48.0,,,57-52,,Dallas full timeout
7:33.0,,,57-52,,Shooting foul by R. Rubio (drawn by Z. Pachulia)
7:33.0,,,57-53,1,Z. Pachulia makes free throw 1 of 2
7:33.0,,,57-53,,D. Harris enters the game for C. Villanueva
7:33.0,N. Bjelica enters the game for N. Pekovic,,57-53,,
7:33.0,,,57-54,1,Z. Pachulia makes free throw 2 of 2
7:20.0,R. Rubio misses 2-pt shot from 2 ft,,57-54,,
7:19.0,Offensive rebound by K. Towns,,57-54,,
7:14.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,59-54,,
6:59.0,Personal block foul by N. Bjelica (drawn by D. Williams),,59-54,,
6:51.0,,,59-54,,C. Parsons misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by K. Towns,,59-54,,
6:42.0,Turnover by R. Rubio (bad pass; steal by Z. Pachulia),,59-54,,
6:34.0,,,59-54,,D. Williams misses 2-pt shot from 2 ft (block by K. Towns)
6:34.0,,,59-54,,Offensive rebound by Team
6:25.0,,,59-54,,D. Harris misses 2-pt shot from 2 ft (block by K. Towns)
6:25.0,,,59-54,,Offensive rebound by Team
6:22.0,,,59-54,,D. Williams misses 2-pt shot from 11 ft
6:21.0,Defensive rebound by A. Wiggins,,59-54,,
6:05.0,,,59-54,,Personal foul by D. Williams (drawn by N. Bjelica)
6:05.0,Minnesota full timeout,,59-54,,
6:05.0,,,59-54,,J. McGee enters the game for Z. Pachulia
5:52.0,R. Rubio misses 3-pt shot from 25 ft,,59-54,,
5:51.0,,,59-54,,Defensive rebound by D. Harris
5:36.0,,,59-56,2,C. Parsons makes 2-pt shot at rim (assist by D. Harris)
5:21.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,61-56,,
4:57.0,,,61-56,,Offensive foul by C. Parsons
4:57.0,,,61-56,,Turnover by C. Parsons (offensive foul)
4:57.0,S. Muhammad enters the game for N. Bjelica,,61-56,,
4:47.0,T. Prince misses 3-pt shot from 22 ft,,61-56,,
4:46.0,,,61-56,,Defensive rebound by D. Harris
4:37.0,,,61-58,2,J. McGee makes 2-pt shot at rim
4:08.0,A. Wiggins misses 2-pt shot from 15 ft,,61-58,,
4:07.0,,,61-58,,Defensive rebound by D. Williams
3:53.0,,,61-58,,J. McGee misses 2-pt shot from 5 ft (block by K. Towns)
3:53.0,Jump ball: J. McGee vs. K. Towns (C. Parsons gains possession),,,,Jump ball: J. McGee vs. K. Towns (C. Parsons gains possession)
3:53.0,,,61-58,,Offensive rebound by J. McGee
3:47.0,,,61-58,,D. Harris misses 3-pt shot from 24 ft
3:46.0,Defensive rebound by K. Towns,,61-58,,
3:33.0,Turnover by R. Rubio (bad pass; steal by W. Matthews),,61-58,,
3:28.0,,,61-58,,W. Matthews misses 2-pt shot from 2 ft (block by T. Prince)
3:27.0,,,61-58,,Offensive rebound by Team
3:27.0,Z. LaVine enters the game for R. Rubio,,61-58,,
3:20.0,,,61-60,2,D. Harris makes 2-pt shot from 19 ft
3:04.0,Shooting foul by D. Harris (drawn by K. Towns),,61-60,,
3:04.0,K. Towns misses free throw 1 of 2,,61-60,,
3:04.0,Offensive rebound by Team,,61-60,,
3:04.0,K. Towns makes free throw 2 of 2,1,62-60,,
2:50.0,,,62-60,,D. Williams misses 2-pt shot from 3 ft
2:49.0,Defensive rebound by K. Towns,,62-60,,
2:43.0,K. Towns makes 2-pt shot at rim (assist by Z. LaVine),2,64-60,,
2:19.0,,,64-60,,Turnover by D. Williams (lost ball)
2:19.0,G. Dieng enters the game for K. Towns,,64-60,,
2:04.0,Z. LaVine misses 3-pt shot from 24 ft,,64-60,,
2:03.0,,,64-60,,Defensive rebound by D. Harris
1:54.0,,,64-60,,J. McGee misses 2-pt shot from 14 ft
1:53.0,Defensive rebound by G. Dieng,,64-60,,
1:38.0,A. Wiggins misses 2-pt shot from 18 ft,,64-60,,
1:37.0,Offensive rebound by G. Dieng,,64-60,,
1:32.0,S. Muhammad makes 3-pt shot from 23 ft (assist by G. Dieng),3,67-60,,
1:30.0,,,67-60,,Dallas full timeout
1:30.0,,,67-60,,C. Villanueva enters the game for C. Parsons
1:30.0,,,67-60,,J. Barea enters the game for D. Williams
1:30.0,K. Martin enters the game for A. Wiggins,,67-60,,
1:19.0,,,67-62,2,D. Harris makes 2-pt shot from 1 ft
0:57.0,G. Dieng misses 2-pt shot from 3 ft (block by C. Villanueva),,67-62,,
0:57.0,,,67-62,,Defensive rebound by Team
0:57.0,D. Rudez enters the game for T. Prince,,67-62,,
0:57.0,Jump ball: G. Dieng vs. C. Villanueva,,,,Jump ball: G. Dieng vs. C. Villanueva
0:57.0,Loose ball foul by G. Dieng (drawn by C. Villanueva),,67-62,,
0:57.0,,,67-63,1,C. Villanueva makes free throw 1 of 2
0:57.0,,,67-64,1,C. Villanueva makes free throw 2 of 2
0:41.0,D. Rudez misses 3-pt shot from 22 ft,,67-64,,
0:39.0,,,67-64,,Defensive rebound by W. Matthews
0:33.0,,,67-64,,W. Matthews misses 3-pt shot from 23 ft
0:32.0,,,67-64,,Offensive rebound by J. McGee
0:32.0,,,67-64,,J. McGee misses 2-pt shot at rim
0:31.0,Defensive rebound by G. Dieng,,67-64,,
0:10.0,S. Muhammad misses 3-pt shot from 23 ft,,67-64,,
0:09.0,,,67-64,,Defensive rebound by J. Barea
0:02.0,,,67-64,,J. Barea misses 2-pt shot from 5 ft
0:00.0,Defensive rebound by G. Dieng,,67-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Personal foul by K. Martin (drawn by D. Harris),,67-64,,
11:39.0,,,67-64,,J. Barea misses 2-pt shot from 16 ft
11:38.0,,,67-64,,Offensive rebound by J. McGee
11:38.0,,,67-64,,J. McGee misses 2-pt shot at rim
11:37.0,Defensive rebound by G. Dieng,,67-64,,
11:22.0,Turnover by Z. LaVine (lost ball; steal by J. Barea),,67-64,,
11:17.0,,,67-64,,J. Barea misses 2-pt shot from 6 ft (block by S. Muhammad)
11:14.0,Defensive rebound by S. Muhammad,,67-64,,
11:08.0,G. Dieng makes 2-pt shot from 11 ft (assist by K. Martin),2,69-64,,
10:49.0,,,69-64,,Shooting foul by Z. LaVine (drawn by D. Harris)
10:49.0,,,69-65,1,D. Harris makes free throw 1 of 2
10:49.0,,,69-66,1,D. Harris makes free throw 2 of 2
10:37.0,D. Rudez misses 3-pt shot from 22 ft,,69-66,,
10:36.0,,,69-66,,Defensive rebound by J. Barea
10:32.0,,,69-68,2,C. Villanueva makes 2-pt shot from 1 ft (assist by D. Harris)
10:16.0,K. Martin misses 3-pt shot from 24 ft,,69-68,,
10:14.0,Offensive rebound by G. Dieng,,69-68,,
10:12.0,G. Dieng makes 2-pt shot from 1 ft,2,71-68,,
10:00.0,,,71-68,,Turnover by J. Barea (bad pass; steal by G. Dieng)
9:57.0,K. Martin makes 2-pt shot at rim (assist by Z. LaVine),2,73-68,,
9:56.0,,,73-68,,Dallas full timeout
9:56.0,,,73-68,,Z. Pachulia enters the game for J. McGee
9:46.0,,,73-68,,Turnover by C. Villanueva (bad pass; steal by G. Dieng)
9:43.0,G. Dieng makes 2-pt shot at rim,2,75-68,,
9:29.0,,,75-68,,J. Barea misses 3-pt shot from 23 ft
9:28.0,Defensive rebound by Team,,75-68,,
9:16.0,,,75-68,,Personal foul by Z. Pachulia (drawn by G. Dieng)
9:06.0,D. Rudez misses 3-pt shot from 24 ft,,75-68,,
9:05.0,,,75-68,,Defensive rebound by Team
8:50.0,,,75-70,2,C. Parsons makes 2-pt shot from 6 ft
8:37.0,K. Martin misses 2-pt shot from 20 ft,,75-70,,
8:37.0,,,75-70,,Defensive rebound by Team
8:23.0,,,75-72,2,C. Parsons makes 2-pt shot from 16 ft
8:12.0,Minnesota full timeout,,75-72,,
8:12.0,K. Towns enters the game for G. Dieng,,75-72,,
8:12.0,A. Wiggins enters the game for K. Martin,,75-72,,
8:12.0,,,75-72,,W. Matthews enters the game for D. Harris
8:03.0,Z. LaVine makes 2-pt shot from 17 ft (assist by K. Towns),2,77-72,,
7:48.0,,,77-72,,C. Parsons misses 2-pt shot from 2 ft
7:47.0,,,77-72,,Offensive rebound by Z. Pachulia
7:47.0,,,77-74,2,Z. Pachulia makes 2-pt shot at rim
7:38.0,K. Towns makes 2-pt shot from 1 ft,2,79-74,,
7:22.0,,,79-74,,C. Parsons misses 2-pt shot from 2 ft (block by K. Towns)
7:21.0,Defensive rebound by A. Wiggins,,79-74,,
7:06.0,S. Muhammad makes 2-pt shot from 5 ft,2,81-74,,
6:51.0,,,81-74,,C. Villanueva misses 2-pt shot from 3 ft
6:50.0,Defensive rebound by Z. LaVine,,81-74,,
6:46.0,A. Wiggins makes 2-pt shot from 2 ft (assist by S. Muhammad),2,83-74,,
6:46.0,Shooting foul by C. Parsons (drawn by A. Wiggins),,83-74,,
6:46.0,,,83-74,,Dallas full timeout
6:46.0,,,83-74,,D. Harris enters the game for C. Villanueva
6:46.0,,,83-74,,D. Williams enters the game for J. Barea
6:46.0,R. Rubio enters the game for Z. LaVine,,83-74,,
6:46.0,A. Wiggins makes free throw 1 of 1,1,84-74,,
6:34.0,,,84-76,2,C. Parsons makes 2-pt shot from 1 ft (assist by W. Matthews)
6:17.0,Turnover by R. Rubio (bad pass; steal by W. Matthews),,84-76,,
6:03.0,,,84-76,,W. Matthews misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by K. Towns,,84-76,,
5:41.0,Turnover by R. Rubio (bad pass; steal by Z. Pachulia),,84-76,,
5:38.0,,,84-78,2,W. Matthews makes 2-pt shot at rim (assist by D. Harris)
5:38.0,,,84-78,,Shooting foul by A. Wiggins (drawn by W. Matthews)
5:38.0,,,84-79,1,W. Matthews makes free throw 1 of 1
5:19.0,Offensive charge foul by K. Towns,,84-79,,
5:19.0,Turnover by K. Towns (offensive foul),,84-79,,
5:03.0,,,84-81,2,D. Harris makes 2-pt shot from 15 ft
5:03.0,Minnesota full timeout,,84-81,,
5:03.0,T. Prince enters the game for D. Rudez,,84-81,,
4:50.0,A. Wiggins makes 2-pt shot from 10 ft,2,86-81,,
4:39.0,Personal foul by R. Rubio (drawn by D. Williams),,86-81,,
4:32.0,,,86-81,,D. Harris misses 2-pt shot from 1 ft (block by K. Towns)
4:31.0,Defensive rebound by R. Rubio,,86-81,,
4:13.0,A. Wiggins misses 2-pt shot from 16 ft,,86-81,,
4:12.0,,,86-81,,Defensive rebound by C. Parsons
4:03.0,Flagrant foul type 1 by A. Wiggins (drawn by D. Harris),,86-81,,
4:03.0,,,86-82,1,D. Harris makes flagrant free throw 1 of 2
4:03.0,,,86-82,,D. Harris misses flagrant free throw 2 of 2
4:03.0,,,86-82,,Offensive rebound by Team
3:48.0,,,86-82,,C. Parsons misses 3-pt shot from 24 ft
3:47.0,Defensive rebound by A. Wiggins,,86-82,,
3:28.0,Turnover by R. Rubio (lost ball; steal by D. Williams),,86-82,,
3:19.0,,,86-85,3,C. Parsons makes 3-pt shot from 22 ft (assist by D. Harris)
2:55.0,S. Muhammad misses 3-pt shot from 24 ft,,86-85,,
2:54.0,,,86-85,,Defensive rebound by W. Matthews
2:36.0,,,86-87,2,W. Matthews makes 2-pt shot from 7 ft
2:19.0,S. Muhammad misses 3-pt shot from 24 ft,,86-87,,
2:18.0,Offensive rebound by A. Wiggins,,86-87,,
2:17.0,,,86-87,,Personal foul by D. Williams (drawn by A. Wiggins)
2:08.0,K. Towns makes 3-pt shot from 24 ft (assist by A. Wiggins),3,89-87,,
