time,Golden State,pts.away,score,pts.home,LA Lakers
7:35.0,,,45-34,3,M. Huertas makes 3-pt shot from 25 ft (assist by J. Randle)
7:22.0,K. Thompson enters the game for A. Iguodala,,45-34,,
7:09.0,S. Curry makes 3-pt shot from 26 ft,3,48-34,,
6:46.0,,,48-37,3,M. World Peace makes 3-pt shot from 27 ft (assist by J. Randle)
6:38.0,S. Curry misses 3-pt shot from 25 ft,,48-37,,
6:35.0,,,48-37,,Defensive rebound by J. Randle
6:27.0,,,48-37,,Shooting foul by D. Green (drawn by M. World Peace)
6:27.0,,,48-38,1,M. World Peace makes free throw 1 of 2
6:27.0,,,48-38,,L. Nance enters the game for J. Randle
6:27.0,,,48-38,,R. Hibbert enters the game for B. Bass
6:27.0,,,48-38,,M. World Peace misses free throw 2 of 2
6:24.0,Defensive rebound by D. Green,,48-38,,
6:12.0,K. Thompson misses 3-pt shot from 26 ft,,48-38,,
6:11.0,,,48-38,,Defensive rebound by L. Williams
6:00.0,,,48-38,,Turnover by M. Huertas (bad pass)
6:00.0,,,48-38,,A. Brown enters the game for M. World Peace
5:53.0,J. Thompson makes 2-pt shot at rim (assist by S. Curry),2,50-38,,
5:37.0,,,50-40,2,L. Nance makes 2-pt shot from 1 ft (assist by M. Huertas)
5:27.0,Turnover by S. Curry (bad pass; steal by L. Williams),,50-40,,
5:14.0,,,50-40,,L. Nance misses 2-pt shot from 17 ft
5:13.0,Defensive rebound by K. Thompson,,50-40,,
5:10.0,Turnover by K. Thompson (lost ball; steal by L. Nance),,50-40,,
4:59.0,,,50-40,,L. Williams misses 2-pt shot from 1 ft
4:58.0,Defensive rebound by J. Thompson,,50-40,,
4:55.0,Turnover by S. Curry (bad pass; steal by M. Huertas),,50-40,,
4:45.0,,,50-40,,LA Lakers full timeout
4:45.0,,,50-40,,J. Clarkson enters the game for M. Huertas
4:45.0,A. Bogut enters the game for B. Rush,,50-40,,
4:45.0,H. Barnes enters the game for J. Thompson,,50-40,,
4:35.0,,,50-40,,J. Clarkson misses 2-pt shot from 7 ft
4:34.0,Defensive rebound by D. Green,,50-40,,
4:08.0,D. Green makes 3-pt shot from 26 ft,3,53-40,,
3:50.0,,,53-40,,Turnover by J. Clarkson (lost ball; steal by S. Curry)
3:42.0,S. Curry misses 2-pt shot from 1 ft,,53-40,,
3:41.0,,,53-40,,Defensive rebound by L. Nance
3:28.0,,,53-40,,L. Williams misses 3-pt shot from 26 ft
3:20.0,Defensive rebound by H. Barnes,,53-40,,
3:14.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,55-40,,
3:09.0,,,55-40,,Turnover by L. Williams (bad pass; steal by H. Barnes)
2:50.0,S. Curry misses 3-pt shot from 23 ft,,55-40,,
2:50.0,,,55-40,,Defensive rebound by L. Nance
2:48.0,,,55-42,2,L. Nance makes 2-pt shot from 1 ft (assist by J. Clarkson)
2:48.0,,,55-42,,Shooting foul by H. Barnes (drawn by L. Nance)
2:48.0,Golden State full timeout,,55-42,,
2:48.0,,,55-42,,L. Nance misses free throw 1 of 1
2:47.0,Defensive rebound by H. Barnes,,55-42,,
2:31.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,57-42,,
2:11.0,,,57-42,,R. Hibbert misses 2-pt shot from 16 ft
2:11.0,Defensive rebound by H. Barnes,,57-42,,
1:57.0,K. Thompson misses 2-pt shot from 1 ft,,57-42,,
1:55.0,Offensive rebound by S. Curry,,57-42,,
1:44.0,Turnover by D. Green (bad pass),,57-42,,
1:24.0,,,57-44,2,R. Hibbert makes 2-pt shot from 18 ft
1:06.0,A. Bogut misses 2-pt shot from 10 ft,,57-44,,
1:05.0,,,57-44,,Defensive rebound by R. Hibbert
0:56.0,,,57-44,,R. Hibbert misses 2-pt shot from 16 ft
0:56.0,Defensive rebound by D. Green,,57-44,,
0:53.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,59-44,,
0:39.0,,,59-44,,J. Clarkson misses 2-pt shot from 1 ft
0:38.0,,,59-44,,Offensive rebound by L. Nance
0:38.0,,,59-44,,L. Nance misses 2-pt shot from 1 ft
0:35.0,Defensive rebound by H. Barnes,,59-44,,
0:34.0,Turnover by H. Barnes (bad pass; steal by L. Nance),,59-44,,
0:26.0,,,59-44,,L. Williams misses 2-pt shot from 13 ft
0:23.0,Defensive rebound by K. Thompson,,59-44,,
0:09.0,S. Curry makes 3-pt shot from 25 ft,3,62-44,,
0:02.0,,,62-47,3,J. Clarkson makes 3-pt shot from 27 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,,,62-47,,J. Clarkson misses 2-pt shot from 1 ft
11:32.0,Defensive rebound by D. Green,,62-47,,
11:26.0,B. Rush misses 2-pt shot from 3 ft (block by R. Hibbert),,62-47,,
11:24.0,,,62-47,,Defensive rebound by L. Nance
11:15.0,,,62-49,2,J. Clarkson makes 2-pt shot from 12 ft
11:07.0,D. Green misses 2-pt shot from 1 ft,,62-49,,
11:04.0,,,62-49,,Defensive rebound by R. Hibbert
10:59.0,,,62-49,,J. Clarkson misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by B. Rush,,62-49,,
10:50.0,Shooting foul by L. Williams (drawn by K. Thompson),,62-49,,
10:50.0,K. Thompson makes free throw 1 of 2,1,63-49,,
10:50.0,K. Thompson makes free throw 2 of 2,1,64-49,,
10:25.0,,,64-49,,A. Brown misses 2-pt shot from 18 ft
10:25.0,Defensive rebound by B. Rush,,64-49,,
10:00.0,K. Thompson misses 2-pt shot from 23 ft,,64-49,,
9:59.0,,,64-49,,Defensive rebound by L. Nance
9:53.0,,,64-49,,J. Clarkson misses 2-pt shot from 11 ft
9:53.0,Defensive rebound by B. Rush,,64-49,,
9:43.0,S. Curry misses 3-pt shot from 24 ft,,64-49,,
9:42.0,,,64-49,,Defensive rebound by A. Brown
9:42.0,,,64-49,,L. Williams misses 2-pt shot from 5 ft (block by A. Bogut)
9:29.0,,,64-49,,Offensive rebound by L. Williams
9:21.0,,,64-51,2,J. Clarkson makes 2-pt shot from 8 ft
9:10.0,S. Curry misses 2-pt shot from 6 ft,,64-51,,
9:10.0,Offensive rebound by A. Bogut,,64-51,,
9:08.0,A. Bogut makes 2-pt shot at rim,2,66-51,,
8:55.0,,,66-51,,Turnover by R. Hibbert (lost ball; steal by S. Curry)
8:49.0,B. Rush misses 3-pt shot from 26 ft,,66-51,,
8:49.0,Offensive rebound by D. Green,,66-51,,
8:49.0,Shooting foul by L. Williams (drawn by D. Green),,66-51,,
8:49.0,D. Green misses free throw 1 of 2,,66-51,,
8:49.0,Offensive rebound by Team,,66-51,,
8:49.0,D. Green misses free throw 2 of 2,,66-51,,
8:48.0,,,66-51,,Defensive rebound by R. Hibbert
8:29.0,,,66-54,3,J. Clarkson makes 3-pt shot from 22 ft (assist by L. Williams)
8:17.0,,,66-54,,Personal foul by A. Brown (drawn by K. Thompson)
8:16.0,Turnover by S. Curry (bad pass),,66-54,,
8:04.0,Def 3 sec tech foul by A. Bogut,,66-54,,
8:04.0,,,66-55,1,L. Williams makes technical free throw
7:56.0,,,66-55,,L. Williams misses 3-pt shot from 27 ft
7:55.0,Defensive rebound by B. Rush,,66-55,,
7:39.0,S. Curry makes 2-pt shot from 2 ft (assist by A. Bogut),2,68-55,,
7:33.0,Personal take foul by D. Green (drawn by J. Clarkson),,68-55,,
7:33.0,Golden State full timeout,,68-55,,
7:21.0,,,68-55,,J. Clarkson misses 3-pt shot from 26 ft
7:21.0,Defensive rebound by D. Green,,68-55,,
7:06.0,K. Thompson makes 2-pt shot from 18 ft,2,70-55,,
6:57.0,,,70-55,,Turnover by L. Williams (bad pass)
6:45.0,,,70-55,,Personal foul by A. Brown (drawn by D. Green)
6:39.0,Shooting foul by A. Brown (drawn by K. Thompson),,70-55,,
6:39.0,K. Thompson makes free throw 1 of 2,1,71-55,,
6:39.0,,,71-55,,M. World Peace enters the game for A. Brown
6:39.0,K. Thompson makes free throw 2 of 2,1,72-55,,
6:11.0,,,72-55,,M. World Peace misses 3-pt shot from 24 ft
6:09.0,Defensive rebound by A. Bogut,,72-55,,
6:09.0,,,72-55,,Personal foul by M. World Peace (drawn by D. Green)
6:09.0,,,72-55,,J. Randle enters the game for L. Nance
6:09.0,D. Green makes free throw 1 of 2,1,73-55,,
6:09.0,A. Iguodala enters the game for B. Rush,,73-55,,
6:09.0,D. Green misses free throw 2 of 2,,73-55,,
6:07.0,,,73-55,,Defensive rebound by J. Randle
5:51.0,,,73-55,,R. Hibbert misses 2-pt shot from 12 ft
5:51.0,Defensive rebound by A. Iguodala,,73-55,,
5:34.0,S. Curry makes 3-pt shot from 23 ft (assist by A. Iguodala),3,76-55,,
5:34.0,,,76-55,,LA Lakers full timeout
5:14.0,,,76-55,,J. Clarkson misses 2-pt shot from 12 ft
5:14.0,Defensive rebound by Team,,76-55,,
5:14.0,,,76-55,,Loose ball foul by J. Randle (drawn by D. Green)
5:14.0,D. Green misses free throw 1 of 2,,76-55,,
5:14.0,Offensive rebound by Team,,76-55,,
5:14.0,,,76-55,,N. Young enters the game for L. Williams
5:14.0,D. Green makes free throw 2 of 2,1,77-55,,
4:56.0,,,77-55,,M. World Peace misses 2-pt shot from 9 ft
4:53.0,Defensive rebound by D. Green,,77-55,,
4:41.0,,,77-55,,Personal foul by M. World Peace (drawn by D. Green)
4:41.0,,,77-55,,Technical foul by M. World Peace (drawn by D. Green)
4:41.0,S. Curry makes technical free throw,1,78-55,,
4:41.0,D. Green makes free throw 1 of 2,1,79-55,,
4:41.0,D. Green makes free throw 2 of 2,1,80-55,,
4:26.0,,,80-55,,J. Randle misses 2-pt shot from 3 ft (block by D. Green)
4:25.0,,,80-55,,Offensive rebound by J. Clarkson
4:21.0,,,80-55,,J. Clarkson misses 2-pt shot from 2 ft
4:21.0,,,80-55,,Offensive rebound by J. Randle
4:21.0,,,80-55,,J. Randle misses 2-pt shot from 2 ft
4:21.0,,,80-55,,Offensive rebound by Team
4:21.0,M. Speights enters the game for A. Bogut,,80-55,,
4:07.0,,,80-55,,M. World Peace misses 2-pt shot from 1 ft
4:05.0,Defensive rebound by M. Speights,,80-55,,
4:00.0,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green),3,83-55,,
3:35.0,,,83-55,,Turnover by J. Randle (lost ball; steal by A. Iguodala)
3:29.0,K. Thompson misses 3-pt shot from 22 ft,,83-55,,
3:26.0,,,83-55,,Defensive rebound by R. Hibbert
3:07.0,,,83-55,,J. Randle misses 2-pt shot from 11 ft
3:07.0,,,83-55,,Offensive rebound by J. Clarkson
3:00.0,,,83-55,,J. Clarkson misses 3-pt shot from 24 ft
2:59.0,Defensive rebound by D. Green,,83-55,,
2:46.0,Shooting foul by R. Hibbert (drawn by M. Speights),,83-55,,
2:46.0,M. Speights makes free throw 1 of 2,1,84-55,,
2:46.0,,,84-55,,B. Bass enters the game for R. Hibbert
2:46.0,I. Clark enters the game for S. Curry,,84-55,,
2:46.0,H. Barnes enters the game for D. Green,,84-55,,
2:46.0,M. Speights makes free throw 2 of 2,1,85-55,,
2:36.0,,,85-55,,Turnover by N. Young (bad pass; steal by I. Clark)
2:30.0,K. Thompson makes 3-pt shot from 25 ft (assist by I. Clark),3,88-55,,
2:29.0,,,88-55,,LA Lakers full timeout
2:18.0,,,88-57,2,J. Clarkson makes 2-pt shot from 13 ft
2:18.0,,,88-57,,Shooting foul by I. Clark (drawn by J. Clarkson)
2:18.0,,,88-58,1,J. Clarkson makes free throw 1 of 1
2:07.0,,,88-58,,Personal foul by N. Young (drawn by M. Speights)
2:07.0,M. Speights makes free throw 1 of 2,1,89-58,,
2:07.0,M. Speights makes free throw 2 of 2,1,90-58,,
1:44.0,,,90-58,,M. World Peace misses 3-pt shot from 24 ft
1:44.0,,,90-58,,Offensive rebound by Team
1:39.0,,,90-58,,N. Young misses 2-pt shot from 20 ft
1:38.0,Defensive rebound by M. Speights,,90-58,,
1:25.0,K. Thompson misses 3-pt shot from 25 ft,,90-58,,
1:24.0,,,90-58,,Defensive rebound by J. Randle
1:19.0,,,90-60,2,B. Bass makes 2-pt shot from 2 ft (assist by J. Randle)
1:19.0,,,90-60,,Shooting foul by M. Speights (drawn by B. Bass)
1:19.0,,,90-60,,B. Bass misses free throw 1 of 1
1:18.0,Defensive rebound by M. Speights,,90-60,,
1:00.0,M. Speights misses 2-pt shot at rim (block by J. Randle),,90-60,,
0:58.0,,,90-60,,Defensive rebound by M. World Peace
0:50.0,,,90-60,,M. World Peace misses 3-pt shot from 27 ft
0:49.0,Defensive rebound by M. Speights,,90-60,,
0:32.0,Shooting foul by B. Bass (drawn by K. Thompson),,90-60,,
0:32.0,K. Thompson makes free throw 1 of 2,1,91-60,,
0:32.0,K. Thompson makes free throw 2 of 2,1,92-60,,
0:12.0,,,92-60,,J. Clarkson misses 2-pt shot from 6 ft (block by I. Clark)
0:11.0,Defensive rebound by M. Speights,,92-60,,
0:01.0,Turnover by I. Clark (lost ball; steal by N. Young),,92-60,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,H. Barnes misses 2-pt shot from 8 ft,,92-60,,
11:40.0,,,92-60,,Defensive rebound by J. Randle
11:28.0,,,92-60,,N. Young misses 2-pt shot from 18 ft
11:26.0,Defensive rebound by H. Barnes,,92-60,,
11:09.0,I. Clark misses 2-pt shot from 20 ft,,92-60,,
11:08.0,,,92-60,,Defensive rebound by M. Huertas
10:52.0,,,92-60,,M. World Peace misses 2-pt shot from 19 ft
10:51.0,Defensive rebound by H. Barnes,,92-60,,
10:25.0,I. Clark misses 3-pt shot from 24 ft,,92-60,,
10:25.0,,,92-60,,Defensive rebound by M. Huertas
10:10.0,,,92-62,2,B. Bass makes 2-pt shot from 13 ft (assist by M. Huertas)
9:48.0,I. Clark makes 2-pt shot from 5 ft,2,94-62,,
9:31.0,,,94-62,,N. Young misses 3-pt shot from 26 ft
9:31.0,,,94-62,,Offensive rebound by B. Bass
9:21.0,,,94-64,2,J. Randle makes 2-pt shot from 12 ft
9:09.0,M. Speights misses 2-pt shot at rim,,94-64,,
9:07.0,,,94-64,,Defensive rebound by N. Young
8:59.0,,,94-64,,J. Randle misses 2-pt shot from 17 ft
8:59.0,Defensive rebound by Team,,94-64,,
8:59.0,Official timeout,,94-64,,
8:59.0,,,94-64,,A. Brown enters the game for N. Young
8:46.0,I. Clark misses 2-pt shot from 19 ft,,94-64,,
8:45.0,,,94-64,,Defensive rebound by M. Huertas
8:30.0,,,94-64,,M. Huertas misses 3-pt shot from 24 ft
8:29.0,,,94-64,,Offensive rebound by J. Randle
8:13.0,,,94-64,,A. Brown misses 2-pt shot from 10 ft (block by I. Clark)
8:13.0,,,94-64,,Offensive rebound by B. Bass
8:13.0,,,94-64,,Shooting foul by H. Barnes (drawn by B. Bass)
8:13.0,,,94-65,1,B. Bass makes free throw 1 of 2
8:13.0,J. Thompson enters the game for M. Speights,,94-65,,
8:13.0,,,94-66,1,B. Bass makes free throw 2 of 2
7:53.0,H. Barnes makes 2-pt shot from 10 ft,2,96-66,,
7:36.0,,,96-66,,Shooting foul by B. Rush (drawn by A. Brown)
7:36.0,,,96-67,1,A. Brown makes free throw 1 of 2
7:36.0,,,96-67,,R. Kelly enters the game for J. Randle
7:36.0,,,96-67,,T. Black enters the game for B. Bass
7:36.0,,,96-68,1,A. Brown makes free throw 2 of 2
7:11.0,H. Barnes makes 2-pt shot from 10 ft,2,98-68,,
7:04.0,,,98-70,2,R. Kelly makes 2-pt shot from 2 ft (assist by M. Huertas)
6:41.0,B. Rush misses 2-pt shot from 4 ft (block by T. Black),,98-70,,
6:39.0,Offensive rebound by B. Rush,,98-70,,
6:38.0,Turnover by Team (shot clock),,98-70,,
6:38.0,K. Thompson enters the game for A. Iguodala,,98-70,,
6:19.0,Personal foul by J. Thompson (drawn by T. Black),,98-70,,
6:05.0,,,98-70,,Turnover by Team (shot clock)
5:50.0,,,98-70,,Personal foul by M. Huertas (drawn by K. Thompson)
5:50.0,,,98-70,,LA Lakers full timeout
5:50.0,M. Speights enters the game for H. Barnes,,98-70,,
5:41.0,I. Clark misses 3-pt shot from 24 ft,,98-70,,
5:40.0,,,98-70,,Defensive rebound by T. Black
5:20.0,,,98-72,2,M. World Peace makes 2-pt shot from 5 ft
5:04.0,B. Rush misses 2-pt shot from 2 ft,,98-72,,
5:03.0,Offensive rebound by M. Speights,,98-72,,
5:02.0,M. Speights misses 2-pt shot from 3 ft,,98-72,,
5:02.0,Offensive rebound by M. Speights,,98-72,,
5:01.0,M. Speights makes 2-pt shot from 3 ft,2,100-72,,
4:42.0,,,100-74,2,T. Black makes 2-pt shot at rim (assist by M. World Peace)
4:27.0,Shooting foul by M. Huertas (drawn by I. Clark),,100-74,,
4:27.0,I. Clark makes free throw 1 of 2,1,101-74,,
4:27.0,I. Clark misses free throw 2 of 2,,101-74,,
4:24.0,,,101-74,,Defensive rebound by T. Black
4:10.0,,,101-74,,A. Brown misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by I. Clark,,101-74,,
