time,Atlanta,pts.away,score,pts.home,Memphis
11:03.0,M. Scott misses 2-pt shot from 10 ft,,29-36,,
11:01.0,,,29-36,,Defensive rebound by J. Green
10:51.0,Personal foul by D. Schroder (drawn by J. Green),,29-36,,
10:44.0,,,29-36,,C. Lee misses 2-pt shot from 13 ft
10:43.0,Defensive rebound by D. Schroder,,29-36,,
10:27.0,,,29-36,,Personal foul by M. Chalmers (drawn by D. Schroder)
10:11.0,K. Bazemore misses 2-pt shot from 20 ft,,29-36,,
10:09.0,,,29-36,,Defensive rebound by J. Green
9:58.0,,,29-39,3,C. Lee makes 3-pt shot from 22 ft (assist by V. Carter)
9:41.0,M. Scott misses 2-pt shot at rim,,29-39,,
9:39.0,,,29-39,,Defensive rebound by J. Green
9:33.0,,,29-39,,C. Lee misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by D. Schroder,,29-39,,
9:28.0,Offensive charge foul by M. Scott,,29-39,,
9:28.0,Turnover by M. Scott (offensive foul),,29-39,,
9:12.0,,,29-39,,J. Green misses 2-pt shot from 20 ft
9:11.0,Defensive rebound by D. Schroder,,29-39,,
9:02.0,Turnover by K. Bazemore (traveling),,29-39,,
8:51.0,,,29-39,,Turnover by M. Chalmers (lost ball; steal by D. Schroder)
8:47.0,M. Scott makes 2-pt shot at rim (assist by K. Bazemore),2,31-39,,
8:47.0,,,31-39,,Memphis full timeout
8:47.0,,,31-39,,M. Barnes enters the game for J. Green
8:47.0,,,31-39,,M. Conley enters the game for M. Chalmers
8:32.0,,,31-41,2,M. Barnes makes 2-pt shot from 8 ft (assist by C. Lee)
8:18.0,T. Hardaway makes 3-pt shot from 25 ft (assist by M. Scott),3,34-41,,
7:52.0,,,34-41,,M. Barnes misses 3-pt shot from 27 ft
7:51.0,Defensive rebound by M. Scott,,34-41,,
7:37.0,D. Schroder misses 3-pt shot from 24 ft,,34-41,,
7:37.0,Offensive rebound by M. Scott,,34-41,,
7:32.0,K. Bazemore makes 2-pt shot at rim,2,36-41,,
7:11.0,,,36-44,3,V. Carter makes 3-pt shot from 23 ft (assist by M. Conley)
6:56.0,D. Schroder misses 3-pt shot from 25 ft,,36-44,,
6:56.0,,,36-44,,Defensive rebound by J. Green
6:42.0,,,36-46,2,J. Green makes 2-pt shot from 13 ft (assist by M. Conley)
6:13.0,T. Hardaway misses 2-pt shot from 18 ft,,36-46,,
6:11.0,,,36-46,,Defensive rebound by J. Green
6:03.0,,,36-46,,Shooting foul by K. Bazemore (drawn by M. Conley)
6:03.0,,,36-47,1,M. Conley makes free throw 1 of 2
6:03.0,,,36-47,,M. Gasol enters the game for J. Green
6:03.0,,,36-47,,T. Allen enters the game for C. Lee
6:03.0,K. Korver enters the game for A. Horford,,36-47,,
6:03.0,J. Teague enters the game for D. Schroder,,36-47,,
6:03.0,M. Muscala enters the game for T. Hardaway,,36-47,,
6:03.0,P. Millsap enters the game for M. Scott,,36-47,,
6:03.0,,,36-48,1,M. Conley makes free throw 2 of 2
5:43.0,K. Bazemore misses 3-pt shot from 24 ft,,36-48,,
5:43.0,,,36-48,,Defensive rebound by M. Conley
5:34.0,,,36-48,,M. Conley misses 2-pt shot from 21 ft
5:33.0,Defensive rebound by M. Muscala,,36-48,,
5:21.0,P. Millsap misses 2-pt shot from 1 ft (block by V. Carter),,36-48,,
5:17.0,Offensive rebound by M. Muscala,,36-48,,
5:17.0,M. Muscala makes 2-pt shot from 1 ft,2,38-48,,
4:55.0,,,38-48,,M. Barnes misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by M. Muscala,,38-48,,
4:44.0,K. Bazemore makes 2-pt shot from 1 ft,2,40-48,,
4:26.0,,,40-48,,M. Gasol misses 2-pt shot from 15 ft
4:25.0,Defensive rebound by P. Millsap,,40-48,,
4:14.0,Shooting foul by M. Barnes (drawn by P. Millsap),,40-48,,
4:14.0,Atlanta full timeout,,40-48,,
4:14.0,L. Patterson enters the game for K. Bazemore,,40-48,,
4:14.0,,,40-48,,J. Green enters the game for M. Barnes
4:14.0,P. Millsap misses free throw 1 of 2,,40-48,,
4:14.0,Offensive rebound by Team,,40-48,,
4:14.0,P. Millsap makes free throw 2 of 2,1,41-48,,
4:01.0,Violation by J. Teague (kicked ball),,41-48,,
3:54.0,,,41-48,,V. Carter misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by M. Muscala,,41-48,,
3:41.0,M. Muscala misses 3-pt shot from 25 ft,,41-48,,
3:41.0,,,41-48,,Defensive rebound by J. Green
3:36.0,Violation by P. Millsap (kicked ball),,41-48,,
3:23.0,,,41-50,2,M. Gasol makes 2-pt shot at rim
2:57.0,L. Patterson misses 3-pt shot from 24 ft,,41-50,,
2:57.0,Offensive rebound by Team,,41-50,,
2:57.0,,,41-50,,Loose ball foul by J. Green (drawn by P. Millsap)
2:57.0,Atlanta full timeout,,41-50,,
2:57.0,A. Horford enters the game for M. Muscala,,41-50,,
2:50.0,K. Korver makes 3-pt shot from 25 ft (assist by L. Patterson),3,44-50,,
2:30.0,,,44-50,,T. Allen misses 2-pt shot from 5 ft
2:29.0,Defensive rebound by K. Korver,,44-50,,
2:24.0,K. Korver misses 3-pt shot from 24 ft,,44-50,,
2:24.0,Offensive rebound by Team,,44-50,,
2:24.0,,,44-50,,Loose ball foul by J. Green (drawn by P. Millsap)
2:24.0,,,44-50,,J. Green enters the game for J. Green
2:18.0,Turnover by P. Millsap (lost ball; steal by T. Allen),,44-50,,
2:08.0,,,44-53,3,V. Carter makes 3-pt shot from 26 ft (assist by J. Green)
1:48.0,K. Korver makes 2-pt shot from 11 ft (assist by J. Teague),2,46-53,,
1:32.0,,,46-53,,T. Allen misses 2-pt shot from 8 ft
1:31.0,Defensive rebound by A. Horford,,46-53,,
1:22.0,J. Teague makes 3-pt shot from 25 ft,3,49-53,,
0:59.0,,,49-53,,Shooting foul by P. Millsap (drawn by M. Gasol)
0:59.0,,,49-54,1,M. Gasol makes free throw 1 of 2
0:59.0,,,49-55,1,M. Gasol makes free throw 2 of 2
0:50.0,Offensive foul by K. Korver,,49-55,,
0:50.0,Turnover by K. Korver (offensive foul),,49-55,,
0:40.0,,,49-58,3,V. Carter makes 3-pt shot from 25 ft (assist by M. Conley)
0:31.0,L. Patterson misses 3-pt shot from 25 ft,,49-58,,
0:30.0,Offensive rebound by P. Millsap,,49-58,,
0:29.0,,,49-58,,Loose ball foul by V. Carter (drawn by P. Millsap)
0:29.0,P. Millsap makes free throw 1 of 2,1,50-58,,
0:29.0,,,50-58,,C. Lee enters the game for T. Allen
0:29.0,P. Millsap makes free throw 2 of 2,1,51-58,,
0:08.0,,,51-58,,V. Carter misses 3-pt shot from 26 ft
0:07.0,Defensive rebound by P. Millsap,,51-58,,
0:01.0,P. Millsap makes 2-pt shot from 1 ft,2,53-58,,
0:00.0,,,53-58,,M. Conley misses 3-pt shot from 62 ft
0:00.0,,,53-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,J. Teague makes 3-pt shot from 23 ft (assist by P. Millsap),3,56-58,,
11:31.0,,,56-61,3,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol)
11:10.0,,,56-61,,Personal foul by T. Allen (drawn by J. Teague)
11:04.0,A. Horford misses 2-pt shot from 17 ft,,56-61,,
11:03.0,,,56-61,,Defensive rebound by J. Green
10:50.0,Violation by K. Korver (kicked ball),,56-61,,
10:45.0,,,56-61,,T. Allen misses 2-pt shot at rim
10:43.0,Defensive rebound by P. Millsap,,56-61,,
10:35.0,K. Bazemore makes 2-pt shot from 1 ft,2,58-61,,
10:17.0,,,58-61,,M. Gasol misses 2-pt shot at rim
10:16.0,Defensive rebound by P. Millsap,,58-61,,
10:07.0,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap),3,61-61,,
9:43.0,,,61-61,,Offensive charge foul by J. Green
9:43.0,,,61-61,,Turnover by J. Green (offensive foul)
9:28.0,A. Horford makes 2-pt shot from 21 ft (assist by J. Teague),2,63-61,,
9:22.0,,,63-61,,Memphis full timeout
9:22.0,,,63-61,,V. Carter enters the game for J. Green
9:07.0,,,63-64,3,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol)
8:47.0,J. Teague misses 3-pt shot from 25 ft,,63-64,,
8:46.0,,,63-64,,Defensive rebound by V. Carter
8:24.0,,,63-64,,T. Allen misses 3-pt shot from 23 ft
8:23.0,Defensive rebound by J. Teague,,63-64,,
8:16.0,,,63-64,,Personal foul by V. Carter (drawn by P. Millsap)
8:05.0,Shooting foul by M. Barnes (drawn by P. Millsap),,63-64,,
8:05.0,P. Millsap misses free throw 1 of 2,,63-64,,
8:05.0,Offensive rebound by Team,,63-64,,
8:05.0,P. Millsap makes free throw 2 of 2,1,64-64,,
7:51.0,,,64-64,,Shooting foul by A. Horford (drawn by M. Gasol)
7:51.0,,,64-65,1,M. Gasol makes free throw 1 of 2
7:51.0,,,64-65,,M. Gasol misses free throw 2 of 2
7:50.0,Defensive rebound by P. Millsap,,64-65,,
7:41.0,Turnover by J. Teague (lost ball; steal by T. Allen),,64-65,,
7:36.0,,,64-65,,T. Allen misses 2-pt shot at rim
7:35.0,,,64-65,,Offensive rebound by M. Barnes
7:35.0,,,64-67,2,M. Barnes makes 2-pt shot from 1 ft
7:19.0,K. Korver misses 3-pt shot from 22 ft,,64-67,,
7:18.0,,,64-67,,Defensive rebound by M. Gasol
7:05.0,,,64-67,,V. Carter misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by K. Bazemore,,64-67,,
6:56.0,J. Teague makes 3-pt shot from 24 ft (assist by K. Bazemore),3,67-67,,
6:32.0,,,67-67,,Shooting foul by A. Horford (drawn by M. Gasol)
6:32.0,,,67-68,1,M. Gasol makes free throw 1 of 2
6:32.0,M. Muscala enters the game for A. Horford,,67-68,,
6:32.0,L. Patterson enters the game for K. Bazemore,,67-68,,
6:32.0,,,67-68,,J. Green enters the game for M. Barnes
6:32.0,,,67-69,1,M. Gasol makes free throw 2 of 2
6:23.0,P. Millsap makes 2-pt shot from 5 ft,2,69-69,,
6:23.0,Shooting foul by J. Green (drawn by P. Millsap),,69-69,,
6:23.0,P. Millsap makes free throw 1 of 1,1,70-69,,
6:05.0,,,70-69,,Turnover by T. Allen (bad pass; steal by J. Teague)
6:04.0,,,70-69,,Personal take foul by T. Allen (drawn by J. Teague)
6:04.0,J. Teague makes free throw 1 of 2,1,71-69,,
6:04.0,J. Teague makes free throw 2 of 2,1,72-69,,
5:43.0,,,72-71,2,T. Allen makes 2-pt shot from 6 ft (assist by M. Conley)
5:32.0,P. Millsap makes 2-pt shot from 13 ft (assist by J. Teague),2,74-71,,
5:20.0,,,74-71,,M. Conley misses 2-pt shot from 1 ft
5:20.0,,,74-71,,Offensive rebound by Team
5:20.0,Personal foul by L. Patterson (drawn by M. Conley),,74-71,,
5:20.0,,,74-71,,M. Chalmers enters the game for T. Allen
5:04.0,,,74-71,,V. Carter misses 2-pt shot from 1 ft
5:03.0,,,74-71,,Offensive rebound by J. Green
5:03.0,,,74-73,2,J. Green makes 2-pt shot from 1 ft
4:45.0,M. Muscala makes 2-pt shot from 18 ft (assist by J. Teague),2,76-73,,
4:34.0,,,76-73,,Turnover by M. Chalmers (bad pass)
4:34.0,D. Schroder enters the game for J. Teague,,76-73,,
4:34.0,,,76-73,,Technical foul by M. Gasol
4:34.0,K. Korver misses technical free throw,,76-73,,
4:34.0,Offensive rebound by Team,,76-73,,
4:26.0,,,76-73,,Personal foul by V. Carter (drawn by D. Schroder)
4:26.0,D. Schroder makes free throw 1 of 2,1,77-73,,
4:26.0,D. Schroder makes free throw 2 of 2,1,78-73,,
4:10.0,,,78-75,2,J. Green makes 2-pt shot from 1 ft (assist by M. Chalmers)
3:49.0,M. Muscala misses 3-pt shot from 24 ft,,78-75,,
3:49.0,,,78-75,,Defensive rebound by V. Carter
3:41.0,,,78-75,,M. Chalmers misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by P. Millsap,,78-75,,
3:30.0,K. Korver misses 3-pt shot from 25 ft,,78-75,,
3:29.0,,,78-75,,Defensive rebound by M. Chalmers
3:28.0,Personal take foul by P. Millsap (drawn by M. Chalmers),,78-75,,
3:19.0,Personal foul by K. Korver (drawn by V. Carter),,78-75,,
3:19.0,,,78-76,1,V. Carter makes free throw 1 of 2
3:19.0,,,78-76,,C. Lee enters the game for M. Conley
3:19.0,,,78-77,1,V. Carter makes free throw 2 of 2
3:15.0,Atlanta full timeout,,78-77,,
3:15.0,,,78-77,,J. Green enters the game for M. Gasol
3:06.0,P. Millsap misses 3-pt shot from 23 ft,,78-77,,
3:06.0,,,78-77,,Defensive rebound by V. Carter
2:45.0,,,78-79,2,J. Green makes 2-pt shot from 18 ft (assist by M. Chalmers)
2:34.0,Shooting foul by M. Chalmers (drawn by D. Schroder),,78-79,,
2:34.0,D. Schroder makes free throw 1 of 2,1,79-79,,
2:34.0,A. Horford enters the game for P. Millsap,,79-79,,
2:34.0,K. Bazemore enters the game for K. Korver,,79-79,,
2:34.0,D. Schroder makes free throw 2 of 2,1,80-79,,
2:27.0,Personal foul by D. Schroder (drawn by M. Chalmers),,80-79,,
2:27.0,,,80-79,,M. Chalmers misses free throw 1 of 2
2:27.0,,,80-79,,Offensive rebound by Team
2:27.0,,,80-80,1,M. Chalmers makes free throw 2 of 2
2:15.0,,,80-80,,Personal foul by M. Chalmers (drawn by A. Horford)
2:15.0,A. Horford makes free throw 1 of 2,1,81-80,,
2:15.0,A. Horford makes free throw 2 of 2,1,82-80,,
1:59.0,,,82-80,,Turnover by M. Chalmers (lost ball)
1:46.0,K. Bazemore misses 3-pt shot from 25 ft,,82-80,,
1:46.0,,,82-80,,Defensive rebound by C. Lee
1:31.0,,,82-80,,J. Green misses 2-pt shot from 19 ft
1:30.0,,,82-80,,Offensive rebound by Team
1:25.0,,,82-80,,Turnover by M. Chalmers (offensive foul)
1:25.0,,,82-80,,Offensive foul by M. Chalmers
1:25.0,,,82-80,,M. Conley enters the game for M. Chalmers
1:07.0,A. Horford misses 2-pt shot from 19 ft,,82-80,,
1:07.0,,,82-80,,Defensive rebound by C. Lee
0:59.0,,,82-80,,V. Carter misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by L. Patterson,,82-80,,
0:49.0,D. Schroder makes 3-pt shot from 24 ft,3,85-80,,
0:37.0,,,85-82,2,M. Conley makes 2-pt shot from 5 ft
0:32.0,Turnover by M. Muscala (traveling),,85-82,,
0:26.0,,,85-82,,J. Green misses 2-pt shot from 2 ft
0:24.0,Defensive rebound by A. Horford,,85-82,,
0:03.0,M. Muscala misses 3-pt shot from 22 ft,,85-82,,
0:02.0,,,85-82,,Defensive rebound by V. Carter
0:00.0,,,85-82,,V. Carter misses 3-pt shot from 73 ft
0:00.0,,,85-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,85-82,,M. Conley misses 2-pt shot from 11 ft
11:42.0,Defensive rebound by K. Bazemore,,85-82,,
11:30.0,Shooting foul by J. Green (drawn by K. Bazemore),,85-82,,
11:30.0,K. Bazemore makes free throw 1 of 2,1,86-82,,
11:30.0,K. Bazemore makes free throw 2 of 2,1,87-82,,
11:18.0,Personal foul by K. Bazemore (drawn by J. Green),,87-82,,
11:14.0,,,87-82,,Turnover by J. Green (illegal screen)
11:02.0,A. Horford misses 2-pt shot from 21 ft,,87-82,,
11:01.0,,,87-82,,Defensive rebound by J. Green
10:50.0,,,87-85,3,C. Lee makes 3-pt shot from 25 ft (assist by M. Conley)
10:23.0,L. Patterson misses 3-pt shot from 22 ft,,87-85,,
10:22.0,,,87-85,,Defensive rebound by M. Gasol
10:02.0,,,87-87,2,M. Conley makes 2-pt shot at rim
10:02.0,Atlanta full timeout,,87-87,,
10:02.0,P. Millsap enters the game for M. Muscala,,87-87,,
10:02.0,K. Korver enters the game for L. Patterson,,87-87,,
10:02.0,J. Teague enters the game for D. Schroder,,87-87,,
10:02.0,,,87-87,,M. Barnes enters the game for J. Green
9:41.0,A. Horford makes 2-pt shot at rim,2,89-87,,
9:21.0,Personal foul by J. Teague (drawn by M. Conley),,89-87,,
9:08.0,,,89-87,,C. Lee misses 2-pt shot from 13 ft
9:08.0,,,89-87,,Offensive rebound by C. Lee
9:08.0,,,89-87,,Turnover by Team (shot clock)
8:44.0,A. Horford makes 2-pt shot from 2 ft (assist by J. Teague),2,91-87,,
8:24.0,,,91-87,,M. Conley misses 3-pt shot from 26 ft
8:23.0,Defensive rebound by K. Korver,,91-87,,
8:10.0,A. Horford makes 3-pt shot from 24 ft (assist by P. Millsap),3,94-87,,
7:52.0,,,94-87,,M. Barnes misses 2-pt shot from 1 ft
7:50.0,Defensive rebound by P. Millsap,,94-87,,
7:42.0,A. Horford misses 3-pt shot from 24 ft,,94-87,,
7:42.0,,,94-87,,Defensive rebound by M. Barnes
7:28.0,,,94-89,2,J. Green makes 2-pt shot from 2 ft
7:28.0,,,94-89,,Shooting foul by A. Horford (drawn by J. Green)
7:28.0,M. Muscala enters the game for K. Bazemore,,94-89,,
7:28.0,L. Patterson enters the game for A. Horford,,94-89,,
7:28.0,,,94-90,1,J. Green makes free throw 1 of 1
7:11.0,L. Patterson misses 3-pt shot from 24 ft,,94-90,,
7:11.0,,,94-90,,Defensive rebound by M. Gasol
6:49.0,,,94-90,,C. Lee misses 2-pt shot from 18 ft
6:49.0,Defensive rebound by P. Millsap,,94-90,,
6:34.0,J. Teague misses 3-pt shot from 25 ft,,94-90,,
6:33.0,,,94-90,,Defensive rebound by M. Gasol
6:26.0,,,94-93,3,M. Barnes makes 3-pt shot from 22 ft (assist by M. Conley)
6:10.0,Shooting foul by J. Green (drawn by P. Millsap),,94-93,,
6:10.0,P. Millsap makes free throw 1 of 2,1,95-93,,
6:10.0,,,95-93,,J. Green enters the game for J. Green
6:10.0,P. Millsap makes free throw 2 of 2,1,96-93,,
5:49.0,,,96-93,,J. Green misses 2-pt shot at rim (block by M. Muscala)
5:49.0,Defensive rebound by Team,,96-93,,
5:49.0,Atlanta full timeout,,96-93,,
5:35.0,P. Millsap makes 2-pt shot from 1 ft (assist by M. Muscala),2,98-93,,
5:21.0,Personal foul by M. Muscala (drawn by M. Gasol),,98-93,,
5:21.0,A. Horford enters the game for M. Muscala,,98-93,,
5:07.0,,,98-93,,M. Barnes misses 2-pt shot from 10 ft
5:04.0,Defensive rebound by A. Horford,,98-93,,
4:51.0,L. Patterson makes 2-pt shot from 2 ft (assist by P. Millsap),2,100-93,,
4:40.0,Personal foul by A. Horford (drawn by M. Conley),,100-93,,
4:40.0,,,100-94,1,M. Conley makes free throw 1 of 2
4:40.0,,,100-95,1,M. Conley makes free throw 2 of 2
4:27.0,A. Horford makes 3-pt shot from 25 ft (assist by J. Teague),3,103-95,,
4:16.0,,,103-95,,Turnover by M. Conley (bad pass; steal by K. Korver)
4:08.0,Shooting foul by M. Gasol (drawn by P. Millsap),,103-95,,
4:08.0,P. Millsap makes free throw 1 of 2,1,104-95,,
4:08.0,M. Muscala enters the game for A. Horford,,104-95,,
4:08.0,P. Millsap makes free throw 2 of 2,1,105-95,,
4:06.0,,,105-95,,Memphis full timeout
3:59.0,,,105-97,2,M. Gasol makes 2-pt shot from 5 ft (assist by M. Conley)
3:46.0,L. Patterson misses 2-pt shot from 20 ft,,105-97,,
3:45.0,Offensive rebound by P. Millsap,,105-97,,
3:37.0,J. Teague makes 3-pt shot from 25 ft (assist by M. Muscala),3,108-97,,
3:29.0,Personal foul by J. Teague (drawn by M. Conley),,108-97,,
3:29.0,,,108-98,1,M. Conley makes free throw 1 of 2
3:29.0,,,108-99,1,M. Conley makes free throw 2 of 2
3:09.0,J. Teague makes 2-pt shot from 13 ft,2,110-99,,
2:52.0,,,110-99,,M. Gasol misses 2-pt shot from 1 ft (block by M. Muscala)
2:50.0,,,110-99,,Offensive rebound by M. Gasol
2:50.0,,,110-99,,M. Gasol misses 2-pt shot from 3 ft (block by L. Patterson)
2:48.0,Defensive rebound by K. Korver,,110-99,,
2:33.0,Shooting foul by M. Conley (drawn by L. Patterson),,110-99,,
2:33.0,,,110-99,,Violation by Team (delay of game)
2:33.0,L. Patterson makes free throw 1 of 2,1,111-99,,
2:33.0,L. Patterson makes free throw 2 of 2,1,112-99,,
2:22.0,,,112-99,,M. Barnes misses 3-pt shot from 24 ft
2:22.0,,,112-99,,Offensive rebound by Team
2:15.0,,,112-99,,M. Conley misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by P. Millsap,,112-99,,
1:59.0,Shooting foul by M. Barnes (drawn by P. Millsap),,112-99,,
