time,Milwaukee,pts.away,score,pts.home,Phoenix
1:49.0,,,25-16,,R. Price enters the game for E. Bledsoe
1:38.0,M. Carter-Williams misses 2-pt shot from 12 ft,,25-16,,
1:38.0,,,25-16,,Defensive rebound by M. Morris
1:32.0,,,25-18,2,T. Warren makes 2-pt shot at rim (assist by M. Morris)
1:17.0,J. Henson misses 2-pt shot at rim,,25-18,,
1:15.0,,,25-18,,Defensive rebound by A. Len
1:08.0,,,25-21,3,M. Morris makes 3-pt shot from 24 ft (assist by R. Price)
0:51.0,M. Carter-Williams misses 2-pt shot from 6 ft,,25-21,,
0:51.0,Offensive rebound by M. Carter-Williams,,25-21,,
0:46.0,R. Vaughn misses 2-pt shot from 2 ft,,25-21,,
0:45.0,,,25-21,,Defensive rebound by D. Booker
0:38.0,,,25-24,3,R. Price makes 3-pt shot from 25 ft (assist by M. Morris)
0:17.0,J. Henson makes 2-pt shot at rim (assist by K. Middleton),2,27-24,,
0:01.0,,,27-24,,Shooting foul by J. Henson (drawn by M. Morris)
0:01.0,,,27-25,1,M. Morris makes free throw 1 of 2
0:01.0,,,27-26,1,M. Morris makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,27-26,,A. Len misses 2-pt shot from 16 ft
11:43.0,Defensive rebound by T. Ennis,,27-26,,
11:29.0,O. Mayo makes 2-pt shot at rim,2,29-26,,
11:08.0,,,29-28,2,T. Warren makes 2-pt shot from 10 ft
11:01.0,Turnover by T. Ennis (lost ball),,29-28,,
10:54.0,Def 3 sec tech foul by J. Henson,,29-28,,
10:54.0,,,29-29,1,D. Booker makes technical free throw
10:54.0,,,29-29,,M. Teletovic enters the game for M. Morris
10:45.0,,,29-31,2,T. Warren makes 2-pt shot from 1 ft (assist by M. Teletovic)
10:35.0,Shooting foul by R. Price (drawn by T. Ennis),,29-31,,
10:35.0,T. Ennis makes free throw 1 of 2,1,30-31,,
10:35.0,T. Ennis misses free throw 2 of 2,,30-31,,
10:34.0,,,30-31,,Defensive rebound by A. Len
10:14.0,Personal foul by C. Copeland (drawn by T. Warren),,30-31,,
10:05.0,,,30-31,,M. Teletovic misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by C. Copeland,,30-31,,
9:40.0,C. Copeland misses 3-pt shot from 22 ft,,30-31,,
9:40.0,,,30-31,,Defensive rebound by A. Len
9:34.0,,,30-33,2,T. Warren makes 2-pt shot from 1 ft (assist by R. Price)
9:18.0,T. Ennis makes 2-pt shot from 18 ft,2,32-33,,
8:56.0,,,32-33,,M. Teletovic misses 3-pt shot from 25 ft
8:56.0,,,32-33,,Offensive rebound by Team
8:55.0,Official timeout,,32-33,,
8:55.0,,,32-33,,T. Chandler enters the game for D. Booker
8:55.0,,,32-33,,B. Knight enters the game for A. Len
8:55.0,J. Parker enters the game for C. Copeland,,32-33,,
8:44.0,,,32-35,2,T. Warren makes 2-pt shot from 17 ft (assist by R. Price)
8:30.0,O. Mayo misses 2-pt shot from 17 ft,,32-35,,
8:29.0,,,32-35,,Defensive rebound by M. Teletovic
8:08.0,,,32-35,,M. Teletovic misses 2-pt shot from 4 ft (block by J. Henson)
8:08.0,Defensive rebound by J. Henson,,32-35,,
7:50.0,J. Parker misses 2-pt shot from 4 ft,,32-35,,
7:50.0,,,32-35,,Defensive rebound by T. Warren
7:41.0,,,32-35,,B. Knight misses 2-pt shot from 6 ft
7:41.0,,,32-35,,Offensive rebound by T. Chandler
7:38.0,,,32-35,,T. Chandler misses 2-pt shot at rim (block by J. Henson)
7:37.0,Defensive rebound by J. O'Bryant,,32-35,,
7:32.0,,,32-35,,Personal foul by R. Price (drawn by J. Henson)
7:20.0,Shooting foul by B. Knight (drawn by O. Mayo),,32-35,,
7:20.0,O. Mayo misses free throw 1 of 2,,32-35,,
7:20.0,Offensive rebound by Team,,32-35,,
7:20.0,O. Mayo misses free throw 2 of 2,,32-35,,
7:19.0,,,32-35,,Defensive rebound by T. Chandler
7:12.0,Personal foul by J. O'Bryant (drawn by B. Knight),,32-35,,
7:05.0,,,32-37,2,T. Warren makes 2-pt shot from 12 ft (assist by B. Knight)
6:50.0,J. O'Bryant misses 2-pt shot from 17 ft,,32-37,,
6:49.0,,,32-37,,Defensive rebound by R. Price
6:45.0,,,32-39,2,R. Price makes 2-pt shot from 1 ft
6:45.0,Milwaukee full timeout,,32-39,,
6:45.0,G. Monroe enters the game for J. Henson,,32-39,,
6:45.0,M. Carter-Williams enters the game for J. O'Bryant,,32-39,,
6:45.0,K. Middleton enters the game for T. Ennis,,32-39,,
6:21.0,M. Carter-Williams misses 2-pt shot from 5 ft,,32-39,,
6:19.0,,,32-39,,Defensive rebound by B. Knight
6:06.0,Personal foul by M. Carter-Williams (drawn by R. Price),,32-39,,
5:55.0,,,32-39,,Turnover by M. Teletovic (bad pass; steal by O. Mayo)
5:52.0,,,32-39,,Shooting block foul by R. Price (drawn by J. Parker)
5:52.0,J. Parker makes free throw 1 of 2,1,33-39,,
5:52.0,,,33-39,,E. Bledsoe enters the game for R. Price
5:52.0,J. Parker misses free throw 2 of 2,,33-39,,
5:52.0,,,33-39,,Defensive rebound by M. Teletovic
5:31.0,,,33-39,,E. Bledsoe misses 2-pt shot from 12 ft
5:30.0,Defensive rebound by J. Parker,,33-39,,
5:25.0,Offensive foul by O. Mayo,,33-39,,
5:25.0,Turnover by O. Mayo (offensive foul),,33-39,,
5:06.0,,,33-41,2,T. Warren makes 2-pt shot from 13 ft
4:54.0,K. Middleton misses 3-pt shot from 23 ft,,33-41,,
4:54.0,,,33-41,,Defensive rebound by B. Knight
4:43.0,,,33-41,,T. Warren misses 2-pt shot from 7 ft
4:43.0,Defensive rebound by G. Monroe,,33-41,,
4:34.0,M. Carter-Williams makes 2-pt shot from 15 ft (assist by K. Middleton),2,35-41,,
4:20.0,,,35-44,3,M. Teletovic makes 3-pt shot from 24 ft (assist by B. Knight)
3:55.0,O. Mayo makes 2-pt shot from 18 ft (assist by K. Middleton),2,37-44,,
3:40.0,,,37-44,,M. Teletovic misses 3-pt shot from 24 ft
3:39.0,Defensive rebound by O. Mayo,,37-44,,
3:37.0,Shooting foul by M. Teletovic (drawn by J. Parker),,37-44,,
3:37.0,J. Parker makes free throw 1 of 2,1,38-44,,
3:37.0,,,38-44,,A. Len enters the game for T. Chandler
3:37.0,,,38-44,,P. Tucker enters the game for T. Warren
3:37.0,J. Parker makes free throw 2 of 2,1,39-44,,
3:19.0,,,39-47,3,P. Tucker makes 3-pt shot from 22 ft (assist by A. Len)
3:05.0,M. Carter-Williams makes 2-pt shot from 10 ft,2,41-47,,
2:56.0,,,41-49,2,E. Bledsoe makes 2-pt shot at rim
2:51.0,Milwaukee full timeout,,41-49,,
2:51.0,,,41-49,,Phoenix full timeout
2:41.0,O. Mayo misses 3-pt shot from 24 ft,,41-49,,
2:40.0,,,41-49,,Defensive rebound by M. Teletovic
2:23.0,,,41-49,,M. Teletovic misses 3-pt shot from 25 ft
2:23.0,Defensive rebound by M. Carter-Williams,,41-49,,
2:10.0,J. Parker misses 2-pt shot from 2 ft,,41-49,,
2:09.0,,,41-49,,Defensive rebound by M. Teletovic
2:02.0,,,41-49,,M. Teletovic misses 3-pt shot from 22 ft
2:02.0,Defensive rebound by O. Mayo,,41-49,,
1:54.0,G. Monroe misses 2-pt shot from 7 ft,,41-49,,
1:54.0,Offensive rebound by Team,,41-49,,
1:45.0,O. Mayo misses 2-pt shot from 9 ft,,41-49,,
1:43.0,,,41-49,,Defensive rebound by P. Tucker
1:29.0,,,41-49,,M. Teletovic misses 2-pt shot from 9 ft
1:29.0,Defensive rebound by M. Carter-Williams,,41-49,,
1:23.0,M. Carter-Williams makes 2-pt shot at rim (assist by K. Middleton),2,43-49,,
1:06.0,,,43-49,,Turnover by E. Bledsoe (bad pass; steal by K. Middleton)
1:01.0,K. Middleton makes 2-pt shot from 1 ft,2,45-49,,
1:00.0,,,45-49,,Phoenix full timeout
1:00.0,,,45-49,,T. Warren enters the game for M. Teletovic
0:42.0,,,45-49,,B. Knight misses 2-pt shot from 11 ft
0:42.0,,,45-49,,Offensive rebound by A. Len
0:42.0,,,45-51,2,A. Len makes 2-pt shot from 1 ft
0:22.0,G. Monroe misses 2-pt shot from 10 ft,,45-51,,
0:21.0,,,45-51,,Defensive rebound by P. Tucker
0:06.0,Violation by G. Monroe (kicked ball),,45-51,,
0:01.0,,,45-51,,Shooting foul by J. Parker (drawn by P. Tucker)
0:01.0,,,45-51,,P. Tucker misses free throw 1 of 3
0:01.0,,,45-51,,Offensive rebound by Team
0:01.0,,,45-52,1,P. Tucker makes free throw 2 of 3
0:01.0,,,45-52,,D. Booker enters the game for E. Bledsoe
0:01.0,,,45-53,1,P. Tucker makes free throw 3 of 3
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,45-53,,Turnover by B. Knight (bad pass; steal by J. Parker)
11:34.0,J. Parker misses 2-pt shot from 1 ft,,45-53,,
11:32.0,,,45-53,,Defensive rebound by E. Bledsoe
11:20.0,,,45-53,,Turnover by B. Knight (bad pass; steal by O. Mayo)
11:09.0,G. Monroe misses 2-pt shot from 6 ft,,45-53,,
11:09.0,,,45-53,,Defensive rebound by T. Chandler
10:59.0,,,45-55,2,T. Chandler makes 2-pt shot at rim (assist by P. Tucker)
10:44.0,,,45-55,,Personal foul by T. Chandler (drawn by G. Monroe)
10:35.0,M. Carter-Williams makes 2-pt shot from 5 ft (assist by O. Mayo),2,47-55,,
10:23.0,,,47-57,2,J. Leuer makes 2-pt shot from 10 ft
9:58.0,J. Parker misses 2-pt shot at rim,,47-57,,
9:57.0,,,47-57,,Defensive rebound by J. Leuer
9:52.0,Personal foul by G. Monroe (drawn by J. Leuer),,47-57,,
9:52.0,J. O'Bryant enters the game for J. Parker,,47-57,,
9:34.0,,,47-57,,T. Chandler misses 2-pt shot from 17 ft
9:33.0,Defensive rebound by K. Middleton,,47-57,,
9:24.0,K. Middleton makes 2-pt shot from 19 ft,2,49-57,,
9:11.0,,,49-57,,B. Knight misses 2-pt shot from 18 ft
9:10.0,Defensive rebound by M. Carter-Williams,,49-57,,
9:06.0,Offensive charge foul by K. Middleton,,49-57,,
9:06.0,Turnover by K. Middleton (offensive foul),,49-57,,
8:43.0,,,49-59,2,E. Bledsoe makes 2-pt shot from 2 ft
8:28.0,Offensive foul by J. O'Bryant,,49-59,,
8:28.0,Turnover by J. O'Bryant (offensive foul),,49-59,,
8:04.0,,,49-59,,Turnover by Team (shot clock)
7:51.0,J. O'Bryant makes 2-pt shot from 17 ft (assist by G. Monroe),2,51-59,,
7:38.0,,,51-61,2,J. Leuer makes 2-pt shot from 2 ft
7:24.0,Turnover by G. Monroe (lost ball; steal by B. Knight),,51-61,,
7:23.0,Personal take foul by G. Monroe (drawn by B. Knight),,51-61,,
7:04.0,,,51-61,,Turnover by T. Chandler (3 sec)
6:46.0,G. Monroe makes 2-pt shot from 7 ft (assist by K. Middleton),2,53-61,,
6:38.0,Shooting block foul by G. Monroe (drawn by E. Bledsoe),,53-61,,
6:38.0,,,53-62,1,E. Bledsoe makes free throw 1 of 2
6:38.0,J. Henson enters the game for G. Monroe,,53-62,,
6:38.0,,,53-62,,A. Len enters the game for T. Chandler
6:38.0,,,53-62,,M. Morris enters the game for J. Leuer
6:38.0,,,53-63,1,E. Bledsoe makes free throw 2 of 2
6:26.0,,,53-63,,Personal foul by B. Knight (drawn by O. Mayo)
6:22.0,K. Middleton misses 3-pt shot from 26 ft,,53-63,,
6:21.0,,,53-63,,Defensive rebound by A. Len
6:11.0,,,53-66,3,B. Knight makes 3-pt shot from 23 ft (assist by M. Morris)
5:59.0,M. Carter-Williams misses 2-pt shot from 17 ft,,53-66,,
5:59.0,,,53-66,,Defensive rebound by Team
5:59.0,Personal foul by J. O'Bryant (drawn by M. Morris),,53-66,,
5:59.0,,,53-66,,Phoenix full timeout
5:43.0,Personal block foul by K. Middleton (drawn by B. Knight),,53-66,,
5:43.0,,,53-67,1,B. Knight makes free throw 1 of 2
5:43.0,,,53-68,1,B. Knight makes free throw 2 of 2
5:26.0,J. Henson makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,55-68,,
5:15.0,Def 3 sec tech foul by K. Middleton,,55-68,,
5:15.0,,,55-69,1,M. Morris makes technical free throw
5:09.0,,,55-69,,A. Len misses 2-pt shot from 16 ft
5:09.0,Defensive rebound by K. Middleton,,55-69,,
5:03.0,J. O'Bryant makes 2-pt shot at rim (assist by K. Middleton),2,57-69,,
4:43.0,,,57-69,,Turnover by P. Tucker (traveling)
4:29.0,O. Mayo misses 3-pt shot from 24 ft,,57-69,,
4:28.0,,,57-69,,Defensive rebound by M. Morris
4:27.0,,,57-69,,Turnover by M. Morris (bad pass; steal by J. O'Bryant)
4:08.0,K. Middleton misses 2-pt shot from 17 ft,,57-69,,
4:07.0,,,57-69,,Defensive rebound by M. Morris
3:56.0,,,57-69,,M. Morris misses 2-pt shot from 20 ft
3:55.0,Defensive rebound by M. Carter-Williams,,57-69,,
3:49.0,,,57-69,,Personal foul by B. Knight (drawn by O. Mayo)
3:49.0,,,57-69,,T. Warren enters the game for P. Tucker
3:49.0,,,57-69,,D. Booker enters the game for B. Knight
3:44.0,Turnover by O. Mayo (lost ball; steal by D. Booker),,57-69,,
3:21.0,,,57-69,,T. Warren misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by M. Carter-Williams,,57-69,,
3:13.0,O. Mayo makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,60-69,,
3:00.0,,,60-69,,T. Warren misses 2-pt shot from 10 ft
2:58.0,Defensive rebound by J. Henson,,60-69,,
2:51.0,O. Mayo misses 3-pt shot from 26 ft,,60-69,,
2:50.0,,,60-69,,Defensive rebound by A. Len
2:34.0,,,60-69,,A. Len misses 2-pt shot from 15 ft
2:34.0,Defensive rebound by J. O'Bryant,,60-69,,
2:22.0,M. Carter-Williams makes 2-pt shot from 16 ft,2,62-69,,
2:22.0,,,62-69,,Phoenix full timeout
2:22.0,Milwaukee full timeout,,62-69,,
2:22.0,R. Vaughn enters the game for J. Henson,,62-69,,
2:22.0,J. Henson enters the game for O. Mayo,,62-69,,
2:04.0,,,62-69,,A. Len misses 2-pt shot from 3 ft (block by J. Henson)
2:02.0,Defensive rebound by J. Henson,,62-69,,
1:54.0,K. Middleton misses 3-pt shot from 25 ft,,62-69,,
1:51.0,Offensive rebound by J. O'Bryant,,62-69,,
1:51.0,J. O'Bryant makes 2-pt shot at rim,2,64-69,,
1:34.0,,,64-69,,D. Booker misses 3-pt shot from 24 ft
1:33.0,Defensive rebound by J. O'Bryant,,64-69,,
1:21.0,K. Middleton makes 2-pt shot from 12 ft (assist by M. Carter-Williams),2,66-69,,
1:00.0,,,66-69,,D. Booker misses 2-pt shot from 11 ft
0:58.0,Defensive rebound by J. Henson,,66-69,,
0:52.0,K. Middleton misses 2-pt shot from 1 ft,,66-69,,
0:50.0,Offensive rebound by J. Henson,,66-69,,
0:47.0,Shooting foul by A. Len (drawn by J. Henson),,66-69,,
0:47.0,J. Henson makes free throw 1 of 2,1,67-69,,
0:47.0,J. Henson makes free throw 2 of 2,1,68-69,,
0:26.0,,,68-69,,Shooting foul by J. O'Bryant (drawn by E. Bledsoe)
0:26.0,,,68-70,1,E. Bledsoe makes free throw 1 of 2
0:26.0,,,68-71,1,E. Bledsoe makes free throw 2 of 2
0:06.0,R. Vaughn misses 2-pt shot from 1 ft (block by A. Len),,68-71,,
0:05.0,Offensive rebound by Team,,68-71,,
0:03.0,K. Middleton makes 2-pt shot from 19 ft (assist by M. Carter-Williams),2,70-71,,
0:03.0,,,70-71,,Turnover by M. Morris (bad pass)
0:01.0,R. Vaughn misses 2-pt shot from 17 ft,,70-71,,
0:00.0,Offensive rebound by Team,,70-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Shooting foul by J. Leuer (drawn by M. Carter-Williams),,70-71,,
11:45.0,M. Carter-Williams misses free throw 1 of 2,,70-71,,
11:45.0,Offensive rebound by Team,,70-71,,
11:45.0,M. Carter-Williams makes free throw 2 of 2,1,71-71,,
11:31.0,,,71-73,2,J. Leuer makes 2-pt shot from 11 ft
11:13.0,M. Carter-Williams makes 2-pt shot at rim,2,73-73,,
10:58.0,,,73-73,,Shooting foul by J. Henson (drawn by J. Leuer)
10:58.0,,,73-73,,J. Leuer misses free throw 1 of 2
10:58.0,,,73-73,,Offensive rebound by Team
10:58.0,,,73-73,,J. Leuer misses free throw 2 of 2
10:57.0,Defensive rebound by O. Mayo,,73-73,,
10:42.0,J. O'Bryant misses 2-pt shot from 17 ft,,73-73,,
10:41.0,,,73-73,,Defensive rebound by D. Booker
10:34.0,,,73-73,,Shooting foul by R. Vaughn (drawn by D. Booker)
10:34.0,,,73-74,1,D. Booker makes free throw 1 of 2
10:34.0,,,73-74,,T. Chandler enters the game for A. Len
10:34.0,,,73-75,1,D. Booker makes free throw 2 of 2
10:26.0,,,73-75,,Personal foul by T. Warren (drawn by O. Mayo)
10:18.0,Shooting foul by T. Warren (drawn by J. Henson),,73-75,,
10:18.0,J. Henson misses free throw 1 of 2,,73-75,,
10:18.0,Offensive rebound by Team,,73-75,,
10:18.0,J. Henson misses free throw 2 of 2,,73-75,,
10:17.0,,,73-75,,Defensive rebound by J. Leuer
9:58.0,,,73-77,2,D. Booker makes 2-pt shot from 1 ft
9:45.0,Turnover by J. O'Bryant (bad pass; steal by D. Booker),,73-77,,
9:42.0,,,73-77,,Shooting foul by M. Carter-Williams (drawn by T. Warren)
9:42.0,,,73-78,1,T. Warren makes free throw 1 of 2
9:42.0,J. Parker enters the game for J. O'Bryant,,73-78,,
9:42.0,,,73-79,1,T. Warren makes free throw 2 of 2
9:28.0,M. Carter-Williams misses 3-pt shot from 24 ft,,73-79,,
9:27.0,Offensive rebound by J. Parker,,73-79,,
9:13.0,R. Vaughn misses 2-pt shot from 2 ft,,73-79,,
9:11.0,Offensive rebound by J. Henson,,73-79,,
9:11.0,J. Henson makes 2-pt shot at rim,2,75-79,,
8:56.0,Personal foul by J. Parker (drawn by J. Leuer),,75-79,,
8:56.0,Official timeout,,75-79,,
8:56.0,K. Middleton enters the game for M. Carter-Williams,,75-79,,
8:50.0,,,75-79,,Turnover by D. Booker (lost ball; steal by J. Henson)
8:28.0,J. Parker makes 2-pt shot at rim (assist by K. Middleton),2,77-79,,
8:02.0,,,77-79,,D. Booker misses 3-pt shot from 23 ft
8:02.0,,,77-79,,Offensive rebound by J. Leuer
7:58.0,,,77-79,,R. Price misses 2-pt shot from 13 ft (block by J. Henson)
7:57.0,,,77-79,,Offensive rebound by J. Leuer
7:50.0,Personal take foul by K. Middleton (drawn by D. Booker),,77-79,,
7:50.0,,,77-80,1,D. Booker makes free throw 1 of 2
7:50.0,,,77-81,1,D. Booker makes free throw 2 of 2
7:37.0,K. Middleton misses 2-pt shot from 2 ft (block by T. Chandler),,77-81,,
7:37.0,Offensive rebound by Team,,77-81,,
7:32.0,Turnover by R. Vaughn (lost ball; steal by D. Booker),,77-81,,
7:28.0,Flagrant foul type 1 by O. Mayo (drawn by T. Warren),,77-81,,
7:28.0,,,77-82,1,T. Warren makes flagrant free throw 1 of 2
7:28.0,,,77-83,1,T. Warren makes flagrant free throw 2 of 2
7:19.0,,,77-86,3,J. Leuer makes 3-pt shot from 24 ft (assist by D. Booker)
7:01.0,O. Mayo makes 2-pt shot at rim (assist by J. Henson),2,79-86,,
6:43.0,,,79-86,,T. Warren misses 2-pt shot from 14 ft
6:41.0,Defensive rebound by O. Mayo,,79-86,,
6:30.0,R. Vaughn makes 3-pt shot from 26 ft (assist by O. Mayo),3,82-86,,
6:11.0,,,82-86,,D. Booker misses 3-pt shot from 26 ft
6:11.0,Defensive rebound by J. Parker,,82-86,,
5:54.0,,,82-86,,Personal foul by R. Price (drawn by K. Middleton)
5:54.0,,,82-86,,Phoenix full timeout
5:54.0,,,82-86,,E. Bledsoe enters the game for D. Booker
5:49.0,K. Middleton makes 3-pt shot from 25 ft (assist by J. Henson),3,85-86,,
5:29.0,,,85-86,,T. Warren misses 2-pt shot from 13 ft
5:29.0,Defensive rebound by J. Parker,,85-86,,
5:07.0,R. Vaughn makes 3-pt shot from 23 ft (assist by J. Parker),3,88-86,,
4:50.0,,,88-88,2,E. Bledsoe makes 2-pt shot from 6 ft
4:30.0,O. Mayo misses 3-pt shot from 25 ft,,88-88,,
4:29.0,,,88-88,,Defensive rebound by Team
4:29.0,,,88-88,,P. Tucker enters the game for T. Warren
4:20.0,,,88-88,,Turnover by T. Chandler (bad pass)
4:20.0,,,88-88,,B. Knight enters the game for R. Price
4:20.0,G. Monroe enters the game for J. Henson,,88-88,,
4:03.0,K. Middleton makes 2-pt shot at rim,2,90-88,,
3:40.0,,,90-88,,B. Knight misses 2-pt shot from 13 ft
3:36.0,Defensive rebound by G. Monroe,,90-88,,
3:22.0,Turnover by K. Middleton (bad pass),,90-88,,
3:13.0,,,90-88,,Offensive foul by T. Chandler
3:13.0,,,90-88,,Turnover by T. Chandler (offensive foul)
3:00.0,K. Middleton makes 2-pt shot from 22 ft (assist by G. Monroe),2,92-88,,
2:48.0,,,92-91,3,P. Tucker makes 3-pt shot from 24 ft (assist by B. Knight)
2:24.0,K. Middleton misses 3-pt shot from 26 ft,,92-91,,
