time,New Orleans,pts.away,score,pts.home,Chicago
4:29.0,,,13-10,,Shooting foul by E. Gordon (drawn by J. Butler)
4:29.0,,,13-11,1,J. Butler makes free throw 1 of 2
4:29.0,N. Cole enters the game for T. Evans,,13-11,,
4:29.0,,,13-11,,J. Butler misses free throw 2 of 2
4:26.0,,,13-11,,Offensive rebound by J. Noah
4:26.0,,,13-11,,J. Noah misses 2-pt shot from 1 ft
4:24.0,,,13-11,,Offensive rebound by P. Gasol
4:24.0,,,13-11,,P. Gasol misses 2-pt shot from 1 ft
4:22.0,Defensive rebound by A. Gee,,13-11,,
4:15.0,E. Gordon misses 2-pt shot from 9 ft,,13-11,,
4:11.0,Offensive rebound by O. Asik,,13-11,,
4:11.0,O. Asik makes 2-pt shot at rim,2,15-11,,
3:51.0,,,15-11,,Turnover by P. Gasol (lost ball; steal by A. Gee)
3:37.0,E. Gordon misses 2-pt shot from 18 ft,,15-11,,
3:36.0,,,15-11,,Defensive rebound by J. Butler
3:23.0,,,15-13,2,D. McDermott makes 2-pt shot from 5 ft
3:14.0,Shooting foul by J. Noah (drawn by E. Gordon),,15-13,,
3:14.0,E. Gordon makes free throw 1 of 2,1,16-13,,
3:14.0,,,16-13,,N. Mirotic enters the game for P. Gasol
3:14.0,E. Gordon makes free throw 2 of 2,1,17-13,,
3:03.0,,,17-13,,Turnover by K. Hinrich (bad pass; steal by A. Gee)
2:59.0,N. Cole makes 2-pt shot from 1 ft (assist by A. Gee),2,19-13,,
2:35.0,,,19-13,,Turnover by D. McDermott (bad pass; steal by A. Davis)
2:31.0,Offensive charge foul by A. Gee,,19-13,,
2:31.0,Turnover by A. Gee (offensive foul),,19-13,,
2:31.0,New Orleans full timeout,,19-13,,
2:13.0,,,19-13,,J. Butler misses 2-pt shot from 13 ft
2:12.0,Defensive rebound by N. Cole,,19-13,,
2:02.0,O. Asik makes 2-pt shot at rim (assist by N. Cole),2,21-13,,
1:45.0,,,21-13,,J. Butler misses 2-pt shot from 2 ft
1:43.0,Defensive rebound by O. Asik,,21-13,,
1:31.0,N. Cole misses 2-pt shot from 17 ft,,21-13,,
1:30.0,,,21-13,,Defensive rebound by J. Noah
1:22.0,,,21-13,,Shooting foul by O. Asik (drawn by J. Noah)
1:22.0,,,21-14,1,J. Noah makes free throw 1 of 2
1:22.0,,,21-14,,A. Brooks enters the game for K. Hinrich
1:22.0,,,21-15,1,J. Noah makes free throw 2 of 2
1:03.0,A. Gee makes 3-pt shot from 22 ft (assist by N. Cole),3,24-15,,
0:51.0,,,24-15,,A. Brooks misses 2-pt shot from 16 ft
0:49.0,Defensive rebound by N. Cole,,24-15,,
0:46.0,A. Davis makes 2-pt shot at rim (assist by N. Cole),2,26-15,,
0:29.0,,,26-18,3,N. Mirotic makes 3-pt shot from 25 ft (assist by A. Brooks)
0:18.0,O. Asik makes 2-pt shot from 1 ft (assist by N. Cole),2,28-18,,
0:03.0,,,28-18,,Shooting foul by O. Asik (drawn by A. Brooks)
0:03.0,,,28-19,1,A. Brooks makes free throw 1 of 2
0:03.0,,,28-20,1,A. Brooks makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,N. Cole makes 2-pt shot from 1 ft (assist by O. Asik),2,30-20,,
11:21.0,,,30-20,,D. Rose misses 2-pt shot from 10 ft
11:20.0,Defensive rebound by D. Cunningham,,30-20,,
11:09.0,A. Davis makes 2-pt shot from 19 ft (assist by N. Cole),2,32-20,,
11:00.0,,,32-20,,A. Brooks misses 3-pt shot from 23 ft
10:59.0,,,32-20,,Offensive rebound by J. Noah
10:43.0,,,32-20,,D. McDermott misses 3-pt shot from 27 ft
10:42.0,Defensive rebound by O. Asik,,32-20,,
10:34.0,N. Cole makes 2-pt shot from 17 ft,2,34-20,,
10:33.0,,,34-20,,Chicago full timeout
10:19.0,Personal foul by D. Cunningham (drawn by J. Noah),,34-20,,
10:14.0,,,34-20,,D. Rose misses 2-pt shot from 7 ft
10:13.0,Defensive rebound by I. Smith,,34-20,,
10:00.0,N. Cole misses 2-pt shot from 13 ft,,34-20,,
9:59.0,,,34-20,,Defensive rebound by N. Mirotic
9:44.0,,,34-23,3,N. Mirotic makes 3-pt shot from 25 ft (assist by A. Brooks)
9:31.0,Shooting foul by J. Noah (drawn by A. Davis),,34-23,,
9:31.0,A. Davis makes free throw 1 of 2,1,35-23,,
9:31.0,A. Davis misses free throw 2 of 2,,35-23,,
9:29.0,,,35-23,,Defensive rebound by J. Noah
9:16.0,,,35-23,,D. McDermott misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by N. Cole,,35-23,,
9:05.0,I. Smith makes 2-pt shot from 5 ft,2,37-23,,
8:50.0,T. Evans enters the game for A. Davis,,37-23,,
8:50.0,,,37-23,,J. Butler enters the game for A. Brooks
8:45.0,Def 3 sec tech foul by O. Asik,,37-23,,
8:45.0,,,37-24,1,J. Butler makes technical free throw
8:31.0,,,37-26,2,J. Noah makes 2-pt shot from 3 ft (assist by N. Mirotic)
8:19.0,T. Evans misses 2-pt shot from 1 ft (block by J. Noah),,37-26,,
8:19.0,Offensive rebound by Team,,37-26,,
8:19.0,,,37-26,,T. Snell enters the game for D. McDermott
8:19.0,A. Ajinca enters the game for O. Asik,,37-26,,
8:05.0,T. Evans misses 2-pt shot from 2 ft,,37-26,,
8:02.0,,,37-26,,Defensive rebound by N. Mirotic
7:57.0,Personal foul by T. Evans (drawn by J. Butler),,37-26,,
7:52.0,,,37-26,,Turnover by J. Butler (bad pass; steal by I. Smith)
7:51.0,,,37-26,,Personal foul by N. Mirotic (drawn by I. Smith)
7:51.0,A. Gee enters the game for N. Cole,,37-26,,
7:33.0,T. Evans misses 2-pt shot from 2 ft (block by J. Butler),,37-26,,
7:32.0,Offensive rebound by A. Ajinca,,37-26,,
7:27.0,I. Smith misses 2-pt shot from 21 ft,,37-26,,
7:26.0,,,37-26,,Defensive rebound by J. Noah
7:17.0,,,37-28,2,D. Rose makes 2-pt shot from 16 ft (assist by J. Noah)
7:03.0,Turnover by T. Evans (discontinued dribble),,37-28,,
7:03.0,,,37-28,,P. Gasol enters the game for J. Noah
6:51.0,,,37-28,,J. Butler misses 2-pt shot from 13 ft
6:50.0,Defensive rebound by T. Evans,,37-28,,
6:36.0,T. Evans makes 2-pt shot from 18 ft,2,39-28,,
6:24.0,,,39-28,,N. Mirotic misses 2-pt shot from 15 ft
6:21.0,Defensive rebound by I. Smith,,39-28,,
6:13.0,T. Evans misses 3-pt shot from 24 ft,,39-28,,
6:12.0,,,39-28,,Defensive rebound by J. Butler
6:03.0,Personal foul by D. Cunningham (drawn by N. Mirotic),,39-28,,
6:03.0,,,39-28,,T. Gibson enters the game for N. Mirotic
5:56.0,,,39-30,2,P. Gasol makes 2-pt shot from 15 ft (assist by D. Rose)
5:49.0,New Orleans full timeout,,39-30,,
5:49.0,E. Gordon enters the game for D. Cunningham,,39-30,,
5:34.0,A. Ajinca misses 2-pt shot from 12 ft,,39-30,,
5:33.0,,,39-30,,Defensive rebound by P. Gasol
5:10.0,,,39-30,,T. Snell misses 3-pt shot from 26 ft
5:09.0,Defensive rebound by I. Smith,,39-30,,
5:01.0,A. Ajinca makes 2-pt shot from 18 ft (assist by I. Smith),2,41-30,,
4:43.0,,,41-30,,J. Butler misses 2-pt shot from 2 ft
4:43.0,Defensive rebound by Team,,41-30,,
4:43.0,A. Davis enters the game for I. Smith,,41-30,,
4:27.0,A. Davis misses 2-pt shot from 20 ft,,41-30,,
4:25.0,,,41-30,,Defensive rebound by D. Rose
4:12.0,,,41-30,,T. Gibson misses 2-pt shot from 12 ft (block by A. Ajinca)
4:10.0,Defensive rebound by A. Davis,,41-30,,
4:00.0,A. Davis misses 2-pt shot from 6 ft,,41-30,,
3:59.0,,,41-30,,Defensive rebound by P. Gasol
3:51.0,,,41-32,2,D. Rose makes 2-pt shot from 1 ft
3:40.0,E. Gordon misses 2-pt shot from 20 ft,,41-32,,
3:39.0,,,41-32,,Defensive rebound by T. Gibson
3:32.0,,,41-32,,J. Butler misses 2-pt shot from 2 ft
3:31.0,,,41-32,,Offensive rebound by T. Gibson
3:30.0,,,41-34,2,T. Gibson makes 2-pt shot at rim
3:15.0,Turnover by A. Davis (bad pass; steal by T. Gibson),,41-34,,
3:11.0,Violation by A. Davis (kicked ball),,41-34,,
3:04.0,,,41-34,,D. Rose misses 2-pt shot from 5 ft
3:03.0,Defensive rebound by A. Davis,,41-34,,
2:53.0,T. Evans misses 2-pt shot from 4 ft,,41-34,,
2:53.0,,,41-34,,Defensive rebound by Team
2:53.0,,,41-34,,Chicago full timeout
2:53.0,,,41-34,,D. McDermott enters the game for T. Snell
2:37.0,,,41-36,2,J. Butler makes 2-pt shot from 3 ft
2:21.0,A. Davis makes 2-pt shot from 10 ft (assist by T. Evans),2,43-36,,
1:53.0,,,43-36,,P. Gasol misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by T. Evans,,43-36,,
1:35.0,Offensive foul by A. Ajinca,,43-36,,
1:35.0,Turnover by A. Ajinca (offensive foul),,43-36,,
1:25.0,,,43-36,,D. Rose misses 2-pt shot from 3 ft
1:24.0,Defensive rebound by A. Ajinca,,43-36,,
1:13.0,Turnover by A. Davis (lost ball; steal by D. Rose),,43-36,,
1:12.0,Personal foul by T. Evans (drawn by D. Rose),,43-36,,
1:06.0,,,43-36,,Shooting foul by A. Gee (drawn by T. Gibson)
1:06.0,,,43-37,1,T. Gibson makes free throw 1 of 2
1:06.0,N. Cole enters the game for T. Evans,,43-37,,
1:06.0,O. Asik enters the game for A. Ajinca,,43-37,,
1:06.0,,,43-38,1,T. Gibson makes free throw 2 of 2
0:57.0,N. Cole makes 2-pt shot from 21 ft,2,45-38,,
0:47.0,Personal foul by O. Asik (drawn by P. Gasol),,45-38,,
0:47.0,,,45-39,1,P. Gasol makes free throw 1 of 2
0:47.0,K. Perkins enters the game for O. Asik,,45-39,,
0:47.0,,,45-39,,P. Gasol misses free throw 2 of 2
0:46.0,Defensive rebound by A. Davis,,45-39,,
0:37.0,N. Cole misses 2-pt shot from 2 ft,,45-39,,
0:35.0,,,45-39,,Defensive rebound by D. Rose
0:31.0,,,45-42,3,D. McDermott makes 3-pt shot from 24 ft (assist by D. Rose)
0:17.0,Turnover by K. Perkins (traveling),,45-42,,
0:17.0,,,45-42,,Chicago full timeout
0:17.0,D. Cunningham enters the game for A. Gee,,45-42,,
0:17.0,,,45-42,,N. Mirotic enters the game for T. Gibson
0:00.0,,,45-42,,J. Butler misses 2-pt shot from 2 ft (block by A. Davis)
0:00.0,,,45-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,A. Gee misses 2-pt shot from 2 ft,,45-42,,
11:39.0,Offensive rebound by A. Gee,,45-42,,
11:35.0,T. Evans makes 2-pt shot from 20 ft (assist by A. Gee),2,47-42,,
11:20.0,,,47-44,2,J. Butler makes 2-pt shot from 2 ft (assist by T. Snell)
11:05.0,A. Ajinca makes 2-pt shot from 18 ft (assist by E. Gordon),2,49-44,,
10:43.0,,,49-44,,Shooting foul by T. Evans (drawn by D. Rose)
10:43.0,,,49-45,1,D. Rose makes free throw 1 of 2
10:43.0,,,49-45,,D. Rose misses free throw 2 of 2
10:41.0,Defensive rebound by A. Ajinca,,49-45,,
10:29.0,A. Ajinca makes 2-pt shot from 2 ft (assist by T. Evans),2,51-45,,
10:09.0,,,51-45,,Shooting foul by A. Gee (drawn by J. Butler)
10:09.0,,,51-46,1,J. Butler makes free throw 1 of 2
10:09.0,,,51-47,1,J. Butler makes free throw 2 of 2
9:44.0,E. Gordon misses 2-pt shot from 4 ft,,51-47,,
9:43.0,,,51-47,,Defensive rebound by Team
9:34.0,,,51-47,,D. Rose misses 2-pt shot from 3 ft
9:33.0,Defensive rebound by A. Davis,,51-47,,
9:22.0,A. Gee makes 2-pt shot at rim (assist by A. Ajinca),2,53-47,,
9:04.0,,,53-47,,P. Gasol misses 2-pt shot from 1 ft (block by A. Davis)
9:00.0,Defensive rebound by A. Gee,,53-47,,
8:53.0,T. Evans misses 2-pt shot from 21 ft,,53-47,,
8:51.0,,,53-47,,Defensive rebound by T. Gibson
8:45.0,,,53-47,,J. Butler misses 2-pt shot from 20 ft
8:44.0,Defensive rebound by A. Davis,,53-47,,
8:34.0,A. Davis misses 2-pt shot from 17 ft,,53-47,,
8:33.0,,,53-47,,Defensive rebound by P. Gasol
8:25.0,,,53-47,,P. Gasol misses 2-pt shot from 20 ft
8:23.0,Defensive rebound by A. Davis,,53-47,,
8:07.0,A. Davis misses 2-pt shot from 4 ft (block by T. Snell),,53-47,,
8:07.0,Offensive rebound by Team,,53-47,,
8:03.0,A. Ajinca misses 2-pt shot from 9 ft,,53-47,,
8:02.0,,,53-47,,Defensive rebound by T. Snell
7:54.0,,,53-47,,Turnover by T. Snell (bad pass)
7:46.0,T. Evans misses 2-pt shot from 2 ft,,53-47,,
7:43.0,Offensive rebound by T. Evans,,53-47,,
7:34.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,55-47,,
7:33.0,,,55-47,,Chicago full timeout
7:33.0,,,55-47,,D. McDermott enters the game for T. Snell
7:19.0,,,55-47,,P. Gasol misses 2-pt shot from 1 ft (block by A. Ajinca)
7:17.0,Defensive rebound by A. Gee,,55-47,,
7:12.0,Shooting foul by P. Gasol (drawn by A. Davis),,55-47,,
7:12.0,A. Davis makes free throw 1 of 2,1,56-47,,
7:12.0,A. Davis makes free throw 2 of 2,1,57-47,,
6:58.0,,,57-47,,Shooting foul by A. Davis (drawn by J. Butler)
6:58.0,,,57-48,1,J. Butler makes free throw 1 of 2
6:58.0,,,57-49,1,J. Butler makes free throw 2 of 2
6:44.0,A. Davis misses 3-pt shot from 24 ft,,57-49,,
6:43.0,Offensive rebound by A. Ajinca,,57-49,,
6:43.0,,,57-49,,Personal foul by T. Gibson (drawn by A. Ajinca)
6:43.0,,,57-49,,J. Noah enters the game for T. Gibson
6:27.0,T. Evans makes 2-pt shot from 3 ft,2,59-49,,
6:02.0,,,59-51,2,P. Gasol makes 2-pt shot from 5 ft
5:54.0,Turnover by A. Davis (bad pass; steal by J. Butler),,59-51,,
5:52.0,,,59-51,,Shooting foul by E. Gordon (drawn by J. Butler)
5:52.0,,,59-51,,J. Butler misses free throw 1 of 2
5:52.0,,,59-51,,Offensive rebound by Team
5:52.0,O. Asik enters the game for A. Ajinca,,59-51,,
5:52.0,,,59-51,,K. Hinrich enters the game for D. Rose
5:52.0,,,59-52,1,J. Butler makes free throw 2 of 2
5:39.0,E. Gordon makes 2-pt shot from 17 ft (assist by O. Asik),2,61-52,,
5:26.0,,,61-54,2,P. Gasol makes 2-pt shot from 16 ft (assist by K. Hinrich)
5:11.0,A. Davis misses 2-pt shot from 13 ft,,61-54,,
5:09.0,,,61-54,,Defensive rebound by D. McDermott
5:02.0,,,61-54,,Turnover by K. Hinrich (bad pass; steal by O. Asik)
4:56.0,T. Evans makes 2-pt shot from 2 ft,2,63-54,,
4:41.0,Personal foul by O. Asik (drawn by P. Gasol),,63-54,,
4:41.0,,,63-55,1,P. Gasol makes free throw 1 of 2
4:41.0,,,63-56,1,P. Gasol makes free throw 2 of 2
4:25.0,E. Gordon misses 2-pt shot from 8 ft (block by J. Noah),,63-56,,
4:23.0,,,63-56,,Defensive rebound by D. McDermott
4:13.0,,,63-56,,J. Butler misses 2-pt shot from 14 ft
4:12.0,Defensive rebound by O. Asik,,63-56,,
4:03.0,T. Evans misses 3-pt shot from 24 ft,,63-56,,
4:02.0,,,63-56,,Defensive rebound by P. Gasol
3:48.0,,,63-56,,P. Gasol misses 2-pt shot from 18 ft
3:47.0,Defensive rebound by A. Davis,,63-56,,
3:37.0,A. Davis misses 2-pt shot from 17 ft,,63-56,,
3:36.0,,,63-56,,Defensive rebound by J. Noah
3:13.0,,,63-56,,J. Butler misses 2-pt shot from 6 ft
3:13.0,,,63-56,,Offensive rebound by Team
3:13.0,A. Ajinca enters the game for O. Asik,,63-56,,
3:13.0,N. Cole enters the game for T. Evans,,63-56,,
3:00.0,Personal foul by A. Ajinca (drawn by P. Gasol),,63-56,,
3:00.0,,,63-56,,P. Gasol misses free throw 1 of 2
3:00.0,,,63-56,,Offensive rebound by Team
3:00.0,,,63-56,,A. Brooks enters the game for J. Butler
3:00.0,,,63-57,1,P. Gasol makes free throw 2 of 2
2:45.0,A. Davis makes 2-pt shot from 6 ft (assist by A. Ajinca),2,65-57,,
2:28.0,,,65-57,,D. McDermott misses 3-pt shot from 24 ft
2:27.0,,,65-57,,Offensive rebound by P. Gasol
2:27.0,,,65-57,,Shooting foul by A. Ajinca (drawn by P. Gasol)
2:27.0,New Orleans full timeout,,65-57,,
2:27.0,I. Smith enters the game for A. Gee,,65-57,,
2:27.0,,,65-58,1,P. Gasol makes free throw 1 of 2
2:27.0,,,65-59,1,P. Gasol makes free throw 2 of 2
2:13.0,E. Gordon misses 3-pt shot from 25 ft,,65-59,,
2:12.0,,,65-59,,Defensive rebound by J. Noah
2:01.0,,,65-62,3,D. McDermott makes 3-pt shot from 23 ft (assist by A. Brooks)
1:42.0,A. Davis misses 2-pt shot from 19 ft,,65-62,,
1:41.0,,,65-62,,Defensive rebound by K. Hinrich
1:34.0,,,65-64,2,D. McDermott makes 2-pt shot from 10 ft (assist by K. Hinrich)
1:11.0,Turnover by N. Cole (bad pass; steal by K. Hinrich),,65-64,,
1:03.0,,,65-64,,Turnover by P. Gasol (bad pass)
0:52.0,N. Cole makes 2-pt shot from 4 ft,2,67-64,,
0:37.0,,,67-64,,A. Brooks misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by A. Davis,,67-64,,
0:31.0,E. Gordon makes 3-pt shot from 26 ft (assist by I. Smith),3,70-64,,
0:12.0,,,70-64,,A. Brooks misses 2-pt shot from 5 ft (block by A. Davis)
0:10.0,Defensive rebound by N. Cole,,70-64,,
0:04.0,E. Gordon misses 3-pt shot from 24 ft,,70-64,,
0:02.0,,,70-64,,Defensive rebound by K. Hinrich
0:00.0,,,70-64,,D. McDermott misses 2-pt shot from 1 ft
0:00.0,,,70-64,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,70-67,3,A. Brooks makes 3-pt shot from 24 ft (assist by D. McDermott)
11:13.0,A. Ajinca misses 2-pt shot from 3 ft (block by J. Noah),,70-67,,
11:13.0,Offensive rebound by Team,,70-67,,
11:13.0,Turnover by Team (shot clock),,70-67,,
10:59.0,Personal foul by D. Cunningham (drawn by J. Noah),,70-67,,
10:47.0,,,70-67,,N. Mirotic misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by N. Cole,,70-67,,
10:46.0,,,70-67,,Personal foul by A. Brooks (drawn by N. Cole)
10:27.0,N. Cole misses 2-pt shot from 22 ft,,70-67,,
10:25.0,,,70-67,,Defensive rebound by N. Mirotic
10:09.0,,,70-70,3,A. Brooks makes 3-pt shot from 25 ft (assist by D. McDermott)
9:53.0,T. Evans misses 2-pt shot from 21 ft,,70-70,,
9:52.0,,,70-70,,Defensive rebound by N. Mirotic
9:43.0,,,70-73,3,K. Hinrich makes 3-pt shot from 24 ft (assist by N. Mirotic)
9:43.0,New Orleans full timeout,,70-73,,
9:43.0,A. Davis enters the game for A. Ajinca,,70-73,,
9:25.0,,,70-73,,Def 3 sec tech foul by J. Noah
9:25.0,A. Davis makes technical free throw,1,71-73,,
9:17.0,A. Davis misses 2-pt shot from 17 ft,,71-73,,
9:16.0,,,71-73,,Defensive rebound by N. Mirotic
9:05.0,,,71-75,2,J. Noah makes 2-pt shot at rim
8:52.0,D. Cunningham makes 3-pt shot from 24 ft (assist by T. Evans),3,74-75,,
8:31.0,Violation by N. Cole (kicked ball),,74-75,,
8:31.0,,,74-75,,J. Butler enters the game for K. Hinrich
8:31.0,A. Gee enters the game for I. Smith,,74-75,,
8:20.0,,,74-75,,Shooting foul by A. Gee (drawn by J. Noah)
8:20.0,,,74-76,1,J. Noah makes free throw 1 of 2
8:20.0,,,74-77,1,J. Noah makes free throw 2 of 2
7:56.0,T. Evans makes 2-pt shot from 2 ft,2,76-77,,
7:44.0,,,76-77,,D. McDermott misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by A. Davis,,76-77,,
7:32.0,T. Evans makes 3-pt shot from 26 ft (assist by A. Davis),3,79-77,,
7:31.0,,,79-77,,Chicago full timeout
7:19.0,,,79-77,,Turnover by D. McDermott (bad pass; steal by A. Gee)
6:56.0,A. Davis misses 3-pt shot from 25 ft,,79-77,,
6:55.0,,,79-77,,Defensive rebound by N. Mirotic
6:44.0,,,79-77,,N. Mirotic misses 2-pt shot from 22 ft
6:43.0,Defensive rebound by N. Cole,,79-77,,
6:39.0,A. Gee makes 2-pt shot from 2 ft (assist by N. Cole),2,81-77,,
6:28.0,,,81-79,2,A. Brooks makes 2-pt shot from 1 ft
6:15.0,T. Evans makes 2-pt shot from 2 ft,2,83-79,,
6:02.0,,,83-81,2,J. Butler makes 2-pt shot from 2 ft (assist by J. Noah)
5:35.0,A. Davis misses 2-pt shot from 19 ft (block by J. Noah),,83-81,,
5:34.0,,,83-81,,Defensive rebound by N. Mirotic
5:16.0,,,83-81,,J. Butler misses 2-pt shot from 2 ft
5:14.0,,,83-81,,Offensive rebound by N. Mirotic
5:14.0,,,83-83,2,N. Mirotic makes 2-pt shot from 1 ft
4:57.0,T. Evans misses 2-pt shot from 1 ft,,83-83,,
4:56.0,,,83-83,,Defensive rebound by N. Mirotic
4:49.0,,,83-83,,A. Brooks misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by A. Gee,,83-83,,
4:36.0,A. Davis misses 2-pt shot from 15 ft,,83-83,,
4:35.0,,,83-83,,Defensive rebound by N. Mirotic
4:28.0,,,83-83,,Shooting foul by A. Gee (drawn by N. Mirotic)
4:28.0,,,83-84,1,N. Mirotic makes free throw 1 of 2
4:28.0,,,83-84,,D. Rose enters the game for D. McDermott
4:28.0,E. Gordon enters the game for N. Cole,,83-84,,
4:28.0,A. Ajinca enters the game for D. Cunningham,,83-84,,
4:28.0,,,83-85,1,N. Mirotic makes free throw 2 of 2
4:15.0,A. Davis makes 2-pt shot from 3 ft,2,85-85,,
4:15.0,Shooting foul by J. Noah (drawn by A. Davis),,85-85,,
4:15.0,A. Davis makes free throw 1 of 1,1,86-85,,
3:53.0,,,86-85,,J. Butler misses 2-pt shot from 2 ft
3:52.0,,,86-85,,Offensive rebound by J. Noah
3:52.0,,,86-87,2,J. Noah makes 2-pt shot from 2 ft
3:47.0,E. Gordon makes 3-pt shot from 24 ft (assist by T. Evans),3,89-87,,
3:33.0,,,89-89,2,A. Brooks makes 2-pt shot from 4 ft
3:22.0,Shooting foul by J. Butler (drawn by A. Davis),,89-89,,
3:22.0,A. Davis misses free throw 1 of 2,,89-89,,
3:22.0,Offensive rebound by Team,,89-89,,
3:22.0,,,89-89,,P. Gasol enters the game for N. Mirotic
3:22.0,D. Cunningham enters the game for A. Ajinca,,89-89,,
3:22.0,A. Davis misses free throw 2 of 2,,89-89,,
3:20.0,,,89-89,,Defensive rebound by A. Brooks
3:04.0,,,89-89,,Turnover by A. Brooks (bad pass; steal by E. Gordon)
3:01.0,E. Gordon makes 2-pt shot from 2 ft (assist by T. Evans),2,91-89,,
2:42.0,,,91-92,3,A. Brooks makes 3-pt shot from 24 ft (assist by P. Gasol)
2:20.0,Turnover by A. Davis (bad pass; steal by J. Butler),,91-92,,
2:05.0,,,91-94,2,P. Gasol makes 2-pt shot from 18 ft (assist by D. Rose)
2:05.0,New Orleans full timeout,,91-94,,
1:48.0,A. Davis makes 2-pt shot from 5 ft (assist by E. Gordon),2,93-94,,
1:48.0,Shooting foul by J. Noah (drawn by A. Davis),,93-94,,
1:48.0,A. Davis makes free throw 1 of 1,1,94-94,,
1:27.0,Personal foul by D. Cunningham (drawn by D. Rose),,94-94,,
1:13.0,,,94-94,,P. Gasol misses 2-pt shot from 13 ft
