time,Sacramento,pts.away,score,pts.home,Milwaukee
3:22.0,,,28-26,,Turnover by M. Carter-Williams (bad pass; steal by K. Koufos)
3:17.0,R. Gay makes 2-pt shot at rim (assist by O. Casspi),2,30-26,,
3:04.0,,,30-26,,M. Carter-Williams misses 2-pt shot at rim
3:02.0,,,30-26,,Offensive rebound by J. Henson
3:02.0,,,30-28,2,J. Henson makes 2-pt shot from 1 ft
2:54.0,,,30-28,,Milwaukee full timeout
2:54.0,D. Collison enters the game for R. Gay,,30-28,,
2:54.0,,,30-28,,O. Mayo enters the game for G. Antetokounmpo
2:54.0,,,30-28,,J. Bayless enters the game for J. Parker
2:47.0,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Rondo),3,33-28,,
2:28.0,,,33-28,,O. Mayo misses 3-pt shot from 25 ft
2:27.0,,,33-28,,Offensive rebound by J. Henson
2:23.0,,,33-28,,K. Middleton misses 2-pt shot from 1 ft
2:21.0,,,33-28,,Offensive rebound by J. Henson
2:21.0,,,33-28,,J. Henson misses 2-pt shot from 1 ft
2:20.0,,,33-28,,Offensive rebound by K. Middleton
2:16.0,,,33-28,,K. Middleton misses 2-pt shot from 15 ft
2:15.0,Defensive rebound by O. Casspi,,33-28,,
2:00.0,R. Rondo makes 2-pt shot from 1 ft,2,35-28,,
1:46.0,,,35-28,,M. Carter-Williams misses 2-pt shot from 16 ft
1:45.0,Defensive rebound by O. Casspi,,35-28,,
1:27.0,O. Casspi makes 3-pt shot from 25 ft (assist by M. Belinelli),3,38-28,,
1:00.0,,,38-30,2,K. Middleton makes 2-pt shot from 11 ft (assist by O. Mayo)
0:38.0,Turnover by D. Collison (lost ball; steal by J. Bayless),,38-30,,
0:24.0,,,38-33,3,J. Bayless makes 3-pt shot from 25 ft (assist by K. Middleton)
0:04.0,K. Koufos makes 2-pt shot from 3 ft (assist by R. Rondo),2,40-33,,
0:00.0,,,40-33,,M. Carter-Williams misses 2-pt shot at rim
0:00.0,,,40-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,40-33,,Shooting foul by W. Cauley-Stein (drawn by G. Antetokounmpo)
11:47.0,,,40-33,,G. Antetokounmpo misses free throw 1 of 2
11:47.0,,,40-33,,Offensive rebound by Team
11:47.0,,,40-34,1,G. Antetokounmpo makes free throw 2 of 2
11:28.0,Shooting foul by G. Antetokounmpo (drawn by O. Casspi),,40-34,,
11:28.0,O. Casspi makes free throw 1 of 2,1,41-34,,
11:28.0,,,41-34,,C. Copeland enters the game for G. Antetokounmpo
11:28.0,O. Casspi misses free throw 2 of 2,,41-34,,
11:27.0,,,41-34,,Defensive rebound by J. Henson
11:15.0,,,41-34,,J. Bayless misses 2-pt shot at rim (block by W. Cauley-Stein)
11:12.0,,,41-34,,Offensive rebound by J. Henson
11:12.0,,,41-36,2,J. Henson makes 2-pt shot at rim
10:54.0,M. Belinelli misses 3-pt shot from 28 ft,,41-36,,
10:53.0,,,41-36,,Defensive rebound by C. Copeland
10:43.0,,,41-36,,O. Mayo misses 3-pt shot from 24 ft
10:42.0,Defensive rebound by B. McLemore,,41-36,,
10:29.0,O. Casspi makes 3-pt shot from 28 ft (assist by D. Collison),3,44-36,,
10:14.0,,,44-39,3,G. Vasquez makes 3-pt shot from 25 ft (assist by J. Bayless)
10:03.0,,,44-39,,Shooting block foul by C. Copeland (drawn by O. Casspi)
10:03.0,O. Casspi makes free throw 1 of 2,1,45-39,,
10:03.0,O. Casspi makes free throw 2 of 2,1,46-39,,
9:47.0,,,46-41,2,J. Henson makes 2-pt shot from 1 ft
9:34.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison),2,48-41,,
9:16.0,,,48-41,,O. Mayo misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by W. Cauley-Stein,,48-41,,
9:06.0,B. McLemore misses 3-pt shot from 23 ft,,48-41,,
9:05.0,,,48-41,,Defensive rebound by J. Bayless
8:57.0,,,48-43,2,J. Henson makes 2-pt shot from 1 ft (assist by G. Vasquez)
8:57.0,,,48-43,,Shooting foul by B. McLemore (drawn by J. Henson)
8:57.0,Official timeout,,48-43,,
8:57.0,,,48-43,,J. Henson misses free throw 1 of 1
8:56.0,Defensive rebound by W. Cauley-Stein,,48-43,,
8:34.0,M. Belinelli misses 3-pt shot from 25 ft,,48-43,,
8:33.0,,,48-43,,Defensive rebound by G. Vasquez
8:29.0,,,48-43,,Turnover by G. Vasquez (bad pass; steal by M. Belinelli)
8:26.0,M. Belinelli makes 2-pt shot at rim,2,50-43,,
8:11.0,,,50-45,2,O. Mayo makes 2-pt shot from 18 ft (assist by G. Vasquez)
7:56.0,D. Collison makes 2-pt shot from 17 ft,2,52-45,,
7:35.0,,,52-45,,J. Bayless misses 2-pt shot from 7 ft
7:34.0,,,52-45,,Offensive rebound by J. Henson
7:34.0,,,52-45,,Shooting foul by O. Casspi (drawn by J. Henson)
7:34.0,,,52-46,1,J. Henson makes free throw 1 of 2
7:34.0,K. Koufos enters the game for W. Cauley-Stein,,52-46,,
7:34.0,R. Gay enters the game for O. Casspi,,52-46,,
7:34.0,,,52-47,1,J. Henson makes free throw 2 of 2
7:14.0,R. Gay misses 3-pt shot from 24 ft,,52-47,,
7:13.0,,,52-47,,Defensive rebound by J. Henson
7:13.0,,,52-47,,Turnover by J. Henson (traveling)
7:13.0,,,52-47,,G. Monroe enters the game for J. Henson
7:06.0,M. Belinelli makes 2-pt shot from 17 ft (assist by D. Collison),2,54-47,,
6:45.0,,,54-49,2,G. Monroe makes 2-pt shot from 2 ft (assist by G. Vasquez)
6:30.0,R. Gay misses 2-pt shot from 7 ft,,54-49,,
6:29.0,,,54-49,,Defensive rebound by O. Mayo
6:21.0,,,54-52,3,J. Bayless makes 3-pt shot from 25 ft (assist by O. Mayo)
6:12.0,Sacramento full timeout,,54-52,,
6:12.0,R. Rondo enters the game for B. McLemore,,54-52,,
6:00.0,D. Collison makes 2-pt shot from 17 ft,2,56-52,,
5:48.0,,,56-52,,C. Copeland misses 3-pt shot from 27 ft
5:46.0,Defensive rebound by R. Rondo,,56-52,,
5:29.0,M. Belinelli misses 3-pt shot from 23 ft,,56-52,,
5:27.0,,,56-52,,Defensive rebound by G. Monroe
5:21.0,,,56-54,2,O. Mayo makes 2-pt shot from 10 ft (assist by G. Vasquez)
4:53.0,M. Belinelli makes 3-pt shot from 27 ft (assist by R. Rondo),3,59-54,,
4:33.0,,,59-56,2,C. Copeland makes 2-pt shot from 2 ft (assist by G. Vasquez)
4:10.0,R. Rondo misses 2-pt shot at rim (block by G. Monroe),,59-56,,
4:08.0,,,59-56,,Defensive rebound by O. Mayo
4:01.0,,,59-59,3,O. Mayo makes 3-pt shot from 27 ft (assist by G. Vasquez)
3:54.0,Shooting foul by J. Bayless (drawn by D. Collison),,59-59,,
3:54.0,D. Collison makes free throw 1 of 2,1,60-59,,
3:54.0,,,60-59,,M. Carter-Williams enters the game for G. Vasquez
3:54.0,,,60-59,,K. Middleton enters the game for C. Copeland
3:54.0,O. Casspi enters the game for M. Belinelli,,60-59,,
3:54.0,D. Collison makes free throw 2 of 2,1,61-59,,
3:39.0,,,61-59,,O. Mayo misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by R. Rondo,,61-59,,
3:18.0,O. Casspi makes 2-pt shot at rim (assist by R. Rondo),2,63-59,,
3:03.0,,,63-59,,J. Bayless misses 2-pt shot from 18 ft
3:01.0,Defensive rebound by O. Casspi,,63-59,,
2:50.0,K. Koufos misses 2-pt shot at rim,,63-59,,
2:49.0,,,63-59,,Defensive rebound by G. Monroe
2:39.0,,,63-59,,G. Monroe misses 2-pt shot from 16 ft
2:38.0,Defensive rebound by R. Rondo,,63-59,,
2:30.0,D. Collison misses 3-pt shot from 25 ft,,63-59,,
2:29.0,,,63-59,,Defensive rebound by K. Middleton
2:24.0,Personal foul by D. Collison (drawn by K. Middleton),,63-59,,
2:24.0,,,63-59,,Milwaukee full timeout
2:24.0,,,63-59,,J. Parker enters the game for O. Mayo
2:24.0,B. McLemore enters the game for D. Collison,,63-59,,
2:14.0,,,63-59,,G. Monroe misses 2-pt shot from 3 ft
2:13.0,Defensive rebound by O. Casspi,,63-59,,
2:05.0,,,63-59,,Personal block foul by M. Carter-Williams (drawn by R. Rondo)
1:55.0,R. Gay makes 2-pt shot from 9 ft,2,65-59,,
1:33.0,,,65-59,,K. Middleton misses 3-pt shot from 26 ft
1:31.0,Defensive rebound by K. Koufos,,65-59,,
1:26.0,Shooting foul by K. Middleton (drawn by R. Gay),,65-59,,
1:26.0,R. Gay makes free throw 1 of 2,1,66-59,,
1:26.0,R. Gay makes free throw 2 of 2,1,67-59,,
1:03.0,,,67-59,,Turnover by J. Parker (bad pass; steal by O. Casspi)
0:57.0,O. Casspi misses 3-pt shot from 28 ft,,67-59,,
0:56.0,,,67-59,,Defensive rebound by G. Monroe
0:48.0,Shooting block foul by R. Rondo (drawn by M. Carter-Williams),,67-59,,
0:48.0,,,67-60,1,M. Carter-Williams makes free throw 1 of 2
0:48.0,,,67-61,1,M. Carter-Williams makes free throw 2 of 2
0:32.0,Turnover by B. McLemore (lost ball; steal by J. Bayless),,67-61,,
0:28.0,,,67-61,,Shooting foul by B. McLemore (drawn by M. Carter-Williams)
0:28.0,Technical foul by Team,,67-61,,
0:28.0,,,67-61,,J. Bayless misses technical free throw
0:28.0,,,67-61,,Offensive rebound by Team
0:28.0,,,67-61,,Milwaukee full timeout
0:28.0,,,67-62,1,M. Carter-Williams makes free throw 1 of 2
0:28.0,,,67-63,1,M. Carter-Williams makes free throw 2 of 2
0:06.0,R. Gay makes 2-pt shot from 3 ft,2,69-63,,
0:00.0,,,69-66,3,J. Bayless makes 3-pt shot from 26 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,69-69,3,K. Middleton makes 3-pt shot from 24 ft (assist by G. Monroe)
11:21.0,R. Gay makes 2-pt shot from 19 ft (assist by R. Rondo),2,71-69,,
11:11.0,,,71-71,2,K. Middleton makes 2-pt shot from 11 ft
10:55.0,Turnover by R. Rondo (bad pass; steal by J. Parker),,71-71,,
10:51.0,,,71-73,2,J. Parker makes 2-pt shot at rim (assist by K. Middleton)
10:33.0,R. Gay makes 2-pt shot from 10 ft (assist by R. Rondo),2,73-73,,
10:21.0,,,73-73,,G. Monroe misses 2-pt shot from 3 ft
10:20.0,Defensive rebound by B. McLemore,,73-73,,
10:11.0,B. McLemore makes 2-pt shot from 1 ft (assist by R. Rondo),2,75-73,,
9:47.0,,,75-76,3,K. Middleton makes 3-pt shot from 27 ft (assist by M. Carter-Williams)
9:34.0,,,75-76,,Personal foul by K. Middleton (drawn by R. Gay)
9:22.0,R. Rondo misses 3-pt shot from 26 ft,,75-76,,
9:21.0,Offensive rebound by K. Koufos,,75-76,,
9:20.0,Shooting foul by G. Monroe (drawn by K. Koufos),,75-76,,
9:20.0,K. Koufos makes free throw 1 of 2,1,76-76,,
9:20.0,K. Koufos makes free throw 2 of 2,1,77-76,,
9:05.0,,,77-76,,G. Antetokounmpo misses 3-pt shot from 23 ft
9:03.0,Defensive rebound by B. McLemore,,77-76,,
9:01.0,Shooting foul by K. Middleton (drawn by B. McLemore),,77-76,,
9:01.0,B. McLemore makes free throw 1 of 2,1,78-76,,
9:01.0,,,78-76,,J. Bayless enters the game for K. Middleton
9:01.0,B. McLemore makes free throw 2 of 2,1,79-76,,
8:48.0,,,79-76,,G. Monroe misses 2-pt shot at rim (block by W. Cauley-Stein)
8:45.0,Defensive rebound by W. Cauley-Stein,,79-76,,
8:32.0,R. Rondo misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,79-76,,
8:30.0,,,79-76,,Defensive rebound by Team
8:06.0,,,79-76,,G. Antetokounmpo misses 2-pt shot from 2 ft
8:05.0,Defensive rebound by R. Rondo,,79-76,,
7:54.0,Shooting foul by G. Monroe (drawn by K. Koufos),,79-76,,
7:54.0,K. Koufos makes free throw 1 of 2,1,80-76,,
7:54.0,K. Koufos makes free throw 2 of 2,1,81-76,,
7:43.0,,,81-76,,J. Parker misses 2-pt shot from 12 ft (block by R. Gay)
7:43.0,,,81-76,,Offensive rebound by Team
7:33.0,,,81-76,,M. Carter-Williams misses 2-pt shot from 8 ft
7:31.0,,,81-76,,Offensive rebound by J. Bayless
7:28.0,,,81-78,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless)
7:14.0,Turnover by R. Rondo (bad pass; steal by J. Bayless),,81-78,,
7:10.0,,,81-80,2,J. Parker makes 2-pt shot at rim (assist by G. Monroe)
6:49.0,W. Cauley-Stein misses 2-pt shot at rim (block by G. Monroe),,81-80,,
6:47.0,Offensive rebound by K. Koufos,,81-80,,
6:37.0,Turnover by B. McLemore (bad pass),,81-80,,
6:37.0,O. Casspi enters the game for K. Koufos,,81-80,,
6:19.0,,,81-80,,Turnover by M. Carter-Williams (bad pass)
6:05.0,R. Rondo makes 2-pt shot at rim,2,83-80,,
5:50.0,,,83-80,,M. Carter-Williams misses 2-pt shot from 20 ft
5:49.0,Defensive rebound by B. McLemore,,83-80,,
5:29.0,R. Gay misses 2-pt shot from 11 ft,,83-80,,
5:27.0,Offensive rebound by O. Casspi,,83-80,,
5:17.0,R. Rondo makes 2-pt shot from 20 ft,2,85-80,,
5:17.0,,,85-80,,Milwaukee full timeout
5:17.0,,,85-80,,O. Mayo enters the game for J. Parker
5:04.0,Personal foul by R. Rondo (drawn by G. Antetokounmpo),,85-80,,
4:53.0,,,85-80,,Turnover by G. Monroe (lost ball; steal by O. Casspi)
4:38.0,R. Gay makes 2-pt shot from 14 ft,2,87-80,,
4:14.0,,,87-80,,J. Henson enters the game for G. Monroe
4:14.0,M. Belinelli enters the game for B. McLemore,,87-80,,
4:07.0,,,87-80,,M. Carter-Williams misses 2-pt shot at rim
4:05.0,Defensive rebound by W. Cauley-Stein,,87-80,,
4:01.0,Shooting foul by O. Mayo (drawn by O. Casspi),,87-80,,
4:01.0,O. Casspi makes free throw 1 of 2,1,88-80,,
4:01.0,,,88-80,,G. Vasquez enters the game for M. Carter-Williams
4:01.0,O. Casspi misses free throw 2 of 2,,88-80,,
4:00.0,,,88-80,,Defensive rebound by G. Antetokounmpo
3:47.0,,,88-82,2,G. Antetokounmpo makes 2-pt shot at rim
3:36.0,Turnover by R. Rondo (bad pass; steal by J. Bayless),,88-82,,
3:31.0,,,88-82,,O. Mayo misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by O. Casspi,,88-82,,
3:16.0,R. Gay misses 2-pt shot from 6 ft (block by G. Antetokounmpo),,88-82,,
3:14.0,Offensive rebound by W. Cauley-Stein,,88-82,,
3:12.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,90-82,,
3:00.0,,,90-82,,Turnover by G. Vasquez (bad pass; steal by R. Gay)
2:45.0,R. Gay misses 2-pt shot from 13 ft,,90-82,,
2:44.0,,,90-82,,Defensive rebound by O. Mayo
2:41.0,,,90-82,,Shooting foul by O. Casspi (drawn by G. Antetokounmpo)
2:41.0,Sacramento full timeout,,90-82,,
2:41.0,D. Collison enters the game for R. Gay,,90-82,,
2:41.0,K. Koufos enters the game for W. Cauley-Stein,,90-82,,
2:41.0,,,90-83,1,G. Antetokounmpo makes free throw 1 of 2
2:41.0,,,90-84,1,G. Antetokounmpo makes free throw 2 of 2
2:16.0,K. Koufos misses 2-pt shot from 1 ft,,90-84,,
2:13.0,,,90-84,,Defensive rebound by J. Henson
1:55.0,,,90-87,3,G. Vasquez makes 3-pt shot from 23 ft
1:39.0,O. Casspi misses 2-pt shot from 1 ft (block by J. Henson),,90-87,,
1:37.0,,,90-87,,Defensive rebound by J. Bayless
1:27.0,,,90-87,,Shooting foul by K. Koufos (drawn by J. Henson)
1:27.0,,,90-88,1,J. Henson makes free throw 1 of 2
1:27.0,,,90-88,,J. Henson misses free throw 2 of 2
1:26.0,Defensive rebound by O. Casspi,,90-88,,
1:14.0,,,90-88,,Personal foul by G. Vasquez (drawn by M. Belinelli)
1:14.0,M. Belinelli misses free throw 1 of 2,,90-88,,
1:14.0,Offensive rebound by Team,,90-88,,
1:14.0,M. Belinelli makes free throw 2 of 2,1,91-88,,
0:58.0,,,91-90,2,G. Antetokounmpo makes 2-pt shot from 2 ft
0:39.0,D. Collison makes 2-pt shot from 13 ft,2,93-90,,
0:39.0,Violation by Team (delay of game),,93-90,,
0:26.0,,,93-90,,G. Vasquez misses 3-pt shot from 26 ft
0:25.0,,,93-90,,Offensive rebound by G. Antetokounmpo
0:25.0,,,93-90,,Shooting foul by O. Casspi (drawn by G. Antetokounmpo)
0:25.0,,,93-91,1,G. Antetokounmpo makes free throw 1 of 2
0:25.0,,,93-92,1,G. Antetokounmpo makes free throw 2 of 2
0:03.0,M. Belinelli makes 3-pt shot from 24 ft (assist by R. Rondo),3,96-92,,
0:00.0,,,96-92,,O. Mayo misses 3-pt shot from 30 ft (block by R. Rondo)
0:00.0,Defensive rebound by K. Koufos,,96-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,O. Casspi makes 2-pt shot from 1 ft,2,98-92,,
11:31.0,,,98-92,,O. Mayo misses 3-pt shot from 23 ft
11:31.0,,,98-92,,Offensive rebound by Team
11:16.0,,,98-92,,O. Mayo misses 3-pt shot from 25 ft
11:14.0,,,98-92,,Offensive rebound by J. Henson
11:04.0,,,98-92,,J. Henson misses 2-pt shot from 3 ft
11:03.0,Defensive rebound by M. Belinelli,,98-92,,
10:50.0,O. Casspi misses 3-pt shot from 26 ft,,98-92,,
10:49.0,,,98-92,,Defensive rebound by G. Vasquez
10:39.0,,,98-94,2,J. Henson makes 2-pt shot at rim (assist by G. Vasquez)
10:11.0,D. Collison misses 2-pt shot at rim,,98-94,,
10:10.0,,,98-94,,Defensive rebound by J. Henson
10:06.0,,,98-96,2,G. Vasquez makes 2-pt shot at rim (assist by G. Antetokounmpo)
10:06.0,,,98-96,,Shooting foul by B. McLemore (drawn by G. Vasquez)
10:06.0,R. Gay enters the game for O. Casspi,,98-96,,
10:06.0,,,98-97,1,G. Vasquez makes free throw 1 of 1
9:42.0,K. Koufos makes 2-pt shot from 8 ft,2,100-97,,
9:32.0,,,100-97,,Turnover by G. Vasquez (bad pass; steal by B. McLemore)
9:25.0,,,100-97,,Flagrant foul type 1 by J. Henson (drawn by R. Gay)
9:25.0,R. Gay makes flagrant free throw 1 of 2,1,101-97,,
9:25.0,R. Gay makes flagrant free throw 2 of 2,1,102-97,,
9:14.0,M. Belinelli misses 2-pt shot from 20 ft,,102-97,,
9:13.0,,,102-97,,Defensive rebound by J. Henson
9:08.0,Personal block foul by B. McLemore (drawn by J. Bayless),,102-97,,
8:58.0,,,102-97,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by K. Koufos)
8:56.0,Defensive rebound by R. Gay,,102-97,,
8:33.0,D. Collison makes 3-pt shot from 29 ft,3,105-97,,
8:20.0,Official timeout,,105-97,,
8:20.0,W. Cauley-Stein enters the game for K. Koufos,,105-97,,
8:20.0,R. Rondo enters the game for B. McLemore,,105-97,,
8:20.0,,,105-97,,J. Parker enters the game for G. Antetokounmpo
8:20.0,,,105-97,,M. Carter-Williams enters the game for G. Vasquez
8:04.0,,,105-97,,J. Bayless misses 3-pt shot from 25 ft
8:03.0,Defensive rebound by R. Gay,,105-97,,
7:48.0,R. Gay misses 3-pt shot from 27 ft,,105-97,,
7:47.0,Offensive rebound by D. Collison,,105-97,,
7:32.0,D. Collison misses 2-pt shot from 21 ft,,105-97,,
7:32.0,,,105-97,,Defensive rebound by Team
7:32.0,O. Casspi enters the game for M. Belinelli,,105-97,,
7:19.0,,,105-99,2,O. Mayo makes 2-pt shot at rim (assist by J. Parker)
6:55.0,W. Cauley-Stein makes 2-pt shot at rim (assist by O. Casspi),2,107-99,,
6:43.0,,,107-101,2,J. Henson makes 2-pt shot at rim (assist by M. Carter-Williams)
6:23.0,D. Collison makes 3-pt shot from 25 ft (assist by R. Gay),3,110-101,,
6:08.0,Personal block foul by R. Gay (drawn by J. Parker),,110-101,,
6:08.0,,,110-101,,G. Monroe enters the game for J. Henson
6:03.0,,,110-101,,O. Mayo misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by D. Collison,,110-101,,
5:49.0,R. Gay makes 2-pt shot at rim (assist by O. Casspi),2,112-101,,
5:27.0,,,112-101,,G. Monroe misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
5:25.0,Defensive rebound by R. Rondo,,112-101,,
5:22.0,Shooting foul by J. Bayless (drawn by W. Cauley-Stein),,112-101,,
5:22.0,,,112-101,,Milwaukee full timeout
5:22.0,,,112-101,,G. Antetokounmpo enters the game for J. Parker
5:22.0,,,112-101,,K. Middleton enters the game for O. Mayo
5:22.0,W. Cauley-Stein misses free throw 1 of 2,,112-101,,
5:22.0,Offensive rebound by Team,,112-101,,
5:22.0,W. Cauley-Stein makes free throw 2 of 2,1,113-101,,
5:01.0,,,113-101,,M. Carter-Williams misses 2-pt shot at rim
4:59.0,Defensive rebound by R. Rondo,,113-101,,
4:57.0,,,113-101,,Technical foul by M. Carter-Williams
4:57.0,D. Collison misses technical free throw,,113-101,,
4:57.0,Offensive rebound by Team,,113-101,,
4:57.0,,,113-101,,O. Mayo enters the game for M. Carter-Williams
4:38.0,D. Collison misses 3-pt shot from 22 ft,,113-101,,
4:37.0,,,113-101,,Defensive rebound by G. Antetokounmpo
4:27.0,,,113-104,3,O. Mayo makes 3-pt shot from 25 ft (assist by J. Bayless)
4:02.0,R. Rondo misses 2-pt shot from 14 ft,,113-104,,
4:00.0,,,113-104,,Defensive rebound by G. Monroe
3:50.0,,,113-106,2,G. Antetokounmpo makes 2-pt shot at rim
3:50.0,,,113-106,,Shooting foul by R. Gay (drawn by G. Antetokounmpo)
3:50.0,Sacramento full timeout,,113-106,,
3:50.0,K. Koufos enters the game for W. Cauley-Stein,,113-106,,
3:50.0,,,113-107,1,G. Antetokounmpo makes free throw 1 of 1
3:29.0,R. Gay makes 3-pt shot from 22 ft,3,116-107,,
3:29.0,Shooting foul by G. Antetokounmpo (drawn by R. Gay),,116-107,,
3:29.0,R. Gay makes free throw 1 of 1,1,117-107,,
3:19.0,Personal block foul by K. Koufos (drawn by J. Bayless),,117-107,,
3:19.0,,,117-108,1,J. Bayless makes free throw 1 of 2
3:19.0,,,117-109,1,J. Bayless makes free throw 2 of 2
2:55.0,Turnover by Team (shot clock),,117-109,,
2:45.0,,,117-109,,O. Mayo misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by R. Gay,,117-109,,
