time,Detroit,pts.away,score,pts.home,Chicago
11:19.0,,,46-45,,J. Butler misses 3-pt shot from 26 ft
11:18.0,Defensive rebound by A. Drummond,,46-45,,
11:07.0,M. Morris misses 3-pt shot from 24 ft,,46-45,,
11:06.0,,,46-45,,Defensive rebound by P. Gasol
10:58.0,Personal foul by T. Harris,,46-45,,
10:48.0,,,46-45,,Turnover by B. Portis (lost ball; steal by T. Harris)
10:40.0,A. Drummond misses 2-pt shot from 4 ft,,46-45,,
10:40.0,,,46-45,,Defensive rebound by Team
10:40.0,Personal foul by A. Drummond,,46-45,,
10:40.0,Violation by Team (jump ball),,46-45,,
10:23.0,,,46-45,,P. Gasol misses 2-pt shot from 5 ft
10:22.0,Defensive rebound by T. Harris,,46-45,,
10:19.0,,,46-45,,Personal foul by M. Dunleavy
10:09.0,T. Harris misses 2-pt shot from 17 ft,,46-45,,
10:07.0,,,46-45,,Defensive rebound by J. Butler
10:00.0,,,46-48,3,P. Gasol makes 3-pt shot from 25 ft (assist by J. Butler)
9:42.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,46-48,,
9:41.0,Offensive rebound by A. Drummond,,46-48,,
9:41.0,A. Drummond makes 2-pt shot at rim,2,48-48,,
9:33.0,,,48-48,,Turnover by M. Dunleavy (lost ball; steal by A. Drummond)
9:24.0,R. Jackson makes 3-pt shot from 23 ft (assist by M. Morris),3,51-48,,
8:57.0,,,51-48,,P. Gasol misses 3-pt shot from 24 ft
8:56.0,Defensive rebound by K. Caldwell-Pope,,51-48,,
8:46.0,A. Drummond misses 2-pt shot from 7 ft (block by E. Moore),,51-48,,
8:44.0,,,51-48,,Defensive rebound by B. Portis
8:39.0,,,51-50,2,E. Moore makes 2-pt shot from 1 ft
8:20.0,A. Drummond misses 2-pt shot from 5 ft,,51-50,,
8:19.0,,,51-50,,Defensive rebound by J. Butler
8:11.0,,,51-52,2,B. Portis makes 2-pt shot from 7 ft (assist by J. Butler)
7:51.0,K. Caldwell-Pope misses 2-pt shot from 8 ft,,51-52,,
7:50.0,,,51-52,,Defensive rebound by P. Gasol
7:36.0,,,51-52,,P. Gasol misses 2-pt shot from 4 ft
7:35.0,Defensive rebound by T. Harris,,51-52,,
7:28.0,M. Morris misses 2-pt shot from 18 ft (block by J. Butler),,51-52,,
7:26.0,,,51-52,,Defensive rebound by P. Gasol
7:20.0,,,51-52,,Turnover by J. Butler (lost ball; steal by T. Harris)
7:12.0,Shooting foul by E. Moore (drawn by R. Jackson),,51-52,,
7:12.0,R. Jackson makes free throw 1 of 2,1,52-52,,
7:12.0,R. Jackson makes free throw 2 of 2,1,53-52,,
6:56.0,,,53-52,,E. Moore misses 3-pt shot from 24 ft
6:54.0,,,53-52,,Offensive rebound by B. Portis
6:36.0,,,53-52,,B. Portis misses 2-pt shot from 21 ft
6:35.0,,,53-52,,Offensive rebound by P. Gasol
6:24.0,,,53-52,,J. Butler misses 2-pt shot from 1 ft
6:23.0,Defensive rebound by A. Drummond,,53-52,,
6:12.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,53-52,,
6:11.0,,,53-52,,Defensive rebound by J. Butler
6:06.0,Personal foul by R. Jackson,,53-52,,
6:06.0,,,53-52,,Chicago full timeout
6:06.0,,,53-52,,N. Mirotic enters the game for B. Portis
5:57.0,,,53-54,2,J. Butler makes 2-pt shot from 1 ft
5:38.0,T. Harris misses 3-pt shot from 23 ft,,53-54,,
5:36.0,,,53-54,,Defensive rebound by J. Butler
5:19.0,,,53-56,2,P. Gasol makes 2-pt shot from 17 ft (assist by J. Butler)
4:53.0,T. Harris misses 2-pt shot from 1 ft (block by P. Gasol),,53-56,,
4:51.0,Offensive rebound by A. Drummond,,53-56,,
4:48.0,R. Jackson makes 2-pt shot from 2 ft (assist by A. Drummond),2,55-56,,
4:27.0,,,55-56,,N. Mirotic misses 2-pt shot from 3 ft (block by T. Harris)
4:27.0,,,55-56,,Offensive rebound by Team
4:27.0,S. Johnson enters the game for M. Morris,,55-56,,
4:27.0,,,55-56,,D. McDermott enters the game for M. Dunleavy
4:24.0,,,55-58,2,P. Gasol makes 2-pt shot from 1 ft (assist by E. Moore)
4:02.0,R. Jackson misses 2-pt shot from 7 ft (block by E. Moore),,55-58,,
4:02.0,Offensive rebound by Team,,55-58,,
3:58.0,R. Jackson misses 2-pt shot from 14 ft,,55-58,,
3:58.0,Offensive rebound by Team,,55-58,,
3:58.0,,,55-58,,Loose ball foul by N. Mirotic
3:44.0,T. Harris makes 3-pt shot from 24 ft (assist by A. Drummond),3,58-58,,
3:14.0,,,58-58,,J. Butler misses 2-pt shot from 16 ft
3:13.0,Defensive rebound by S. Johnson,,58-58,,
3:04.0,R. Jackson misses 2-pt shot from 2 ft,,58-58,,
3:04.0,Offensive rebound by R. Jackson,,58-58,,
3:04.0,Shooting foul by P. Gasol (drawn by A. Drummond),,58-58,,
3:04.0,A. Drummond misses free throw 1 of 2,,58-58,,
3:04.0,Offensive rebound by Team,,58-58,,
3:04.0,,,58-58,,J. Holiday enters the game for J. Butler
3:04.0,S. Blake enters the game for R. Jackson,,58-58,,
3:04.0,,,58-58,,A. Brooks enters the game for E. Moore
3:04.0,A. Drummond misses free throw 2 of 2,,58-58,,
3:02.0,,,58-58,,Defensive rebound by P. Gasol
2:46.0,,,58-58,,A. Brooks misses 2-pt shot from 13 ft
2:45.0,Defensive rebound by A. Drummond,,58-58,,
2:40.0,Shooting foul by J. Holiday (drawn by K. Caldwell-Pope),,58-58,,
2:40.0,Detroit full timeout,,58-58,,
2:40.0,A. Baynes enters the game for A. Drummond,,58-58,,
2:40.0,,,58-58,,C. Felicio enters the game for P. Gasol
2:40.0,K. Caldwell-Pope makes free throw 1 of 2,1,59-58,,
2:40.0,K. Caldwell-Pope makes free throw 2 of 2,1,60-58,,
2:16.0,,,60-60,2,A. Brooks makes 2-pt shot from 15 ft
1:59.0,T. Harris makes 2-pt shot from 10 ft,2,62-60,,
1:45.0,,,62-62,2,A. Brooks makes 2-pt shot from 6 ft
1:20.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by T. Harris),3,65-62,,
1:05.0,,,65-65,3,A. Brooks makes 3-pt shot from 25 ft
0:46.0,S. Blake makes 3-pt shot from 25 ft (assist by T. Harris),3,68-65,,
0:30.0,,,68-65,,D. McDermott misses 2-pt shot from 1 ft
0:29.0,Defensive rebound by A. Baynes,,68-65,,
0:13.0,K. Caldwell-Pope makes 2-pt shot from 21 ft,2,70-65,,
0:00.0,,,70-65,,Turnover by A. Brooks (lost ball; steal by S. Blake)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,70-68,3,N. Mirotic makes 3-pt shot from 25 ft (assist by C. Felicio)
11:29.0,S. Johnson misses 2-pt shot from 17 ft,,70-68,,
11:27.0,,,70-68,,Defensive rebound by J. Holiday
11:21.0,,,70-68,,Shooting foul by S. Johnson (drawn by C. Felicio)
11:21.0,,,70-69,1,C. Felicio makes free throw 1 of 2
11:21.0,,,70-69,,C. Felicio misses free throw 2 of 2
11:20.0,Defensive rebound by S. Blake,,70-69,,
11:09.0,Turnover by A. Baynes (bad pass),,70-69,,
10:58.0,,,70-69,,A. Brooks misses 2-pt shot from 4 ft
10:57.0,,,70-69,,Offensive rebound by C. Felicio
10:57.0,,,70-69,,C. Felicio misses 2-pt shot from 1 ft
10:56.0,Defensive rebound by S. Blake,,70-69,,
