time,Brooklyn,pts.away,score,pts.home,Washington
1:04.0,Brooklyn full timeout,,49-51,,
1:04.0,,,49-51,,N. Hilario enters the game for M. Gortat
0:56.0,,,49-51,,Personal foul by G. Temple
0:51.0,T. Robinson makes 2-pt shot at rim (assist by M. Brown),2,51-51,,
0:36.0,,,51-51,,Shooting foul by S. Kilpatrick (drawn by N. Hilario)
0:36.0,,,51-53,2,N. Hilario makes 2-pt shot at rim (assist by R. Sessions)
0:36.0,,,51-54,1,N. Hilario makes free throw 1 of 1
0:26.0,Shooting foul by N. Hilario (drawn by T. Robinson),,51-54,,
0:26.0,T. Robinson misses free throw 1 of 2,,51-54,,
0:26.0,Offensive rebound by Team,,51-54,,
0:26.0,W. Ellington enters the game for S. Kilpatrick,,51-54,,
0:26.0,T. Robinson makes free throw 2 of 2,1,52-54,,
0:26.0,,,52-54,,Washington full timeout
0:26.0,,,52-54,,B. Beal enters the game for G. Temple
0:04.0,,,52-54,,M. Morris misses 3-pt shot from 23 ft
0:02.0,,,52-54,,Offensive rebound by N. Hilario
0:01.0,,,52-54,,N. Hilario misses 2-pt shot from 3 ft (block by M. Brown)
0:00.0,,,52-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,S. Larkin misses 2-pt shot from 11 ft,,52-54,,
11:41.0,,,52-54,,Defensive rebound by M. Morris
11:25.0,,,52-57,3,B. Beal makes 3-pt shot from 27 ft (assist by M. Morris)
11:07.0,Turnover by B. Bogdanovic (traveling),,52-57,,
10:51.0,,,52-57,,B. Beal misses 3-pt shot from 28 ft
10:50.0,Defensive rebound by S. Larkin,,52-57,,
10:37.0,T. Robinson makes 2-pt shot at rim (assist by S. Larkin),2,54-57,,
10:22.0,,,54-57,,M. Morris misses 2-pt shot from 16 ft
10:21.0,Defensive rebound by S. Larkin,,54-57,,
10:15.0,W. Ellington makes 3-pt shot from 25 ft (assist by S. Larkin),3,57-57,,
10:07.0,,,57-57,,Shooting foul by R. Hollis-Jefferson (drawn by O. Porter)
10:07.0,,,57-59,2,O. Porter makes 2-pt shot from 1 ft
10:07.0,,,57-60,1,O. Porter makes free throw 1 of 1
9:44.0,B. Bogdanovic misses 3-pt shot from 24 ft,,57-60,,
9:43.0,,,57-60,,Defensive rebound by M. Morris
9:36.0,,,57-60,,Shooting foul by S. Larkin (drawn by M. Gortat)
9:36.0,,,57-61,1,M. Gortat makes free throw 1 of 2
9:36.0,,,57-62,1,M. Gortat makes free throw 2 of 2
9:21.0,,,57-62,,Personal foul by B. Beal
9:13.0,S. Larkin misses 2-pt shot from 21 ft,,57-62,,
9:12.0,,,57-62,,Defensive rebound by M. Morris
9:03.0,,,57-62,,R. Sessions misses 2-pt shot at rim
9:02.0,,,57-62,,Offensive rebound by M. Gortat
8:47.0,,,57-64,2,M. Gortat makes 2-pt shot from 4 ft (assist by R. Sessions)
8:27.0,T. Robinson misses 2-pt shot from 3 ft,,57-64,,
8:26.0,,,57-64,,Defensive rebound by M. Gortat
8:24.0,Personal take foul by B. Bogdanovic,,57-64,,
8:12.0,,,57-66,2,M. Morris makes 2-pt shot at rim
8:07.0,Brooklyn full timeout,,57-66,,
7:58.0,Offensive foul by T. Robinson,,57-66,,
7:58.0,Turnover by T. Robinson (offensive foul),,57-66,,
7:35.0,,,57-66,,M. Gortat misses 2-pt shot from 14 ft
7:34.0,Defensive rebound by W. Ellington,,57-66,,
7:22.0,W. Ellington makes 3-pt shot from 23 ft (assist by T. Robinson),3,60-66,,
7:13.0,,,60-68,2,B. Beal makes 2-pt shot at rim
7:04.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft,,60-68,,
7:03.0,Offensive rebound by T. Robinson,,60-68,,
7:02.0,T. Robinson makes 2-pt shot at rim,2,62-68,,
6:48.0,,,62-68,,R. Sessions misses 2-pt shot from 2 ft
6:47.0,Defensive rebound by W. Ellington,,62-68,,
6:43.0,B. Bogdanovic misses 2-pt shot from 3 ft (block by B. Beal),,62-68,,
6:40.0,,,62-68,,Defensive rebound by B. Beal
6:37.0,,,62-68,,Shooting foul by W. Ellington (drawn by M. Gortat)
6:37.0,,,62-69,1,M. Gortat makes free throw 1 of 2
6:37.0,,,62-70,1,M. Gortat makes free throw 2 of 2
6:19.0,B. Bogdanovic misses 2-pt shot from 16 ft,,62-70,,
6:18.0,Offensive rebound by S. Larkin,,62-70,,
6:14.0,W. Ellington misses 3-pt shot from 27 ft,,62-70,,
6:13.0,,,62-70,,Defensive rebound by M. Gortat
6:04.0,,,62-70,,R. Sessions misses 2-pt shot at rim (block by S. Larkin)
6:02.0,,,62-70,,Offensive rebound by R. Sessions
5:59.0,,,62-72,2,O. Porter makes 2-pt shot from 18 ft (assist by R. Sessions)
5:36.0,B. Bogdanovic misses 2-pt shot from 5 ft,,62-72,,
5:36.0,,,62-72,,Defensive rebound by Team
5:36.0,Loose ball foul by T. Robinson,,62-72,,
5:36.0,,,62-72,,O. Porter misses free throw 1 of 2
5:36.0,,,62-72,,Offensive rebound by Team
5:36.0,,,62-73,1,O. Porter makes free throw 2 of 2
5:25.0,S. Larkin misses 2-pt shot from 8 ft (block by O. Porter),,62-73,,
5:23.0,Offensive rebound by T. Robinson,,62-73,,
5:21.0,T. Robinson makes 2-pt shot from 2 ft,2,64-73,,
5:10.0,,,64-73,,M. Gortat misses 2-pt shot from 5 ft
5:09.0,Defensive rebound by S. Larkin,,64-73,,
5:03.0,S. Larkin makes 2-pt shot from 1 ft,2,66-73,,
4:43.0,,,66-75,2,R. Sessions makes 2-pt shot from 1 ft (assist by M. Morris)
4:28.0,W. Ellington misses 2-pt shot from 21 ft,,66-75,,
4:27.0,,,66-75,,Defensive rebound by M. Morris
4:19.0,,,66-75,,M. Morris misses 3-pt shot from 25 ft
4:18.0,,,66-75,,Offensive rebound by M. Gortat
4:15.0,Personal foul by S. Larkin,,66-75,,
4:15.0,,,66-76,1,R. Sessions makes free throw 1 of 2
4:15.0,M. Brown enters the game for R. Hollis-Jefferson,,66-76,,
4:15.0,S. Kilpatrick enters the game for W. Ellington,,66-76,,
4:15.0,,,66-76,,G. Temple enters the game for B. Beal
4:15.0,,,66-77,1,R. Sessions makes free throw 2 of 2
4:05.0,S. Kilpatrick misses 2-pt shot from 12 ft,,66-77,,
4:04.0,,,66-77,,Defensive rebound by M. Gortat
3:47.0,,,66-79,2,O. Porter makes 2-pt shot from 14 ft (assist by G. Temple)
3:21.0,Shooting foul by M. Morris (drawn by S. Kilpatrick),,66-79,,
3:21.0,S. Kilpatrick makes free throw 1 of 3,1,67-79,,
3:21.0,S. Kilpatrick makes free throw 2 of 3,1,68-79,,
3:21.0,C. McCullough enters the game for B. Bogdanovic,,68-79,,
3:21.0,H. Sims enters the game for T. Robinson,,68-79,,
3:21.0,D. Sloan enters the game for S. Larkin,,68-79,,
3:21.0,S. Kilpatrick makes free throw 3 of 3,1,69-79,,
3:10.0,,,69-79,,M. Morris misses 2-pt shot from 16 ft
3:08.0,Defensive rebound by H. Sims,,69-79,,
2:53.0,M. Brown makes 2-pt shot from 1 ft (assist by S. Kilpatrick),2,71-79,,
2:42.0,,,71-81,2,R. Sessions makes 2-pt shot at rim
2:35.0,D. Sloan misses 2-pt shot from 13 ft (block by M. Gortat),,71-81,,
2:33.0,,,71-81,,Defensive rebound by M. Gortat
2:28.0,,,71-84,3,R. Sessions makes 3-pt shot from 26 ft (assist by G. Temple)
2:26.0,Brooklyn full timeout,,71-84,,
2:26.0,,,71-84,,J. Dudley enters the game for M. Morris
2:26.0,,,71-84,,Washington full timeout
2:12.0,S. Kilpatrick makes 2-pt shot from 15 ft,2,73-84,,
1:54.0,,,73-86,2,R. Sessions makes 2-pt shot from 10 ft
1:40.0,M. Brown misses 2-pt shot from 20 ft,,73-86,,
