time,Memphis,pts.away,score,pts.home,Utah
9:01.0,,,25-34,1,J. Withey makes free throw 1 of 2
9:01.0,M. Gasol enters the game for R. Hollins,,25-34,,
9:01.0,T. Allen enters the game for C. Lee,,25-34,,
9:01.0,M. Conley enters the game for M. Chalmers,,25-34,,
9:01.0,,,25-35,1,J. Withey makes free throw 2 of 2
8:44.0,T. Allen makes 2-pt shot from 2 ft,2,27-35,,
8:44.0,Violation by Team (delay of game),,27-35,,
8:33.0,,,27-35,,T. Burke misses 2-pt shot from 21 ft
8:32.0,Defensive rebound by T. Allen,,27-35,,
8:16.0,T. Allen misses 2-pt shot from 5 ft (block by J. Withey),,27-35,,
8:15.0,,,27-35,,Defensive rebound by T. Burke
8:10.0,,,27-35,,T. Burke misses 2-pt shot from 2 ft
8:10.0,Defensive rebound by T. Allen,,27-35,,
8:07.0,,,27-35,,Personal foul by J. Ingles (drawn by T. Allen)
8:07.0,,,27-35,,T. Lyles enters the game for T. Booker
8:00.0,M. Gasol makes 2-pt shot from 2 ft,2,29-35,,
8:00.0,Shooting foul by J. Withey (drawn by M. Gasol),,29-35,,
8:00.0,M. Gasol makes free throw 1 of 1,1,30-35,,
7:42.0,,,30-35,,Shooting foul by T. Allen (drawn by R. Hood)
7:42.0,,,30-36,1,R. Hood makes free throw 1 of 2
7:42.0,,,30-37,1,R. Hood makes free throw 2 of 2
7:31.0,M. Gasol misses 2-pt shot from 2 ft,,30-37,,
7:31.0,,,30-37,,Defensive rebound by Team
7:10.0,,,30-39,2,J. Withey makes 2-pt shot from 1 ft (assist by J. Ingles)
6:46.0,M. Conley misses 2-pt shot from 17 ft,,30-39,,
6:44.0,,,30-39,,Defensive rebound by T. Lyles
6:28.0,,,30-39,,R. Hood misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by J. Green,,30-39,,
6:19.0,M. Conley makes 2-pt shot from 1 ft,2,32-39,,
6:03.0,,,32-39,,Turnover by J. Withey (3 sec)
6:03.0,,,32-39,,T. Pleiss enters the game for J. Withey
6:03.0,,,32-39,,R. Neto enters the game for T. Burke
6:03.0,,,32-39,,G. Hayward enters the game for J. Ingles
6:03.0,J. Green enters the game for V. Carter,,32-39,,
5:52.0,Shooting foul by R. Hood (drawn by T. Allen),,32-39,,
5:52.0,Memphis full timeout,,32-39,,
5:52.0,T. Allen misses free throw 1 of 2,,32-39,,
5:52.0,Offensive rebound by Team,,32-39,,
5:52.0,T. Allen makes free throw 2 of 2,1,33-39,,
5:35.0,,,33-42,3,R. Hood makes 3-pt shot from 23 ft (assist by G. Hayward)
5:17.0,Turnover by J. Green (step out of bounds),,33-42,,
5:06.0,,,33-42,,Offensive foul by T. Pleiss
5:06.0,,,33-42,,Turnover by T. Pleiss (offensive foul)
5:06.0,,,33-42,,C. Johnson enters the game for R. Hood
5:06.0,Z. Randolph enters the game for J. Green,,33-42,,
5:06.0,,,33-42,,J. Withey enters the game for T. Pleiss
5:06.0,,,33-42,,T. Booker enters the game for T. Lyles
4:46.0,M. Gasol makes 2-pt shot from 2 ft (assist by T. Allen),2,35-42,,
4:23.0,,,35-42,,J. Withey misses 2-pt shot from 3 ft
4:22.0,Defensive rebound by Z. Randolph,,35-42,,
4:17.0,Shooting foul by C. Johnson (drawn by Z. Randolph),,35-42,,
4:17.0,Z. Randolph misses free throw 1 of 2,,35-42,,
4:17.0,Offensive rebound by Team,,35-42,,
4:17.0,Z. Randolph misses free throw 2 of 2,,35-42,,
4:16.0,,,35-42,,Defensive rebound by T. Booker
4:04.0,Personal foul by J. Green (drawn by G. Hayward),,35-42,,
3:51.0,,,35-42,,C. Johnson misses 2-pt shot from 14 ft
3:51.0,Defensive rebound by Z. Randolph,,35-42,,
3:43.0,Shooting foul by R. Neto (drawn by M. Conley),,35-42,,
3:43.0,M. Conley misses free throw 1 of 2,,35-42,,
3:43.0,Offensive rebound by Team,,35-42,,
3:43.0,,,35-42,,R. Hood enters the game for C. Johnson
3:43.0,,,35-42,,T. Burke enters the game for R. Neto
3:43.0,M. Conley makes free throw 2 of 2,1,36-42,,
3:24.0,,,36-42,,J. Withey misses 2-pt shot from 1 ft (block by M. Gasol)
3:22.0,Defensive rebound by Z. Randolph,,36-42,,
3:11.0,Turnover by M. Gasol (bad pass; steal by J. Withey),,36-42,,
3:05.0,,,36-44,2,G. Hayward makes 2-pt shot from 14 ft
2:53.0,,,36-44,,Def 3 sec tech foul by R. Hood
2:53.0,,,36-44,,Utah full timeout
2:53.0,M. Conley misses technical free throw,,36-44,,
2:53.0,Offensive rebound by Team,,36-44,,
2:41.0,M. Gasol makes 2-pt shot from 4 ft,2,38-44,,
2:25.0,,,38-44,,T. Burke misses 3-pt shot from 24 ft
2:24.0,Defensive rebound by T. Allen,,38-44,,
2:08.0,Turnover by Z. Randolph (lost ball),,38-44,,
1:49.0,,,38-44,,Offensive foul by J. Withey
1:49.0,,,38-44,,Turnover by J. Withey (offensive foul)
1:49.0,,,38-44,,T. Lyles enters the game for J. Withey
1:32.0,Z. Randolph makes 2-pt shot from 5 ft,2,40-44,,
1:20.0,,,40-44,,Turnover by R. Hood (bad pass; steal by M. Conley)
1:08.0,M. Gasol makes 2-pt shot from 17 ft (assist by M. Conley),2,42-44,,
0:51.0,,,42-44,,Turnover by G. Hayward (lost ball; steal by Z. Randolph)
0:45.0,M. Conley makes 3-pt shot from 24 ft (assist by Z. Randolph),3,45-44,,
0:44.0,,,45-44,,Utah full timeout
0:27.0,,,45-46,2,T. Lyles makes 2-pt shot from 9 ft
0:08.0,M. Conley misses 3-pt shot from 24 ft,,45-46,,
0:08.0,,,45-46,,Defensive rebound by T. Booker
0:01.0,,,45-46,,R. Hood misses 3-pt shot from 24 ft
0:00.0,,,45-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,M. Conley makes 3-pt shot from 23 ft (assist by M. Gasol),3,48-46,,
11:12.0,,,48-48,2,J. Withey makes 2-pt shot from 2 ft (assist by G. Hayward)
10:57.0,J. Green misses 2-pt shot from 2 ft,,48-48,,
10:57.0,,,48-48,,Defensive rebound by J. Withey
10:43.0,,,48-50,2,G. Hayward makes 2-pt shot from 13 ft
10:16.0,,,48-50,,Def 3 sec tech foul by J. Withey
10:16.0,C. Lee makes technical free throw,1,49-50,,
10:06.0,Turnover by M. Gasol (lost ball),,49-50,,
9:53.0,,,49-50,,R. Hood misses 2-pt shot from 6 ft
9:53.0,Defensive rebound by M. Conley,,49-50,,
9:47.0,C. Lee makes 2-pt shot from 3 ft,2,51-50,,
9:47.0,Shooting foul by R. Hood (drawn by C. Lee),,51-50,,
9:47.0,C. Lee misses free throw 1 of 1,,51-50,,
9:46.0,,,51-50,,Defensive rebound by T. Lyles
9:26.0,,,51-50,,R. Neto misses 2-pt shot from 9 ft
9:26.0,Defensive rebound by J. Green,,51-50,,
9:12.0,M. Gasol misses 2-pt shot from 17 ft,,51-50,,
9:12.0,,,51-50,,Defensive rebound by J. Withey
9:10.0,Personal foul by T. Allen (drawn by J. Withey),,51-50,,
8:46.0,,,51-50,,R. Neto misses 3-pt shot from 23 ft
8:46.0,Defensive rebound by M. Gasol,,51-50,,
8:42.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol),2,53-50,,
8:42.0,,,53-50,,Utah full timeout
8:23.0,,,53-50,,R. Neto misses 3-pt shot from 24 ft
8:22.0,,,53-50,,Offensive rebound by J. Withey
8:22.0,,,53-52,2,J. Withey makes 2-pt shot from 1 ft
8:03.0,J. Green misses 2-pt shot from 3 ft (block by J. Withey),,53-52,,
8:01.0,,,53-52,,Defensive rebound by J. Withey
7:55.0,,,53-55,3,T. Lyles makes 3-pt shot from 23 ft (assist by R. Neto)
7:30.0,J. Green makes 2-pt shot from 21 ft (assist by C. Lee),2,55-55,,
7:05.0,,,55-55,,Turnover by T. Lyles (bad pass; steal by C. Lee)
6:56.0,M. Gasol makes 2-pt shot from 18 ft (assist by C. Lee),2,57-55,,
6:29.0,,,57-58,3,G. Hayward makes 3-pt shot from 24 ft (assist by T. Lyles)
6:10.0,T. Allen misses 2-pt shot from 2 ft,,57-58,,
6:09.0,Offensive rebound by T. Allen,,57-58,,
6:08.0,T. Allen makes 2-pt shot from 1 ft,2,59-58,,
6:08.0,Shooting foul by G. Hayward (drawn by T. Allen),,59-58,,
6:08.0,,,59-58,,T. Booker enters the game for T. Lyles
6:08.0,,,59-58,,T. Burke enters the game for R. Neto
6:08.0,T. Allen makes free throw 1 of 1,1,60-58,,
5:50.0,,,60-58,,G. Hayward misses 3-pt shot from 24 ft
5:48.0,Defensive rebound by C. Lee,,60-58,,
5:41.0,J. Green makes 2-pt shot from 17 ft,2,62-58,,
5:24.0,,,62-58,,R. Hood misses 2-pt shot from 2 ft
5:24.0,,,62-58,,Offensive rebound by J. Withey
5:24.0,,,62-58,,Shooting foul by M. Gasol (drawn by J. Withey)
5:24.0,,,62-58,,J. Withey misses free throw 1 of 2
5:24.0,,,62-58,,Offensive rebound by Team
5:24.0,,,62-58,,J. Withey misses free throw 2 of 2
5:23.0,Defensive rebound by J. Green,,62-58,,
5:02.0,M. Gasol misses 2-pt shot from 6 ft (block by J. Withey),,62-58,,
5:02.0,,,62-58,,Defensive rebound by Team
5:02.0,Personal foul by J. Green (drawn by T. Burke),,62-58,,
5:02.0,,,62-58,,J. Ingles enters the game for R. Hood
4:49.0,,,62-58,,J. Withey misses 2-pt shot from 6 ft (block by M. Gasol)
4:49.0,,,62-58,,Offensive rebound by Team
4:41.0,,,62-58,,J. Withey misses 2-pt shot at rim
4:41.0,Defensive rebound by J. Green,,62-58,,
4:21.0,T. Allen misses 2-pt shot from 5 ft,,62-58,,
4:20.0,,,62-58,,Defensive rebound by J. Withey
4:04.0,,,62-58,,G. Hayward misses 3-pt shot from 24 ft
4:04.0,Defensive rebound by Team,,62-58,,
4:04.0,,,62-58,,T. Pleiss enters the game for J. Withey
4:04.0,Z. Randolph enters the game for T. Allen,,62-58,,
3:48.0,M. Gasol makes 2-pt shot from 14 ft (assist by Z. Randolph),2,64-58,,
3:28.0,,,64-58,,T. Burke misses 3-pt shot from 25 ft
3:27.0,Defensive rebound by M. Gasol,,64-58,,
3:18.0,,,64-58,,Personal foul by T. Booker (drawn by Z. Randolph)
3:04.0,J. Green misses 3-pt shot from 25 ft,,64-58,,
3:03.0,,,64-58,,Defensive rebound by G. Hayward
2:47.0,,,64-60,2,T. Burke makes 2-pt shot from 4 ft
2:43.0,Memphis full timeout,,64-60,,
2:43.0,,,64-60,,C. Johnson enters the game for G. Hayward
2:43.0,M. Chalmers enters the game for M. Conley,,64-60,,
2:23.0,Z. Randolph makes 2-pt shot from 15 ft,2,66-60,,
1:59.0,,,66-60,,J. Ingles misses 3-pt shot from 23 ft
1:59.0,Defensive rebound by Team,,66-60,,
1:59.0,,,66-60,,Personal foul by T. Booker (drawn by M. Gasol)
1:43.0,,,66-60,,Personal foul by T. Booker (drawn by Z. Randolph)
1:43.0,Z. Randolph misses free throw 1 of 2,,66-60,,
1:43.0,Offensive rebound by Team,,66-60,,
1:43.0,Z. Randolph misses free throw 2 of 2,,66-60,,
1:42.0,,,66-60,,Defensive rebound by T. Pleiss
1:27.0,,,66-60,,J. Ingles misses 2-pt shot from 19 ft
1:26.0,Defensive rebound by J. Green,,66-60,,
1:17.0,Z. Randolph misses 2-pt shot from 8 ft,,66-60,,
1:16.0,,,66-60,,Defensive rebound by C. Johnson
1:09.0,,,66-63,3,J. Ingles makes 3-pt shot from 24 ft
0:49.0,C. Lee makes 3-pt shot from 23 ft (assist by M. Chalmers),3,69-63,,
0:37.0,,,69-65,2,T. Burke makes 2-pt shot from 18 ft
0:37.0,,,69-65,,Shooting foul by Z. Randolph (drawn by T. Burke)
0:37.0,,,69-66,1,T. Burke makes free throw 1 of 1
0:28.0,M. Chalmers misses 2-pt shot from 7 ft,,69-66,,
0:27.0,,,69-66,,Defensive rebound by T. Pleiss
0:05.0,,,69-66,,C. Johnson misses 2-pt shot from 9 ft
0:05.0,Defensive rebound by J. Green,,69-66,,
0:01.0,J. Green misses 3-pt shot from 24 ft,,69-66,,
0:00.0,Offensive rebound by Team,,69-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,69-66,,Offensive foul by T. Pleiss
11:49.0,,,69-66,,Turnover by T. Pleiss (offensive foul)
11:33.0,C. Lee misses 2-pt shot from 19 ft,,69-66,,
11:33.0,,,69-66,,Defensive rebound by R. Hood
11:19.0,,,69-68,2,T. Pleiss makes 2-pt shot from 18 ft (assist by T. Burke)
10:50.0,Z. Randolph misses 2-pt shot from 20 ft,,69-68,,
10:49.0,Offensive rebound by R. Hollins,,69-68,,
10:42.0,M. Chalmers misses 2-pt shot from 17 ft,,69-68,,
10:41.0,,,69-68,,Defensive rebound by T. Booker
10:28.0,,,69-68,,J. Ingles misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by C. Lee,,69-68,,
10:19.0,Shooting foul by T. Booker (drawn by J. Green),,69-68,,
10:19.0,J. Green misses free throw 1 of 2,,69-68,,
10:19.0,Offensive rebound by Team,,69-68,,
10:19.0,J. Green misses free throw 2 of 2,,69-68,,
10:19.0,,,69-68,,Defensive rebound by Team
10:19.0,Personal foul by Z. Randolph (drawn by T. Booker),,69-68,,
10:10.0,,,69-68,,T. Burke misses 2-pt shot from 3 ft (block by R. Hollins)
10:10.0,,,69-68,,Offensive rebound by Team
10:10.0,V. Carter enters the game for R. Hollins,,69-68,,
10:08.0,,,69-68,,G. Hayward enters the game for J. Ingles
9:59.0,,,69-68,,Shooting foul by J. Green (drawn by R. Hood)
9:59.0,,,69-69,1,R. Hood makes free throw 1 of 2
9:59.0,,,69-69,,R. Neto enters the game for T. Burke
9:59.0,,,69-70,1,R. Hood makes free throw 2 of 2
9:42.0,Z. Randolph makes 2-pt shot from 2 ft,2,71-70,,
9:24.0,Personal foul by C. Lee (drawn by G. Hayward),,71-70,,
9:24.0,,,71-70,,J. Withey enters the game for T. Pleiss
9:17.0,Personal foul by M. Chalmers (drawn by R. Neto),,71-70,,
9:17.0,,,71-70,,J. Ingles enters the game for T. Booker
9:04.0,,,71-73,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward)
8:50.0,Z. Randolph misses 2-pt shot from 2 ft,,71-73,,
8:49.0,,,71-73,,Defensive rebound by R. Hood
8:37.0,,,71-73,,R. Hood misses 2-pt shot from 5 ft
8:36.0,Defensive rebound by J. Green,,71-73,,
8:36.0,Memphis full timeout,,71-73,,
8:36.0,M. Gasol enters the game for V. Carter,,71-73,,
8:36.0,M. Conley enters the game for M. Chalmers,,71-73,,
8:14.0,M. Conley misses 2-pt shot from 18 ft,,71-73,,
8:13.0,,,71-73,,Defensive rebound by G. Hayward
7:57.0,,,71-73,,J. Ingles misses 3-pt shot from 24 ft
7:56.0,Defensive rebound by M. Conley,,71-73,,
7:43.0,Z. Randolph misses 2-pt shot from 3 ft,,71-73,,
7:42.0,,,71-73,,Defensive rebound by R. Hood
7:30.0,,,71-73,,Offensive charge foul by R. Hood
7:30.0,,,71-73,,Turnover by R. Hood (offensive foul)
7:30.0,T. Allen enters the game for J. Green,,71-73,,
7:30.0,,,71-73,,T. Booker enters the game for J. Ingles
7:16.0,M. Gasol misses 2-pt shot from 18 ft,,71-73,,
7:14.0,,,71-73,,Defensive rebound by R. Neto
7:06.0,,,71-73,,R. Neto misses 2-pt shot from 10 ft
7:05.0,Defensive rebound by T. Allen,,71-73,,
6:50.0,M. Conley makes 2-pt shot from 2 ft,2,73-73,,
6:50.0,Shooting foul by J. Withey (drawn by M. Conley),,73-73,,
6:50.0,,,73-73,,T. Burke enters the game for R. Neto
6:50.0,M. Conley makes free throw 1 of 1,1,74-73,,
6:33.0,,,74-75,2,R. Hood makes 2-pt shot from 7 ft
6:06.0,C. Lee misses 2-pt shot from 3 ft,,74-75,,
6:06.0,,,74-75,,Defensive rebound by T. Burke
5:50.0,,,74-78,3,R. Hood makes 3-pt shot from 25 ft (assist by J. Withey)
5:33.0,Turnover by M. Gasol (lost ball; steal by G. Hayward),,74-78,,
5:30.0,Personal foul by T. Allen (drawn by G. Hayward),,74-78,,
5:30.0,,,74-78,,Utah full timeout
5:30.0,J. Green enters the game for Z. Randolph,,74-78,,
5:30.0,,,74-79,1,G. Hayward makes free throw 1 of 2
5:30.0,,,74-79,,G. Hayward misses free throw 2 of 2
5:29.0,Defensive rebound by T. Allen,,74-79,,
5:10.0,M. Conley misses 3-pt shot from 24 ft,,74-79,,
5:09.0,Offensive rebound by J. Green,,74-79,,
5:00.0,M. Conley misses 3-pt shot from 24 ft,,74-79,,
4:59.0,,,74-79,,Defensive rebound by T. Booker
4:46.0,,,74-79,,Turnover by J. Withey (lost ball)
4:35.0,M. Conley misses 2-pt shot from 2 ft,,74-79,,
4:34.0,,,74-79,,Defensive rebound by R. Hood
4:28.0,,,74-79,,T. Burke misses 3-pt shot from 23 ft
4:26.0,Defensive rebound by Team,,74-79,,
4:14.0,M. Conley misses 2-pt shot from 1 ft (block by J. Withey),,74-79,,
4:13.0,Offensive rebound by M. Gasol,,74-79,,
4:10.0,M. Gasol misses 2-pt shot at rim (block by R. Hood),,74-79,,
4:08.0,Offensive rebound by M. Gasol,,74-79,,
4:05.0,T. Allen misses 2-pt shot from 1 ft (block by T. Booker),,74-79,,
4:03.0,,,74-79,,Defensive rebound by J. Withey
3:43.0,,,74-79,,Turnover by T. Burke (lost ball; steal by T. Allen)
3:40.0,Shooting foul by R. Hood (drawn by C. Lee),,74-79,,
3:40.0,C. Lee makes free throw 1 of 2,1,75-79,,
3:40.0,C. Lee makes free throw 2 of 2,1,76-79,,
3:23.0,,,76-79,,Turnover by T. Booker (back court)
2:59.0,M. Gasol misses 2-pt shot from 16 ft,,76-79,,
2:58.0,Offensive rebound by M. Conley,,76-79,,
2:53.0,M. Gasol makes 2-pt shot from 7 ft (assist by M. Conley),2,78-79,,
2:53.0,,,78-79,,Utah full timeout
2:34.0,,,78-79,,G. Hayward misses 2-pt shot from 17 ft
2:32.0,,,78-79,,Offensive rebound by T. Booker
2:29.0,,,78-79,,Turnover by T. Burke (bad pass; steal by C. Lee)
2:26.0,C. Lee makes 2-pt shot from 1 ft,2,80-79,,
2:09.0,,,80-81,2,R. Hood makes 2-pt shot from 8 ft
1:51.0,Turnover by J. Green (bad pass),,80-81,,
1:39.0,,,80-83,2,J. Withey makes 2-pt shot at rim (assist by T. Booker)
1:39.0,Memphis full timeout,,80-83,,
1:27.0,,,80-83,,Personal foul by J. Withey (drawn by M. Gasol)
1:27.0,M. Gasol makes free throw 1 of 2,1,81-83,,
1:27.0,M. Gasol makes free throw 2 of 2,1,82-83,,
1:04.0,,,82-83,,T. Burke misses 2-pt shot from 5 ft (block by M. Conley)
1:03.0,Defensive rebound by J. Green,,82-83,,
0:42.0,C. Lee makes 2-pt shot from 2 ft,2,84-83,,
0:42.0,,,84-83,,Utah full timeout
0:28.0,,,84-83,,Shooting foul by J. Green (drawn by R. Hood)
0:28.0,,,84-84,1,R. Hood makes free throw 1 of 2
0:28.0,,,84-84,,C. Johnson enters the game for T. Burke
0:28.0,,,84-84,,R. Hood misses free throw 2 of 2
0:27.0,,,84-84,,Offensive rebound by T. Booker
0:23.0,,,84-84,,Turnover by T. Booker (back court)
0:23.0,Memphis full timeout,,84-84,,
0:23.0,Z. Randolph enters the game for T. Allen,,84-84,,
0:01.0,M. Gasol misses 2-pt shot from 18 ft,,84-84,,
0:01.0,,,84-84,,Defensive rebound by C. Johnson
0:01.0,,,84-84,,Utah full timeout
