time,Miami,pts.away,score,pts.home,Indiana
9:30.0,,,25-24,2,G. Hill makes 2-pt shot from 1 ft (assist by C. Budinger)
9:09.0,C. Bosh makes 2-pt shot from 16 ft (assist by G. Dragic),2,27-24,,
8:56.0,,,27-26,2,J. Hill makes 2-pt shot from 1 ft (assist by C. Miles)
8:41.0,G. Dragic misses 2-pt shot from 3 ft (block by J. Hill),,27-26,,
8:41.0,,,27-26,,Defensive rebound by Team
8:41.0,Official timeout,,27-26,,
8:41.0,,,27-26,,I. Mahinmi enters the game for J. Hill
8:21.0,,,27-28,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by C. Budinger)
7:58.0,G. Green misses 3-pt shot from 24 ft,,27-28,,
7:58.0,,,27-28,,Defensive rebound by I. Mahinmi
7:42.0,,,27-28,,G. Hill misses 3-pt shot from 22 ft
7:41.0,Defensive rebound by C. Bosh,,27-28,,
7:29.0,C. Bosh makes 3-pt shot from 23 ft (assist by G. Dragic),3,30-28,,
7:14.0,,,30-28,,C. Miles misses 2-pt shot from 3 ft
7:14.0,Defensive rebound by C. Bosh,,30-28,,
7:04.0,G. Dragic makes 2-pt shot from 11 ft,2,32-28,,
6:51.0,,,32-28,,C. Budinger misses 3-pt shot from 24 ft
6:50.0,Defensive rebound by C. Bosh,,32-28,,
6:46.0,Offensive charge foul by G. Dragic,,32-28,,
6:46.0,Turnover by G. Dragic (offensive foul),,32-28,,
6:46.0,D. Wade enters the game for C. Bosh,,32-28,,
6:46.0,H. Whiteside enters the game for J. Richardson,,32-28,,
6:46.0,B. Udrih enters the game for G. Dragic,,32-28,,
6:25.0,,,32-31,3,C. Miles makes 3-pt shot from 25 ft (assist by G. Hill)
6:20.0,Miami full timeout,,32-31,,
6:11.0,D. Wade makes 2-pt shot from 17 ft,2,34-31,,
5:53.0,,,34-31,,I. Mahinmi misses 2-pt shot from 1 ft
5:52.0,Defensive rebound by H. Whiteside,,34-31,,
5:44.0,G. Green makes 3-pt shot from 24 ft (assist by D. Wade),3,37-31,,
5:32.0,,,37-31,,C. Budinger misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by G. Green,,37-31,,
5:15.0,D. Wade makes 2-pt shot from 10 ft,2,39-31,,
5:14.0,,,39-31,,Indiana full timeout
5:14.0,,,39-31,,M. Ellis enters the game for G. Hill
5:14.0,,,39-31,,P. George enters the game for C. Miles
5:01.0,,,39-34,3,M. Ellis makes 3-pt shot from 25 ft (assist by C. Budinger)
4:46.0,D. Wade misses 2-pt shot from 15 ft,,39-34,,
4:45.0,,,39-34,,Defensive rebound by P. George
4:38.0,,,39-36,2,P. George makes 2-pt shot from 2 ft
4:38.0,Shooting block foul by H. Whiteside (drawn by P. George),,39-36,,
4:38.0,C. Bosh enters the game for H. Whiteside,,39-36,,
4:38.0,L. Deng enters the game for G. Green,,39-36,,
4:38.0,,,39-37,1,P. George makes free throw 1 of 1
4:15.0,B. Udrih misses 2-pt shot from 14 ft,,39-37,,
4:15.0,,,39-37,,Defensive rebound by I. Mahinmi
4:04.0,,,39-37,,R. Stuckey misses 2-pt shot from 18 ft
4:03.0,,,39-37,,Offensive rebound by I. Mahinmi
3:54.0,,,39-37,,P. George misses 2-pt shot from 15 ft
3:54.0,Defensive rebound by C. Bosh,,39-37,,
3:46.0,D. Wade makes 2-pt shot from 2 ft (assist by B. Udrih),2,41-37,,
3:30.0,,,41-37,,Turnover by P. George (bad pass; steal by L. Deng)
3:26.0,Turnover by B. Udrih (bad pass; steal by M. Ellis),,41-37,,
3:14.0,,,41-37,,R. Stuckey misses 2-pt shot from 1 ft (block by C. Bosh)
3:13.0,Defensive rebound by B. Udrih,,41-37,,
3:02.0,Shooting foul by R. Stuckey (drawn by C. Bosh),,41-37,,
3:02.0,C. Bosh misses free throw 1 of 2,,41-37,,
3:02.0,Offensive rebound by Team,,41-37,,
3:02.0,,,41-37,,C. Miles enters the game for C. Budinger
3:02.0,,,41-37,,G. Hill enters the game for R. Stuckey
3:02.0,C. Bosh makes free throw 2 of 2,1,42-37,,
2:37.0,,,42-40,3,M. Ellis makes 3-pt shot from 25 ft (assist by G. Hill)
2:25.0,,,42-40,,Personal foul by P. George (drawn by L. Deng)
2:20.0,Turnover by C. Bosh (lost ball; steal by M. Ellis),,42-40,,
2:15.0,,,42-40,,Shooting foul by J. Winslow (drawn by P. George)
2:15.0,,,42-41,1,P. George makes free throw 1 of 2
2:15.0,,,42-42,1,P. George makes free throw 2 of 2
2:00.0,D. Wade misses 2-pt shot from 14 ft,,42-42,,
2:00.0,,,42-42,,Defensive rebound by P. George
1:45.0,,,42-42,,C. Miles misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by J. Winslow,,42-42,,
1:36.0,,,42-42,,Violation by I. Mahinmi (kicked ball)
1:25.0,L. Deng makes 2-pt shot from 1 ft,2,44-42,,
1:12.0,,,44-42,,Shooting foul by L. Deng (drawn by P. George)
1:12.0,,,44-43,1,P. George makes free throw 1 of 3
1:12.0,,,44-44,1,P. George makes free throw 2 of 3
1:12.0,,,44-45,1,P. George makes free throw 3 of 3
0:57.0,C. Bosh misses 3-pt shot from 24 ft,,44-45,,
0:57.0,,,44-45,,Defensive rebound by P. George
0:52.0,Personal foul by L. Deng (drawn by P. George),,44-45,,
0:52.0,,,44-46,1,P. George makes free throw 1 of 2
0:52.0,G. Green enters the game for L. Deng,,44-46,,
0:52.0,,,44-47,1,P. George makes free throw 2 of 2
0:44.0,B. Udrih makes 2-pt shot from 2 ft,2,46-47,,
0:38.0,,,46-47,,P. George misses 3-pt shot from 26 ft
0:37.0,Defensive rebound by D. Wade,,46-47,,
0:28.0,D. Wade makes 2-pt shot from 11 ft,2,48-47,,
0:23.0,,,48-47,,Indiana full timeout
0:09.0,Violation by D. Wade (kicked ball),,48-47,,
0:04.0,,,48-47,,G. Hill misses 2-pt shot from 3 ft
0:04.0,Defensive rebound by J. Winslow,,48-47,,
0:02.0,,,48-47,,Personal take foul by P. George (drawn by B. Udrih)
0:02.0,Miami full timeout,,48-47,,
0:02.0,,,48-47,,C. Budinger enters the game for P. George
0:02.0,Turnover by J. Winslow (bad pass; steal by M. Ellis),,48-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,C. Bosh misses 2-pt shot from 16 ft,,48-47,,
11:46.0,,,48-47,,Defensive rebound by P. George
11:37.0,,,48-47,,I. Mahinmi misses 2-pt shot from 2 ft
11:37.0,Defensive rebound by Team,,48-47,,
11:37.0,,,48-47,,Personal foul by L. Allen (drawn by C. Bosh)
11:29.0,Offensive foul by G. Dragic,,48-47,,
11:29.0,Turnover by G. Dragic (offensive foul),,48-47,,
11:15.0,,,48-49,2,P. George makes 2-pt shot from 15 ft
10:53.0,C. Bosh misses 2-pt shot from 2 ft (block by I. Mahinmi),,48-49,,
10:52.0,,,48-49,,Defensive rebound by P. George
10:43.0,,,48-51,2,L. Allen makes 2-pt shot from 19 ft (assist by G. Hill)
10:22.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,50-51,,
10:10.0,,,50-51,,M. Ellis misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by H. Whiteside,,50-51,,
9:59.0,L. Deng makes 3-pt shot from 22 ft (assist by D. Wade),3,53-51,,
9:47.0,,,53-51,,G. Hill misses 2-pt shot from 15 ft
9:47.0,Defensive rebound by H. Whiteside,,53-51,,
9:31.0,Shooting foul by I. Mahinmi (drawn by C. Bosh),,53-51,,
9:31.0,C. Bosh misses free throw 1 of 2,,53-51,,
9:31.0,Offensive rebound by Team,,53-51,,
9:31.0,C. Bosh makes free throw 2 of 2,1,54-51,,
9:21.0,,,54-53,2,G. Hill makes 2-pt shot from 2 ft (assist by M. Ellis)
8:57.0,H. Whiteside makes 2-pt shot from 2 ft (assist by D. Wade),2,56-53,,
8:57.0,Shooting foul by M. Ellis (drawn by H. Whiteside),,56-53,,
8:57.0,H. Whiteside misses free throw 1 of 1,,56-53,,
8:57.0,,,56-53,,Defensive rebound by I. Mahinmi
8:45.0,,,56-53,,P. George misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by G. Dragic,,56-53,,
8:29.0,L. Deng misses 3-pt shot from 26 ft,,56-53,,
8:29.0,,,56-53,,Defensive rebound by L. Allen
8:21.0,,,56-53,,M. Ellis misses 2-pt shot at rim
8:21.0,,,56-53,,Offensive rebound by Team
8:07.0,,,56-53,,Turnover by L. Allen (3 sec)
7:55.0,Turnover by G. Dragic (lost ball; steal by P. George),,56-53,,
7:50.0,,,56-53,,M. Ellis misses 2-pt shot from 3 ft
7:50.0,Defensive rebound by D. Wade,,56-53,,
7:39.0,D. Wade misses 2-pt shot from 16 ft,,56-53,,
7:38.0,,,56-53,,Defensive rebound by I. Mahinmi
7:29.0,,,56-55,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by M. Ellis)
7:05.0,D. Wade misses 2-pt shot from 3 ft,,56-55,,
7:04.0,,,56-55,,Defensive rebound by G. Hill
6:58.0,,,56-55,,G. Hill misses 2-pt shot from 2 ft (block by C. Bosh)
6:57.0,,,56-55,,Offensive rebound by L. Allen
6:56.0,,,56-55,,L. Allen misses 2-pt shot from 1 ft (block by H. Whiteside)
6:55.0,,,56-55,,Offensive rebound by G. Hill
6:54.0,,,56-58,3,P. George makes 3-pt shot from 24 ft (assist by G. Hill)
6:52.0,Miami full timeout,,56-58,,
6:52.0,J. Winslow enters the game for C. Bosh,,56-58,,
6:32.0,D. Wade makes 2-pt shot from 17 ft,2,58-58,,
6:23.0,,,58-58,,Indiana full timeout
6:23.0,,,58-58,,C. Miles enters the game for L. Allen
6:09.0,,,58-58,,C. Miles misses 2-pt shot from 2 ft (block by H. Whiteside)
6:08.0,Defensive rebound by G. Dragic,,58-58,,
6:02.0,J. Winslow misses 2-pt shot from 2 ft,,58-58,,
6:02.0,,,58-58,,Defensive rebound by P. George
5:56.0,,,58-60,2,M. Ellis makes 2-pt shot from 2 ft (assist by P. George)
5:36.0,,,58-60,,Personal foul by M. Ellis (drawn by D. Wade)
5:20.0,D. Wade misses 2-pt shot from 15 ft,,58-60,,
5:19.0,,,58-60,,Defensive rebound by I. Mahinmi
5:10.0,,,58-60,,P. George misses 2-pt shot from 14 ft
5:09.0,Defensive rebound by H. Whiteside,,58-60,,
4:52.0,D. Wade misses 2-pt shot from 9 ft,,58-60,,
4:52.0,Offensive rebound by L. Deng,,58-60,,
4:51.0,L. Deng makes 2-pt shot at rim,2,60-60,,
4:28.0,,,60-60,,C. Miles misses 3-pt shot from 25 ft
4:27.0,Defensive rebound by H. Whiteside,,60-60,,
4:21.0,J. Winslow makes 2-pt shot from 2 ft (assist by G. Dragic),2,62-60,,
4:11.0,,,62-62,2,P. George makes 2-pt shot from 15 ft
3:48.0,Turnover by J. Winslow (lost ball; steal by M. Ellis),,62-62,,
3:42.0,,,62-64,2,P. George makes 2-pt shot from 2 ft (assist by M. Ellis)
3:22.0,L. Deng misses 3-pt shot from 22 ft,,62-64,,
3:21.0,,,62-64,,Defensive rebound by G. Hill
3:14.0,,,62-66,2,C. Miles makes 2-pt shot from 11 ft
3:06.0,Miami full timeout,,62-66,,
3:06.0,,,62-66,,R. Stuckey enters the game for G. Hill
3:06.0,G. Green enters the game for D. Wade,,62-66,,
2:55.0,L. Deng misses 2-pt shot from 7 ft,,62-66,,
2:54.0,Offensive rebound by H. Whiteside,,62-66,,
2:54.0,H. Whiteside makes 2-pt shot from 1 ft,2,64-66,,
2:38.0,,,64-68,2,M. Ellis makes 2-pt shot from 18 ft
2:25.0,,,64-68,,Shooting block foul by M. Ellis (drawn by G. Dragic)
2:25.0,G. Dragic makes free throw 1 of 2,1,65-68,,
2:25.0,G. Dragic misses free throw 2 of 2,,65-68,,
2:25.0,,,65-68,,Defensive rebound by C. Miles
2:00.0,,,65-68,,P. George misses 2-pt shot from 23 ft
2:00.0,Defensive rebound by G. Dragic,,65-68,,
1:58.0,Turnover by G. Dragic (bad pass),,65-68,,
1:40.0,,,65-70,2,I. Mahinmi makes 2-pt shot from 2 ft
1:40.0,Violation by L. Deng (def goaltending),,65-70,,
1:15.0,G. Green makes 3-pt shot from 26 ft (assist by L. Deng),3,68-70,,
0:59.0,,,68-72,2,M. Ellis makes 2-pt shot from 13 ft
0:41.0,G. Dragic misses 3-pt shot from 25 ft,,68-72,,
0:41.0,,,68-72,,Defensive rebound by P. George
0:30.0,,,68-75,3,M. Ellis makes 3-pt shot from 26 ft (assist by R. Stuckey)
0:10.0,J. Winslow misses 3-pt shot from 24 ft,,68-75,,
0:06.0,,,68-75,,Defensive rebound by M. Ellis
0:03.0,,,68-77,2,C. Miles makes 2-pt shot at rim (assist by M. Ellis)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,68-77,,Turnover by J. Hill (bad pass)
11:30.0,C. Bosh makes 2-pt shot from 4 ft,2,70-77,,
11:18.0,,,70-77,,Turnover by C. Budinger (lost ball; steal by G. Green)
11:10.0,Turnover by J. Winslow (bad pass; steal by J. Hill),,70-77,,
11:07.0,,,70-77,,Shooting foul by J. Richardson (drawn by C. Miles)
11:07.0,,,70-77,,C. Miles misses free throw 1 of 2
11:07.0,,,70-77,,Offensive rebound by Team
11:07.0,,,70-78,1,C. Miles makes free throw 2 of 2
10:45.0,G. Green misses 2-pt shot from 15 ft,,70-78,,
10:45.0,,,70-78,,Defensive rebound by C. Miles
10:38.0,Personal foul by J. Richardson (drawn by R. Stuckey),,70-78,,
10:30.0,,,70-80,2,C. Miles makes 2-pt shot from 13 ft
10:16.0,J. Winslow misses 2-pt shot from 19 ft,,70-80,,
10:15.0,,,70-80,,Defensive rebound by J. Hill
10:04.0,,,70-80,,Shooting foul by G. Green (drawn by C. Budinger)
10:04.0,,,70-81,1,C. Budinger makes free throw 1 of 2
10:04.0,D. Wade enters the game for J. Richardson,,70-81,,
10:04.0,,,70-81,,C. Budinger misses free throw 2 of 2
10:03.0,Defensive rebound by Team,,70-81,,
10:03.0,,,70-81,,Loose ball foul by J. Hill (drawn by C. Bosh)
9:54.0,C. Bosh misses 2-pt shot from 6 ft (block by C. Miles),,70-81,,
9:53.0,,,70-81,,Defensive rebound by G. Hill
9:49.0,,,70-81,,Turnover by R. Stuckey (bad pass; steal by G. Green)
9:41.0,G. Green makes 3-pt shot from 25 ft,3,73-81,,
9:21.0,,,73-81,,C. Miles misses 3-pt shot from 26 ft
9:20.0,Defensive rebound by D. Wade,,73-81,,
9:05.0,Turnover by B. Udrih (lost ball; steal by G. Hill),,73-81,,
8:59.0,,,73-83,2,R. Stuckey makes 2-pt shot from 3 ft (assist by C. Miles)
8:36.0,Shooting foul by J. Hill (drawn by C. Bosh),,73-83,,
8:36.0,Official timeout,,73-83,,
8:36.0,C. Bosh makes free throw 1 of 2,1,74-83,,
8:36.0,C. Bosh makes free throw 2 of 2,1,75-83,,
8:12.0,,,75-83,,C. Miles misses 2-pt shot from 3 ft
8:11.0,Defensive rebound by C. Bosh,,75-83,,
8:04.0,D. Wade misses 2-pt shot from 17 ft,,75-83,,
8:04.0,,,75-83,,Defensive rebound by C. Miles
7:58.0,,,75-83,,Turnover by C. Budinger (bad pass; steal by B. Udrih)
7:49.0,Shooting foul by C. Miles (drawn by C. Bosh),,75-83,,
7:49.0,C. Bosh makes free throw 1 of 2,1,76-83,,
7:49.0,,,76-83,,P. George enters the game for C. Budinger
7:49.0,,,76-83,,I. Mahinmi enters the game for J. Hill
7:49.0,L. Deng enters the game for J. Winslow,,76-83,,
7:49.0,C. Bosh makes free throw 2 of 2,1,77-83,,
7:23.0,,,77-83,,C. Miles misses 3-pt shot from 31 ft
7:22.0,Defensive rebound by C. Bosh,,77-83,,
7:16.0,Offensive foul by C. Bosh,,77-83,,
7:16.0,Turnover by C. Bosh (offensive foul),,77-83,,
6:55.0,,,77-83,,G. Hill misses 3-pt shot from 25 ft
6:54.0,,,77-83,,Offensive rebound by C. Miles
6:50.0,Violation by L. Deng (kicked ball),,77-83,,
6:50.0,,,77-83,,Violation by Team (delay of game)
6:50.0,,,77-83,,M. Ellis enters the game for G. Hill
6:35.0,,,77-85,2,I. Mahinmi makes 2-pt shot from 3 ft (assist by M. Ellis)
6:16.0,D. Wade makes 2-pt shot from 16 ft,2,79-85,,
6:02.0,,,79-88,3,M. Ellis makes 3-pt shot from 26 ft (assist by I. Mahinmi)
5:36.0,C. Bosh makes 2-pt shot from 16 ft (assist by D. Wade),2,81-88,,
5:19.0,,,81-88,,C. Miles misses 3-pt shot from 27 ft
5:18.0,Defensive rebound by D. Wade,,81-88,,
5:09.0,D. Wade misses 2-pt shot from 15 ft,,81-88,,
5:08.0,,,81-88,,Defensive rebound by C. Miles
4:54.0,,,81-88,,R. Stuckey misses 3-pt shot from 22 ft
4:54.0,Defensive rebound by B. Udrih,,81-88,,
4:44.0,G. Green misses 2-pt shot from 12 ft,,81-88,,
4:44.0,,,81-88,,Defensive rebound by I. Mahinmi
4:34.0,,,81-88,,P. George misses 2-pt shot from 2 ft (block by C. Bosh)
4:34.0,Defensive rebound by Team,,81-88,,
4:34.0,,,81-88,,Indiana full timeout
4:34.0,G. Dragic enters the game for B. Udrih,,81-88,,
4:16.0,D. Wade misses 2-pt shot from 18 ft,,81-88,,
4:16.0,,,81-88,,Defensive rebound by I. Mahinmi
3:52.0,,,81-90,2,M. Ellis makes 2-pt shot from 19 ft (assist by P. George)
3:44.0,,,81-90,,Personal foul by M. Ellis (drawn by G. Dragic)
3:30.0,D. Wade misses 2-pt shot from 8 ft,,81-90,,
3:30.0,,,81-90,,Defensive rebound by P. George
3:11.0,,,81-92,2,P. George makes 2-pt shot from 2 ft
2:53.0,D. Wade makes 2-pt shot from 1 ft,2,83-92,,
2:36.0,,,83-92,,M. Ellis misses 2-pt shot from 17 ft
2:36.0,Defensive rebound by D. Wade,,83-92,,
2:24.0,C. Bosh misses 3-pt shot from 24 ft,,83-92,,
2:23.0,,,83-92,,Defensive rebound by M. Ellis
2:04.0,,,83-92,,Turnover by M. Ellis (lost ball; steal by G. Dragic)
2:01.0,Miami full timeout,,83-92,,
1:40.0,Turnover by C. Bosh (lost ball; steal by M. Ellis),,83-92,,
1:21.0,,,83-94,2,I. Mahinmi makes 2-pt shot from 16 ft (assist by P. George)
1:09.0,L. Deng misses 3-pt shot from 25 ft,,83-94,,
1:08.0,Offensive rebound by Team,,83-94,,
1:05.0,G. Green misses 3-pt shot from 25 ft,,83-94,,
1:04.0,,,83-94,,Defensive rebound by M. Ellis
0:44.0,,,83-96,2,R. Stuckey makes 2-pt shot from 1 ft (assist by I. Mahinmi)
0:44.0,Miami full timeout,,83-96,,
0:38.0,C. Bosh misses 2-pt shot from 3 ft,,83-96,,
0:37.0,,,83-96,,Defensive rebound by I. Mahinmi
