time,Toronto,pts.away,score,pts.home,Minnesota
7:00.0,T. Ross enters the game for N. Powell,,13-12,,
7:00.0,,,13-13,1,R. Rubio makes free throw 2 of 2
6:46.0,K. Lowry misses 2-pt shot from 23 ft,,13-13,,
6:45.0,,,13-13,,Defensive rebound by N. Bjelica
6:39.0,,,13-15,2,A. Wiggins makes 2-pt shot at rim (assist by Z. LaVine)
6:29.0,D. DeRozan misses 2-pt shot from 2 ft (block by Z. LaVine),,13-15,,
6:27.0,Offensive rebound by D. DeRozan,,13-15,,
6:23.0,L. Scola misses 3-pt shot from 24 ft,,13-15,,
6:22.0,Offensive rebound by B. Biyombo,,13-15,,
6:18.0,L. Scola misses 2-pt shot from 1 ft,,13-15,,
6:16.0,,,13-15,,Defensive rebound by Z. LaVine
6:05.0,,,13-15,,Shooting foul by B. Biyombo (drawn by G. Dieng)
6:05.0,,,13-16,1,G. Dieng makes free throw 1 of 2
6:05.0,,,13-17,1,G. Dieng makes free throw 2 of 2
6:00.0,Toronto full timeout,,13-17,,
6:00.0,P. Patterson enters the game for L. Scola,,13-17,,
5:51.0,D. DeRozan misses 2-pt shot from 20 ft,,13-17,,
5:50.0,,,13-17,,Defensive rebound by R. Rubio
5:34.0,,,13-17,,Z. LaVine misses 2-pt shot from 20 ft
5:33.0,Defensive rebound by B. Biyombo,,13-17,,
5:23.0,B. Biyombo makes 2-pt shot from 1 ft (assist by K. Lowry),2,15-17,,
5:04.0,,,15-20,3,R. Rubio makes 3-pt shot from 24 ft (assist by N. Bjelica)
4:46.0,P. Patterson misses 3-pt shot from 24 ft,,15-20,,
4:45.0,Offensive rebound by B. Biyombo,,15-20,,
4:42.0,K. Lowry misses 3-pt shot from 27 ft,,15-20,,
4:41.0,,,15-20,,Defensive rebound by G. Dieng
4:26.0,,,15-20,,A. Wiggins misses 2-pt shot from 15 ft
4:25.0,Defensive rebound by B. Biyombo,,15-20,,
4:13.0,D. DeRozan makes 3-pt shot from 22 ft (assist by K. Lowry),3,18-20,,
3:55.0,,,18-20,,Turnover by G. Dieng (bad pass)
3:47.0,Shooting foul by A. Wiggins (drawn by B. Biyombo),,18-20,,
3:47.0,,,18-20,,Minnesota full timeout
3:47.0,,,18-20,,S. Muhammad enters the game for A. Wiggins
3:47.0,B. Biyombo makes free throw 1 of 2,1,19-20,,
3:47.0,B. Biyombo makes free throw 2 of 2,1,20-20,,
3:28.0,,,20-20,,Z. LaVine misses 2-pt shot from 1 ft (block by B. Biyombo)
3:26.0,Defensive rebound by K. Lowry,,20-20,,
3:23.0,T. Ross makes 2-pt shot from 3 ft (assist by K. Lowry),2,22-20,,
3:03.0,,,22-20,,S. Muhammad misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by B. Biyombo,,22-20,,
2:51.0,D. DeRozan makes 3-pt shot from 25 ft (assist by K. Lowry),3,25-20,,
2:33.0,,,25-20,,G. Dieng misses 2-pt shot from 1 ft (block by B. Biyombo)
2:30.0,Defensive rebound by T. Ross,,25-20,,
2:28.0,Turnover by T. Ross (lost ball; steal by G. Dieng),,25-20,,
2:26.0,,,25-20,,Shooting foul by K. Lowry (drawn by G. Dieng)
2:26.0,,,25-22,2,G. Dieng makes 2-pt shot from 2 ft
2:26.0,C. Joseph enters the game for K. Lowry,,25-22,,
2:26.0,,,25-22,,G. Dieng misses free throw 1 of 1
2:25.0,Defensive rebound by D. DeRozan,,25-22,,
2:06.0,T. Ross misses 2-pt shot from 21 ft,,25-22,,
2:05.0,,,25-22,,Defensive rebound by S. Muhammad
1:53.0,,,25-22,,G. Dieng misses 2-pt shot from 20 ft
1:52.0,Defensive rebound by T. Ross,,25-22,,
1:43.0,T. Ross makes 3-pt shot from 24 ft (assist by C. Joseph),3,28-22,,
1:17.0,,,28-22,,G. Dieng misses 2-pt shot from 9 ft
1:16.0,Defensive rebound by P. Patterson,,28-22,,
1:07.0,Shooting foul by S. Muhammad (drawn by D. DeRozan),,28-22,,
1:07.0,D. DeRozan makes free throw 1 of 2,1,29-22,,
1:07.0,,,29-22,,A. Miller enters the game for R. Rubio
1:07.0,D. DeRozan makes free throw 2 of 2,1,30-22,,
0:53.0,,,30-22,,Shooting foul by D. DeRozan (drawn by S. Muhammad)
0:53.0,,,30-23,1,S. Muhammad makes free throw 1 of 2
0:53.0,,,30-23,,K. Towns enters the game for G. Dieng
0:53.0,,,30-24,1,S. Muhammad makes free throw 2 of 2
0:31.0,D. DeRozan makes 2-pt shot at rim,2,32-24,,
0:12.0,,,32-26,2,K. Towns makes 2-pt shot at rim (assist by Z. LaVine)
0:01.0,C. Joseph misses 3-pt shot from 24 ft,,32-26,,
0:00.0,Offensive rebound by Team,,32-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,32-26,,Z. LaVine misses 2-pt shot from 19 ft
11:44.0,Defensive rebound by C. Joseph,,32-26,,
11:26.0,J. Valanciunas makes 2-pt shot from 7 ft (assist by K. Lowry),2,34-26,,
11:13.0,,,34-28,2,K. Towns makes 2-pt shot from 1 ft (assist by A. Miller)
10:57.0,T. Ross makes 3-pt shot from 24 ft (assist by J. Valanciunas),3,37-28,,
10:38.0,,,37-28,,K. Towns misses 2-pt shot from 19 ft
10:37.0,,,37-28,,Offensive rebound by N. Bjelica
10:33.0,,,37-28,,S. Muhammad misses 2-pt shot from 1 ft
10:32.0,,,37-28,,Offensive rebound by K. Towns
10:31.0,,,37-30,2,K. Towns makes 2-pt shot from 1 ft
10:31.0,,,37-30,,Shooting foul by C. Joseph (drawn by K. Towns)
10:31.0,,,37-31,1,K. Towns makes free throw 1 of 1
10:11.0,T. Ross misses 2-pt shot from 20 ft,,37-31,,
10:09.0,,,37-31,,Defensive rebound by A. Miller
10:02.0,,,37-31,,Shooting foul by T. Ross (drawn by S. Muhammad)
10:02.0,,,37-32,1,S. Muhammad makes free throw 1 of 2
10:02.0,,,37-33,1,S. Muhammad makes free throw 2 of 2
9:44.0,T. Ross misses 3-pt shot from 25 ft,,37-33,,
9:43.0,Offensive rebound by Team,,37-33,,
9:43.0,,,37-33,,Loose ball foul by N. Bjelica (drawn by P. Patterson)
9:31.0,P. Patterson misses 3-pt shot from 24 ft,,37-33,,
9:30.0,Offensive rebound by K. Lowry,,37-33,,
9:26.0,K. Lowry makes 3-pt shot from 24 ft,3,40-33,,
9:09.0,,,40-33,,Z. LaVine misses 2-pt shot from 2 ft (block by P. Patterson)
9:07.0,Defensive rebound by P. Patterson,,40-33,,
9:01.0,T. Ross misses 3-pt shot from 24 ft,,40-33,,
8:59.0,Offensive rebound by C. Joseph,,40-33,,
8:51.0,J. Valanciunas makes 2-pt shot at rim (assist by T. Ross),2,42-33,,
8:41.0,,,42-33,,Minnesota full timeout
8:41.0,,,42-33,,G. Dieng enters the game for N. Bjelica
8:41.0,,,42-33,,A. Wiggins enters the game for S. Muhammad
8:41.0,,,42-33,,R. Rubio enters the game for A. Miller
8:23.0,,,42-33,,R. Rubio misses 3-pt shot from 24 ft
8:22.0,,,42-33,,Offensive rebound by A. Wiggins
8:14.0,,,42-35,2,A. Wiggins makes 2-pt shot from 20 ft (assist by R. Rubio)
7:52.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by T. Ross),2,44-35,,
7:35.0,,,44-35,,A. Wiggins misses 2-pt shot from 5 ft
7:34.0,,,44-35,,Offensive rebound by G. Dieng
7:28.0,,,44-35,,R. Rubio misses 2-pt shot from 20 ft
7:27.0,,,44-35,,Offensive rebound by K. Towns
7:27.0,,,44-35,,Shooting foul by K. Lowry (drawn by K. Towns)
7:27.0,,,44-35,,K. Towns misses free throw 1 of 2
7:27.0,,,44-35,,Offensive rebound by Team
7:27.0,,,44-36,1,K. Towns makes free throw 2 of 2
7:15.0,K. Lowry misses 2-pt shot from 2 ft (block by K. Towns),,44-36,,
7:14.0,Offensive rebound by Team,,44-36,,
7:14.0,Shooting foul by R. Rubio (drawn by J. Valanciunas),,44-36,,
7:14.0,J. Valanciunas makes free throw 1 of 2,1,45-36,,
7:14.0,J. Valanciunas makes free throw 2 of 2,1,46-36,,
7:10.0,,,46-36,,Minnesota full timeout
7:01.0,,,46-36,,Turnover by R. Rubio (bad pass; steal by J. Valanciunas)
6:43.0,P. Patterson makes 3-pt shot from 25 ft (assist by J. Valanciunas),3,49-36,,
6:26.0,,,49-36,,Turnover by A. Wiggins (bad pass; steal by K. Lowry)
6:21.0,K. Lowry makes 2-pt shot from 1 ft,2,51-36,,
6:03.0,,,51-36,,K. Towns misses 2-pt shot from 11 ft
6:02.0,,,51-36,,Offensive rebound by R. Rubio
5:57.0,,,51-36,,A. Wiggins misses 3-pt shot from 24 ft
5:56.0,Defensive rebound by K. Lowry,,51-36,,
5:50.0,P. Patterson misses 2-pt shot at rim,,51-36,,
5:48.0,,,51-36,,Defensive rebound by G. Dieng
5:42.0,,,51-36,,Shooting foul by C. Joseph (drawn by A. Wiggins)
5:42.0,,,51-36,,Minnesota full timeout
5:42.0,D. DeRozan enters the game for T. Ross,,51-36,,
5:42.0,L. Scola enters the game for P. Patterson,,51-36,,
5:42.0,,,51-36,,S. Muhammad enters the game for Z. LaVine
5:42.0,,,51-36,,A. Wiggins misses free throw 1 of 2
5:42.0,,,51-36,,Offensive rebound by Team
5:42.0,,,51-37,1,A. Wiggins makes free throw 2 of 2
5:23.0,Turnover by J. Valanciunas (bad pass; steal by R. Rubio),,51-37,,
5:13.0,,,51-39,2,A. Wiggins makes 2-pt shot from 1 ft
5:13.0,,,51-39,,Shooting foul by J. Valanciunas (drawn by A. Wiggins)
5:13.0,B. Biyombo enters the game for J. Valanciunas,,51-39,,
5:13.0,,,51-40,1,A. Wiggins makes free throw 1 of 1
4:51.0,D. DeRozan makes 2-pt shot from 18 ft,2,53-40,,
4:37.0,,,53-40,,A. Wiggins misses 2-pt shot from 5 ft (block by B. Biyombo)
4:35.0,Defensive rebound by C. Joseph,,53-40,,
4:33.0,Shooting foul by G. Dieng (drawn by D. DeRozan),,53-40,,
4:33.0,,,53-40,,Technical foul by Team
4:33.0,K. Lowry makes technical free throw,1,54-40,,
4:33.0,D. DeRozan makes free throw 1 of 2,1,55-40,,
4:33.0,D. DeRozan makes free throw 2 of 2,1,56-40,,
4:25.0,,,56-42,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
4:05.0,B. Biyombo makes 2-pt shot at rim (assist by C. Joseph),2,58-42,,
4:02.0,Personal take foul by C. Joseph (drawn by R. Rubio),,58-42,,
4:02.0,Toronto full timeout,,58-42,,
4:02.0,L. Nogueira enters the game for B. Biyombo,,58-42,,
4:02.0,,,58-43,1,R. Rubio makes free throw 1 of 2
4:02.0,,,58-44,1,R. Rubio makes free throw 2 of 2
3:48.0,K. Lowry misses 3-pt shot from 24 ft,,58-44,,
3:46.0,Offensive rebound by L. Scola,,58-44,,
3:46.0,L. Scola makes 2-pt shot at rim,2,60-44,,
3:29.0,,,60-44,,A. Wiggins misses 2-pt shot from 2 ft
3:28.0,Defensive rebound by L. Scola,,60-44,,
3:19.0,C. Joseph makes 2-pt shot from 18 ft,2,62-44,,
3:07.0,,,62-44,,Shooting foul by K. Lowry (drawn by G. Dieng)
3:07.0,,,62-45,1,G. Dieng makes free throw 1 of 2
3:07.0,D. Wright enters the game for K. Lowry,,62-45,,
3:07.0,T. Ross enters the game for C. Joseph,,62-45,,
3:07.0,,,62-46,1,G. Dieng makes free throw 2 of 2
2:44.0,L. Nogueira misses 2-pt shot from 5 ft,,62-46,,
2:43.0,,,62-46,,Defensive rebound by R. Rubio
2:39.0,,,62-48,2,R. Rubio makes 2-pt shot from 2 ft
2:39.0,Violation by L. Nogueira (def goaltending),,62-48,,
2:25.0,L. Nogueira makes 2-pt shot from 1 ft (assist by D. DeRozan),2,64-48,,
2:17.0,,,64-48,,Shooting foul by D. Wright (drawn by R. Rubio)
2:17.0,,,64-49,1,R. Rubio makes free throw 1 of 2
2:17.0,,,64-50,1,R. Rubio makes free throw 2 of 2
1:59.0,L. Scola misses 2-pt shot from 2 ft,,64-50,,
1:58.0,,,64-50,,Defensive rebound by R. Rubio
1:51.0,,,64-50,,S. Muhammad misses 2-pt shot from 2 ft
1:50.0,,,64-50,,Offensive rebound by K. Towns
1:48.0,,,64-52,2,K. Towns makes 2-pt shot from 2 ft
1:29.0,L. Scola misses 3-pt shot from 24 ft,,64-52,,
1:28.0,,,64-52,,Defensive rebound by G. Dieng
1:18.0,,,64-52,,K. Towns misses 2-pt shot from 2 ft
1:16.0,,,64-52,,Offensive rebound by G. Dieng
1:16.0,,,64-54,2,G. Dieng makes 2-pt shot at rim
1:05.0,Toronto full timeout,,64-54,,
0:59.0,D. DeRozan makes 2-pt shot from 16 ft,2,66-54,,
0:44.0,Personal foul by L. Scola (drawn by A. Wiggins),,66-54,,
0:44.0,,,66-54,,A. Wiggins misses free throw 1 of 2
0:44.0,,,66-54,,Offensive rebound by Team
0:44.0,,,66-54,,N. Bjelica enters the game for K. Towns
0:44.0,,,66-55,1,A. Wiggins makes free throw 2 of 2
0:32.0,D. Wright misses 2-pt shot from 2 ft,,66-55,,
0:31.0,,,66-55,,Defensive rebound by G. Dieng
0:18.0,,,66-55,,R. Rubio misses 3-pt shot from 24 ft
0:16.0,Defensive rebound by L. Nogueira,,66-55,,
0:02.0,D. DeRozan makes 2-pt shot from 17 ft,2,68-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,68-57,2,K. Towns makes 2-pt shot from 1 ft (assist by Z. LaVine)
11:44.0,,,68-57,,Shooting foul by L. Scola (drawn by K. Towns)
11:44.0,,,68-58,1,K. Towns makes free throw 1 of 1
11:21.0,N. Powell makes 2-pt shot from 19 ft (assist by D. DeRozan),2,70-58,,
11:08.0,,,70-61,3,Z. LaVine makes 3-pt shot from 23 ft (assist by R. Rubio)
10:53.0,L. Scola misses 3-pt shot from 24 ft,,70-61,,
10:52.0,,,70-61,,Defensive rebound by R. Rubio
10:36.0,,,70-63,2,K. Towns makes 2-pt shot from 5 ft
10:09.0,K. Lowry misses 2-pt shot from 3 ft (block by K. Towns),,70-63,,
10:07.0,,,70-63,,Defensive rebound by K. Towns
10:03.0,,,70-65,2,R. Rubio makes 2-pt shot from 16 ft (assist by Z. LaVine)
10:02.0,Toronto full timeout,,70-65,,
9:44.0,N. Powell misses 3-pt shot from 22 ft,,70-65,,
9:43.0,,,70-65,,Defensive rebound by Team
9:25.0,,,70-65,,R. Rubio misses 3-pt shot from 23 ft
9:24.0,Defensive rebound by J. Valanciunas,,70-65,,
9:03.0,N. Powell makes 2-pt shot from 19 ft,2,72-65,,
8:52.0,,,72-65,,K. Towns misses 2-pt shot from 15 ft
8:51.0,Defensive rebound by J. Valanciunas,,72-65,,
8:40.0,L. Scola makes 3-pt shot from 23 ft (assist by K. Lowry),3,75-65,,
8:39.0,,,75-65,,Minnesota full timeout
8:24.0,,,75-65,,K. Towns misses 2-pt shot from 5 ft
8:22.0,,,75-65,,Offensive rebound by G. Dieng
8:22.0,,,75-67,2,G. Dieng makes 2-pt shot at rim
7:57.0,N. Powell misses 3-pt shot from 27 ft,,75-67,,
7:56.0,,,75-67,,Defensive rebound by R. Rubio
7:52.0,,,75-69,2,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio)
7:37.0,Turnover by D. DeRozan (lost ball; steal by A. Wiggins),,75-69,,
7:36.0,Personal foul by D. DeRozan (drawn by A. Wiggins),,75-69,,
7:24.0,,,75-69,,A. Wiggins misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by J. Valanciunas,,75-69,,
7:13.0,L. Scola misses 2-pt shot from 7 ft,,75-69,,
7:11.0,,,75-69,,Defensive rebound by Z. LaVine
7:02.0,,,75-72,3,R. Rubio makes 3-pt shot from 24 ft (assist by G. Dieng)
6:35.0,D. DeRozan makes 3-pt shot from 25 ft,3,78-72,,
6:22.0,,,78-74,2,K. Towns makes 2-pt shot from 7 ft (assist by R. Rubio)
6:00.0,K. Lowry misses 3-pt shot from 24 ft,,78-74,,
5:59.0,,,78-74,,Defensive rebound by K. Towns
5:53.0,,,78-76,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
5:32.0,D. DeRozan misses 2-pt shot from 16 ft (block by A. Wiggins),,78-76,,
5:31.0,,,78-76,,Defensive rebound by K. Towns
5:24.0,T. Ross enters the game for N. Powell,,78-76,,
5:24.0,B. Biyombo enters the game for J. Valanciunas,,78-76,,
5:24.0,P. Patterson enters the game for L. Scola,,78-76,,
5:19.0,,,78-78,2,Z. LaVine makes 2-pt shot from 2 ft (assist by R. Rubio)
5:07.0,Shooting foul by K. Towns (drawn by K. Lowry),,78-78,,
5:07.0,K. Lowry misses free throw 1 of 2,,78-78,,
5:07.0,Offensive rebound by Team,,78-78,,
5:07.0,K. Lowry makes free throw 2 of 2,1,79-78,,
4:50.0,,,79-78,,Turnover by Z. LaVine (bad pass; steal by B. Biyombo)
4:41.0,D. DeRozan misses 2-pt shot from 18 ft,,79-78,,
4:40.0,,,79-78,,Defensive rebound by G. Dieng
4:22.0,,,79-80,2,K. Towns makes 2-pt shot at rim (assist by G. Dieng)
4:05.0,T. Ross makes 3-pt shot from 25 ft (assist by D. DeRozan),3,82-80,,
3:47.0,,,82-80,,Z. LaVine misses 2-pt shot from 2 ft
3:46.0,,,82-80,,Offensive rebound by Z. LaVine
3:46.0,,,82-80,,Shooting foul by K. Lowry (drawn by Z. LaVine)
3:46.0,,,82-81,1,Z. LaVine makes free throw 1 of 2
3:46.0,,,82-81,,S. Muhammad enters the game for A. Wiggins
3:46.0,C. Joseph enters the game for K. Lowry,,82-81,,
3:46.0,,,82-82,1,Z. LaVine makes free throw 2 of 2
3:36.0,T. Ross misses 3-pt shot from 25 ft,,82-82,,
3:35.0,,,82-82,,Defensive rebound by R. Rubio
3:24.0,,,82-82,,Z. LaVine misses 3-pt shot from 25 ft
3:23.0,,,82-82,,Offensive rebound by K. Towns
3:21.0,,,82-82,,Shooting foul by C. Joseph (drawn by K. Towns)
3:21.0,,,82-83,1,K. Towns makes free throw 1 of 2
3:21.0,,,82-83,,A. Payne enters the game for G. Dieng
3:21.0,,,82-84,1,K. Towns makes free throw 2 of 2
3:12.0,D. DeRozan makes 2-pt shot from 12 ft,2,84-84,,
3:12.0,Shooting foul by S. Muhammad (drawn by D. DeRozan),,84-84,,
3:12.0,D. DeRozan makes free throw 1 of 1,1,85-84,,
2:58.0,,,85-84,,Turnover by R. Rubio (bad pass; steal by D. DeRozan)
2:42.0,C. Joseph makes 2-pt shot from 18 ft,2,87-84,,
2:20.0,,,87-84,,A. Payne misses 2-pt shot from 18 ft (block by B. Biyombo)
2:19.0,Defensive rebound by D. DeRozan,,87-84,,
2:11.0,Shooting foul by S. Muhammad (drawn by D. DeRozan),,87-84,,
2:11.0,D. DeRozan makes free throw 1 of 2,1,88-84,,
2:11.0,,,88-84,,A. Miller enters the game for R. Rubio
2:11.0,D. DeRozan makes free throw 2 of 2,1,89-84,,
2:00.0,Personal foul by B. Biyombo (drawn by Z. LaVine),,89-84,,
2:00.0,,,89-84,,Z. LaVine misses free throw 1 of 2
2:00.0,,,89-84,,Offensive rebound by Team
2:00.0,,,89-85,1,Z. LaVine makes free throw 2 of 2
1:45.0,C. Joseph misses 3-pt shot from 23 ft,,89-85,,
1:44.0,,,89-85,,Defensive rebound by A. Miller
1:37.0,,,89-87,2,A. Payne makes 2-pt shot at rim (assist by Z. LaVine)
1:07.0,P. Patterson misses 3-pt shot from 22 ft,,89-87,,
1:06.0,Offensive rebound by C. Joseph,,89-87,,
0:55.0,D. DeRozan misses 2-pt shot from 20 ft,,89-87,,
0:53.0,,,89-87,,Defensive rebound by Z. LaVine
0:48.0,,,89-87,,S. Muhammad misses 2-pt shot at rim (block by B. Biyombo)
0:45.0,,,89-87,,Offensive rebound by S. Muhammad
0:34.0,,,89-87,,Shooting foul by B. Biyombo (drawn by Z. LaVine)
0:34.0,,,89-88,1,Z. LaVine makes free throw 1 of 2
0:34.0,,,89-88,,G. Dieng enters the game for K. Towns
0:34.0,,,89-88,,Z. LaVine misses free throw 2 of 2
0:34.0,Defensive rebound by P. Patterson,,89-88,,
0:10.0,C. Joseph misses 3-pt shot from 24 ft,,89-88,,
0:08.0,,,89-88,,Defensive rebound by G. Dieng
0:01.0,,,89-88,,Z. LaVine misses 3-pt shot from 25 ft
0:00.0,,,89-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,C. Joseph misses 2-pt shot from 1 ft,,89-88,,
11:38.0,,,89-88,,Defensive rebound by A. Payne
11:21.0,,,89-88,,S. Muhammad misses 2-pt shot from 6 ft
11:19.0,Defensive rebound by B. Biyombo,,89-88,,
11:14.0,K. Lowry makes 2-pt shot at rim,2,91-88,,
10:55.0,,,91-88,,A. Wiggins misses 2-pt shot from 12 ft
10:53.0,Defensive rebound by C. Joseph,,91-88,,
10:44.0,C. Joseph misses 2-pt shot from 9 ft,,91-88,,
10:43.0,,,91-88,,Defensive rebound by G. Dieng
10:31.0,,,91-90,2,S. Muhammad makes 2-pt shot at rim (assist by G. Dieng)
10:06.0,K. Lowry misses 2-pt shot from 2 ft (block by G. Dieng),,91-90,,
10:05.0,,,91-90,,Defensive rebound by S. Muhammad
10:02.0,,,91-90,,Shooting foul by T. Ross (drawn by S. Muhammad)
10:02.0,,,91-91,1,S. Muhammad makes free throw 1 of 2
10:02.0,J. Valanciunas enters the game for B. Biyombo,,91-91,,
10:02.0,,,91-92,1,S. Muhammad makes free throw 2 of 2
9:49.0,Turnover by P. Patterson (bad pass),,91-92,,
9:31.0,,,91-94,2,A. Wiggins makes 2-pt shot from 18 ft
9:03.0,P. Patterson makes 2-pt shot from 10 ft,2,93-94,,
8:41.0,,,93-94,,Minnesota full timeout
8:34.0,,,93-96,2,A. Wiggins makes 2-pt shot from 9 ft
8:12.0,T. Ross misses 3-pt shot from 25 ft,,93-96,,
8:10.0,Offensive rebound by K. Lowry,,93-96,,
8:06.0,Turnover by K. Lowry (lost ball; steal by G. Dieng),,93-96,,
8:00.0,,,93-96,,A. Payne misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by J. Valanciunas,,93-96,,
7:50.0,K. Lowry misses 3-pt shot from 24 ft,,93-96,,
7:49.0,,,93-96,,Defensive rebound by A. Payne
7:49.0,Personal foul by T. Ross (drawn by A. Payne),,93-96,,
7:49.0,,,93-96,,R. Rubio enters the game for A. Miller
7:49.0,,,93-96,,K. Towns enters the game for A. Payne
7:41.0,Personal foul by T. Ross (drawn by A. Wiggins),,93-96,,
7:34.0,Personal foul by T. Ross (drawn by A. Wiggins),,93-96,,
7:34.0,D. DeRozan enters the game for T. Ross,,93-96,,
7:27.0,,,93-96,,A. Wiggins misses 2-pt shot from 12 ft (block by D. DeRozan)
7:26.0,,,93-96,,Offensive rebound by Team
7:25.0,Personal foul by D. DeRozan (drawn by A. Wiggins),,93-96,,
7:25.0,,,93-96,,A. Wiggins misses free throw 1 of 2
7:25.0,,,93-96,,Offensive rebound by Team
7:25.0,,,93-97,1,A. Wiggins makes free throw 2 of 2
7:18.0,,,93-97,,Personal foul by A. Wiggins (drawn by D. DeRozan)
7:18.0,,,93-97,,Z. LaVine enters the game for S. Muhammad
7:09.0,D. DeRozan misses 2-pt shot from 14 ft,,93-97,,
7:08.0,,,93-97,,Defensive rebound by K. Towns
7:03.0,,,93-99,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
6:40.0,K. Lowry misses 2-pt shot from 1 ft,,93-99,,
6:39.0,,,93-99,,Defensive rebound by A. Wiggins
6:31.0,,,93-99,,Z. LaVine misses 3-pt shot from 23 ft
6:29.0,Defensive rebound by P. Patterson,,93-99,,
6:19.0,,,93-99,,Personal foul by A. Wiggins (drawn by D. DeRozan)
6:14.0,C. Joseph makes 2-pt shot at rim,2,95-99,,
6:14.0,Shooting foul by Z. LaVine (drawn by C. Joseph),,95-99,,
6:14.0,C. Joseph misses free throw 1 of 1,,95-99,,
