time,Philadelphia,pts.away,score,pts.home,Minnesota
6:32.0,,,10-11,2,K. Martin makes 2-pt shot from 15 ft (assist by R. Rubio)
6:03.0,T. McConnell makes 2-pt shot from 13 ft,2,12-11,,
5:51.0,Personal foul by N. Stauskas (drawn by K. Martin),,12-11,,
5:51.0,,,12-11,,Minnesota full timeout
5:51.0,I. Canaan enters the game for N. Noel,,12-11,,
5:51.0,J. Sampson enters the game for N. Stauskas,,12-11,,
5:51.0,H. Thompson enters the game for T. McConnell,,12-11,,
5:51.0,R. Covington enters the game for J. Grant,,12-11,,
5:51.0,,,12-11,,A. Payne enters the game for K. Garnett
5:45.0,,,12-11,,Turnover by A. Wiggins (traveling)
5:32.0,Turnover by R. Covington (bad pass; steal by A. Payne),,12-11,,
5:25.0,,,12-11,,K. Martin misses 2-pt shot from 10 ft
5:24.0,Defensive rebound by R. Covington,,12-11,,
5:16.0,R. Covington makes 3-pt shot from 25 ft (assist by I. Canaan),3,15-11,,
5:03.0,,,15-11,,Offensive foul by G. Dieng
5:03.0,,,15-11,,Turnover by G. Dieng (offensive foul)
4:40.0,Shooting foul by G. Dieng (drawn by I. Canaan),,15-11,,
4:40.0,I. Canaan makes free throw 1 of 2,1,16-11,,
4:40.0,N. Noel enters the game for J. Okafor,,16-11,,
4:40.0,I. Canaan makes free throw 2 of 2,1,17-11,,
4:26.0,,,17-11,,Turnover by K. Martin (lost ball; steal by R. Covington)
4:12.0,N. Noel misses 2-pt shot from 1 ft (block by A. Payne),,17-11,,
4:11.0,,,17-11,,Defensive rebound by A. Payne
4:03.0,,,17-11,,K. Martin misses 3-pt shot from 23 ft
4:01.0,Defensive rebound by R. Covington,,17-11,,
3:51.0,I. Canaan misses 3-pt shot from 25 ft,,17-11,,
3:50.0,,,17-11,,Defensive rebound by A. Wiggins
3:43.0,,,17-13,2,A. Wiggins makes 2-pt shot from 14 ft
3:20.0,J. Sampson misses 2-pt shot from 6 ft,,17-13,,
3:19.0,,,17-13,,Defensive rebound by G. Dieng
3:02.0,,,17-15,2,G. Dieng makes 2-pt shot from 3 ft (assist by R. Rubio)
3:02.0,Philadelphia full timeout,,17-15,,
3:02.0,,,17-15,,Z. LaVine enters the game for R. Rubio
3:02.0,,,17-15,,S. Muhammad enters the game for K. Martin
2:48.0,N. Noel misses 2-pt shot at rim,,17-15,,
2:47.0,,,17-15,,Defensive rebound by Z. LaVine
2:24.0,,,17-17,2,A. Payne makes 2-pt shot from 5 ft
2:10.0,Turnover by I. Canaan (bad pass),,17-17,,
1:57.0,,,17-17,,Turnover by A. Payne (bad pass; steal by N. Noel)
1:53.0,N. Noel makes 2-pt shot at rim,2,19-17,,
1:53.0,Shooting foul by A. Payne (drawn by N. Noel),,19-17,,
1:53.0,T. McConnell enters the game for J. Sampson,,19-17,,
1:53.0,N. Noel makes free throw 1 of 1,1,20-17,,
1:39.0,,,20-17,,Offensive charge foul by A. Payne
1:39.0,,,20-17,,Turnover by A. Payne (offensive foul)
1:22.0,H. Thompson makes 3-pt shot from 24 ft (assist by R. Covington),3,23-17,,
1:12.0,Personal foul by H. Thompson (drawn by A. Wiggins),,23-17,,
1:04.0,,,23-19,2,Z. LaVine makes 2-pt shot from 19 ft
0:52.0,Turnover by T. McConnell (bad pass),,23-19,,
0:42.0,,,23-19,,S. Muhammad misses 2-pt shot from 3 ft
0:41.0,Defensive rebound by N. Noel,,23-19,,
0:35.0,H. Thompson makes 3-pt shot from 24 ft (assist by T. McConnell),3,26-19,,
0:27.0,,,26-19,,A. Payne misses 2-pt shot from 21 ft
0:26.0,Defensive rebound by T. McConnell,,26-19,,
0:03.0,T. McConnell misses 2-pt shot from 10 ft,,26-19,,
0:02.0,Offensive rebound by Team,,26-19,,
0:01.0,R. Covington misses 3-pt shot from 25 ft,,26-19,,
0:00.0,Offensive rebound by Team,,26-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,26-19,,Minnesota full timeout
11:36.0,,,26-19,,S. Muhammad misses 2-pt shot from 10 ft
11:35.0,Defensive rebound by N. Noel,,26-19,,
11:23.0,Turnover by N. Noel (traveling),,26-19,,
11:04.0,,,26-19,,Z. LaVine misses 2-pt shot from 18 ft
11:03.0,Defensive rebound by H. Thompson,,26-19,,
10:53.0,T. McConnell misses 2-pt shot from 13 ft,,26-19,,
10:52.0,,,26-19,,Defensive rebound by T. Prince
10:39.0,,,26-19,,Turnover by Z. LaVine (bad pass; steal by N. Noel)
10:30.0,H. Thompson misses 3-pt shot from 25 ft,,26-19,,
10:30.0,Offensive rebound by Team,,26-19,,
10:30.0,,,26-19,,Loose ball foul by Z. LaVine (drawn by N. Noel)
10:30.0,J. Okafor enters the game for N. Noel,,26-19,,
10:21.0,R. Covington makes 2-pt shot from 2 ft,2,28-19,,
10:09.0,,,28-19,,A. Miller enters the game for A. Payne
10:09.0,J. Grant enters the game for R. Covington,,28-19,,
10:04.0,,,28-19,,Turnover by Z. LaVine (lost ball; steal by H. Thompson)
9:57.0,T. McConnell misses 3-pt shot from 26 ft,,28-19,,
9:56.0,,,28-19,,Defensive rebound by Z. LaVine
9:53.0,,,28-19,,Shooting foul by N. Stauskas (drawn by Z. LaVine)
9:53.0,,,28-20,1,Z. LaVine makes free throw 1 of 2
9:53.0,,,28-21,1,Z. LaVine makes free throw 2 of 2
9:30.0,J. Okafor makes 2-pt shot from 1 ft,2,30-21,,
9:14.0,,,30-21,,Z. LaVine misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by H. Thompson,,30-21,,
9:00.0,J. Okafor misses 2-pt shot from 3 ft,,30-21,,
8:58.0,,,30-21,,Defensive rebound by Z. LaVine
8:51.0,,,30-23,2,Z. LaVine makes 2-pt shot from 19 ft
8:50.0,Philadelphia full timeout,,30-23,,
8:50.0,I. Canaan enters the game for T. McConnell,,30-23,,
8:28.0,I. Canaan makes 3-pt shot from 25 ft (assist by J. Okafor),3,33-23,,
8:16.0,,,33-23,,Shooting foul by J. Okafor (drawn by G. Dieng)
8:16.0,,,33-24,1,G. Dieng makes free throw 1 of 2
8:16.0,R. Covington enters the game for H. Thompson,,33-24,,
8:16.0,,,33-25,1,G. Dieng makes free throw 2 of 2
8:03.0,N. Stauskas misses 3-pt shot from 25 ft,,33-25,,
8:01.0,Offensive rebound by J. Okafor,,33-25,,
8:01.0,J. Okafor makes 2-pt shot from 1 ft,2,35-25,,
7:47.0,,,35-27,2,Z. LaVine makes 2-pt shot from 7 ft
7:25.0,I. Canaan misses 2-pt shot from 2 ft (block by G. Dieng),,35-27,,
7:23.0,Offensive rebound by J. Okafor,,35-27,,
7:23.0,J. Okafor misses 2-pt shot from 2 ft,,35-27,,
7:22.0,,,35-27,,Defensive rebound by Z. LaVine
7:18.0,,,35-27,,T. Prince misses 2-pt shot from 10 ft
7:17.0,,,35-27,,Offensive rebound by Team
7:10.0,,,35-27,,Z. LaVine misses 2-pt shot from 2 ft
7:09.0,,,35-27,,Offensive rebound by G. Dieng
7:09.0,Personal foul by R. Covington (drawn by G. Dieng),,35-27,,
7:09.0,,,35-27,,K. Towns enters the game for G. Dieng
7:03.0,,,35-27,,Turnover by Z. LaVine (lost ball; steal by R. Covington)
6:54.0,R. Covington misses 3-pt shot from 24 ft,,35-27,,
6:53.0,,,35-27,,Defensive rebound by A. Miller
6:50.0,,,35-27,,S. Muhammad misses 2-pt shot from 2 ft (block by I. Canaan)
6:49.0,,,35-27,,Offensive rebound by Team
6:44.0,,,35-29,2,S. Muhammad makes 2-pt shot at rim (assist by A. Miller)
6:34.0,I. Canaan makes 3-pt shot from 24 ft,3,38-29,,
6:19.0,Personal foul by I. Canaan (drawn by S. Muhammad),,38-29,,
6:19.0,N. Noel enters the game for N. Stauskas,,38-29,,
6:19.0,,,38-29,,A. Wiggins enters the game for T. Prince
6:14.0,,,38-32,3,S. Muhammad makes 3-pt shot from 23 ft (assist by A. Miller)
5:56.0,Shooting foul by A. Miller (drawn by N. Noel),,38-32,,
5:56.0,Philadelphia full timeout,,38-32,,
5:56.0,,,38-32,,R. Rubio enters the game for A. Miller
5:56.0,N. Noel makes free throw 1 of 2,1,39-32,,
5:56.0,N. Noel makes free throw 2 of 2,1,40-32,,
5:43.0,,,40-32,,K. Towns misses 2-pt shot from 10 ft (block by J. Okafor)
5:42.0,Defensive rebound by J. Okafor,,40-32,,
5:26.0,,,40-32,,Personal foul by A. Wiggins (drawn by N. Noel)
5:26.0,,,40-32,,K. Garnett enters the game for S. Muhammad
5:26.0,,,40-32,,K. Martin enters the game for Z. LaVine
5:14.0,,,40-32,,Personal foul by R. Rubio (drawn by I. Canaan)
5:14.0,I. Canaan makes free throw 1 of 3,1,41-32,,
5:14.0,I. Canaan makes free throw 2 of 3,1,42-32,,
5:14.0,I. Canaan makes free throw 3 of 3,1,43-32,,
5:02.0,,,43-32,,A. Wiggins misses 2-pt shot from 2 ft (block by N. Noel)
5:00.0,Jump ball: R. Covington vs. K. Garnett (K. Martin gains possession),,,,Jump ball: R. Covington vs. K. Garnett (K. Martin gains possession)
5:00.0,,,43-32,,Offensive rebound by Team
4:52.0,,,43-32,,K. Martin misses 2-pt shot from 9 ft
4:51.0,Defensive rebound by R. Covington,,43-32,,
4:41.0,J. Okafor makes 2-pt shot from 6 ft (assist by I. Canaan),2,45-32,,
4:27.0,,,45-34,2,K. Garnett makes 2-pt shot from 12 ft (assist by R. Rubio)
4:01.0,I. Canaan misses 3-pt shot from 22 ft,,45-34,,
4:00.0,,,45-34,,Defensive rebound by K. Garnett
3:49.0,,,45-34,,A. Wiggins misses 3-pt shot from 24 ft
3:48.0,Defensive rebound by J. Okafor,,45-34,,
3:48.0,,,45-34,,Personal foul by K. Towns (drawn by J. Okafor)
3:48.0,J. Okafor makes free throw 1 of 2,1,46-34,,
3:48.0,,,46-34,,G. Dieng enters the game for K. Towns
3:48.0,H. Thompson enters the game for J. Grant,,46-34,,
3:48.0,J. Okafor makes free throw 2 of 2,1,47-34,,
3:34.0,,,47-36,2,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio)
3:11.0,J. Okafor makes 2-pt shot from 18 ft,2,49-36,,
2:51.0,,,49-36,,R. Rubio misses 3-pt shot from 25 ft
2:50.0,,,49-36,,Offensive rebound by A. Wiggins
2:48.0,,,49-36,,Shooting foul by N. Noel (drawn by A. Wiggins)
2:48.0,,,49-36,,Minnesota full timeout
2:48.0,,,49-37,1,A. Wiggins makes free throw 1 of 2
2:48.0,,,49-38,1,A. Wiggins makes free throw 2 of 2
2:36.0,,,49-38,,Personal foul by G. Dieng (drawn by J. Okafor)
2:36.0,J. Okafor misses free throw 1 of 2,,49-38,,
2:36.0,Offensive rebound by Team,,49-38,,
2:36.0,J. Okafor makes free throw 2 of 2,1,50-38,,
2:20.0,Personal foul by I. Canaan (drawn by A. Wiggins),,50-38,,
2:20.0,,,50-39,1,A. Wiggins makes free throw 1 of 2
2:20.0,,,50-40,1,A. Wiggins makes free throw 2 of 2
2:01.0,H. Thompson misses 3-pt shot from 22 ft,,50-40,,
2:00.0,,,50-40,,Defensive rebound by K. Garnett
1:43.0,,,50-42,2,A. Wiggins makes 2-pt shot from 5 ft
1:22.0,Turnover by I. Canaan (bad pass),,50-42,,
1:12.0,,,50-44,2,A. Wiggins makes 2-pt shot at rim
1:11.0,Philadelphia full timeout,,50-44,,
1:11.0,T. McConnell enters the game for I. Canaan,,50-44,,
0:58.0,R. Covington misses 2-pt shot from 2 ft (block by A. Wiggins),,50-44,,
0:57.0,,,50-44,,Defensive rebound by R. Rubio
0:43.0,,,50-44,,Shooting foul by N. Noel (drawn by R. Rubio)
0:43.0,,,50-45,1,R. Rubio makes free throw 1 of 2
0:43.0,,,50-46,1,R. Rubio makes free throw 2 of 2
0:37.0,Turnover by R. Covington (lost ball; steal by A. Wiggins),,50-46,,
0:30.0,,,50-46,,R. Rubio misses 2-pt shot at rim
0:28.0,Defensive rebound by J. Okafor,,50-46,,
0:05.0,T. McConnell misses 2-pt shot from 16 ft,,50-46,,
0:03.0,Offensive rebound by J. Okafor,,50-46,,
0:02.0,J. Okafor makes 2-pt shot at rim,2,52-46,,
0:00.0,,,52-46,,K. Martin misses 3-pt shot from 26 ft
0:00.0,,,52-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,52-46,,A. Wiggins misses 2-pt shot from 19 ft
11:38.0,Defensive rebound by I. Canaan,,52-46,,
11:16.0,I. Canaan misses 3-pt shot from 25 ft,,52-46,,
11:15.0,,,52-46,,Defensive rebound by K. Garnett
11:04.0,,,52-48,2,K. Towns makes 2-pt shot from 18 ft (assist by A. Wiggins)
10:36.0,T. McConnell makes 2-pt shot from 11 ft,2,54-48,,
10:28.0,Personal foul by T. McConnell (drawn by R. Rubio),,54-48,,
10:20.0,,,54-48,,Shooting foul by J. Grant (drawn by A. Wiggins)
10:20.0,,,54-49,1,A. Wiggins makes free throw 1 of 2
10:20.0,,,54-50,1,A. Wiggins makes free throw 2 of 2
10:04.0,,,54-50,,Personal foul by K. Towns (drawn by J. Okafor)
10:04.0,,,54-50,,G. Dieng enters the game for K. Towns
9:49.0,N. Noel misses 2-pt shot from 16 ft,,54-50,,
9:48.0,,,54-50,,Defensive rebound by K. Garnett
9:36.0,,,54-52,2,K. Garnett makes 2-pt shot from 16 ft (assist by R. Rubio)
9:23.0,Offensive charge foul by J. Okafor,,54-52,,
9:23.0,Turnover by J. Okafor (offensive foul),,54-52,,
9:10.0,,,54-54,2,K. Garnett makes 2-pt shot from 20 ft (assist by R. Rubio)
8:53.0,J. Okafor misses 2-pt shot from 7 ft,,54-54,,
8:52.0,,,54-54,,Defensive rebound by K. Garnett
8:45.0,,,54-56,2,K. Garnett makes 2-pt shot at rim (assist by R. Rubio)
8:44.0,Philadelphia full timeout,,54-56,,
8:21.0,J. Okafor misses 2-pt shot from 16 ft,,54-56,,
8:20.0,,,54-56,,Defensive rebound by R. Rubio
8:09.0,,,54-58,2,K. Martin makes 2-pt shot from 16 ft (assist by R. Rubio)
7:41.0,T. McConnell misses 2-pt shot from 16 ft,,54-58,,
7:40.0,,,54-58,,Defensive rebound by K. Garnett
7:34.0,,,54-58,,Turnover by R. Rubio (lost ball; steal by T. McConnell)
7:30.0,,,54-58,,Personal foul by R. Rubio (drawn by T. McConnell)
7:30.0,H. Thompson enters the game for T. McConnell,,54-58,,
7:30.0,R. Covington enters the game for N. Noel,,54-58,,
7:30.0,,,54-58,,A. Payne enters the game for K. Garnett
7:17.0,R. Covington misses 3-pt shot from 24 ft,,54-58,,
7:16.0,,,54-58,,Defensive rebound by A. Payne
7:03.0,,,54-58,,Offensive foul by A. Payne
7:03.0,,,54-58,,Turnover by A. Payne (offensive foul)
7:03.0,J. Sampson enters the game for J. Grant,,54-58,,
6:54.0,J. Sampson misses 2-pt shot at rim (block by A. Wiggins),,54-58,,
6:52.0,Offensive rebound by H. Thompson,,54-58,,
6:49.0,H. Thompson misses 3-pt shot from 22 ft,,54-58,,
6:48.0,Offensive rebound by J. Okafor,,54-58,,
6:48.0,J. Okafor makes 2-pt shot at rim,2,56-58,,
6:24.0,,,56-60,2,A. Payne makes 2-pt shot from 8 ft
6:04.0,I. Canaan makes 3-pt shot from 24 ft,3,59-60,,
5:51.0,Violation by J. Okafor (def goaltending),,59-60,,
5:51.0,,,59-62,2,R. Rubio makes 2-pt shot from 1 ft
5:35.0,Shooting foul by A. Payne (drawn by J. Sampson),,59-62,,
5:35.0,J. Sampson makes free throw 1 of 2,1,60-62,,
5:35.0,J. Sampson misses free throw 2 of 2,,60-62,,
5:35.0,,,60-62,,Defensive rebound by A. Payne
5:24.0,,,60-64,2,A. Wiggins makes 2-pt shot from 4 ft (assist by R. Rubio)
5:14.0,Turnover by J. Okafor (offensive foul),,60-64,,
5:14.0,Offensive foul by J. Okafor,,60-64,,
5:02.0,,,60-64,,A. Wiggins misses 2-pt shot from 18 ft
5:01.0,Defensive rebound by J. Sampson,,60-64,,
4:51.0,Turnover by R. Covington (bad pass; steal by R. Rubio),,60-64,,
4:47.0,,,60-64,,Turnover by R. Rubio (lost ball; steal by I. Canaan)
4:38.0,Shooting foul by A. Payne (drawn by R. Covington),,60-64,,
4:38.0,R. Covington misses free throw 1 of 2,,60-64,,
4:38.0,Offensive rebound by Team,,60-64,,
4:38.0,N. Noel enters the game for J. Okafor,,60-64,,
4:38.0,T. McConnell enters the game for I. Canaan,,60-64,,
4:38.0,R. Covington makes free throw 2 of 2,1,61-64,,
4:23.0,,,61-64,,Shooting foul by R. Covington (drawn by G. Dieng)
4:23.0,,,61-65,1,G. Dieng makes free throw 1 of 2
4:23.0,,,61-66,1,G. Dieng makes free throw 2 of 2
4:08.0,R. Covington makes 2-pt shot at rim (assist by T. McConnell),2,63-66,,
3:59.0,Personal foul by T. McConnell (drawn by R. Rubio),,63-66,,
3:56.0,,,63-68,2,K. Martin makes 2-pt shot from 2 ft (assist by A. Payne)
3:35.0,J. Sampson misses 2-pt shot from 8 ft (block by G. Dieng),,63-68,,
3:33.0,,,63-68,,Defensive rebound by G. Dieng
3:23.0,Violation by N. Noel (def goaltending),,63-68,,
3:23.0,,,63-70,2,G. Dieng makes 2-pt shot from 1 ft
3:16.0,,,63-70,,Personal foul by A. Payne (drawn by R. Covington)
3:16.0,,,63-70,,K. Garnett enters the game for A. Payne
3:16.0,,,63-70,,Z. LaVine enters the game for R. Rubio
3:16.0,J. Grant enters the game for J. Sampson,,63-70,,
3:16.0,R. Covington makes free throw 1 of 2,1,64-70,,
3:16.0,R. Covington makes free throw 2 of 2,1,65-70,,
3:00.0,,,65-70,,Turnover by A. Wiggins (traveling)
2:46.0,N. Noel makes 2-pt shot from 5 ft (assist by T. McConnell),2,67-70,,
2:20.0,,,67-70,,G. Dieng misses 2-pt shot from 20 ft
2:18.0,Defensive rebound by J. Grant,,67-70,,
2:09.0,J. Grant misses 2-pt shot from 1 ft,,67-70,,
2:08.0,Offensive rebound by T. McConnell,,67-70,,
1:59.0,T. McConnell misses 3-pt shot from 24 ft,,67-70,,
1:57.0,,,67-70,,Defensive rebound by K. Garnett
1:48.0,,,67-70,,Z. LaVine misses 3-pt shot from 24 ft
1:47.0,Defensive rebound by N. Noel,,67-70,,
1:39.0,R. Covington makes 3-pt shot from 24 ft (assist by T. McConnell),3,70-70,,
1:37.0,,,70-70,,Minnesota full timeout
1:37.0,,,70-70,,T. Prince enters the game for A. Wiggins
1:37.0,,,70-70,,S. Muhammad enters the game for K. Garnett
1:37.0,,,70-70,,A. Miller enters the game for K. Martin
1:21.0,,,70-72,2,S. Muhammad makes 2-pt shot from 21 ft (assist by A. Miller)
1:07.0,H. Thompson makes 3-pt shot from 24 ft (assist by T. McConnell),3,73-72,,
0:46.0,,,73-74,2,G. Dieng makes 2-pt shot at rim (assist by A. Miller)
0:46.0,,,73-74,,Shooting foul by R. Covington (drawn by G. Dieng)
0:46.0,Violation by R. Covington (def goaltending),,73-74,,
0:46.0,,,73-74,,G. Dieng misses free throw 1 of 1
0:45.0,Defensive rebound by N. Noel,,73-74,,
0:38.0,R. Covington misses 3-pt shot from 25 ft,,73-74,,
0:37.0,Offensive rebound by J. Grant,,73-74,,
0:26.0,Turnover by T. McConnell (bad pass; steal by G. Dieng),,73-74,,
0:04.0,,,73-74,,Z. LaVine misses 2-pt shot from 21 ft
0:03.0,Defensive rebound by R. Covington,,73-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,73-74,,Personal foul by S. Muhammad (drawn by N. Noel)
11:35.0,J. Grant makes 2-pt shot from 3 ft (assist by H. Thompson),2,75-74,,
11:35.0,Shooting foul by Z. LaVine (drawn by J. Grant),,75-74,,
11:35.0,J. Grant makes free throw 1 of 1,1,76-74,,
11:35.0,Violation by Team (delay of game),,76-74,,
11:16.0,,,76-74,,S. Muhammad misses 2-pt shot from 5 ft
11:15.0,Defensive rebound by H. Thompson,,76-74,,
11:07.0,R. Covington makes 3-pt shot from 24 ft (assist by T. McConnell),3,79-74,,
10:48.0,,,79-74,,Turnover by A. Miller (lost ball; steal by T. McConnell)
10:44.0,,,79-74,,Personal foul by S. Muhammad (drawn by N. Noel)
10:28.0,J. Grant misses 3-pt shot from 22 ft,,79-74,,
10:27.0,,,79-74,,Defensive rebound by S. Muhammad
10:19.0,,,79-74,,Turnover by A. Miller (bad pass; steal by R. Covington)
10:11.0,H. Thompson misses 3-pt shot from 23 ft,,79-74,,
10:10.0,,,79-74,,Defensive rebound by G. Dieng
9:56.0,,,79-74,,Turnover by S. Muhammad (lost ball)
9:56.0,J. Okafor enters the game for N. Noel,,79-74,,
9:56.0,I. Canaan enters the game for T. McConnell,,79-74,,
9:35.0,Turnover by R. Covington (lost ball),,79-74,,
9:35.0,,,79-74,,A. Wiggins enters the game for T. Prince
9:24.0,,,79-74,,A. Miller misses 2-pt shot from 10 ft
9:23.0,Defensive rebound by J. Okafor,,79-74,,
9:13.0,Turnover by J. Okafor (traveling),,79-74,,
9:03.0,,,79-74,,Z. LaVine misses 2-pt shot at rim
9:03.0,,,79-74,,Offensive rebound by G. Dieng
9:03.0,Personal foul by H. Thompson (drawn by G. Dieng),,79-74,,
9:03.0,,,79-74,,R. Rubio enters the game for A. Miller
8:55.0,Personal foul by J. Grant (drawn by A. Wiggins),,79-74,,
8:55.0,,,79-74,,Minnesota full timeout
8:55.0,,,79-74,,K. Towns enters the game for G. Dieng
8:46.0,,,79-76,2,A. Wiggins makes 2-pt shot from 2 ft
8:23.0,J. Grant misses 2-pt shot from 1 ft (block by K. Towns),,79-76,,
8:22.0,Offensive rebound by I. Canaan,,79-76,,
8:21.0,I. Canaan misses 3-pt shot from 24 ft,,79-76,,
8:18.0,,,79-76,,Defensive rebound by Team
8:04.0,,,79-76,,A. Wiggins misses 3-pt shot from 23 ft
8:03.0,Defensive rebound by J. Okafor,,79-76,,
7:47.0,H. Thompson makes 2-pt shot from 2 ft (assist by J. Grant),2,81-76,,
7:47.0,Shooting foul by S. Muhammad (drawn by H. Thompson),,81-76,,
7:47.0,H. Thompson misses free throw 1 of 1,,81-76,,
7:47.0,,,81-76,,Defensive rebound by Z. LaVine
7:25.0,,,81-76,,Z. LaVine misses 2-pt shot from 19 ft
7:24.0,Defensive rebound by R. Covington,,81-76,,
7:11.0,Offensive foul by I. Canaan,,81-76,,
7:11.0,Turnover by I. Canaan (offensive foul),,81-76,,
7:11.0,,,81-76,,K. Martin enters the game for S. Muhammad
7:02.0,,,81-76,,K. Towns misses 2-pt shot from 18 ft
7:01.0,Defensive rebound by I. Canaan,,81-76,,
6:49.0,J. Grant misses 2-pt shot at rim,,81-76,,
6:48.0,,,81-76,,Defensive rebound by A. Wiggins
6:44.0,,,81-76,,A. Wiggins misses 2-pt shot from 4 ft
6:41.0,,,81-76,,Offensive rebound by Team
6:34.0,,,81-76,,Shooting foul by J. Grant (drawn by A. Wiggins)
6:34.0,,,81-77,1,A. Wiggins makes free throw 1 of 2
6:34.0,,,81-78,1,A. Wiggins makes free throw 2 of 2
6:12.0,J. Okafor makes 2-pt shot from 10 ft,2,83-78,,
5:56.0,,,83-78,,Z. LaVine misses 3-pt shot from 23 ft
5:55.0,Defensive rebound by J. Grant,,83-78,,
5:51.0,,,83-78,,Violation by K. Martin (kicked ball)
5:51.0,,,83-78,,Minnesota full timeout
5:43.0,I. Canaan misses 3-pt shot from 22 ft,,83-78,,
5:41.0,Offensive rebound by J. Grant,,83-78,,
5:29.0,,,83-78,,Personal foul by R. Rubio (drawn by J. Grant)
5:29.0,J. Grant misses free throw 1 of 2,,83-78,,
5:29.0,Offensive rebound by Team,,83-78,,
5:29.0,J. Grant makes free throw 2 of 2,1,84-78,,
5:18.0,,,84-78,,A. Wiggins misses 2-pt shot from 2 ft
5:16.0,,,84-78,,Offensive rebound by A. Wiggins
5:16.0,,,84-78,,A. Wiggins misses 2-pt shot from 1 ft
5:14.0,,,84-78,,Offensive rebound by A. Wiggins
5:14.0,,,84-80,2,K. Towns makes 2-pt shot from 1 ft
