time,Phoenix,pts.away,score,pts.home,Indiana
6:02.0,,,3-12,,Offensive rebound by L. Allen
5:59.0,,,3-14,2,L. Allen makes 2-pt shot from 1 ft
5:41.0,M. Morris makes 2-pt shot from 14 ft,2,5-14,,
5:34.0,,,5-14,,M. Ellis misses 2-pt shot from 1 ft (block by D. Booker)
5:34.0,Defensive rebound by Team,,5-14,,
5:34.0,T. Warren enters the game for D. Booker,,5-14,,
5:18.0,A. Goodwin misses 2-pt shot at rim,,5-14,,
5:18.0,Offensive rebound by J. Leuer,,5-14,,
5:16.0,J. Leuer misses 2-pt shot at rim (block by P. George),,5-14,,
5:16.0,Offensive rebound by Team,,5-14,,
5:13.0,T. Warren makes 2-pt shot from 14 ft (assist by P. Tucker),2,7-14,,
5:00.0,,,7-16,2,I. Mahinmi makes 2-pt shot from 5 ft
5:00.0,,,7-16,,Shooting foul by M. Morris (drawn by I. Mahinmi)
5:00.0,,,7-16,,R. Stuckey enters the game for G. Hill
5:00.0,,,7-17,1,I. Mahinmi makes free throw 1 of 1
4:41.0,M. Morris makes 2-pt shot from 13 ft (assist by T. Warren),2,9-17,,
4:18.0,,,9-17,,Turnover by I. Mahinmi (step out of bounds)
4:18.0,,,9-17,,J. Hill enters the game for I. Mahinmi
4:18.0,,,9-17,,C. Miles enters the game for L. Allen
4:06.0,J. Leuer makes 2-pt shot from 19 ft (assist by T. Warren),2,11-17,,
3:50.0,,,11-20,3,C. Miles makes 3-pt shot from 25 ft (assist by M. Ellis)
3:31.0,M. Morris misses 2-pt shot from 16 ft,,11-20,,
3:30.0,,,11-20,,Defensive rebound by P. George
3:22.0,,,11-20,,Shooting foul by P. Tucker (drawn by P. George)
3:22.0,,,11-21,1,P. George makes free throw 1 of 2
3:22.0,,,11-22,1,P. George makes free throw 2 of 2
3:11.0,T. Warren misses 2-pt shot from 17 ft,,11-22,,
3:10.0,,,11-22,,Defensive rebound by R. Stuckey
2:53.0,,,11-22,,M. Ellis misses 2-pt shot from 20 ft
2:53.0,Defensive rebound by M. Morris,,11-22,,
2:44.0,M. Morris misses 3-pt shot from 26 ft,,11-22,,
2:43.0,,,11-22,,Defensive rebound by J. Hill
2:29.0,,,11-22,,Turnover by C. Miles (bad pass; steal by A. Goodwin)
2:19.0,,,11-22,,Shooting block foul by P. George (drawn by J. Leuer)
2:19.0,,,11-22,,Indiana full timeout
2:19.0,L. Brown enters the game for A. Goodwin,,11-22,,
2:19.0,,,11-22,,G. Robinson enters the game for P. George
2:19.0,J. Leuer makes free throw 1 of 2,1,12-22,,
2:19.0,J. Leuer makes free throw 2 of 2,1,13-22,,
2:06.0,,,13-25,3,C. Miles makes 3-pt shot from 26 ft (assist by M. Ellis)
1:47.0,Turnover by J. Leuer (bad pass; steal by C. Miles),,13-25,,
1:42.0,,,13-25,,C. Miles misses 2-pt shot from 7 ft
1:41.0,,,13-25,,Offensive rebound by J. Hill
1:38.0,,,13-25,,G. Robinson misses 2-pt shot from 17 ft
1:37.0,Defensive rebound by M. Morris,,13-25,,
1:29.0,M. Morris makes 2-pt shot at rim (assist by L. Brown),2,15-25,,
1:12.0,,,15-25,,M. Ellis misses 2-pt shot from 19 ft
1:11.0,Defensive rebound by J. Leuer,,15-25,,
1:02.0,M. Morris makes 2-pt shot at rim (assist by L. Brown),2,17-25,,
0:43.0,,,17-25,,R. Stuckey misses 2-pt shot from 18 ft
0:42.0,Defensive rebound by J. Leuer,,17-25,,
0:34.0,M. Teletovic enters the game for J. Leuer,,17-25,,
0:34.0,,,17-25,,G. Hill enters the game for R. Stuckey
0:31.0,T. Warren makes 2-pt shot from 14 ft (assist by P. Tucker),2,19-25,,
0:08.0,,,19-25,,J. Hill misses 2-pt shot from 19 ft
0:08.0,Defensive rebound by P. Tucker,,19-25,,
0:00.0,M. Morris misses 3-pt shot from 23 ft,,19-25,,
0:00.0,Offensive rebound by Team,,19-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,19-25,,Personal foul by C. Miles (drawn by M. Morris)
11:40.0,Turnover by L. Brown (bad pass; steal by C. Budinger),,19-25,,
11:36.0,,,19-25,,Turnover by G. Robinson (bad pass; steal by M. Morris)
11:32.0,Shooting foul by J. Hill (drawn by T. Warren),,19-25,,
11:32.0,T. Warren makes free throw 1 of 2,1,20-25,,
11:32.0,T. Warren misses free throw 2 of 2,,20-25,,
11:32.0,,,20-25,,Defensive rebound by J. Hill
11:09.0,,,20-25,,G. Hill misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by M. Morris,,20-25,,
11:01.0,T. Warren misses 2-pt shot from 15 ft,,20-25,,
11:00.0,,,20-25,,Defensive rebound by C. Miles
10:53.0,,,20-25,,Shooting foul by D. Booker (drawn by C. Miles)
10:53.0,,,20-25,,C. Miles misses free throw 1 of 2
10:53.0,,,20-25,,Offensive rebound by Team
10:53.0,,,20-26,1,C. Miles makes free throw 2 of 2
10:41.0,D. Booker misses 3-pt shot from 26 ft,,20-26,,
10:40.0,,,20-26,,Defensive rebound by C. Budinger
10:31.0,,,20-26,,Shooting foul by T. Warren (drawn by J. Hill)
10:31.0,,,20-27,1,J. Hill makes free throw 1 of 2
10:31.0,,,20-28,1,J. Hill makes free throw 2 of 2
10:15.0,D. Booker makes 2-pt shot at rim,2,22-28,,
9:57.0,,,22-28,,C. Budinger misses 2-pt shot from 9 ft
9:57.0,Defensive rebound by L. Brown,,22-28,,
9:49.0,M. Teletovic makes 3-pt shot from 26 ft (assist by M. Morris),3,25-28,,
9:28.0,,,25-28,,J. Hill misses 2-pt shot from 8 ft
9:28.0,Defensive rebound by M. Teletovic,,25-28,,
9:18.0,Phoenix full timeout,,25-28,,
9:08.0,M. Teletovic makes 3-pt shot from 27 ft (assist by L. Brown),3,28-28,,
8:44.0,,,28-28,,Turnover by G. Hill (bad pass; steal by L. Brown)
8:43.0,Turnover by L. Brown (traveling),,28-28,,
8:20.0,,,28-28,,J. Hill misses 2-pt shot from 18 ft
8:20.0,Defensive rebound by M. Teletovic,,28-28,,
8:00.0,M. Morris misses 2-pt shot from 19 ft,,28-28,,
8:00.0,,,28-28,,Defensive rebound by G. Hill
7:51.0,,,28-28,,Shooting foul by M. Teletovic (drawn by J. Hill)
7:51.0,,,28-29,1,J. Hill makes free throw 1 of 2
7:51.0,,,28-30,1,J. Hill makes free throw 2 of 2
7:36.0,M. Morris misses 2-pt shot from 3 ft (block by G. Robinson),,28-30,,
7:34.0,,,28-30,,Defensive rebound by G. Hill
7:30.0,,,28-32,2,C. Budinger makes 2-pt shot from 17 ft (assist by G. Hill)
7:06.0,M. Teletovic misses 2-pt shot from 20 ft,,28-32,,
7:05.0,,,28-32,,Defensive rebound by G. Robinson
6:53.0,,,28-32,,C. Miles misses 2-pt shot from 17 ft
6:52.0,Defensive rebound by L. Brown,,28-32,,
6:44.0,L. Brown makes 3-pt shot from 26 ft (assist by D. Booker),3,31-32,,
6:23.0,,,31-34,2,C. Miles makes 2-pt shot from 18 ft (assist by J. Hill)
6:16.0,T. Warren misses 2-pt shot from 12 ft,,31-34,,
6:15.0,,,31-34,,Defensive rebound by Team
6:15.0,Loose ball foul by D. Booker (drawn by C. Miles),,31-34,,
6:15.0,,,31-34,,P. George enters the game for G. Robinson
6:15.0,,,31-34,,I. Mahinmi enters the game for J. Hill
6:15.0,P. Tucker enters the game for D. Booker,,31-34,,
6:15.0,J. Leuer enters the game for M. Morris,,31-34,,
6:03.0,,,31-34,,Offensive charge foul by P. George
6:03.0,,,31-34,,Turnover by P. George (offensive foul)
6:03.0,,,31-34,,G. Robinson enters the game for P. George
5:49.0,M. Teletovic makes 3-pt shot from 25 ft (assist by P. Tucker),3,34-34,,
5:48.0,,,34-34,,Indiana full timeout
5:48.0,,,34-34,,L. Allen enters the game for G. Robinson
5:35.0,,,34-34,,C. Miles misses 3-pt shot from 27 ft
5:34.0,Defensive rebound by J. Leuer,,34-34,,
5:23.0,,,34-34,,M. Ellis enters the game for G. Hill
5:16.0,M. Teletovic misses 2-pt shot from 15 ft,,34-34,,
5:15.0,Offensive rebound by Team,,34-34,,
5:10.0,T. Warren misses 2-pt shot from 17 ft,,34-34,,
5:08.0,Offensive rebound by Team,,34-34,,
5:03.0,L. Brown makes 2-pt shot from 18 ft,2,36-34,,
4:45.0,,,36-34,,C. Miles misses 2-pt shot from 1 ft
4:45.0,Defensive rebound by M. Teletovic,,36-34,,
4:40.0,Turnover by L. Brown (offensive foul),,36-34,,
4:40.0,Offensive charge foul by L. Brown,,36-34,,
4:32.0,,,36-34,,G. Hill enters the game for C. Budinger
4:27.0,,,36-34,,Shooting foul by M. Teletovic (drawn by G. Hill)
4:27.0,,,36-35,1,I. Mahinmi makes free throw 1 of 2
4:27.0,,,36-36,1,I. Mahinmi makes free throw 2 of 2
4:12.0,L. Brown misses 2-pt shot from 12 ft,,36-36,,
4:10.0,Offensive rebound by T. Warren,,36-36,,
4:10.0,T. Warren misses 2-pt shot at rim,,36-36,,
4:10.0,,,36-36,,Defensive rebound by C. Miles
3:59.0,,,36-38,2,L. Allen makes 2-pt shot from 1 ft (assist by C. Miles)
3:50.0,M. Teletovic makes 3-pt shot from 28 ft (assist by L. Brown),3,39-38,,
3:29.0,,,39-40,2,I. Mahinmi makes 2-pt shot from 6 ft
3:24.0,Turnover by L. Brown (bad pass; steal by I. Mahinmi),,39-40,,
3:18.0,,,39-43,3,G. Hill makes 3-pt shot from 23 ft (assist by M. Ellis)
2:57.0,J. Leuer makes 2-pt shot from 10 ft,2,41-43,,
2:43.0,,,41-43,,Shooting foul by J. Leuer (drawn by I. Mahinmi)
2:43.0,Official timeout,,41-43,,
2:43.0,T. Chandler enters the game for J. Leuer,,41-43,,
2:43.0,M. Morris enters the game for M. Teletovic,,41-43,,
2:43.0,,,41-43,,I. Mahinmi misses free throw 1 of 2
2:43.0,,,41-43,,Offensive rebound by Team
2:43.0,,,41-44,1,I. Mahinmi makes free throw 2 of 2
2:29.0,,,41-44,,Personal foul by L. Allen (drawn by M. Morris)
2:13.0,T. Warren misses 2-pt shot from 17 ft,,41-44,,
2:13.0,,,41-44,,Defensive rebound by I. Mahinmi
1:49.0,,,41-46,2,C. Miles makes 2-pt shot from 18 ft
1:33.0,Turnover by M. Morris (bad pass; steal by M. Ellis),,41-46,,
1:27.0,,,41-48,2,L. Allen makes 2-pt shot from 1 ft
1:03.0,Shooting foul by I. Mahinmi (drawn by T. Chandler),,41-48,,
1:03.0,T. Chandler misses free throw 1 of 2,,41-48,,
1:03.0,Offensive rebound by Team,,41-48,,
1:03.0,A. Goodwin enters the game for T. Warren,,41-48,,
1:03.0,T. Chandler makes free throw 2 of 2,1,42-48,,
0:51.0,,,42-50,2,G. Hill makes 2-pt shot from 19 ft (assist by M. Ellis)
0:38.0,Turnover by M. Morris (back court),,42-50,,
0:31.0,,,42-50,,L. Allen misses 2-pt shot from 9 ft
0:30.0,,,42-50,,Offensive rebound by I. Mahinmi
0:30.0,,,42-52,2,I. Mahinmi makes 2-pt shot at rim
0:11.0,L. Brown misses 3-pt shot from 27 ft,,42-52,,
0:10.0,,,42-52,,Defensive rebound by C. Miles
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,A. Goodwin makes 2-pt shot at rim,2,44-52,,
11:24.0,Personal foul by P. Tucker (drawn by P. George),,44-52,,
11:11.0,,,44-52,,G. Hill misses 2-pt shot from 6 ft
11:11.0,Defensive rebound by T. Chandler,,44-52,,
10:51.0,J. Leuer misses 2-pt shot from 16 ft,,44-52,,
10:50.0,,,44-52,,Defensive rebound by P. George
10:37.0,,,44-54,2,L. Allen makes 2-pt shot from 19 ft (assist by I. Mahinmi)
10:14.0,A. Goodwin misses 2-pt shot from 1 ft (block by L. Allen),,44-54,,
10:14.0,Offensive rebound by Team,,44-54,,
10:10.0,J. Leuer misses 3-pt shot from 24 ft,,44-54,,
10:10.0,Offensive rebound by Team,,44-54,,
10:10.0,Turnover by Team (shot clock),,44-54,,
10:02.0,,,44-57,3,P. George makes 3-pt shot from 24 ft (assist by G. Hill)
9:46.0,Shooting foul by P. George (drawn by P. Tucker),,44-57,,
9:46.0,P. Tucker makes free throw 1 of 3,1,45-57,,
9:46.0,P. Tucker makes free throw 2 of 3,1,46-57,,
9:46.0,M. Teletovic enters the game for J. Leuer,,46-57,,
9:46.0,P. Tucker makes free throw 3 of 3,1,47-57,,
9:27.0,Personal foul by P. Tucker (drawn by P. George),,47-57,,
9:20.0,,,47-57,,P. George misses 2-pt shot from 21 ft
9:19.0,Defensive rebound by T. Chandler,,47-57,,
9:09.0,A. Goodwin makes 2-pt shot from 1 ft,2,49-57,,
8:55.0,,,49-57,,I. Mahinmi misses 2-pt shot from 20 ft
8:54.0,Defensive rebound by T. Chandler,,49-57,,
8:45.0,A. Goodwin makes 2-pt shot from 2 ft (assist by T. Chandler),2,51-57,,
8:45.0,Shooting foul by I. Mahinmi (drawn by A. Goodwin),,51-57,,
8:45.0,A. Goodwin misses free throw 1 of 1,,51-57,,
8:45.0,,,51-57,,Defensive rebound by I. Mahinmi
8:29.0,,,51-57,,G. Hill misses 3-pt shot from 24 ft
8:27.0,,,51-57,,Offensive rebound by L. Allen
8:22.0,,,51-57,,P. George misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by P. Tucker,,51-57,,
8:16.0,M. Teletovic misses 3-pt shot from 26 ft,,51-57,,
8:15.0,,,51-57,,Defensive rebound by L. Allen
8:09.0,,,51-57,,Shooting foul by M. Teletovic (drawn by M. Ellis)
8:09.0,,,51-58,1,M. Ellis makes free throw 1 of 2
8:09.0,,,51-58,,M. Ellis misses free throw 2 of 2
8:09.0,Defensive rebound by P. Tucker,,51-58,,
7:50.0,P. Tucker misses 2-pt shot at rim,,51-58,,
7:49.0,Offensive rebound by P. Tucker,,51-58,,
7:49.0,P. Tucker makes 2-pt shot at rim,2,53-58,,
7:32.0,Personal foul by P. Tucker (drawn by P. George),,53-58,,
7:28.0,,,53-58,,P. George misses 3-pt shot from 22 ft
7:26.0,Defensive rebound by T. Chandler,,53-58,,
7:20.0,P. Tucker misses 3-pt shot from 26 ft,,53-58,,
7:18.0,Offensive rebound by P. Tucker,,53-58,,
7:11.0,,,53-58,,Personal block foul by I. Mahinmi (drawn by A. Goodwin)
7:03.0,Turnover by M. Teletovic (bad pass),,53-58,,
6:58.0,,,53-58,,P. George misses 3-pt shot from 23 ft
6:56.0,Defensive rebound by A. Goodwin,,53-58,,
6:43.0,A. Goodwin makes 2-pt shot from 1 ft,2,55-58,,
6:43.0,Shooting foul by L. Allen (drawn by A. Goodwin),,55-58,,
6:43.0,A. Goodwin makes free throw 1 of 1,1,56-58,,
6:30.0,,,56-58,,P. George misses 3-pt shot from 23 ft
6:29.0,Defensive rebound by D. Booker,,56-58,,
6:24.0,Turnover by D. Booker (lost ball; steal by P. George),,56-58,,
6:22.0,,,56-60,2,P. George makes 2-pt shot at rim
6:22.0,,,56-60,,Shooting foul by D. Booker (drawn by P. George)
6:22.0,,,56-61,1,P. George makes free throw 1 of 1
6:09.0,D. Booker makes 2-pt shot from 20 ft (assist by T. Chandler),2,58-61,,
5:50.0,,,58-61,,G. Hill misses 3-pt shot from 24 ft
5:49.0,,,58-61,,Offensive rebound by L. Allen
5:49.0,,,58-61,,Turnover by L. Allen (step out of bounds)
5:49.0,,,58-61,,Indiana full timeout
5:34.0,A. Goodwin misses 2-pt shot from 4 ft,,58-61,,
5:34.0,,,58-61,,Defensive rebound by Team
5:16.0,,,58-61,,Turnover by G. Hill (bad pass; steal by T. Chandler)
5:06.0,M. Teletovic misses 3-pt shot from 26 ft,,58-61,,
5:05.0,Offensive rebound by P. Tucker,,58-61,,
5:04.0,P. Tucker misses 2-pt shot at rim (block by P. George),,58-61,,
5:04.0,Offensive rebound by P. Tucker,,58-61,,
5:04.0,Jump ball: P. George vs. P. Tucker (A. Goodwin gains possession),,,,Jump ball: P. George vs. P. Tucker (A. Goodwin gains possession)
4:41.0,Shooting foul by L. Allen (drawn by A. Goodwin),,58-61,,
4:41.0,A. Goodwin makes free throw 1 of 2,1,59-61,,
4:41.0,,,59-61,,C. Miles enters the game for P. George
4:41.0,A. Goodwin misses free throw 2 of 2,,59-61,,
4:41.0,,,59-61,,Defensive rebound by C. Miles
4:35.0,,,59-63,2,M. Ellis makes 2-pt shot at rim
4:24.0,D. Booker makes 2-pt shot from 15 ft,2,61-63,,
4:08.0,,,61-66,3,M. Ellis makes 3-pt shot from 24 ft (assist by G. Hill)
3:53.0,D. Booker makes 2-pt shot from 21 ft (assist by T. Chandler),2,63-66,,
3:34.0,,,63-66,,Shooting foul by T. Chandler (drawn by C. Miles)
3:34.0,,,63-67,1,C. Miles makes free throw 1 of 2
3:34.0,T. Warren enters the game for P. Tucker,,63-67,,
3:34.0,,,63-67,,J. Hill enters the game for I. Mahinmi
3:34.0,,,63-68,1,C. Miles makes free throw 2 of 2
3:20.0,Turnover by D. Booker (bad pass; steal by M. Ellis),,63-68,,
3:15.0,,,63-70,2,G. Hill makes 2-pt shot at rim (assist by M. Ellis)
3:08.0,Phoenix full timeout,,63-70,,
3:08.0,M. Morris enters the game for T. Chandler,,63-70,,
3:08.0,,,63-70,,C. Budinger enters the game for L. Allen
3:08.0,,,63-70,,G. Robinson enters the game for G. Hill
2:58.0,M. Morris makes 2-pt shot from 20 ft (assist by D. Booker),2,65-70,,
2:30.0,,,65-70,,C. Miles misses 2-pt shot from 12 ft
2:28.0,Defensive rebound by A. Goodwin,,65-70,,
2:23.0,M. Teletovic makes 2-pt shot at rim (assist by A. Goodwin),2,67-70,,
2:14.0,,,67-72,2,M. Ellis makes 2-pt shot from 1 ft
1:57.0,D. Booker makes 3-pt shot from 26 ft (assist by M. Teletovic),3,70-72,,
1:42.0,,,70-72,,Turnover by C. Budinger (step out of bounds)
1:37.0,M. Morris makes 2-pt shot at rim,2,72-72,,
1:37.0,Shooting foul by J. Hill (drawn by M. Morris),,72-72,,
1:37.0,M. Morris makes free throw 1 of 1,1,73-72,,
1:25.0,,,73-74,2,M. Ellis makes 2-pt shot at rim (assist by J. Hill)
1:11.0,D. Booker makes 2-pt shot from 19 ft (assist by M. Teletovic),2,75-74,,
1:03.0,,,75-76,2,M. Ellis makes 2-pt shot from 1 ft
0:49.0,Shooting foul by G. Robinson (drawn by D. Booker),,75-76,,
0:49.0,D. Booker misses free throw 1 of 2,,75-76,,
0:49.0,Offensive rebound by Team,,75-76,,
0:49.0,D. Booker makes free throw 2 of 2,1,76-76,,
0:36.0,Personal foul by M. Morris (drawn by J. Hill),,76-76,,
0:36.0,,,76-77,1,J. Hill makes free throw 1 of 2
0:36.0,,,76-78,1,J. Hill makes free throw 2 of 2
0:23.0,Turnover by M. Teletovic (bad pass; steal by J. Hill),,76-78,,
0:17.0,,,76-78,,C. Budinger misses 3-pt shot from 23 ft
0:16.0,,,76-78,,Offensive rebound by G. Robinson
0:02.0,,,76-78,,M. Ellis misses 2-pt shot from 1 ft (block by A. Goodwin)
0:01.0,,,76-78,,Offensive rebound by Team
0:00.0,,,76-80,2,G. Robinson makes 2-pt shot from 17 ft (assist by C. Budinger)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,76-80,,C. Miles misses 2-pt shot from 16 ft
11:44.0,Defensive rebound by M. Morris,,76-80,,
11:29.0,M. Morris misses 3-pt shot from 24 ft,,76-80,,
11:28.0,,,76-80,,Defensive rebound by P. George
11:22.0,,,76-83,3,C. Miles makes 3-pt shot from 25 ft (assist by P. George)
10:59.0,M. Teletovic makes 2-pt shot from 17 ft,2,78-83,,
10:51.0,Personal foul by M. Teletovic (drawn by C. Miles),,78-83,,
10:39.0,,,78-85,2,P. George makes 2-pt shot from 16 ft
10:21.0,Shooting foul by J. Hill (drawn by M. Morris),,78-85,,
10:21.0,M. Morris makes free throw 1 of 2,1,79-85,,
10:21.0,P. Tucker enters the game for D. Booker,,79-85,,
10:21.0,M. Morris misses free throw 2 of 2,,79-85,,
10:21.0,,,79-85,,Defensive rebound by C. Miles
9:59.0,,,79-85,,Turnover by G. Robinson (bad pass; steal by T. Warren)
9:52.0,M. Morris misses 2-pt shot from 18 ft,,79-85,,
9:51.0,,,79-85,,Defensive rebound by P. George
9:45.0,Personal foul by P. Tucker (drawn by P. George),,79-85,,
9:39.0,,,79-85,,G. Robinson misses 2-pt shot from 20 ft
9:38.0,,,79-85,,Offensive rebound by J. Hill
9:35.0,,,79-87,2,G. Hill makes 2-pt shot at rim (assist by J. Hill)
9:17.0,P. Tucker misses 3-pt shot from 23 ft,,79-87,,
9:16.0,,,79-87,,Defensive rebound by Team
8:56.0,,,79-87,,Shooting foul by M. Morris (drawn by J. Hill)
8:56.0,Official timeout,,79-87,,
8:56.0,L. Brown enters the game for A. Goodwin,,79-87,,
8:56.0,,,79-87,,J. Hill misses free throw 1 of 2
8:56.0,,,79-87,,Offensive rebound by Team
8:56.0,,,79-87,,J. Hill misses free throw 2 of 2
8:56.0,Defensive rebound by M. Morris,,79-87,,
8:35.0,T. Warren misses 2-pt shot from 1 ft,,79-87,,
8:34.0,,,79-87,,Defensive rebound by J. Hill
8:14.0,,,79-87,,J. Hill misses 2-pt shot from 10 ft
8:13.0,,,79-87,,Offensive rebound by G. Robinson
8:13.0,,,79-87,,G. Robinson misses 2-pt shot at rim
8:13.0,Defensive rebound by M. Morris,,79-87,,
8:01.0,L. Brown misses 3-pt shot from 26 ft,,79-87,,
7:59.0,Offensive rebound by M. Morris,,79-87,,
7:59.0,M. Morris misses 2-pt shot at rim,,79-87,,
7:58.0,Offensive rebound by T. Warren,,79-87,,
7:58.0,T. Warren misses 2-pt shot at rim,,79-87,,
7:56.0,,,79-87,,Defensive rebound by G. Hill
7:45.0,,,79-89,2,J. Hill makes 2-pt shot at rim (assist by G. Hill)
7:26.0,T. Warren makes 3-pt shot from 23 ft (assist by L. Brown),3,82-89,,
7:17.0,,,82-91,2,P. George makes 2-pt shot from 4 ft
7:17.0,Shooting block foul by M. Morris (drawn by P. George),,82-91,,
7:17.0,,,82-91,,M. Ellis enters the game for G. Robinson
7:17.0,,,82-92,1,P. George makes free throw 1 of 1
7:02.0,M. Morris misses 2-pt shot from 16 ft,,82-92,,
7:01.0,Offensive rebound by P. Tucker,,82-92,,
6:56.0,M. Morris makes 2-pt shot at rim (assist by P. Tucker),2,84-92,,
6:36.0,,,84-92,,C. Miles misses 3-pt shot from 24 ft
6:36.0,Defensive rebound by M. Teletovic,,84-92,,
6:23.0,Turnover by M. Morris (bad pass; steal by M. Ellis),,84-92,,
6:10.0,,,84-92,,M. Ellis misses 3-pt shot from 22 ft
6:08.0,Defensive rebound by P. Tucker,,84-92,,
5:47.0,M. Morris misses 2-pt shot from 1 ft (block by C. Miles),,84-92,,
5:46.0,,,84-92,,Defensive rebound by C. Miles
5:41.0,,,84-95,3,G. Hill makes 3-pt shot from 24 ft (assist by C. Miles)
5:40.0,Phoenix full timeout,,84-95,,
5:40.0,A. Goodwin enters the game for L. Brown,,84-95,,
5:40.0,D. Booker enters the game for M. Teletovic,,84-95,,
5:40.0,,,84-95,,I. Mahinmi enters the game for J. Hill
5:26.0,D. Booker makes 2-pt shot from 17 ft (assist by T. Warren),2,86-95,,
5:12.0,,,86-97,2,P. George makes 2-pt shot at rim (assist by M. Ellis)
4:56.0,M. Morris misses 3-pt shot from 25 ft,,86-97,,
4:53.0,,,86-97,,Defensive rebound by C. Miles
4:37.0,,,86-97,,Turnover by M. Ellis (traveling)
4:20.0,T. Warren misses 3-pt shot from 26 ft,,86-97,,
4:19.0,Offensive rebound by M. Morris,,86-97,,
4:16.0,A. Goodwin misses 3-pt shot from 26 ft,,86-97,,
4:15.0,,,86-97,,Defensive rebound by P. George
4:05.0,,,86-100,3,C. Miles makes 3-pt shot from 25 ft (assist by G. Hill)
3:45.0,Offensive charge foul by D. Booker,,86-100,,
