time,Minnesota,pts.away,score,pts.home,New York
1:44.0,,,20-22,1,S. Vujacic makes flagrant free throw 2 of 2
1:40.0,,,20-22,,Shooting foul by A. Payne (drawn by D. Williams)
1:40.0,,,20-22,,D. Williams misses free throw 1 of 2
1:40.0,,,20-22,,Offensive rebound by Team
1:40.0,,,20-23,1,D. Williams makes free throw 2 of 2
1:29.0,,,20-23,,Personal foul by K. O'Quinn (drawn by G. Dieng)
1:29.0,,,20-23,,R. Lopez enters the game for K. O'Quinn
1:18.0,G. Dieng makes 2-pt shot from 1 ft,2,22-23,,
1:02.0,,,22-25,2,D. Williams makes 2-pt shot at rim (assist by L. Galloway)
0:50.0,G. Dieng makes 2-pt shot from 19 ft,2,24-25,,
0:34.0,,,24-27,2,L. Galloway makes 2-pt shot from 18 ft (assist by L. Thomas)
0:20.0,A. Wiggins makes 2-pt shot from 16 ft (assist by Z. LaVine),2,26-27,,
0:01.0,,,26-27,,R. Lopez misses 2-pt shot from 12 ft
0:00.0,Defensive rebound by S. Muhammad,,26-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Z. LaVine makes 2-pt shot from 21 ft,2,28-27,,
11:28.0,,,28-29,2,L. Galloway makes 2-pt shot from 19 ft
11:08.0,S. Muhammad misses 2-pt shot from 6 ft,,28-29,,
11:07.0,Offensive rebound by G. Dieng,,28-29,,
11:07.0,G. Dieng misses 2-pt shot from 1 ft,,28-29,,
11:06.0,,,28-29,,Defensive rebound by Team
10:42.0,,,28-29,,L. Thomas misses 2-pt shot from 2 ft
10:41.0,Defensive rebound by S. Muhammad,,28-29,,
10:32.0,S. Muhammad makes 2-pt shot from 1 ft (assist by G. Dieng),2,30-29,,
10:18.0,,,30-29,,L. Thomas misses 2-pt shot from 19 ft
10:17.0,Defensive rebound by S. Muhammad,,30-29,,
10:08.0,,,30-29,,Personal foul by S. Vujacic (drawn by S. Muhammad)
10:02.0,Turnover by Z. LaVine (lost ball; steal by L. Galloway),,30-29,,
10:00.0,,,30-29,,Turnover by K. Seraphin (bad pass; steal by G. Dieng)
9:59.0,Shooting foul by L. Thomas (drawn by S. Muhammad),,30-29,,
9:59.0,S. Muhammad makes free throw 1 of 2,1,31-29,,
9:59.0,S. Muhammad makes free throw 2 of 2,1,32-29,,
9:47.0,Personal foul by Z. LaVine (drawn by S. Vujacic),,32-29,,
9:36.0,,,32-29,,S. Vujacic misses 2-pt shot from 18 ft
9:35.0,,,32-29,,Offensive rebound by L. Thomas
9:16.0,,,32-29,,D. Williams misses 2-pt shot from 13 ft
9:15.0,Defensive rebound by G. Dieng,,32-29,,
9:03.0,D. Rudez misses 3-pt shot from 25 ft,,32-29,,
9:02.0,,,32-29,,Defensive rebound by L. Galloway
8:46.0,,,32-31,2,L. Thomas makes 2-pt shot from 11 ft (assist by L. Galloway)
8:38.0,Minnesota full timeout,,32-31,,
8:38.0,,,32-31,,C. Anthony enters the game for L. Thomas
8:38.0,,,32-31,,A. Afflalo enters the game for S. Vujacic
8:38.0,,,32-31,,J. Calderon enters the game for D. Williams
8:38.0,K. Towns enters the game for G. Dieng,,32-31,,
8:29.0,Z. LaVine misses 2-pt shot from 17 ft,,32-31,,
8:28.0,Offensive rebound by S. Muhammad,,32-31,,
8:27.0,S. Muhammad makes 2-pt shot from 1 ft,2,34-31,,
8:04.0,,,34-34,3,J. Calderon makes 3-pt shot from 24 ft (assist by L. Galloway)
7:50.0,T. Prince enters the game for D. Rudez,,34-34,,
7:38.0,Turnover by Team (shot clock),,34-34,,
7:24.0,,,34-34,,Turnover by J. Calderon (bad pass; steal by S. Muhammad)
7:09.0,A. Miller misses 2-pt shot from 10 ft,,34-34,,
7:08.0,,,34-34,,Defensive rebound by C. Anthony
7:01.0,,,34-34,,L. Galloway misses 2-pt shot at rim
7:00.0,,,34-34,,Offensive rebound by L. Galloway
6:55.0,,,34-34,,A. Afflalo misses 3-pt shot from 23 ft
6:54.0,,,34-34,,Offensive rebound by L. Galloway
6:50.0,,,34-36,2,A. Afflalo makes 2-pt shot at rim
6:28.0,T. Prince misses 2-pt shot from 18 ft,,34-36,,
6:27.0,,,34-36,,Defensive rebound by C. Anthony
6:19.0,,,34-38,2,K. Seraphin makes 2-pt shot from 1 ft (assist by C. Anthony)
6:19.0,,,34-38,,Shooting foul by T. Prince (drawn by K. Seraphin)
6:19.0,R. Rubio enters the game for A. Miller,,34-38,,
6:19.0,A. Wiggins enters the game for S. Muhammad,,34-38,,
6:19.0,,,34-39,1,K. Seraphin makes free throw 1 of 1
6:01.0,Z. LaVine misses 2-pt shot from 10 ft,,34-39,,
6:00.0,,,34-39,,Defensive rebound by C. Anthony
5:50.0,,,34-39,,K. Seraphin misses 2-pt shot from 7 ft
5:49.0,Defensive rebound by Z. LaVine,,34-39,,
5:38.0,K. Towns misses 2-pt shot from 2 ft,,34-39,,
5:37.0,,,34-39,,Defensive rebound by J. Calderon
5:31.0,,,34-39,,A. Afflalo misses 3-pt shot from 23 ft
5:30.0,,,34-39,,Offensive rebound by K. Seraphin
5:24.0,,,34-42,3,A. Afflalo makes 3-pt shot from 23 ft (assist by K. Seraphin)
5:14.0,Minnesota full timeout,,34-42,,
5:14.0,Official timeout,,34-42,,
5:14.0,,,34-42,,K. Porzingis enters the game for K. Seraphin
5:14.0,S. Muhammad enters the game for Z. LaVine,,34-42,,
5:06.0,A. Wiggins misses 2-pt shot at rim (block by K. Porzingis),,34-42,,
5:05.0,,,34-42,,Defensive rebound by J. Calderon
4:59.0,,,34-42,,L. Galloway misses 2-pt shot at rim
4:58.0,Defensive rebound by S. Muhammad,,34-42,,
4:49.0,T. Prince makes 2-pt shot at rim (assist by R. Rubio),2,36-42,,
4:40.0,,,36-42,,Shooting foul by T. Prince (drawn by C. Anthony)
4:40.0,,,36-42,,C. Anthony misses free throw 1 of 2
4:40.0,,,36-42,,Offensive rebound by Team
4:40.0,,,36-42,,L. Thomas enters the game for L. Galloway
4:40.0,,,36-43,1,C. Anthony makes free throw 2 of 2
4:31.0,Offensive foul by K. Towns,,36-43,,
4:31.0,Turnover by K. Towns (offensive foul),,36-43,,
4:10.0,,,36-43,,C. Anthony misses 2-pt shot from 11 ft
4:09.0,,,36-43,,Offensive rebound by K. Porzingis
3:54.0,,,36-46,3,A. Afflalo makes 3-pt shot from 24 ft (assist by C. Anthony)
3:40.0,R. Rubio misses 2-pt shot from 13 ft,,36-46,,
3:39.0,Offensive rebound by K. Towns,,36-46,,
3:38.0,K. Towns misses 2-pt shot from 1 ft,,36-46,,
3:37.0,,,36-46,,Defensive rebound by C. Anthony
3:29.0,,,36-46,,Offensive foul by K. Porzingis
3:29.0,,,36-46,,Turnover by K. Porzingis (offensive foul)
3:13.0,K. Towns makes 2-pt shot from 3 ft (assist by T. Prince),2,38-46,,
3:03.0,,,38-46,,K. Porzingis misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by R. Rubio,,38-46,,
2:52.0,R. Rubio misses 2-pt shot from 1 ft,,38-46,,
2:51.0,Offensive rebound by R. Rubio,,38-46,,
2:44.0,S. Muhammad misses 2-pt shot from 1 ft,,38-46,,
2:43.0,Offensive rebound by S. Muhammad,,38-46,,
2:42.0,S. Muhammad misses 2-pt shot from 5 ft (block by K. Porzingis),,38-46,,
2:41.0,Offensive rebound by S. Muhammad,,38-46,,
2:34.0,S. Muhammad misses 2-pt shot from 1 ft,,38-46,,
2:33.0,,,38-46,,Defensive rebound by K. Porzingis
2:33.0,,,38-48,2,L. Thomas makes 2-pt shot from 19 ft
2:33.0,,,38-48,,Shooting foul by T. Prince (drawn by L. Thomas)
2:33.0,,,38-48,,New York full timeout
2:33.0,D. Rudez enters the game for T. Prince,,38-48,,
2:33.0,,,38-49,1,L. Thomas makes free throw 1 of 1
2:13.0,R. Rubio misses 2-pt shot from 20 ft,,38-49,,
2:12.0,,,38-49,,Defensive rebound by L. Thomas
2:01.0,Violation by K. Towns (kicked ball),,38-49,,
1:54.0,,,38-51,2,A. Afflalo makes 2-pt shot from 19 ft (assist by J. Calderon)
1:37.0,A. Wiggins misses 2-pt shot from 2 ft (block by K. Porzingis),,38-51,,
1:36.0,Offensive rebound by Team,,38-51,,
1:28.0,K. Towns misses 2-pt shot from 18 ft,,38-51,,
1:27.0,,,38-51,,Defensive rebound by K. Porzingis
1:17.0,,,38-53,2,A. Afflalo makes 2-pt shot from 20 ft (assist by K. Porzingis)
0:51.0,S. Muhammad misses 3-pt shot from 25 ft,,38-53,,
0:50.0,,,38-53,,Defensive rebound by C. Anthony
0:43.0,Personal foul by D. Rudez (drawn by K. Porzingis),,38-53,,
0:43.0,,,38-54,1,K. Porzingis makes free throw 1 of 2
0:43.0,Z. LaVine enters the game for S. Muhammad,,38-54,,
0:43.0,,,38-55,1,K. Porzingis makes free throw 2 of 2
0:36.0,Z. LaVine misses 3-pt shot from 24 ft,,38-55,,
0:35.0,,,38-55,,Defensive rebound by L. Thomas
0:28.0,,,38-58,3,C. Anthony makes 3-pt shot from 24 ft
0:24.0,A. Wiggins makes 2-pt shot at rim,2,40-58,,
0:24.0,,,40-58,,New York full timeout
0:01.0,,,40-60,2,C. Anthony makes 2-pt shot from 18 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,40-60,,Personal foul by A. Afflalo (drawn by A. Wiggins)
11:36.0,K. Towns makes 2-pt shot from 17 ft,2,42-60,,
11:22.0,,,42-60,,K. Porzingis misses 2-pt shot from 14 ft
11:21.0,Defensive rebound by A. Wiggins,,42-60,,
11:11.0,Turnover by A. Wiggins (bad pass; steal by C. Anthony),,42-60,,
11:07.0,,,42-60,,Turnover by J. Calderon (bad pass; steal by R. Rubio)
11:04.0,T. Prince misses 3-pt shot from 23 ft,,42-60,,
11:03.0,,,42-60,,Defensive rebound by J. Calderon
10:54.0,,,42-60,,K. Porzingis misses 3-pt shot from 25 ft
10:54.0,,,42-60,,Offensive rebound by R. Lopez
10:49.0,,,42-62,2,K. Porzingis makes 2-pt shot at rim (assist by R. Lopez)
10:25.0,K. Towns misses 2-pt shot from 3 ft,,42-62,,
10:24.0,,,42-62,,Defensive rebound by J. Calderon
10:20.0,Personal foul by K. Towns (drawn by R. Lopez),,42-62,,
10:09.0,,,42-62,,Turnover by K. Porzingis (traveling)
10:00.0,Offensive foul by G. Dieng,,42-62,,
10:00.0,Turnover by G. Dieng (offensive foul),,42-62,,
9:36.0,,,42-64,2,R. Lopez makes 2-pt shot at rim (assist by C. Anthony)
9:21.0,A. Wiggins misses 2-pt shot from 19 ft,,42-64,,
9:20.0,Offensive rebound by K. Towns,,42-64,,
9:13.0,R. Rubio makes 3-pt shot from 25 ft (assist by T. Prince),3,45-64,,
8:57.0,,,45-64,,A. Afflalo misses 2-pt shot from 18 ft
8:56.0,Defensive rebound by K. Towns,,45-64,,
8:43.0,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio),3,48-64,,
8:43.0,,,48-64,,New York full timeout
8:23.0,,,48-64,,K. Porzingis misses 2-pt shot from 9 ft
8:22.0,Defensive rebound by G. Dieng,,48-64,,
8:15.0,,,48-64,,Personal foul by R. Lopez (drawn by K. Towns)
8:07.0,K. Towns makes 3-pt shot from 25 ft (assist by R. Rubio),3,51-64,,
7:54.0,,,51-66,2,C. Anthony makes 2-pt shot from 15 ft (assist by A. Afflalo)
7:34.0,G. Dieng makes 2-pt shot from 2 ft,2,53-66,,
7:12.0,,,53-66,,R. Lopez misses 2-pt shot at rim
7:11.0,,,53-66,,Offensive rebound by R. Lopez
7:11.0,,,53-66,,R. Lopez misses 2-pt shot at rim
7:10.0,Defensive rebound by K. Towns,,53-66,,
7:10.0,,,53-66,,Personal foul by R. Lopez (drawn by K. Towns)
7:01.0,R. Rubio misses 2-pt shot from 15 ft,,53-66,,
7:00.0,,,53-66,,Defensive rebound by J. Calderon
6:47.0,,,53-66,,K. Porzingis misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by R. Rubio,,53-66,,
6:24.0,G. Dieng misses 2-pt shot from 17 ft,,53-66,,
6:23.0,,,53-66,,Defensive rebound by C. Anthony
6:13.0,,,53-68,2,K. Porzingis makes 2-pt shot from 19 ft (assist by C. Anthony)
6:02.0,Minnesota full timeout,,53-68,,
6:02.0,N. Bjelica enters the game for G. Dieng,,53-68,,
6:02.0,,,53-68,,L. Thomas enters the game for K. Porzingis
5:46.0,K. Towns misses 2-pt shot from 17 ft,,53-68,,
5:45.0,,,53-68,,Defensive rebound by A. Afflalo
5:40.0,,,53-70,2,R. Lopez makes 2-pt shot from 4 ft (assist by C. Anthony)
5:40.0,,,53-70,,Shooting foul by K. Towns (drawn by R. Lopez)
5:40.0,,,53-70,,R. Lopez misses free throw 1 of 1
5:39.0,Defensive rebound by K. Towns,,53-70,,
5:19.0,,,53-70,,Personal foul by R. Lopez (drawn by K. Towns)
5:19.0,Z. LaVine enters the game for T. Prince,,53-70,,
5:11.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,55-70,,
5:11.0,Shooting foul by R. Lopez (drawn by A. Wiggins),,55-70,,
5:11.0,,,55-70,,K. O'Quinn enters the game for R. Lopez
5:11.0,,,55-70,,L. Galloway enters the game for J. Calderon
5:11.0,A. Wiggins makes free throw 1 of 1,1,56-70,,
4:53.0,,,56-70,,Turnover by L. Thomas (bad pass; steal by R. Rubio)
4:47.0,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio),2,58-70,,
4:18.0,,,58-70,,L. Galloway misses 2-pt shot from 3 ft
4:17.0,Defensive rebound by R. Rubio,,58-70,,
4:13.0,Shooting foul by C. Anthony (drawn by A. Wiggins),,58-70,,
4:13.0,A. Wiggins makes free throw 1 of 2,1,59-70,,
4:13.0,G. Dieng enters the game for K. Towns,,59-70,,
4:13.0,A. Wiggins makes free throw 2 of 2,1,60-70,,
3:58.0,,,60-70,,C. Anthony misses 2-pt shot from 19 ft (block by A. Wiggins)
3:57.0,,,60-70,,Offensive rebound by C. Anthony
3:56.0,,,60-70,,Turnover by C. Anthony (bad pass; steal by N. Bjelica)
3:53.0,A. Wiggins misses 2-pt shot at rim (block by C. Anthony),,60-70,,
3:52.0,,,60-70,,Defensive rebound by C. Anthony
3:47.0,,,60-70,,Turnover by C. Anthony (bad pass; steal by R. Rubio)
3:39.0,Z. LaVine makes 2-pt shot at rim (assist by A. Wiggins),2,62-70,,
3:22.0,Violation by G. Dieng (kicked ball),,62-70,,
3:22.0,,,62-70,,K. Porzingis enters the game for C. Anthony
3:10.0,,,62-72,2,L. Thomas makes 2-pt shot from 20 ft (assist by L. Galloway)
2:50.0,R. Rubio misses 2-pt shot from 18 ft,,62-72,,
2:49.0,,,62-72,,Defensive rebound by L. Thomas
2:34.0,,,62-74,2,K. Porzingis makes 2-pt shot from 14 ft
2:18.0,N. Bjelica misses 3-pt shot from 26 ft,,62-74,,
2:17.0,Offensive rebound by Team,,62-74,,
2:17.0,,,62-74,,S. Vujacic enters the game for A. Afflalo
2:07.0,A. Wiggins makes 2-pt shot at rim,2,64-74,,
1:49.0,,,64-74,,L. Thomas misses 2-pt shot from 12 ft
1:48.0,Defensive rebound by G. Dieng,,64-74,,
1:37.0,N. Bjelica misses 3-pt shot from 23 ft,,64-74,,
1:36.0,,,64-74,,Defensive rebound by L. Thomas
1:24.0,,,64-77,3,L. Thomas makes 3-pt shot from 23 ft (assist by K. Porzingis)
1:11.0,,,64-77,,Personal foul by L. Galloway (drawn by R. Rubio)
1:11.0,R. Rubio makes free throw 1 of 2,1,65-77,,
1:11.0,S. Muhammad enters the game for A. Wiggins,,65-77,,
1:11.0,R. Rubio makes free throw 2 of 2,1,66-77,,
0:51.0,,,66-77,,K. Porzingis misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by Z. LaVine,,66-77,,
0:42.0,Z. LaVine makes 2-pt shot from 8 ft,2,68-77,,
0:34.0,,,68-77,,Shooting foul by G. Dieng (drawn by L. Galloway)
0:34.0,,,68-78,1,L. Galloway makes free throw 1 of 2
0:34.0,,,68-78,,L. Galloway misses free throw 2 of 2
0:33.0,,,68-78,,Offensive rebound by K. Porzingis
0:17.0,,,68-78,,K. Porzingis misses 2-pt shot from 18 ft
0:16.0,Defensive rebound by R. Rubio,,68-78,,
0:06.0,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio),2,70-78,,
0:01.0,,,70-78,,S. Vujacic misses 2-pt shot from 6 ft
0:00.0,,,70-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Personal foul by A. Miller (drawn by A. Afflalo),,70-78,,
11:34.0,,,70-78,,Turnover by Team (shot clock)
11:13.0,Z. LaVine misses 3-pt shot from 25 ft,,70-78,,
11:12.0,,,70-78,,Defensive rebound by K. O'Quinn
10:57.0,,,70-78,,A. Afflalo misses 2-pt shot from 5 ft
10:55.0,,,70-78,,Offensive rebound by Team
10:45.0,,,70-78,,D. Williams misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by S. Muhammad,,70-78,,
10:33.0,N. Bjelica makes 2-pt shot from 2 ft (assist by A. Miller),2,72-78,,
10:08.0,,,72-78,,D. Williams misses 2-pt shot from 1 ft
10:07.0,,,72-78,,Offensive rebound by L. Thomas
10:06.0,,,72-78,,Shooting foul by N. Bjelica (drawn by L. Thomas)
10:06.0,,,72-79,1,L. Thomas makes free throw 1 of 2
10:06.0,,,72-80,1,L. Thomas makes free throw 2 of 2
9:48.0,Z. LaVine misses 2-pt shot from 1 ft,,72-80,,
9:47.0,,,72-80,,Defensive rebound by K. O'Quinn
9:29.0,Personal foul by G. Dieng (drawn by K. O'Quinn),,72-80,,
9:20.0,,,72-80,,L. Thomas misses 2-pt shot at rim
9:19.0,,,72-80,,Offensive rebound by K. O'Quinn
9:13.0,,,72-80,,L. Galloway misses 3-pt shot from 24 ft
9:12.0,Defensive rebound by S. Muhammad,,72-80,,
9:02.0,G. Dieng misses 2-pt shot from 14 ft,,72-80,,
9:01.0,,,72-80,,Defensive rebound by D. Williams
8:52.0,,,72-82,2,A. Afflalo makes 2-pt shot from 2 ft (assist by D. Williams)
8:35.0,N. Bjelica misses 3-pt shot from 24 ft,,72-82,,
8:34.0,,,72-82,,Defensive rebound by L. Thomas
8:20.0,,,72-82,,Shooting foul by Z. LaVine (drawn by A. Afflalo)
8:20.0,,,72-84,2,A. Afflalo makes 2-pt shot from 8 ft (assist by L. Thomas)
8:20.0,Official timeout,,72-84,,
8:20.0,,,72-84,,C. Anthony enters the game for L. Thomas
8:20.0,R. Rubio enters the game for S. Muhammad,,72-84,,
8:20.0,K. Towns enters the game for A. Miller,,72-84,,
8:20.0,A. Wiggins enters the game for N. Bjelica,,72-84,,
8:20.0,,,72-85,1,A. Afflalo makes free throw 1 of 1
8:05.0,Shooting foul by K. O'Quinn (drawn by G. Dieng),,72-85,,
8:05.0,G. Dieng makes free throw 1 of 2,1,73-85,,
8:05.0,,,73-85,,J. Calderon enters the game for A. Afflalo
8:05.0,G. Dieng makes free throw 2 of 2,1,74-85,,
7:53.0,,,74-85,,Turnover by C. Anthony (bad pass; steal by R. Rubio)
7:47.0,A. Wiggins misses 3-pt shot from 26 ft,,74-85,,
7:46.0,,,74-85,,Defensive rebound by J. Calderon
7:43.0,,,74-85,,Turnover by J. Calderon (bad pass; steal by A. Wiggins)
7:28.0,Z. LaVine makes 2-pt shot from 19 ft,2,76-85,,
7:10.0,,,76-88,3,L. Galloway makes 3-pt shot from 25 ft (assist by J. Calderon)
6:59.0,Shooting foul by K. O'Quinn (drawn by A. Wiggins),,76-88,,
6:59.0,A. Wiggins makes free throw 1 of 2,1,77-88,,
6:59.0,,,77-88,,K. Porzingis enters the game for D. Williams
6:59.0,A. Wiggins makes free throw 2 of 2,1,78-88,,
6:44.0,,,78-90,2,C. Anthony makes 2-pt shot at rim (assist by K. Porzingis)
6:30.0,K. Towns makes 2-pt shot from 17 ft (assist by R. Rubio),2,80-90,,
6:05.0,,,80-90,,C. Anthony misses 2-pt shot from 6 ft
6:04.0,,,80-90,,Offensive rebound by K. O'Quinn
6:00.0,,,80-92,2,C. Anthony makes 2-pt shot from 12 ft (assist by L. Galloway)
5:40.0,A. Wiggins makes 2-pt shot from 14 ft,2,82-92,,
5:31.0,,,82-92,,C. Anthony misses 3-pt shot from 24 ft
5:30.0,Defensive rebound by R. Rubio,,82-92,,
5:26.0,Turnover by R. Rubio (bad pass),,82-92,,
5:26.0,,,82-92,,New York full timeout
5:26.0,,,82-92,,R. Lopez enters the game for K. O'Quinn
5:14.0,,,82-94,2,L. Galloway makes 2-pt shot at rim (assist by C. Anthony)
4:54.0,K. Towns makes 2-pt shot from 19 ft (assist by G. Dieng),2,84-94,,
4:42.0,,,84-94,,Turnover by K. Porzingis (bad pass; steal by R. Rubio)
4:36.0,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio),2,86-94,,
4:18.0,,,86-94,,J. Calderon misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by K. Towns,,86-94,,
4:11.0,Z. LaVine misses 2-pt shot from 4 ft,,86-94,,
