time,Brooklyn,pts.away,score,pts.home,Boston
1:15.0,,,19-23,,Offensive rebound by J. Crowder
1:15.0,,,19-23,,J. Crowder misses 2-pt shot from 1 ft
1:14.0,Defensive rebound by T. Young,,19-23,,
0:53.0,R. Hollis-Jefferson misses 2-pt shot at rim,,19-23,,
0:52.0,Offensive rebound by T. Robinson,,19-23,,
0:49.0,T. Robinson misses 2-pt shot from 6 ft,,19-23,,
0:48.0,,,19-23,,Defensive rebound by K. Olynyk
0:34.0,,,19-23,,E. Turner misses 2-pt shot from 16 ft
0:32.0,,,19-23,,Offensive rebound by K. Olynyk
0:28.0,,,19-23,,Turnover by K. Olynyk (lost ball; steal by S. Larkin)
0:04.0,T. Robinson misses 2-pt shot from 11 ft,,19-23,,
0:03.0,,,19-23,,Defensive rebound by E. Turner
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,19-25,2,D. Lee makes 2-pt shot from 5 ft (assist by E. Turner)
11:25.0,B. Lopez makes 2-pt shot from 18 ft (assist by S. Larkin),2,21-25,,
11:05.0,,,21-27,2,A. Bradley makes 2-pt shot from 18 ft (assist by J. Jerebko)
10:52.0,B. Lopez misses 2-pt shot from 19 ft,,21-27,,
10:51.0,,,21-27,,Defensive rebound by K. Olynyk
10:41.0,,,21-29,2,D. Lee makes 2-pt shot from 2 ft (assist by E. Turner)
10:21.0,T. Robinson misses 2-pt shot from 14 ft,,21-29,,
10:21.0,Offensive rebound by Team,,21-29,,
10:21.0,,,21-29,,Loose ball foul by D. Lee (drawn by B. Lopez)
10:14.0,S. Larkin misses 3-pt shot from 24 ft,,21-29,,
10:13.0,,,21-29,,Defensive rebound by E. Turner
10:02.0,,,21-29,,Shooting foul by T. Robinson (drawn by D. Lee)
10:02.0,,,21-30,1,D. Lee makes free throw 1 of 2
10:02.0,A. Bargnani enters the game for T. Robinson,,21-30,,
10:02.0,,,21-30,,D. Lee misses free throw 2 of 2
10:01.0,Defensive rebound by B. Lopez,,21-30,,
9:42.0,B. Lopez makes 2-pt shot from 6 ft,2,23-30,,
9:29.0,,,23-32,2,E. Turner makes 2-pt shot at rim
9:16.0,S. Larkin makes 2-pt shot from 2 ft (assist by B. Lopez),2,25-32,,
9:03.0,,,25-34,2,D. Lee makes 2-pt shot from 2 ft (assist by K. Olynyk)
8:49.0,A. Bargnani misses 2-pt shot from 18 ft,,25-34,,
8:48.0,,,25-34,,Defensive rebound by A. Bradley
8:37.0,,,25-36,2,A. Bradley makes 2-pt shot from 17 ft (assist by D. Lee)
8:30.0,Brooklyn full timeout,,25-36,,
8:30.0,,,25-36,,M. Smart enters the game for J. Jerebko
8:19.0,S. Karasev makes 3-pt shot from 26 ft (assist by B. Lopez),3,28-36,,
8:09.0,,,28-36,,Turnover by M. Smart (lost ball)
7:54.0,A. Bargnani misses 2-pt shot from 20 ft,,28-36,,
7:53.0,,,28-36,,Defensive rebound by D. Lee
7:42.0,,,28-38,2,D. Lee makes 2-pt shot from 5 ft
7:25.0,B. Bogdanovic misses 2-pt shot from 9 ft,,28-38,,
7:24.0,Offensive rebound by B. Lopez,,28-38,,
7:24.0,B. Lopez makes 2-pt shot at rim,2,30-38,,
7:08.0,,,30-38,,E. Turner misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by S. Larkin,,30-38,,
6:51.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by A. Bargnani),3,33-38,,
6:36.0,Personal foul by S. Karasev (drawn by E. Turner),,33-38,,
6:36.0,,,33-38,,I. Thomas enters the game for A. Bradley
6:25.0,,,33-40,2,D. Lee makes 2-pt shot at rim (assist by E. Turner)
6:08.0,B. Bogdanovic makes 2-pt shot from 19 ft (assist by S. Larkin),2,35-40,,
5:44.0,,,35-40,,M. Smart misses 3-pt shot from 25 ft
5:43.0,,,35-40,,Offensive rebound by E. Turner
5:37.0,,,35-42,2,I. Thomas makes 2-pt shot from 2 ft (assist by E. Turner)
5:24.0,A. Bargnani misses 2-pt shot from 2 ft,,35-42,,
5:23.0,,,35-42,,Defensive rebound by K. Olynyk
5:17.0,,,35-42,,K. Olynyk misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by B. Lopez,,35-42,,
5:09.0,B. Bogdanovic misses 3-pt shot from 27 ft,,35-42,,
5:08.0,,,35-42,,Defensive rebound by D. Lee
5:03.0,,,35-42,,Turnover by E. Turner (turnover)
5:03.0,Official timeout,,35-42,,
5:03.0,,,35-42,,J. Sullinger enters the game for K. Olynyk
5:03.0,,,35-42,,J. Crowder enters the game for E. Turner
4:48.0,Turnover by B. Bogdanovic (traveling),,35-42,,
4:48.0,T. Young enters the game for A. Bargnani,,35-42,,
4:37.0,,,35-45,3,I. Thomas makes 3-pt shot from 23 ft (assist by D. Lee)
4:20.0,S. Larkin makes 2-pt shot from 17 ft,2,37-45,,
4:02.0,,,37-48,3,I. Thomas makes 3-pt shot from 23 ft (assist by M. Smart)
3:48.0,B. Lopez misses 2-pt shot from 19 ft,,37-48,,
3:47.0,,,37-48,,Defensive rebound by D. Lee
3:41.0,,,37-51,3,J. Crowder makes 3-pt shot from 25 ft (assist by M. Smart)
3:18.0,Shooting foul by D. Lee (drawn by B. Bogdanovic),,37-51,,
3:18.0,B. Bogdanovic misses free throw 1 of 2,,37-51,,
3:18.0,Offensive rebound by Team,,37-51,,
3:18.0,J. Jack enters the game for S. Larkin,,37-51,,
3:18.0,J. Johnson enters the game for S. Karasev,,37-51,,
3:18.0,B. Bogdanovic makes free throw 2 of 2,1,38-51,,
2:59.0,,,38-51,,Turnover by I. Thomas (lost ball; steal by T. Young)
2:53.0,T. Young makes 2-pt shot at rim (assist by J. Jack),2,40-51,,
2:41.0,,,40-51,,Boston full timeout
2:41.0,R. Hollis-Jefferson enters the game for B. Bogdanovic,,40-51,,
2:41.0,,,40-51,,A. Bradley enters the game for M. Smart
2:41.0,,,40-51,,A. Johnson enters the game for D. Lee
2:36.0,,,40-54,3,J. Crowder makes 3-pt shot from 26 ft (assist by A. Johnson)
2:20.0,Turnover by B. Lopez (lost ball; steal by A. Bradley),,40-54,,
2:15.0,,,40-56,2,A. Bradley makes 2-pt shot at rim (assist by J. Crowder)
1:59.0,Turnover by J. Jack (lost ball; steal by A. Bradley),,40-56,,
1:56.0,Violation by T. Young (def goaltending),,40-56,,
1:56.0,,,40-58,2,A. Bradley makes 2-pt shot at rim
1:39.0,T. Young misses 2-pt shot from 7 ft,,40-58,,
1:38.0,,,40-58,,Defensive rebound by J. Sullinger
1:32.0,,,40-61,3,I. Thomas makes 3-pt shot from 27 ft (assist by J. Sullinger)
1:30.0,Brooklyn full timeout,,40-61,,
1:30.0,T. Robinson enters the game for B. Lopez,,40-61,,
1:20.0,J. Johnson misses 2-pt shot from 20 ft,,40-61,,
1:19.0,,,40-61,,Defensive rebound by Team
1:05.0,,,40-64,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Johnson)
0:54.0,T. Robinson misses 2-pt shot from 3 ft (block by A. Johnson),,40-64,,
0:52.0,Offensive rebound by T. Robinson,,40-64,,
0:48.0,J. Jack makes 2-pt shot from 13 ft,2,42-64,,
0:31.0,,,42-66,2,J. Sullinger makes 2-pt shot at rim (assist by I. Thomas)
0:12.0,Offensive charge foul by J. Jack,,42-66,,
0:12.0,Turnover by J. Jack (offensive foul),,42-66,,
0:03.0,Personal take foul by T. Young (drawn by A. Johnson),,42-66,,
0:03.0,,,42-66,,Boston full timeout
0:03.0,S. Larkin enters the game for J. Johnson,,42-66,,
0:03.0,,,42-66,,M. Smart enters the game for A. Johnson
0:02.0,,,42-66,,Turnover by M. Smart (step out of bounds)
0:00.0,J. Jack misses 3-pt shot from 27 ft,,42-66,,
0:00.0,Offensive rebound by Team,,42-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,42-66,,J. Sullinger misses 2-pt shot at rim
11:42.0,Defensive rebound by R. Hollis-Jefferson,,42-66,,
11:25.0,Shooting foul by M. Smart (drawn by J. Jack),,42-66,,
11:25.0,J. Jack makes free throw 1 of 2,1,43-66,,
11:25.0,J. Jack makes free throw 2 of 2,1,44-66,,
11:06.0,,,44-68,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
10:48.0,J. Johnson misses 3-pt shot from 26 ft,,44-68,,
10:46.0,,,44-68,,Defensive rebound by M. Smart
10:43.0,,,44-70,2,A. Johnson makes 2-pt shot at rim (assist by M. Smart)
10:23.0,Shooting foul by M. Smart (drawn by J. Jack),,44-70,,
10:23.0,J. Jack makes free throw 1 of 2,1,45-70,,
10:23.0,J. Jack makes free throw 2 of 2,1,46-70,,
10:10.0,,,46-73,3,M. Smart makes 3-pt shot from 26 ft (assist by A. Johnson)
9:50.0,T. Young misses 2-pt shot at rim (block by A. Johnson),,46-73,,
9:49.0,,,46-73,,Defensive rebound by A. Johnson
9:43.0,,,46-73,,I. Thomas misses 3-pt shot from 26 ft
9:42.0,Defensive rebound by R. Hollis-Jefferson,,46-73,,
9:22.0,T. Young makes 2-pt shot from 5 ft,2,48-73,,
9:09.0,,,48-73,,J. Crowder misses 3-pt shot from 23 ft
9:08.0,Defensive rebound by B. Lopez,,48-73,,
9:06.0,Turnover by J. Jack (lost ball; steal by J. Crowder),,48-73,,
9:04.0,,,48-75,2,J. Crowder makes 2-pt shot from 2 ft
8:42.0,T. Young misses 2-pt shot from 6 ft,,48-75,,
8:39.0,,,48-75,,Defensive rebound by J. Crowder
8:29.0,Jump ball: R. Hollis-Jefferson vs. I. Thomas,,,,Jump ball: R. Hollis-Jefferson vs. I. Thomas
8:29.0,,,48-75,,Violation by Team (jump ball)
8:29.0,,,48-75,,Turnover by I. Thomas (jump ball violation.)
8:11.0,Turnover by R. Hollis-Jefferson (lost ball),,48-75,,
7:52.0,,,48-75,,I. Thomas misses 3-pt shot from 27 ft
7:51.0,Defensive rebound by R. Hollis-Jefferson,,48-75,,
7:40.0,J. Jack makes 3-pt shot from 24 ft (assist by T. Young),3,51-75,,
7:29.0,,,51-75,,Shooting foul by R. Hollis-Jefferson (drawn by M. Smart)
7:29.0,,,51-76,1,M. Smart makes free throw 1 of 2
7:29.0,,,51-77,1,M. Smart makes free throw 2 of 2
7:18.0,T. Young misses 2-pt shot from 4 ft,,51-77,,
7:17.0,,,51-77,,Defensive rebound by Team
7:02.0,,,51-79,2,J. Sullinger makes 2-pt shot from 21 ft (assist by I. Thomas)
6:45.0,B. Lopez misses 2-pt shot from 16 ft,,51-79,,
6:45.0,Offensive rebound by Team,,51-79,,
6:45.0,,,51-79,,Loose ball foul by M. Smart (drawn by R. Hollis-Jefferson)
6:45.0,,,51-79,,A. Bradley enters the game for M. Smart
6:26.0,T. Young misses 2-pt shot from 3 ft,,51-79,,
6:25.0,Offensive rebound by B. Lopez,,51-79,,
6:24.0,Shooting foul by J. Crowder (drawn by B. Lopez),,51-79,,
6:24.0,B. Lopez makes free throw 1 of 2,1,52-79,,
6:24.0,S. Larkin enters the game for J. Johnson,,52-79,,
6:24.0,B. Lopez makes free throw 2 of 2,1,53-79,,
6:09.0,,,53-79,,Shooting foul by B. Lopez (drawn by J. Sullinger)
6:09.0,,,53-80,1,J. Sullinger makes free throw 1 of 2
6:09.0,,,53-81,1,J. Sullinger makes free throw 2 of 2
5:50.0,T. Young misses 2-pt shot from 13 ft,,53-81,,
5:49.0,Offensive rebound by B. Lopez,,53-81,,
5:43.0,J. Jack misses 2-pt shot from 2 ft,,53-81,,
5:42.0,,,53-81,,Defensive rebound by A. Bradley
5:25.0,,,53-81,,J. Sullinger misses 2-pt shot from 17 ft
5:24.0,Defensive rebound by T. Young,,53-81,,
5:11.0,Turnover by S. Larkin (bad pass; steal by I. Thomas),,53-81,,
5:10.0,,,53-81,,Boston full timeout
5:10.0,,,53-81,,K. Olynyk enters the game for J. Sullinger
4:56.0,,,53-83,2,K. Olynyk makes 2-pt shot from 2 ft (assist by A. Johnson)
4:39.0,B. Lopez makes 2-pt shot from 11 ft,2,55-83,,
4:26.0,,,55-83,,A. Bradley misses 2-pt shot from 19 ft
4:25.0,Defensive rebound by T. Young,,55-83,,
4:12.0,B. Lopez makes 2-pt shot from 4 ft (assist by J. Jack),2,57-83,,
4:08.0,,,57-83,,Turnover by A. Johnson (bad pass; steal by S. Larkin)
4:08.0,Shooting foul by K. Olynyk (drawn by S. Larkin),,57-83,,
4:08.0,S. Larkin makes free throw 1 of 2,1,58-83,,
4:08.0,,,58-83,,E. Turner enters the game for I. Thomas
4:08.0,S. Larkin misses free throw 2 of 2,,58-83,,
4:08.0,Offensive rebound by S. Larkin,,58-83,,
4:00.0,R. Hollis-Jefferson misses 3-pt shot from 27 ft,,58-83,,
3:59.0,Offensive rebound by T. Young,,58-83,,
3:59.0,T. Young makes 2-pt shot from 1 ft,2,60-83,,
3:59.0,,,60-83,,Boston full timeout
3:41.0,,,60-83,,A. Johnson misses 2-pt shot from 7 ft
3:40.0,,,60-83,,Offensive rebound by K. Olynyk
3:40.0,,,60-83,,K. Olynyk misses 2-pt shot from 1 ft
3:39.0,Defensive rebound by R. Hollis-Jefferson,,60-83,,
3:38.0,,,60-83,,Personal foul by K. Olynyk (drawn by R. Hollis-Jefferson)
3:38.0,R. Hollis-Jefferson misses free throw 1 of 2,,60-83,,
3:38.0,Offensive rebound by Team,,60-83,,
3:38.0,,,60-83,,D. Lee enters the game for A. Johnson
3:38.0,R. Hollis-Jefferson makes free throw 2 of 2,1,61-83,,
3:27.0,,,61-83,,Turnover by J. Crowder (bad pass; steal by R. Hollis-Jefferson)
3:26.0,Turnover by R. Hollis-Jefferson (bad pass),,61-83,,
3:18.0,,,61-83,,K. Olynyk misses 3-pt shot from 26 ft
3:17.0,Defensive rebound by S. Larkin,,61-83,,
3:03.0,T. Young misses 2-pt shot from 1 ft,,61-83,,
3:02.0,Offensive rebound by R. Hollis-Jefferson,,61-83,,
3:02.0,R. Hollis-Jefferson misses 2-pt shot at rim,,61-83,,
3:00.0,Offensive rebound by T. Young,,61-83,,
2:59.0,Shooting foul by K. Olynyk (drawn by T. Young),,61-83,,
2:59.0,Brooklyn full timeout,,61-83,,
2:59.0,A. Bargnani enters the game for B. Lopez,,61-83,,
2:59.0,T. Young misses free throw 1 of 2,,61-83,,
2:59.0,Offensive rebound by Team,,61-83,,
2:59.0,T. Young misses free throw 2 of 2,,61-83,,
2:59.0,,,61-83,,Defensive rebound by K. Olynyk
2:40.0,,,61-85,2,A. Bradley makes 2-pt shot from 19 ft (assist by K. Olynyk)
2:18.0,A. Bargnani misses 2-pt shot from 17 ft,,61-85,,
2:17.0,,,61-85,,Defensive rebound by J. Crowder
2:02.0,,,61-85,,J. Crowder misses 3-pt shot from 25 ft
2:01.0,Defensive rebound by T. Young,,61-85,,
1:56.0,J. Jack misses 3-pt shot from 26 ft,,61-85,,
1:56.0,,,61-85,,Defensive rebound by Team
1:43.0,,,61-87,2,A. Bradley makes 2-pt shot from 17 ft (assist by D. Lee)
1:23.0,R. Hollis-Jefferson makes 3-pt shot from 26 ft (assist by S. Larkin),3,64-87,,
1:08.0,,,64-89,2,A. Bradley makes 2-pt shot at rim (assist by K. Olynyk)
0:49.0,A. Bargnani makes 2-pt shot from 2 ft (assist by J. Jack),2,66-89,,
0:49.0,,,66-89,,Shooting block foul by K. Olynyk (drawn by A. Bargnani)
0:49.0,S. Karasev enters the game for J. Jack,,66-89,,
0:49.0,B. Bogdanovic enters the game for R. Hollis-Jefferson,,66-89,,
0:49.0,,,66-89,,J. Jerebko enters the game for J. Crowder
0:49.0,A. Bargnani makes free throw 1 of 1,1,67-89,,
0:34.0,,,67-89,,Turnover by D. Lee (turnover)
0:18.0,Turnover by S. Larkin (bad pass; steal by D. Lee),,67-89,,
0:02.0,,,67-89,,Shooting foul by A. Bargnani (drawn by E. Turner)
0:02.0,,,67-90,1,E. Turner makes free throw 1 of 2
0:02.0,,,67-91,1,E. Turner makes free throw 2 of 2
0:00.0,S. Karasev misses 3-pt shot from 61 ft,,67-91,,
0:00.0,Offensive rebound by Team,,67-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by D. Lee),,67-91,,
11:44.0,Offensive rebound by A. Bargnani,,67-91,,
11:42.0,S. Larkin misses 2-pt shot from 2 ft,,67-91,,
11:41.0,Offensive rebound by Team,,67-91,,
11:36.0,A. Bargnani makes 2-pt shot from 3 ft (assist by S. Karasev),2,69-91,,
11:10.0,,,69-94,3,A. Bradley makes 3-pt shot from 23 ft (assist by M. Smart)
10:56.0,S. Larkin misses 3-pt shot from 23 ft,,69-94,,
10:55.0,,,69-94,,Defensive rebound by J. Jerebko
10:48.0,,,69-94,,J. Jerebko misses 3-pt shot from 26 ft
10:47.0,Defensive rebound by T. Robinson,,69-94,,
10:37.0,S. Larkin makes 2-pt shot from 17 ft,2,71-94,,
10:13.0,,,71-96,2,E. Turner makes 2-pt shot from 1 ft
9:48.0,S. Larkin misses 2-pt shot from 6 ft,,71-96,,
9:47.0,Offensive rebound by Team,,71-96,,
9:47.0,Turnover by Team (shot clock),,71-96,,
9:35.0,Personal foul by B. Bogdanovic (drawn by E. Turner),,71-96,,
9:29.0,,,71-96,,Turnover by D. Lee (lost ball; steal by S. Karasev)
9:26.0,Shooting foul by M. Smart (drawn by T. Robinson),,71-96,,
9:26.0,T. Robinson makes free throw 1 of 2,1,72-96,,
9:26.0,,,72-96,,I. Thomas enters the game for M. Smart
9:26.0,,,72-96,,T. Zeller enters the game for D. Lee
9:26.0,T. Robinson makes free throw 2 of 2,1,73-96,,
9:10.0,,,73-96,,J. Jerebko misses 2-pt shot from 7 ft
9:09.0,Defensive rebound by T. Robinson,,73-96,,
8:55.0,T. Robinson misses 2-pt shot from 4 ft,,73-96,,
8:54.0,,,73-96,,Defensive rebound by I. Thomas
8:38.0,,,73-98,2,I. Thomas makes 2-pt shot from 12 ft
8:38.0,,,73-98,,Shooting foul by S. Karasev (drawn by I. Thomas)
8:38.0,Official timeout,,73-98,,
8:38.0,W. Ellington enters the game for T. Robinson,,73-98,,
8:38.0,,,73-98,,I. Thomas misses free throw 1 of 1
8:37.0,Defensive rebound by B. Bogdanovic,,73-98,,
8:23.0,A. Bargnani misses 2-pt shot from 15 ft,,73-98,,
8:22.0,,,73-98,,Defensive rebound by E. Turner
8:08.0,,,73-100,2,A. Bradley makes 2-pt shot at rim (assist by T. Zeller)
7:53.0,B. Bogdanovic misses 2-pt shot from 4 ft,,73-100,,
7:52.0,,,73-100,,Defensive rebound by T. Zeller
7:41.0,,,73-102,2,E. Turner makes 2-pt shot from 6 ft
7:28.0,A. Bargnani misses 2-pt shot from 1 ft,,73-102,,
7:27.0,,,73-102,,Defensive rebound by T. Zeller
7:22.0,,,73-102,,J. Jerebko misses 3-pt shot from 26 ft
7:21.0,Defensive rebound by Team,,73-102,,
7:11.0,S. Karasev makes 2-pt shot from 17 ft,2,75-102,,
6:59.0,,,75-104,2,T. Zeller makes 2-pt shot from 1 ft (assist by I. Thomas)
6:38.0,B. Bogdanovic makes 3-pt shot from 25 ft,3,78-104,,
6:25.0,,,78-106,2,I. Thomas makes 2-pt shot from 2 ft
6:13.0,Turnover by B. Bogdanovic (turnover),,78-106,,
6:13.0,,,78-106,,R. Hunter enters the game for A. Bradley
5:56.0,,,78-106,,T. Zeller misses 2-pt shot from 5 ft
5:55.0,Defensive rebound by A. Bargnani,,78-106,,
5:41.0,W. Ellington makes 3-pt shot from 26 ft,3,81-106,,
5:32.0,,,81-106,,Turnover by I. Thomas (bad pass; steal by S. Larkin)
5:31.0,,,81-106,,Personal foul by J. Jerebko (drawn by B. Bogdanovic)
5:31.0,,,81-106,,Boston full timeout
5:31.0,,,81-106,,K. Olynyk enters the game for I. Thomas
5:31.0,M. Brown enters the game for B. Bogdanovic,,81-106,,
5:31.0,R. Hollis-Jefferson enters the game for A. Bargnani,,81-106,,
5:31.0,T. Robinson enters the game for W. Ellington,,81-106,,
5:21.0,Turnover by S. Karasev (lost ball),,81-106,,
5:05.0,,,81-106,,T. Zeller misses 2-pt shot from 3 ft
5:04.0,Defensive rebound by R. Hollis-Jefferson,,81-106,,
4:55.0,M. Brown misses 2-pt shot from 4 ft,,81-106,,
4:54.0,Offensive rebound by R. Hollis-Jefferson,,81-106,,
4:49.0,T. Robinson makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,83-106,,
4:41.0,,,83-108,2,K. Olynyk makes 2-pt shot from 2 ft (assist by E. Turner)
4:27.0,S. Karasev misses 3-pt shot from 26 ft,,83-108,,
4:26.0,,,83-108,,Defensive rebound by K. Olynyk
4:17.0,,,83-108,,Turnover by E. Turner (bad pass; steal by R. Hollis-Jefferson)
4:09.0,S. Larkin makes 3-pt shot from 26 ft (assist by M. Brown),3,86-108,,
3:53.0,,,86-108,,Turnover by K. Olynyk (bad pass; steal by S. Larkin)
3:37.0,R. Hollis-Jefferson misses 3-pt shot from 24 ft,,86-108,,
3:37.0,Offensive rebound by T. Robinson,,86-108,,
3:37.0,Shooting foul by K. Olynyk (drawn by T. Robinson),,86-108,,
3:37.0,T. Robinson misses free throw 1 of 2,,86-108,,
3:37.0,Offensive rebound by Team,,86-108,,
3:37.0,T. Robinson misses free throw 2 of 2,,86-108,,
3:37.0,,,86-108,,Defensive rebound by T. Zeller
3:21.0,,,86-110,2,R. Hunter makes 2-pt shot from 20 ft (assist by E. Turner)
