time,Denver,pts.away,score,pts.home,Detroit
3:16.0,Shooting foul by D. Hilliard (drawn by G. Harris),,13-15,,
3:16.0,G. Harris makes free throw 1 of 2,1,14-15,,
3:16.0,J. Nurkic enters the game for N. Jokic,,14-15,,
3:16.0,J. Lauvergne enters the game for K. Faried,,14-15,,
3:16.0,G. Harris makes free throw 2 of 2,1,15-15,,
2:50.0,,,15-15,,A. Baynes misses 2-pt shot from 6 ft
2:48.0,Defensive rebound by J. Lauvergne,,15-15,,
2:43.0,D. Gallinari makes 3-pt shot from 26 ft (assist by E. Mudiay),3,18-15,,
2:24.0,,,18-15,,A. Drummond misses 2-pt shot at rim
2:24.0,,,18-15,,Offensive rebound by A. Drummond
2:23.0,,,18-15,,A. Drummond misses 2-pt shot from 1 ft
2:23.0,,,18-15,,Offensive rebound by A. Drummond
2:22.0,,,18-15,,A. Drummond misses 2-pt shot from 1 ft
2:22.0,,,18-15,,Offensive rebound by A. Drummond
2:21.0,,,18-17,2,A. Drummond makes 2-pt shot from 1 ft
2:11.0,Denver full timeout,,18-17,,
2:11.0,W. Barton enters the game for G. Harris,,18-17,,
2:11.0,,,18-17,,S. Johnson enters the game for M. Morris
2:11.0,,,18-17,,S. Blake enters the game for A. Drummond
2:11.0,,,18-17,,A. Tolliver enters the game for B. Jennings
2:02.0,Shooting foul by A. Baynes (drawn by E. Mudiay),,18-17,,
2:02.0,E. Mudiay misses free throw 1 of 2,,18-17,,
2:02.0,Offensive rebound by Team,,18-17,,
2:02.0,E. Mudiay misses free throw 2 of 2,,18-17,,
2:01.0,,,18-17,,Defensive rebound by A. Baynes
1:44.0,,,18-20,3,S. Blake makes 3-pt shot from 26 ft (assist by D. Hilliard)
1:20.0,J. Lauvergne misses 2-pt shot from 3 ft (block by A. Baynes),,18-20,,
1:19.0,,,18-20,,Defensive rebound by A. Baynes
1:11.0,,,18-20,,A. Tolliver misses 2-pt shot from 11 ft
1:10.0,Defensive rebound by D. Gallinari,,18-20,,
1:00.0,E. Mudiay misses 3-pt shot from 24 ft,,18-20,,
1:00.0,,,18-20,,Defensive rebound by S. Johnson
0:42.0,,,18-20,,Turnover by S. Johnson (lost ball; steal by D. Gallinari)
0:36.0,D. Gallinari misses 2-pt shot at rim,,18-20,,
0:34.0,,,18-20,,Defensive rebound by A. Tolliver
0:28.0,,,18-22,2,A. Baynes makes 2-pt shot at rim (assist by S. Johnson)
0:07.0,Shooting foul by S. Johnson (drawn by D. Gallinari),,18-22,,
0:07.0,D. Gallinari makes free throw 1 of 2,1,19-22,,
0:07.0,R. Foye enters the game for E. Mudiay,,19-22,,
0:07.0,D. Gallinari makes free throw 2 of 2,1,20-22,,
0:06.0,Personal take foul by R. Foye (drawn by S. Blake),,20-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Nurkic makes 2-pt shot from 3 ft (assist by J. Lauvergne),2,22-22,,
11:23.0,,,22-25,3,D. Hilliard makes 3-pt shot from 27 ft
11:04.0,W. Barton makes 3-pt shot from 25 ft (assist by J. Nurkic),3,25-25,,
10:46.0,,,25-27,2,A. Baynes makes 2-pt shot from 17 ft (assist by D. Hilliard)
10:27.0,G. Harris makes 2-pt shot from 7 ft (assist by R. Foye),2,27-27,,
10:18.0,,,27-27,,D. Hilliard misses 3-pt shot from 23 ft
10:18.0,Defensive rebound by J. Lauvergne,,27-27,,
10:02.0,W. Barton makes 2-pt shot at rim (assist by J. Nurkic),2,29-27,,
10:00.0,,,29-27,,Detroit full timeout
9:47.0,,,29-27,,A. Tolliver misses 3-pt shot from 26 ft
9:46.0,Defensive rebound by J. Nurkic,,29-27,,
9:37.0,R. Foye misses 3-pt shot from 26 ft,,29-27,,
9:36.0,,,29-27,,Defensive rebound by A. Tolliver
9:22.0,,,29-27,,A. Tolliver misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by J. Nurkic,,29-27,,
9:11.0,W. Barton misses 2-pt shot from 12 ft,,29-27,,
9:10.0,,,29-27,,Defensive rebound by A. Tolliver
9:02.0,,,29-27,,S. Johnson misses 2-pt shot from 15 ft
9:01.0,Defensive rebound by G. Harris,,29-27,,
8:48.0,Turnover by J. Nurkic (bad pass),,29-27,,
8:48.0,,,29-27,,M. Morris enters the game for A. Tolliver
8:48.0,,,29-27,,A. Drummond enters the game for S. Johnson
8:31.0,,,29-30,3,S. Blake makes 3-pt shot from 27 ft (assist by M. Morris)
8:30.0,Denver full timeout,,29-30,,
8:23.0,Offensive foul by J. Nurkic,,29-30,,
8:23.0,Turnover by J. Nurkic (offensive foul),,29-30,,
8:08.0,,,29-32,2,M. Morris makes 2-pt shot from 15 ft
7:57.0,Turnover by W. Barton (bad pass),,29-32,,
7:50.0,,,29-32,,Turnover by S. Blake (bad pass; steal by W. Barton)
7:42.0,J. Nurkic makes 2-pt shot at rim (assist by W. Barton),2,31-32,,
7:26.0,,,31-34,2,A. Drummond makes 2-pt shot from 4 ft
7:16.0,Denver full timeout,,31-34,,
7:16.0,N. Jokic enters the game for J. Lauvergne,,31-34,,
7:16.0,D. Gallinari enters the game for W. Barton,,31-34,,
7:05.0,D. Gallinari misses 3-pt shot from 26 ft,,31-34,,
7:04.0,,,31-34,,Defensive rebound by A. Baynes
6:59.0,,,31-36,2,M. Morris makes 2-pt shot at rim (assist by D. Hilliard)
6:54.0,Offensive charge foul by J. Nurkic,,31-36,,
6:54.0,Turnover by J. Nurkic (offensive foul),,31-36,,
6:38.0,,,31-36,,M. Morris misses 2-pt shot from 17 ft
6:37.0,Defensive rebound by J. Nurkic,,31-36,,
6:28.0,Turnover by G. Harris (bad pass; steal by A. Drummond),,31-36,,
6:07.0,,,31-38,2,A. Baynes makes 2-pt shot from 12 ft (assist by M. Morris)
6:07.0,Denver full timeout,,31-38,,
6:07.0,,,31-38,,S. Johnson enters the game for D. Hilliard
6:07.0,,,31-38,,B. Jennings enters the game for A. Baynes
6:07.0,,,31-38,,A. Tolliver enters the game for S. Blake
6:07.0,E. Mudiay enters the game for J. Nurkic,,31-38,,
6:07.0,K. Faried enters the game for R. Foye,,31-38,,
5:55.0,E. Mudiay misses 2-pt shot from 15 ft,,31-38,,
5:54.0,,,31-38,,Defensive rebound by A. Drummond
5:40.0,,,31-38,,B. Jennings misses 3-pt shot from 22 ft
5:39.0,Defensive rebound by G. Harris,,31-38,,
5:29.0,N. Jokic makes 2-pt shot at rim (assist by D. Gallinari),2,33-38,,
5:13.0,,,33-38,,A. Drummond misses 2-pt shot from 6 ft
5:11.0,Defensive rebound by N. Jokic,,33-38,,
5:03.0,D. Gallinari makes 2-pt shot at rim,2,35-38,,
5:03.0,Shooting foul by A. Tolliver (drawn by D. Gallinari),,35-38,,
5:03.0,D. Gallinari makes free throw 1 of 1,1,36-38,,
4:52.0,,,36-40,2,S. Johnson makes 2-pt shot at rim
4:52.0,,,36-40,,Shooting foul by K. Faried (drawn by S. Johnson)
4:52.0,,,36-41,1,S. Johnson makes free throw 1 of 1
4:39.0,E. Mudiay misses 2-pt shot at rim,,36-41,,
4:38.0,,,36-41,,Defensive rebound by A. Drummond
4:30.0,,,36-43,2,M. Morris makes 2-pt shot from 6 ft
4:11.0,K. Faried misses 2-pt shot from 1 ft,,36-43,,
4:10.0,,,36-43,,Defensive rebound by A. Drummond
4:00.0,,,36-45,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
4:00.0,,,36-45,,Shooting foul by K. Faried (drawn by A. Drummond)
4:00.0,J. Lauvergne enters the game for K. Faried,,36-45,,
4:00.0,,,36-46,1,A. Drummond makes free throw 1 of 1
3:40.0,E. Mudiay makes 2-pt shot from 18 ft,2,38-46,,
3:12.0,,,38-48,2,A. Drummond makes 2-pt shot from 4 ft
3:03.0,N. Jokic misses 3-pt shot from 26 ft,,38-48,,
3:02.0,,,38-48,,Defensive rebound by S. Johnson
2:49.0,,,38-48,,A. Drummond misses 2-pt shot from 7 ft
2:47.0,Defensive rebound by N. Jokic,,38-48,,
2:41.0,J. Lauvergne makes 2-pt shot at rim (assist by N. Jokic),2,40-48,,
2:22.0,,,40-48,,M. Morris misses 2-pt shot from 17 ft
2:22.0,Defensive rebound by Team,,40-48,,
2:22.0,,,40-48,,Loose ball foul by A. Drummond (drawn by N. Jokic)
2:11.0,D. Gallinari misses 3-pt shot from 26 ft,,40-48,,
2:11.0,Offensive rebound by Team,,40-48,,
2:11.0,,,40-48,,Loose ball foul by M. Morris (drawn by J. Lauvergne)
2:03.0,E. Mudiay makes 2-pt shot from 7 ft (assist by D. Gallinari),2,42-48,,
1:48.0,,,42-48,,Turnover by A. Tolliver (bad pass)
1:37.0,N. Jokic misses 2-pt shot from 4 ft (block by A. Drummond),,42-48,,
1:37.0,Offensive rebound by Team,,42-48,,
1:25.0,E. Mudiay makes 2-pt shot at rim,2,44-48,,
1:07.0,,,44-51,3,B. Jennings makes 3-pt shot from 26 ft (assist by A. Tolliver)
0:58.0,E. Mudiay makes 2-pt shot from 1 ft,2,46-51,,
0:58.0,Shooting foul by B. Jennings (drawn by E. Mudiay),,46-51,,
0:58.0,E. Mudiay makes free throw 1 of 1,1,47-51,,
0:45.0,,,47-51,,Turnover by M. Morris (lost ball; steal by D. Gallinari)
0:41.0,,,47-51,,Loose ball foul by S. Johnson (drawn by J. Lauvergne)
0:41.0,J. Lauvergne makes free throw 1 of 2,1,48-51,,
0:41.0,,,48-51,,D. Hilliard enters the game for S. Johnson
0:41.0,J. Lauvergne makes free throw 2 of 2,1,49-51,,
0:21.0,,,49-53,2,A. Drummond makes 2-pt shot at rim (assist by D. Hilliard)
0:05.0,N. Jokic makes 2-pt shot at rim (assist by E. Mudiay),2,51-53,,
0:05.0,Shooting foul by A. Drummond (drawn by N. Jokic),,51-53,,
0:05.0,,,51-53,,A. Baynes enters the game for A. Drummond
0:05.0,N. Jokic makes free throw 1 of 1,1,52-53,,
0:03.0,Personal take foul by G. Harris (drawn by B. Jennings),,52-53,,
0:01.0,,,52-53,,A. Baynes misses 3-pt shot from 38 ft
0:00.0,,,52-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,G. Harris misses 2-pt shot from 20 ft,,52-53,,
11:34.0,,,52-53,,Defensive rebound by A. Drummond
11:12.0,,,52-56,3,B. Jennings makes 3-pt shot from 25 ft (assist by S. Johnson)
11:00.0,K. Faried makes 2-pt shot at rim (assist by G. Harris),2,54-56,,
11:00.0,Shooting foul by S. Johnson (drawn by K. Faried),,54-56,,
11:00.0,K. Faried misses free throw 1 of 1,,54-56,,
10:59.0,,,54-56,,Defensive rebound by A. Drummond
10:37.0,,,54-56,,S. Johnson misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by D. Gallinari,,54-56,,
10:31.0,Offensive foul by D. Gallinari,,54-56,,
10:31.0,Turnover by D. Gallinari (offensive foul),,54-56,,
10:20.0,,,54-56,,Turnover by S. Johnson (bad pass; steal by G. Harris)
10:14.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,56-56,,
9:49.0,,,56-56,,M. Morris misses 3-pt shot from 26 ft
9:48.0,,,56-56,,Offensive rebound by A. Tolliver
9:34.0,,,56-56,,B. Jennings misses 2-pt shot from 16 ft
9:33.0,,,56-56,,Offensive rebound by Team
9:27.0,,,56-56,,Turnover by A. Drummond (bad pass; steal by G. Harris)
9:21.0,D. Gallinari misses 3-pt shot from 26 ft,,56-56,,
9:21.0,,,56-56,,Defensive rebound by M. Morris
9:13.0,,,56-56,,S. Johnson misses 2-pt shot from 3 ft (block by E. Mudiay)
9:11.0,Defensive rebound by E. Mudiay,,56-56,,
9:10.0,G. Harris makes 2-pt shot from 1 ft (assist by E. Mudiay),2,58-56,,
9:10.0,,,58-56,,Detroit full timeout
8:57.0,,,58-58,2,M. Morris makes 2-pt shot from 1 ft (assist by B. Jennings)
8:39.0,N. Jokic misses 2-pt shot from 7 ft,,58-58,,
8:38.0,,,58-58,,Defensive rebound by S. Johnson
8:32.0,,,58-58,,A. Tolliver misses 3-pt shot from 23 ft
8:31.0,,,58-58,,Offensive rebound by A. Drummond
8:30.0,,,58-58,,A. Drummond misses 2-pt shot at rim
8:29.0,Defensive rebound by N. Jokic,,58-58,,
8:15.0,D. Gallinari misses 2-pt shot from 3 ft (block by A. Drummond),,58-58,,
8:14.0,,,58-58,,Defensive rebound by A. Tolliver
8:03.0,,,58-58,,Turnover by M. Morris (step out of bounds)
7:39.0,E. Mudiay makes 2-pt shot at rim (assist by D. Gallinari),2,60-58,,
7:22.0,,,60-58,,B. Jennings misses 3-pt shot from 24 ft
7:22.0,Defensive rebound by Team,,60-58,,
7:10.0,D. Gallinari misses 2-pt shot from 2 ft (block by A. Drummond),,60-58,,
7:10.0,Offensive rebound by D. Gallinari,,60-58,,
7:10.0,Shooting foul by A. Tolliver (drawn by D. Gallinari),,60-58,,
7:10.0,D. Gallinari misses free throw 1 of 2,,60-58,,
7:10.0,Offensive rebound by Team,,60-58,,
7:10.0,D. Gallinari makes free throw 2 of 2,1,61-58,,
6:49.0,,,61-60,2,S. Johnson makes 2-pt shot from 6 ft
6:36.0,Turnover by N. Jokic (bad pass; steal by A. Tolliver),,61-60,,
6:19.0,,,61-62,2,M. Morris makes 2-pt shot at rim
5:58.0,G. Harris misses 3-pt shot from 23 ft,,61-62,,
5:58.0,,,61-62,,Defensive rebound by A. Drummond
5:48.0,,,61-62,,A. Drummond misses 2-pt shot at rim
5:46.0,Defensive rebound by N. Jokic,,61-62,,
5:41.0,G. Harris misses 2-pt shot from 2 ft,,61-62,,
5:40.0,,,61-62,,Defensive rebound by B. Jennings
5:35.0,,,61-62,,A. Drummond misses 2-pt shot from 2 ft
5:33.0,Defensive rebound by E. Mudiay,,61-62,,
5:21.0,K. Faried makes 2-pt shot at rim (assist by G. Harris),2,63-62,,
5:05.0,,,63-62,,S. Johnson misses 3-pt shot from 25 ft
5:05.0,Defensive rebound by N. Jokic,,63-62,,
4:46.0,G. Harris misses 2-pt shot from 5 ft (block by A. Drummond),,63-62,,
4:45.0,,,63-62,,Defensive rebound by S. Johnson
4:32.0,,,63-62,,B. Jennings misses 2-pt shot from 6 ft
4:32.0,Defensive rebound by K. Faried,,63-62,,
4:28.0,Offensive charge foul by K. Faried,,63-62,,
4:28.0,Turnover by K. Faried (offensive foul),,63-62,,
4:28.0,,,63-62,,D. Hilliard enters the game for S. Johnson
4:28.0,,,63-62,,A. Baynes enters the game for A. Tolliver
4:28.0,J. Lauvergne enters the game for K. Faried,,63-62,,
4:07.0,,,63-62,,A. Drummond misses 2-pt shot from 5 ft
4:06.0,Defensive rebound by N. Jokic,,63-62,,
3:59.0,G. Harris makes 3-pt shot from 24 ft (assist by D. Gallinari),3,66-62,,
3:33.0,,,66-64,2,M. Morris makes 2-pt shot from 16 ft
3:20.0,E. Mudiay misses 3-pt shot from 24 ft,,66-64,,
3:20.0,Offensive rebound by J. Lauvergne,,66-64,,
3:05.0,,,66-64,,A. Tolliver enters the game for A. Drummond
3:05.0,J. Nurkic enters the game for N. Jokic,,66-64,,
2:58.0,D. Gallinari misses 3-pt shot from 24 ft,,66-64,,
2:57.0,Offensive rebound by J. Nurkic,,66-64,,
2:50.0,J. Nurkic misses 2-pt shot from 4 ft,,66-64,,
2:48.0,,,66-64,,Defensive rebound by A. Baynes
2:43.0,,,66-66,2,B. Jennings makes 2-pt shot at rim
2:43.0,Denver full timeout,,66-66,,
2:43.0,W. Barton enters the game for G. Harris,,66-66,,
2:43.0,R. Foye enters the game for E. Mudiay,,66-66,,
2:25.0,J. Nurkic makes 2-pt shot at rim (assist by J. Lauvergne),2,68-66,,
2:13.0,,,68-66,,Turnover by A. Baynes (lost ball; steal by J. Nurkic)
1:52.0,J. Nurkic misses 2-pt shot at rim (block by A. Tolliver),,68-66,,
1:52.0,Offensive rebound by J. Nurkic,,68-66,,
1:49.0,J. Nurkic makes 2-pt shot at rim,2,70-66,,
1:34.0,,,70-66,,Shooting foul by J. Nurkic (drawn by D. Hilliard)
1:34.0,,,70-67,1,D. Hilliard makes free throw 1 of 2
1:34.0,,,70-67,,S. Blake enters the game for B. Jennings
1:34.0,,,70-67,,D. Hilliard misses free throw 2 of 2
1:34.0,Defensive rebound by J. Lauvergne,,70-67,,
1:22.0,R. Foye makes 3-pt shot from 26 ft,3,73-67,,
1:01.0,,,73-67,,M. Morris misses 2-pt shot from 16 ft
1:00.0,Defensive rebound by R. Foye,,73-67,,
0:56.0,,,73-67,,Personal foul by S. Blake (drawn by R. Foye)
0:37.0,R. Foye misses 2-pt shot from 15 ft,,73-67,,
0:37.0,,,73-67,,Defensive rebound by M. Morris
0:31.0,Violation by J. Nurkic (def goaltending),,73-67,,
0:31.0,,,73-69,2,D. Hilliard makes 2-pt shot at rim (assist by M. Morris)
0:13.0,Shooting foul by S. Blake (drawn by D. Gallinari),,73-69,,
0:13.0,D. Gallinari makes free throw 1 of 2,1,74-69,,
0:13.0,D. Gallinari makes free throw 2 of 2,1,75-69,,
0:00.0,,,75-71,2,A. Baynes makes 2-pt shot at rim (assist by D. Hilliard)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,75-71,,Turnover by D. Hilliard (bad pass; steal by W. Barton)
11:49.0,,,75-71,,Personal foul by S. Blake (drawn by R. Foye)
11:40.0,W. Barton makes 2-pt shot from 7 ft,2,77-71,,
11:13.0,,,77-71,,S. Blake misses 3-pt shot from 23 ft
11:12.0,Defensive rebound by W. Barton,,77-71,,
11:00.0,J. Nurkic makes 2-pt shot at rim (assist by R. Foye),2,79-71,,
10:35.0,,,79-71,,D. Hilliard misses 2-pt shot from 21 ft
10:35.0,Defensive rebound by J. Nurkic,,79-71,,
10:14.0,W. Barton misses 3-pt shot from 26 ft,,79-71,,
10:13.0,,,79-71,,Defensive rebound by A. Drummond
10:01.0,,,79-73,2,A. Baynes makes 2-pt shot at rim (assist by A. Drummond)
9:37.0,J. Nurkic misses 2-pt shot from 4 ft,,79-73,,
9:36.0,,,79-73,,Defensive rebound by A. Baynes
9:31.0,,,79-73,,S. Johnson misses 2-pt shot at rim
9:30.0,Defensive rebound by R. Foye,,79-73,,
9:24.0,G. Harris misses 3-pt shot from 25 ft,,79-73,,
9:24.0,,,79-73,,Defensive rebound by A. Baynes
9:14.0,,,79-73,,A. Drummond misses 2-pt shot from 7 ft
9:11.0,Defensive rebound by W. Barton,,79-73,,
8:57.0,J. Nurkic makes 2-pt shot from 6 ft (assist by W. Barton),2,81-73,,
8:41.0,,,81-75,2,D. Hilliard makes 2-pt shot at rim
8:41.0,,,81-75,,Shooting foul by R. Foye (drawn by D. Hilliard)
8:41.0,Official timeout,,81-75,,
8:41.0,,,81-75,,A. Tolliver enters the game for A. Baynes
8:41.0,,,81-76,1,D. Hilliard makes free throw 1 of 1
8:21.0,W. Barton makes 2-pt shot at rim,2,83-76,,
8:03.0,,,83-79,3,A. Tolliver makes 3-pt shot from 26 ft (assist by S. Johnson)
7:42.0,W. Barton misses 2-pt shot from 17 ft,,83-79,,
7:42.0,,,83-79,,Defensive rebound by D. Hilliard
7:34.0,,,83-82,3,A. Tolliver makes 3-pt shot from 23 ft (assist by D. Hilliard)
7:33.0,Denver full timeout,,83-82,,
7:33.0,D. Gallinari enters the game for J. Lauvergne,,83-82,,
7:08.0,W. Barton misses 2-pt shot from 4 ft,,83-82,,
7:07.0,,,83-82,,Defensive rebound by A. Drummond
6:51.0,,,83-82,,A. Drummond misses 2-pt shot from 4 ft
6:49.0,Defensive rebound by W. Barton,,83-82,,
6:42.0,E. Mudiay enters the game for G. Harris,,83-82,,
6:30.0,R. Foye makes 3-pt shot from 27 ft,3,86-82,,
6:06.0,,,86-82,,S. Johnson misses 2-pt shot from 6 ft
6:05.0,Defensive rebound by J. Nurkic,,86-82,,
5:46.0,W. Barton misses 3-pt shot from 24 ft,,86-82,,
5:45.0,Offensive rebound by J. Nurkic,,86-82,,
5:43.0,J. Nurkic makes 2-pt shot at rim,2,88-82,,
5:19.0,,,88-84,2,S. Johnson makes 2-pt shot at rim
4:51.0,D. Gallinari misses 2-pt shot from 20 ft,,88-84,,
4:51.0,,,88-84,,Defensive rebound by A. Tolliver
4:33.0,,,88-84,,D. Hilliard misses 2-pt shot at rim
4:31.0,Defensive rebound by J. Nurkic,,88-84,,
4:27.0,W. Barton makes 2-pt shot at rim,2,90-84,,
4:11.0,,,90-84,,Turnover by S. Johnson (lost ball)
4:11.0,,,90-84,,M. Morris enters the game for D. Hilliard
3:52.0,W. Barton makes 2-pt shot at rim,2,92-84,,
3:52.0,,,92-84,,Detroit full timeout
3:33.0,,,92-84,,S. Johnson misses 2-pt shot from 10 ft
3:32.0,Defensive rebound by W. Barton,,92-84,,
3:19.0,Shooting foul by M. Morris (drawn by W. Barton),,92-84,,
3:19.0,W. Barton misses free throw 1 of 2,,92-84,,
3:19.0,Offensive rebound by Team,,92-84,,
3:19.0,,,92-84,,D. Hilliard enters the game for A. Tolliver
3:19.0,W. Barton makes free throw 2 of 2,1,93-84,,
3:03.0,,,93-84,,M. Morris misses 2-pt shot from 5 ft (block by J. Nurkic)
3:02.0,Defensive rebound by J. Nurkic,,93-84,,
2:57.0,D. Gallinari misses 2-pt shot from 3 ft,,93-84,,
2:57.0,Offensive rebound by W. Barton,,93-84,,
2:57.0,,,93-84,,Personal foul by A. Drummond (drawn by W. Barton)
2:57.0,W. Barton makes free throw 1 of 2,1,94-84,,
2:57.0,,,94-84,,B. Jennings enters the game for S. Blake
2:57.0,W. Barton makes free throw 2 of 2,1,95-84,,
2:40.0,,,95-84,,A. Drummond misses 2-pt shot at rim (block by W. Barton)
2:40.0,Defensive rebound by J. Nurkic,,95-84,,
2:23.0,W. Barton makes 2-pt shot from 9 ft,2,97-84,,
2:23.0,,,97-84,,Detroit full timeout
2:08.0,,,97-87,3,B. Jennings makes 3-pt shot from 24 ft (assist by S. Johnson)
1:48.0,J. Nurkic makes 2-pt shot at rim (assist by E. Mudiay),2,99-87,,
1:38.0,,,99-90,3,B. Jennings makes 3-pt shot from 26 ft
1:18.0,Turnover by E. Mudiay (lost ball; steal by A. Drummond),,99-90,,
1:07.0,,,99-90,,S. Johnson misses 3-pt shot from 22 ft
1:07.0,Defensive rebound by D. Gallinari,,99-90,,
1:07.0,,,99-90,,Loose ball foul by B. Jennings (drawn by D. Gallinari)
1:06.0,,,99-90,,Personal foul by S. Johnson (drawn by W. Barton)
1:06.0,W. Barton makes free throw 1 of 2,1,100-90,,
1:06.0,,,100-90,,A. Tolliver enters the game for D. Hilliard
1:06.0,W. Barton makes free throw 2 of 2,1,101-90,,
0:55.0,,,101-90,,M. Morris misses 2-pt shot from 6 ft
0:55.0,,,101-90,,Offensive rebound by A. Drummond
0:51.0,,,101-92,2,A. Drummond makes 2-pt shot at rim
0:40.0,,,101-92,,Personal foul by S. Johnson (drawn by D. Gallinari)
0:40.0,D. Gallinari makes free throw 1 of 2,1,102-92,,
0:40.0,D. Gallinari makes free throw 2 of 2,1,103-92,,
