time,Chicago,pts.away,score,pts.home,Dallas
8:08.0,,,16-11,3,J. Barea makes 3-pt shot from 24 ft (assist by Z. Pachulia)
7:51.0,P. Gasol misses 2-pt shot from 18 ft,,16-11,,
7:50.0,,,16-11,,Defensive rebound by C. Parsons
7:35.0,,,16-11,,Shooting foul by D. Rose (drawn by Z. Pachulia)
7:35.0,,,16-12,1,Z. Pachulia makes free throw 1 of 2
7:35.0,,,16-13,1,Z. Pachulia makes free throw 2 of 2
7:17.0,N. Mirotic misses 3-pt shot from 26 ft,,16-13,,
7:16.0,,,16-13,,Defensive rebound by D. Nowitzki
7:05.0,,,16-13,,C. Parsons misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by J. Butler,,16-13,,
6:47.0,T. Gibson makes 2-pt shot at rim,2,18-13,,
6:33.0,,,18-15,2,Z. Pachulia makes 2-pt shot from 17 ft (assist by D. Nowitzki)
6:15.0,Turnover by J. Butler (bad pass; steal by C. Parsons),,18-15,,
6:10.0,,,18-17,2,C. Parsons makes 2-pt shot from 1 ft
5:46.0,T. Gibson makes 2-pt shot from 15 ft,2,20-17,,
5:37.0,,,20-20,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea)
5:36.0,Chicago full timeout,,20-20,,
5:36.0,,,20-20,,R. Felton enters the game for D. Nowitzki
5:36.0,,,20-20,,D. Powell enters the game for J. Barea
5:21.0,D. Rose misses 3-pt shot from 23 ft,,20-20,,
5:20.0,,,20-20,,Defensive rebound by D. Powell
4:59.0,,,20-23,3,W. Matthews makes 3-pt shot from 24 ft (assist by R. Felton)
4:47.0,D. Rose makes 2-pt shot from 10 ft,2,22-23,,
4:25.0,,,22-23,,W. Matthews misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by J. Butler,,22-23,,
4:16.0,Offensive foul by T. Gibson,,22-23,,
4:16.0,Turnover by T. Gibson (offensive foul),,22-23,,
4:16.0,K. Hinrich enters the game for D. Rose,,22-23,,
4:16.0,B. Portis enters the game for T. Gibson,,22-23,,
4:00.0,,,22-23,,Turnover by C. Parsons (bad pass)
3:35.0,J. Butler misses 2-pt shot from 16 ft,,22-23,,
3:34.0,,,22-23,,Defensive rebound by D. Powell
3:21.0,,,22-23,,C. Parsons misses 2-pt shot from 21 ft
3:21.0,Defensive rebound by Team,,22-23,,
3:08.0,,,22-23,,Personal block foul by D. Powell (drawn by N. Mirotic)
3:08.0,N. Mirotic makes free throw 1 of 2,1,23-23,,
3:08.0,N. Mirotic makes free throw 2 of 2,1,24-23,,
2:48.0,,,24-23,,D. Powell misses 2-pt shot from 3 ft (block by P. Gasol)
2:46.0,Defensive rebound by P. Gasol,,24-23,,
2:34.0,P. Gasol misses 2-pt shot from 4 ft,,24-23,,
2:33.0,Offensive rebound by P. Gasol,,24-23,,
2:32.0,P. Gasol makes 2-pt shot at rim,2,26-23,,
2:10.0,,,26-25,2,R. Felton makes 2-pt shot from 9 ft
1:44.0,J. Butler misses 3-pt shot from 24 ft,,26-25,,
1:43.0,,,26-25,,Defensive rebound by Z. Pachulia
1:33.0,Shooting block foul by P. Gasol (drawn by R. Felton),,26-25,,
1:33.0,,,26-26,1,R. Felton makes free throw 1 of 2
1:33.0,,,26-26,,D. Harris enters the game for W. Matthews
1:33.0,,,26-26,,D. Nowitzki enters the game for Z. Pachulia
1:33.0,,,26-26,,J. McGee enters the game for D. Powell
1:33.0,D. McDermott enters the game for N. Mirotic,,26-26,,
1:33.0,C. Bairstow enters the game for P. Gasol,,26-26,,
1:33.0,,,26-27,1,R. Felton makes free throw 2 of 2
1:33.0,Turnover by B. Portis (inbound),,26-27,,
1:16.0,,,26-30,3,R. Felton makes 3-pt shot from 23 ft (assist by D. Nowitzki)
1:01.0,Turnover by J. Butler (bad pass),,26-30,,
0:51.0,,,26-30,,R. Felton misses 2-pt shot from 3 ft
0:50.0,Defensive rebound by J. Butler,,26-30,,
0:39.0,K. Hinrich misses 3-pt shot from 23 ft,,26-30,,
0:38.0,,,26-30,,Defensive rebound by D. Nowitzki
0:18.0,,,26-30,,Turnover by D. Nowitzki (bad pass; steal by B. Portis)
0:14.0,Offensive foul by B. Portis,,26-30,,
0:14.0,Turnover by B. Portis (offensive foul),,26-30,,
0:04.0,,,26-33,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Felton)
0:01.0,Turnover by J. Butler (lost ball; steal by D. Harris),,26-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,26-33,,C. Parsons misses 2-pt shot at rim (block by D. McDermott)
11:45.0,Defensive rebound by B. Portis,,26-33,,
11:34.0,T. Gibson misses 2-pt shot from 15 ft,,26-33,,
11:33.0,,,26-33,,Defensive rebound by R. Felton
11:12.0,,,26-33,,R. Felton misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by A. Brooks,,26-33,,
11:03.0,D. McDermott makes 3-pt shot from 23 ft (assist by A. Brooks),3,29-33,,
10:42.0,,,29-33,,D. Harris misses 2-pt shot from 6 ft
10:41.0,Defensive rebound by T. Gibson,,29-33,,
10:36.0,D. McDermott misses 3-pt shot from 25 ft,,29-33,,
10:35.0,,,29-33,,Defensive rebound by J. McGee
10:23.0,,,29-35,2,C. Parsons makes 2-pt shot at rim (assist by D. Harris)
10:11.0,,,29-35,,Personal foul by D. Harris (drawn by K. Hinrich)
10:11.0,,,29-35,,W. Matthews enters the game for C. Parsons
10:11.0,,,29-35,,J. Barea enters the game for R. Felton
10:11.0,,,29-35,,C. Villanueva enters the game for D. Nowitzki
10:06.0,,,29-35,,Personal block foul by C. Villanueva (drawn by K. Hinrich)
9:59.0,B. Portis misses 2-pt shot from 17 ft,,29-35,,
9:58.0,Offensive rebound by T. Gibson,,29-35,,
9:53.0,K. Hinrich misses 3-pt shot from 24 ft,,29-35,,
9:52.0,Offensive rebound by T. Gibson,,29-35,,
9:44.0,A. Brooks misses 2-pt shot from 5 ft,,29-35,,
9:44.0,Offensive rebound by T. Gibson,,29-35,,
9:44.0,,,29-35,,Loose ball foul by C. Villanueva (drawn by T. Gibson)
9:44.0,N. Mirotic enters the game for B. Portis,,29-35,,
9:39.0,D. McDermott makes 2-pt shot from 6 ft,2,31-35,,
9:21.0,,,31-35,,C. Villanueva misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by N. Mirotic,,31-35,,
9:05.0,D. McDermott makes 2-pt shot from 12 ft (assist by K. Hinrich),2,33-35,,
9:04.0,,,33-35,,Dallas full timeout
9:04.0,,,33-35,,D. Powell enters the game for C. Villanueva
9:04.0,D. Rose enters the game for T. Gibson,,33-35,,
9:04.0,P. Gasol enters the game for K. Hinrich,,33-35,,
8:52.0,,,33-35,,Turnover by D. Harris (bad pass)
8:39.0,A. Brooks makes 2-pt shot at rim,2,35-35,,
8:31.0,Personal foul by A. Brooks,,35-35,,
8:25.0,,,35-35,,W. Matthews misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by P. Gasol,,35-35,,
8:16.0,Turnover by D. Rose (lost ball; steal by D. Harris),,35-35,,
8:00.0,,,35-35,,J. McGee misses 2-pt shot from 16 ft
7:59.0,Defensive rebound by N. Mirotic,,35-35,,
7:51.0,,,35-35,,Shooting block foul by J. McGee (drawn by N. Mirotic)
7:51.0,N. Mirotic makes free throw 1 of 2,1,36-35,,
7:51.0,,,36-35,,Z. Pachulia enters the game for J. McGee
7:51.0,N. Mirotic makes free throw 2 of 2,1,37-35,,
7:41.0,,,37-35,,Turnover by W. Matthews (bad pass; steal by N. Mirotic)
7:35.0,Turnover by D. McDermott (bad pass),,37-35,,
7:23.0,,,37-35,,W. Matthews misses 2-pt shot from 2 ft (block by N. Mirotic)
7:21.0,,,37-35,,Offensive rebound by W. Matthews
7:12.0,,,37-35,,Shooting foul by N. Mirotic (drawn by D. Harris)
7:12.0,,,37-35,,D. Harris misses free throw 1 of 3
7:12.0,,,37-35,,Offensive rebound by Team
7:12.0,,,37-36,1,D. Harris makes free throw 2 of 3
7:12.0,,,37-37,1,D. Harris makes free throw 3 of 3
6:58.0,N. Mirotic makes 3-pt shot from 24 ft (assist by P. Gasol),3,40-37,,
6:47.0,,,40-37,,Z. Pachulia misses 2-pt shot from 20 ft
6:45.0,Defensive rebound by D. Rose,,40-37,,
6:31.0,A. Brooks misses 2-pt shot from 15 ft,,40-37,,
6:30.0,,,40-37,,Defensive rebound by Z. Pachulia
6:19.0,,,40-39,2,Z. Pachulia makes 2-pt shot from 4 ft (assist by D. Harris)
5:59.0,Shooting foul by Z. Pachulia (drawn by P. Gasol),,40-39,,
5:59.0,Official timeout,,40-39,,
5:59.0,,,40-39,,C. Parsons enters the game for D. Powell
5:59.0,,,40-39,,D. Nowitzki enters the game for D. Harris
5:59.0,T. Gibson enters the game for D. McDermott,,40-39,,
5:59.0,J. Butler enters the game for A. Brooks,,40-39,,
5:59.0,P. Gasol makes free throw 1 of 2,1,41-39,,
5:59.0,P. Gasol makes free throw 2 of 2,1,42-39,,
5:36.0,,,42-41,2,C. Parsons makes 2-pt shot from 6 ft
5:20.0,Shooting foul by Z. Pachulia (drawn by P. Gasol),,42-41,,
5:20.0,P. Gasol makes free throw 1 of 2,1,43-41,,
5:20.0,P. Gasol makes free throw 2 of 2,1,44-41,,
5:03.0,,,44-41,,J. Barea misses 2-pt shot from 11 ft
5:02.0,Defensive rebound by P. Gasol,,44-41,,
4:42.0,N. Mirotic makes 3-pt shot from 22 ft (assist by J. Butler),3,47-41,,
4:30.0,,,47-41,,D. Nowitzki misses 3-pt shot from 24 ft
4:28.0,Defensive rebound by Team,,47-41,,
4:19.0,,,47-41,,Personal foul by W. Matthews (drawn by J. Butler)
4:19.0,J. Butler makes free throw 1 of 2,1,48-41,,
4:19.0,,,48-41,,R. Felton enters the game for J. Barea
4:19.0,J. Butler makes free throw 2 of 2,1,49-41,,
4:07.0,,,49-41,,R. Felton misses 2-pt shot from 18 ft
4:06.0,,,49-41,,Offensive rebound by C. Parsons
3:56.0,,,49-43,2,D. Nowitzki makes 2-pt shot from 6 ft
3:40.0,D. Rose makes 2-pt shot from 11 ft,2,51-43,,
3:21.0,,,51-43,,Z. Pachulia misses 2-pt shot from 15 ft
3:20.0,Defensive rebound by N. Mirotic,,51-43,,
3:15.0,,,51-43,,Personal foul by C. Parsons (drawn by N. Mirotic)
3:15.0,N. Mirotic misses free throw 1 of 2,,51-43,,
3:15.0,Offensive rebound by Team,,51-43,,
3:15.0,N. Mirotic makes free throw 2 of 2,1,52-43,,
2:54.0,,,52-43,,Turnover by R. Felton (bad pass)
2:54.0,Chicago full timeout,,52-43,,
2:54.0,,,52-43,,J. Barea enters the game for R. Felton
2:38.0,T. Gibson makes 2-pt shot from 4 ft (assist by D. Rose),2,54-43,,
2:22.0,,,54-46,3,J. Barea makes 3-pt shot from 24 ft
2:04.0,T. Gibson makes 2-pt shot from 14 ft (assist by J. Butler),2,56-46,,
1:53.0,,,56-46,,J. Barea misses 2-pt shot from 13 ft
1:52.0,,,56-46,,Offensive rebound by Z. Pachulia
1:45.0,,,56-49,3,W. Matthews makes 3-pt shot from 23 ft (assist by C. Parsons)
1:19.0,D. Rose makes 2-pt shot at rim,2,58-49,,
1:11.0,,,58-51,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by J. Barea)
1:11.0,Shooting block foul by P. Gasol (drawn by Z. Pachulia),,58-51,,
1:11.0,,,58-52,1,Z. Pachulia makes free throw 1 of 1
1:00.0,D. Rose makes 2-pt shot from 19 ft,2,60-52,,
0:50.0,,,60-52,,Shooting foul by N. Mirotic (drawn by Z. Pachulia)
0:50.0,,,60-53,1,Z. Pachulia makes free throw 1 of 2
0:50.0,,,60-54,1,Z. Pachulia makes free throw 2 of 2
0:36.0,J. Butler misses 2-pt shot from 14 ft,,60-54,,
0:35.0,,,60-54,,Defensive rebound by Z. Pachulia
0:25.0,,,60-57,3,J. Barea makes 3-pt shot from 25 ft
0:05.0,Turnover by D. Rose (bad pass; steal by C. Parsons),,60-57,,
0:02.0,,,60-59,2,C. Parsons makes 2-pt shot at rim
0:00.0,J. Butler misses 3-pt shot from 48 ft,,60-59,,
0:00.0,Offensive rebound by Team,,60-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,60-62,3,J. Barea makes 3-pt shot from 24 ft (assist by C. Parsons)
11:26.0,,,60-62,,Def 3 sec tech foul by D. Nowitzki
11:26.0,J. Butler makes technical free throw,1,61-62,,
11:16.0,D. Rose makes 2-pt shot from 19 ft,2,63-62,,
10:58.0,,,63-62,,Z. Pachulia misses 2-pt shot from 4 ft
10:57.0,,,63-62,,Offensive rebound by Z. Pachulia
10:56.0,,,63-64,2,Z. Pachulia makes 2-pt shot from 1 ft
10:42.0,D. Rose misses 2-pt shot from 3 ft,,63-64,,
10:41.0,,,63-64,,Defensive rebound by Z. Pachulia
10:32.0,,,63-64,,W. Matthews misses 3-pt shot from 24 ft
10:31.0,,,63-64,,Offensive rebound by D. Nowitzki
10:25.0,,,63-67,3,C. Parsons makes 3-pt shot from 24 ft (assist by W. Matthews)
10:12.0,Turnover by J. Butler (lost ball),,63-67,,
9:51.0,,,63-67,,Z. Pachulia misses 2-pt shot from 2 ft
9:51.0,,,63-67,,Offensive rebound by Z. Pachulia
9:51.0,Loose ball foul by P. Gasol (drawn by Z. Pachulia),,63-67,,
9:35.0,,,63-70,3,C. Parsons makes 3-pt shot from 24 ft (assist by J. Barea)
9:34.0,Chicago full timeout,,63-70,,
9:24.0,,,63-70,,Violation by W. Matthews (kicked ball)
9:20.0,D. Rose misses 2-pt shot from 20 ft,,63-70,,
9:19.0,Offensive rebound by P. Gasol,,63-70,,
9:19.0,P. Gasol makes 2-pt shot from 1 ft,2,65-70,,
8:53.0,,,65-70,,Z. Pachulia misses 2-pt shot from 7 ft (block by P. Gasol)
8:52.0,,,65-70,,Offensive rebound by Team
8:52.0,,,65-70,,Turnover by Team (shot clock)
8:41.0,P. Gasol misses 2-pt shot from 18 ft,,65-70,,
8:40.0,,,65-70,,Defensive rebound by W. Matthews
8:21.0,,,65-70,,W. Matthews misses 3-pt shot from 22 ft
8:19.0,Defensive rebound by Team,,65-70,,
8:04.0,,,65-70,,Personal foul by Z. Pachulia (drawn by P. Gasol)
7:57.0,N. Mirotic misses 3-pt shot from 23 ft,,65-70,,
7:56.0,Offensive rebound by P. Gasol,,65-70,,
7:53.0,Shooting foul by D. Nowitzki (drawn by N. Mirotic),,65-70,,
7:53.0,N. Mirotic makes free throw 1 of 2,1,66-70,,
7:53.0,N. Mirotic misses free throw 2 of 2,,66-70,,
7:52.0,,,66-70,,Defensive rebound by W. Matthews
7:43.0,Personal foul by T. Gibson (drawn by D. Nowitzki),,66-70,,
7:42.0,,,66-70,,Shooting foul by N. Mirotic (drawn by C. Parsons)
7:42.0,,,66-70,,C. Parsons misses free throw 1 of 3
7:42.0,,,66-70,,Offensive rebound by Team
7:42.0,,,66-71,1,C. Parsons makes free throw 2 of 3
7:42.0,,,66-72,1,C. Parsons makes free throw 3 of 3
7:30.0,T. Gibson misses 2-pt shot from 16 ft,,66-72,,
7:29.0,,,66-72,,Defensive rebound by Z. Pachulia
7:14.0,,,66-75,3,J. Barea makes 3-pt shot from 24 ft
7:06.0,,,66-75,,Personal foul by J. Barea
6:59.0,J. Butler misses 3-pt shot from 25 ft,,66-75,,
6:58.0,Offensive rebound by P. Gasol,,66-75,,
6:50.0,P. Gasol makes 2-pt shot from 3 ft,2,68-75,,
6:34.0,Shooting block foul by J. Butler (drawn by D. Nowitzki),,68-75,,
6:34.0,,,68-75,,D. Nowitzki misses free throw 1 of 2
6:34.0,,,68-75,,Offensive rebound by Team
6:34.0,,,68-76,1,D. Nowitzki makes free throw 2 of 2
6:18.0,D. Rose makes 2-pt shot from 8 ft,2,70-76,,
5:53.0,,,70-76,,C. Parsons misses 2-pt shot from 4 ft
5:51.0,,,70-76,,Offensive rebound by Z. Pachulia
5:51.0,,,70-78,2,Z. Pachulia makes 2-pt shot at rim
5:33.0,,,70-78,,Personal foul by Z. Pachulia (drawn by P. Gasol)
5:33.0,,,70-78,,D. Powell enters the game for D. Nowitzki
5:33.0,,,70-78,,R. Felton enters the game for J. Barea
5:33.0,D. McDermott enters the game for T. Gibson,,70-78,,
5:33.0,,,70-78,,J. McGee enters the game for Z. Pachulia
5:28.0,,,70-78,,Personal foul by W. Matthews (drawn by J. Butler)
5:28.0,J. Butler makes free throw 1 of 2,1,71-78,,
5:28.0,J. Butler makes free throw 2 of 2,1,72-78,,
5:03.0,,,72-78,,C. Parsons misses 2-pt shot from 18 ft
5:02.0,Defensive rebound by D. Rose,,72-78,,
4:59.0,Shooting foul by D. Powell (drawn by J. Butler),,72-78,,
4:59.0,,,72-78,,Dallas full timeout
4:59.0,,,72-78,,D. Harris enters the game for W. Matthews
4:59.0,J. Butler makes free throw 1 of 2,1,73-78,,
4:59.0,J. Butler makes free throw 2 of 2,1,74-78,,
4:46.0,,,74-78,,D. Powell misses 2-pt shot from 17 ft
4:45.0,,,74-78,,Offensive rebound by C. Parsons
4:30.0,,,74-80,2,C. Parsons makes 2-pt shot from 4 ft
4:09.0,P. Gasol makes 2-pt shot from 1 ft,2,76-80,,
3:57.0,,,76-82,2,D. Powell makes 2-pt shot at rim (assist by C. Parsons)
3:45.0,P. Gasol makes 2-pt shot from 18 ft (assist by J. Butler),2,78-82,,
3:27.0,,,78-82,,J. McGee misses 2-pt shot from 1 ft (block by P. Gasol)
3:26.0,Defensive rebound by P. Gasol,,78-82,,
3:13.0,D. Rose makes 2-pt shot from 7 ft (assist by P. Gasol),2,80-82,,
2:49.0,,,80-82,,D. Harris misses 2-pt shot from 3 ft (block by N. Mirotic)
2:47.0,,,80-82,,Offensive rebound by D. Harris
2:46.0,,,80-82,,D. Harris misses 2-pt shot from 1 ft (block by N. Mirotic)
2:45.0,Defensive rebound by N. Mirotic,,80-82,,
2:42.0,J. Butler makes 2-pt shot from 1 ft (assist by D. Rose),2,82-82,,
2:42.0,Shooting foul by D. Powell (drawn by J. Butler),,82-82,,
2:42.0,,,82-82,,D. Nowitzki enters the game for J. McGee
2:42.0,,,82-82,,J. Barea enters the game for R. Felton
2:42.0,J. Butler misses free throw 1 of 1,,82-82,,
2:41.0,,,82-82,,Defensive rebound by D. Nowitzki
2:28.0,,,82-82,,Turnover by D. Harris (bad pass; steal by N. Mirotic)
2:19.0,D. Rose misses 2-pt shot from 7 ft,,82-82,,
2:18.0,,,82-82,,Defensive rebound by C. Parsons
2:05.0,,,82-82,,C. Parsons misses 3-pt shot from 25 ft
2:04.0,,,82-82,,Offensive rebound by D. Harris
2:01.0,,,82-85,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris)
1:47.0,P. Gasol makes 2-pt shot from 18 ft (assist by J. Butler),2,84-85,,
1:25.0,,,84-85,,D. Nowitzki misses 2-pt shot from 4 ft
1:24.0,Defensive rebound by P. Gasol,,84-85,,
1:15.0,N. Mirotic makes 2-pt shot from 2 ft,2,86-85,,
1:15.0,Shooting foul by D. Nowitzki (drawn by N. Mirotic),,86-85,,
1:15.0,A. Brooks enters the game for D. Rose,,86-85,,
1:15.0,,,86-85,,W. Matthews enters the game for C. Parsons
1:15.0,N. Mirotic makes free throw 1 of 1,1,87-85,,
1:08.0,Personal foul by N. Mirotic (drawn by D. Nowitzki),,87-85,,
1:08.0,,,87-86,1,D. Nowitzki makes free throw 1 of 2
1:08.0,T. Gibson enters the game for N. Mirotic,,87-86,,
1:08.0,,,87-87,1,D. Nowitzki makes free throw 2 of 2
0:59.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,89-87,,
0:43.0,,,89-87,,J. Barea misses 2-pt shot from 12 ft
0:42.0,,,89-87,,Offensive rebound by D. Nowitzki
0:34.0,,,89-87,,D. Harris misses 3-pt shot from 25 ft
0:33.0,,,89-87,,Offensive rebound by D. Powell
0:32.0,,,89-87,,Shooting foul by P. Gasol (drawn by D. Powell)
0:32.0,,,89-88,1,D. Powell makes free throw 1 of 2
0:32.0,B. Portis enters the game for P. Gasol,,89-88,,
0:32.0,,,89-88,,D. Powell misses free throw 2 of 2
0:31.0,Defensive rebound by B. Portis,,89-88,,
0:09.0,Turnover by A. Brooks (bad pass; steal by D. Powell),,89-88,,
0:04.0,,,89-90,2,J. Barea makes 2-pt shot from 1 ft (assist by D. Harris)
0:00.0,Shooting foul by D. Harris (drawn by T. Gibson),,89-90,,
0:00.0,T. Gibson misses free throw 1 of 2,,89-90,,
0:00.0,Offensive rebound by Team,,89-90,,
0:00.0,K. Hinrich enters the game for J. Butler,,89-90,,
0:00.0,T. Gibson misses free throw 2 of 2,,89-90,,
0:00.0,,,89-90,,Defensive rebound by D. Harris
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,A. Brooks misses 2-pt shot from 1 ft (block by J. Barea),,89-90,,
11:44.0,Offensive rebound by A. Brooks,,89-90,,
11:42.0,Turnover by A. Brooks (bad pass; steal by D. Harris),,89-90,,
11:38.0,,,89-92,2,D. Harris makes 2-pt shot at rim
11:24.0,B. Portis misses 2-pt shot from 1 ft,,89-92,,
11:24.0,Offensive rebound by T. Gibson,,89-92,,
11:24.0,,,89-92,,Personal block foul by D. Harris (drawn by T. Gibson)
11:18.0,A. Brooks makes 3-pt shot from 23 ft (assist by T. Gibson),3,92-92,,
11:03.0,,,92-92,,W. Matthews misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by T. Gibson,,92-92,,
11:02.0,,,92-92,,Personal foul by D. Powell (drawn by B. Portis)
10:50.0,Offensive foul by B. Portis,,92-92,,
10:50.0,Turnover by B. Portis (offensive foul),,92-92,,
10:44.0,,,92-92,,Shooting foul by K. Hinrich (drawn by J. Barea)
10:44.0,,,92-92,,J. Barea misses free throw 1 of 2
10:44.0,,,92-92,,Offensive rebound by Team
10:44.0,,,92-93,1,J. Barea makes free throw 2 of 2
10:34.0,A. Brooks makes 2-pt shot from 2 ft,2,94-93,,
10:26.0,,,94-93,,D. Harris misses 2-pt shot at rim
10:25.0,Defensive rebound by K. Hinrich,,94-93,,
10:14.0,K. Hinrich misses 3-pt shot from 23 ft,,94-93,,
10:13.0,Offensive rebound by B. Portis,,94-93,,
10:08.0,Turnover by B. Portis (lost ball; steal by D. Nowitzki),,94-93,,
10:05.0,,,94-95,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
10:05.0,,,94-95,,Shooting foul by B. Portis (drawn by D. Powell)
10:05.0,,,94-95,,D. Powell misses free throw 1 of 1
10:03.0,Defensive rebound by T. Gibson,,94-95,,
9:44.0,Turnover by K. Hinrich (bad pass; steal by D. Powell),,94-95,,
9:24.0,,,94-95,,D. Nowitzki misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by T. Gibson,,94-95,,
9:03.0,A. Brooks misses 2-pt shot from 1 ft,,94-95,,
9:01.0,Offensive rebound by B. Portis,,94-95,,
9:01.0,B. Portis makes 2-pt shot at rim,2,96-95,,
9:01.0,,,96-95,,Dallas full timeout
9:01.0,,,96-95,,R. Felton enters the game for J. Barea
9:01.0,N. Mirotic enters the game for K. Hinrich,,96-95,,
9:01.0,D. Rose enters the game for B. Portis,,96-95,,
8:40.0,,,96-98,3,D. Harris makes 3-pt shot from 23 ft (assist by R. Felton)
8:17.0,D. Rose makes 2-pt shot from 6 ft,2,98-98,,
8:09.0,Personal foul by A. Brooks (drawn by R. Felton),,98-98,,
8:01.0,,,98-98,,D. Harris misses 2-pt shot at rim
8:00.0,,,98-98,,Offensive rebound by D. Powell
7:52.0,,,98-100,2,D. Powell makes 2-pt shot at rim (assist by R. Felton)
7:29.0,N. Mirotic misses 3-pt shot from 24 ft,,98-100,,
7:28.0,,,98-100,,Defensive rebound by D. Powell
7:11.0,,,98-102,2,W. Matthews makes 2-pt shot from 5 ft
7:06.0,Chicago full timeout,,98-102,,
7:06.0,,,98-102,,C. Parsons enters the game for D. Nowitzki
7:06.0,,,98-102,,Z. Pachulia enters the game for D. Harris
7:06.0,P. Gasol enters the game for T. Gibson,,98-102,,
7:06.0,J. Butler enters the game for D. McDermott,,98-102,,
6:59.0,D. Rose misses 2-pt shot from 12 ft,,98-102,,
6:58.0,,,98-102,,Defensive rebound by D. Powell
6:46.0,,,98-102,,W. Matthews misses 3-pt shot from 22 ft
6:45.0,Defensive rebound by A. Brooks,,98-102,,
6:30.0,A. Brooks misses 3-pt shot from 23 ft,,98-102,,
6:28.0,,,98-102,,Defensive rebound by W. Matthews
6:15.0,,,98-102,,Turnover by Z. Pachulia (offensive foul)
6:15.0,,,98-102,,Offensive foul by Z. Pachulia
6:15.0,,,98-102,,J. Barea enters the game for W. Matthews
6:15.0,,,98-102,,C. Villanueva enters the game for Z. Pachulia
6:04.0,N. Mirotic makes 3-pt shot from 24 ft (assist by D. Rose),3,101-102,,
5:49.0,,,101-102,,Turnover by D. Powell (bad pass; steal by J. Butler)
5:41.0,,,101-102,,Shooting block foul by C. Villanueva (drawn by N. Mirotic)
5:41.0,N. Mirotic misses free throw 1 of 2,,101-102,,
5:41.0,Offensive rebound by Team,,101-102,,
5:41.0,N. Mirotic misses free throw 2 of 2,,101-102,,
5:41.0,,,101-102,,Defensive rebound by R. Felton
5:22.0,,,101-104,2,D. Powell makes 2-pt shot from 3 ft (assist by C. Parsons)
5:00.0,,,101-104,,Personal foul by D. Powell (drawn by P. Gasol)
4:46.0,A. Brooks misses 3-pt shot from 24 ft,,101-104,,
4:45.0,,,101-104,,Defensive rebound by C. Parsons
