time,Washington,pts.away,score,pts.home,Memphis
8:04.0,,,6-10,3,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol)
7:55.0,Turnover by J. Wall (lost ball),,6-10,,
7:42.0,,,6-10,,Turnover by M. Barnes (bad pass; steal by O. Porter)
7:36.0,G. Temple makes 2-pt shot at rim (assist by O. Porter),2,8-10,,
7:16.0,,,8-12,2,M. Gasol makes 2-pt shot from 14 ft (assist by M. Conley)
7:03.0,M. Gortat makes 2-pt shot from 6 ft,2,10-12,,
6:45.0,,,10-12,,J. Green misses 3-pt shot from 26 ft
6:45.0,Defensive rebound by M. Gortat,,10-12,,
6:31.0,G. Temple misses 3-pt shot from 24 ft,,10-12,,
6:30.0,,,10-12,,Defensive rebound by J. Green
6:19.0,,,10-12,,M. Gasol misses 2-pt shot from 6 ft
6:18.0,,,10-12,,Offensive rebound by M. Barnes
6:18.0,,,10-14,2,M. Barnes makes 2-pt shot at rim
6:05.0,J. Wall makes 3-pt shot from 24 ft (assist by O. Porter),3,13-14,,
5:46.0,,,13-14,,M. Conley misses 2-pt shot from 17 ft
5:43.0,Defensive rebound by O. Porter,,13-14,,
5:27.0,G. Temple makes 2-pt shot from 20 ft,2,15-14,,
5:03.0,,,15-16,2,M. Gasol makes 2-pt shot from 16 ft (assist by M. Conley)
4:47.0,O. Porter misses 2-pt shot from 12 ft,,15-16,,
4:47.0,,,15-16,,Defensive rebound by M. Gasol
4:38.0,,,15-16,,M. Gasol misses 2-pt shot from 1 ft
4:38.0,Defensive rebound by J. Dudley,,15-16,,
4:29.0,G. Temple misses 3-pt shot from 23 ft,,15-16,,
4:28.0,Offensive rebound by J. Dudley,,15-16,,
4:21.0,J. Wall misses 3-pt shot from 23 ft,,15-16,,
4:20.0,,,15-16,,Defensive rebound by C. Lee
4:17.0,,,15-16,,Offensive charge foul by M. Barnes
4:17.0,,,15-16,,Turnover by M. Barnes (offensive foul)
4:17.0,,,15-16,,Memphis full timeout
4:17.0,,,15-16,,Z. Randolph enters the game for M. Barnes
4:17.0,,,15-16,,M. Chalmers enters the game for M. Conley
4:08.0,Turnover by M. Gortat (dbl dribble),,15-16,,
3:52.0,,,15-18,2,J. Green makes 2-pt shot from 1 ft
3:31.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,17-18,,
3:13.0,,,17-20,2,J. Green makes 2-pt shot at rim
2:58.0,J. Dudley makes 2-pt shot from 19 ft (assist by J. Wall),2,19-20,,
2:30.0,,,19-20,,M. Gasol misses 2-pt shot from 19 ft
2:29.0,Defensive rebound by J. Dudley,,19-20,,
2:21.0,Turnover by J. Wall (bad pass; steal by J. Green),,19-20,,
2:05.0,,,19-23,3,M. Chalmers makes 3-pt shot from 23 ft (assist by M. Gasol)
1:57.0,Washington full timeout,,19-23,,
1:57.0,G. Neal enters the game for O. Porter,,19-23,,
1:57.0,K. Oubre enters the game for G. Temple,,19-23,,
1:57.0,,,19-23,,J. Green enters the game for M. Gasol
1:57.0,,,19-23,,Violation by Team (jump ball)
1:49.0,,,19-23,,Personal foul by J. Green (drawn by K. Oubre)
1:39.0,J. Dudley makes 2-pt shot from 10 ft (assist by J. Wall),2,21-23,,
1:23.0,,,21-23,,Turnover by J. Green (bad pass; steal by M. Gortat)
1:20.0,Turnover by M. Gortat (bad pass),,21-23,,
1:20.0,D. Blair enters the game for M. Gortat,,21-23,,
1:06.0,,,21-23,,J. Green misses 2-pt shot from 7 ft
1:05.0,,,21-23,,Offensive rebound by Z. Randolph
1:05.0,,,21-25,2,Z. Randolph makes 2-pt shot from 1 ft
0:59.0,J. Wall misses 2-pt shot at rim,,21-25,,
0:58.0,,,21-25,,Defensive rebound by Z. Randolph
0:48.0,,,21-25,,Turnover by M. Chalmers (bad pass; steal by D. Blair)
0:40.0,,,21-25,,Personal foul by M. Chalmers (drawn by G. Neal)
0:40.0,G. Neal misses free throw 1 of 2,,21-25,,
0:40.0,Offensive rebound by Team,,21-25,,
0:40.0,G. Neal misses free throw 2 of 2,,21-25,,
0:40.0,,,21-25,,Defensive rebound by Z. Randolph
0:22.0,O. Porter enters the game for J. Dudley,,21-25,,
0:18.0,,,21-25,,C. Lee misses 2-pt shot from 19 ft
0:16.0,Defensive rebound by J. Wall,,21-25,,
0:01.0,J. Wall misses 3-pt shot from 26 ft,,21-25,,
0:00.0,Offensive rebound by Team,,21-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,21-25,,Turnover by J. Green (bad pass; steal by K. Oubre)
11:42.0,K. Oubre misses 2-pt shot at rim (block by J. Green),,21-25,,
11:42.0,Offensive rebound by Team,,21-25,,
11:33.0,O. Porter misses 2-pt shot from 20 ft,,21-25,,
11:32.0,,,21-25,,Defensive rebound by M. Conley
11:17.0,,,21-27,2,M. Chalmers makes 2-pt shot at rim
11:02.0,D. Blair makes 2-pt shot from 8 ft,2,23-27,,
10:36.0,,,23-29,2,J. Green makes 2-pt shot from 5 ft
10:26.0,,,23-29,,Personal foul by Z. Randolph (drawn by R. Sessions)
10:26.0,,,23-29,,M. Gasol enters the game for J. Green
10:12.0,Turnover by R. Sessions (lost ball; steal by Z. Randolph),,23-29,,
9:59.0,Personal foul by D. Blair (drawn by M. Gasol),,23-29,,
9:59.0,K. Humphries enters the game for K. Oubre,,23-29,,
9:52.0,,,23-31,2,M. Conley makes 2-pt shot from 9 ft
9:38.0,G. Neal makes 2-pt shot from 18 ft (assist by K. Humphries),2,25-31,,
9:26.0,,,25-31,,Turnover by M. Conley (bad pass; steal by R. Sessions)
9:21.0,R. Sessions makes 2-pt shot from 2 ft (assist by O. Porter),2,27-31,,
9:01.0,,,27-33,2,J. Green makes 2-pt shot from 7 ft
8:51.0,G. Neal makes 2-pt shot from 15 ft,2,29-33,,
8:34.0,,,29-33,,Memphis full timeout
8:30.0,Personal foul by O. Porter (drawn by M. Gasol),,29-33,,
8:19.0,,,29-36,3,M. Conley makes 3-pt shot from 24 ft (assist by J. Green)
8:07.0,D. Blair misses 2-pt shot from 8 ft (block by M. Gasol),,29-36,,
8:07.0,,,29-36,,Defensive rebound by Team
7:52.0,,,29-38,2,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Conley)
7:35.0,G. Neal makes 3-pt shot from 24 ft,3,32-38,,
7:07.0,,,32-38,,M. Gasol misses 2-pt shot at rim
7:05.0,Defensive rebound by D. Blair,,32-38,,
6:54.0,K. Humphries makes 2-pt shot from 2 ft (assist by D. Blair),2,34-38,,
6:34.0,,,34-40,2,M. Chalmers makes 2-pt shot from 1 ft
6:27.0,Turnover by R. Sessions (lost ball),,34-40,,
6:06.0,,,34-40,,M. Gasol misses 2-pt shot from 12 ft
6:05.0,Defensive rebound by K. Humphries,,34-40,,
5:56.0,G. Neal misses 2-pt shot from 10 ft,,34-40,,
5:55.0,,,34-40,,Defensive rebound by M. Gasol
5:49.0,,,34-40,,Memphis full timeout
5:49.0,J. Wall enters the game for O. Porter,,34-40,,
5:49.0,,,34-40,,M. Barnes enters the game for J. Green
5:49.0,,,34-40,,C. Lee enters the game for M. Chalmers
5:33.0,,,34-43,3,M. Barnes makes 3-pt shot from 26 ft (assist by Z. Randolph)
5:16.0,K. Humphries misses 3-pt shot from 23 ft,,34-43,,
5:15.0,Offensive rebound by D. Blair,,34-43,,
4:59.0,K. Humphries misses 2-pt shot from 7 ft,,34-43,,
4:57.0,,,34-43,,Defensive rebound by Z. Randolph
4:48.0,,,34-43,,M. Conley misses 2-pt shot from 1 ft
4:46.0,Defensive rebound by D. Blair,,34-43,,
4:38.0,J. Wall misses 2-pt shot from 17 ft,,34-43,,
4:36.0,,,34-43,,Defensive rebound by M. Gasol
4:32.0,,,34-43,,M. Conley misses 2-pt shot from 1 ft
4:29.0,,,34-43,,Offensive rebound by M. Conley
4:22.0,Personal foul by K. Humphries (drawn by Z. Randolph),,34-43,,
4:22.0,M. Gortat enters the game for D. Blair,,34-43,,
4:22.0,J. Dudley enters the game for K. Humphries,,34-43,,
4:09.0,,,34-43,,M. Conley misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by J. Dudley,,34-43,,
3:58.0,J. Dudley makes 2-pt shot from 21 ft (assist by J. Wall),2,36-43,,
3:42.0,,,36-45,2,Z. Randolph makes 2-pt shot at rim (assist by M. Gasol)
3:38.0,Shooting foul by M. Conley (drawn by R. Sessions),,36-45,,
3:38.0,R. Sessions makes free throw 1 of 2,1,37-45,,
3:38.0,R. Sessions makes free throw 2 of 2,1,38-45,,
3:18.0,,,38-47,2,Z. Randolph makes 2-pt shot at rim
3:07.0,G. Neal makes 3-pt shot from 24 ft (assist by J. Wall),3,41-47,,
2:49.0,,,41-49,2,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley)
2:37.0,Washington full timeout,,41-49,,
2:37.0,,,41-49,,J. Green enters the game for Z. Randolph
2:27.0,G. Neal makes 2-pt shot from 2 ft,2,43-49,,
2:27.0,Shooting foul by M. Gasol (drawn by G. Neal),,43-49,,
2:27.0,G. Neal makes free throw 1 of 1,1,44-49,,
2:14.0,,,44-49,,Turnover by M. Gasol (bad pass; steal by M. Gortat)
2:09.0,J. Dudley misses 2-pt shot from 1 ft,,44-49,,
2:09.0,,,44-49,,Defensive rebound by Team
1:52.0,,,44-51,2,M. Gasol makes 2-pt shot at rim (assist by J. Green)
1:44.0,Turnover by J. Dudley (bad pass; steal by M. Conley),,44-51,,
1:39.0,,,44-53,2,M. Barnes makes 2-pt shot at rim (assist by M. Conley)
1:28.0,G. Neal makes 2-pt shot from 18 ft,2,46-53,,
1:06.0,,,46-55,2,M. Conley makes 2-pt shot from 1 ft
1:00.0,,,46-55,,Personal foul by M. Gasol (drawn by M. Gortat)
1:00.0,O. Porter enters the game for R. Sessions,,46-55,,
0:50.0,M. Gortat misses 2-pt shot at rim (block by M. Gasol),,46-55,,
0:49.0,,,46-55,,Defensive rebound by M. Gasol
0:44.0,,,46-57,2,M. Conley makes 2-pt shot at rim
0:40.0,Washington full timeout,,46-57,,
0:33.0,M. Gortat misses 2-pt shot from 1 ft,,46-57,,
0:32.0,,,46-57,,Defensive rebound by M. Gasol
0:12.0,,,46-57,,Offensive charge foul by M. Gasol
0:12.0,,,46-57,,Turnover by M. Gasol (offensive foul)
0:12.0,,,46-57,,J. Green enters the game for M. Gasol
0:01.0,G. Neal misses 2-pt shot from 20 ft,,46-57,,
0:00.0,Offensive rebound by Team,,46-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,46-57,,Turnover by J. Green (bad pass)
11:30.0,M. Gortat misses 2-pt shot from 2 ft,,46-57,,
11:29.0,,,46-57,,Defensive rebound by M. Gasol
11:15.0,,,46-60,3,C. Lee makes 3-pt shot from 23 ft (assist by M. Gasol)
11:08.0,Turnover by G. Temple (lost ball; steal by M. Conley),,46-60,,
10:56.0,,,46-62,2,C. Lee makes 2-pt shot from 19 ft (assist by M. Conley)
10:39.0,O. Porter misses 2-pt shot from 11 ft,,46-62,,
10:38.0,,,46-62,,Defensive rebound by M. Gasol
10:22.0,,,46-64,2,M. Gasol makes 2-pt shot from 17 ft (assist by M. Conley)
10:22.0,Washington full timeout,,46-64,,
10:10.0,O. Porter misses 2-pt shot from 18 ft,,46-64,,
10:09.0,,,46-64,,Defensive rebound by M. Gasol
9:56.0,,,46-66,2,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley)
9:44.0,J. Dudley makes 2-pt shot from 21 ft (assist by J. Wall),2,48-66,,
9:29.0,,,48-68,2,M. Gasol makes 2-pt shot from 18 ft (assist by M. Conley)
9:12.0,J. Wall misses 2-pt shot from 16 ft,,48-68,,
9:11.0,,,48-68,,Defensive rebound by J. Green
8:57.0,,,48-68,,J. Green misses 2-pt shot at rim
8:54.0,Defensive rebound by J. Dudley,,48-68,,
8:52.0,O. Porter misses 2-pt shot from 1 ft (block by M. Barnes),,48-68,,
8:52.0,Offensive rebound by Team,,48-68,,
8:46.0,G. Temple misses 3-pt shot from 25 ft,,48-68,,
8:45.0,,,48-68,,Defensive rebound by M. Barnes
8:26.0,,,48-70,2,M. Gasol makes 2-pt shot from 2 ft (assist by M. Barnes)
8:21.0,,,48-70,,Personal foul by M. Barnes (drawn by M. Gortat)
8:02.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,50-70,,
7:45.0,,,50-70,,J. Green misses 2-pt shot from 1 ft
7:44.0,Defensive rebound by M. Gortat,,50-70,,
7:38.0,J. Wall misses 3-pt shot from 25 ft,,50-70,,
7:34.0,Offensive rebound by M. Gortat,,50-70,,
7:25.0,J. Dudley misses 2-pt shot from 22 ft,,50-70,,
7:21.0,,,50-70,,Defensive rebound by M. Conley
7:10.0,,,50-70,,M. Gasol misses 2-pt shot from 20 ft
7:08.0,Defensive rebound by J. Wall,,50-70,,
7:01.0,O. Porter misses 3-pt shot from 24 ft,,50-70,,
7:01.0,Offensive rebound by Team,,50-70,,
7:01.0,,,50-70,,Loose ball foul by J. Green (drawn by M. Gortat)
7:01.0,G. Neal enters the game for G. Temple,,50-70,,
6:55.0,Shooting foul by C. Lee (drawn by M. Gortat),,50-70,,
6:55.0,M. Gortat makes free throw 1 of 2,1,51-70,,
6:55.0,M. Gortat makes free throw 2 of 2,1,52-70,,
6:42.0,,,52-72,2,C. Lee makes 2-pt shot at rim (assist by M. Gasol)
6:28.0,M. Gortat makes 2-pt shot from 8 ft (assist by J. Dudley),2,54-72,,
6:05.0,,,54-75,3,M. Barnes makes 3-pt shot from 23 ft (assist by J. Green)
5:53.0,Turnover by M. Gortat (bad pass),,54-75,,
5:53.0,,,54-75,,M. Chalmers enters the game for C. Lee
5:40.0,,,54-75,,Turnover by J. Green (lost ball)
5:32.0,,,54-75,,Violation by M. Gasol (kicked ball)
5:25.0,G. Neal makes 2-pt shot from 20 ft,2,56-75,,
5:01.0,,,56-75,,M. Chalmers misses 2-pt shot from 20 ft
5:00.0,Defensive rebound by M. Gortat,,56-75,,
4:53.0,J. Wall misses 3-pt shot from 24 ft,,56-75,,
4:52.0,,,56-75,,Defensive rebound by M. Chalmers
4:52.0,,,56-75,,Memphis full timeout
4:52.0,,,56-75,,Z. Randolph enters the game for J. Green
4:39.0,Personal foul by M. Gortat (drawn by M. Gasol),,56-75,,
4:27.0,,,56-75,,Turnover by Z. Randolph (3 sec)
4:08.0,M. Gortat misses 2-pt shot from 10 ft,,56-75,,
4:07.0,,,56-75,,Defensive rebound by Team
3:52.0,,,56-75,,Turnover by M. Conley (lost ball; steal by J. Dudley)
3:46.0,G. Neal misses 3-pt shot from 25 ft,,56-75,,
3:44.0,,,56-75,,Defensive rebound by M. Barnes
3:26.0,,,56-78,3,M. Barnes makes 3-pt shot from 25 ft (assist by M. Gasol)
3:08.0,J. Dudley makes 3-pt shot from 25 ft (assist by J. Wall),3,59-78,,
2:47.0,,,59-78,,M. Conley misses 2-pt shot from 12 ft
2:45.0,Defensive rebound by M. Gortat,,59-78,,
2:41.0,Shooting foul by Z. Randolph (drawn by J. Dudley),,59-78,,
2:41.0,J. Dudley misses free throw 1 of 2,,59-78,,
2:41.0,Offensive rebound by Team,,59-78,,
2:41.0,R. Sessions enters the game for O. Porter,,59-78,,
2:41.0,,,59-78,,C. Lee enters the game for M. Conley
2:41.0,J. Dudley misses free throw 2 of 2,,59-78,,
2:39.0,,,59-78,,Defensive rebound by M. Barnes
2:22.0,,,59-78,,Turnover by M. Gasol (bad pass)
2:22.0,,,59-78,,J. Green enters the game for M. Gasol
2:14.0,J. Wall misses 3-pt shot from 25 ft,,59-78,,
2:13.0,,,59-78,,Defensive rebound by J. Green
1:56.0,,,59-80,2,C. Lee makes 2-pt shot from 1 ft (assist by M. Chalmers)
1:46.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,61-80,,
1:28.0,,,61-80,,Z. Randolph misses 2-pt shot from 20 ft
1:27.0,Defensive rebound by G. Neal,,61-80,,
1:21.0,,,61-80,,Personal foul by M. Chalmers (drawn by M. Gortat)
1:21.0,M. Gortat misses free throw 1 of 2,,61-80,,
1:21.0,Offensive rebound by Team,,61-80,,
1:21.0,K. Oubre enters the game for J. Wall,,61-80,,
1:21.0,M. Gortat misses free throw 2 of 2,,61-80,,
1:20.0,,,61-80,,Defensive rebound by C. Lee
1:06.0,,,61-82,2,M. Chalmers makes 2-pt shot from 5 ft
1:06.0,,,61-82,,Shooting foul by G. Neal (drawn by M. Chalmers)
1:06.0,D. Blair enters the game for M. Gortat,,61-82,,
1:06.0,,,61-83,1,M. Chalmers makes free throw 1 of 1
0:53.0,Turnover by K. Oubre (bad pass; steal by M. Chalmers),,61-83,,
0:49.0,,,61-83,,J. Green misses 2-pt shot at rim
0:46.0,Defensive rebound by R. Sessions,,61-83,,
0:39.0,J. Dudley misses 3-pt shot from 24 ft,,61-83,,
0:37.0,,,61-83,,Defensive rebound by Team
0:37.0,K. Humphries enters the game for J. Dudley,,61-83,,
0:25.0,,,61-83,,Z. Randolph misses 2-pt shot at rim (block by D. Blair)
0:25.0,Defensive rebound by Team,,61-83,,
0:05.0,R. Sessions misses 2-pt shot from 5 ft,,61-83,,
0:04.0,,,61-83,,Defensive rebound by J. Green
0:03.0,,,61-83,,Turnover by J. Green (bad pass)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,G. Neal misses 2-pt shot from 14 ft,,61-83,,
11:36.0,,,61-83,,Defensive rebound by J. Green
11:18.0,,,61-83,,Turnover by Z. Randolph (bad pass)
11:12.0,Shooting foul by C. Lee (drawn by R. Sessions),,61-83,,
11:12.0,R. Sessions misses free throw 1 of 2,,61-83,,
11:12.0,Offensive rebound by Team,,61-83,,
11:12.0,R. Sessions makes free throw 2 of 2,1,62-83,,
10:54.0,,,62-85,2,M. Chalmers makes 2-pt shot from 8 ft
10:32.0,R. Sessions makes 2-pt shot from 8 ft,2,64-85,,
10:32.0,Shooting foul by C. Lee (drawn by R. Sessions),,64-85,,
10:32.0,R. Sessions makes free throw 1 of 1,1,65-85,,
10:20.0,,,65-87,2,J. Green makes 2-pt shot from 15 ft
10:12.0,D. Blair makes 2-pt shot from 2 ft (assist by R. Sessions),2,67-87,,
9:48.0,,,67-87,,Z. Randolph misses 2-pt shot from 5 ft
9:47.0,,,67-87,,Offensive rebound by Team
9:47.0,,,67-87,,M. Gasol enters the game for Z. Randolph
9:47.0,,,67-87,,M. Conley enters the game for M. Chalmers
9:26.0,,,67-87,,M. Conley misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by K. Humphries,,67-87,,
9:13.0,R. Sessions makes 2-pt shot from 18 ft,2,69-87,,
9:11.0,,,69-87,,Memphis full timeout
8:50.0,,,69-87,,C. Lee misses 2-pt shot from 21 ft
8:46.0,Defensive rebound by K. Oubre,,69-87,,
8:32.0,K. Oubre makes 3-pt shot from 24 ft (assist by R. Sessions),3,72-87,,
8:22.0,,,72-87,,Shooting foul by D. Blair (drawn by M. Conley)
8:22.0,,,72-88,1,M. Conley makes free throw 1 of 2
8:22.0,,,72-89,1,M. Conley makes free throw 2 of 2
8:07.0,K. Oubre makes 3-pt shot from 24 ft (assist by K. Humphries),3,75-89,,
7:53.0,,,75-89,,J. Green misses 2-pt shot from 4 ft (block by K. Humphries)
7:51.0,Defensive rebound by K. Oubre,,75-89,,
7:45.0,D. Blair makes 2-pt shot from 1 ft (assist by R. Sessions),2,77-89,,
7:28.0,Personal foul by D. Blair (drawn by J. Green),,77-89,,
7:28.0,,,77-89,,M. Barnes enters the game for J. Green
7:16.0,,,77-89,,Shooting foul by K. Oubre (drawn by J. Green)
7:16.0,,,77-89,,J. Green misses free throw 1 of 2
7:16.0,,,77-89,,Offensive rebound by Team
7:16.0,,,77-90,1,J. Green makes free throw 2 of 2
7:04.0,G. Neal makes 2-pt shot from 20 ft,2,79-90,,
6:42.0,,,79-90,,M. Gasol misses 2-pt shot from 8 ft
6:40.0,Defensive rebound by K. Oubre,,79-90,,
6:30.0,K. Oubre misses 2-pt shot from 8 ft,,79-90,,
6:28.0,,,79-90,,Defensive rebound by J. Green
6:23.0,,,79-90,,Shooting foul by K. Oubre (drawn by J. Green)
6:23.0,,,79-91,1,J. Green makes free throw 1 of 2
6:23.0,,,79-92,1,J. Green makes free throw 2 of 2
6:03.0,G. Neal misses 2-pt shot from 14 ft,,79-92,,
6:01.0,Offensive rebound by K. Humphries,,79-92,,
6:01.0,K. Humphries makes 2-pt shot from 1 ft,2,81-92,,
5:47.0,,,81-94,2,M. Conley makes 2-pt shot from 11 ft
5:34.0,K. Humphries misses 2-pt shot from 6 ft,,81-94,,
5:33.0,,,81-94,,Defensive rebound by M. Gasol
5:21.0,,,81-97,3,M. Barnes makes 3-pt shot from 24 ft (assist by M. Conley)
5:20.0,Washington full timeout,,81-97,,
5:12.0,Shooting foul by M. Gasol (drawn by G. Neal),,81-97,,
5:12.0,G. Neal makes free throw 1 of 2,1,82-97,,
5:12.0,G. Neal makes free throw 2 of 2,1,83-97,,
4:58.0,,,83-97,,Shooting foul by D. Blair (drawn by M. Gasol)
4:58.0,,,83-98,1,M. Gasol makes free throw 1 of 2
4:58.0,,,83-99,1,M. Gasol makes free throw 2 of 2
4:35.0,R. Sessions misses 3-pt shot from 25 ft,,83-99,,
4:34.0,,,83-99,,Defensive rebound by M. Gasol
4:33.0,Personal foul by K. Humphries (drawn by M. Gasol),,83-99,,
4:33.0,,,83-100,1,M. Gasol makes free throw 1 of 2
4:33.0,,,83-101,1,M. Gasol makes free throw 2 of 2
4:20.0,K. Humphries misses 3-pt shot from 25 ft,,83-101,,
4:18.0,Offensive rebound by G. Neal,,83-101,,
4:13.0,R. Sessions makes 2-pt shot from 5 ft,2,85-101,,
4:06.0,,,85-103,2,J. Green makes 2-pt shot at rim (assist by M. Barnes)
3:54.0,G. Neal makes 3-pt shot from 26 ft,3,88-103,,
3:36.0,,,88-103,,Turnover by M. Barnes (bad pass; steal by G. Neal)
3:30.0,R. Sessions misses 2-pt shot from 1 ft,,88-103,,
3:30.0,Offensive rebound by K. Humphries,,88-103,,
3:30.0,K. Humphries misses 2-pt shot at rim,,88-103,,
3:29.0,Offensive rebound by K. Humphries,,88-103,,
3:29.0,Shooting foul by J. Green (drawn by K. Humphries),,88-103,,
3:29.0,K. Humphries misses free throw 1 of 2,,88-103,,
3:29.0,Offensive rebound by Team,,88-103,,
3:29.0,K. Humphries makes free throw 2 of 2,1,89-103,,
3:07.0,,,89-103,,C. Lee misses 3-pt shot from 25 ft
3:05.0,,,89-103,,Offensive rebound by J. Green
2:50.0,,,89-105,2,M. Conley makes 2-pt shot from 2 ft
2:40.0,D. Blair misses 2-pt shot from 14 ft,,89-105,,
2:37.0,,,89-105,,Defensive rebound by M. Barnes
2:22.0,,,89-105,,M. Conley misses 2-pt shot from 21 ft
2:20.0,,,89-105,,Offensive rebound by J. Green
2:18.0,,,89-105,,J. Green misses 2-pt shot from 1 ft
2:16.0,Defensive rebound by K. Oubre,,89-105,,
2:07.0,K. Oubre misses 2-pt shot from 6 ft (block by M. Gasol),,89-105,,
2:05.0,,,89-105,,Defensive rebound by M. Conley
2:01.0,,,89-107,2,M. Barnes makes 2-pt shot from 2 ft
2:01.0,Washington full timeout,,89-107,,
2:01.0,G. Temple enters the game for G. Neal,,89-107,,
1:48.0,K. Oubre misses 3-pt shot from 24 ft,,89-107,,
1:46.0,,,89-107,,Defensive rebound by M. Gasol
1:25.0,,,89-107,,M. Barnes misses 3-pt shot from 25 ft
1:24.0,,,89-107,,Offensive rebound by M. Gasol
1:24.0,Personal foul by D. Blair (drawn by M. Gasol),,89-107,,
1:24.0,,,89-108,1,M. Gasol makes free throw 1 of 2
1:24.0,,,89-108,,R. Smith enters the game for M. Conley
1:24.0,,,89-109,1,M. Gasol makes free throw 2 of 2
1:14.0,Turnover by R. Sessions (bad pass; steal by M. Barnes),,89-109,,
1:10.0,,,89-109,,Turnover by M. Barnes (bad pass; steal by K. Oubre)
1:06.0,R. Sessions makes 2-pt shot from 2 ft (assist by K. Oubre),2,91-109,,
0:48.0,,,91-112,3,C. Lee makes 3-pt shot from 24 ft (assist by R. Smith)
0:40.0,,,91-112,,Personal foul by M. Barnes (drawn by G. Temple)
0:40.0,G. Temple makes free throw 1 of 2,1,92-112,,
0:40.0,,,92-112,,J. Green enters the game for M. Gasol
0:40.0,G. Temple makes free throw 2 of 2,1,93-112,,
0:21.0,,,93-112,,J. Green misses 2-pt shot from 19 ft
0:19.0,Defensive rebound by D. Blair,,93-112,,
0:07.0,K. Oubre makes 2-pt shot at rim,2,95-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
