time,Orlando,pts.away,score,pts.home,Miami
3:50.0,,,40-49,,Defensive rebound by H. Whiteside
3:39.0,,,40-49,,D. Wade misses 2-pt shot from 16 ft
3:38.0,,,40-49,,Offensive rebound by H. Whiteside
3:36.0,,,40-51,2,H. Whiteside makes 2-pt shot from 3 ft
3:22.0,N. Vucevic makes 2-pt shot at rim (assist by E. Payton),2,42-51,,
3:08.0,,,42-53,2,D. Wade makes 2-pt shot at rim (assist by J. Richardson)
2:54.0,E. Payton makes 3-pt shot from 24 ft (assist by N. Vucevic),3,45-53,,
2:38.0,,,45-53,,Turnover by L. Deng (lost ball; steal by D. Marble)
2:33.0,E. Fournier makes 2-pt shot at rim (assist by D. Marble),2,47-53,,
2:26.0,,,47-55,2,D. Wade makes 2-pt shot from 1 ft (assist by J. Richardson)
2:26.0,,,47-55,,Shooting foul by D. Marble (drawn by D. Wade)
2:26.0,Orlando full timeout,,47-55,,
2:26.0,,,47-55,,G. Dragic enters the game for J. Richardson
2:26.0,,,47-56,1,D. Wade makes free throw 1 of 1
2:15.0,Turnover by N. Vucevic (traveling),,47-56,,
1:56.0,,,47-56,,J. Johnson misses 2-pt shot from 6 ft
1:55.0,Defensive rebound by N. Vucevic,,47-56,,
1:49.0,E. Payton misses 2-pt shot from 8 ft,,47-56,,
1:48.0,,,47-56,,Defensive rebound by H. Whiteside
1:35.0,,,47-56,,G. Dragic misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by E. Fournier,,47-56,,
1:27.0,N. Vucevic misses 2-pt shot from 1 ft,,47-56,,
1:26.0,Offensive rebound by N. Vucevic,,47-56,,
1:25.0,N. Vucevic makes 2-pt shot from 2 ft,2,49-56,,
1:00.0,,,49-56,,J. Johnson misses 3-pt shot from 23 ft
1:00.0,Defensive rebound by E. Fournier,,49-56,,
0:53.0,Turnover by E. Fournier (lost ball; steal by D. Wade),,49-56,,
0:40.0,,,49-56,,L. Deng misses 3-pt shot from 23 ft
0:40.0,Defensive rebound by Team,,49-56,,
0:40.0,,,49-56,,Personal foul by H. Whiteside
0:40.0,,,49-56,,J. Winslow enters the game for L. Deng
0:33.0,E. Payton misses 2-pt shot from 17 ft,,49-56,,
0:31.0,,,49-56,,Defensive rebound by H. Whiteside
0:26.0,,,49-56,,Miami full timeout
0:26.0,,,49-56,,J. Richardson enters the game for J. Winslow
0:08.0,,,49-56,,J. Johnson misses 2-pt shot from 7 ft
0:07.0,Defensive rebound by N. Vucevic,,49-56,,
0:00.0,N. Vucevic misses 2-pt shot from 19 ft,,49-56,,
0:00.0,,,49-56,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,49-56,,Shooting foul by N. Vucevic (drawn by H. Whiteside)
11:45.0,,,49-57,1,H. Whiteside makes free throw 1 of 2
11:45.0,,,49-58,1,H. Whiteside makes free throw 2 of 2
11:31.0,M. Hezonja misses 2-pt shot from 15 ft,,49-58,,
11:30.0,,,49-58,,Defensive rebound by H. Whiteside
11:18.0,,,49-60,2,L. Deng makes 2-pt shot from 7 ft (assist by G. Dragic)
11:03.0,Turnover by E. Payton (lost ball; steal by D. Wade),,49-60,,
10:54.0,,,49-60,,Shooting foul by M. Hezonja (drawn by D. Wade)
10:54.0,,,49-61,1,D. Wade makes free throw 1 of 2
10:54.0,,,49-62,1,D. Wade makes free throw 2 of 2
10:34.0,N. Vucevic makes 2-pt shot from 13 ft,2,51-62,,
10:23.0,,,51-64,2,D. Wade makes 2-pt shot from 20 ft
10:08.0,N. Vucevic misses 2-pt shot from 5 ft,,51-64,,
10:07.0,Offensive rebound by Team,,51-64,,
10:00.0,E. Fournier makes 3-pt shot from 25 ft,3,54-64,,
9:35.0,,,54-66,2,H. Whiteside makes 2-pt shot from 11 ft (assist by J. Johnson)
9:18.0,Turnover by M. Hezonja (lost ball; steal by J. Johnson),,54-66,,
8:59.0,,,54-66,,J. Johnson misses 3-pt shot from 23 ft
8:58.0,Defensive rebound by E. Payton,,54-66,,
8:46.0,Turnover by E. Ilyasova (lost ball; steal by G. Dragic),,54-66,,
8:40.0,,,54-68,2,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade)
8:24.0,N. Vucevic misses 2-pt shot from 17 ft,,54-68,,
8:22.0,Offensive rebound by E. Ilyasova,,54-68,,
8:05.0,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Fournier),2,56-68,,
7:44.0,,,56-68,,G. Dragic misses 2-pt shot from 12 ft
7:43.0,,,56-68,,Offensive rebound by H. Whiteside
7:39.0,,,56-70,2,H. Whiteside makes 2-pt shot from 4 ft
7:15.0,E. Fournier makes 2-pt shot from 4 ft,2,58-70,,
7:04.0,,,58-70,,Turnover by G. Dragic (lost ball; steal by E. Fournier)
7:01.0,E. Fournier makes 2-pt shot at rim,2,60-70,,
7:01.0,Shooting foul by L. Deng (drawn by E. Fournier),,60-70,,
7:01.0,E. Fournier makes free throw 1 of 1,1,61-70,,
6:39.0,,,61-72,2,D. Wade makes 2-pt shot from 2 ft (assist by L. Deng)
6:23.0,E. Payton misses 2-pt shot from 5 ft,,61-72,,
6:22.0,,,61-72,,Defensive rebound by H. Whiteside
6:16.0,,,61-74,2,L. Deng makes 2-pt shot from 1 ft (assist by G. Dragic)
6:16.0,Orlando full timeout,,61-74,,
6:16.0,A. Nicholson enters the game for E. Ilyasova,,61-74,,
6:16.0,,,61-74,,J. Richardson enters the game for L. Deng
6:16.0,,,61-74,,J. Winslow enters the game for G. Dragic
6:05.0,Turnover by N. Vucevic (lost ball; steal by D. Wade),,61-74,,
5:55.0,,,61-76,2,D. Wade makes 2-pt shot from 19 ft
5:32.0,A. Nicholson misses 2-pt shot from 17 ft,,61-76,,
5:31.0,,,61-76,,Defensive rebound by J. Richardson
5:16.0,,,61-76,,J. Richardson misses 3-pt shot from 24 ft
5:15.0,Defensive rebound by N. Vucevic,,61-76,,
5:02.0,N. Vucevic makes 2-pt shot from 5 ft (assist by M. Hezonja),2,63-76,,
4:39.0,,,63-76,,J. Winslow misses 2-pt shot from 6 ft
4:38.0,Defensive rebound by N. Vucevic,,63-76,,
4:30.0,E. Fournier makes 3-pt shot from 22 ft (assist by A. Nicholson),3,66-76,,
4:26.0,,,66-76,,Miami full timeout
4:26.0,,,66-76,,G. Dragic enters the game for D. Wade
4:26.0,,,66-76,,L. Deng enters the game for J. Winslow
4:01.0,,,66-76,,J. Johnson misses 3-pt shot from 23 ft
4:00.0,,,66-76,,Offensive rebound by Team
3:51.0,,,66-76,,Shooting foul by N. Vucevic (drawn by H. Whiteside)
3:51.0,,,66-77,1,H. Whiteside makes free throw 1 of 2
3:51.0,,,66-78,1,H. Whiteside makes free throw 2 of 2
3:32.0,N. Vucevic misses 2-pt shot from 15 ft,,66-78,,
3:31.0,,,66-78,,Defensive rebound by J. Richardson
3:22.0,,,66-80,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
3:00.0,E. Fournier misses 3-pt shot from 25 ft,,66-80,,
2:59.0,,,66-80,,Defensive rebound by H. Whiteside
2:49.0,,,66-80,,H. Whiteside misses 2-pt shot from 3 ft
2:48.0,Defensive rebound by N. Vucevic,,66-80,,
2:33.0,Shooting foul by H. Whiteside (drawn by N. Vucevic),,66-80,,
2:33.0,N. Vucevic makes free throw 1 of 2,1,67-80,,
2:33.0,C. Watson enters the game for E. Payton,,67-80,,
2:33.0,N. Vucevic misses free throw 2 of 2,,67-80,,
2:32.0,,,67-80,,Defensive rebound by H. Whiteside
2:21.0,,,67-82,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
2:04.0,N. Vucevic misses 2-pt shot from 16 ft,,67-82,,
2:03.0,,,67-82,,Defensive rebound by L. Deng
1:52.0,,,67-82,,H. Whiteside misses 2-pt shot from 17 ft
1:51.0,Defensive rebound by M. Hezonja,,67-82,,
1:44.0,Turnover by M. Hezonja (lost ball; steal by H. Whiteside),,67-82,,
1:38.0,,,67-85,3,J. Johnson makes 3-pt shot from 24 ft (assist by L. Deng)
1:17.0,E. Fournier makes 2-pt shot from 3 ft (assist by N. Vucevic),2,69-85,,
1:00.0,,,69-87,2,L. Deng makes 2-pt shot from 2 ft (assist by G. Dragic)
0:47.0,M. Hezonja misses 2-pt shot from 4 ft,,69-87,,
0:45.0,,,69-87,,Defensive rebound by J. Johnson
0:37.0,,,69-89,2,J. Johnson makes 2-pt shot from 16 ft
0:28.0,A. Nicholson misses 3-pt shot from 24 ft,,69-89,,
0:27.0,,,69-89,,Defensive rebound by H. Whiteside
0:04.0,,,69-89,,L. Deng misses 3-pt shot from 23 ft
0:03.0,Defensive rebound by M. Hezonja,,69-89,,
0:01.0,M. Hezonja misses 3-pt shot from 55 ft,,69-89,,
0:00.0,Offensive rebound by Team,,69-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,J. Smith makes 2-pt shot from 16 ft (assist by C. Watson),2,71-89,,
11:21.0,,,71-89,,J. McRoberts misses 3-pt shot from 24 ft
11:20.0,Defensive rebound by C. Watson,,71-89,,
11:08.0,S. Napier misses 3-pt shot from 24 ft,,71-89,,
11:07.0,,,71-89,,Defensive rebound by G. Green
10:48.0,,,71-92,3,G. Green makes 3-pt shot from 23 ft (assist by G. Dragic)
10:26.0,J. Smith misses 2-pt shot from 11 ft,,71-92,,
10:25.0,,,71-92,,Defensive rebound by L. Deng
10:09.0,,,71-92,,Turnover by L. Deng (step out of bounds)
9:58.0,,,71-92,,Personal foul by J. Richardson
9:53.0,,,71-92,,Personal foul by L. Deng
9:50.0,Offensive charge foul by C. Watson,,71-92,,
9:50.0,Turnover by C. Watson (offensive foul),,71-92,,
9:37.0,Violation by J. Smith (kicked ball),,71-92,,
9:28.0,,,71-92,,J. Richardson misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by A. Nicholson,,71-92,,
9:22.0,C. Watson misses 3-pt shot from 24 ft,,71-92,,
9:21.0,Offensive rebound by J. Smith,,71-92,,
9:19.0,J. Smith makes 2-pt shot from 4 ft,2,73-92,,
9:19.0,Shooting foul by G. Green (drawn by J. Smith),,73-92,,
9:19.0,J. Smith makes free throw 1 of 1,1,74-92,,
9:10.0,,,74-94,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. McRoberts)
9:01.0,D. Marble makes 3-pt shot from 24 ft (assist by S. Napier),3,77-94,,
8:39.0,,,77-94,,G. Green misses 2-pt shot from 18 ft
8:38.0,Defensive rebound by J. Smith,,77-94,,
8:21.0,S. Napier misses 2-pt shot from 21 ft,,77-94,,
8:20.0,,,77-94,,Defensive rebound by G. Dragic
8:13.0,,,77-96,2,G. Dragic makes 2-pt shot at rim
8:02.0,A. Nicholson misses 3-pt shot from 25 ft,,77-96,,
8:01.0,,,77-96,,Defensive rebound by G. Green
7:56.0,,,77-98,2,G. Green makes 2-pt shot at rim
7:56.0,Orlando full timeout,,77-98,,
7:56.0,D. Dedmon enters the game for A. Nicholson,,77-98,,
7:46.0,C. Watson makes 2-pt shot from 5 ft,2,79-98,,
7:46.0,Shooting foul by G. Dragic (drawn by C. Watson),,79-98,,
7:46.0,C. Watson makes free throw 1 of 1,1,80-98,,
7:33.0,,,80-100,2,G. Green makes 2-pt shot from 15 ft (assist by L. Deng)
7:16.0,J. Smith misses 2-pt shot from 12 ft,,80-100,,
7:15.0,,,80-100,,Defensive rebound by J. McRoberts
6:56.0,,,80-100,,Shooting foul by C. Watson (drawn by L. Deng)
6:56.0,,,80-101,1,L. Deng makes free throw 1 of 2
6:56.0,,,80-102,1,L. Deng makes free throw 2 of 2
6:42.0,D. Dedmon makes 2-pt shot from 11 ft,2,82-102,,
6:25.0,,,82-102,,Turnover by L. Deng (bad pass)
6:14.0,C. Watson misses 2-pt shot from 11 ft,,82-102,,
6:12.0,,,82-102,,Defensive rebound by J. McRoberts
6:04.0,,,82-102,,G. Green misses 2-pt shot from 1 ft (block by J. Smith)
6:03.0,Defensive rebound by C. Watson,,82-102,,
6:01.0,Shooting foul by J. McRoberts (drawn by D. Marble),,82-102,,
6:01.0,D. Marble misses free throw 1 of 2,,82-102,,
6:01.0,Offensive rebound by Team,,82-102,,
6:01.0,D. Marble makes free throw 2 of 2,1,83-102,,
5:50.0,,,83-102,,G. Green misses 3-pt shot from 24 ft
5:49.0,,,83-102,,Offensive rebound by J. Richardson
5:43.0,,,83-102,,Shooting foul by D. Dedmon (drawn by G. Dragic)
5:43.0,Official timeout,,83-102,,
5:43.0,,,83-103,1,G. Dragic makes free throw 1 of 2
5:43.0,,,83-104,1,G. Dragic makes free throw 2 of 2
5:35.0,,,83-104,,Personal foul by G. Green
5:35.0,D. Marble makes free throw 1 of 2,1,84-104,,
5:35.0,A. Nicholson enters the game for J. Smith,,84-104,,
5:35.0,D. Marble makes free throw 2 of 2,1,85-104,,
5:14.0,,,85-104,,J. McRoberts misses 2-pt shot from 13 ft
5:13.0,Defensive rebound by D. Dedmon,,85-104,,
5:01.0,D. Marble misses 3-pt shot from 25 ft,,85-104,,
5:00.0,,,85-104,,Defensive rebound by Team
4:44.0,,,85-104,,Shooting foul by A. Nicholson (drawn by J. McRoberts)
4:44.0,,,85-105,1,J. McRoberts makes free throw 1 of 2
4:44.0,,,85-106,1,J. McRoberts makes free throw 2 of 2
4:30.0,D. Dedmon makes 2-pt shot from 17 ft (assist by C. Watson),2,87-106,,
4:15.0,,,87-106,,G. Dragic misses 2-pt shot from 1 ft
4:14.0,Defensive rebound by D. Dedmon,,87-106,,
4:07.0,S. Napier makes 2-pt shot at rim,2,89-106,,
3:48.0,,,89-108,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. McRoberts)
3:30.0,C. Watson makes 2-pt shot from 13 ft,2,91-108,,
3:09.0,,,91-108,,J. McRoberts misses 3-pt shot from 23 ft
3:08.0,Defensive rebound by D. Dedmon,,91-108,,
3:00.0,D. Marble misses 3-pt shot from 23 ft,,91-108,,
2:59.0,,,91-108,,Defensive rebound by G. Green
2:50.0,,,91-110,2,G. Green makes 2-pt shot from 5 ft
2:43.0,,,91-110,,Personal foul by L. Deng
2:43.0,,,91-110,,Miami full timeout
2:43.0,,,91-110,,B. Weber enters the game for L. Deng
2:43.0,,,91-110,,U. Haslem enters the game for G. Dragic
2:43.0,S. Napier makes free throw 1 of 2,1,92-110,,
2:43.0,S. Napier makes free throw 2 of 2,1,93-110,,
2:32.0,,,93-112,2,G. Green makes 2-pt shot at rim (assist by J. McRoberts)
2:07.0,A. Nicholson misses 2-pt shot from 13 ft,,93-112,,
2:06.0,,,93-112,,Defensive rebound by U. Haslem
1:53.0,,,93-114,2,J. Richardson makes 2-pt shot from 2 ft (assist by B. Weber)
1:37.0,D. Marble misses 2-pt shot from 19 ft,,93-114,,
1:36.0,,,93-114,,Defensive rebound by U. Haslem
1:15.0,,,93-114,,G. Green misses 3-pt shot from 24 ft
1:14.0,Defensive rebound by D. Dedmon,,93-114,,
1:00.0,D. Dedmon misses 2-pt shot from 15 ft,,93-114,,
1:00.0,,,93-114,,Defensive rebound by B. Weber
0:48.0,,,93-116,2,B. Weber makes 2-pt shot from 5 ft
0:37.0,Shooting foul by U. Haslem (drawn by A. Nicholson),,93-116,,
0:37.0,A. Nicholson makes free throw 1 of 2,1,94-116,,
0:37.0,A. Nicholson makes free throw 2 of 2,1,95-116,,
0:21.0,,,95-118,2,G. Green makes 2-pt shot from 13 ft
0:18.0,,,95-118,,Personal foul by B. Weber
0:18.0,D. Marble makes free throw 1 of 2,1,96-118,,
0:18.0,D. Marble misses free throw 2 of 2,,96-118,,
0:17.0,,,96-118,,Defensive rebound by U. Haslem
0:00.0,End of 4th quarter,,,,End of 4th quarter
