time,Dallas,pts.away,score,pts.home,Phoenix
6:33.0,C. Villanueva makes 2-pt shot from 9 ft,2,36-34,,
6:12.0,,,36-34,,Turnover by A. Goodwin (traveling)
6:01.0,Z. Pachulia misses 2-pt shot from 5 ft,,36-34,,
5:58.0,,,36-34,,Defensive rebound by T. Chandler
5:45.0,,,36-34,,E. Bledsoe misses 2-pt shot from 19 ft
5:43.0,Defensive rebound by Z. Pachulia,,36-34,,
5:37.0,C. Villanueva makes 3-pt shot from 24 ft (assist by D. Williams),3,39-34,,
5:23.0,,,39-36,2,A. Goodwin makes 2-pt shot from 2 ft
5:12.0,R. Felton misses 2-pt shot from 19 ft,,39-36,,
5:10.0,,,39-36,,Defensive rebound by J. Leuer
5:01.0,,,39-36,,J. Leuer misses 3-pt shot from 24 ft
4:59.0,Defensive rebound by Z. Pachulia,,39-36,,
4:54.0,Dallas full timeout,,39-36,,
4:54.0,,,39-36,,M. Teletovic enters the game for J. Leuer
4:54.0,,,39-36,,B. Knight enters the game for D. Booker
4:47.0,Shooting foul by T. Chandler (drawn by Z. Pachulia),,39-36,,
4:47.0,Z. Pachulia makes free throw 1 of 2,1,40-36,,
4:47.0,,,40-36,,A. Len enters the game for T. Chandler
4:47.0,J. Evans enters the game for W. Matthews,,40-36,,
4:47.0,Z. Pachulia makes free throw 2 of 2,1,41-36,,
4:36.0,,,41-36,,Shooting foul by Z. Pachulia (drawn by A. Goodwin)
4:36.0,,,41-37,1,A. Goodwin makes free throw 1 of 2
4:36.0,D. Powell enters the game for Z. Pachulia,,41-37,,
4:36.0,,,41-38,1,A. Goodwin makes free throw 2 of 2
4:22.0,D. Williams misses 2-pt shot from 20 ft,,41-38,,
4:20.0,,,41-38,,Defensive rebound by A. Len
4:04.0,,,41-41,3,A. Goodwin makes 3-pt shot from 24 ft (assist by E. Bledsoe)
3:47.0,D. Williams makes 2-pt shot from 8 ft (assist by R. Felton),2,43-41,,
3:40.0,,,43-41,,M. Teletovic misses 3-pt shot from 23 ft
3:37.0,Defensive rebound by J. Evans,,43-41,,
3:32.0,R. Felton makes 2-pt shot from 1 ft (assist by D. Williams),2,45-41,,
3:08.0,,,45-41,,A. Len misses 2-pt shot from 11 ft
3:06.0,Defensive rebound by D. Powell,,45-41,,
2:59.0,D. Powell makes 2-pt shot from 1 ft (assist by R. Felton),2,47-41,,
2:53.0,,,47-41,,Phoenix full timeout
2:53.0,D. Harris enters the game for D. Williams,,47-41,,
2:44.0,,,47-41,,Shooting foul by C. Villanueva (drawn by E. Bledsoe)
2:44.0,,,47-42,1,E. Bledsoe makes free throw 1 of 2
2:44.0,,,47-43,1,E. Bledsoe makes free throw 2 of 2
2:29.0,C. Villanueva misses 3-pt shot from 24 ft,,47-43,,
2:26.0,,,47-43,,Defensive rebound by A. Goodwin
2:19.0,,,47-43,,B. Knight misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by J. Evans,,47-43,,
2:02.0,D. Harris misses 3-pt shot from 24 ft,,47-43,,
2:00.0,,,47-43,,Defensive rebound by A. Goodwin
1:53.0,,,47-43,,M. Teletovic misses 3-pt shot from 25 ft
1:51.0,Defensive rebound by D. Powell,,47-43,,
1:39.0,C. Villanueva makes 2-pt shot from 22 ft (assist by D. Powell),2,49-43,,
1:25.0,,,49-43,,P. Tucker enters the game for M. Teletovic
1:25.0,Personal foul by D. Powell (drawn by B. Knight),,49-43,,
1:25.0,,,49-44,1,B. Knight makes free throw 1 of 2
1:25.0,Z. Pachulia enters the game for D. Powell,,49-44,,
1:25.0,,,49-45,1,B. Knight makes free throw 2 of 2
1:06.0,C. Villanueva makes 3-pt shot from 25 ft (assist by D. Harris),3,52-45,,
0:59.0,,,52-45,,Offensive charge foul by B. Knight
0:59.0,,,52-45,,Turnover by B. Knight (offensive foul)
0:40.0,,,52-45,,Personal foul by E. Bledsoe (drawn by D. Harris)
0:40.0,D. Harris makes free throw 1 of 2,1,53-45,,
0:40.0,W. Matthews enters the game for C. Villanueva,,53-45,,
0:40.0,D. Harris makes free throw 2 of 2,1,54-45,,
0:26.0,,,54-45,,A. Goodwin misses 2-pt shot from 5 ft (block by J. Evans)
0:26.0,,,54-45,,Offensive rebound by Team
0:23.0,,,54-45,,Phoenix full timeout
0:17.0,,,54-45,,Turnover by A. Len (bad pass; steal by J. Evans)
0:02.0,R. Felton misses 2-pt shot from 18 ft,,54-45,,
0:00.0,,,54-45,,Defensive rebound by B. Knight
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,54-45,,P. Tucker misses 2-pt shot from 1 ft (block by Z. Pachulia)
11:43.0,,,54-45,,Offensive rebound by Team
11:40.0,,,54-45,,M. Morris misses 2-pt shot from 13 ft
11:38.0,,,54-45,,Offensive rebound by P. Tucker
11:35.0,,,54-45,,Shooting foul by D. Nowitzki (drawn by T. Chandler)
11:35.0,,,54-46,1,T. Chandler makes free throw 1 of 2
11:35.0,,,54-46,,T. Chandler misses free throw 2 of 2
11:34.0,Defensive rebound by Z. Pachulia,,54-46,,
11:21.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Williams),2,56-46,,
11:11.0,,,56-46,,Shooting foul by D. Williams (drawn by E. Bledsoe)
11:11.0,,,56-46,,E. Bledsoe misses free throw 1 of 2
11:11.0,,,56-46,,Offensive rebound by Team
11:11.0,,,56-47,1,E. Bledsoe makes free throw 2 of 2
10:57.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams),3,59-47,,
10:43.0,,,59-47,,M. Morris misses 2-pt shot from 2 ft
10:37.0,,,59-47,,Offensive rebound by T. Chandler
10:36.0,,,59-47,,T. Chandler misses 2-pt shot from 1 ft
10:35.0,Defensive rebound by D. Nowitzki,,59-47,,
10:34.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Felton),3,62-47,,
10:20.0,,,62-47,,B. Knight misses 2-pt shot from 20 ft
10:18.0,Defensive rebound by D. Nowitzki,,62-47,,
10:09.0,D. Nowitzki misses 2-pt shot from 20 ft,,62-47,,
10:08.0,Offensive rebound by Z. Pachulia,,62-47,,
10:06.0,D. Nowitzki makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,64-47,,
10:06.0,,,64-47,,Phoenix full timeout
9:51.0,,,64-47,,P. Tucker misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by Z. Pachulia,,64-47,,
9:33.0,W. Matthews misses 2-pt shot from 21 ft,,64-47,,
9:32.0,,,64-47,,Defensive rebound by B. Knight
9:27.0,,,64-49,2,B. Knight makes 2-pt shot at rim
9:07.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by R. Felton),2,66-49,,
8:59.0,,,66-49,,Shooting foul by W. Matthews (drawn by M. Morris)
8:59.0,,,66-50,1,M. Morris makes free throw 1 of 2
8:59.0,,,66-51,1,M. Morris makes free throw 2 of 2
8:45.0,Z. Pachulia misses 2-pt shot from 5 ft,,66-51,,
8:44.0,,,66-51,,Defensive rebound by T. Chandler
8:40.0,,,66-51,,Shooting foul by W. Matthews (drawn by P. Tucker)
8:40.0,,,66-51,,P. Tucker misses free throw 1 of 2
8:40.0,,,66-51,,Offensive rebound by Team
8:40.0,,,66-51,,P. Tucker misses free throw 2 of 2
8:40.0,Defensive rebound by D. Nowitzki,,66-51,,
8:29.0,W. Matthews makes 2-pt shot from 2 ft,2,68-51,,
8:17.0,,,68-51,,Turnover by B. Knight (bad pass; steal by D. Nowitzki)
8:13.0,R. Felton misses 2-pt shot at rim,,68-51,,
8:10.0,Offensive rebound by D. Nowitzki,,68-51,,
8:06.0,D. Williams makes 2-pt shot from 7 ft,2,70-51,,
7:53.0,,,70-51,,E. Bledsoe misses 2-pt shot from 19 ft
7:51.0,Defensive rebound by R. Felton,,70-51,,
7:45.0,,,70-51,,Personal foul by M. Morris (drawn by Z. Pachulia)
7:45.0,,,70-51,,T. Warren enters the game for P. Tucker
7:36.0,Dallas full timeout,,70-51,,
7:36.0,D. Harris enters the game for D. Williams,,70-51,,
7:34.0,Shooting foul by M. Morris (drawn by Z. Pachulia),,70-51,,
7:34.0,Z. Pachulia makes free throw 1 of 2,1,71-51,,
7:34.0,,,71-51,,J. Leuer enters the game for M. Morris
7:34.0,Z. Pachulia makes free throw 2 of 2,1,72-51,,
7:22.0,,,72-51,,Turnover by E. Bledsoe (lost ball; steal by W. Matthews)
7:18.0,D. Harris makes 2-pt shot at rim (assist by R. Felton),2,74-51,,
7:03.0,,,74-53,2,T. Warren makes 2-pt shot from 14 ft (assist by J. Leuer)
6:53.0,R. Felton makes 2-pt shot from 1 ft,2,76-53,,
6:41.0,,,76-53,,D. Booker enters the game for E. Bledsoe
6:41.0,,,76-53,,A. Len enters the game for T. Chandler
6:41.0,J. Evans enters the game for W. Matthews,,76-53,,
6:39.0,,,76-53,,Turnover by A. Len (traveling)
6:20.0,J. Evans makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,79-53,,
6:04.0,,,79-55,2,T. Warren makes 2-pt shot from 7 ft
5:44.0,R. Felton makes 2-pt shot from 8 ft,2,81-55,,
5:32.0,,,81-55,,Turnover by T. Warren (traveling)
5:32.0,D. Powell enters the game for D. Nowitzki,,81-55,,
5:14.0,D. Powell misses 2-pt shot from 5 ft,,81-55,,
5:12.0,Offensive rebound by Z. Pachulia,,81-55,,
5:12.0,Z. Pachulia misses 2-pt shot from 1 ft,,81-55,,
5:12.0,,,81-55,,Defensive rebound by Team
5:12.0,Loose ball foul by D. Powell (drawn by A. Len),,81-55,,
5:12.0,,,81-55,,A. Len misses free throw 1 of 2
5:12.0,,,81-55,,Offensive rebound by Team
5:12.0,,,81-56,1,A. Len makes free throw 2 of 2
4:59.0,D. Powell makes 2-pt shot at rim (assist by Z. Pachulia),2,83-56,,
4:40.0,,,83-56,,T. Warren misses 2-pt shot from 17 ft
4:38.0,Defensive rebound by Z. Pachulia,,83-56,,
4:32.0,D. Harris misses 2-pt shot from 2 ft,,83-56,,
4:31.0,,,83-56,,Defensive rebound by A. Len
4:23.0,,,83-58,2,B. Knight makes 2-pt shot from 12 ft
4:22.0,Dallas full timeout,,83-58,,
4:22.0,C. Villanueva enters the game for R. Felton,,83-58,,
4:22.0,J. Barea enters the game for D. Powell,,83-58,,
4:22.0,,,83-58,,E. Bledsoe enters the game for B. Knight
4:11.0,Turnover by D. Harris (traveling),,83-58,,
3:58.0,,,83-58,,J. Leuer misses 2-pt shot at rim
3:55.0,Defensive rebound by J. Evans,,83-58,,
3:42.0,Shooting foul by E. Bledsoe (drawn by J. Barea),,83-58,,
3:42.0,,,83-58,,Technical foul by E. Bledsoe
3:42.0,D. Harris misses technical free throw,,83-58,,
3:42.0,Offensive rebound by Team,,83-58,,
3:42.0,J. Barea makes free throw 1 of 2,1,84-58,,
3:42.0,J. Barea misses free throw 2 of 2,,84-58,,
3:39.0,,,84-58,,Defensive rebound by J. Leuer
3:21.0,,,84-58,,T. Warren misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by C. Villanueva,,84-58,,
3:11.0,Z. Pachulia misses 2-pt shot from 18 ft,,84-58,,
3:09.0,,,84-58,,Defensive rebound by E. Bledsoe
2:57.0,Violation by C. Villanueva (kicked ball),,84-58,,
2:57.0,,,84-58,,B. Knight enters the game for A. Len
2:50.0,,,84-60,2,D. Booker makes 2-pt shot from 14 ft (assist by E. Bledsoe)
2:24.0,D. Harris misses 3-pt shot from 25 ft,,84-60,,
2:22.0,,,84-60,,Defensive rebound by D. Booker
2:16.0,,,84-60,,T. Warren misses 2-pt shot from 16 ft
2:13.0,Defensive rebound by J. Evans,,84-60,,
2:05.0,Turnover by Z. Pachulia (bad pass),,84-60,,
2:05.0,D. Williams enters the game for Z. Pachulia,,84-60,,
1:52.0,,,84-60,,Offensive charge foul by E. Bledsoe
1:52.0,,,84-60,,Turnover by E. Bledsoe (offensive foul)
1:38.0,,,84-60,,Personal block foul by D. Booker
1:26.0,J. Barea misses 2-pt shot from 10 ft,,84-60,,
1:25.0,,,84-60,,Defensive rebound by T. Warren
1:16.0,,,84-60,,Turnover by B. Knight (bad pass; steal by D. Williams)
1:12.0,J. Barea makes 2-pt shot from 2 ft (assist by D. Williams),2,86-60,,
0:55.0,,,86-62,2,J. Leuer makes 2-pt shot from 1 ft
0:55.0,,,86-62,,Shooting foul by C. Villanueva (drawn by J. Leuer)
0:55.0,,,86-63,1,J. Leuer makes free throw 1 of 1
0:35.0,D. Harris makes 2-pt shot from 2 ft (assist by D. Williams),2,88-63,,
0:27.0,,,88-66,3,D. Booker makes 3-pt shot from 22 ft (assist by J. Leuer)
0:02.0,D. Williams misses 2-pt shot from 17 ft,,88-66,,
0:00.0,,,88-66,,Defensive rebound by J. Leuer
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,J. Evans makes 2-pt shot at rim (assist by D. Harris),2,90-66,,
11:27.0,,,90-66,,B. Knight misses 2-pt shot from 17 ft
11:25.0,,,90-66,,Offensive rebound by T. Warren
11:24.0,,,90-66,,T. Warren misses 2-pt shot from 2 ft
11:23.0,,,90-66,,Offensive rebound by Team
11:23.0,,,90-66,,A. Goodwin enters the game for T. Warren
11:20.0,,,90-69,3,J. Leuer makes 3-pt shot from 24 ft (assist by B. Knight)
11:05.0,,,90-69,,Personal foul by D. Booker (drawn by W. Matthews)
10:50.0,W. Matthews misses 2-pt shot from 14 ft (block by B. Knight),,90-69,,
10:47.0,,,90-69,,Defensive rebound by B. Knight
10:39.0,,,90-71,2,D. Booker makes 2-pt shot at rim (assist by J. Leuer)
10:17.0,J. Barea misses 2-pt shot from 2 ft (block by J. Leuer),,90-71,,
10:15.0,,,90-71,,Defensive rebound by A. Goodwin
10:03.0,,,90-71,,A. Goodwin misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by J. Barea,,90-71,,
9:55.0,Shooting foul by J. Leuer (drawn by D. Harris),,90-71,,
9:55.0,D. Harris misses free throw 1 of 2,,90-71,,
9:55.0,Offensive rebound by Team,,90-71,,
9:55.0,R. Felton enters the game for W. Matthews,,90-71,,
9:55.0,D. Harris misses free throw 2 of 2,,90-71,,
9:54.0,,,90-71,,Defensive rebound by D. Booker
9:48.0,Personal foul by D. Harris (drawn by B. Knight),,90-71,,
