time,LA Lakers,pts.away,score,pts.home,Denver
6:20.0,,,8-17,,E. Mudiay misses 2-pt shot from 22 ft
6:19.0,,,8-17,,Offensive rebound by Team
6:19.0,Loose ball foul by J. Randle (drawn by N. Jokic),,8-17,,
6:07.0,,,8-17,,Shooting foul by R. Hibbert (drawn by N. Jokic)
6:07.0,,,8-18,1,N. Jokic makes free throw 1 of 2
6:07.0,B. Bass enters the game for R. Hibbert,,8-18,,
6:07.0,,,8-19,1,N. Jokic makes free throw 2 of 2
5:47.0,J. Randle makes 2-pt shot from 2 ft,2,10-19,,
5:34.0,,,10-19,,E. Mudiay misses 2-pt shot from 1 ft
5:34.0,Defensive rebound by J. Randle,,10-19,,
5:26.0,J. Randle makes 2-pt shot from 2 ft,2,12-19,,
5:12.0,,,12-19,,Denver full timeout
5:12.0,M. Huertas enters the game for D. Russell,,12-19,,
5:02.0,,,12-19,,G. Harris misses 2-pt shot from 22 ft
5:01.0,Defensive rebound by K. Bryant,,12-19,,
4:40.0,K. Bryant makes 3-pt shot from 24 ft,3,15-19,,
4:20.0,,,15-22,3,N. Jokic makes 3-pt shot from 25 ft (assist by E. Mudiay)
4:04.0,J. Randle misses 2-pt shot from 18 ft,,15-22,,
4:03.0,Offensive rebound by K. Bryant,,15-22,,
3:58.0,J. Clarkson misses 3-pt shot from 26 ft,,15-22,,
3:57.0,,,15-22,,Defensive rebound by K. Faried
3:51.0,,,15-22,,Shooting foul by K. Bryant (drawn by J. Sampson)
3:51.0,,,15-22,,J. Sampson misses free throw 1 of 2
3:51.0,,,15-22,,Offensive rebound by Team
3:51.0,,,15-22,,D. Arthur enters the game for K. Faried
3:51.0,,,15-23,1,J. Sampson makes free throw 2 of 2
3:39.0,Shooting foul by J. Sampson (drawn by K. Bryant),,15-23,,
3:39.0,K. Bryant misses free throw 1 of 3,,15-23,,
3:39.0,Offensive rebound by Team,,15-23,,
3:39.0,K. Bryant makes free throw 2 of 3,1,16-23,,
3:39.0,,,16-23,,W. Barton enters the game for J. Sampson
3:39.0,T. Black enters the game for J. Randle,,16-23,,
3:39.0,K. Bryant makes free throw 3 of 3,1,17-23,,
3:26.0,,,17-23,,N. Jokic misses 2-pt shot from 1 ft
3:25.0,Defensive rebound by B. Bass,,17-23,,
3:10.0,J. Clarkson makes 3-pt shot from 25 ft (assist by T. Black),3,20-23,,
3:07.0,,,20-23,,Denver full timeout
3:07.0,,,20-23,,D. Augustin enters the game for N. Jokic
3:07.0,,,20-23,,J. Lauvergne enters the game for E. Mudiay
2:54.0,,,20-23,,Turnover by W. Barton (bad pass; steal by B. Bass)
2:50.0,B. Bass makes 2-pt shot from 1 ft,2,22-23,,
2:50.0,Shooting foul by D. Arthur (drawn by B. Bass),,22-23,,
2:50.0,B. Bass misses free throw 1 of 1,,22-23,,
2:49.0,,,22-23,,Defensive rebound by D. Arthur
2:36.0,,,22-23,,D. Arthur misses 2-pt shot from 1 ft (block by T. Black)
2:35.0,Defensive rebound by T. Black,,22-23,,
2:25.0,J. Clarkson makes 3-pt shot from 24 ft,3,25-23,,
2:00.0,,,25-23,,Turnover by W. Barton (bad pass; steal by J. Clarkson)
1:55.0,J. Clarkson makes 2-pt shot from 1 ft,2,27-23,,
1:32.0,,,27-26,3,W. Barton makes 3-pt shot from 26 ft (assist by D. Augustin)
1:13.0,J. Clarkson misses 3-pt shot from 25 ft,,27-26,,
1:12.0,Offensive rebound by J. Clarkson,,27-26,,
1:10.0,,,27-26,,Violation by G. Harris (kicked ball)
1:10.0,A. Brown enters the game for K. Bryant,,27-26,,
0:55.0,J. Clarkson misses 3-pt shot from 24 ft,,27-26,,
0:55.0,,,27-26,,Defensive rebound by J. Lauvergne
0:40.0,,,27-26,,Shooting foul by T. Black (drawn by J. Lauvergne)
0:40.0,,,27-26,,J. Lauvergne misses free throw 1 of 2
0:40.0,,,27-26,,Offensive rebound by Team
0:40.0,,,27-26,,J. Sampson enters the game for G. Harris
0:40.0,,,27-27,1,J. Lauvergne makes free throw 2 of 2
0:32.0,Shooting foul by D. Augustin (drawn by M. Huertas),,27-27,,
0:32.0,M. Huertas makes free throw 1 of 2,1,28-27,,
0:32.0,M. Huertas makes free throw 2 of 2,1,29-27,,
0:12.0,,,29-27,,D. Arthur misses 3-pt shot from 22 ft
0:10.0,Defensive rebound by A. Brown,,29-27,,
0:02.0,J. Clarkson misses 3-pt shot from 26 ft,,29-27,,
0:00.0,Offensive rebound by Team,,29-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Huertas makes 2-pt shot from 17 ft,2,31-27,,
11:22.0,,,31-27,,Shooting foul by D. Russell (drawn by W. Barton)
11:22.0,,,31-27,,W. Barton misses free throw 1 of 3
11:22.0,,,31-27,,Offensive rebound by Team
11:22.0,,,31-28,1,W. Barton makes free throw 2 of 3
11:22.0,,,31-28,,W. Barton misses free throw 3 of 3
11:21.0,Defensive rebound by A. Brown,,31-28,,
11:05.0,A. Brown misses 2-pt shot from 16 ft,,31-28,,
11:03.0,,,31-28,,Defensive rebound by D. Arthur
10:48.0,,,31-30,2,J. Lauvergne makes 2-pt shot from 4 ft
10:32.0,D. Russell misses 3-pt shot from 26 ft,,31-30,,
10:30.0,,,31-30,,Defensive rebound by D. Augustin
10:21.0,,,31-30,,D. Augustin misses 2-pt shot from 3 ft
10:20.0,Defensive rebound by T. Black,,31-30,,
10:10.0,M. Huertas makes 2-pt shot from 12 ft,2,33-30,,
9:57.0,,,33-30,,Turnover by J. Lauvergne (bad pass; steal by A. Brown)
9:51.0,A. Brown misses 3-pt shot from 25 ft,,33-30,,
9:48.0,,,33-30,,Defensive rebound by J. Sampson
9:43.0,Personal foul by M. Huertas (drawn by W. Barton),,33-30,,
9:35.0,,,33-32,2,D. Augustin makes 2-pt shot from 2 ft
9:11.0,D. Russell misses 3-pt shot from 24 ft (block by D. Arthur),,33-32,,
9:09.0,,,33-32,,Defensive rebound by J. Lauvergne
9:05.0,,,33-32,,W. Barton misses 2-pt shot from 1 ft
9:03.0,,,33-32,,Offensive rebound by D. Arthur
9:03.0,,,33-34,2,D. Arthur makes 2-pt shot from 1 ft
8:55.0,LA Lakers full timeout,,33-34,,
8:43.0,T. Black makes 2-pt shot at rim (assist by M. Huertas),2,35-34,,
8:28.0,,,35-34,,J. Lauvergne misses 2-pt shot at rim
8:27.0,Defensive rebound by T. Black,,35-34,,
8:16.0,B. Bass makes 2-pt shot at rim (assist by D. Russell),2,37-34,,
7:59.0,,,37-37,3,W. Barton makes 3-pt shot from 25 ft
7:43.0,M. Huertas makes 3-pt shot from 24 ft (assist by B. Bass),3,40-37,,
7:25.0,,,40-39,2,J. Lauvergne makes 2-pt shot from 18 ft (assist by D. Augustin)
7:02.0,D. Russell misses 3-pt shot from 25 ft,,40-39,,
6:59.0,Offensive rebound by T. Black,,40-39,,
6:59.0,T. Black misses 2-pt shot from 1 ft,,40-39,,
6:57.0,,,40-39,,Defensive rebound by W. Barton
6:47.0,,,40-39,,Shooting foul by B. Bass (drawn by D. Augustin)
6:47.0,,,40-40,1,D. Augustin makes free throw 1 of 2
6:47.0,J. Randle enters the game for B. Bass,,40-40,,
6:47.0,,,40-40,,G. Harris enters the game for J. Sampson
6:47.0,,,40-41,1,D. Augustin makes free throw 2 of 2
6:35.0,Shooting foul by G. Harris (drawn by D. Russell),,40-41,,
6:35.0,D. Russell makes free throw 1 of 2,1,41-41,,
6:35.0,,,41-41,,E. Mudiay enters the game for D. Augustin
6:35.0,,,41-41,,K. Faried enters the game for J. Lauvergne
6:35.0,D. Russell makes free throw 2 of 2,1,42-41,,
6:25.0,,,42-43,2,E. Mudiay makes 2-pt shot from 2 ft
6:05.0,D. Russell makes 3-pt shot from 25 ft (assist by M. Huertas),3,45-43,,
5:54.0,Shooting block foul by T. Black (drawn by G. Harris),,45-43,,
5:54.0,Official timeout,,45-43,,
5:54.0,,,45-43,,N. Jokic enters the game for D. Arthur
5:54.0,,,45-44,1,G. Harris makes free throw 1 of 2
5:54.0,,,45-45,1,G. Harris makes free throw 2 of 2
5:36.0,J. Randle makes 2-pt shot at rim (assist by M. Huertas),2,47-45,,
5:25.0,R. Hibbert enters the game for T. Black,,47-45,,
5:15.0,,,47-45,,E. Mudiay misses 2-pt shot from 2 ft
5:14.0,Defensive rebound by J. Randle,,47-45,,
5:06.0,D. Russell misses 2-pt shot from 14 ft,,47-45,,
5:05.0,,,47-45,,Defensive rebound by W. Barton
4:58.0,,,47-45,,W. Barton misses 2-pt shot from 1 ft (block by D. Russell)
4:58.0,,,47-45,,Offensive rebound by Team
4:58.0,J. Clarkson enters the game for M. Huertas,,47-45,,
4:43.0,,,47-45,,Turnover by G. Harris (bad pass)
4:21.0,R. Hibbert makes 2-pt shot from 18 ft (assist by D. Russell),2,49-45,,
4:21.0,,,49-45,,Denver full timeout
4:05.0,,,49-45,,E. Mudiay misses 2-pt shot from 1 ft
4:04.0,Defensive rebound by R. Hibbert,,49-45,,
3:47.0,J. Clarkson misses 2-pt shot from 18 ft (block by W. Barton),,49-45,,
3:47.0,,,49-45,,Defensive rebound by W. Barton
3:47.0,Personal foul by J. Clarkson (drawn by W. Barton),,49-45,,
3:47.0,,,49-46,1,W. Barton makes free throw 1 of 2
3:47.0,,,49-47,1,W. Barton makes free throw 2 of 2
3:29.0,D. Russell misses 2-pt shot from 4 ft (block by E. Mudiay),,49-47,,
3:27.0,,,49-47,,Defensive rebound by E. Mudiay
3:25.0,Flagrant foul type 1 by A. Brown (drawn by K. Faried),,49-47,,
3:25.0,,,49-48,1,K. Faried makes flagrant free throw 1 of 2
3:25.0,,,49-49,1,K. Faried makes flagrant free throw 2 of 2
3:15.0,,,49-49,,E. Mudiay misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by Team,,49-49,,
2:51.0,J. Clarkson misses 3-pt shot from 22 ft,,49-49,,
2:50.0,Offensive rebound by J. Clarkson,,49-49,,
2:49.0,Shooting foul by N. Jokic (drawn by J. Clarkson),,49-49,,
2:49.0,J. Clarkson makes free throw 1 of 2,1,50-49,,
2:49.0,J. Clarkson makes free throw 2 of 2,1,51-49,,
2:32.0,,,51-51,2,G. Harris makes 2-pt shot from 8 ft
2:23.0,,,51-51,,Personal foul by N. Jokic (drawn by R. Hibbert)
2:23.0,,,51-51,,J. Lauvergne enters the game for N. Jokic
2:12.0,Shooting foul by K. Faried (drawn by J. Randle),,51-51,,
2:12.0,J. Randle makes free throw 1 of 2,1,52-51,,
2:12.0,J. Randle makes free throw 2 of 2,1,53-51,,
2:00.0,,,53-53,2,J. Lauvergne makes 2-pt shot from 2 ft (assist by W. Barton)
1:41.0,J. Clarkson misses 2-pt shot from 5 ft,,53-53,,
1:40.0,Offensive rebound by R. Hibbert,,53-53,,
1:37.0,R. Hibbert misses 2-pt shot from 3 ft,,53-53,,
1:37.0,,,53-53,,Defensive rebound by K. Faried
1:31.0,,,53-55,2,K. Faried makes 2-pt shot at rim (assist by W. Barton)
1:10.0,D. Russell makes 3-pt shot from 23 ft,3,56-55,,
0:53.0,,,56-55,,K. Faried misses 2-pt shot from 15 ft
0:52.0,Defensive rebound by J. Clarkson,,56-55,,
0:47.0,A. Brown misses 3-pt shot from 22 ft,,56-55,,
0:45.0,,,56-55,,Defensive rebound by W. Barton
0:44.0,Personal foul by D. Russell (drawn by W. Barton),,56-55,,
0:44.0,,,56-56,1,W. Barton makes free throw 1 of 2
0:44.0,,,56-56,,W. Barton misses free throw 2 of 2
0:43.0,Defensive rebound by A. Brown,,56-56,,
0:32.0,D. Russell makes 2-pt shot from 18 ft,2,58-56,,
0:32.0,Shooting foul by J. Lauvergne (drawn by D. Russell),,58-56,,
0:32.0,D. Russell misses free throw 1 of 1,,58-56,,
0:31.0,,,58-56,,Defensive rebound by W. Barton
0:26.0,,,58-56,,Denver full timeout
0:21.0,Personal foul by R. Hibbert (drawn by W. Barton),,58-56,,
0:21.0,,,58-56,,W. Barton misses free throw 1 of 2
0:21.0,,,58-56,,Offensive rebound by Team
0:21.0,B. Bass enters the game for R. Hibbert,,58-56,,
0:21.0,,,58-57,1,W. Barton makes free throw 2 of 2
0:02.0,D. Russell makes 2-pt shot from 12 ft,2,60-57,,
0:01.0,,,60-57,,J. Lauvergne misses 2-pt shot from 17 ft
0:00.0,,,60-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,J. Randle makes 2-pt shot from 1 ft,2,62-57,,
11:17.0,,,62-59,2,K. Faried makes 2-pt shot from 2 ft (assist by E. Mudiay)
10:58.0,Shooting foul by K. Faried (drawn by J. Randle),,62-59,,
10:58.0,J. Randle makes free throw 1 of 2,1,63-59,,
10:58.0,J. Randle makes free throw 2 of 2,1,64-59,,
10:47.0,,,64-61,2,G. Harris makes 2-pt shot from 18 ft (assist by N. Jokic)
10:23.0,R. Hibbert makes 2-pt shot from 18 ft (assist by J. Randle),2,66-61,,
10:11.0,,,66-64,3,G. Harris makes 3-pt shot from 24 ft (assist by K. Faried)
10:01.0,D. Russell misses 2-pt shot from 19 ft,,66-64,,
10:00.0,,,66-64,,Defensive rebound by K. Faried
9:52.0,,,66-67,3,G. Harris makes 3-pt shot from 24 ft (assist by E. Mudiay)
9:25.0,Shooting foul by K. Faried (drawn by R. Hibbert),,66-67,,
9:25.0,R. Hibbert makes free throw 1 of 2,1,67-67,,
9:25.0,R. Hibbert makes free throw 2 of 2,1,68-67,,
9:03.0,Violation by J. Randle (kicked ball),,68-67,,
8:57.0,,,68-69,2,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay)
8:47.0,Shooting foul by K. Faried (drawn by J. Randle),,68-69,,
8:47.0,J. Randle makes free throw 1 of 2,1,69-69,,
8:47.0,,,69-69,,D. Arthur enters the game for K. Faried
8:47.0,J. Randle makes free throw 2 of 2,1,70-69,,
8:25.0,,,70-69,,E. Mudiay misses 2-pt shot from 19 ft
8:24.0,,,70-69,,Offensive rebound by G. Harris
8:17.0,,,70-69,,N. Jokic misses 2-pt shot from 11 ft (block by R. Hibbert)
8:16.0,,,70-69,,Offensive rebound by N. Jokic
8:15.0,,,70-71,2,N. Jokic makes 2-pt shot from 2 ft
7:52.0,J. Clarkson misses 2-pt shot from 10 ft,,70-71,,
7:51.0,,,70-71,,Defensive rebound by J. Sampson
7:50.0,Personal foul by J. Randle (drawn by J. Sampson),,70-71,,
7:34.0,,,70-71,,E. Mudiay misses 2-pt shot from 17 ft
7:34.0,Defensive rebound by J. Randle,,70-71,,
7:25.0,J. Randle misses 2-pt shot from 8 ft (block by D. Arthur),,70-71,,
7:22.0,,,70-71,,Defensive rebound by E. Mudiay
7:18.0,,,70-73,2,E. Mudiay makes 2-pt shot from 2 ft
7:01.0,J. Clarkson misses 2-pt shot from 3 ft (block by N. Jokic),,70-73,,
6:59.0,,,70-73,,Defensive rebound by J. Sampson
6:56.0,,,70-73,,J. Sampson misses 2-pt shot from 1 ft
6:55.0,,,70-73,,Offensive rebound by G. Harris
6:51.0,,,70-73,,G. Harris misses 3-pt shot from 22 ft
6:50.0,Defensive rebound by J. Randle,,70-73,,
6:28.0,Turnover by Team (shot clock),,70-73,,
6:28.0,M. Huertas enters the game for J. Clarkson,,70-73,,
6:13.0,,,70-73,,G. Harris misses 3-pt shot from 24 ft
6:12.0,Defensive rebound by A. Brown,,70-73,,
5:58.0,D. Russell misses 3-pt shot from 26 ft,,70-73,,
5:58.0,,,70-73,,Defensive rebound by N. Jokic
5:54.0,,,70-73,,Shooting foul by M. Huertas (drawn by J. Sampson)
5:54.0,,,70-73,,Denver full timeout
5:54.0,N. Young enters the game for A. Brown,,70-73,,
5:54.0,,,70-74,1,J. Sampson makes free throw 1 of 2
5:54.0,,,70-75,1,J. Sampson makes free throw 2 of 2
5:30.0,R. Hibbert makes 2-pt shot from 1 ft (assist by D. Russell),2,72-75,,
5:13.0,,,72-75,,Shooting foul by R. Hibbert (drawn by N. Jokic)
5:13.0,,,72-76,1,N. Jokic makes free throw 1 of 2
5:13.0,B. Bass enters the game for R. Hibbert,,72-76,,
5:13.0,,,72-76,,W. Barton enters the game for G. Harris
5:13.0,,,72-77,1,N. Jokic makes free throw 2 of 2
4:52.0,B. Bass misses 2-pt shot from 1 ft (block by N. Jokic),,72-77,,
4:51.0,,,72-77,,Defensive rebound by Team
4:34.0,,,72-80,3,J. Sampson makes 3-pt shot from 26 ft (assist by N. Jokic)
4:14.0,D. Russell makes 3-pt shot from 25 ft (assist by M. Huertas),3,75-80,,
4:03.0,,,75-83,3,D. Arthur makes 3-pt shot from 25 ft (assist by W. Barton)
3:47.0,,,75-83,,Violation by W. Barton (kicked ball)
3:33.0,B. Bass misses 2-pt shot from 2 ft,,75-83,,
3:32.0,Offensive rebound by Team,,75-83,,
3:32.0,Turnover by Team (shot clock),,75-83,,
3:18.0,T. Black enters the game for J. Randle,,75-83,,
3:18.0,,,75-83,,G. Harris enters the game for J. Sampson
3:09.0,,,75-83,,W. Barton misses 2-pt shot from 2 ft
3:07.0,Defensive rebound by N. Young,,75-83,,
2:52.0,D. Russell misses 2-pt shot from 16 ft,,75-83,,
2:51.0,,,75-83,,Defensive rebound by W. Barton
2:43.0,,,75-83,,N. Jokic misses 3-pt shot from 23 ft
2:42.0,Defensive rebound by M. Huertas,,75-83,,
2:40.0,,,75-83,,Personal take foul by D. Arthur (drawn by M. Huertas)
2:40.0,LA Lakers full timeout,,75-83,,
2:40.0,,,75-83,,D. Augustin enters the game for N. Jokic
2:40.0,,,75-83,,J. Lauvergne enters the game for E. Mudiay
2:20.0,T. Black makes 2-pt shot at rim,2,77-83,,
1:58.0,,,77-83,,W. Barton misses 2-pt shot from 21 ft
1:58.0,Defensive rebound by Team,,77-83,,
1:58.0,,,77-83,,Loose ball foul by J. Lauvergne (drawn by T. Black)
1:58.0,T. Black makes free throw 1 of 2,1,78-83,,
1:58.0,T. Black makes free throw 2 of 2,1,79-83,,
1:35.0,,,79-83,,Turnover by W. Barton (bad pass; steal by T. Black)
1:24.0,N. Young makes 2-pt shot from 17 ft,2,81-83,,
1:09.0,,,81-83,,D. Augustin misses 2-pt shot at rim
1:08.0,Defensive rebound by T. Black,,81-83,,
1:06.0,Shooting foul by D. Arthur (drawn by B. Bass),,81-83,,
1:06.0,B. Bass misses free throw 1 of 2,,81-83,,
1:06.0,Offensive rebound by Team,,81-83,,
1:06.0,B. Bass makes free throw 2 of 2,1,82-83,,
0:46.0,,,82-83,,J. Lauvergne misses 2-pt shot from 1 ft
0:44.0,Defensive rebound by T. Black,,82-83,,
0:32.0,N. Young misses 3-pt shot from 25 ft,,82-83,,
0:30.0,,,82-83,,Defensive rebound by J. Lauvergne
0:14.0,,,82-83,,Turnover by G. Harris (traveling)
0:03.0,D. Russell misses 2-pt shot from 9 ft,,82-83,,
0:03.0,,,82-83,,Defensive rebound by W. Barton
0:01.0,,,82-83,,W. Barton misses 3-pt shot from 45 ft
0:00.0,,,82-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,82-83,,G. Harris misses 3-pt shot from 22 ft
11:41.0,Defensive rebound by N. Young,,82-83,,
11:20.0,N. Young misses 3-pt shot from 26 ft,,82-83,,
11:19.0,,,82-83,,Defensive rebound by Team
11:09.0,,,82-83,,D. Augustin misses 2-pt shot from 7 ft
11:08.0,,,82-83,,Offensive rebound by Team
11:02.0,,,82-85,2,D. Augustin makes 2-pt shot from 19 ft (assist by J. Lauvergne)
10:40.0,A. Brown makes 3-pt shot from 23 ft (assist by M. Huertas),3,85-85,,
10:20.0,,,85-85,,Turnover by G. Harris (bad pass; steal by M. Huertas)
10:11.0,T. Black misses 2-pt shot from 2 ft,,85-85,,
10:10.0,,,85-85,,Defensive rebound by J. Lauvergne
9:57.0,,,85-85,,Turnover by W. Barton (bad pass)
9:37.0,B. Bass misses 2-pt shot from 17 ft,,85-85,,
9:36.0,,,85-85,,Defensive rebound by J. Lauvergne
9:31.0,Personal foul by M. Huertas (drawn by D. Augustin),,85-85,,
9:19.0,,,85-85,,G. Harris misses 2-pt shot from 5 ft
9:18.0,Defensive rebound by T. Black,,85-85,,
9:12.0,N. Young makes 3-pt shot from 24 ft (assist by M. Huertas),3,88-85,,
9:12.0,,,88-85,,Denver full timeout
8:50.0,,,88-85,,W. Barton misses 3-pt shot from 26 ft
8:49.0,,,88-85,,Offensive rebound by Team
8:49.0,Loose ball foul by N. Young (drawn by J. Lauvergne),,88-85,,
8:49.0,,,88-85,,E. Mudiay enters the game for W. Barton
8:42.0,,,88-85,,D. Augustin misses 2-pt shot from 20 ft
8:42.0,,,88-85,,Offensive rebound by J. Lauvergne
8:34.0,,,88-85,,D. Arthur misses 3-pt shot from 24 ft
8:30.0,,,88-85,,Offensive rebound by E. Mudiay
8:25.0,,,88-88,3,D. Augustin makes 3-pt shot from 23 ft (assist by E. Mudiay)
8:04.0,Turnover by M. Huertas (bad pass; steal by D. Arthur),,88-88,,
8:00.0,,,88-88,,Turnover by E. Mudiay (bad pass; steal by B. Bass)
7:55.0,Turnover by A. Brown (bad pass; steal by D. Augustin),,88-88,,
7:51.0,,,88-90,2,G. Harris makes 2-pt shot at rim (assist by D. Augustin)
7:20.0,Loose ball foul by B. Bass (drawn by D. Augustin),,88-90,,
7:20.0,Turnover by B. Bass (offensive foul),,88-90,,
7:20.0,J. Randle enters the game for T. Black,,88-90,,
7:09.0,,,88-92,2,D. Augustin makes 2-pt shot from 2 ft
6:48.0,M. Huertas misses 3-pt shot from 25 ft,,88-92,,
6:47.0,,,88-92,,Defensive rebound by J. Lauvergne
6:41.0,,,88-95,3,D. Augustin makes 3-pt shot from 24 ft
6:39.0,LA Lakers full timeout,,88-95,,
6:39.0,,,88-95,,N. Jokic enters the game for D. Arthur
6:27.0,B. Bass makes 2-pt shot at rim (assist by M. Huertas),2,90-95,,
6:27.0,Shooting foul by G. Harris (drawn by B. Bass),,90-95,,
6:27.0,B. Bass makes free throw 1 of 1,1,91-95,,
6:10.0,,,91-98,3,D. Augustin makes 3-pt shot from 26 ft (assist by E. Mudiay)
5:50.0,Shooting foul by E. Mudiay (drawn by N. Young),,91-98,,
5:50.0,N. Young makes free throw 1 of 3,1,92-98,,
5:50.0,N. Young makes free throw 2 of 3,1,93-98,,
5:50.0,N. Young makes free throw 3 of 3,1,94-98,,
5:29.0,,,94-98,,E. Mudiay misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by N. Young,,94-98,,
5:23.0,N. Young misses 3-pt shot from 25 ft,,94-98,,
5:21.0,,,94-98,,Defensive rebound by J. Lauvergne
5:13.0,,,94-98,,J. Lauvergne misses 3-pt shot from 24 ft
5:11.0,,,94-98,,Offensive rebound by Team
5:11.0,D. Russell enters the game for N. Young,,94-98,,
5:00.0,,,94-100,2,E. Mudiay makes 2-pt shot from 1 ft (assist by D. Augustin)
4:35.0,Turnover by Team (shot clock),,94-100,,
4:18.0,,,94-102,2,E. Mudiay makes 2-pt shot from 8 ft
3:54.0,J. Randle makes 2-pt shot from 6 ft (assist by A. Brown),2,96-102,,
3:38.0,,,96-102,,Shooting foul by B. Bass (drawn by N. Jokic)
3:38.0,,,96-103,1,N. Jokic makes free throw 1 of 2
3:38.0,,,96-104,1,N. Jokic makes free throw 2 of 2
3:25.0,D. Russell makes 2-pt shot from 1 ft,2,98-104,,
3:01.0,,,98-106,2,E. Mudiay makes 2-pt shot from 17 ft
2:42.0,A. Brown makes 3-pt shot from 25 ft (assist by D. Russell),3,101-106,,
2:25.0,,,101-106,,E. Mudiay misses 2-pt shot from 2 ft (block by B. Bass)
2:25.0,,,101-106,,Offensive rebound by Team
2:25.0,Official timeout,,101-106,,
2:16.0,,,101-108,2,E. Mudiay makes 2-pt shot from 9 ft (assist by D. Augustin)
1:55.0,J. Randle misses 2-pt shot from 13 ft,,101-108,,
1:54.0,,,101-108,,Defensive rebound by N. Jokic
1:50.0,,,101-110,2,D. Augustin makes 2-pt shot from 7 ft
1:50.0,,,101-110,,Shooting foul by M. Huertas (drawn by D. Augustin)
1:50.0,,,101-111,1,D. Augustin makes free throw 1 of 1
1:36.0,A. Brown misses 3-pt shot from 23 ft,,101-111,,
1:35.0,Offensive rebound by Team,,101-111,,
1:32.0,D. Russell misses 3-pt shot from 22 ft,,101-111,,
1:31.0,,,101-111,,Defensive rebound by D. Augustin
1:31.0,Loose ball foul by B. Bass (drawn by D. Augustin),,101-111,,
