time,Oklahoma City,pts.away,score,pts.home,Memphis
0:03.0,,,25-27,,R. Smith enters the game for Z. Randolph
0:03.0,,,25-27,,M. Chalmers misses free throw 3 of 3
0:02.0,Defensive rebound by E. Kanter,,25-27,,
0:01.0,Turnover by E. Kanter (bad pass; steal by M. Barnes),,25-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,25-27,,C. Lee misses 2-pt shot from 13 ft
11:48.0,,,25-27,,Offensive rebound by Team
11:39.0,,,25-27,,Z. Randolph misses 2-pt shot from 16 ft
11:39.0,Defensive rebound by E. Kanter,,25-27,,
11:25.0,N. Collison misses 2-pt shot from 1 ft,,25-27,,
11:24.0,,,25-27,,Defensive rebound by Z. Randolph
11:15.0,,,25-27,,J. Green misses 2-pt shot from 22 ft
11:15.0,Defensive rebound by E. Kanter,,25-27,,
11:06.0,,,25-27,,Personal foul by C. Lee (drawn by D. Augustin)
10:52.0,D. Waiters misses 2-pt shot from 16 ft,,25-27,,
10:50.0,,,25-27,,Defensive rebound by J. Green
10:46.0,,,25-27,,Shooting foul by D. Augustin (drawn by M. Chalmers)
10:46.0,,,25-28,1,M. Chalmers makes free throw 1 of 2
10:46.0,,,25-29,1,M. Chalmers makes free throw 2 of 2
10:32.0,D. Augustin misses 2-pt shot from 16 ft,,25-29,,
10:32.0,Offensive rebound by Team,,25-29,,
10:32.0,,,25-29,,Loose ball foul by M. Barnes (drawn by E. Kanter)
10:26.0,Turnover by C. Payne (bad pass; steal by M. Chalmers),,25-29,,
10:14.0,,,25-31,2,C. Lee makes 2-pt shot from 12 ft
9:54.0,Shooting foul by M. Chalmers (drawn by E. Kanter),,25-31,,
9:54.0,E. Kanter makes free throw 1 of 2,1,26-31,,
9:54.0,E. Kanter makes free throw 2 of 2,1,27-31,,
9:31.0,,,27-34,3,M. Barnes makes 3-pt shot from 25 ft (assist by Z. Randolph)
9:15.0,,,27-34,,Personal foul by Z. Randolph (drawn by D. Waiters)
9:15.0,S. Ibaka enters the game for N. Collison,,27-34,,
9:02.0,D. Augustin makes 2-pt shot from 16 ft (assist by C. Payne),2,29-34,,
8:48.0,Personal foul by E. Kanter (drawn by Z. Randolph),,29-34,,
8:48.0,,,29-34,,Memphis full timeout
8:48.0,S. Adams enters the game for E. Kanter,,29-34,,
8:37.0,,,29-34,,Turnover by Z. Randolph (bad pass; steal by D. Augustin)
8:33.0,D. Augustin misses 2-pt shot from 2 ft (block by J. Green),,29-34,,
8:33.0,Offensive rebound by Team,,29-34,,
8:33.0,,,29-34,,T. Allen enters the game for C. Lee
8:26.0,D. Waiters misses 2-pt shot from 7 ft,,29-34,,
8:25.0,Offensive rebound by S. Adams,,29-34,,
8:23.0,D. Augustin makes 3-pt shot from 24 ft (assist by S. Adams),3,32-34,,
8:08.0,,,32-34,,M. Chalmers misses 3-pt shot from 24 ft
8:07.0,,,32-34,,Offensive rebound by M. Barnes
7:56.0,,,32-34,,T. Allen misses 2-pt shot at rim
7:54.0,Defensive rebound by C. Payne,,32-34,,
7:50.0,C. Payne misses 2-pt shot from 1 ft,,32-34,,
7:48.0,,,32-34,,Defensive rebound by Z. Randolph
7:39.0,,,32-34,,Turnover by M. Barnes (bad pass; steal by D. Waiters)
7:31.0,D. Waiters makes 2-pt shot at rim,2,34-34,,
7:23.0,,,34-34,,Memphis full timeout
7:23.0,R. Westbrook enters the game for C. Payne,,34-34,,
7:23.0,,,34-34,,J. Green enters the game for J. Green
7:23.0,,,34-34,,M. Conley enters the game for M. Barnes
7:23.0,,,34-34,,M. Gasol enters the game for M. Chalmers
7:08.0,,,34-36,2,Z. Randolph makes 2-pt shot from 1 ft
6:47.0,Shooting foul by M. Gasol (drawn by S. Adams),,34-36,,
6:47.0,S. Adams misses free throw 1 of 2,,34-36,,
6:47.0,Offensive rebound by Team,,34-36,,
6:47.0,S. Adams makes free throw 2 of 2,1,35-36,,
6:27.0,,,35-38,2,T. Allen makes 2-pt shot at rim (assist by M. Conley)
6:09.0,S. Ibaka misses 2-pt shot from 14 ft,,35-38,,
6:07.0,,,35-38,,Defensive rebound by M. Conley
6:01.0,,,35-38,,Shooting foul by D. Waiters (drawn by J. Green)
6:01.0,,,35-39,1,J. Green makes free throw 1 of 2
6:01.0,K. Singler enters the game for D. Waiters,,35-39,,
6:01.0,,,35-40,1,J. Green makes free throw 2 of 2
5:49.0,R. Westbrook makes 2-pt shot at rim,2,37-40,,
5:33.0,,,37-42,2,Z. Randolph makes 2-pt shot from 19 ft (assist by M. Conley)
5:20.0,R. Westbrook makes 2-pt shot from 1 ft,2,39-42,,
5:05.0,,,39-44,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
4:46.0,D. Augustin misses 2-pt shot from 15 ft (block by M. Gasol),,39-44,,
4:44.0,Offensive rebound by D. Augustin,,39-44,,
4:40.0,S. Ibaka makes 3-pt shot from 24 ft (assist by D. Augustin),3,42-44,,
4:27.0,,,42-46,2,M. Conley makes 2-pt shot at rim
4:10.0,K. Singler misses 3-pt shot from 23 ft,,42-46,,
4:09.0,Offensive rebound by S. Adams,,42-46,,
4:08.0,Shooting foul by T. Allen (drawn by S. Adams),,42-46,,
4:08.0,S. Adams makes free throw 1 of 2,1,43-46,,
4:08.0,D. Waiters enters the game for D. Augustin,,43-46,,
4:08.0,S. Adams makes free throw 2 of 2,1,44-46,,
3:58.0,,,44-49,3,M. Conley makes 3-pt shot from 25 ft
3:44.0,K. Singler misses 3-pt shot from 23 ft,,44-49,,
3:43.0,Offensive rebound by S. Ibaka,,44-49,,
3:42.0,,,44-49,,Personal foul by T. Allen (drawn by S. Ibaka)
3:42.0,S. Ibaka misses free throw 1 of 2,,44-49,,
3:42.0,Offensive rebound by Team,,44-49,,
3:42.0,S. Ibaka misses free throw 2 of 2,,44-49,,
3:41.0,,,44-49,,Defensive rebound by J. Green
3:25.0,,,44-51,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
3:08.0,K. Singler misses 3-pt shot from 24 ft,,44-51,,
3:08.0,,,44-51,,Defensive rebound by M. Conley
3:03.0,,,44-51,,M. Conley misses 2-pt shot at rim (block by S. Ibaka)
3:01.0,,,44-51,,Offensive rebound by Team
3:01.0,A. Morrow enters the game for K. Singler,,44-51,,
2:53.0,,,44-53,2,M. Gasol makes 2-pt shot from 11 ft (assist by M. Conley)
2:45.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,46-53,,
2:26.0,,,46-56,3,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol)
2:09.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,48-56,,
1:51.0,Personal foul by S. Adams (drawn by Z. Randolph),,48-56,,
1:51.0,Oklahoma City full timeout,,48-56,,
1:41.0,,,48-56,,J. Green misses 2-pt shot from 6 ft
1:39.0,Defensive rebound by S. Ibaka,,48-56,,
1:31.0,Turnover by R. Westbrook (lost ball; steal by T. Allen),,48-56,,
1:24.0,,,48-56,,J. Green misses 2-pt shot from 22 ft
1:21.0,,,48-56,,Offensive rebound by T. Allen
1:21.0,,,48-56,,T. Allen misses 2-pt shot at rim (block by S. Ibaka)
1:19.0,Defensive rebound by A. Morrow,,48-56,,
1:09.0,D. Waiters misses 2-pt shot from 1 ft,,48-56,,
1:08.0,Offensive rebound by Team,,48-56,,
0:59.0,S. Ibaka misses 2-pt shot from 16 ft,,48-56,,
0:59.0,Offensive rebound by Team,,48-56,,
0:59.0,,,48-56,,Loose ball foul by M. Gasol (drawn by S. Adams)
0:59.0,S. Adams misses free throw 1 of 2,,48-56,,
0:59.0,Offensive rebound by Team,,48-56,,
0:59.0,,,48-56,,J. Green enters the game for M. Gasol
0:59.0,S. Adams makes free throw 2 of 2,1,49-56,,
0:49.0,,,49-56,,J. Green misses 2-pt shot from 2 ft
0:48.0,,,49-56,,Offensive rebound by Z. Randolph
0:46.0,,,49-56,,Z. Randolph misses 2-pt shot at rim
0:43.0,Defensive rebound by A. Morrow,,49-56,,
0:38.0,R. Westbrook makes 3-pt shot from 25 ft,3,52-56,,
0:30.0,,,52-56,,Shooting foul by S. Adams (drawn by M. Conley)
0:30.0,,,52-57,1,M. Conley makes free throw 1 of 2
0:30.0,,,52-57,,M. Barnes enters the game for Z. Randolph
0:30.0,,,52-58,1,M. Conley makes free throw 2 of 2
0:07.0,Turnover by S. Ibaka (offensive goaltending),,52-58,,
0:07.0,K. Singler enters the game for A. Morrow,,52-58,,
0:07.0,,,52-58,,M. Chalmers enters the game for T. Allen
0:07.0,D. Augustin enters the game for S. Adams,,52-58,,
0:07.0,Violation by Team (jump ball),,52-58,,
0:01.0,,,52-58,,M. Chalmers misses 3-pt shot from 26 ft
0:00.0,,,52-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,52-58,,J. Green misses 2-pt shot from 1 ft
11:35.0,Defensive rebound by S. Ibaka,,52-58,,
11:23.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,54-58,,
11:03.0,,,54-58,,M. Conley misses 2-pt shot from 19 ft
11:02.0,Defensive rebound by R. Westbrook,,54-58,,
10:53.0,R. Westbrook misses 2-pt shot from 16 ft,,54-58,,
10:50.0,,,54-58,,Defensive rebound by J. Green
10:46.0,Personal foul by K. Singler (drawn by M. Conley),,54-58,,
10:37.0,,,54-58,,J. Green misses 2-pt shot from 1 ft
10:35.0,Defensive rebound by S. Adams,,54-58,,
10:23.0,Turnover by R. Westbrook (bad pass; steal by T. Allen),,54-58,,
10:17.0,,,54-58,,Turnover by J. Green (bad pass; steal by K. Singler)
10:12.0,K. Singler misses 2-pt shot from 21 ft,,54-58,,
10:11.0,Offensive rebound by A. Morrow,,54-58,,
10:11.0,A. Morrow misses 2-pt shot at rim,,54-58,,
10:11.0,,,54-58,,Defensive rebound by Team
9:47.0,,,54-58,,T. Allen misses 2-pt shot from 20 ft
9:45.0,,,54-58,,Offensive rebound by Z. Randolph
9:45.0,,,54-58,,Z. Randolph misses 2-pt shot from 1 ft
9:43.0,Defensive rebound by S. Ibaka,,54-58,,
9:36.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,56-58,,
9:18.0,,,56-60,2,Z. Randolph makes 2-pt shot from 16 ft
8:54.0,Offensive charge foul by S. Adams,,56-60,,
8:54.0,Turnover by S. Adams (offensive foul),,56-60,,
8:34.0,,,56-60,,Z. Randolph misses 2-pt shot from 5 ft (block by S. Adams)
8:31.0,,,56-60,,Offensive rebound by Z. Randolph
8:31.0,,,56-60,,Z. Randolph misses 2-pt shot from 5 ft
8:30.0,Defensive rebound by S. Ibaka,,56-60,,
8:21.0,K. Singler misses 3-pt shot from 24 ft,,56-60,,
8:18.0,,,56-60,,Defensive rebound by M. Gasol
7:58.0,,,56-60,,Z. Randolph misses 2-pt shot from 1 ft
7:57.0,Defensive rebound by S. Ibaka,,56-60,,
7:53.0,,,56-60,,Shooting block foul by M. Gasol (drawn by R. Westbrook)
7:53.0,R. Westbrook misses free throw 1 of 2,,56-60,,
7:53.0,Offensive rebound by Team,,56-60,,
7:53.0,,,56-60,,J. Green enters the game for M. Gasol
7:53.0,R. Westbrook makes free throw 2 of 2,1,57-60,,
7:39.0,,,57-60,,Z. Randolph misses 2-pt shot from 1 ft (block by S. Ibaka)
7:39.0,,,57-60,,Offensive rebound by Z. Randolph
7:39.0,Personal foul by K. Singler (drawn by Z. Randolph),,57-60,,
7:39.0,D. Waiters enters the game for K. Singler,,57-60,,
7:29.0,,,57-63,3,M. Conley makes 3-pt shot from 24 ft
7:07.0,,,57-63,,Personal foul by J. Green (drawn by A. Morrow)
7:00.0,Turnover by R. Westbrook (turnover),,57-63,,
6:36.0,,,57-63,,M. Conley misses 2-pt shot from 20 ft
6:34.0,,,57-63,,Offensive rebound by Z. Randolph
6:32.0,,,57-65,2,Z. Randolph makes 2-pt shot from 1 ft
6:06.0,R. Westbrook makes 3-pt shot from 27 ft,3,60-65,,
5:40.0,,,60-65,,Shooting foul by S. Adams (drawn by Z. Randolph)
5:40.0,,,60-65,,Memphis full timeout
5:40.0,,,60-66,1,Z. Randolph makes free throw 1 of 2
5:40.0,N. Collison enters the game for S. Adams,,60-66,,
5:40.0,,,60-67,1,Z. Randolph makes free throw 2 of 2
5:28.0,S. Ibaka misses 2-pt shot from 1 ft (block by J. Green),,60-67,,
5:28.0,Offensive rebound by Team,,60-67,,
5:24.0,D. Waiters makes 2-pt shot from 20 ft (assist by R. Westbrook),2,62-67,,
5:23.0,Violation by Team (jump ball),,62-67,,
5:23.0,Technical foul by Team,,62-67,,
5:23.0,,,62-67,,M. Conley misses technical free throw
5:23.0,,,62-67,,Offensive rebound by Team
5:23.0,,,62-67,,M. Chalmers enters the game for T. Allen
5:06.0,,,62-67,,J. Green misses 2-pt shot from 4 ft
5:05.0,,,62-67,,Offensive rebound by J. Green
5:04.0,,,62-67,,Shooting foul by S. Ibaka (drawn by J. Green)
5:04.0,,,62-68,1,J. Green makes free throw 1 of 2
5:04.0,,,62-69,1,J. Green makes free throw 2 of 2
4:53.0,Shooting foul by M. Chalmers (drawn by R. Westbrook),,62-69,,
4:53.0,R. Westbrook makes free throw 1 of 2,1,63-69,,
4:53.0,R. Westbrook makes free throw 2 of 2,1,64-69,,
4:30.0,,,64-69,,Z. Randolph misses 2-pt shot from 2 ft
4:29.0,Defensive rebound by S. Ibaka,,64-69,,
4:25.0,Shooting foul by M. Conley (drawn by R. Westbrook),,64-69,,
4:25.0,R. Westbrook makes free throw 1 of 2,1,65-69,,
4:25.0,R. Westbrook makes free throw 2 of 2,1,66-69,,
4:09.0,,,66-69,,M. Chalmers misses 2-pt shot from 2 ft
4:09.0,Defensive rebound by D. Waiters,,66-69,,
4:04.0,Turnover by D. Waiters (bad pass; steal by M. Conley),,66-69,,
3:59.0,,,66-71,2,M. Conley makes 2-pt shot from 13 ft (assist by J. Green)
3:44.0,R. Westbrook makes 2-pt shot at rim,2,68-71,,
3:29.0,,,68-71,,J. Green misses 2-pt shot from 21 ft
3:29.0,,,68-71,,Offensive rebound by Team
3:29.0,Loose ball foul by N. Collison (drawn by Z. Randolph),,68-71,,
3:29.0,,,68-72,1,Z. Randolph makes free throw 1 of 2
3:29.0,,,68-73,1,Z. Randolph makes free throw 2 of 2
3:18.0,R. Westbrook makes 2-pt shot from 15 ft,2,70-73,,
3:06.0,,,70-73,,Z. Randolph misses 2-pt shot from 2 ft
3:05.0,,,70-73,,Offensive rebound by J. Green
3:02.0,,,70-76,3,M. Chalmers makes 3-pt shot from 23 ft (assist by M. Conley)
2:47.0,R. Westbrook makes 3-pt shot from 25 ft,3,73-76,,
2:23.0,,,73-76,,Z. Randolph misses 2-pt shot from 1 ft
2:19.0,Defensive rebound by N. Collison,,73-76,,
2:17.0,,,73-76,,Personal foul by J. Green (drawn by R. Westbrook)
2:17.0,Oklahoma City full timeout,,73-76,,
2:17.0,,,73-76,,M. Gasol enters the game for Z. Randolph
2:17.0,C. Payne enters the game for S. Ibaka,,73-76,,
2:17.0,E. Kanter enters the game for A. Morrow,,73-76,,
2:17.0,R. Westbrook makes free throw 1 of 2,1,74-76,,
2:17.0,R. Westbrook makes free throw 2 of 2,1,75-76,,
1:53.0,,,75-76,,M. Chalmers misses 2-pt shot from 21 ft
1:52.0,Defensive rebound by R. Westbrook,,75-76,,
1:41.0,Turnover by R. Westbrook (bad pass; steal by J. Green),,75-76,,
1:26.0,,,75-76,,J. Green misses 2-pt shot from 1 ft (block by N. Collison)
1:24.0,Defensive rebound by D. Waiters,,75-76,,
1:21.0,Turnover by D. Waiters (bad pass),,75-76,,
1:01.0,,,75-76,,M. Gasol misses 2-pt shot from 9 ft
1:00.0,Defensive rebound by D. Waiters,,75-76,,
0:48.0,E. Kanter makes 2-pt shot from 16 ft (assist by N. Collison),2,77-76,,
0:34.0,,,77-79,3,J. Green makes 3-pt shot from 22 ft (assist by M. Conley)
0:31.0,R. Westbrook misses 3-pt shot from 27 ft,,77-79,,
0:28.0,,,77-79,,Defensive rebound by M. Gasol
0:19.0,Violation by N. Collison (kicked ball),,77-79,,
0:07.0,,,77-79,,J. Green misses 2-pt shot from 22 ft
0:06.0,Defensive rebound by E. Kanter,,77-79,,
0:01.0,C. Payne makes 3-pt shot from 25 ft (assist by R. Westbrook),3,80-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,D. Augustin misses 3-pt shot from 24 ft,,80-79,,
11:43.0,,,80-79,,Defensive rebound by M. Gasol
11:29.0,,,80-79,,M. Chalmers misses 2-pt shot from 1 ft
11:29.0,Defensive rebound by N. Collison,,80-79,,
11:29.0,Turnover by N. Collison (turnover),,80-79,,
11:19.0,,,80-81,2,M. Gasol makes 2-pt shot from 2 ft
11:19.0,,,80-81,,Shooting foul by N. Collison (drawn by M. Gasol)
11:19.0,,,80-82,1,M. Gasol makes free throw 1 of 1
11:12.0,,,80-82,,Personal foul by M. Chalmers (drawn by C. Payne)
10:57.0,N. Collison makes 2-pt shot from 12 ft (assist by E. Kanter),2,82-82,,
10:32.0,,,82-82,,J. Green misses 2-pt shot from 2 ft (block by N. Collison)
10:30.0,Defensive rebound by E. Kanter,,82-82,,
10:29.0,Shooting foul by J. Green (drawn by D. Waiters),,82-82,,
10:29.0,D. Waiters makes free throw 1 of 2,1,83-82,,
10:29.0,D. Waiters misses free throw 2 of 2,,83-82,,
10:25.0,Offensive rebound by E. Kanter,,83-82,,
10:24.0,E. Kanter misses 2-pt shot at rim (block by J. Green),,83-82,,
10:22.0,,,83-82,,Defensive rebound by J. Green
10:08.0,,,83-85,3,M. Chalmers makes 3-pt shot from 24 ft (assist by M. Gasol)
9:50.0,N. Collison misses 3-pt shot from 24 ft,,83-85,,
9:50.0,,,83-85,,Defensive rebound by J. Green
9:41.0,,,83-85,,Shooting foul by D. Augustin (drawn by M. Chalmers)
9:41.0,,,83-86,1,M. Chalmers makes free throw 1 of 2
9:41.0,,,83-86,,M. Barnes enters the game for J. Green
9:41.0,,,83-87,1,M. Chalmers makes free throw 2 of 2
9:29.0,D. Waiters misses 2-pt shot from 19 ft,,83-87,,
9:26.0,,,83-87,,Defensive rebound by M. Gasol
9:21.0,,,83-90,3,M. Chalmers makes 3-pt shot from 26 ft (assist by C. Lee)
9:20.0,Oklahoma City full timeout,,83-90,,
9:20.0,R. Westbrook enters the game for N. Collison,,83-90,,
9:20.0,S. Ibaka enters the game for C. Payne,,83-90,,
9:10.0,Turnover by R. Westbrook (turnover),,83-90,,
8:57.0,,,83-90,,M. Barnes misses 3-pt shot from 22 ft
8:56.0,Defensive rebound by E. Kanter,,83-90,,
8:47.0,Shooting foul by M. Barnes (drawn by E. Kanter),,83-90,,
8:47.0,E. Kanter makes free throw 1 of 2,1,84-90,,
8:47.0,E. Kanter makes free throw 2 of 2,1,85-90,,
8:37.0,,,85-90,,Turnover by M. Gasol (lost ball; steal by R. Westbrook)
8:31.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,87-90,,
8:10.0,,,87-90,,Shooting foul by E. Kanter (drawn by M. Gasol)
8:10.0,,,87-91,1,M. Gasol makes free throw 1 of 2
8:10.0,,,87-92,1,M. Gasol makes free throw 2 of 2
7:58.0,Turnover by S. Ibaka (offensive goaltending),,87-92,,
7:52.0,,,87-94,2,M. Chalmers makes 2-pt shot at rim
7:52.0,,,87-94,,Shooting foul by D. Augustin (drawn by M. Chalmers)
7:52.0,,,87-95,1,M. Chalmers makes free throw 1 of 1
7:37.0,R. Westbrook misses 2-pt shot from 11 ft,,87-95,,
7:37.0,,,87-95,,Defensive rebound by M. Gasol
7:23.0,,,87-97,2,C. Lee makes 2-pt shot from 9 ft (assist by M. Gasol)
7:09.0,S. Ibaka misses 3-pt shot from 24 ft,,87-97,,
7:08.0,Offensive rebound by D. Waiters,,87-97,,
7:03.0,D. Waiters makes 2-pt shot from 1 ft,2,89-97,,
6:49.0,Personal foul by D. Augustin (drawn by M. Chalmers),,89-97,,
6:49.0,,,89-98,1,M. Chalmers makes free throw 1 of 2
6:49.0,A. Morrow enters the game for D. Augustin,,89-98,,
6:49.0,,,89-98,,M. Chalmers misses free throw 2 of 2
6:48.0,Defensive rebound by S. Ibaka,,89-98,,
6:48.0,,,89-98,,Personal foul by J. Green (drawn by S. Ibaka)
6:29.0,D. Waiters misses 3-pt shot from 25 ft,,89-98,,
6:29.0,Offensive rebound by R. Westbrook,,89-98,,
6:14.0,S. Ibaka makes 2-pt shot from 5 ft (assist by R. Westbrook),2,91-98,,
5:49.0,,,91-100,2,M. Gasol makes 2-pt shot from 10 ft
