time,Portland,pts.away,score,pts.home,Boston
6:25.0,C. McCollum makes 2-pt shot from 7 ft,2,18-12,,
6:18.0,,,18-14,2,I. Thomas makes 2-pt shot at rim
6:02.0,N. Vonleh misses 3-pt shot from 25 ft,,18-14,,
6:01.0,Offensive rebound by M. Plumlee,,18-14,,
5:59.0,Shooting foul by A. Johnson (drawn by N. Vonleh),,18-14,,
5:59.0,N. Vonleh misses free throw 1 of 2,,18-14,,
5:59.0,Offensive rebound by Team,,18-14,,
5:59.0,,,18-14,,M. Smart enters the game for A. Bradley
5:59.0,,,18-14,,E. Turner enters the game for A. Johnson
5:59.0,N. Vonleh misses free throw 2 of 2,,18-14,,
5:59.0,,,18-14,,Defensive rebound by M. Smart
5:42.0,,,18-14,,I. Thomas misses 2-pt shot from 1 ft
5:41.0,,,18-14,,Offensive rebound by J. Sullinger
5:41.0,,,18-14,,J. Sullinger misses 2-pt shot at rim
5:39.0,Defensive rebound by A. Aminu,,18-14,,
5:36.0,Turnover by A. Aminu (lost ball),,18-14,,
5:36.0,A. Crabbe enters the game for C. McCollum,,18-14,,
5:26.0,,,18-14,,J. Crowder misses 2-pt shot from 11 ft
5:25.0,Defensive rebound by M. Plumlee,,18-14,,
5:14.0,M. Plumlee makes 2-pt shot at rim (assist by A. Aminu),2,20-14,,
5:03.0,,,20-14,,Turnover by M. Smart (bad pass; steal by A. Aminu)
4:57.0,A. Crabbe makes 3-pt shot from 24 ft (assist by A. Aminu),3,23-14,,
4:30.0,,,23-14,,J. Sullinger misses 2-pt shot at rim
4:28.0,,,23-14,,Offensive rebound by M. Smart
4:24.0,,,23-14,,M. Smart misses 2-pt shot at rim (block by M. Plumlee)
4:23.0,,,23-14,,Offensive rebound by J. Sullinger
4:23.0,,,23-16,2,J. Sullinger makes 2-pt shot at rim
4:02.0,D. Lillard makes 3-pt shot from 25 ft,3,26-16,,
3:53.0,Personal foul by D. Lillard (drawn by J. Crowder),,26-16,,
3:53.0,M. Harkless enters the game for A. Aminu,,26-16,,
3:53.0,G. Henderson enters the game for N. Vonleh,,26-16,,
3:53.0,E. Davis enters the game for M. Plumlee,,26-16,,
3:46.0,,,26-16,,E. Turner misses 2-pt shot from 15 ft
3:45.0,Defensive rebound by M. Harkless,,26-16,,
3:34.0,D. Lillard makes 2-pt shot from 1 ft,2,28-16,,
3:31.0,,,28-18,2,I. Thomas makes 2-pt shot at rim
3:31.0,,,28-18,,Shooting foul by A. Crabbe (drawn by I. Thomas)
3:31.0,,,28-18,,T. Zeller enters the game for J. Sullinger
3:31.0,,,28-19,1,I. Thomas makes free throw 1 of 1
3:17.0,Shooting foul by J. Crowder (drawn by E. Davis),,28-19,,
3:17.0,E. Davis misses free throw 1 of 2,,28-19,,
3:17.0,Offensive rebound by Team,,28-19,,
3:17.0,E. Davis makes free throw 2 of 2,1,29-19,,
2:57.0,,,29-22,3,J. Crowder makes 3-pt shot from 23 ft (assist by M. Smart)
2:47.0,Portland full timeout,,29-22,,
2:42.0,G. Henderson misses 2-pt shot from 3 ft (block by E. Turner),,29-22,,
2:41.0,Offensive rebound by G. Henderson,,29-22,,
2:36.0,M. Harkless misses 3-pt shot from 23 ft,,29-22,,
2:35.0,,,29-22,,Defensive rebound by T. Zeller
2:21.0,,,29-22,,I. Thomas misses 3-pt shot from 26 ft
2:20.0,Defensive rebound by D. Lillard,,29-22,,
2:03.0,D. Lillard misses 2-pt shot at rim,,29-22,,
2:02.0,,,29-22,,Defensive rebound by T. Zeller
1:50.0,,,29-22,,Shooting foul by A. Crabbe (drawn by M. Smart)
1:50.0,,,29-23,1,M. Smart makes free throw 1 of 3
1:50.0,,,29-24,1,M. Smart makes free throw 2 of 3
1:50.0,,,29-24,,J. Jerebko enters the game for I. Thomas
1:50.0,,,29-25,1,M. Smart makes free throw 3 of 3
1:39.0,,,29-25,,Personal foul by J. Crowder (drawn by E. Davis)
1:32.0,Turnover by D. Lillard (lost ball; steal by E. Turner),,29-25,,
1:20.0,,,29-25,,M. Smart misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by M. Harkless,,29-25,,
1:09.0,D. Lillard makes 2-pt shot from 1 ft,2,31-25,,
1:02.0,Personal foul by G. Henderson (drawn by M. Smart),,31-25,,
1:02.0,,,31-26,1,M. Smart makes free throw 1 of 2
1:02.0,,,31-26,,M. Smart misses free throw 2 of 2
1:02.0,Defensive rebound by M. Harkless,,31-26,,
0:39.0,G. Henderson misses 2-pt shot from 21 ft,,31-26,,
0:39.0,,,31-26,,Defensive rebound by J. Jerebko
0:38.0,Personal foul by E. Davis (drawn by J. Jerebko),,31-26,,
0:38.0,,,31-27,1,J. Jerebko makes free throw 1 of 2
0:38.0,,,31-28,1,J. Jerebko makes free throw 2 of 2
0:33.0,D. Lillard misses 2-pt shot from 5 ft,,31-28,,
0:32.0,Offensive rebound by M. Harkless,,31-28,,
0:32.0,M. Harkless misses 2-pt shot from 1 ft (block by J. Jerebko),,31-28,,
0:30.0,,,31-28,,Defensive rebound by J. Jerebko
0:23.0,,,31-28,,J. Crowder misses 3-pt shot from 25 ft
0:21.0,Defensive rebound by E. Davis,,31-28,,
0:08.0,,,31-28,,Personal take foul by T. Zeller (drawn by E. Davis)
0:08.0,E. Davis makes free throw 1 of 2,1,32-28,,
0:08.0,,,32-28,,I. Thomas enters the game for J. Jerebko
0:08.0,E. Davis makes free throw 2 of 2,1,33-28,,
0:03.0,,,33-30,2,I. Thomas makes 2-pt shot from 1 ft
0:01.0,D. Lillard misses 3-pt shot from 35 ft,,33-30,,
0:00.0,Offensive rebound by Team,,33-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,33-30,,E. Turner misses 2-pt shot from 8 ft
11:46.0,,,33-30,,Offensive rebound by Team
11:46.0,Loose ball foul by A. Crabbe (drawn by M. Smart),,33-30,,
11:40.0,,,33-30,,T. Zeller misses 2-pt shot from 18 ft
11:39.0,,,33-30,,Offensive rebound by M. Smart
11:39.0,,,33-32,2,M. Smart makes 2-pt shot from 1 ft
11:21.0,G. Henderson misses 2-pt shot from 15 ft,,33-32,,
11:20.0,,,33-32,,Defensive rebound by M. Smart
11:08.0,,,33-34,2,A. Bradley makes 2-pt shot at rim (assist by M. Smart)
10:57.0,C. McCollum makes 2-pt shot at rim,2,35-34,,
10:30.0,Violation by G. Henderson (def goaltending),,35-34,,
10:30.0,,,35-36,2,J. Jerebko makes 2-pt shot at rim (assist by E. Turner)
10:10.0,M. Leonard makes 3-pt shot from 24 ft (assist by C. McCollum),3,38-36,,
9:50.0,,,38-36,,M. Smart misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by Team,,38-36,,
9:50.0,,,38-36,,Loose ball foul by J. Jerebko (drawn by A. Crabbe)
9:50.0,M. Harkless enters the game for A. Crabbe,,38-36,,
9:39.0,Offensive foul by M. Leonard,,38-36,,
9:39.0,Turnover by M. Leonard (offensive foul),,38-36,,
9:28.0,,,38-36,,E. Turner misses 2-pt shot from 13 ft
9:27.0,Defensive rebound by E. Davis,,38-36,,
9:19.0,C. McCollum makes 3-pt shot from 24 ft,3,41-36,,
9:04.0,,,41-38,2,A. Bradley makes 2-pt shot from 19 ft (assist by T. Zeller)
8:50.0,M. Leonard misses 2-pt shot from 16 ft,,41-38,,
8:49.0,,,41-38,,Defensive rebound by M. Smart
8:38.0,,,41-38,,E. Turner misses 2-pt shot from 14 ft
8:37.0,Defensive rebound by E. Davis,,41-38,,
8:33.0,,,41-38,,Personal foul by A. Bradley (drawn by C. McCollum)
8:33.0,Official timeout,,41-38,,
8:18.0,Turnover by M. Leonard (lost ball; steal by M. Smart),,41-38,,
8:03.0,,,41-40,2,A. Bradley makes 2-pt shot from 19 ft (assist by E. Turner)
7:45.0,E. Davis misses 2-pt shot from 8 ft,,41-40,,
7:44.0,,,41-40,,Defensive rebound by J. Jerebko
7:31.0,,,41-40,,J. Jerebko misses 2-pt shot from 8 ft (block by C. McCollum)
7:29.0,,,41-40,,Offensive rebound by M. Smart
7:26.0,,,41-43,3,M. Smart makes 3-pt shot from 25 ft
7:07.0,G. Henderson misses 3-pt shot from 22 ft,,41-43,,
7:04.0,Offensive rebound by E. Davis,,41-43,,
7:03.0,E. Davis misses 2-pt shot at rim,,41-43,,
7:01.0,,,41-43,,Defensive rebound by E. Turner
6:55.0,,,41-43,,T. Zeller misses 2-pt shot from 1 ft
6:54.0,Defensive rebound by E. Davis,,41-43,,
6:45.0,Shooting foul by T. Zeller (drawn by G. Henderson),,41-43,,
6:45.0,G. Henderson makes free throw 1 of 2,1,42-43,,
6:45.0,M. Plumlee enters the game for E. Davis,,42-43,,
6:45.0,G. Henderson makes free throw 2 of 2,1,43-43,,
6:24.0,,,43-43,,A. Bradley misses 2-pt shot from 16 ft
6:23.0,,,43-43,,Offensive rebound by J. Jerebko
6:16.0,,,43-43,,E. Turner misses 2-pt shot from 16 ft
6:15.0,Defensive rebound by M. Plumlee,,43-43,,
6:06.0,A. Aminu enters the game for M. Harkless,,43-43,,
6:06.0,,,43-43,,J. Sullinger enters the game for T. Zeller
6:02.0,G. Henderson misses 2-pt shot from 15 ft,,43-43,,
6:01.0,,,43-43,,Defensive rebound by J. Sullinger
5:50.0,,,43-43,,A. Bradley misses 2-pt shot from 18 ft
5:49.0,Defensive rebound by M. Leonard,,43-43,,
5:43.0,,,43-43,,Shooting block foul by J. Jerebko (drawn by C. McCollum)
5:43.0,,,43-43,,Boston full timeout
5:43.0,,,43-43,,I. Thomas enters the game for M. Smart
5:43.0,D. Lillard enters the game for G. Henderson,,43-43,,
5:43.0,C. McCollum makes free throw 1 of 2,1,44-43,,
5:43.0,C. McCollum makes free throw 2 of 2,1,45-43,,
5:22.0,,,45-46,3,A. Bradley makes 3-pt shot from 25 ft (assist by E. Turner)
4:58.0,Shooting foul by I. Thomas (drawn by C. McCollum),,45-46,,
4:58.0,C. McCollum makes free throw 1 of 2,1,46-46,,
4:58.0,,,46-46,,J. Crowder enters the game for J. Jerebko
4:58.0,G. Henderson enters the game for M. Leonard,,46-46,,
4:58.0,C. McCollum makes free throw 2 of 2,1,47-46,,
4:47.0,Personal foul by D. Lillard (drawn by I. Thomas),,47-46,,
4:47.0,,,47-46,,M. Smart enters the game for E. Turner
4:40.0,,,47-46,,A. Bradley misses 2-pt shot from 18 ft
4:39.0,Defensive rebound by A. Aminu,,47-46,,
4:26.0,M. Plumlee makes 2-pt shot from 14 ft,2,49-46,,
4:19.0,Personal foul by G. Henderson (drawn by I. Thomas),,49-46,,
4:04.0,,,49-48,2,I. Thomas makes 2-pt shot from 5 ft
3:51.0,A. Aminu misses 3-pt shot from 23 ft,,49-48,,
3:50.0,,,49-48,,Defensive rebound by M. Smart
3:36.0,,,49-48,,Shooting foul by M. Plumlee (drawn by J. Sullinger)
3:36.0,,,49-49,1,J. Sullinger makes free throw 1 of 2
3:36.0,,,49-50,1,J. Sullinger makes free throw 2 of 2
3:25.0,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee),2,51-50,,
3:20.0,,,51-50,,I. Thomas misses 2-pt shot at rim (block by M. Plumlee)
3:19.0,,,51-50,,Offensive rebound by Team
3:17.0,,,51-50,,A. Bradley misses 2-pt shot from 17 ft
3:16.0,Defensive rebound by M. Plumlee,,51-50,,
3:09.0,,,51-50,,Personal foul by I. Thomas (drawn by D. Lillard)
3:09.0,D. Lillard misses free throw 1 of 2,,51-50,,
3:09.0,Offensive rebound by Team,,51-50,,
3:09.0,D. Lillard makes free throw 2 of 2,1,52-50,,
2:51.0,,,52-52,2,J. Sullinger makes 2-pt shot at rim
2:28.0,D. Lillard misses 3-pt shot from 27 ft,,52-52,,
2:25.0,,,52-52,,Defensive rebound by I. Thomas
2:16.0,,,52-52,,Shooting foul by M. Plumlee (drawn by I. Thomas)
2:16.0,Portland full timeout,,52-52,,
2:16.0,,,52-53,1,I. Thomas makes free throw 1 of 2
2:16.0,,,52-54,1,I. Thomas makes free throw 2 of 2
2:06.0,Turnover by D. Lillard (bad pass; steal by M. Smart),,52-54,,
2:02.0,,,52-56,2,M. Smart makes 2-pt shot from 1 ft
1:35.0,G. Henderson makes 2-pt shot from 17 ft (assist by M. Plumlee),2,54-56,,
1:18.0,,,54-58,2,J. Crowder makes 2-pt shot from 1 ft (assist by J. Sullinger)
1:00.0,M. Plumlee misses 2-pt shot from 18 ft,,54-58,,
1:00.0,,,54-58,,Defensive rebound by J. Sullinger
0:38.0,,,54-58,,J. Crowder misses 2-pt shot from 19 ft
0:37.0,Defensive rebound by G. Henderson,,54-58,,
0:36.0,,,54-58,,Personal foul by J. Sullinger (drawn by G. Henderson)
0:36.0,G. Henderson makes free throw 1 of 2,1,55-58,,
0:36.0,E. Davis enters the game for M. Plumlee,,55-58,,
0:36.0,G. Henderson misses free throw 2 of 2,,55-58,,
0:36.0,,,55-58,,Defensive rebound by M. Smart
0:30.0,,,55-61,3,I. Thomas makes 3-pt shot from 27 ft
0:13.0,C. McCollum misses 2-pt shot from 1 ft (block by J. Sullinger),,55-61,,
0:12.0,Offensive rebound by E. Davis,,55-61,,
0:10.0,C. McCollum misses 3-pt shot from 23 ft,,55-61,,
0:09.0,,,55-61,,Defensive rebound by Team
0:01.0,,,55-61,,J. Crowder misses 3-pt shot from 25 ft
0:00.0,,,55-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,55-61,,J. Crowder misses 2-pt shot from 21 ft
11:46.0,,,55-61,,Offensive rebound by A. Johnson
11:46.0,,,55-63,2,A. Johnson makes 2-pt shot at rim
11:23.0,A. Aminu misses 2-pt shot from 19 ft,,55-63,,
11:23.0,Offensive rebound by M. Plumlee,,55-63,,
11:21.0,N. Vonleh misses 2-pt shot from 1 ft (block by J. Sullinger),,55-63,,
11:20.0,,,55-63,,Defensive rebound by I. Thomas
11:11.0,,,55-65,2,J. Sullinger makes 2-pt shot at rim (assist by I. Thomas)
10:59.0,C. McCollum misses 2-pt shot from 18 ft,,55-65,,
10:58.0,,,55-65,,Defensive rebound by J. Crowder
10:48.0,,,55-67,2,J. Sullinger makes 2-pt shot from 10 ft
10:48.0,,,55-67,,Shooting foul by M. Plumlee (drawn by J. Sullinger)
10:48.0,,,55-68,1,J. Sullinger makes free throw 1 of 1
10:26.0,D. Lillard makes 3-pt shot from 26 ft,3,58-68,,
10:08.0,,,58-68,,J. Crowder misses 3-pt shot from 23 ft
10:05.0,,,58-68,,Offensive rebound by A. Johnson
9:58.0,,,58-68,,I. Thomas misses 2-pt shot at rim
9:58.0,,,58-68,,Offensive rebound by A. Johnson
9:58.0,,,58-68,,A. Johnson misses 2-pt shot at rim
9:56.0,Defensive rebound by A. Aminu,,58-68,,
9:51.0,Shooting foul by A. Bradley (drawn by M. Plumlee),,58-68,,
9:51.0,M. Plumlee misses free throw 1 of 2,,58-68,,
9:51.0,Offensive rebound by Team,,58-68,,
9:51.0,M. Plumlee makes free throw 2 of 2,1,59-68,,
9:40.0,,,59-68,,A. Johnson misses 2-pt shot from 3 ft (block by C. McCollum)
9:39.0,,,59-68,,Offensive rebound by A. Johnson
9:37.0,,,59-68,,A. Johnson misses 2-pt shot at rim
9:37.0,,,59-68,,Offensive rebound by J. Sullinger
9:37.0,,,59-70,2,J. Sullinger makes 2-pt shot at rim
9:37.0,Portland full timeout,,59-70,,
9:20.0,C. McCollum misses 2-pt shot from 3 ft,,59-70,,
9:19.0,Offensive rebound by N. Vonleh,,59-70,,
9:19.0,N. Vonleh misses 2-pt shot from 1 ft,,59-70,,
9:18.0,,,59-70,,Defensive rebound by I. Thomas
9:13.0,,,59-70,,A. Bradley misses 3-pt shot from 24 ft
9:12.0,,,59-70,,Offensive rebound by A. Johnson
9:12.0,,,59-72,2,A. Johnson makes 2-pt shot at rim
8:53.0,D. Lillard misses 3-pt shot from 26 ft,,59-72,,
8:52.0,,,59-72,,Defensive rebound by J. Sullinger
8:31.0,,,59-74,2,J. Sullinger makes 2-pt shot at rim
8:08.0,C. McCollum misses 3-pt shot from 25 ft,,59-74,,
8:06.0,,,59-74,,Defensive rebound by J. Crowder
8:04.0,Personal take foul by C. McCollum (drawn by I. Thomas),,59-74,,
8:04.0,M. Leonard enters the game for N. Vonleh,,59-74,,
7:49.0,Personal foul by M. Leonard (drawn by I. Thomas),,59-74,,
7:45.0,,,59-74,,J. Crowder misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by D. Lillard,,59-74,,
7:36.0,,,59-74,,Personal block foul by J. Sullinger (drawn by D. Lillard)
7:29.0,D. Lillard misses 2-pt shot from 5 ft,,59-74,,
7:28.0,,,59-74,,Defensive rebound by J. Sullinger
7:22.0,,,59-77,3,I. Thomas makes 3-pt shot from 24 ft
6:52.0,M. Plumlee makes 2-pt shot at rim (assist by A. Aminu),2,61-77,,
6:42.0,,,61-77,,I. Thomas misses 3-pt shot from 26 ft
6:41.0,Defensive rebound by A. Aminu,,61-77,,
6:28.0,C. McCollum misses 2-pt shot at rim,,61-77,,
6:26.0,,,61-77,,Defensive rebound by J. Crowder
6:13.0,,,61-77,,J. Crowder misses 3-pt shot from 26 ft
6:12.0,Defensive rebound by M. Plumlee,,61-77,,
6:02.0,D. Lillard misses 2-pt shot from 1 ft (block by A. Johnson),,61-77,,
6:01.0,,,61-77,,Defensive rebound by A. Bradley
5:57.0,,,61-79,2,A. Bradley makes 2-pt shot from 18 ft
5:57.0,Portland full timeout,,61-79,,
5:57.0,A. Crabbe enters the game for A. Aminu,,61-79,,
5:40.0,Turnover by C. McCollum (lost ball; steal by A. Bradley),,61-79,,
5:39.0,,,61-79,,Shooting foul by M. Plumlee (drawn by A. Bradley)
5:39.0,,,61-80,1,A. Bradley makes free throw 1 of 2
5:39.0,,,61-81,1,A. Bradley makes free throw 2 of 2
5:19.0,C. McCollum misses 2-pt shot from 19 ft,,61-81,,
5:19.0,,,61-81,,Defensive rebound by J. Crowder
4:56.0,,,61-81,,J. Sullinger misses 2-pt shot from 11 ft
4:54.0,Defensive rebound by A. Crabbe,,61-81,,
4:46.0,Turnover by D. Lillard (bad pass; steal by A. Bradley),,61-81,,
4:40.0,,,61-83,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Bradley)
4:16.0,M. Leonard misses 3-pt shot from 25 ft,,61-83,,
4:16.0,,,61-83,,Defensive rebound by J. Sullinger
4:05.0,E. Davis enters the game for M. Plumlee,,61-83,,
4:05.0,,,61-83,,E. Turner enters the game for I. Thomas
4:05.0,,,61-83,,M. Smart enters the game for A. Johnson
4:05.0,Jump ball: C. McCollum vs. J. Sullinger (E. Turner gains possession),,,,Jump ball: C. McCollum vs. J. Sullinger (E. Turner gains possession)
3:58.0,,,61-83,,M. Smart misses 3-pt shot from 23 ft
3:57.0,Defensive rebound by A. Crabbe,,61-83,,
3:38.0,M. Leonard misses 2-pt shot from 13 ft,,61-83,,
3:37.0,,,61-83,,Defensive rebound by J. Sullinger
3:32.0,,,61-85,2,A. Bradley makes 2-pt shot from 1 ft (assist by J. Sullinger)
3:18.0,D. Lillard makes 2-pt shot from 7 ft,2,63-85,,
3:06.0,,,63-85,,E. Turner misses 2-pt shot from 17 ft
3:05.0,Defensive rebound by M. Leonard,,63-85,,
2:57.0,D. Lillard misses 3-pt shot from 28 ft,,63-85,,
2:56.0,,,63-85,,Defensive rebound by J. Crowder
2:44.0,,,63-85,,Shooting foul by C. McCollum (drawn by J. Crowder)
2:44.0,,,63-86,1,J. Crowder makes free throw 1 of 2
2:44.0,,,63-86,,T. Zeller enters the game for J. Sullinger
2:44.0,,,63-87,1,J. Crowder makes free throw 2 of 2
2:22.0,Turnover by M. Leonard (bad pass),,63-87,,
2:11.0,,,63-89,2,A. Bradley makes 2-pt shot from 20 ft (assist by T. Zeller)
1:47.0,C. McCollum misses 2-pt shot from 7 ft,,63-89,,
1:46.0,,,63-89,,Defensive rebound by E. Turner
1:41.0,,,63-89,,Boston full timeout
1:41.0,M. Harkless enters the game for E. Davis,,63-89,,
1:28.0,,,63-89,,M. Smart misses 2-pt shot from 7 ft
1:27.0,Defensive rebound by M. Leonard,,63-89,,
1:11.0,M. Harkless makes 2-pt shot from 7 ft,2,65-89,,
1:00.0,,,65-91,2,T. Zeller makes 2-pt shot from 20 ft (assist by J. Crowder)
0:50.0,,,65-91,,Personal foul by A. Bradley (drawn by D. Lillard)
0:46.0,A. Crabbe makes 2-pt shot at rim (assist by M. Leonard),2,67-91,,
0:29.0,,,67-91,,A. Bradley misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by M. Leonard,,67-91,,
0:18.0,A. Crabbe misses 3-pt shot from 25 ft,,67-91,,
0:17.0,,,67-91,,Defensive rebound by J. Crowder
0:01.0,,,67-91,,M. Smart misses 3-pt shot from 25 ft
0:00.0,,,67-91,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by M. Leonard (offensive foul),,67-91,,
11:47.0,Offensive foul by M. Leonard,,67-91,,
11:32.0,,,67-91,,I. Thomas misses 2-pt shot from 4 ft (block by D. Lillard)
11:31.0,,,67-91,,Offensive rebound by I. Thomas
11:25.0,,,67-91,,J. Jerebko misses 3-pt shot from 23 ft
11:24.0,Defensive rebound by M. Leonard,,67-91,,
11:14.0,M. Harkless misses 2-pt shot from 5 ft (block by J. Jerebko),,67-91,,
11:13.0,Offensive rebound by M. Harkless,,67-91,,
11:09.0,M. Harkless makes 3-pt shot from 24 ft,3,70-91,,
10:50.0,,,70-91,,Shooting foul by M. Harkless (drawn by J. Jerebko)
10:50.0,,,70-92,1,J. Jerebko makes free throw 1 of 2
10:50.0,,,70-93,1,J. Jerebko makes free throw 2 of 2
10:34.0,M. Leonard misses 2-pt shot from 18 ft,,70-93,,
10:33.0,,,70-93,,Defensive rebound by M. Smart
10:21.0,,,70-95,2,M. Smart makes 2-pt shot at rim (assist by E. Turner)
10:02.0,D. Lillard makes 3-pt shot from 27 ft (assist by M. Leonard),3,73-95,,
9:44.0,,,73-97,2,I. Thomas makes 2-pt shot from 1 ft
9:29.0,A. Crabbe misses 2-pt shot from 15 ft,,73-97,,
9:28.0,Offensive rebound by A. Crabbe,,73-97,,
9:25.0,M. Harkless misses 3-pt shot from 25 ft,,73-97,,
9:24.0,,,73-97,,Defensive rebound by M. Smart
9:15.0,,,73-97,,J. Jerebko misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by M. Leonard,,73-97,,
9:06.0,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard),3,76-97,,
8:45.0,,,76-99,2,J. Jerebko makes 2-pt shot at rim (assist by E. Turner)
8:17.0,M. Leonard makes 2-pt shot from 6 ft,2,78-99,,
7:58.0,,,78-99,,J. Jerebko misses 2-pt shot at rim
7:57.0,Defensive rebound by M. Leonard,,78-99,,
7:54.0,Turnover by M. Leonard (bad pass; steal by E. Turner),,78-99,,
7:45.0,,,78-101,2,E. Turner makes 2-pt shot from 2 ft
7:45.0,Portland full timeout,,78-101,,
7:45.0,B. Roberts enters the game for C. McCollum,,78-101,,
7:45.0,N. Vonleh enters the game for D. Lillard,,78-101,,
7:45.0,P. Connaughton enters the game for M. Leonard,,78-101,,
7:31.0,N. Vonleh misses 2-pt shot from 17 ft,,78-101,,
7:30.0,,,78-101,,Defensive rebound by M. Smart
7:28.0,,,78-103,2,I. Thomas makes 2-pt shot from 1 ft (assist by M. Smart)
7:28.0,,,78-103,,Shooting foul by N. Vonleh (drawn by I. Thomas)
7:28.0,,,78-104,1,I. Thomas makes free throw 1 of 1
7:13.0,A. Crabbe misses 3-pt shot from 25 ft,,78-104,,
7:12.0,,,78-104,,Defensive rebound by T. Zeller
6:57.0,,,78-104,,Turnover by E. Turner (bad pass; steal by N. Vonleh)
6:50.0,B. Roberts makes 2-pt shot from 8 ft,2,80-104,,
6:35.0,,,80-104,,T. Zeller misses 2-pt shot from 19 ft
6:34.0,Defensive rebound by M. Harkless,,80-104,,
6:18.0,N. Vonleh misses 2-pt shot at rim,,80-104,,
6:17.0,,,80-104,,Defensive rebound by T. Zeller
6:09.0,,,80-104,,I. Thomas misses 2-pt shot from 2 ft
6:09.0,Defensive rebound by Team,,80-104,,
6:09.0,,,80-104,,Loose ball foul by I. Thomas (drawn by N. Vonleh)
6:09.0,Technical foul by N. Vonleh,,80-104,,
6:09.0,,,80-105,1,I. Thomas makes technical free throw
6:09.0,,,80-105,,T. Rozier enters the game for I. Thomas
6:00.0,,,80-105,,Shooting block foul by J. Jerebko (drawn by P. Connaughton)
6:00.0,P. Connaughton makes free throw 1 of 2,1,81-105,,
6:00.0,P. Connaughton makes free throw 2 of 2,1,82-105,,
5:50.0,,,82-105,,T. Rozier misses 2-pt shot from 2 ft
5:49.0,,,82-105,,Offensive rebound by T. Rozier
5:49.0,,,82-105,,T. Rozier misses 2-pt shot from 2 ft
5:48.0,,,82-105,,Offensive rebound by T. Zeller
5:48.0,,,82-107,2,T. Zeller makes 2-pt shot at rim
