time,Orlando,pts.away,score,pts.home,Philadelphia
6:54.0,Defensive rebound by D. Dedmon,,36-29,,
6:39.0,,,36-29,,Personal foul by T. McConnell (drawn by E. Fournier)
6:39.0,,,36-29,,I. Canaan enters the game for H. Thompson
6:26.0,A. Gordon misses 3-pt shot from 24 ft,,36-29,,
6:25.0,,,36-29,,Defensive rebound by T. McConnell
6:20.0,,,36-32,3,I. Canaan makes 3-pt shot from 25 ft (assist by T. McConnell)
6:11.0,Jump ball: T. McConnell vs. E. Payton (E. Fournier gains possession),,,,Jump ball: T. McConnell vs. E. Payton (E. Fournier gains possession)
6:01.0,E. Fournier misses 2-pt shot from 3 ft,,36-32,,
5:59.0,,,36-32,,Defensive rebound by N. Stauskas
5:54.0,,,36-35,3,N. Stauskas makes 3-pt shot from 26 ft (assist by T. McConnell)
5:44.0,D. Dedmon misses 2-pt shot from 1 ft (block by N. Stauskas),,36-35,,
5:42.0,,,36-35,,Defensive rebound by T. McConnell
5:32.0,,,36-38,3,I. Canaan makes 3-pt shot from 26 ft (assist by N. Stauskas)
5:09.0,V. Oladipo misses 2-pt shot from 3 ft (block by I. Canaan),,36-38,,
5:09.0,Offensive rebound by Team,,36-38,,
5:09.0,,,36-38,,Philadelphia full timeout
5:03.0,E. Payton makes 2-pt shot from 11 ft,2,38-38,,
4:36.0,,,38-38,,N. Stauskas misses 3-pt shot from 24 ft
4:34.0,Defensive rebound by E. Payton,,38-38,,
4:28.0,V. Oladipo misses 3-pt shot from 25 ft,,38-38,,
4:25.0,Offensive rebound by A. Gordon,,38-38,,
4:22.0,D. Dedmon misses 2-pt shot from 5 ft (block by N. Noel),,38-38,,
4:20.0,Offensive rebound by D. Dedmon,,38-38,,
4:18.0,D. Dedmon makes 2-pt shot from 4 ft,2,40-38,,
3:56.0,,,40-38,,I. Canaan misses 3-pt shot from 23 ft
3:55.0,,,40-38,,Offensive rebound by R. Holmes
3:53.0,,,40-38,,I. Canaan misses 2-pt shot from 1 ft
3:50.0,,,40-38,,Offensive rebound by R. Holmes
3:50.0,,,40-40,2,R. Holmes makes 2-pt shot at rim
3:29.0,V. Oladipo misses 2-pt shot from 1 ft,,40-40,,
3:27.0,,,40-40,,Defensive rebound by R. Holmes
3:16.0,,,40-40,,Turnover by T. McConnell (bad pass; steal by D. Dedmon)
