time,Houston,pts.away,score,pts.home,Orlando
9:38.0,,,38-37,2,A. Gordon makes 2-pt shot at rim
9:26.0,D. Howard misses 2-pt shot from 1 ft,,38-37,,
9:24.0,,,38-37,,Defensive rebound by V. Oladipo
9:20.0,,,38-39,2,A. Gordon makes 2-pt shot at rim (assist by V. Oladipo)
9:06.0,Turnover by D. Motiejunas (bad pass),,38-39,,
8:49.0,,,38-39,,A. Gordon misses 2-pt shot from 6 ft
8:48.0,Defensive rebound by D. Howard,,38-39,,
8:41.0,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas),2,40-39,,
8:32.0,,,40-39,,Orlando full timeout
8:17.0,,,40-41,2,A. Gordon makes 2-pt shot from 7 ft
7:53.0,D. Motiejunas makes 2-pt shot from 7 ft,2,42-41,,
7:37.0,,,42-41,,J. Smith misses 2-pt shot from 19 ft
7:36.0,Defensive rebound by D. Howard,,42-41,,
7:29.0,D. Howard makes 2-pt shot at rim (assist by T. Lawson),2,44-41,,
7:12.0,,,44-41,,Turnover by A. Nicholson (bad pass; steal by D. Howard)
7:09.0,Turnover by D. Howard (lost ball; steal by M. Hezonja),,44-41,,
7:03.0,,,44-41,,A. Nicholson misses 3-pt shot from 25 ft
7:02.0,,,44-41,,Offensive rebound by M. Hezonja
6:47.0,,,44-41,,A. Nicholson misses 2-pt shot from 7 ft
6:45.0,,,44-41,,Offensive rebound by V. Oladipo
6:43.0,,,44-43,2,A. Gordon makes 2-pt shot from 1 ft (assist by V. Oladipo)
6:37.0,,,44-43,,N. Vucevic enters the game for A. Nicholson
6:37.0,T. Ariza enters the game for T. Lawson,,44-43,,
6:37.0,J. Harden enters the game for C. Brewer,,44-43,,
6:37.0,P. Beverley enters the game for M. Thornton,,44-43,,
6:37.0,,,44-43,,C. Frye enters the game for J. Smith
6:19.0,P. Beverley misses 3-pt shot from 25 ft,,44-43,,
6:17.0,,,44-43,,Defensive rebound by V. Oladipo
5:56.0,,,44-43,,N. Vucevic misses 2-pt shot from 17 ft
5:56.0,,,44-43,,Offensive rebound by A. Gordon
5:56.0,,,44-43,,A. Gordon misses 2-pt shot from 1 ft
5:53.0,Defensive rebound by T. Ariza,,44-43,,
5:46.0,P. Beverley misses 2-pt shot from 8 ft,,44-43,,
5:45.0,Offensive rebound by D. Howard,,44-43,,
5:45.0,D. Howard makes 2-pt shot at rim,2,46-43,,
5:25.0,,,46-43,,A. Gordon misses 2-pt shot from 10 ft
5:24.0,Defensive rebound by D. Motiejunas,,46-43,,
5:11.0,P. Beverley misses 3-pt shot from 25 ft,,46-43,,
5:10.0,,,46-43,,Defensive rebound by C. Frye
4:52.0,,,46-46,3,A. Gordon makes 3-pt shot from 25 ft (assist by C. Frye)
4:34.0,Turnover by D. Howard (lost ball; steal by A. Gordon),,46-46,,
4:29.0,,,46-48,2,M. Hezonja makes 2-pt shot at rim (assist by V. Oladipo)
4:19.0,Houston full timeout,,46-48,,
4:19.0,,,46-48,,E. Fournier enters the game for M. Hezonja
4:19.0,,,46-48,,T. Harris enters the game for A. Gordon
4:19.0,C. Capela enters the game for D. Howard,,46-48,,
4:19.0,T. Jones enters the game for D. Motiejunas,,46-48,,
4:05.0,T. Ariza misses 3-pt shot from 23 ft,,46-48,,
4:04.0,,,46-48,,Defensive rebound by N. Vucevic
3:43.0,,,46-51,3,C. Frye makes 3-pt shot from 26 ft (assist by N. Vucevic)
3:18.0,T. Jones makes 2-pt shot from 1 ft,2,48-51,,
3:01.0,,,48-54,3,E. Fournier makes 3-pt shot from 24 ft
2:42.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,50-54,,
2:24.0,,,50-54,,N. Vucevic misses 2-pt shot from 2 ft
2:22.0,,,50-54,,Offensive rebound by N. Vucevic
2:22.0,,,50-56,2,N. Vucevic makes 2-pt shot from 1 ft
2:04.0,T. Jones misses 2-pt shot from 3 ft,,50-56,,
2:03.0,,,50-56,,Defensive rebound by C. Frye
1:57.0,,,50-59,3,E. Fournier makes 3-pt shot from 24 ft (assist by V. Oladipo)
1:53.0,,,50-59,,Violation by Team (delay of game)
1:39.0,,,50-59,,Personal foul by E. Fournier (drawn by J. Harden)
1:39.0,Official timeout,,50-59,,
1:39.0,D. Howard enters the game for C. Capela,,50-59,,
1:22.0,P. Beverley misses 2-pt shot from 17 ft,,50-59,,
1:21.0,,,50-59,,Defensive rebound by T. Harris
1:04.0,,,50-59,,V. Oladipo misses 2-pt shot from 11 ft
1:03.0,Defensive rebound by T. Jones,,50-59,,
0:56.0,Offensive foul by J. Harden,,50-59,,
0:56.0,Turnover by J. Harden (offensive foul),,50-59,,
0:43.0,,,50-59,,E. Fournier misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by T. Ariza,,50-59,,
0:33.0,P. Beverley makes 3-pt shot from 22 ft (assist by T. Ariza),3,53-59,,
0:24.0,Personal foul by P. Beverley (drawn by V. Oladipo),,53-59,,
0:11.0,,,53-59,,V. Oladipo misses 2-pt shot at rim
0:09.0,Defensive rebound by D. Howard,,53-59,,
0:04.0,P. Beverley misses 2-pt shot from 2 ft,,53-59,,
0:04.0,Offensive rebound by T. Jones,,53-59,,
0:04.0,T. Jones misses 2-pt shot at rim,,53-59,,
0:03.0,,,53-59,,Defensive rebound by T. Harris
0:00.0,,,53-59,,V. Oladipo misses 3-pt shot from 27 ft
0:00.0,,,53-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,53-59,,E. Payton misses 2-pt shot from 3 ft (block by D. Howard)
11:42.0,Defensive rebound by T. Ariza,,53-59,,
11:33.0,P. Beverley misses 3-pt shot from 24 ft,,53-59,,
11:30.0,,,53-59,,Defensive rebound by E. Fournier
11:10.0,,,53-61,2,N. Vucevic makes 2-pt shot from 16 ft
10:44.0,J. Harden misses 3-pt shot from 24 ft,,53-61,,
10:43.0,,,53-61,,Defensive rebound by C. Frye
10:42.0,,,53-61,,Turnover by E. Payton (lost ball)
10:37.0,,,53-61,,Personal foul by E. Fournier (drawn by C. Capela)
10:26.0,D. Howard misses 2-pt shot from 5 ft,,53-61,,
10:24.0,,,53-61,,Defensive rebound by C. Frye
10:09.0,,,53-63,2,C. Frye makes 2-pt shot from 20 ft (assist by E. Payton)
9:55.0,J. Harden misses 2-pt shot from 3 ft (block by T. Harris),,53-63,,
9:55.0,Offensive rebound by Team,,53-63,,
9:48.0,Turnover by C. Capela (3 sec),,53-63,,
9:38.0,,,53-65,2,E. Fournier makes 2-pt shot from 2 ft (assist by C. Frye)
9:34.0,Houston full timeout,,53-65,,
9:34.0,M. Thornton enters the game for C. Capela,,53-65,,
9:22.0,T. Ariza misses 3-pt shot from 25 ft,,53-65,,
9:21.0,Offensive rebound by D. Howard,,53-65,,
9:18.0,T. Ariza makes 2-pt shot at rim (assist by D. Howard),2,55-65,,
8:58.0,,,55-67,2,T. Harris makes 2-pt shot from 1 ft (assist by E. Payton)
8:36.0,T. Ariza makes 2-pt shot from 18 ft,2,57-67,,
8:05.0,,,57-67,,T. Harris misses 2-pt shot from 9 ft
8:04.0,,,57-67,,Offensive rebound by T. Harris
7:57.0,,,57-67,,Turnover by T. Harris (bad pass)
7:46.0,J. Harden makes 2-pt shot from 18 ft,2,59-67,,
7:19.0,,,59-69,2,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier)
7:08.0,J. Harden makes 2-pt shot from 13 ft,2,61-69,,
6:43.0,,,61-69,,N. Vucevic misses 2-pt shot from 12 ft (block by T. Ariza)
6:41.0,Defensive rebound by M. Thornton,,61-69,,
6:31.0,J. Harden makes 2-pt shot from 14 ft,2,63-69,,
6:31.0,,,63-69,,Orlando full timeout
6:31.0,,,63-69,,V. Oladipo enters the game for C. Frye
6:12.0,,,63-69,,E. Payton misses 2-pt shot from 9 ft (block by P. Beverley)
6:11.0,Defensive rebound by J. Harden,,63-69,,
6:07.0,J. Harden makes 2-pt shot from 1 ft,2,65-69,,
5:50.0,,,65-71,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
5:28.0,M. Thornton misses 2-pt shot from 4 ft,,65-71,,
5:26.0,,,65-71,,Defensive rebound by E. Fournier
5:22.0,,,65-71,,V. Oladipo misses 2-pt shot from 1 ft
5:20.0,,,65-71,,Offensive rebound by T. Harris
5:20.0,,,65-73,2,T. Harris makes 2-pt shot at rim
4:55.0,Shooting foul by N. Vucevic (drawn by M. Thornton),,65-73,,
4:55.0,M. Thornton makes free throw 1 of 2,1,66-73,,
4:55.0,T. Lawson enters the game for P. Beverley,,66-73,,
4:55.0,M. Thornton makes free throw 2 of 2,1,67-73,,
4:34.0,,,67-73,,Turnover by E. Fournier (traveling)
4:17.0,T. Ariza misses 2-pt shot from 12 ft,,67-73,,
4:15.0,,,67-73,,Defensive rebound by T. Harris
3:56.0,,,67-75,2,E. Payton makes 2-pt shot at rim
3:45.0,D. Howard makes 2-pt shot at rim (assist by T. Lawson),2,69-75,,
3:26.0,,,69-77,2,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Fournier)
3:19.0,Turnover by J. Harden (bad pass; steal by E. Fournier),,69-77,,
3:17.0,Shooting block foul by T. Ariza (drawn by E. Fournier),,69-77,,
3:17.0,,,69-78,1,E. Fournier makes free throw 1 of 2
3:17.0,C. Capela enters the game for D. Howard,,69-78,,
3:17.0,C. Brewer enters the game for T. Ariza,,69-78,,
3:17.0,,,69-79,1,E. Fournier makes free throw 2 of 2
3:05.0,M. Thornton misses 3-pt shot from 22 ft,,69-79,,
3:04.0,,,69-79,,Defensive rebound by V. Oladipo
2:52.0,,,69-81,2,T. Harris makes 2-pt shot from 1 ft (assist by N. Vucevic)
2:38.0,J. Harden misses 2-pt shot from 4 ft,,69-81,,
2:38.0,,,69-81,,Defensive rebound by T. Harris
2:38.0,Personal take foul by T. Lawson (drawn by T. Harris),,69-81,,
2:22.0,,,69-81,,Turnover by T. Harris (3 sec)
2:22.0,T. Ariza enters the game for J. Harden,,69-81,,
2:13.0,T. Ariza misses 3-pt shot from 24 ft,,69-81,,
2:12.0,,,69-81,,Defensive rebound by N. Vucevic
1:59.0,,,69-81,,V. Oladipo misses 3-pt shot from 27 ft
1:58.0,Defensive rebound by C. Capela,,69-81,,
1:43.0,M. Thornton makes 3-pt shot from 25 ft (assist by T. Lawson),3,72-81,,
1:27.0,,,72-83,2,E. Payton makes 2-pt shot from 1 ft
1:11.0,C. Capela makes 2-pt shot at rim (assist by M. Thornton),2,74-83,,
0:55.0,,,74-85,2,E. Payton makes 2-pt shot from 1 ft
0:46.0,T. Ariza misses 2-pt shot at rim,,74-85,,
0:44.0,,,74-85,,Defensive rebound by E. Fournier
0:44.0,Personal foul by M. Thornton (drawn by E. Fournier),,74-85,,
0:44.0,,,74-85,,J. Smith enters the game for N. Vucevic
0:44.0,,,74-85,,M. Hezonja enters the game for E. Payton
0:31.0,,,74-87,2,J. Smith makes 2-pt shot from 1 ft (assist by E. Fournier)
0:24.0,C. Brewer misses 3-pt shot from 25 ft,,74-87,,
0:22.0,,,74-87,,Defensive rebound by V. Oladipo
0:00.0,,,74-87,,V. Oladipo misses 2-pt shot from 7 ft
0:00.0,,,74-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,M. Thornton misses 3-pt shot from 22 ft,,74-87,,
11:37.0,,,74-87,,Defensive rebound by M. Hezonja
11:25.0,,,74-87,,E. Fournier misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by T. Ariza,,74-87,,
11:16.0,Shooting foul by A. Gordon (drawn by J. Harden),,74-87,,
11:16.0,J. Harden makes free throw 1 of 2,1,75-87,,
11:16.0,J. Harden misses free throw 2 of 2,,75-87,,
11:15.0,,,75-87,,Defensive rebound by J. Smith
10:54.0,,,75-89,2,J. Smith makes 2-pt shot from 18 ft (assist by E. Fournier)
10:40.0,M. Thornton misses 2-pt shot from 16 ft,,75-89,,
10:38.0,Offensive rebound by T. Ariza,,75-89,,
10:38.0,T. Ariza makes 2-pt shot from 1 ft,2,77-89,,
10:15.0,,,77-89,,J. Smith misses 2-pt shot from 1 ft (block by D. Howard)
10:15.0,Jump ball: D. Howard vs. J. Smith (J. Harden gains possession),,,,Jump ball: D. Howard vs. J. Smith (J. Harden gains possession)
10:15.0,Defensive rebound by Team,,77-89,,
10:01.0,M. Thornton misses 3-pt shot from 25 ft,,77-89,,
9:59.0,,,77-89,,Defensive rebound by M. Hezonja
9:38.0,,,77-89,,V. Oladipo misses 2-pt shot from 17 ft
9:37.0,Defensive rebound by T. Lawson,,77-89,,
9:30.0,J. Harden misses 2-pt shot from 3 ft (block by J. Smith),,77-89,,
9:27.0,,,77-89,,Defensive rebound by A. Gordon
9:24.0,,,77-89,,Turnover by M. Hezonja (bad pass; steal by M. Thornton)
9:14.0,Shooting foul by V. Oladipo (drawn by T. Lawson),,77-89,,
9:14.0,T. Lawson makes free throw 1 of 2,1,78-89,,
9:14.0,T. Lawson makes free throw 2 of 2,1,79-89,,
8:58.0,,,79-89,,J. Smith misses 2-pt shot from 19 ft
8:57.0,Defensive rebound by T. Ariza,,79-89,,
8:47.0,Official timeout,,79-89,,
8:47.0,P. Beverley enters the game for M. Thornton,,79-89,,
8:47.0,,,79-89,,E. Payton enters the game for V. Oladipo
8:37.0,J. Harden makes 3-pt shot from 26 ft,3,82-89,,
8:20.0,,,82-89,,J. Smith misses 2-pt shot from 14 ft
8:19.0,Defensive rebound by P. Beverley,,82-89,,
8:07.0,J. Harden makes 2-pt shot from 1 ft,2,84-89,,
7:53.0,,,84-89,,Offensive charge foul by J. Smith
7:53.0,,,84-89,,Turnover by J. Smith (offensive foul)
7:53.0,,,84-89,,N. Vucevic enters the game for A. Gordon
7:53.0,,,84-89,,T. Harris enters the game for J. Smith
7:45.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,86-89,,
7:27.0,Personal foul by T. Ariza (drawn by T. Harris),,86-89,,
7:14.0,,,86-89,,N. Vucevic misses 2-pt shot from 14 ft
7:12.0,,,86-89,,Offensive rebound by M. Hezonja
7:12.0,,,86-89,,Turnover by Team (shot clock)
6:59.0,T. Lawson makes 2-pt shot from 17 ft,2,88-89,,
6:42.0,Personal foul by D. Howard (drawn by N. Vucevic),,88-89,,
6:35.0,,,88-91,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton)
6:20.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,90-91,,
6:10.0,,,90-94,3,T. Harris makes 3-pt shot from 24 ft (assist by E. Payton)
5:53.0,T. Lawson makes 2-pt shot from 4 ft,2,92-94,,
5:31.0,,,92-96,2,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Payton)
5:07.0,T. Lawson makes 3-pt shot from 26 ft (assist by J. Harden),3,95-96,,
5:06.0,,,95-96,,Orlando full timeout
4:40.0,,,95-98,2,N. Vucevic makes 2-pt shot from 4 ft (assist by T. Harris)
4:24.0,,,95-98,,Personal foul by E. Fournier (drawn by J. Harden)
4:24.0,,,95-98,,V. Oladipo enters the game for M. Hezonja
4:15.0,D. Howard misses 2-pt shot from 1 ft (block by N. Vucevic),,95-98,,
4:13.0,,,95-98,,Defensive rebound by E. Fournier
4:10.0,,,95-98,,Turnover by E. Fournier (bad pass; steal by J. Harden)
3:56.0,T. Ariza misses 3-pt shot from 25 ft,,95-98,,
3:54.0,,,95-98,,Defensive rebound by N. Vucevic
3:39.0,,,95-98,,Turnover by E. Payton (lost ball; steal by T. Ariza)
3:24.0,J. Harden makes 2-pt shot from 1 ft,2,97-98,,
3:09.0,,,97-98,,Offensive foul by N. Vucevic
3:09.0,,,97-98,,Turnover by N. Vucevic (offensive foul)
3:09.0,Houston full timeout,,97-98,,
2:47.0,J. Harden makes 2-pt shot from 18 ft,2,99-98,,
2:26.0,,,99-98,,E. Fournier misses 2-pt shot from 14 ft
2:24.0,Defensive rebound by D. Howard,,99-98,,
2:09.0,T. Lawson misses 3-pt shot from 25 ft,,99-98,,
2:08.0,,,99-98,,Defensive rebound by Team
1:43.0,,,99-98,,N. Vucevic misses 2-pt shot from 15 ft
1:42.0,Defensive rebound by T. Lawson,,99-98,,
1:23.0,Offensive foul by T. Lawson,,99-98,,
1:23.0,Turnover by T. Lawson (offensive foul),,99-98,,
1:13.0,,,99-100,2,E. Payton makes 2-pt shot from 1 ft
1:01.0,T. Ariza misses 3-pt shot from 24 ft,,99-100,,
1:00.0,,,99-100,,Defensive rebound by V. Oladipo
0:43.0,,,99-100,,E. Payton misses 2-pt shot from 1 ft (block by D. Howard)
0:43.0,Jump ball: D. Howard vs. E. Payton (J. Harden gains possession),,,,Jump ball: D. Howard vs. E. Payton (J. Harden gains possession)
0:43.0,Defensive rebound by Team,,99-100,,
0:27.0,Shooting foul by E. Fournier (drawn by P. Beverley),,99-100,,
0:27.0,P. Beverley makes free throw 1 of 2,1,100-100,,
0:27.0,P. Beverley makes free throw 2 of 2,1,101-100,,
0:27.0,,,101-100,,Orlando full timeout
0:14.0,,,101-102,2,E. Fournier makes 2-pt shot from 4 ft
0:14.0,Houston full timeout,,101-102,,
0:04.0,T. Ariza misses 3-pt shot from 23 ft,,101-102,,
0:01.0,,,101-102,,Defensive rebound by E. Payton
0:01.0,Personal take foul by T. Ariza (drawn by E. Payton),,101-102,,
0:01.0,,,101-102,,Orlando full timeout
0:01.0,Personal take foul by T. Lawson (drawn by T. Harris),,101-102,,
0:01.0,,,101-103,1,T. Harris makes free throw 1 of 2
0:01.0,C. Capela enters the game for T. Lawson,,101-103,,
0:01.0,,,101-104,1,T. Harris makes free throw 2 of 2
0:01.0,Houston full timeout,,101-104,,
0:01.0,M. Thornton enters the game for C. Capela,,101-104,,
0:00.0,M. Thornton misses 3-pt shot from 28 ft,,101-104,,
0:00.0,Offensive rebound by Team,,101-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
