time,Denver,pts.away,score,pts.home,Cleveland
6:55.0,Shooting foul by T. Mozgov (drawn by D. Arthur),,9-12,,
6:55.0,D. Arthur misses free throw 1 of 2,,9-12,,
6:55.0,Offensive rebound by Team,,9-12,,
6:55.0,D. Arthur misses free throw 2 of 2,,9-12,,
6:54.0,Offensive rebound by Team,,9-12,,
6:41.0,E. Mudiay misses 2-pt shot from 21 ft,,9-12,,
6:41.0,,,9-12,,Defensive rebound by Team
6:16.0,,,9-14,2,L. James makes 2-pt shot from 5 ft
5:57.0,N. Jokic misses 2-pt shot from 4 ft,,9-14,,
5:55.0,,,9-14,,Defensive rebound by C. Frye
5:50.0,,,9-14,,Turnover by K. Irving (lost ball; steal by N. Jokic)
5:44.0,G. Harris makes 2-pt shot from 1 ft (assist by D. Arthur),2,11-14,,
5:27.0,,,11-16,2,C. Frye makes 2-pt shot at rim (assist by K. Irving)
5:08.0,Turnover by E. Mudiay (bad pass),,11-16,,
5:08.0,,,11-16,,Cleveland full timeout
4:54.0,,,11-19,3,C. Frye makes 3-pt shot from 26 ft (assist by J. Smith)
4:44.0,Turnover by E. Mudiay (lost ball; steal by J. Smith),,11-19,,
4:44.0,Personal foul by E. Mudiay,,11-19,,
4:44.0,,,11-19,,T. Thompson enters the game for T. Mozgov
4:44.0,J. Nurkic enters the game for N. Jokic,,11-19,,
4:44.0,,,11-19,,M. Dellavedova enters the game for K. Irving
4:34.0,Personal foul by J. Sampson,,11-19,,
4:24.0,Def 3 sec tech foul by J. Nurkic,,11-19,,
4:24.0,,,11-20,1,M. Dellavedova makes technical free throw
4:11.0,,,11-22,2,L. James makes 2-pt shot at rim (assist by M. Dellavedova)
4:10.0,Denver full timeout,,11-22,,
3:50.0,J. Nurkic makes 2-pt shot from 8 ft,2,13-22,,
3:34.0,,,13-22,,Shooting foul by J. Nurkic (drawn by L. James)
3:34.0,,,13-23,1,L. James makes free throw 1 of 2
3:34.0,D. Augustin enters the game for E. Mudiay,,13-23,,
3:34.0,,,13-23,,J. Jones enters the game for C. Frye
3:34.0,,,13-23,,L. James misses free throw 2 of 2
3:33.0,Defensive rebound by J. Nurkic,,13-23,,
3:16.0,J. Sampson misses 2-pt shot from 11 ft,,13-23,,
3:15.0,,,13-23,,Defensive rebound by T. Thompson
3:04.0,,,13-23,,M. Dellavedova misses 2-pt shot at rim
3:02.0,,,13-23,,Offensive rebound by T. Thompson
2:58.0,,,13-26,3,M. Dellavedova makes 3-pt shot from 22 ft (assist by T. Thompson)
2:43.0,Shooting foul by T. Thompson (drawn by J. Nurkic),,13-26,,
2:43.0,J. Nurkic misses free throw 1 of 2,,13-26,,
2:43.0,Offensive rebound by Team,,13-26,,
2:43.0,J. Lauvergne enters the game for D. Arthur,,13-26,,
2:43.0,,,13-26,,I. Shumpert enters the game for J. Smith
2:43.0,J. Nurkic misses free throw 2 of 2,,13-26,,
2:42.0,,,13-26,,Defensive rebound by L. James
2:31.0,,,13-26,,Turnover by L. James (lost ball; steal by J. Nurkic)
2:18.0,J. Lauvergne misses 2-pt shot from 6 ft (block by J. Jones),,13-26,,
2:16.0,Offensive rebound by J. Lauvergne,,13-26,,
2:13.0,J. Sampson misses 2-pt shot from 2 ft (block by I. Shumpert),,13-26,,
2:11.0,,,13-26,,Defensive rebound by T. Thompson
2:02.0,,,13-28,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
1:51.0,D. Augustin misses 2-pt shot from 2 ft (block by T. Thompson),,13-28,,
1:51.0,,,13-28,,Defensive rebound by J. Jones
1:51.0,Clear path foul by G. Harris,,13-28,,
1:51.0,W. Barton enters the game for J. Sampson,,13-28,,
1:51.0,,,13-29,1,L. James makes clear path free throw 1 of 2
1:51.0,,,13-30,1,L. James makes clear path free throw 2 of 2
1:42.0,,,13-30,,L. James misses 2-pt shot from 2 ft
1:41.0,,,13-30,,Offensive rebound by L. James
1:38.0,,,13-32,2,L. James makes 2-pt shot at rim
1:15.0,D. Augustin misses 2-pt shot from 7 ft,,13-32,,
1:14.0,Offensive rebound by Team,,13-32,,
1:14.0,D. Arthur enters the game for G. Harris,,13-32,,
1:05.0,D. Augustin makes 2-pt shot from 5 ft,2,15-32,,
1:05.0,Shooting foul by M. Dellavedova (drawn by D. Augustin),,15-32,,
1:05.0,D. Augustin makes free throw 1 of 1,1,16-32,,
0:43.0,,,16-32,,T. Thompson misses 2-pt shot from 7 ft (block by J. Nurkic)
0:43.0,Defensive rebound by J. Lauvergne,,16-32,,
0:43.0,,,16-32,,Personal foul by I. Shumpert
0:43.0,J. Lauvergne makes free throw 1 of 2,1,17-32,,
0:43.0,J. Lauvergne makes free throw 2 of 2,1,18-32,,
0:37.0,,,18-34,2,L. James makes 2-pt shot at rim
0:37.0,,,18-34,,Shooting foul by D. Arthur (drawn by L. James)
0:37.0,,,18-35,1,L. James makes free throw 1 of 1
0:33.0,,,18-35,,Personal foul by I. Shumpert
0:33.0,W. Barton makes free throw 1 of 2,1,19-35,,
0:33.0,W. Barton makes free throw 2 of 2,1,20-35,,
0:17.0,,,20-38,3,L. James makes 3-pt shot from 24 ft (assist by M. Dellavedova)
0:00.0,D. Augustin makes 3-pt shot from 25 ft,3,23-38,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,W. Barton makes 2-pt shot from 16 ft (assist by J. Nurkic),2,25-38,,
11:23.0,,,25-41,3,R. Jefferson makes 3-pt shot from 24 ft (assist by I. Shumpert)
11:07.0,W. Barton misses 2-pt shot from 15 ft,,25-41,,
11:05.0,Offensive rebound by A. Toupane,,25-41,,
10:57.0,A. Toupane misses 3-pt shot from 24 ft,,25-41,,
10:56.0,Offensive rebound by W. Barton,,25-41,,
10:56.0,,,25-41,,Personal foul by K. Irving
10:49.0,Shooting foul by R. Jefferson (drawn by J. Nurkic),,25-41,,
10:49.0,J. Nurkic misses free throw 1 of 2,,25-41,,
10:49.0,Offensive rebound by Team,,25-41,,
10:49.0,J. Nurkic makes free throw 2 of 2,1,26-41,,
10:36.0,,,26-41,,Turnover by K. Irving (lost ball; steal by D. Augustin)
10:32.0,,,26-41,,Violation by R. Jefferson (kicked ball)
10:25.0,W. Barton makes 2-pt shot at rim,2,28-41,,
10:10.0,,,28-41,,K. Irving misses 2-pt shot from 2 ft (block by A. Toupane)
10:10.0,Defensive rebound by Team,,28-41,,
9:53.0,J. Lauvergne makes 2-pt shot at rim,2,30-41,,
9:39.0,,,30-41,,M. Dellavedova misses 3-pt shot from 23 ft
9:38.0,Defensive rebound by W. Barton,,30-41,,
9:30.0,J. Lauvergne misses 2-pt shot from 4 ft,,30-41,,
9:28.0,,,30-41,,Defensive rebound by T. Thompson
9:22.0,Personal foul by W. Barton,,30-41,,
9:07.0,,,30-41,,M. Dellavedova misses 2-pt shot from 7 ft
9:06.0,Defensive rebound by J. Nurkic,,30-41,,
9:02.0,,,30-41,,J. Smith enters the game for M. Dellavedova
8:53.0,Turnover by J. Nurkic (lost ball),,30-41,,
8:53.0,Official timeout,,30-41,,
8:39.0,,,30-41,,Turnover by R. Jefferson (step out of bounds)
8:30.0,Turnover by J. Nurkic (bad pass),,30-41,,
8:18.0,,,30-41,,K. Irving misses 2-pt shot from 6 ft (block by J. Nurkic)
8:17.0,Defensive rebound by D. Augustin,,30-41,,
8:10.0,W. Barton makes 2-pt shot at rim (assist by D. Augustin),2,32-41,,
7:53.0,,,32-41,,Turnover by R. Jefferson (lost ball; steal by W. Barton)
7:43.0,D. Augustin misses 3-pt shot from 24 ft,,32-41,,
7:43.0,,,32-41,,Defensive rebound by T. Thompson
7:29.0,,,32-41,,K. Irving misses 2-pt shot from 17 ft
7:29.0,Defensive rebound by J. Lauvergne,,32-41,,
7:20.0,Shooting foul by R. Jefferson (drawn by W. Barton),,32-41,,
7:20.0,W. Barton makes 2-pt shot from 11 ft,2,34-41,,
7:20.0,,,34-41,,M. Dellavedova enters the game for K. Irving
7:20.0,,,34-41,,C. Frye enters the game for I. Shumpert
7:20.0,W. Barton makes free throw 1 of 1,1,35-41,,
6:59.0,,,35-41,,C. Frye misses 3-pt shot from 25 ft
6:59.0,Defensive rebound by A. Toupane,,35-41,,
6:35.0,J. Nurkic makes 2-pt shot at rim (assist by D. Augustin),2,37-41,,
6:16.0,,,37-41,,J. Smith misses 2-pt shot from 18 ft
6:14.0,Defensive rebound by W. Barton,,37-41,,
6:04.0,J. Lauvergne misses 3-pt shot from 26 ft,,37-41,,
6:04.0,Offensive rebound by J. Nurkic,,37-41,,
6:03.0,J. Nurkic makes 2-pt shot at rim,2,39-41,,
6:01.0,,,39-41,,Cleveland full timeout
6:01.0,,,39-41,,L. James enters the game for R. Jefferson
5:43.0,,,39-41,,L. James misses 2-pt shot from 7 ft (block by J. Nurkic)
5:42.0,Defensive rebound by D. Augustin,,39-41,,
5:34.0,W. Barton makes 3-pt shot from 24 ft (assist by D. Augustin),3,42-41,,
5:16.0,,,42-41,,L. James misses 2-pt shot from 1 ft
5:13.0,Defensive rebound by W. Barton,,42-41,,
5:06.0,,,42-41,,Def 3 sec tech foul by C. Frye
5:06.0,W. Barton makes technical free throw,1,43-41,,
5:06.0,,,43-41,,T. Mozgov enters the game for T. Thompson
4:53.0,D. Augustin misses 2-pt shot from 8 ft,,43-41,,
4:52.0,Offensive rebound by Team,,43-41,,
4:52.0,Turnover by Team (shot clock),,43-41,,
4:41.0,,,43-41,,Shooting foul by A. Toupane (drawn by L. James)
4:41.0,,,43-41,,L. James misses free throw 1 of 2
4:41.0,,,43-41,,Offensive rebound by Team
4:41.0,,,43-42,1,L. James makes free throw 2 of 2
4:32.0,Turnover by W. Barton (lost ball; steal by T. Mozgov),,43-42,,
4:27.0,,,43-44,2,L. James makes 2-pt shot at rim (assist by J. Smith)
4:27.0,,,43-44,,Shooting foul by J. Nurkic (drawn by L. James)
4:27.0,,,43-45,1,L. James makes free throw 1 of 1
4:18.0,,,43-45,,Personal foul by M. Dellavedova
4:16.0,,,43-45,,Personal foul by J. Smith
4:16.0,W. Barton misses free throw 1 of 2,,43-45,,
4:16.0,Offensive rebound by Team,,43-45,,
4:16.0,W. Barton makes free throw 2 of 2,1,44-45,,
4:03.0,,,44-47,2,T. Mozgov makes 2-pt shot from 7 ft (assist by M. Dellavedova)
3:49.0,D. Augustin misses 2-pt shot from 21 ft,,44-47,,
3:48.0,,,44-47,,Defensive rebound by M. Dellavedova
3:44.0,,,44-49,2,J. Smith makes 2-pt shot at rim (assist by M. Dellavedova)
3:18.0,D. Augustin misses 2-pt shot at rim,,44-49,,
3:17.0,,,44-49,,Defensive rebound by L. James
3:11.0,N. Jokic enters the game for J. Nurkic,,44-49,,
3:00.0,,,44-49,,C. Frye misses 3-pt shot from 24 ft
2:59.0,Defensive rebound by A. Toupane,,44-49,,
2:51.0,Turnover by J. Lauvergne (lost ball; steal by J. Smith),,44-49,,
2:44.0,,,44-52,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by J. Smith)
2:43.0,Denver full timeout,,44-52,,
2:43.0,G. Harris enters the game for J. Lauvergne,,44-52,,
2:43.0,D. Arthur enters the game for A. Toupane,,44-52,,
2:20.0,G. Harris misses 3-pt shot from 28 ft,,44-52,,
2:19.0,,,44-52,,Defensive rebound by M. Dellavedova
2:15.0,,,44-52,,Turnover by L. James (lost ball; steal by G. Harris)
2:07.0,G. Harris misses 2-pt shot from 5 ft,,44-52,,
2:05.0,,,44-52,,Defensive rebound by M. Dellavedova
1:55.0,,,44-54,2,T. Mozgov makes 2-pt shot at rim (assist by C. Frye)
1:35.0,D. Arthur makes 2-pt shot from 14 ft (assist by N. Jokic),2,46-54,,
1:16.0,,,46-54,,J. Smith misses 3-pt shot from 26 ft
1:16.0,Defensive rebound by N. Jokic,,46-54,,
1:06.0,D. Arthur misses 3-pt shot from 26 ft,,46-54,,
1:06.0,,,46-54,,Defensive rebound by Team
1:05.0,,,46-54,,I. Shumpert enters the game for J. Smith
0:54.0,,,46-54,,Shooting foul by N. Jokic (drawn by T. Mozgov)
0:54.0,,,46-55,1,T. Mozgov makes free throw 1 of 2
0:54.0,,,46-55,,R. Jefferson enters the game for M. Dellavedova
0:54.0,,,46-56,1,T. Mozgov makes free throw 2 of 2
0:34.0,N. Jokic misses 2-pt shot from 8 ft,,46-56,,
0:32.0,Offensive rebound by D. Arthur,,46-56,,
0:24.0,N. Jokic misses 2-pt shot from 17 ft,,46-56,,
0:23.0,Offensive rebound by D. Arthur,,46-56,,
0:01.0,W. Barton makes 2-pt shot from 3 ft (assist by D. Augustin),2,48-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,J. Nurkic misses 2-pt shot from 19 ft,,48-56,,
11:36.0,,,48-56,,Defensive rebound by Team
11:18.0,,,48-56,,J. Smith misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by N. Jokic,,48-56,,
11:04.0,J. Nurkic makes 2-pt shot from 6 ft,2,50-56,,
10:55.0,,,50-56,,L. James misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by J. Nurkic,,50-56,,
10:48.0,,,50-56,,Violation by T. Mozgov (kicked ball)
10:39.0,N. Jokic misses 2-pt shot from 7 ft,,50-56,,
10:37.0,,,50-56,,Defensive rebound by T. Mozgov
10:29.0,,,50-56,,K. Irving misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by J. Nurkic,,50-56,,
10:15.0,Turnover by N. Jokic (lost ball; steal by J. Smith),,50-56,,
10:15.0,Personal foul by N. Jokic,,50-56,,
10:01.0,,,50-59,3,C. Frye makes 3-pt shot from 24 ft (assist by J. Smith)
9:47.0,Turnover by J. Nurkic (lost ball; steal by T. Mozgov),,50-59,,
9:40.0,,,50-61,2,L. James makes 2-pt shot at rim (assist by J. Smith)
9:14.0,E. Mudiay misses 2-pt shot from 15 ft,,50-61,,
9:14.0,,,50-61,,Defensive rebound by J. Smith
9:08.0,,,50-63,2,C. Frye makes 2-pt shot from 1 ft (assist by L. James)
9:08.0,Denver full timeout,,50-63,,
8:52.0,Turnover by N. Jokic (lost ball; steal by J. Smith),,50-63,,
8:38.0,Violation by J. Nurkic (kicked ball),,50-63,,
8:30.0,,,50-66,3,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving)
8:15.0,N. Jokic makes 2-pt shot at rim (assist by J. Nurkic),2,52-66,,
7:53.0,,,52-66,,C. Frye misses 3-pt shot from 24 ft
7:52.0,Defensive rebound by J. Nurkic,,52-66,,
7:44.0,J. Nurkic makes 2-pt shot from 20 ft (assist by E. Mudiay),2,54-66,,
7:23.0,,,54-66,,L. James misses 2-pt shot from 21 ft
7:23.0,Defensive rebound by D. Arthur,,54-66,,
7:17.0,Shooting foul by L. James (drawn by N. Jokic),,54-66,,
7:17.0,N. Jokic makes free throw 1 of 2,1,55-66,,
7:17.0,N. Jokic makes free throw 2 of 2,1,56-66,,
6:57.0,,,56-66,,J. Smith misses 2-pt shot from 7 ft
6:56.0,,,56-66,,Offensive rebound by J. Smith
6:42.0,,,56-66,,Shooting foul by J. Nurkic (drawn by C. Frye)
6:42.0,,,56-66,,C. Frye misses free throw 1 of 2
6:42.0,,,56-66,,Offensive rebound by Team
6:42.0,,,56-67,1,C. Frye makes free throw 2 of 2
6:24.0,N. Jokic makes 2-pt shot from 1 ft,2,58-67,,
6:24.0,Shooting foul by C. Frye (drawn by N. Jokic),,58-67,,
6:24.0,N. Jokic makes free throw 1 of 1,1,59-67,,
6:02.0,,,59-69,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
6:02.0,,,59-69,,Shooting foul by D. Arthur (drawn by T. Mozgov)
6:02.0,,,59-70,1,T. Mozgov makes free throw 1 of 1
5:44.0,J. Nurkic misses 2-pt shot from 20 ft,,59-70,,
5:43.0,,,59-70,,Defensive rebound by C. Frye
5:33.0,,,59-72,2,K. Irving makes 2-pt shot from 6 ft (assist by L. James)
5:20.0,G. Harris misses 3-pt shot from 25 ft,,59-72,,
5:20.0,,,59-72,,Defensive rebound by L. James
5:09.0,,,59-75,3,J. Smith makes 3-pt shot from 25 ft (assist by C. Frye)
5:09.0,Denver full timeout,,59-75,,
5:09.0,W. Barton enters the game for N. Jokic,,59-75,,
4:51.0,E. Mudiay misses 2-pt shot from 14 ft,,59-75,,
4:51.0,,,59-75,,Defensive rebound by L. James
4:46.0,,,59-75,,Turnover by L. James (lost ball; steal by W. Barton)
4:43.0,Shooting foul by C. Frye (drawn by E. Mudiay),,59-75,,
4:43.0,E. Mudiay makes free throw 1 of 2,1,60-75,,
4:43.0,E. Mudiay makes free throw 2 of 2,1,61-75,,
4:31.0,,,61-77,2,K. Irving makes 2-pt shot from 17 ft (assist by L. James)
4:13.0,D. Arthur misses 2-pt shot from 18 ft,,61-77,,
4:13.0,Offensive rebound by J. Nurkic,,61-77,,
4:07.0,E. Mudiay misses 3-pt shot from 25 ft,,61-77,,
4:06.0,,,61-77,,Defensive rebound by L. James
4:01.0,,,61-79,2,L. James makes 2-pt shot at rim
4:01.0,,,61-79,,Shooting foul by W. Barton (drawn by L. James)
4:01.0,J. Lauvergne enters the game for J. Nurkic,,61-79,,
4:01.0,,,61-80,1,L. James makes free throw 1 of 1
3:40.0,G. Harris misses 3-pt shot from 25 ft,,61-80,,
3:39.0,Offensive rebound by E. Mudiay,,61-80,,
3:35.0,W. Barton makes 3-pt shot from 25 ft (assist by E. Mudiay),3,64-80,,
3:28.0,,,64-80,,J. Smith misses 2-pt shot from 2 ft
3:25.0,Defensive rebound by E. Mudiay,,64-80,,
3:10.0,Turnover by W. Barton (lost ball),,64-80,,
3:10.0,,,64-80,,Cleveland full timeout
3:10.0,,,64-80,,T. Thompson enters the game for T. Mozgov
3:10.0,D. Augustin enters the game for G. Harris,,64-80,,
2:56.0,,,64-82,2,K. Irving makes 2-pt shot from 1 ft
2:40.0,Shooting foul by T. Thompson (drawn by D. Arthur),,64-82,,
2:40.0,D. Arthur makes free throw 1 of 2,1,65-82,,
2:40.0,,,65-82,,R. Jefferson enters the game for L. James
2:40.0,,,65-82,,I. Shumpert enters the game for C. Frye
2:40.0,D. Arthur makes free throw 2 of 2,1,66-82,,
2:29.0,,,66-82,,K. Irving misses 2-pt shot from 12 ft
2:28.0,Defensive rebound by J. Lauvergne,,66-82,,
2:18.0,W. Barton makes 3-pt shot from 26 ft,3,69-82,,
2:00.0,,,69-84,2,J. Smith makes 2-pt shot from 5 ft (assist by R. Jefferson)
1:44.0,J. Lauvergne makes 2-pt shot at rim (assist by W. Barton),2,71-84,,
1:44.0,Shooting foul by J. Smith (drawn by J. Lauvergne),,71-84,,
1:44.0,A. Toupane enters the game for D. Arthur,,71-84,,
1:44.0,J. Lauvergne makes free throw 1 of 1,1,72-84,,
1:31.0,,,72-87,3,I. Shumpert makes 3-pt shot from 25 ft (assist by K. Irving)
1:14.0,E. Mudiay misses 2-pt shot from 7 ft,,72-87,,
1:13.0,,,72-87,,Defensive rebound by J. Smith
1:04.0,,,72-87,,K. Irving misses 2-pt shot from 5 ft
1:04.0,Defensive rebound by Team,,72-87,,
1:04.0,,,72-87,,M. Dellavedova enters the game for J. Smith
0:50.0,W. Barton misses 3-pt shot from 24 ft,,72-87,,
0:49.0,,,72-87,,Defensive rebound by K. Irving
0:25.0,,,72-87,,I. Shumpert misses 3-pt shot from 24 ft
0:25.0,,,72-87,,Offensive rebound by Team
0:25.0,,,72-87,,Turnover by Team (shot clock)
0:02.0,J. Lauvergne misses 2-pt shot from 4 ft,,72-87,,
0:02.0,,,72-87,,Defensive rebound by T. Thompson
0:00.0,,,72-87,,M. Dellavedova misses 3-pt shot from 32 ft
0:00.0,,,72-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,72-89,2,R. Jefferson makes 2-pt shot from 17 ft (assist by L. James)
11:13.0,Turnover by W. Barton (bad pass),,72-89,,
11:07.0,,,72-91,2,L. James makes 2-pt shot at rim (assist by R. Jefferson)
11:07.0,Denver full timeout,,72-91,,
10:48.0,J. Lauvergne makes 2-pt shot from 11 ft,2,74-91,,
10:24.0,,,74-91,,L. James misses 2-pt shot from 13 ft
10:24.0,Defensive rebound by Team,,74-91,,
10:13.0,W. Barton misses 2-pt shot from 12 ft,,74-91,,
10:12.0,,,74-91,,Defensive rebound by L. James
10:09.0,,,74-91,,Shooting foul by A. Toupane (drawn by L. James)
10:09.0,,,74-91,,L. James misses free throw 1 of 2
10:09.0,,,74-91,,Offensive rebound by Team
10:09.0,,,74-92,1,L. James makes free throw 2 of 2
9:59.0,Turnover by W. Barton (bad pass),,74-92,,
9:47.0,,,74-94,2,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova)
9:34.0,Turnover by D. Augustin (lost ball; steal by T. Thompson),,74-94,,
9:26.0,,,74-97,3,M. Dellavedova makes 3-pt shot from 24 ft (assist by L. James)
9:26.0,Denver full timeout,,74-97,,
9:26.0,J. Nurkic enters the game for J. Lauvergne,,74-97,,
9:26.0,D. Arthur enters the game for A. Toupane,,74-97,,
9:07.0,D. Augustin makes 2-pt shot at rim (assist by J. Nurkic),2,76-97,,
8:45.0,,,76-97,,R. Jefferson misses 3-pt shot from 25 ft
8:45.0,,,76-97,,Offensive rebound by L. James
8:40.0,Personal block foul by D. Arthur,,76-97,,
8:28.0,,,76-99,2,L. James makes 2-pt shot from 1 ft
8:10.0,Turnover by J. Nurkic (lost ball; steal by I. Shumpert),,76-99,,
8:00.0,,,76-99,,R. Jefferson misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by D. Arthur,,76-99,,
7:49.0,W. Barton makes 3-pt shot from 22 ft (assist by D. Augustin),3,79-99,,
7:33.0,,,79-101,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
7:16.0,G. Harris makes 2-pt shot from 8 ft (assist by D. Arthur),2,81-101,,
6:55.0,,,81-101,,R. Jefferson misses 3-pt shot from 23 ft
6:53.0,Defensive rebound by G. Harris,,81-101,,
6:44.0,Turnover by D. Arthur (lost ball; steal by T. Thompson),,81-101,,
6:36.0,,,81-103,2,R. Jefferson makes 2-pt shot from 14 ft (assist by L. James)
6:11.0,D. Augustin misses 2-pt shot from 18 ft,,81-103,,
6:10.0,,,81-103,,Defensive rebound by R. Jefferson
6:02.0,,,81-105,2,R. Jefferson makes 2-pt shot at rim (assist by L. James)
6:01.0,,,81-105,,Personal foul by L. James
6:01.0,A. Toupane enters the game for D. Arthur,,81-105,,
6:01.0,E. Mudiay enters the game for D. Augustin,,81-105,,
5:55.0,,,81-105,,J. Smith enters the game for L. James
5:52.0,,,81-105,,Personal foul by T. Thompson
5:44.0,E. Mudiay misses 2-pt shot from 13 ft,,81-105,,
5:44.0,,,81-105,,Defensive rebound by J. Smith
5:34.0,,,81-107,2,T. Thompson makes 2-pt shot at rim (assist by I. Shumpert)
5:23.0,G. Harris misses 2-pt shot from 1 ft,,81-107,,
5:21.0,,,81-107,,Defensive rebound by T. Thompson
5:18.0,,,81-109,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
5:18.0,Denver full timeout,,81-109,,
5:18.0,,,81-109,,J. McRae enters the game for J. Smith
5:18.0,,,81-109,,S. Kaun enters the game for T. Thompson
5:18.0,M. Miller enters the game for J. Nurkic,,81-109,,
5:18.0,N. Jokic enters the game for W. Barton,,81-109,,
4:53.0,N. Jokic misses 2-pt shot from 18 ft,,81-109,,
4:52.0,,,81-109,,Defensive rebound by I. Shumpert
4:41.0,,,81-109,,J. Jones enters the game for M. Dellavedova
4:32.0,,,81-112,3,J. Jones makes 3-pt shot from 27 ft (assist by S. Kaun)
4:22.0,E. Mudiay misses 2-pt shot from 14 ft,,81-112,,
4:21.0,Offensive rebound by N. Jokic,,81-112,,
4:18.0,N. Jokic makes 2-pt shot at rim,2,83-112,,
4:03.0,,,83-114,2,S. Kaun makes 2-pt shot from 1 ft (assist by J. McRae)
3:50.0,G. Harris misses 3-pt shot from 28 ft,,83-114,,
3:50.0,,,83-114,,Defensive rebound by I. Shumpert
3:43.0,,,83-114,,R. Jefferson misses 3-pt shot from 24 ft
3:42.0,Defensive rebound by E. Mudiay,,83-114,,
3:23.0,G. Harris misses 3-pt shot from 24 ft,,83-114,,
3:23.0,,,83-114,,Defensive rebound by R. Jefferson
3:13.0,,,83-114,,I. Shumpert misses 2-pt shot from 18 ft
3:13.0,Defensive rebound by G. Harris,,83-114,,
3:11.0,Shooting foul by I. Shumpert (drawn by G. Harris),,83-114,,
3:11.0,G. Harris makes free throw 1 of 2,1,84-114,,
3:11.0,G. Harris makes free throw 2 of 2,1,85-114,,
2:53.0,,,85-114,,Turnover by I. Shumpert (lost ball; steal by G. Harris)
2:47.0,E. Mudiay misses 2-pt shot at rim,,85-114,,
2:45.0,,,85-114,,Defensive rebound by I. Shumpert
2:36.0,,,85-116,2,S. Kaun makes 2-pt shot at rim (assist by I. Shumpert)
2:18.0,E. Mudiay misses 3-pt shot from 25 ft,,85-116,,
